"county","type","facility_name","street_address","city","state","zip","location"
"Broome","Grocery w/ Pharmacy inside","Walmart Supercenter #1835","Vestal Parkway East","Vestal","NY","13850",
"Albany","Grocery","Target T-1268","Central Ave","Colonie","NY","12205",
"Kings","Grocery","Shop Fair Supermarket Foodmarkets","Broadway","Brooklyn","NY","11211",
"Kings","Grocery","C-Town Supermarkets","Central Av","Brooklyn","NY","11221",
"Kings","Grocery","Rnj Kings Food, Inc.","Kings Highway","Brooklyn","NY","11229",
"Bronx","Grocery","Sabor Latino Deli Supermarket Corp","Longwood Avenue","Bronx","NY","10459",
"New York","Pharmacy Only","Duane Reade #14146","Broadway","New York","NY","10025",
"Queens","Grocery","Cherry Valley Market Place","97th Avenue","Ozone Park","NY","11416",
"Queens","Grocery","Trade Fair","36th Avenue","Long Island City","NY","11106",
"New York","Pharmacy Only","Duane Reade #14433","West 37th Street","New York","NY","10018",
"New York","Pharmacy Only","Walgreens #10135","1st Ave","New York","NY","10009",
"Queens","Grocery","Key Food #564","Newtown Avenue","Astoria","NY","11102",
"Nassau","Grocery","Gala Foods Supermarket","North Main St","Freeport","NY","11520",
"New York","Grocery","Dan's Supermarket","West 185th St","New York","NY","10033",
"Nassau","Grocery","Stop & Shop #541","Old Country Ro","Carle Place","NY","11514",
"Bronx","Grocery","Madina Trading Corp","East 165th Street","Bronx","NY","10456",
"Queens","Grocery","Bangla Bazar Fish Market Inc","43rd Ave","Sunnyside","NY","11104",
"Oneida","Grocery","Price Chopper #44","Auert Avenue","Utica","NY","13502",
"Nassau","Pharmacy Only","CVS Pharmacy #2780","West Hempstead Avenue","West Hempstead","NY","11552",
"Bronx","Pharmacy Only","Washington Pharmacy","Tremont Avenue","Bronx","NY","10457",
"Queens","Grocery","C-Town Supermarkets","Roosevelt Ave","Woodside","NY","11377",
"Erie","Grocery w/ Pharmacy inside","Tops Market #239","Sheridan Drive","Buffalo","NY","14223",
"Nassau","Grocery w/ Pharmacy inside","Stop & Shop #559","West Old Country Rd","Hicksville","NY","11801",
"Suffolk","Grocery","ShopRite Of Commack","Garet Pl","Commack","NY","11725",
"Saratoga","Grocery","Target T-1477","Crossing Blvd","Clifton Park","NY","12065",
"Queens","Grocery","Ideal Food Basket","137th Avenue","Jamaica","NY","11434",
"New York","Grocery","196 Sto. Domingo Grocery, Inc.","Audubon Ave","New York","NY","10033",
"Queens","Grocery w/ Pharmacy inside","Stop & Shop #509","Grand Avenue","Maspeth","NY","11378",
"Westchester","Grocery","New Rochelle Farms","North Avenue","New Rochelle","NY","10801",
"Cattaraugus","Pharmacy Only","CVS Pharmacy #539","North Union St","Olean","NY","14760",
"Onondaga","Grocery","Save-A-Lot Butternut","Butternut St","Syracuse","NY","13208",
"Queens","Grocery","W & K Grocery Inc","Roosevelt Av","Jackson Heights","NY","11372",
"Allegany","Grocery","Wellsville Save A Lot","Bolivar Road","Wellsville","NY","14895",
"Queens","Grocery","Key Food","64th Road","Forest Hills","NY","11375",
"New York","Grocery","Fine Fare","3rd Ave","New York","NY","10029",
"Kings","Pharmacy Only","Family Pharmacy","Rockaway Ave","Brooklyn","NY","11212",
"Niagara","Grocery w/ Pharmacy inside","Tops Market #275","Rochester Rd","Lockport","NY","14094",
"Suffolk","Grocery","King Kullen #1","West Sunrise Highway","Patchogue","NY","11772",
"Schenectady","Grocery w/ Pharmacy inside","Market 32 By Price Chopper #175","Altamont Avenue","Schenectady","NY","12303",
"Kings","Grocery","Mb Brooklyn Grocery, Inc.","Empire Blvd","Brooklyn","NY","11225",
"New York","Pharmacy Only","Duane Reade #14246","Avenue Of The Americas","New York","NY","10001",
"Nassau","Pharmacy Only","CVS Pharmacy #407","Merrick Road","Rockville Centre","NY","11570",
"Albany","Grocery","Target T-1915","Troy Schenectady Rd","Latham","NY","12110",
"Kings","Grocery","The Food Emporium","Lafayette Ave","Brooklyn","NY","11238",
"Oswego","Grocery","Buckingham Market","Redfield St","Constantia","NY","13044",
"Essex","Grocery","Price Chopper #180","Saranac Ave","Lake Placid","NY","12946",
"Bronx","Grocery","Fruit Market Of Kings, Llc","Perry Avenue","Bronx","NY","10467",
"Tompkins","Grocery","Clarks Food Mart Llc","North Street","Dryden","NY","13053",
"Bronx","Pharmacy Only","Mott Haven Pharmacy","East 141st Street","Bronx","NY","10454",
"New York","Pharmacy Only","Duane Reade #14319","W 20th St","New York","NY","10011",
"Bronx","Grocery","Foodtown #523","West Ave","Bronx","NY","10462",
"Kings","Grocery","6109 L & Y Market Inc","5th Avenue","Brooklyn","NY","11220",
"Nassau","Grocery","King Kullen #53","Austin Boulevard","Island Park","NY","11558",
"Kings","Grocery","Key Food","Mcguinness Boulevard","Brooklyn","NY","11222",
"Madison","Grocery","Tops Market #360","Seneca Turnpike(Rt-5)","Canastota","NY","13032",
"Albany","Grocery w/ Pharmacy inside","Hannaford Supermarket & Pharm #8339","Delaware Avenue","Delmar","NY","12054",
"Niagara","Grocery","Budwey's Market In The Square","Division St","North Tonawanda","NY","14120",
"Suffolk","Pharmacy Only","CVS Pharmacy #4121","Merrick Road","Amity Harbor","NY","11701",
"Richmond","Pharmacy Only","Walgreens #06179","Richmond Ave","Staten Island","NY","10314",
"Erie","Grocery w/ Pharmacy inside","Tops Market #210","Amherst St","Buffalo","NY","14207",
"Onondaga","Grocery","Byrne Dairy #119","South Bay Road","Cicero","NY","13039",
"Nassau","Grocery","Ideal Food Basket","Merrick Road","Baldwin","NY","11510",
"Westchester","Grocery","Stop & Shop #592","Sandford Blvd","Mount Vernon","NY","10550",
"Westchester","Grocery","El Mercado Meat & Produce","Lake Street","White Plains","NY","10603",
"Queens","Grocery","Key Food Supermarket","30th Ave","Astoria","NY","11103",
"Queens","Grocery","V.M.D. Deli Grocery Inc.","Queens Blvd","Woodside","NY","11377",
"Bronx","Grocery","Fine Fare Supermarket","Morris Avenue","Bronx","NY","10451",
"Wayne","Grocery w/ Pharmacy inside","Tops Market #413","Furnace Rd Rte 104","Ontario","NY","14519",
"Onondaga","Grocery w/ Pharmacy inside","Wegmans Food Market #35","Rte 31","Liverpool","NY","13090",
"New York","Pharmacy Only","Duane Reade #14111","Broadway","New York","NY","10018",
"Monroe","Grocery w/ Pharmacy inside","Wegmans Food Market #63","Penfield Rd","Penfield","NY","14526",
"Ulster","Pharmacy Only","CVS #3102","Mill Hill Road","Woodstock","NY","12498",
"Kings","Grocery","Foodtown","Vanderbilt Avenue","Brooklyn","NY","11238",
"Richmond","Grocery","Island Kosher Llc","Victory Blvd","Staten Island","NY","10314",
"Kings","Grocery","Key Food","Ralph Ave","Brooklyn","NY","11236",
"Rensselaer","Grocery w/ Pharmacy inside","Market 32 By Price Chopper #111","Columbia Turnpike","Rensselaer","NY","12144",
"Westchester","Grocery","Foodtown #521","Lake Avenue","Yonkers","NY","10703",
"Bronx","Grocery","Agramonte Grocery Store Corp","Stratford Avenue","Bronx","NY","10472",
"Cortland","Grocery w/ Pharmacy inside","Price Chopper #178","State Route 13","Cortland","NY","13045",
"Oswego","Grocery","Byrne Dairy #10","West Bridge St","Oswego","NY","13126",
"Bronx","Grocery","Gerardo Grocery","Valentine Avenue","Bronx","NY","10458",
"Westchester","Grocery","Rey's Grocery","Westchester Avenue","Port Chester","NY","10573",
"Queens","Grocery","Key Food","Merrick Blvd","Laurelton","NY","11413",
"Suffolk","Grocery","Bravo Supermarket","South Ocean Ave","Patchogue","NY","11772",
"Monroe","Grocery w/ Pharmacy inside","Tops Market #429","East Ridge Road","Rochester","NY","14621",
"Steuben","Grocery w/ Pharmacy inside","Wegmans Food Market #51","Bridge St","Corning","NY","14830",
"Orange","Grocery","Refresh Supermarket","Bakertown Road","Monroe","NY","10950",
"Kings","Grocery","Laith Lite Deli Corp","New Lots Ave","Brooklyn","NY","11207",
"Queens","Grocery","M & T Grocery Inc.","Dongan Avenue","Elmhurst","NY","11373",
"Erie","Grocery w/ Pharmacy inside","Tops Market #113 (Franchise)","Niagara Street","Buffalo","NY","14201",
"Monroe","Grocery","Target Store T-1157","Marketplace Drive","Rochester","NY","14623",
"Erie","Pharmacy Only","Walgreens #3257","Abbott Rd","Buffalo","NY","14218",
"Kings","Grocery","Ideal Food Basket","Pitkin Ave","Brooklyn","NY","11212",
"New York","Pharmacy Only","Farmacia San Rafael","St Nicholas Ave","New York","NY","10033",
"Rensselaer","Grocery w/ Pharmacy inside","Market 32 By Price Chopper #03","Hoosick Rd","Troy","NY","12180",
"Kings","Grocery","Aden Supermarket Llc","Flatlands Avenue","Brooklyn","NY","11236",
"Jefferson","Grocery","Grand Union Of Watertown Llc #19492","Seaway Plaza","Watertown","NY","13601",
"Kings","Grocery","America's Food Basket","Atlantic Ave","Brooklyn","NY","11233",
"Kings","Grocery","My Neighborhood Grocery","Chesnut Street","Brooklyn","NY","11208",
"Bronx","Grocery","Cherry Valley Market Place","East 189 Street","Bronx","NY","10458",
"Bronx","Grocery","Mg Deli Grocery Corp","Sheridan Avenue","Bronx","NY","10451",
"Warren","Grocery","Tops Market #702","Lake Shore Drive","Bolton Landing","NY","12814",
"Orange","Grocery","West Point Commissary","Stony Lonesome Road","West Point","NY","10996",
"Monroe","Grocery w/ Pharmacy inside","Walmart Supercenter #2859","Chili Avenue","Rochester","NY","14624",
"Livingston","Grocery","Caledonia Marketplace","Main Street","Caledonia","NY","14423",
"Queens","Pharmacy Only","Walgreens #07294","Roosevelt Ave","Corona","NY","11368",
"New York","Grocery","55 Fulton Market By Key Food","Fulton St","New York","NY","10038",
"Nassau","Pharmacy Only","CVS Pharmacy #555","Broadway","Bethpage","NY","11714",
"Suffolk","Pharmacy Only","CVS Pharmacy #848","South Country Road","Bellport","NY","11713",
"Suffolk","Grocery w/ Pharmacy inside","Stop & Shop # 553","Pond Path","South Setauket","NY","11720",
"Orange","Grocery w/ Pharmacy inside","Walmart #2637","Larkin Drive","Monroe","NY","10950",
"Kings","Grocery","Food Universe","Rutland Road","Brooklyn","NY","11212",
"Bronx","Grocery","Food Universe Marketplace","West 183rd Street","Bronx","NY","10453",
"Kings","Grocery","Aaa Happy Inc","Myrtle Ave","Brooklyn","NY","11237",
"Queens","Grocery","C-Town Supermarkets","Roosevelt Ave","Corona","NY","11368",
"Suffolk","Grocery","Key Food #1514","Indian Head Road","Kings Park","NY","11754",
"Queens","Grocery","Bravo Fresh Market","65th Place","Woodside","NY","11377",
"Bronx","Pharmacy Only","Medstop Pharmacy & Surgical Supplie","Jerome Avenue","Bronx","NY","10452",
"Nassau","Pharmacy Only","CVS Pharmacy #1952","East Jericho Turnpike","Mineola","NY","11501",
"Kings","Grocery","Green Corner Fish & Farmers Market","Flushing Ave","Brooklyn","NY","11206",
"Kings","Pharmacy Only","Duane Reade #14285","Brighton Beach Ave","Brooklyn","NY","11235",
"Kings","Grocery","Target Store T-1401","Gateway Dr","Brooklyn","NY","11239",
"Westchester","Grocery","Gavilan Inc","South Street","Peekskill","NY","10566",
"Suffolk","Pharmacy Only","CVS Pharmacy #5063","Pantigo Lane","East Hampton","NY","11937",
"Rockland","Grocery","Madanim Supermarket Inc.","Washington Av","Spring Valley","NY","10977",
"Dutchess","Pharmacy Only","Walgreens #12158","Route 9","Wappingers Falls","NY","12590",
"Chautauqua","Grocery","Tops Market #270","South Erie St","Mayville","NY","14757",
"Bronx","Grocery","Alanis Deli Grocery Corp","Grand Concourse","Bronx","NY","10468",
"Wayne","Grocery","Byrne Dairy #130 East Newark","E. Union Street","Newark","NY","14513",
"New York","Grocery","Key Food Fresh","St Nicholas Av","New York","NY","10032",
"Schoharie","Grocery","Middleburgh Valley Market","State Route 30","Middleburgh","NY","12122",
"Queens","Grocery","Trade Fair #5","Ditmars Blvd","Astoria","NY","11105",
"Kings","Grocery","Posner's Food Center Inc.","15th Av","Brooklyn","NY","11219",
"Washington","Grocery","Cambridge Village Market","West Main St","Cambridge","NY","12816",
"Kings","Grocery","Rahim Grocery & Halal Meat Corp.","Coney Island Ave","Brooklyn","NY","11230",
"Erie","Grocery","Dash's Market-Hertel","Hertel Ave","Buffalo","NY","14216",
"Onondaga","Grocery","Byrne Dairy #129 Solvay","W. Genesee St","Syracuse","NY","13219",
"Westchester","Grocery","Avenue Deli Grocery","Yonkers Avenue","Yonkers","NY","10701",
"Erie","Grocery","7-Eleven #35135","Bailey Ave","Buffalo","NY","14215",
"Kings","Grocery","Perez Grocery","4th Ave","Brooklyn","NY","11220",
"Otsego","Grocery","Price Chopper #235","Chestnut Street","Cooperstown","NY","13326",
"Nassau","Grocery","King Kullen # 56","West Merrick Road","Valley Stream","NY","11580",
"Queens","Grocery","Maa Supermarket, Inc.","Parsons Blvd","Jamaica","NY","11432",
"Saratoga","Grocery","Tops Market #700","Main Street","Corinth","NY","12822",
"Kings","Grocery","Nyc Fresh Market","Myrtle Avenue","Brooklyn","NY","11201",
"New York","Grocery","Associated","Lenox Ave","New York","NY","10037",
"Bronx","Grocery","Food Universe","Einstein Loop","Bronx","NY","10475",
"Albany","Grocery w/ Pharmacy inside","Hannaford Supermarket & Pharm #8233","Maple Road","Voorheesville","NY","12186",
"Kings","Grocery","Super Fresh","13th Ave","Brooklyn","NY","11228",
"Kings","Grocery","Fresh Halal Meat & Grocery","Church Ave","Brooklyn","NY","11226",
"Queens","Grocery","Target Store T-2451","College Point Bo Ste F600","Flushing","NY","11354",
"Suffolk","Pharmacy Only","CVS Pharmacy #1117","Sunrise Highway","Bohemia","NY","11716",
"Monroe","Grocery","Tops Market #452","South Av","Hilton","NY","14468",
"Niagara","Grocery","Target Store T-1012","Niagara Falls Blvd.","Niagara Falls","NY","14304",
"Broome","Grocery","Weis Markets #214","Upper Front Street","Binghamton","NY","13901",
"Kings","Grocery","City Fresh Market","Pennsylvania Ave","Brooklyn","NY","11239",
"Otsego","Grocery w/ Pharmacy inside","Walmart #2262","Ny-23","Oneonta","NY","13820",
"Westchester","Grocery","Food Bazaar","Bogopa Plaza","Mount Vernon","NY","10550",
"Nassau","Pharmacy Only","CVS Pharmacy #369","Hempstead Turnpike","West Hempstead","NY","11552",
"Bronx","Grocery","Key Food","Lydig Avenue","Bronx","NY","10462",
"New York","Grocery","Shop Fair Supermarket Supermarket","Avenue C","New York","NY","10009",
"Kings","Grocery","C-Town Supermarkets","5th Av","Brooklyn","NY","11209",
"Bronx","Grocery","Felu Grocery Corp.","Burke Avenue","Bronx","NY","10469",
"Rockland","Pharmacy Only","Valley Pharmacy","Kennedy Dr","Spring Valley","NY","10977",
"Erie","Grocery","Food Plus Market","East Amherst St","Buffalo","NY","14215",
"Montgomery","Grocery w/ Pharmacy inside","Market 32 By Price Chopper #139","Sanford Farms Shopping Center","Amsterdam","NY","12010",
"New York","Grocery","Shop Fair Supermarket Supermarkets","East 110th St","New York","NY","10029",
"Kings","Grocery","Market Place By Key Food","5th Avenue","Brooklyn","NY","11215",
"Bronx","Pharmacy Only","Care First Pharmacy Corp","White Plains Road","Bronx","NY","10466",
"Kings","Pharmacy Only","Katz Drugs","Graham Ave","Brooklyn","NY","11206",
"Oneida","Pharmacy Only","Walgreens # 10159","S James St","Rome","NY","13440",
"Nassau","Grocery","King Kullen #50","Sunrise Highway","Bellmore","NY","11710",
"Kings","Pharmacy Only","Qualimeds Pharmacy","86th St","Brooklyn","NY","11214",
"Broome","Grocery","Windsor Big M","Chapel Street","Windsor","NY","13865",
"Kings","Pharmacy Only","Walgreens #11806","Beverley Rd","Brooklyn","NY","11218",
"Sullivan","Grocery w/ Pharmacy inside","ShopRite Of Monticello #227","Thompson Square","Monticello","NY","12701",
"Bronx","Grocery","Food Dynasty Supermarket","Jerome Avenue","Bronx","NY","10468",
"Queens","Grocery","Bravo Supermarket","Roosevelt Ave","Jackson Heights","NY","11372",
"Bronx","Grocery","Felino Grocery Corp","Anthony Ave","Bronx","NY","10457",
"New York","Grocery","Pioneer Supermarket","Lenox Ave","New York","NY","10027",
"Suffolk","Grocery","Fruit Tree Farm Inc.","Sunrise Hwy","Copiague","NY","11726",
"Westchester","Grocery","ShopRite Of Croton","South Riverside Avenue","Croton On Hudson","NY","10520",
"Bronx","Grocery","Paradise Food Market","Williambridge Road","Bronx","NY","10469",
"Queens","Grocery","Rego Fresh Market","Woodhaven Blvd","Rego Park","NY","11374",
"Queens","Grocery","Cherry Valley Farm","21st Avenue","Astoria","NY","11105",
"New York","Pharmacy Only","Walgreens #6160","5th Ave","New York","NY","10118",
"Bronx","Grocery","Bravo Supermarket","Courtlandt Avenue","Bronx","NY","10451",
"Onondaga","Grocery","Tops Market #366","Fennel St","Skaneateles","NY","13152",
"Cayuga","Grocery w/ Pharmacy inside","Walmart Supercenter #1830","Grant Avenue","Auburn","NY","13021",
"Richmond","Grocery","Low Price Deli And Grocery Inc","Cary Avenue","Staten Island","NY","10310",
"Ontario","Grocery w/ Pharmacy inside","Walmart Supercenter #1731","State Route 5","Geneva","NY","14456",
"Nassau","Pharmacy Only","Walgreens #12082","Old Country Rd","Westbury","NY","11590",
"Bronx","Grocery","C-Town Supermarkets","University Avenue","Bronx","NY","10453",
"Bronx","Pharmacy Only","Walgreens # 10411","E Fordham Rd","Bronx","NY","10458",
"Nassau","Grocery","King Kullen # 17","Sunrise Hwy","Rockville Centre","NY","11570",
"Queens","Grocery","Key Food","Lefferts Blvd","South Ozone Park","NY","11420",
"Bronx","Pharmacy Only","Leroy Pharmacy","Metropolitan Avenue","Bronx","NY","10462",
"Oswego","Pharmacy Only","Wayne Drug Oswego","W Bridge St","Oswego","NY","13126",
"Onondaga","Grocery","Tops Market #371","East Genesee St","Syracuse","NY","13214",
"Saratoga","Grocery","Market 32 By Price Chopper #250","Route 146","Clifton Park","NY","12065",
"Suffolk","Grocery","Mattituck Marketplace","Main Road","Mattituck","NY","11952",
"Kings","Grocery","Shop Fair Supermarket","Fulton Street","Brooklyn","NY","11208",
"Bronx","Grocery","2363 Rosewood Grocery, Inc.","White Plains Road","Bronx","NY","10467",
"Kings","Grocery","Emdad Supermarket Inc","Liberty Avenue","Brooklyn","NY","11208",
"Orange","Grocery w/ Pharmacy inside","Walmart #2104","Union Av Route 300","Newburgh","NY","12550",
"Albany","Pharmacy Only","CVS #1090","Route 9w","Glenmont","NY","12077",
"Suffolk","Grocery","King Kullen #16","North Wellwood Ave","Lindenhurst","NY","11757",
"Queens","Grocery","Ideal Food Basket","Corona Ave","Corona","NY","11368",
"Queens","Pharmacy Only","Walgreens #01616","Broadway","Elmhurst","NY","11373",
"Queens","Grocery","Fine Fare Supermarket","Farmers Boulevard","Jamaica","NY","11434",
"Bronx","Grocery","Fine Fare Supermarket","Westchester Avenue","Bronx","NY","10459",
"Nassau","Pharmacy Only","Walgreens #07057","Franklin Ave","Franklin Square","NY","11010",
"Queens","Grocery","Bravo Mini Market Inc","Woodside Ave","Woodside","NY","11377",
"Nassau","Grocery","C-Town Supermarkets","South Franklin St","Hempstead","NY","11550",
"Chemung","Grocery","Target Store T-2158","County Road 64","Elmira","NY","14903",
"Kings","Grocery","C-Town Supermarkets","Church Avenue","Brooklyn","NY","11203",
"Suffolk","Pharmacy Only","Walgreens #09498","Wading River Manor Rd","Wading River","NY","11792",
"Queens","Grocery","Merceditas Grocery Store","37th Ave","Corona","NY","11368",
"Clinton","Grocery","Target T-2459","Smithfield Blvd, Ste. 49","Plattsburgh","NY","12901",
"Bronx","Grocery","Dia Deli Grocery Corp","East Tremont Avenue","Bronx","NY","10460",
"Nassau","Pharmacy Only","CVS Pharmacy #4611","Atlantic Avenue","Baldwin","NY","11510",
"Monroe","Grocery w/ Pharmacy inside","Wegmans Food Market #64","Latta Rd","Rochester","NY","14612",
"Kings","Pharmacy Only","J Drugs","Avenue J","Brooklyn","NY","11230",
"New York","Pharmacy Only","Duane Reade #14125","Broad St","New York","NY","10004",
"Westchester","Grocery","La Placita Meat & Produce Inc","Park Avenue","Mount Vernon","NY","10550",
"Richmond","Grocery","Unique Variety Store","Cary Avenue","Staten Island","NY","10310",
"Niagara","Grocery","7-Eleven #35180","Pine Ave","Niagara Falls","NY","14301",
"Queens","Grocery","Key Food","37th Avenue","Corona","NY","11368",
"Kings","Pharmacy Only","Neergaard Pharmacy","5 Ave","Brooklyn","NY","11215",
"Queens","Grocery","Stop & Shop #2579","Beach Channel Dr","Belle Harbor","NY","11694",
"Ontario","Grocery w/ Pharmacy inside","Wegmans Food & Pharmacy #11","Eastern Blvd","Canandaigua","NY","14424",
"Bronx","Grocery","Rafael Jr Food Center Corp","Decatur Avenue","Bronx","NY","10458",
"Nassau","Pharmacy Only","CVS Pharmacy #2044","Hillside Avenue","East Williston","NY","11596",
"Queens","Grocery","Los Latinos Mini Market Corp","Redfern Ave","Far Rockaway","NY","11691",
"Erie","Grocery","Dash's Market-Colvin","Colvin Avenue","Town Of Tonawanda","NY","14223",
"Nassau","Grocery w/ Pharmacy inside","Stop & Shop #556","Fulton Avenue","Hempstead","NY","11550",
"Cattaraugus","Grocery","Jim's Park And Shop","Front St.","Olean","NY","14760",
"Queens","Grocery","Trade Fair #2","21st Avenue","East Elmhurst","NY","11370",
"Westchester","Grocery","Acme #2416","Columbus Avenue","Thornwood","NY","10594",
"Kings","Grocery","Key Food","Foster Av","Brooklyn","NY","11230",
"Kings","Grocery","Food Basket","20th Avenue","Brooklyn","NY","11204",
"New York","Pharmacy Only","Duane Reade #14356","N End Ave","New York","NY","10282",
"Bronx","Grocery","Associated Supermarket","Laconia Avenue","Bronx","NY","10466",
"Suffolk","Grocery","Brentwood Market","Brentwood Rd","Brentwood","NY","11717",
"Bronx","Grocery","Latin Deli Grocery Llc","Zerega Avenue","Bronx","NY","10462",
"Queens","Grocery","Super Fresh","Greenpoint Avenue","Sunnyside","NY","11104",
"Tompkins","Grocery w/ Pharmacy inside","Tops #522","N.Triphammer Rd","Ithaca","NY","14850",
"Nassau","Grocery","Ideal Food Basket","Prospect Avenue","Westbury","NY","11590",
"Queens","Pharmacy Only","Nature's Way Pharmacy","Myrtle Ave","Ridgewood","NY","11385",
"Erie","Pharmacy Only","Walgreens #3290","Hertel Ave","Buffalo","NY","14216",
"Monroe","Grocery","Price Rite #210","West Henrietta Ro","Rochester","NY","14623",
"Bronx","Grocery","Fine Fare","East Gun Hill Road","Bronx","NY","10467",
"Erie","Grocery","Fillmore Supermarket Inc.","Fillmore Ave","Buffalo","NY","14214",
"Bronx","Grocery","Target Store T-2811","East Hutchinson River Pky","Bronx","NY","10465",
"New York","Grocery","Superduro Supermarket","Saint Nicholas Avenue","New York","NY","10033",
"Chenango","Grocery","Grand Union Of Norwich Llc #19498","East Main Street","Norwich","NY","13815",
"Kings","Pharmacy Only","Duane Reade #14432","5th Ave","Brooklyn","NY","11220",
"Kings","Grocery","Bravo Supermarket","4th Ave","Brooklyn","NY","11220",
"Orange","Pharmacy Only","Monroe Pharmacy","Nys Route 17m","Monroe","NY","10950",
"Orange","Pharmacy Only","Walgreens #12067","Windsor Hwy","Vails Gate","NY","12584",
"Queens","Grocery","Minimart","Fresh Pond Road","Ridgewood","NY","11385",
"Bronx","Grocery","Food Bazaar","East 170th Street","Bronx","NY","10456",
"Bronx","Grocery","Alex Food Ii, Corp.","Dr. Martin Luther King Jr. Blvd","Bronx","NY","10453",
"Orange","Grocery","C & W Food Center","Apta Way Unit 104","Monroe","NY","10950",
"Queens","Grocery","Polo Supermarket","Mott Av","Far Rockaway","NY","11691",
"Bronx","Grocery","Bravo Supermarket","West 170th Street","Bronx","NY","10452",
"Delaware","Grocery","Tops Market #726","West Main St","Hancock","NY","13783",
"Kings","Grocery","Farm Country","Linden Blvd","Brooklyn","NY","11207",
"Kings","Grocery","Kosher Plaza, Inc.","Kings Highway","Brooklyn","NY","11223",
"Richmond","Grocery","La Quebradita Grocery Corp.","Jersey St","Staten Island","NY","10301",
"Nassau","Grocery","King Kullen #8","Northern Boulevard","Manhasset","NY","11030",
"Kings","Grocery","C-Town Supermarkets","Nostrand Av","Brooklyn","NY","11226",
"Bronx","Grocery","Pioneer Supermarket","Castle Hill Avenue","Bronx","NY","10462",
"Erie","Grocery w/ Pharmacy inside","Tops Market #227","Transit Rd","East Amherst","NY","14051",
"Queens","Grocery","Green Valley Supermarket","Jamaica Avenue","Woodhaven","NY","11421",
"New York","Pharmacy Only","Duane Reade #14386","Main St","New York","NY","10044",
"Suffolk","Grocery","Stop & Shop #2520","Route 25a","Rocky Point","NY","11778",
"Queens","Grocery","Metro Mini Market, Inc.","Metropolitan Ave","Ridgewood","NY","11385",
"Queens","Grocery","Food Bazaar","Junction Blvd","Corona","NY","11368",
"Suffolk","Pharmacy Only","CVS Pharmacy #1186","Middle Country Road","Selden","NY","11784",
"Kings","Grocery","Fine Food","York St","Brooklyn","NY","11201",
"Bronx","Grocery","Key Food","Jerome Avenue","Bronx","NY","10467",
"New York","Grocery","Key Food","2nd Av","New York","NY","10128",
"Bronx","Grocery","Salcedo Supermarket Corp","Lafayette Avenue","Bronx","NY","10474",
"Richmond","Grocery","Top Tomato","Bay Street","Staten Island","NY","10305",
"Kings","Grocery","Ocean Mini Mart","18th Av","Brooklyn","NY","11218",
"Westchester","Grocery","Stop & Shop #2596","North Bedford Road","Mount Kisco","NY","10549",
"Kings","Pharmacy Only","A One Pharmacy Inc.","8th Avenue","Brooklyn","NY","11220",
"Madison","Grocery","Price Chopper #225","Madison Market Place","Hamilton","NY","13346",
"Queens","Pharmacy Only","Tazmi Pharmacy","Roosevelt Ave","Woodside","NY","11377",
"Kings","Grocery","Brooklyn Bodega","Roebling St","Brooklyn","NY","11211",
"Kings","Grocery","Bravo Supermarket","East 93rd Street","Brooklyn","NY","11212",
"Queens","Grocery","Compare Foods","Hollis Av","Queens Village","NY","11429",
"Kings","Pharmacy Only","Lane Drugs","13th Ave","Brooklyn","NY","11219",
"Chemung","Grocery","Byrne Dairy #138 Elmira","Pennsylvania Avenue","Elmira","NY","14904",
"Erie","Grocery","Target Store T-1057","Amanda Lane","Orchard Park","NY","14127",
"Suffolk","Grocery w/ Pharmacy inside","Super Stop & Shop #2551","West Montauk Hw","Hampton Bays","NY","11946",
"Kings","Grocery","Coconut Kosher Supermarket Corp.","Broadway","Brooklyn","NY","11206",
"Kings","Grocery","Urban Market","Waverly Ave","Brooklyn","NY","11238",
"Bronx","Grocery","Mango Grocery & Meat Market Corp.","East 196th Street","Bronx","NY","10468",
"Orange","Grocery","Paulita's Grocery Deli Ii","North St","Middletown","NY","10940",
"Queens","Grocery","Shop Fair Supermarket","89th Ave","Jamaica","NY","11432",
"Kings","Grocery","Baby City","5th Avenue","Brooklyn","NY","11220",
"Bronx","Grocery","Met Food","White Plains Road","Bronx","NY","10460",
"Jefferson","Grocery w/ Pharmacy inside","Price Chopper #102","Arsenal Street","Watertown","NY","13601",
"Rockland","Grocery","Placita De Dios Grocery, Inc.","Lafayette Avenue","Suffern","NY","10901",
"St. Lawrence","Grocery","Ogdensburg Save-A-Lot","Canton St","Ogdensburg","NY","13669",
"Queens","Grocery","Food Universe Marketplace","Beach Channel Drive","Far Rockaway","NY","11691",
"Nassau","Pharmacy Only","Prescription Center Of Long Island","Jackson Street","Hempstead","NY","11550",
"Bronx","Grocery","Ray's #1 Deli Grocery Llc","Barnes Avenue","Bronx","NY","10466",
"Suffolk","Pharmacy Only","Walgreens #11717","Montauk Hwy","Shirley","NY","11967",
"Rensselaer","Grocery w/ Pharmacy inside","Walmart #2370","Hoosick Road","Troy","NY","12180",
"Kings","Grocery","Tony's Shop And Save Supermarket","Sutter Avenue","Brooklyn","NY","11208",
"Bronx","Grocery","C-Town Supermarkets","Creston Avenue","Bronx","NY","10453",
"Erie","Grocery","Save A Lot Broadway","Broadway","Buffalo","NY","14212",
"Putnam","Grocery","Julia's Gift Store Llc","Main Street Suite A","Brewster","NY","10509",
