"artwork_city","artwork_site","artist","title","artwork_type","materials","measurements","date_made","location","address","zip_code","see_more_at","id_number","geocoordinates","credit_info"
"Burien","Hazel Valley Elementary","Bruce Andersen and Shannon Andersen","""Continual Progressions""","Sculpture","Hand-formed stoneware mosaic tile","10 in x 56 ft","2006","Main stairwell, foyer","402 SW 132nd St.","98146","http://www.arts.wa.gov/artwork/?request=record;id=11988;type=101","WSAC2005.045.001","POINT (-122.340714 47.485615)","Part of Washington's State Art Collection, acquired by ArtsWA and Highline School District"
"Spokane","Spokane Readiness Center","Waldman, Gay","""Amber Sunset""","Photograph","Enhanced digital photo on Kodak Endura RC paper","18 in x 18 in","2005","Second floor hallway","1629 N. Rebecca St.","99217","http://www.arts.wa.gov/artwork/?request=record;id=11968;type=101","WSAC2006.023.000","POINT (-117.348104 47.674199)","Part of Washington's State Art Collection, acquired by ArtsWA and Military Department Spokane Readiness Center"
"Graham","Centennial Elementary","Cunningham, Dennis","""River City Salmon""","Print","Linoleum block print","32 in x 32 in","1989","Main hallway outside of Library","24323 54th Ave East","983389549","http://www.arts.wa.gov/artwork/?request=record;id=3488;type=101","WSAC1991.077.000","POINT (-122.356445 47.035702)","Part of Washington's State Art Collection, acquired by ArtsWA and Bethel School District"
"Olympia","Washington State Arts Commission","Bullis, Larry","""Fungus, Quinault""","Photograph","Silver dye bleach print","22 in x 15 1/2 in (image/sheet)","1989","Not on display. At ArtsWA pending conservation, framing, re-siting, or return to site.","711 Capitol Way S., Suite 600","98504","http://www.arts.wa.gov/artwork/?request=record;id=1884;type=101","WSAC1992.011.000","POINT (-122.901474 47.041975)","Part of Washington's State Art Collection, acquired by ArtsWA and Riverview School District"
"Olympia","Washington State Arts Commission","Nash, Mary","""Omicrom Studio, The MacDowell Colony""","Painting","Acrylic paint on canvas","5 ft 9 in x 5 ft 1 5/8 in x 5 in","1977","On display in Grants to Organizations Program Manager's office","711 Capitol Way S., Suite 600","98504","http://www.arts.wa.gov/artwork/?request=record;id=5274;type=101","WSAC1982.035.000","POINT (-122.901474 47.041975)","Part of Washington's State Art Collection, acquired by ArtsWA and Riverside School District"
"Carnation","Carnation Elementary School","Johnson, Terry Lee","""Five Views of the Figure""","Drawing","Graphite on paper","14 in x 24 in","1979-80","East wall, hallway outside of the main school office","4950 Tolt Ave","98014","http://www.arts.wa.gov/artwork/?request=record;id=5179;type=101","WSAC1982.123.000","POINT (-121.911411 47.65135)","Part of Washington's State Art Collection, acquired by ArtsWA and Riverview School District"
"Pullman","Kamiak Elementary","Morigeau, Roin","""the water remembers no. 1""","Painting","Gouache paint and charcoal on panel","24 in x 36 in","2018","Main stairwell","1400 NW Terre View Dr.","99163","http://www.arts.wa.gov/artwork/?request=record;id=13470;type=101","WSAC2020.021.006","POINT (-117.194927 46.749587)","Part of Washington's State Art Collection, acquired by ArtsWA and Pullman School District"
"Coupeville","Coupeville Middle/High School","Niemi, Ries","""BirdBooks, part 5""","Sculpture","Stainless steel","Dimensions variable","2010","Commons, east exit, near doors","501 South Main St.","98239","http://www.arts.wa.gov/artwork/?request=record;id=12275;type=101","WSAC2009.011.005","POINT (-122.6847 48.206257)","Part of Washington's State Art Collection, acquired by ArtsWA and Coupeville School District"
"Tacoma","Washington State Patrol - District I Headquarters, Tacoma","Archibald, Jack","""Quixote's Comet""","Painting","Stained glass","Fourteen panels, 5 ft x 5 ft 9 in each","1995","Windows in front of building","2502 112th St. East","98445","http://www.arts.wa.gov/artwork/?request=record;id=3296;type=101","WSAC1993.143.000","POINT (-122.395808 47.154525)","Part of Washington's State Art Collection, acquired by ArtsWA and Washington State Patrol"
"Puyallup","Warren Hunt Elementary","Hemsing, Brenda","""Maenad""","Photograph","Gelatin silver print","13 1/2 in x 13 in","1987","Library, recessed reading area","12801 144th St. East","98374","http://www.arts.wa.gov/artwork/?request=record;id=2742;type=101","WSAC1992.009.000","POINT (-122.257784 47.126239)","Part of Washington's State Art Collection, acquired by ArtsWA and Puyallup School District"
"Naselle","Naselle Youth Camp","Calderón, Eduardo","""Untitled #1""","Photograph","Gelatin silver print","16 in x 20 in","1979","Library, Upper wall","11 Youth Camp Road","98638","http://www.arts.wa.gov/artwork/?request=record;id=5722;type=101","WSAC1983.057.001","POINT (-123.824601 46.393206)","Part of Washington's State Art Collection, acquired by ArtsWA and Department of Social and Health Services"
"Enumclaw","Sunrise Elementary School","Musante, Ed","""Waterlily III""","Painting","Mixed media on wood","16 in x 9 5/8 in","1994","Hallway","899 244th Ave SE","98022","http://www.arts.wa.gov/artwork/?request=record;id=2301;type=101","WSAC1995.088.000","POINT (-122.015032 47.18548)","Part of Washington's State Art Collection, acquired by ArtsWA and Enumclaw School District"
"Olympia","The Evergreen State College","Dingus, Marita","""Dancing Spirit 5""","Sculpture","Recovered glass, aluminum, wire, plastic","64 in x 24 in x 4 in (overall)","2018","Purce Lecture Hall, suspended in main entry between NE and SW entrances","2700 Evergreen Parkway NW","98505","http://www.arts.wa.gov/artwork/?request=record;id=13231;type=101","WSAC2016.013.005","POINT (-122.978048 47.072613)","Part of Washington's State Art Collection, acquired by ArtsWA and The Evergreen State College"
"Olympia","Office of the Washington State Auditor","Chew, Carl","""Here and There""","Textile","Tibetan wool and natural dyes","6 ft 11 1/2 in x 12 ft 4 1/2 in (irregular dimensions)","1987","Hallway, West Wall","Insurance Building, Capitol Campus 302 Sid Snyder Ave. SW","98504","http://www.arts.wa.gov/artwork/?request=record;id=5032;type=101","WSAC1986.065.000","POINT (-122.903323 47.035585)","Part of Washington's State Art Collection, acquired by ArtsWA and Kennewick School District"
"Port Townsend","Salish Coast Elementary","Stallman Studio","""Troposphere""","Painting","Sculpted canvas and acrylic paint","42 in x 6 ft 6 in x 3 in (framed)","2019","Reception area, across from front desk","1637 Grant Street","98368","http://www.arts.wa.gov/artwork/?request=record;id=13376;type=101","WSAC2020.003.006","POINT (-122.792488 48.112948)","Part of Washington's State Art Collection, acquired by ArtsWA and Port Townsend School District"
"Loon Lake","Loon Lake Elementary","Archibald, Jack","""Rebuilding Babel Brick by Brmphh….""","Painting","Glass","37 in x 21 in","1990","Library","4001 Maple St","99148","http://www.arts.wa.gov/artwork/?request=record;id=2603;type=101","WSAC1996.164.000","POINT (-117.630917 48.064965)","Part of Washington's State Art Collection, acquired by ArtsWA and Loon Lake School District"
"Lacey","Division of Vocational Rehabilitation","Heras, Heleodoro","""Tiempo Para La Poesia (Time for Poetry)""","Painting","Oil paint on hard board","24 in x 20 in","1993","4th Floor, Parents' Room","4565 7th Avenue SE","98503","http://www.arts.wa.gov/artwork/?request=record;id=2252;type=101","WSAC1995.037.000","POINT (-122.82628 47.041304)","Part of Washington's State Art Collection, acquired by ArtsWA and Royal School District"
"Auburn","Lake View Elementary School","Pryor, Melanie","""Untitled""","Sculpture","Hardwood, monofilament, and paint","5 ft x 9 ft x 3 in","1984","Raised foyer wall outside main office","16401 SE 318th St.","98002","http://www.arts.wa.gov/artwork/?request=record;id=5938;type=101","WSAC1983.159.000","POINT (-122.122381 47.316574)","Part of Washington's State Art Collection, acquired by ArtsWA and Auburn School District"
"Olympia","Office of the Governor","Slusher, Kenneth","""Olympic Rain Forest""","Photograph","Selenium-toned gelatin silver print","12 1/4 in x 18 1/4 in","1986","Insurance Building (Policy office), Hallway","Legislative Building, Capitol Campus 416 Sid Snyder Ave. SW","98504","http://www.arts.wa.gov/artwork/?request=record;id=1912;type=101","WSAC1992.039.000","POINT (-122.904761 47.035777)","Part of Washington's State Art Collection, acquired by ArtsWA and Puyallup School District"
"Seattle","Campbell Hill Elementary","Gardner, Steve","""Drifter""","Sculpture","Terra cotta, slips, and glazes","12 1/2 in x 32 in x 6 1/2 in","1999","Library shelf","6418 S 124th St.","98178","http://www.arts.wa.gov/artwork/?request=record;id=11322;type=101","WSAC2002.101.000","POINT (-122.253028 47.492339)","Part of Washington's State Art Collection, acquired by ArtsWA and Renton School District"
"Tacoma","Lakeview Elementary","Helppie, D. Maxwell","""Shaman's Mask""","Painting","Acrylic paint on board","18 in x 14 in","1992","Office","10501 47TH AVE SW","98499","http://www.arts.wa.gov/artwork/?request=record;id=3259;type=101","WSAC1993.105.000","POINT (-122.499009 47.161573)","Part of Washington's State Art Collection, acquired by ArtsWA and Clover Park School District"
"Vancouver","Clark College","Hansen, Art","""The Pond - April 1978""","Print","Etching","17 5/8 in x 14 3/8 in","1978","Gaiser Hall (GHL), Financial Aide reception area (by office #100A)","1933 Fort Vancouver Way","98663","http://www.arts.wa.gov/artwork/?request=record;id=4228;type=101","WSAC1978.048.000","POINT (-122.651212 45.636113)","Part of Washington's State Art Collection, acquired by ArtsWA and Washington State Parks and Clark College"
"Tacoma","University of Washington - Tacoma","Bey, Dawoud","""Elliott Brown and Sophia Woolery, from the series Strangers/Community: Tacoma""","Photograph","Archival inkjet print mounted to Dibond backing","26 5/8 in x 32 in","2013","Power House room of Snoqualmie Library","1900 Commerce St.","98402","http://www.arts.wa.gov/artwork/?request=record;id=12547;type=101","WSAC2013.009.005","POINT (-122.437992 47.244404)","Part of Washington's State Art Collection, acquired by ArtsWA and University of Washington"
"Cheney","Eastern Washington University","Chapnick, Karen","""Aquatic Circus""","Textile","Hand-dyed and braided sisal","4 ft x 7 ft (irregular dimensions)","1982","Hargreaves Hall, Room 223","526 5th St.","99004","http://www.arts.wa.gov/artwork/?request=record;id=5217;type=101","WSAC1982.089.000","POINT (-117.579959 47.491873)","Part of Washington's State Art Collection, acquired by ArtsWA and Eastern Washington University"
"Concrete","Concrete School District","Davis, Debra","""Flood (with Regards to Hokusai)""","Painting","Mixed media on paper","3 ft x 4 ft","1996","Administration building, hallway","45389 Airport Way, Room 103","98237","http://www.arts.wa.gov/artwork/?request=record;id=1737;type=101","WSAC1996.202.000","POINT (-121.757082 48.532042)","Part of Washington's State Art Collection, acquired by ArtsWA and Concrete School District"
"Spokane Valley","Continuous Curriculum School","Paquette, Virginia","""Scintilla""","Painting","Acrylic paint and oil sticks","3 ft 3 3/8 in x 4 ft 11 in x 1 3/8 in (framed)","1983","Main hallway, near library entrance","16924 E Wellesley Ave","99216","http://www.arts.wa.gov/artwork/?request=record;id=5594;type=101","WSAC1984.139.000","POINT (-117.176781 47.700185)","Part of Washington's State Art Collection, acquired by ArtsWA and East Valley School District (Spokane)"
"Kennewick","Ridge View Elementary","Sollod, Ellen","""Mezzaluna 2""","Print","Linocut print","8 in x 11 in","1989","Hallway","7001 W 13th Ave","99336","http://www.arts.wa.gov/artwork/?request=record;id=2651;type=101","WSAC1996.186.000","POINT (-119.217409 46.196468)","Part of Washington's State Art Collection, acquired by ArtsWA and Kennewick School District"
"Mukilteo","Department of Transportation - Mukilteo Ferry Terminal","Davis, Earl","""Life Cycle of the Land - Wolves and Elk""","Sculpture","Aluminum","5 ft x 3 ft","2021","Maintenance Building, back wall, first panel from left side","910 Front St.","98275","http://www.arts.wa.gov/artwork/?request=record;id=13567;type=101","WSAC2019.032.001","POINT (-122.296414 47.950167)","Part of Washington's State Art Collection, acquired by ArtsWA and Department of Transportation - Ferries"
"Bellingham","Bellingham Technical College","Jellum, Keith","""Windship""","Sculpture","Sheet bronze over skeleton of mild steel and stainless steel","10 ft x 4 ft x 2 ft","1980","C Building entrance","3028 Lindbergh Ave.","98225","http://www.arts.wa.gov/artwork/?request=record;id=4614;type=101","WSAC1980.045.000","POINT (-122.512069 48.765475)","Part of Washington's State Art Collection, acquired by ArtsWA and Bellingham Technical College"
"Bonney Lake","Lakeridge Middle School","Point, Susan","""The Shaper""","Sculpture","Carved glass plate","18 in diameter","1997","Library","5909 Myers Road E.","98391","http://www.arts.wa.gov/artwork/?request=record;id=3776;type=101","WSAC1999.058.000","POINT (-122.189875 47.202925)","Part of Washington's State Art Collection, acquired by ArtsWA and Sumner School District"
"Olympia","The Evergreen State College","Larson, Carrie L.","""Quietude""","Painting","Watercolor paint and various papers","27 1/2 in x 20 in x 3/4 in (overall)","2017","Lab I, basement hallway","2700 Evergreen Parkway NW","98505","http://www.arts.wa.gov/artwork/?request=record;id=13101;type=101","WSAC2018.015.000","POINT (-122.977589 47.073413)","Part of Washington's State Art Collection, acquired by ArtsWA and The Evergreen State College"
"Olympia","Washington State Arts Commission","Sperry, Robert","""Plate #468""","Sculpture","Ceramic","15 1/2 in x 15 1/2 in x 1 7/16 in","1982","Not on display. At ArtsWA pending conservation, framing, re-siting, or return to site.","711 Capitol Way S., Suite 600","98504","http://www.arts.wa.gov/artwork/?request=record;id=5158;type=101","WSAC1982.138.001","POINT (-122.901474 47.041975)","Part of Washington's State Art Collection, acquired by ArtsWA and Monroe School District"
"Fairchild Air Force Base","Michael Anderson Elementary School","Pepper, Miles","""The Eagle and the Thrush""","Sculpture","Fabricated metal, aluminum, and stainless steel","4 ft x 15 ft x 7 ft","2006","School entrance","1000 Fairchild Street","99011","http://www.arts.wa.gov/artwork/?request=record;id=11702;type=101","WSAC2004.017.000","POINT (-117.660242 47.631491)","Part of Washington's State Art Collection, acquired by ArtsWA and Medical Lake School District"
"Spanaway","Bethel Middle School","Stauffer, Robert","""Prince and Four Frogs Drum""","Sculpture","Wood, deer hide, and acrylic paint","18 in diameter x 3 in depth","1992","Library","22201 38TH AVE E","983876827","http://www.arts.wa.gov/artwork/?request=record;id=1989;type=101","WSAC1995.030.000","POINT (-122.378456 47.058271)","Part of Washington's State Art Collection, acquired by ArtsWA and Bethel School District"
"Tacoma","Tacoma Community College","Teeple, Robert","""Scope""","Sculpture","Electronics, wood, aluminum, and Plexiglas","15 in x 12 in x 5 in","1990","Building 15, Science & Engineering, 1st Floor Lobby","6501 S 19th St.","98466","http://www.arts.wa.gov/artwork/?request=record;id=4720;type=101","WSAC1990.090.000","POINT (-122.525114 47.244267)","Part of Washington's State Art Collection, acquired by ArtsWA and Multiples: The Sciences and Art Collection"
"Port Angeles","Peninsula College","Braun, Bill","""A Pond""","Painting","Acrylic paint on canvas","34 in x 24 in x 1 in (overall)","2014","Allied Health Building, reception area, Early Childhood Development Center","1502 East Lauridsen Blvd.","98362","http://www.arts.wa.gov/artwork/?request=record;id=13192;type=101","WSAC2018.043.000","POINT (-123.413978 48.099674)","Part of Washington's State Art Collection, acquired by ArtsWA and Peninsula College"
"Spokane","Browne Elementary School","Madsen, Melissa","""Chinookies in Space""","Painting","Gouache paint and beads","23 in x 39 in","2000","Main hallway, reading nook","5102 N Driscoll Blvd.","99205","http://www.arts.wa.gov/artwork/?request=record;id=10658;type=101","WSAC2000.061.000","POINT (-117.463772 47.704041)","Part of Washington's State Art Collection, acquired by ArtsWA and Spokane School District"
"Lakewood","Pierce College - Fort Steilacoom","Catterall, John","""Harrison Landscape""","Print","Screen print and spray stencil","28 in x 39 in","1977","Cascade Building, Library, Behind Checkout Desk","9401 Farwest Dr. SW","98498","http://www.arts.wa.gov/artwork/?request=record;id=4313;type=101","WSAC1978.077.000","POINT (-122.570837 47.172704)","Part of Washington's State Art Collection, acquired by ArtsWA and Pierce College"
"Shoreline","Shoreline School District","Tennis, Whiting","""Old Abe Icon""","Painting","Oil paint and woodblock print on paper, mounted on plywood","27 in x 20 1/2 in","1991","Lobby","18560 1st Ave. NE","98155","http://www.arts.wa.gov/artwork/?request=record;id=1933;type=101","WSAC1992.060.000","POINT (-122.303506 47.74068)","Part of Washington's State Art Collection, acquired by ArtsWA and Shoreline School District"
"Olympia","Washington State Arts Commission","Stone, Michael","""Smudge Pot""","Photograph","Gelatin silver print","9 in x 13 in","1980 (Spring)","Not on display. At ArtsWA pending conservation, framing, re-siting, or return to site.","711 Capitol Way S., Suite 600","98504","http://www.arts.wa.gov/artwork/?request=record;id=10913;type=101","WSAC1979.123.006","POINT (-122.901474 47.041975)","Part of Washington's State Art Collection, acquired by ArtsWA and Grandview School District"
"Vancouver","Clark College","Ryland, Lori","""The Steel Butterfly""","Painting","Acrylic paint on canvas","5 ft 10 in x 13 ft 6 in","1980","Penguin Union Building (PUB), 2nd floor, above Gaiser Student Center","1933 Fort Vancouver Way","98663","http://www.arts.wa.gov/artwork/?request=record;id=5260;type=101","WSAC1982.049.000","POINT (-122.651861 45.636159)","Part of Washington's State Art Collection, acquired by ArtsWA and Eatonville School District and Clark College"
"Snohomish","Chain Lake Elementary","Sandvig, Elizabeth","""Circus, Circus, Performing Woman""","Print","Monoprint","26 in x 20 in","1990","Library","12125 Chain Lake Rd","98290","http://www.arts.wa.gov/artwork/?request=record;id=3341;type=101","WSAC1991.061.000","POINT (-121.967979 47.887341)","Part of Washington's State Art Collection, acquired by ArtsWA and Monroe School District"
"Olympia","Washington State Arts Commission","Miller, Earl","""Manhattan Savoy""","Print","Screen print","22 3/4 in x 22 1/2 in (overall)","1975","Not on display. At ArtsWA pending conservation, framing, re-siting, or return to site.","711 Capitol Way S., Suite 600","98504","http://www.arts.wa.gov/artwork/?request=record;id=3677;type=101","WSAC1976.061.000","POINT (-122.901474 47.041975)","Part of Washington's State Art Collection, acquired by ArtsWA and Federal Way School District"
"Retsil","Washington Veterans Home","Lommasson, James","""Untitled #9""","Photograph","Incorporated color coupler print","11 3/8 in x 16 3/4 in","1982","Administration hallway","1141 Beach Drive","98378","http://www.arts.wa.gov/artwork/?request=record;id=5765;type=101","WSAC1983.022.006","POINT (-122.616206 47.546332)","Part of Washington's State Art Collection, acquired by ArtsWA and Department of Veterans Affairs"
"Olympia","Washington State Arts Commission","Gunshow, Robin","""Dancing Fan""","Sculpture","Feathers, glass beads, buckskin, felt, leather, and wood handle","19 in x 6 1/2 in x 2 1/2 in","1984","Not on display. At ArtsWA pending conservation, framing, re-siting, or return to site.","711 Capitol Way S., Suite 600","98504","http://www.arts.wa.gov/artwork/?request=record;id=5863;type=101","WSAC1984.193.000","POINT (-122.901474 47.041975)","Part of Washington's State Art Collection, acquired by ArtsWA and Department of Corrections"
"Olympia","Washington State Arts Commission","Haidle, David","""Rose Matrix I""","Print","Lithograph print","26 5/16 in x 20 1/4 in","1978","Not on display. At ArtsWA pending conservation, framing, re-siting, or return to site.","711 Capitol Way S., Suite 600","98504","http://www.arts.wa.gov/artwork/?request=record;id=4523;type=101","WSAC1979.047.000","POINT (-122.901474 47.041975)","Part of Washington's State Art Collection, acquired by ArtsWA and Cape Flattery School District"
"Port Orchard","Sidney Glen Elementary","Wesley, John","""Artifacts of the Imaging System #90-1-45-3""","Photograph","Incorporated color coupler print","20 in x 30 in","1990","Library, right of windows","500 SW Birch RD","98366","http://www.arts.wa.gov/artwork/?request=record;id=5367;type=101","WSAC1990.258.000","POINT (-122.654157 47.506171)","Part of Washington's State Art Collection, acquired by ArtsWA and South Kitsap School District"
"Olympia","Michael T Simmons Elementary","Amiot, Patrick","""Untitled""","Sculpture","Clay mural","2 ft 8 in x 3 ft 6 in","1987","Hallway wall next to library","1205 South 2nd Avenue","98512","http://www.arts.wa.gov/artwork/?request=record;id=5027;type=101","WSAC1986.067.001","POINT (-122.911959 47.005667)","Part of Washington's State Art Collection, acquired by ArtsWA and Tumwater School District"
"Seattle","University of Washington","Niro, Shelley","""The Essential Sensuality of Ceremony""","Sculpture","Gelatin silver prints with beaded objects","20 in x 16 in","2002","Gallagher Law Library (4293 Memorial Way NE, Seattle)","15th Ave. NE, between NE Pacific St. and NE 45th St.","98195","http://www.arts.wa.gov/artwork/?request=record;id=11599;type=101","WSAC2003.042.002A-B","POINT (-122.310393 47.659409)","Part of Washington's State Art Collection, acquired by ArtsWA and University of Washington"
"Lacey","Lydia Hawk Elementary","Brig, Morgan","""No Risk No Glory""","Sculpture","Copper and enamel","16 in x 10 in x 1 in","2000","Hallway","7600 5th St. SE","98503","http://www.arts.wa.gov/artwork/?request=record;id=10838;type=101","WSAC2001.002.000","POINT (-122.777711 47.04717)","Part of Washington's State Art Collection, acquired by ArtsWA and North Thurston Public Schools"
"Yelm","Yelm High School","Oliver, Marvin","""Big Bird""","Sculpture","Carved and painted western red cedar wood","7 ft 6 in x 15 ft 9 in x 1 1/2 in","1979","Commons area","1315 W Yelm Ave.","98597","http://www.arts.wa.gov/artwork/?request=record;id=4416;type=101","WSAC1979.095.000","POINT (-122.624327 46.950619)","Part of Washington's State Art Collection, acquired by ArtsWA and Yelm School District"
"Pasco","Longfellow Elementary","DeVoe, Mike","""An Astounding Number of Salmon""","Sculpture","Painted wood","16 ft 9 in x 2 ft 7 in irregular diameter","1990","Main entrance mezzanine","301 North 10th Ave","99301","http://www.arts.wa.gov/artwork/?request=record;id=4905;type=101","WSAC1989.012.003","POINT (-119.101998 46.231143)","Part of Washington's State Art Collection, acquired by ArtsWA and Pasco School District"
"Moses Lake","Big Bend Community College","Boussard, Dana","""Sky of Hope, Lake of Dreams""","Painting","Stained glass and copper foil","Nine glass panels, 11.5 ft x 14 ft overall, ranging in size from 32 in x 15 in (smallest) to 44 in x 71 in (largest) (approximately)","2004","Library addition, main entrance windows","7662 Chanute St. NE","98837","http://www.arts.wa.gov/artwork/?request=record;id=11611;type=101","WSAC2003.052.000","POINT (-119.327429 47.185482)","Part of Washington's State Art Collection, acquired by ArtsWA and Big Bend Community College"
"Olympia","Washington State Arts Commission","Tate, Carol","""Linaceae #34""","Textile","Hand-dyed linen, procion dye, and Dacron batting","3 ft 8 in x 7 ft","1978","Not on display. At ArtsWA pending conservation, framing, re-siting, or return to site.","711 Capitol Way S., Suite 600","98504","http://www.arts.wa.gov/artwork/?request=record;id=4392;type=101","WSAC1979.104.000","POINT (-122.901474 47.041975)","Part of Washington's State Art Collection, acquired by ArtsWA and Central Kitsap School District"
"Seattle","Seattle Maritime Academy","Sisko, John","""(All) Hands on Deck""","Sculpture","Cast Forton with acrylic, gold leaf, and silver leaf","Three parts: 7 ft 6 in x 4 ft, 2 ft x 9 ft 3 in, and 2 ft x 13 ft 6 in","2021","1st floor, main hallway","4455 Shilshole Ave. NW","98107","http://www.arts.wa.gov/artwork/?request=record;id=13568;type=101","WSAC2014.018.00A-C","POINT (-122.374785 47.660925)","Part of Washington's State Art Collection, acquired by ArtsWA and Seattle Central College"
"Seattle","University of Washington","Kaneko, Jun","""Reflect""","Sculpture","Glazed ceramic","8 1/2 ft x 120 ft x 60 ft (overall)","2003","UW Medical Center, Surgery Pavilion balcony (1959 NE Pacific St, Seattle)","15th Ave. NE, between NE Pacific St. and NE 45th St.","98195","http://www.arts.wa.gov/artwork/?request=record;id=11189;type=101","WSAC2001.052.00A-D","POINT (-122.305417 47.648951)","Part of Washington's State Art Collection, acquired by ArtsWA and University of Washington"
"Lynnwood","Lake Stickney Elementary School","McIsaac, Adam","""Sea to Summit""","Sculpture","Old growth western cedar wood","Dimensions variable: Squirrel 42”x42”, Otter 20”x24”, Woodpecker 24”x7”, Deer 42”x30”, Sea bird 30”x48”, Salmon 32”x24”","2019","One in each of six classrooms in the central pod","1625 Madison Way","98037","http://www.arts.wa.gov/artwork/?request=record;id=13311;type=101","WSAC2017.007.00A-F","POINT (-122.25557 47.870368)","Part of Washington's State Art Collection, acquired by ArtsWA and Mukilteo School District"
"Sammamish","Discovery Elementary","Beyette, Pam","""Vesture I""","Sculpture","Paint, copper, wood, and recycled materials","50 in x 23 in x 6 in","1992","Temporarily not on display.","2300 228th Ave SE","98075","http://www.arts.wa.gov/artwork/?request=record;id=2218;type=101","WSAC1995.001.000","POINT (-122.03439 47.588897)","Part of Washington's State Art Collection, acquired by ArtsWA and Issaquah School District"
"Seattle","North Seattle College","Matteson, Ross","""Northern Flicker Monument""","Sculpture","Bronze","6 ft 4 in x 1 ft 9 in x 2 ft","2005","Pedestrian sky bridge, column on south side","9600 College Way North","98103","http://www.arts.wa.gov/artwork/?request=record;id=11672;type=101","WSAC2004.001.000","POINT (-122.333383 47.699023)","Part of Washington's State Art Collection, acquired by ArtsWA and North Seattle Community College"
"Enumclaw","Enumclaw High School","Haft, Robert","""The Lightness of Being""","Photograph","Gelatin silver print","11 in x 20 in","1986","Main office","226 Semanski Street South","98022","http://www.arts.wa.gov/artwork/?request=record;id=10712;type=101","WSAC2000.115.000","POINT (-122.00612 47.191398)","Part of Washington's State Art Collection, acquired by ArtsWA and Enumclaw School District"
"Olympia","Washington State Arts Commission","Park, Seho","""Celestial Black #51""","Painting","Acrylic paint, oil pastel, and colored pencil on paper","17 1/2 in x 22 1/2 in (sheet)","1981","On display in AIPP Project Manager's office","711 Capitol Way S., Suite 600","98504","http://www.arts.wa.gov/artwork/?request=record;id=5900;type=101","WSAC1984.216.000","POINT (-122.901474 47.041975)","Part of Washington's State Art Collection, acquired by ArtsWA and Bethel School District"
"Puyallup","Clover Park Technical College - South Hill","Archibald, Jack","""Circumnavigating the Century""","Painting","Stained glass","21 ft x 42 ft (overall)","2001","Thun Field Aviation Center","17214 110th Avenue East","98374","http://www.arts.wa.gov/artwork/?request=record;id=10580;type=101","WSAC1999.080.000","POINT (-122.50004 47.174752)","Part of Washington's State Art Collection, acquired by ArtsWA and Clover Park Technical College"
"Tonasket","Tonasket Elementary School","Liu, Lucy","""Purple Attraction""","Painting","Chinese watercolor paint on sumi paper","27 in x 13 in","1994","Main Hallway","35 ES Hwy. 20","98855","http://www.arts.wa.gov/artwork/?request=record;id=2720;type=101","WSAC1997.006.000","POINT (-119.432116 48.702086)","Part of Washington's State Art Collection, acquired by ArtsWA and Tonasket School District"
"Redmond","Redmond High School","Conklin Cloy, Peggy","""Dream Weaving #50""","Sculpture","Hand cast fiber, synthetic gauze, and acrylic paint","21 in x 20 in x 2 in","1985","Counselor's Office","17272 NE 104th St.","98052","http://www.arts.wa.gov/artwork/?request=record;id=6185;type=101","WSAC1985.095.000","POINT (-122.10781 47.694527)","Part of Washington's State Art Collection, acquired by ArtsWA and Lake Washington School District"
"Prosser","Housel Middle School","Webb, Hugh","""Case/Vase""","Painting","Acrylic paint, gold leaf, oil, wax, and found objects on plywood","4 ft 1/2 in x 6 ft 1/2 in x 13 1/4 in","1995","Library","2001 Highland Dr.","99350","http://www.arts.wa.gov/artwork/?request=record;id=1829;type=101","WSAC1996.284.000","POINT (-119.753129 46.208903)","Part of Washington's State Art Collection, acquired by ArtsWA and Prosser School District"
"Auburn","Mount Baker Middle School","Haag, Patty","""Balancing Act""","Painting","Acrylic paint on wood","26 in x 26 in","1993","Art Room, Supply Room 606","620 37th St. SE","98002","http://www.arts.wa.gov/artwork/?request=record;id=2389;type=101","WSAC1995.191.000","POINT (-122.220164 47.274596)","Part of Washington's State Art Collection, acquired by ArtsWA and Auburn School District"
"Olympia","Washington State Arts Commission","Sahlstrand, James","""Photograph""","Photograph","Silver dye bleach print","13 15/16 in x 10 15/16 in (sheet)","1979","Not on display. At ArtsWA pending conservation, framing, re-siting, or return to site.","711 Capitol Way S., Suite 600","98504","http://www.arts.wa.gov/artwork/?request=record;id=4559;type=101","WSAC1979.017.002","POINT (-122.901474 47.041975)","Part of Washington's State Art Collection, acquired by ArtsWA and Department of Natural Resources"
"Seattle","Tiffany Park Elementary","Williams, Louise","""The Lesson""","Drawing","Pastel and acrylic paint on paper","44 in x 30 in","1999","West wing hallway","1601 Lake Youngs Way SE","98158","http://www.arts.wa.gov/artwork/?request=record;id=10874;type=101","WSAC2001.038.000","POINT (-122.178079 47.465114)","Part of Washington's State Art Collection, acquired by ArtsWA and Renton School District"
"Lacey","Evergreen Forest Elementary","Moore, Shelley","""Vigilant Lucille Keeps an Eye on Young Mose""","Sculpture","Masonite board, foam, paper pulp, acrylic paint, and painted copper cutout","30 in x 54 in x 3 in","1984","Gen Ed Modular, Outside of Room 201","3025 Marvin Rd. SE","98503","http://www.arts.wa.gov/artwork/?request=record;id=3040;type=101","WSAC1987.017.000","POINT (-122.758905 47.019721)","Part of Washington's State Art Collection, acquired by ArtsWA and North Thurston Public Schools"
