Source,Address,County,Sector ,Sub Sector,Total Emissions (MT CO2e),Biogenic CO2 (MT CO2),Fossil CO2 (MT CO2),Methane (MT CO2e),Nitrous Oxide (MT CO2e),Hydrofluorocarbons (MT CO2e),Perfluorocarbons (MT CO2e),Sulfur Hexafluoride (MT CO2e),Other (MT CO2e),"Location (Latitude, Longitude) ",Point Size- Based on Total Emissions,WAOFM - GIS - Legislative District Boundary,Counties,Congressional Districts
"Horse Heaven Cattle Feeders, Inc. - Sunnyside","1691 Midvale Road, Sunnyside, WA 98944",Yakima,Food Production,Cattle Feedlots,10949,0,0,845,10104,0,0,0,0,"(46.284622, -120.019668)",1,22,2746,4
Northwest Hardwoods Inc. - Mount Vernon,"13421 Farm to Market Road, Mount Vernon, WA 98273",Skagit,Wood Products,Lumber Mills,10017,6055,3878,13,71,0,0,0,0,"(48.451642, -122.443028)",1,16,3212,2
Easterday Ranches North Feedlot - Eltopia,"8230 Blanton Rd., Eltopia, WA 99330",Franklin,Food Production,Cattle Feedlots,15384,0,1172,1101,13112,0,0,0,0,"(46.50919, -118.881203)",1,13,2981,4
Weyerhaeuser Raymond Lumber - Raymond,"51 Ellis Street, Raymond, WA 98577",Pacific,Wood Products,Lumber Mills,46747,46747,0,0,0,0,0,0,0,"(46.688088, -123.737495)",2,26,3208,3
Cowlitz County Headquarters Landfill - Castle Rock,"3434 South Silver Lake Road, Castle Rock, WA 98611",Cowlitz,Waste,Municipal Landfills,178854,7724,0,171103,28,0,0,0,0,"(46.246902, -122.772284)",3,27,2978,3
Grays Harbor Energy Center - Elma,"401 Keys Road, Elma, WA 98541",Grays Harbor,Power Plants,Natural Gas Turbine Plants,1081729,0,1080630,501,597,0,0,0,0,"(46.9688, -123.48)",4,26,2983,6
Cascade Natural Gas Corporation LDC - statewide,"8113 W Grandridge Blvd, Kennewick, WA 99336",Benton,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,23616,0,171,23445,0,0,0,0,0,"(46.21875, -119.22987)",1,12,2955,4
"Rainier Veneer, Inc. - Spanaway","8220 Eustis Hunt Rd E, Spanaway, WA 98387",Pierce,Wood Products,Engineered Wood,17294,15416,1671,30,177,0,0,0,0,"(47.062059, -122.318981)",1,2,3210,10
Alon Asphalt Company - Seattle,"20555 Richmond Beach Drive NW, Seattle, WA 98177",King,Petroleum and Natural Gas Systems,Other Petroleum and Natural Gas Systems,14096,0,14069,19,8,0,0,0,0,"(47.781642, -122.395299)",1,21,3213,7
Starbucks Kent Flexible Plant - Kent,"18411 77th Place South, Kent, WA 98032",King,Food Production,Other Food Products,14382,0,14367,7,8,0,0,0,0,"(47.436276, -122.237648)",1,36,3009,9
U.S. Department of Energy Hanford Site - Richland,"825 Jadwin Avenue, Richland, WA 99352",Benton,Government,Other Government,14174,0,4453,9714,7,0,0,0,0,"(46.55069, -119.489007)",1,12,2955,4
"North Pacific Paper Company, LLC - Longview","3001 Industrial Way, Longview, WA 98632",Cowlitz,Pulp and Paper,Other Pulp and Paper,37298,0,37260,18,21,0,0,0,0,"(46.125662, -122.976788)",2,26,2978,3
PacifiCorp Energy - Chehalis Generating Facility - Chehalis,"1813 Bishop Rd, Chehalis, WA 98532",Lewis,Power Plants,Natural Gas Turbine Plants,591615,0,591015,274,327,0,0,0,0,"(46.6226, -122.9145)",3,27,3196,3
The Boeing Company - Renton,"737 Logan Avenue N., Renton, WA 98055",King,Manufacturing,Transportation,17578,0,17560,8,10,0,0,0,0,"(47.498257, -122.211346)",1,38,3009,9
Georgia-Pacific Gypsum LLC - Tacoma,"1240 Alexander Ave, Tacoma, WA 98421",Pierce,Manufacturing,Gypsum Manufacturing,48825,0,48775,23,27,0,0,0,0,"(47.269558, -122.394869)",2,11,3210,9
Bonneville Power Administration - WA Only - statewide,"5411 NE HWY 99, Vancouver, WA 98663",Clark,Power Plants,Use of Electrical Equipment,17121,0,0,0,0,0,0,17121,0,"(45.661178, -122.658608)",1,8,2977,3
Linde Gas North America LLC - Anacortes,"8529 South Texas Road, Anacortes, WA 98221",Skagit,Chemicals,Hydrogen Production,55127,0,55127,0,0,0,0,0,0,"(48.467646, -122.554343)",2,43,3212,2
J.R. Simplot Company - Moses Lake,"14124 Wheeler Rd NE, Moses Lake, WA 98837",Grant,Food Production,Potato Products,35041,3366,24415,7235,26,0,0,0,0,"(47.131732, -119.18926)",2,19,2982,4
Northwest Pipeline Roosevelt C/S - Bickleton,"652 Sixprong Road, Bickleton, WA 99322",Klickitat,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,9799,0,7590,2205,4,0,0,0,0,"(45.849504, -120.08083)",1,20,3195,3
Roosevelt Regional Landfill - Roosevelt,"500 Roosevelt Grade Rd., PO Box 338, Roosevelt, WA 99356-0338",Klickitat,Waste,Municipal Landfills,196768,0,287,196480,1,0,0,0,0,"(45.807146, -120.179785)",3,20,3195,3
Sonoco Products Company - Sumner,"1802 Steele Ave., Sumner, WA 98390",Pierce,Pulp and Paper,Other Pulp and Paper,13941,0,13927,7,8,0,0,0,0,"(47.210641, -122.239474)",1,15,3210,10
Northwest Pipeline C/S - Chehalis,"156 Meier Road West, Chehalis, WA 98596",Lewis,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,27923,0,26183,1725,15,0,0,0,0,"(46.533325, -122.87373)",2,27,3196,3
Puget Sound Energy - Frederickson Generating Station - Tacoma,"4714 192nd St E, Tacoma, WA 98446",Pierce,Power Plants,Natural Gas Turbine Plants,30296,0,30265,14,17,0,0,0,0,"(47.079716, -122.364711)",2,35,3210,10
