"rowid","schoolyear","organizationlevel","organizationid","organizationname","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","programdesignid","programdesign","languageid","languageofinstruction","programmodel","dl_lowestgradelevelcode","dl_highestgradelevelcode","websiteduallanguageeducation","hasdlprogramming","dataasof","latitude","longitude","physicaladdress","mailingaddress","districtcountdlschools","districtcountdlprograms"
"211","2016-17","District","100125","Lake Chelan School District","Chelan","North Central Educational Service District 171","100008","4129","Lake Chelan School District","100125","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"212","2016-17","District","100211","Lake Quinault School District","Grays Harbor","Capital Region ESD 113","100004","14097","Lake Quinault School District","100211","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"213","2016-17","District","100126","Lake Stevens School District","Snohomish","Northwest Educational Service District 189","100009","31004","Lake Stevens School District","100126","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"214","2016-17","District","104276","Lake Washington Institute of Technology","King","NULL","NULL","17937","Lake Washington Institute of Technology","104276","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"215","2016-17","District","100127","Lake Washington School District","King","Puget Sound Educational Service District 121","100006","17414","Lake Washington School District","100127","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"216","2016-17","District","100128","Lakewood School District","Snohomish","Northwest Educational Service District 189","100009","31306","Lakewood School District","100128","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"217","2016-17","District","100129","Lamont School District","Whitman","Educational Service District 101","100001","38264","Lamont School District","100129","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"218","2016-17","District","100130","Liberty School District","Spokane","Educational Service District 101","100001","32362","Liberty School District","100130","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"219","2016-17","District","100131","Lind School District","Adams","Educational Service District 101","100001","1158","Lind School District","100131","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"220","2016-17","District","100132","Longview School District","Cowlitz","Educational Service District 112","100003","8122","Longview School District","100132","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"221","2016-17","District","100133","Loon Lake School District","Stevens","Educational Service District 101","100001","33183","Loon Lake School District","100133","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"222","2016-17","District","100134","Lopez School District","San Juan","Northwest Educational Service District 189","100009","28144","Lopez School District","100134","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"223","2016-17","District","106257","Lumen Public School","Spokane","Spokane Public Schools Charter Authorizer","105886","32903","Lumen Public School","106257","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"224","2016-17","District","105800","Lummi Tribal Agency","Whatcom","NULL","NULL","37903","Lummi Tribal Agency","105800","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"225","2016-17","District","100135","Lyle School District","Klickitat","Educational Service District 112","100003","20406","Lyle School District","100135","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"226","2016-17","District","100136","Lynden School District","Whatcom","Northwest Educational Service District 189","100009","37504","Lynden School District","100136","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"227","2016-17","District","100137","Mabton School District","Yakima","Educational Service District 105","100002","39120","Mabton School District","100137","3070","Artz Fox Elementary","103225","P","2","Two-way","243","Spanish","80-20","Kindergarten","5","http://www.mabton.wednet.edu/Domain/77","1","2021-02-18T00:00:00.000","46.215326","-119.990285","805 Washington Street, Mabton, Washington, 98935-0040","PO Box 40, Mabton, Washington, 98935-0040","1","1"
"228","2016-17","District","100138","Mansfield School District","Douglas","North Central Educational Service District 171","100008","9207","Mansfield School District","100138","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"229","2016-17","District","100139","Manson School District","Chelan","North Central Educational Service District 171","100008","4019","Manson School District","100139","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"230","2016-17","District","100140","Mary M Knight School District","Mason","Capital Region ESD 113","100004","23311","Mary M Knight School District","100140","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"231","2016-17","District","100141","Mary Walker School District","Stevens","Educational Service District 101","100001","33207","Mary Walker School District","100141","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"232","2016-17","District","100142","Marysville School District","Snohomish","Northwest Educational Service District 189","100009","31025","Marysville School District","100142","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"233","2016-17","District","100143","McCleary School District","Grays Harbor","Capital Region ESD 113","100004","14065","McCleary School District","100143","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"234","2016-17","District","100144","Mead School District","Spokane","Educational Service District 101","100001","32354","Mead School District","100144","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"235","2016-17","District","100145","Medical Lake School District","Spokane","Educational Service District 101","100001","32326","Medical Lake School District","100145","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"236","2016-17","District","100146","Mercer Island School District","King","Puget Sound Educational Service District 121","100006","17400","Mercer Island School District","100146","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"237","2016-17","District","100147","Meridian School District","Whatcom","Northwest Educational Service District 189","100009","37505","Meridian School District","100147","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"238","2016-17","District","100148","Methow Valley School District","Okanogan","North Central Educational Service District 171","100008","24350","Methow Valley School District","100148","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"239","2016-17","District","100149","Mill A School District","Skamania","Educational Service District 112","100003","30031","Mill A School District","100149","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"240","2016-17","District","100150","Monroe School District","Snohomish","Northwest Educational Service District 189","100009","31103","Monroe School District","100150","3060","Frank Wagner Elementary","102607","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.monroe.wednet.edu/pages/schools/fwe.html","1","2021-02-18T00:00:00.000","47.854047","-121.981307","115 Dickinson Rd., Monroe, Washington, 98272-2126","115 Dickinson Rd., Monroe, Washington, 98272-2126","1","1"
"241","2016-17","District","100151","Montesano School District","Grays Harbor","Capital Region ESD 113","100004","14066","Montesano School District","100151","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"242","2016-17","District","100152","Morton School District","Lewis","Capital Region ESD 113","100004","21214","Morton School District","100152","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"243","2016-17","District","100153","Moses Lake School District","Grant","North Central Educational Service District 171","100008","13161","Moses Lake School District","100153","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"244","2016-17","District","100154","Mossyrock School District","Lewis","Capital Region ESD 113","100004","21206","Mossyrock School District","100154","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"245","2016-17","District","100155","Mount Adams School District","Yakima","Educational Service District 105","100002","39209","Mount Adams School District","100155","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"246","2016-17","District","100156","Mount Baker School District","Whatcom","Northwest Educational Service District 189","100009","37507","Mount Baker School District","100156","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"247","2016-17","District","100157","Mount Pleasant School District","Skamania","Educational Service District 112","100003","30029","Mount Pleasant School District","100157","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"248","2016-17","District","100158","Mount Vernon School District","Skagit","Northwest Educational Service District 189","100009","29320","Mount Vernon School District","100158","3821","La Venture Middle School","102411","P","2","Two-way","243","Spanish","50-50","6","8","http://laventure.mountvernonschools.org/pages/LaVenture_Middle","1","2021-02-18T00:00:00.000","48.431005","-122.312169","1200 LaVenture Rd, Mount Vernon, Washington, 98273-2762","1200 LaVenture Rd, Mount Vernon, Washington, 98273-2762","2","2"
"249","2016-17","District","100158","Mount Vernon School District","Skagit","Northwest Educational Service District 189","100009","29320","Mount Vernon School District","100158","3001","Madison Elementary","102408","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://madison.mountvernonschools.org/pages/MtVernon_MadisonES","1","2021-02-18T00:00:00.000","48.429069","-122.32867","400 53rd St, Mount Vernon, Washington, 98273-2971","400 53rd St, Mount Vernon, Washington, 98273-2971","2","2"
"250","2016-17","District","105771","Muckleshoot Indian Tribe","King","NULL","NULL","17903","Muckleshoot Indian Tribe","105771","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"251","2016-17","District","100159","Mukilteo School District","Snohomish","Northwest Educational Service District 189","100009","31006","Mukilteo School District","100159","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"252","2016-17","District","100160","Naches Valley School District","Yakima","Educational Service District 105","100002","39003","Naches Valley School District","100160","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"253","2016-17","District","100161","Napavine School District","Lewis","Capital Region ESD 113","100004","21014","Napavine School District","100161","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"254","2016-17","District","100162","Naselle-Grays River Valley School District","Pacific","Educational Service District 112","100003","25155","Naselle-Grays River Valley School District","100162","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"255","2016-17","District","100163","Nespelem School District #14","Okanogan","North Central Educational Service District 171","100008","24014","Nespelem School District #14","100163","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"256","2016-17","District","100164","Newport School District","Pend Oreille","Educational Service District 101","100001","26056","Newport School District","100164","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"257","2016-17","District","100165","Nine Mile Falls School District","Spokane","Educational Service District 101","100001","32325","Nine Mile Falls School District","100165","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"258","2016-17","District","100166","Nooksack Valley School District","Whatcom","Northwest Educational Service District 189","100009","37506","Nooksack Valley School District","100166","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"259","2016-17","District","100167","North Beach School District No. 64","Grays Harbor","Capital Region ESD 113","100004","14064","North Beach School District No. 64","100167","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"260","2016-17","District","100168","North Franklin School District","Franklin","Educational Service District 123","100007","11051","North Franklin School District","100168","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"261","2016-17","District","100169","North Kitsap School District","Kitsap","Olympic Educational Service District 114","100005","18400","North Kitsap School District","100169","2476","Poulsbo Middle School","101703","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://poulsboelementary.nkschools.org/","1","2021-02-18T00:00:00.000","47.73295","-122.622352","2003 NE Hostmark St, Poulsbo, Washington, 98370-7639","2003 NE Hostmark St, Poulsbo, Washington, 98370-7639","2","2"
"262","2016-17","District","100169","North Kitsap School District","Kitsap","Olympic Educational Service District 114","100005","18400","North Kitsap School District","100169","4461","Vinland Elementary","101712","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.nkschools.org/cms/One.aspx?portalId=419589&pageId=17756703","1","2021-02-18T00:00:00.000","47.763843","-122.674288","22104 Rhododendron Ln NW, Poulsbo, Washington, 98370-9406","22104 Rhododendron Ln NW, Poulsbo, Washington, 98370-9406","2","2"
"263","2016-17","District","100170","North Mason School District","Mason","Olympic Educational Service District 114","100005","23403","North Mason School District","100170","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"264","2016-17","District","100171","North River School District","Pacific","Capital Region ESD 113","100004","25200","North River School District","100171","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"265","2016-17","District","100172","North Thurston Public Schools","Thurston","Capital Region ESD 113","100004","34003","North Thurston Public Schools","100172","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"266","2016-17","District","100173","Northport School District","Stevens","Educational Service District 101","100001","33211","Northport School District","100173","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"267","2016-17","District","100174","Northshore School District","King","Puget Sound Educational Service District 121","100006","17417","Northshore School District","100174","3749","Woodin Elementary","101642","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.nsd.org/Page/7559","1","2021-02-18T00:00:00.000","47.768252","-122.16759","12950 NE 195 ST, Bothell, Washington, 98011-2537","12950 NE 195 ST, Bothell, Washington, 98011-2537","1","1"
"268","2016-17","District","100175","Oak Harbor School District","Island","Northwest Educational Service District 189","100009","15201","Oak Harbor School District","100175","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"269","2016-17","District","100176","Oakesdale School District","Whitman","Educational Service District 101","100001","38324","Oakesdale School District","100176","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"270","2016-17","District","100177","Oakville School District","Grays Harbor","Capital Region ESD 113","100004","14400","Oakville School District","100177","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"271","2016-17","District","100178","Ocean Beach School District","Pacific","Educational Service District 112","100003","25101","Ocean Beach School District","100178","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"272","2016-17","District","100179","Ocosta School District","Grays Harbor","Capital Region ESD 113","100004","14172","Ocosta School District","100179","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"273","2016-17","District","100180","Odessa School District","Lincoln","Educational Service District 101","100001","22105","Odessa School District","100180","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"274","2016-17","District","103312","Office of the Governor (Sch for Blind)","Thurston","NULL","NULL","34974","Office of the Governor (Sch for Blind)","103312","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"275","2016-17","District","100181","Okanogan School District","Okanogan","North Central Educational Service District 171","100008","24105","Okanogan School District","100181","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"276","2016-17","District","100182","Olympia School District","Thurston","Capital Region ESD 113","100004","34111","Olympia School District","100182","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"277","2016-17","District","100183","Omak School District","Okanogan","North Central Educational Service District 171","100008","24019","Omak School District","100183","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"278","2016-17","District","100184","Onalaska School District","Lewis","Capital Region ESD 113","100004","21300","Onalaska School District","100184","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"279","2016-17","District","100185","Onion Creek School District","Stevens","Educational Service District 101","100001","33030","Onion Creek School District","100185","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"280","2016-17","District","100186","Orcas Island School District","San Juan","Northwest Educational Service District 189","100009","28137","Orcas Island School District","100186","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"281","2016-17","District","100187","Orchard Prairie School District","Spokane","Educational Service District 101","100001","32123","Orchard Prairie School District","100187","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"282","2016-17","District","100188","Orient School District","Ferry","Educational Service District 101","100001","10065","Orient School District","100188","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"283","2016-17","District","100189","Orondo School District","Douglas","North Central Educational Service District 171","100008","9013","Orondo School District","100189","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"284","2016-17","District","100190","Oroville School District","Okanogan","North Central Educational Service District 171","100008","24410","Oroville School District","100190","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"285","2016-17","District","100191","Orting School District","Pierce","Puget Sound Educational Service District 121","100006","27344","Orting School District","100191","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"286","2016-17","District","100192","Othello School District","Adams","Educational Service District 123","100007","1147","Othello School District","100192","2902","Lutacaga Elementary","100331","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.othelloschools.org/lutacaga/","1","2021-02-18T00:00:00.000","46.817917","-119.164046","795 S 7th Ave, Othello, Washington, 99344-1463","795 S 7th Ave, Othello, Washington, 99344-1463","1","1"
"287","2016-17","District","100193","Palisades School District","Douglas","North Central Educational Service District 171","100008","9102","Palisades School District","100193","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"288","2016-17","District","100194","Palouse School District","Whitman","Educational Service District 101","100001","38301","Palouse School District","100194","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"289","2016-17","District","100195","Pasco School District","Franklin","Educational Service District 123","100007","11001","Pasco School District","100195","4595","Maya Angelou Elementary","103956","P","2","Two-way","243","Spanish","80-20","Kindergarten","6","http://www.psd1.org/domain/539","1","2021-02-18T00:00:00.000","46.28163509","-119.1995222","6001 ROAD 84, Pasco, Washington, 99301-6763","6001 ROAD 84, Pasco, Washington, 99301-6763","2","2"
"290","2016-17","District","100195","Pasco School District","Franklin","Educational Service District 123","100007","11001","Pasco School District","100195","2267","Mcloughlin Middle School","100759","P","2","Two-way","243","Spanish","80-20","6","8","http://www.psd1.org/site/Default.aspx?PageID=1238","1","2021-02-18T00:00:00.000","46.253901","-119.205039","2803 N ROAD 88, PASCO, Washington, 99301-1691","2803 N ROAD 88, PASCO, Washington, 99301-1691","2","2"
"291","2016-17","District","100196","Pateros School District","Okanogan","North Central Educational Service District 171","100008","24122","Pateros School District","100196","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"292","2016-17","District","100197","Paterson School District","Benton","Educational Service District 123","100007","3050","Paterson School District","100197","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"293","2016-17","District","100198","Pe Ell School District","Lewis","Capital Region ESD 113","100004","21301","Pe Ell School District","100198","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"294","2016-17","District","100199","Peninsula School District","Pierce","Puget Sound Educational Service District 121","100006","27401","Peninsula School District","100199","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"295","2016-17","District","100200","Pioneer School District","Mason","Capital Region ESD 113","100004","23402","Pioneer School District","100200","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"296","2016-17","District","100201","Pomeroy School District","Garfield","Educational Service District 123","100007","12110","Pomeroy School District","100201","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"297","2016-17","District","100202","Port Angeles School District","Clallam","Olympic Educational Service District 114","100005","5121","Port Angeles School District","100202","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"298","2016-17","District","100203","Port Townsend School District","Jefferson","Olympic Educational Service District 114","100005","16050","Port Townsend School District","100203","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"299","2016-17","District","100204","Prescott School District","Walla Walla","Educational Service District 123","100007","36402","Prescott School District","100204","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"300","2016-17","District","105675","PRIDE Prep Charter School District","Spokane","Spokane Public Schools Charter Authorizer","105886","32907","PRIDE Prep Charter School District","105675","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"301","2016-17","District","100205","Prosser School District","Benton","Educational Service District 123","100007","3116","Prosser School District","100205","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"302","2016-17","District","100206","Pullman School District","Whitman","Educational Service District 101","100001","38267","Pullman School District","100206","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
