"itemtype","title","author","copyrightdate","accessioneddate","replacementprice","missingdate","callnumber","pagecount","runtime","itemcount","itemheight"
"DVD","Ghost ship",,"2003","9/27/19 12:00 AM","20","10/16/20","DVD Feature films Gho",,"91","1","12"
"BOOK","The Lipizzaner horse","Wilcox, Charlotte.","1997","9/1/00 12:00 AM","15.95","10/16/20","J 636.1 Wil","48",,,"23"
"DVD","Bambi",,"2017","7/17/17 12:00 AM","34.99","10/23/20","DVD Feature films Bam",,"70","1","12"
"BOOK","Captain Underpants and the tyrannical retaliation of the Turbo Toilet 2000 :","Pilkey, Dav,",,"9/22/14 12:00 AM","14.99","11/10/20","J Fic Pil","220",,,"22"
"DVD","Super troopers",,"2002","10/27/17 12:00 AM","20","11/13/20","DVD Feature films Sup",,"103","1","12"
"BOOK","Komi can't communicate, volume 02","Oda, Tomohito,",,"12/16/19 12:00 AM","15","11/17/20","Y GN Fic Oda","188",,,"19"
"DVD","White Fang.",,"2013","7/22/16 12:00 AM","15","11/19/20","DVD Feature films Whi","3","807",,"12"
"BOOK","Area 7","Reilly, Matthew.","2002","3/1/02 12:00 AM","24.95","11/19/20","Fic Rei","387",,,"25"
"DVD","White House down",,,"3/24/14 12:00 AM","29.99","12/1/20","DVD Feature films Whi",,"132","1","12"
"BOOK","Kids draw dinosaurs","Hart, Christopher.","2001","5/11/06 12:00 AM","23.95","12/2/20","J 743.6 Har","64",,,"28"
"DVD","E.T., the extra-terrestrial",,"2005","8/6/19 12:00 AM","20","12/2/20","DVD Feature films E.T.",,"115","1","12"
"BOOK","Trigger warning :","Gaiman, Neil,",,"2/9/15 12:00 AM","31.99","12/9/20","Fic Gai","310",,,"24"
"BOOK","Miss Mouse takes off","Ormerod, Jan.","2001","8/11/01 12:00 AM","14.95","12/9/20","JE Orm",,,"1","23"
"BOOK","Meals in China","Bailey, R. J.,",,"3/13/17 12:00 AM","22.95","12/10/20","JE 394.120 Bai","24",,,"21"
"LP","Buckskin, Bloomers, and me","Boggs, Johnny D.,",,"12/20/19 12:00 AM","39.95","12/11/20","L.T. Fic Bog","288",,,"23"
"BOOK","Treasury of cookies & brownies",,"1995","9/1/00 12:00 AM","24.95","12/18/20","641.8 Tre","240",,,"26"
"BOOK","Who lives here?","Davies, Nicola,","2012","5/25/17 12:00 AM","14.99","12/23/20","JE Dav",,,"1","24"
"BOOK","Sun & moon signs","Parker, Julia.","1996","7/20/09 12:00 AM","49.95","12/24/20","133.5 Par","619",,,"27"
"BOOK","Let's learn French picture dictionary",,"1991","9/1/00 12:00 AM","15","12/28/20","J 443 Let","32",,,"31"
"BOOK","Shadow puppets","Card, Orson Scott.","2002","8/5/13 12:00 AM","30.95","12/28/20","Fic Car","345",,,"24"
"DVD","Chronicles of Narnia : The voyage of the dawn treader.",,"2011","2/2/18 12:00 AM","19.99","12/28/20","DVD Feature films Narnia, voyage",,"113","1","12"
"DVD","Dances with wolves",,"2004","7/29/19 12:00 AM","20","12/29/20","DVD Feature films Dan",,"181","1","12"
"DVD","The secret life of pets + the secret life of pets 2",,,"3/3/20 12:00 AM","40","12/29/20","DVD Feature films Sec",,"173","2","12"
"BOOK","The greatest survival stories ever told",,"2001","8/13/01 12:00 AM","24.95","12/30/20","Fic Gre","324",,,"24"
"BOOK","The star dunes","Trueit, Trudi Strain,",,"3/20/20 12:00 AM","22","12/31/20","J Fic Tru","215",,,"24"
"BOOK","Well bred and dead :","O'Connell, Catherine,","2007","1/27/07 12:00 AM","18.95","12/31/20","Fic O'Co","335",,,"21"
"BOOK","Love works like this :","Slater, Lauren.","2002","7/20/02 12:00 AM","21.95","1/5/21","306.87 Sla","186",,,"21"
"BOOK","How to draw anything :","Gair, Angela,","1997","9/20/03 12:00 AM","29.97","1/5/21","741.2 Gai","160",,,"27"
"PB","Witness in death","Robb, J. D.,","2000","5/10/19 12:00 AM","12","1/5/21","Pb Mystery Rob","357",,,"18"
"DVD","Braveheart",,"2000","4/19/19 12:00 AM","15","1/6/21","DVD Feature films Bra",,"177","1","12"
"BOOK","Keep this, toss that :","Novak, Jamie.",,"3/6/15 12:00 AM","20.99","1/8/21","648.8 Nov","291",,,"18"
"BOOK","Black Widow :","Stohl, Margaret,",,"11/13/15 12:00 AM","22.99","1/13/21","Y Fic Sto","399",,,"22"
"MUSIC","The Beatles 1967-1970",,"1993","2/14/17 12:00 AM","30","1/13/21","MusicCD Bea",,,"2","12"
"MUSIC","Country classics","Brooks, Garth.",,"5/13/16 12:00 AM","14.99","1/21/21","MusicCD Bro",,,"1","12"
"LP","Perry Mason in the case of too many murders","Chastain, Thomas.","1990","9/1/00 12:00 AM","17.95","1/21/21","L.T. Fic Cha","283",,,"22"
"DVD","Barbie in The pink shoes",,"2013","7/16/13 12:00 AM","19.98","1/21/21","DVD Children's films Bar",,"75","1","12"
"BOOK","Silly Tilly's valentine","Hoban, Lillian.","1998","9/1/00 12:00 AM","14.95","1/21/21","JE Rdr Hob","47",,,"22"
"CDBOOK","American wife","Kyle, Taya,",,"6/15/15 12:00 AM","39.99","1/25/21","CDBook 306.883 Kyl",,"585","8","12"
"BOOK","The complete guide to contracting your home","Lester, Kent.","1997","9/1/00 12:00 AM","18.99","1/27/21","692 Les","316",,,"28"
"BOOK","Survival run","Dixon, Franklin W.","1993","9/1/00 12:00 AM","10","1/27/21","J Fic Dix","152",,,"18"
"BOOK","The perks of being a wallflower","Chbosky, Stephen.","1999","9/24/08 12:00 AM","19","1/28/21","Y Fic Chb","213",,,"18"
"BOOK","The perks of being a wallflower","Chbosky, Stephen.","1999","2008-09-24T00:00:00.000","19","2021-01-28T10:53:32.000","Y Fic Chb","213",,,"18"
"BOOK","Let's learn French picture dictionary","NA","1991","2000-09-01T00:00:00.000","15","2020-12-28T14:49:18.000","J 443 Let","32",,,"31"
"DVD","Lego DC Comics super heroes.","NA","NA","2015-03-26T00:00:00.000","20.98","2021-02-08T11:58:01.000","DVD Children's films Leg","2","49","1","12"
