"school_year","school_name","city","public_private","public_school_district","enrollment","reported","calculated_all_pbe_count","calculated_all_pbe_percent","hc_practitioner_counseled_pbe_count","hc_practitioner_counseled_pbe_percent","pre_jan_pbe_count","pre_jan_pbe_percent","personal_beliefs_exemption_count","personal_beliefs_exemption_percent","religious_pbe_count","religious_pbe_percent","conditional_count","conditional_percent","dtp_count","dtp_percent","hepb_count","hepb_percent","mmr_count","mmr_percent","polio_count","polio_percent","permanent_medical_exemption_count","permanent_medical_exemption_percent","up_to_date_count","up_to_date_percent","vari_count","vari_percent","overdue_count","overdue_percent","others_count","others_percent","location","latitude","longitude","school_code","unique_id"
"2016-2017","BROOKSIDE ELEMENTARY","SAN ANSELMO","PUBLIC","ROSS VALLEY ELEMENTARY","85","Y","0","0",,,,,"0","0",,,"3","4",,,"81","95",,,,,"1","1","81","95",,,"0","0","0","0","
,  
(37.990756, -122.575812)","37.990756","-122.575812","6024681","6024681_2016-2017"
"2015-2016","BROOKSIDE ELEMENTARY","SAN ANSELMO","PUBLIC","ROSS VALLEY ELEMENTARY","74","Y","5","6.76","5","6.76",,,"5","6.76","0","0","2","2.7","69","93.24","68","91.89","69","93.24","68","91.89","0","0","67","90.54","69","93.24","0","0",,,"
,  
(37.990756, -122.575812)","37.990756","-122.575812","6024681","6024681_2015-2016"
"2014-2015","BROOKSIDE ELEMENTARY","SAN ANSELMO","PUBLIC","ROSS VALLEY ELEMENTARY","56","Y","9","16.08","7","12.5","0","0","8","14.29","1","1.79","4","7.14","47","83.93","45","80.36","47","83.93","47","83.93","0","0","44","78.57","48","85.71",,,,,"
,  
(37.990756, -122.575812)","37.990756","-122.575812","6024681","6024681_2014-2015"
"2013-2014","BROOKSIDE ELEMENTARY","SAN ANSELMO","PUBLIC","ROSS VALLEY ELEMENTARY","57","Y","6","10.53","0","0","0","0","6","10.53","0","0","0","0","51","89.47","51","89.47","51","89.47","51","89.47","0","0","51","89.47","51","89.47",,,,,"
,  
(37.990756, -122.575812)","37.990756","-122.575812","6024681","6024681_2013-2014"
"2018-2019","CASCADE CANYON SCHOOL","FAIRFAX","PRIVATE",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(37.99007, -122.591193)","37.99007","-122.591193","6919500","6919500_2018-2019"
"2017-2018","CASCADE CANYON SCHOOL","FAIRFAX","PRIVATE",,"6","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(37.99007, -122.591193)","37.99007","-122.591193","6919500","6919500_2017-2018"
"2016-2017","CASCADE CANYON SCHOOL","FAIRFAX","PRIVATE",,"6","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(37.99007, -122.591193)","37.99007","-122.591193","6919500","6919500_2016-2017"
"2018-2019","CAULBRIDGE SCHOOL","SAN RAFAEL","PRIVATE",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.0345236, -122.5287955)","38.0345236","-122.5287955","6150882","6150882_2018-2019"
"2017-2018","CAULBRIDGE SCHOOL","SAN RAFAEL","PRIVATE",,"3","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.0345236, -122.5287955)","38.0345236","-122.5287955","6150882","6150882_2017-2018"
"2018-2019","COLEMAN ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","74","Y",,,,,,,,,,,"4","5","69","93","71","96","70","95","70","95","3","4","67","91","70","95",,,,,"
,  
(37.9780298, -122.520021)","37.9780298","-122.520021","6024764","6024764_2018-2019"
