"beach_name","inspection_week_date","inspection_day_of","inspection_result","is_latest_inspection","latitude","longitude","location","unique_id"
"FORT BAKER, HORSESHOE COVE - NORTHEAST","2022-08-15T00:00:00.000","TUESDAY","OK","0","37.8335200","-122.4747000","(37.83352, -122.4747)","FORTBAKER,HORSESHOECOVE-NORTHEAST_8/15/2022"
"FORT BAKER, HORSESHOE COVE - NORTHWEST","2022-08-15T00:00:00.000","TUESDAY","OK","0","37.8331700","-122.4778000","(37.83317, -122.4778)","FORTBAKER,HORSESHOECOVE-NORTHWEST_8/15/2022"
"FORT BAKER, HORSESHOE COVE - SOUTHWEST","2022-08-15T00:00:00.000","TUESDAY","OK","0","37.8321200","-122.4774167","(37.83212, -122.4774167)","FORTBAKER,HORSESHOECOVE-SOUTHWEST_8/15/2022"
"GREEN BRIDGE","2022-08-15T00:00:00.000","MONDAY","OK","0","38.0648000","-122.8055000","(38.0648, -122.8055)","GREENBRIDGE_8/15/2022"
"HEART'S DESIRE","2022-08-15T00:00:00.000","MONDAY","OK","0","38.1326000","-122.8934167","(38.1326, -122.8934167)","HEART'SDESIRE_8/15/2022"
"INKWELLS","2022-08-15T00:00:00.000","MONDAY","AVOID","0","38.0049670","-122.7082390","(38.004967, -122.708239)","INKWELLS_8/15/2022"
"LAWSON'S LANDING","2022-08-15T00:00:00.000","MONDAY","OK","0","38.2317200","-122.9678532","(38.23172, -122.9678532)","LAWSON'SLANDING_8/15/2022"
"MCNEARS BEACH","2022-08-15T00:00:00.000","TUESDAY","OK","0","37.9925310","-122.4524420","(37.992531, -122.452442)","MCNEARSBEACH_8/15/2022"
"MILLER PARK","2022-08-15T00:00:00.000","MONDAY","OK","0","38.1995600","-122.9219000","(38.19956, -122.9219)","MILLERPARK_8/15/2022"
"MILLERTON POINT","2022-08-15T00:00:00.000","MONDAY","OK","0","38.1059350","-122.8494190","(38.105935, -122.849419)","MILLERTONPOINT_8/15/2022"
"MUIR BEACH - CENTRAL","2022-08-15T00:00:00.000","TUESDAY","OK","0","37.8593200","-122.5763167","(37.85932, -122.5763167)","MUIRBEACH-CENTRAL_8/15/2022"
"MUIR BEACH - NORTH","2022-08-15T00:00:00.000","TUESDAY","OK","0","37.8597210","-122.5778850","(37.859721, -122.577885)","MUIRBEACH-NORTH_8/15/2022"
"MUIR BEACH - SOUTH","2022-08-15T00:00:00.000","TUESDAY","OK","0","37.8580700","-122.5749667","(37.85807, -122.5749667)","MUIRBEACH-SOUTH_8/15/2022"
"PARADISE BEACH","2022-08-15T00:00:00.000","TUESDAY","OK","0","37.8941000","-122.4575000","(37.8941, -122.4575)","PARADISEBEACH_8/15/2022"
