"name","number","horizon","top","bottom","average","clay","silt","sand","ph_h2o","ph_kcl","soc","tn","c_n","brayp","totalp","crop","landuse","position","ri","include","includetop","cec_ac","cecclay","exca_cmolc_kg","exmg_cmolc_kg","exk_cmolc_kg","exna_cmolc_kg","teb","bs","bs_scaled","teb_icraf","soc_umn","tn_umn","wrb_group","usorder","pit","elevation","cultivated","author","p_differenceparent","p_ratioparent","p_ratiobraytotal","teb_all","map_mm","pet_mm","matx10_c","mi","afsis_bdrule","jelinski_bd","aspect","aspectcat"
"Ema3","20","3","35","55","45","43","9","48","5.26","3.7","1.58","0.08","19.75","1.61","NA","0","High","Lower","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Fluvisol","Entisol","1","1785","1","Meliyo","NA","NA","NA","NA","848","1308","157","65","NA","1.121610839","201","S"
"Ema3","20","4","55","100","77.5","26","9","65","5.27","3.96","0.75","0.04","18.75","1.87","NA","0","High","Lower","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Fluvisol","Entisol","1","1785","1","Meliyo","NA","NA","NA","NA","848","1308","157","65","NA","1.308886012","201","S"
"Ema3","20","5","100","120","110","5","52","43","6.33","5.02","0.6","0.03","20","1.46","NA","0","High","Lower","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Fluvisol","Entisol","1","1785","1","Meliyo","NA","NA","NA","NA","848","1308","157","65","NA","1.364970912","201","S"
"Emao-4","21","1","0","17","8.5","50","2","48","5.24","4.49","2.31","0.16","14.4375","6.9","NA","0","High","Lower","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Alisol","Ultisol","1","1760","1","Meliyo","NA","NA","NA","NA","848","1317","159","64","NA","1.026146207","239","S"
"Emao-4","21","2","17","47","32","36","6","58","5.83","5.2","1.6","0.12","13.33333333","2.2","NA","0","High","Lower","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Alisol","Ultisol","1","1760","1","Meliyo","NA","NA","NA","NA","848","1317","159","64","NA","1.118449288","239","S"
"Emao-4","21","3","47","102","74.5","50","6","44","6.3","5.2","0.7","0.03","23.33333333","1.4","NA","0","High","Lower","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Alisol","Ultisol","1","1760","1","Meliyo","NA","NA","NA","NA","848","1317","159","64","NA","1.32622668","239","S"
"Emao-4","21","4","102","129","115.5","60","2","38","5.3","4.3","1.2","0.028","42.8","3.6","NA","0","High","Lower","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Alisol","Ultisol","1","1760","1","Meliyo","NA","NA","NA","NA","848","1317","159","64","NA","1.1907553","239","S"
"Emao-5","22","1","0","15","7.5","42","23","35","5.31","4.48","4.19","0.34","12.32352941","54.66","NA","0","High","Lower","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Acrisol","Ultisol","1","1920","1","Meliyo","NA","NA","NA","NA","859","1292","152","66","NA","0.876484998","108","S"
"Emao-5","22","2","15","35","25","49","20","31","4.5","4.04","3.59","0.31","11.58064516","26.35","NA","0","High","Lower","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Acrisol","Ultisol","1","1920","1","Meliyo","NA","NA","NA","NA","859","1292","152","66","NA","0.915329225","108","S"
"Emao-5","22","3","35","70","52.5","63","3","34","5.12","4.22","3.78","0.3","12.6","7.8","NA","0","High","Lower","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Acrisol","Ultisol","1","1920","1","Meliyo","NA","NA","NA","NA","859","1292","152","66","NA","0.902367167","108","S"
