"agreement_type","company_name","primary_tax_abated_property_address","all_tax_abated_properties_addresses","primary_address_lat","primary_address_long","city_council_resolution_number","city_council_resolution_date","city_council_resolution_agreement_pdf","county_commission_resolution_number","county_commission_resolution_date","county_commission_resolution_agreement_pdf","year_beginning","year_ending","jobs_commitment","average_wage","agreement_jobs_notes","investment","agreement_investment_notes","state_map_no","assessment_on_pilot_properties","city_taxes_without_pilot_agreement","hamilton_county_general_tax_without_pilot_agreement","hamilton_county_school_tax_without_pilot_agreement","total_tax_without_pilot_agreement","city_payments_billed_in_lieu_of_taxes","hamilton_county_payments_billed_in_lieu_of_taxes","hamilton_county_school_payments_billed_in_lieu_of_taxes","total_economic_development_fee","total_payments_in_lieu_of_taxes","city_pilot_incentives","hamilton_county_pilot_incentives","hamilton_county_schools_pilot_incentives","economic_development_fee_pilot_incentives","total_pilot_incentive","primary_address_location","primary_address_location_address","primary_address_location_city","primary_address_location_state","primary_address_location_zip"
"Health, Education and Housing Facility Board","UTC THREE LLC","863 McCallie Ave","863 McCallie Ave","35.043093","-85.2932019","27337","2012-12-04T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_YUlXdDFHVHJRVGc/view?usp=sharing","1212-21","2012-12-19T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_ZzdPZzF3aENNRWM/view?usp=sharing","2013","2024",,,,,,"146H-E-001","876440.00","20237.00","12205.00","12030.00","44472.00","5790.00","3492.00","7736.00",,"17018.00","14447.00","8713.00","4294.00",,"27454.00","POINT (-85.2932019 35.043093)",,,,
"Health, Education and Housing Facility Board","UTC TWO LLC","615 Lindsay St","Lindsay St & 615 Lindsay St",,,"27336","2012-12-04T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_UjE4TmFmYV9qMFU/view?usp=sharing","1212-20","2012-12-19T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_Und6ZDZ1MzR3UTQ/view?usp=sharing","2013","2024",,,,,,"145D-B-008, 012","790120.00","18244.00","11003.00","10845.00","40092.00","10148.00","6120.00","8439.00",,"24707.00","8096.00","4883.00","2406.00",,"15386.00",,,,,
"Industrial Development Board- School Tax","VOLKSWAGEN GROUP OF AMERICA INC","8001 Volkswagen Dr","8001 Volkswagen Dr & Discovery Dr","35.07919","-85.13822","25738","2008-11-25T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_OEVQNXhtOHpJcUU/view?usp=sharing","1108-43","2008-11-13T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_OTV2Y2NDVUNFeGM/view?usp=sharing","2010","2039","2000",,,"1000000000",,"130-008.18, 24; Per 036767, Per 042026","214496995.00","4952736.00","2987085.00","2944186.00","10884007.00",,,"2787066.00",,"2787066.00","4952736.00","2987085.00","157120.00",,"8096941.00","POINT (-85.13822 35.07919)",,,,
"Industrial Development Board- School Tax","VOLKSWAGEN GROUP OF AMERICA INC - 2014","8001 Volkswagen Dr","8001 Volkswagen Dr & Discovery Dr","35.07919","-85.13822","27960","2014-07-29T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_Wm5LMEJJbnhnUFk/view?usp=sharing","714-31","2014-07-23T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_cXVqbXl2NFlVT3M/view?usp=sharing","2015","2039","2000",,,"900000000",,,,,,,,,,,"250000.00","250000.00",,,,"-250000.00","-250000.00","POINT (-85.13822 35.07919)",,,,
"Health, Education and Housing Facility Board","WALNUT COMMONS LLC","212 Walnut St","212 Walnut St","35.05460668","-85.30728133",,"2010-12-01T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_N29iRklnb0dvckE/view?usp=sharing","302-41A","2002-04-03T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_Qld1Vkd1TTdXbUU/view?usp=sharing","2012","2025",,,,,,"135M-B-008 L001","3956080.00","91346.00","55092.00","54301.00","200739.00",,,,,,"91346.00","55092.00","54301.00",,"200739.00","POINT (-85.30728133 35.05460668)",,,,
"Industrial Development Board","WESTINGHOUSE ELECTRIC CO","401 River Terminal Rd","401 River Terminal Rd","35.0729874","-85.2755018","25672","2008-09-30T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_cmVjM0EyU3NoNjg/view?usp=sharing","308-51;  908-48         ",,,"2009","2019","52","85000.00",,"21200000",,"127K-A-001.18; Per 038818","3613901.00","83445.00","50327.00","49604.00","183377.00","59652.00","35977.00","49604.00",,"145234.00","23793.00","14350.00",,,"38142.00","POINT (-85.2755018 35.0729874)",,,,
"Industrial Development Board","WM WRIGLEY JR CO",,,,,"26441","2010-09-21T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_ZkNJT2Z5ZUdDN00/view?usp=sharing","1010-8","2010-10-06T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_dG11YlowWjVtdnM/view?usp=sharing","2011","2023","54","69500.00",,"23100000",,"138I-A-002.01; Per 404153","2781664.00","64229.00","38737.00","38181.00","141147.00",,,"38251.00",,"38251.00","64229.00","38737.00","-70.00",,"102896.00",,,,,
"Industrial Development Board","WM WRIGLEY JR CO","3002 Jersey Pike","3002 Jersey Pike","35.057449","-85.1964177","24923","2006-10-24T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_QUR5T0M4bF9scXc/view?usp=sharing","1006-36","2006-10-18T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_MXRXUHFGTXZ6R0U/view?usp=sharing","2008","2018","150","49000.00",,"23000000",,"138I-A-002.01; Per 033241","2623627.00","60580.00","36537.00","36012.00","133128.00","30290.00","18268.00","18006.00",,"66564.00","30290.00","18268.00","18006.00",,"66564.00","POINT (-85.1964177 35.057449)",,,,
"Industrial Development Board- School Tax","WNA AMERICAN PLASTIC INDUSTRIES INC","5930 Quintus Loop","5930 Quintus Loop","35.053291","-85.196592","27639","2013-09-10T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_SFpPSEJ5N2NyMEE/view?usp=sharing","813-44","2013-08-21T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_NjhabFZfZ0IwZzA/view?usp=sharing","2014","2017","53","33125.00",,"15245000",,"Per 045376","461885.00","10665.00","6432.00","6340.00","23437.00",,,"6351.00",,"6351.00","10665.00","6432.00","-12.00",,"17086.00","POINT (-85.196592 35.053291)",,,,
"Industrial Development Board- School Tax","WOODBRIDGE CHATTANOOGA PLASTICS LP","1120 Judd Rd","1120 Judd Rd","35.0860011","-85.2658046","27705","2013-11-12T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_YmtfOU02WklSTkE/view?usp=sharing","1113-26","2013-11-06T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_bi1rS1puanc5RVE/view?usp=sharing","2014","2017","70","34819.00",,"8500000",,"Per 040158","1370275.00","31640.00","19082.00","18808.00","69530.00",,,"18843.00",,"18843.00","31640.00","19082.00","-34.00",,"50688.00","POINT (-85.2658046 35.0860011)",,,,
