"the_geom","objectid","easting","northing","eel_grass","emu","au","legend"
"POINT (-122.746799466963 47.27326078003)","93698","1082727","715394",,"9","9.08","No Eel Grass"
"POINT (-122.648884539447 47.275090720538)","19653","1107043","715384",,"13","13.47","No Eel Grass"
"POINT (-122.690199911632 47.358656239417)","57089","1097637","746135",,"8","8.04","No Eel Grass"
"POINT (-122.743398298185 47.301412247887)","82886","1083863","725634",,"8","8.24","No Eel Grass"
"POINT (-122.667123301542 47.346037501082)","48189","1103228","741376",,"7","7.01","No Eel Grass"
"POINT (-122.650349507873 47.275546248777)","19375","1106684","715560",,"13","13.47","No Eel Grass"
"POINT (-122.616651523678 47.222712507813)","15857","1114529","696070",,"13","13.17","No Eel Grass"
"POINT (-122.68573711765 47.322669493026)","120633","1098379","732983","Eel","6","6.31","Eel Grass"
"POINT (-122.68566692552 47.322629676394)","120610","1098396","732968","Eel","6","6.31","Eel Grass"
"POINT (-122.685810561774 47.285189707515)","69608","1097982","719318",,"6","6.06","No Eel Grass"
"POINT (-122.594493128274 47.268662458474)","35483","1120478","712677",,"4","4.04","No Eel Grass"
"POINT (-122.714338798409 47.129082853281)","65907","1089306","662600",,"14","14.28","No Eel Grass"
"POINT (-122.677604479459 47.324130718719)","95517","1100410","733460",,"6","6.11","No Eel Grass"
"POINT (-122.649137919429 47.274474409484)","33876","1106974","715161",,"13","13.46","No Eel Grass"
"POINT (-122.696590405034 47.351497918027)","78020","1095981","743569",,"8","8.09","No Eel Grass"
"POINT (-122.598444277713 47.274805710406)","14464","1119557","714943",,"4","4.15","No Eel Grass"
"POINT (-122.574220513315 47.327018574138)","92037","1126069","733822",,"2","2.01","No Eel Grass"
"POINT (-122.711166343083 47.127286692356)","66675","1090077","661923",,"14","14.28","No Eel Grass"
"POINT (-122.666393831202 47.370218720861)","106976","1103651","750188",,"8","8.02","No Eel Grass"
"POINT (-122.727893127394 47.324072407566)","98199","1087942","733787",,"8","8.2","No Eel Grass"
"POINT (-122.723342076344 47.338734256537)","72712","1089221","739101",,"8","8.11","No Eel Grass"
"POINT (-122.711599871388 47.342716128733)","76347","1092172","740471",,"8","8.1","No Eel Grass"
"POINT (-122.684059746922 47.293173719493)","84740","1098497","722217",,"6","6.06","No Eel Grass"
"POINT (-122.687099788712 47.319785972603)","41309","1098012","731941",,"6","6.31","No Eel Grass"
"POINT (-122.680331472298 47.326320210134)","119873","1099756","734277",,"6","6.31","No Eel Grass"
"POINT (-122.574341937449 47.258216444354)","63756","1125379","708736",,"3","3.08","No Eel Grass"
"POINT (-122.683143856478 47.364085134112)","58035","1099440","748066",,"8","8.03","No Eel Grass"
"POINT (-122.696118083576 47.288269600818)","13810","1095456","720512",,"6","6.02","No Eel Grass"
"POINT (-122.568695449339 47.261912964996)","62762","1126816","710047",,"3","3.08","No Eel Grass"
"POINT (-122.72843822269 47.320397716848)","96827","1087769","732451",,"8","8.21","No Eel Grass"
"POINT (-122.679614794691 47.319704744843)","104734","1099867","731860","Eel","6","6.1","Eel Grass"
"POINT (-122.722829340837 47.241816819603)","84262","1088352","703761",,"9","9.24","No Eel Grass"
"POINT (-122.681583414162 47.326455740132)","41851","1099447","734335",,"6","6.31","No Eel Grass"
"POINT (-122.716980760847 47.131264881653)","66178","1088671","663414",,"14","14.28","No Eel Grass"
"POINT (-122.658964560149 47.328217385241)","110138","1105072","734823",,"6","6.14","No Eel Grass"
"POINT (-122.59224034659 47.271443025758)","35910","1121064","713676",,"4","4.05","No Eel Grass"
"POINT (-122.687945253581 47.297705377525)","85490","1097579","723896",,"6","6.04","No Eel Grass"
"POINT (-122.680785075961 47.282629478192)","4894","1099203","718350",,"5","5.09","No Eel Grass"
"POINT (-122.729254645723 47.319273981848)","3223","1087555","732047","Eel","8","8.21","Eel Grass"
"POINT (-122.625502704747 47.234675697952)","117601","1112448","700491",,"13","13.15","No Eel Grass"
"POINT (-122.701058489583 47.349940462032)","77649","1094858","743032","Eel","8","8.09","Eel Grass"
"POINT (-122.678525118906 47.329118718772)","103528","1100232","735285",,"6","6.11","No Eel Grass"
"POINT (-122.681129219616 47.317868873513)","88726","1099473","731201",,"6","6.1","No Eel Grass"
"POINT (-122.736045187042 47.312176802103)","4223","1085798","729507",,"8","8.23","No Eel Grass"
"POINT (-122.641261163309 47.278350238734)","74458","1108967","716521",,"5","5.03","No Eel Grass"
"POINT (-122.639368119878 47.245319731225)","111964","1109110","704465",,"13","13.12","No Eel Grass"
"POINT (-122.715267804213 47.341351620841)","64750","1091249","739999",,"8","8.1","No Eel Grass"
"POINT (-122.631779565579 47.26721990677)","108564","1111210","712399",,"13","13.36","No Eel Grass"
"POINT (-122.670588906106 47.341537936287)","49025","1102324","739759",,"6","6.3","No Eel Grass"
"POINT (-122.726467225234 47.337234422467)","72394","1088431","738576",,"8","8.11","No Eel Grass"
"POINT (-122.742682497569 47.303000416058)","83080","1084057","726208",,"8","8.24","No Eel Grass"
"POINT (-122.679512170569 47.283341836765)","5189","1099526","718601",,"5","5.09","No Eel Grass"
"POINT (-122.693882323752 47.140918925701)","23411","1094516","666773",,"14","14.11","No Eel Grass"
"POINT (-122.686781513091 47.288838347426)","101830","1097778","720655",,"6","6.04","No Eel Grass"
"POINT (-122.687377866813 47.142493169276)","25220","1096150","667302",,"14","14.05","No Eel Grass"
"POINT (-122.686676286835 47.28961925203)","101940","1097812","720939",,"6","6.04","No Eel Grass"
"POINT (-122.729886743569 47.318567929871)","3327","1087391","731794",,"8","8.21","No Eel Grass"
"POINT (-122.549997203215 47.388488395733)","43104","1132657","756079",,"1","1.03","No Eel Grass"
"POINT (-122.657336912109 47.333280342222)","52477","1105526","736658",,"6","6.27","No Eel Grass"
"POINT (-122.650635088641 47.272817492229)","17231","1106586","714567",,"13","13.45","No Eel Grass"
"POINT (-122.648558396349 47.275198246883)","19598","1107125","715421",,"13","13.47","No Eel Grass"
"POINT (-122.725998172014 47.330894160272)","38724","1088482","736261",,"8","8.18","No Eel Grass"
"POINT (-122.689769329444 47.319082844993)","40965","1097343","731703",,"6","6.31","No Eel Grass"
"POINT (-122.67967414535 47.32017261958)","102051","1099857","732031","Eel","6","6.1","Eel Grass"
"POINT (-122.652606130696 47.274237239959)","18837","1106111","715098","Eel","13","13.48","Eel Grass"
"POINT (-122.687008941862 47.296296860986)","85731","1097797","723376",,"6","6.04","No Eel Grass"
"POINT (-122.682363065896 47.281590466408)","75843","1098801","717982",,"5","5.09","No Eel Grass"
"POINT (-122.744310242358 47.299502120784)","59707","1083617","724944",,"8","8.25","No Eel Grass"
"POINT (-122.736170246581 47.312081138555)","81569","1085766","729473",,"8","8.23","No Eel Grass"
"POINT (-122.753633021269 47.272947037989)","78324","1081028","715328","Eel","9","9.06","Eel Grass"
"POINT (-122.55073641908 47.389232255351)","43977","1132481","756355",,"1","1.02","No Eel Grass"
"POINT (-122.63114583381 47.38064831203)","54400","1112485","753753",,"7","7.2","No Eel Grass"
"POINT (-122.650146610293 47.273298295099)","17101","1106712","714739",,"13","13.46","No Eel Grass"
"POINT (-122.665088984553 47.284489854618)","75058","1103116","718921",,"5","5.07","No Eel Grass"
"POINT (-122.573804358355 47.327835060873)","102514","1126180","734117",,"2","2.01","No Eel Grass"
"POINT (-122.626302536707 47.275019137432)","60909","1112646","715206",,"5","5.01","No Eel Grass"
"POINT (-122.678893617274 47.326473392674)","103825","1100114","734323",,"6","6.11","No Eel Grass"
"POINT (-122.697341674954 47.285075862884)","25469","1095120","719356",,"6","6.01","No Eel Grass"
"POINT (-122.682565122132 47.324808147913)","50376","1099187","733741","Eel","6","6.31","Eel Grass"
"POINT (-122.617286887721 47.223307019317)","15789","1114377","696291","Eel","13","13.17","Eel Grass"
"POINT (-122.694457509161 47.280684617002)","27299","1095791","717735",,"6","6.01","No Eel Grass"
"POINT (-122.631820483613 47.267438565364)","108377","1111202","712479",,"13","13.36","No Eel Grass"
"POINT (-122.748626952163 47.281771723997)","33320","1082362","718510",,"8","8.28","No Eel Grass"
"POINT (-122.717049273485 47.179852947924)","115856","1089152","681129",,"14","14.47","No Eel Grass"
"POINT (-122.599626455558 47.272370799604)","5494","1119240","714063",,"4","4.15","No Eel Grass"
"POINT (-122.623792016308 47.273696609125)","61530","1113256","714707",,"5","5.01","No Eel Grass"
"POINT (-122.791052620845 47.357112159385)","20717","1072634","746282",,"12","12.1","No Eel Grass"
"POINT (-122.722928096754 47.24060262431)","84389","1088315","703319",,"9","9.24","No Eel Grass"
"POINT (-122.695287144341 47.132984656432)","67545","1094086","663890",,"14","14.21","No Eel Grass"
"POINT (-122.718144713894 47.341156774851)","64502","1090534","739948",,"8","8.1","No Eel Grass"
"POINT (-122.656529149149 47.371266314838)","100810","1106105","750503",,"8","8.01","No Eel Grass"
"POINT (-122.686682103864 47.295993105972)","12624","1097875","723263",,"6","6.04","No Eel Grass"
"POINT (-122.592253858531 47.272616615609)","36191","1121072","714104","Eel","4","4.05","Eel Grass"
"POINT (-122.681081987155 47.139800766099)","37034","1097689","666277",,"14","14.04","No Eel Grass"
"POINT (-122.642709828552 47.278800679393)","74359","1108612","716695",,"5","5.03","No Eel Grass"
"POINT (-122.68058483484 47.323325981519)","119124","1099663","733187",,"6","6.31","No Eel Grass"
"POINT (-122.627398651749 47.235370427227)","11708","1111984","700757",,"13","13.15","No Eel Grass"
"POINT (-122.686839848336 47.28819271829)","101737","1097757","720420",,"6","6.04","No Eel Grass"
"POINT (-122.682513551426 47.316208214105)","88919","1099113","730605",,"6","6.09","No Eel Grass"
"POINT (-122.681189068144 47.325884462672)","119704","1099539","734124",,"6","6.31","No Eel Grass"
"POINT (-122.677821283064 47.14097584053)","37414","1098512","666683",,"14","14.04","No Eel Grass"
"POINT (-122.678175090276 47.32576557895)","103943","1100285","734060",,"6","6.11","No Eel Grass"
"POINT (-122.689725501464 47.306848708689)","104815","1097230","727242",,"6","6.08","No Eel Grass"
"POINT (-122.666930947384 47.345371901228)","48271","1103269","741132","Eel","6","6.3","Eel Grass"
"POINT (-122.695804939 47.134543721821)","67392","1093973","664462",,"14","14.21","No Eel Grass"
"POINT (-122.730467882283 47.336611777335)","783","1087433","738377","Eel","8","8.17","Eel Grass"
"POINT (-122.727483307677 47.333238054967)","38334","1088138","737126",,"8","8.18","No Eel Grass"
"POINT (-122.687208352476 47.294365003352)","12431","1097728","722673",,"6","6.04","No Eel Grass"
"POINT (-122.686360969976 47.291377767889)","86384","1097908","721578",,"6","6.04","No Eel Grass"
"POINT (-122.661785426924 47.337251082779)","51700","1104463","738136","Eel","6","6.27","Eel Grass"
"POINT (-122.678638496723 47.329327771063)","103382","1100206","735362",,"6","6.11","No Eel Grass"
"POINT (-122.686738440172 47.287188070028)","101597","1097772","720053",,"6","6.04","No Eel Grass"
"POINT (-122.573769581062 47.327248782218)","92620","1126183","733903",,"2","2.01","No Eel Grass"
"POINT (-122.746833317978 47.296016611884)","118194","1082955","723691",,"8","8.26","No Eel Grass"
"POINT (-122.572499267329 47.259530221936)","29013","1125849","709203",,"3","3.08","No Eel Grass"
"POINT (-122.689877600318 47.307117358903)","104852","1097195","727341",,"6","6.08","No Eel Grass"
"POINT (-122.592382722874 47.27065058476)","35807","1121021","713388",,"4","4.05","No Eel Grass"
"POINT (-122.729568600539 47.339920259028)","1176","1087690","739577",,"8","8.17","No Eel Grass"
"POINT (-122.679761754838 47.319847342133)","102020","1099832","731913","Eel","6","6.1","Eel Grass"
"POINT (-122.686749309667 47.296652820545)","12708","1097865","723504",,"6","6.04","No Eel Grass"
"POINT (-122.573895267449 47.327786812463)","102619","1126157","734100",,"2","2.01","No Eel Grass"
"POINT (-122.794723472231 47.355649075877)","22049","1071709","745775",,"12","12.1","No Eel Grass"
"POINT (-122.724804625998 47.161074709795)","117300","1087031","674337",,"14","14.43","No Eel Grass"
"POINT (-122.667128016669 47.345754925992)","48235","1103224","741273","Eel","7","7.01","Eel Grass"
"POINT (-122.594001512095 47.269074508487)","35393","1120604","712824",,"4","4.05","No Eel Grass"
"POINT (-122.592845038608 47.270313121965)","35287","1120903","713268",,"4","4.05","No Eel Grass"
"POINT (-122.686377431874 47.14260535514)","25287","1096400","667336",,"14","14.05","No Eel Grass"
"POINT (-122.681019489238 47.326277104936)","50656","1099585","734266",,"6","6.31","No Eel Grass"
"POINT (-122.571832234162 47.25988772165)","63397","1126018","709329",,"3","3.08","No Eel Grass"
"POINT (-122.729396836814 47.339961957276)","38961","1087733","739591",,"8","8.17","No Eel Grass"
"POINT (-122.670433107368 47.341277561497)","52152","1102360","739663","Eel","6","6.28","Eel Grass"
"POINT (-122.686382392109 47.14193601291)","111229","1096392","667092",,"14","14.05","No Eel Grass"
"POINT (-122.67876985474 47.324618959804)","104048","1100126","733646",,"6","6.11","No Eel Grass"
"POINT (-122.746729037439 47.271482101131)","68291","1082726","714745",,"9","9.08","No Eel Grass"
"POINT (-122.730178921168 47.33519389017)","48028","1087490","737858",,"8","8.17","No Eel Grass"
"POINT (-122.592339325314 47.270467614027)","35788","1121030","713321",,"4","4.05","No Eel Grass"
"POINT (-122.604945861877 47.28779194365)","45172","1118070","719721",,"4","4.09","No Eel Grass"
"POINT (-122.708090209185 47.344694596783)","72124","1093062","741168",,"8","8.1","No Eel Grass"
"POINT (-122.688565485785 47.298974493486)","85042","1097438","724363",,"6","6.03","No Eel Grass"
"POINT (-122.679645428242 47.323236678427)","88303","1099895","733148",,"6","6.1","No Eel Grass"
"POINT (-122.707869552486 47.141851182062)","80084","1091046","667210",,"14","14.15","No Eel Grass"
"POINT (-122.686277704396 47.36055950724)","57508","1098628","746802",,"8","8.03","No Eel Grass"
"POINT (-122.729450134603 47.340564318014)","38050","1087726","739811",,"8","8.17","No Eel Grass"
"POINT (-122.745947504 47.298162132111)","59885","1083197","724467",,"8","8.25","No Eel Grass"
"POINT (-122.708244117476 47.344414661488)","76684","1093021","741067",,"8","8.1","No Eel Grass"
"POINT (-122.570507654474 47.260849372864)","29221","1126356","709671",,"3","3.08","No Eel Grass"
"POINT (-122.695590892009 47.133829165405)","67465","1094019","664200",,"14","14.21","No Eel Grass"
"POINT (-122.619375264328 47.226239120231)","15540","1113887","697374",,"13","13.17","No Eel Grass"
"POINT (-122.725591406023 47.330424742169)","105910","1088578","736087",,"8","8.18","No Eel Grass"
"POINT (-122.648073008736 47.266896999844)","2103","1107163","712391",,"13","13.41","No Eel Grass"
"POINT (-122.754701405879 47.257322658987)","99427","1080600","709639",,"9","9.13","No Eel Grass"
"POINT (-122.679695807912 47.14080884684)","37248","1098044","666635",,"14","14.04","No Eel Grass"
"POINT (-122.721087987043 47.340129563443)","72928","1089794","739594",,"8","8.1","No Eel Grass"
"POINT (-122.632578521262 47.380630232331)","56347","1112130","753756","Eel","7","7.2","Eel Grass"
"POINT (-122.683774486106 47.314193315874)","89615","1098780","729879",,"6","6.09","No Eel Grass"
"POINT (-122.708219943502 47.344807318191)","76722","1093031","741210",,"8","8.1","No Eel Grass"
"POINT (-122.601863922835 47.218272812818)","107761","1118159","694353",,"13","13.17","No Eel Grass"
"POINT (-122.669287707264 47.368606896391)","57002","1102918","749620",,"8","8.02","No Eel Grass"
"POINT (-122.626096958152 47.27491594725)","60931","1112696","715167",,"5","5.01","No Eel Grass"
"POINT (-122.728283642759 47.162154218309)","116981","1086177","674755",,"14","14.44","No Eel Grass"
"POINT (-122.609272151865 47.218099646825)","28496","1116317","694339",,"13","13.17","No Eel Grass"
"POINT (-122.681206666333 47.326416201506)","120074","1099540","734318","Eel","6","6.31","Eel Grass"
"POINT (-122.726506952325 47.33236269172)","165","1088371","736800",,"8","8.18","No Eel Grass"
"POINT (-122.677740737378 47.324108961794)","95526","1100376","733453",,"6","6.11","No Eel Grass"
"POINT (-122.716674432235 47.131048586834)","66150","1088745","663333",,"14","14.28","No Eel Grass"
"POINT (-122.565258163292 47.264511190587)","30761","1127694","710972",,"3","3.08","No Eel Grass"
"POINT (-122.68134387689 47.325426274765)","119618","1099496","733958","Eel","6","6.31","Eel Grass"
"POINT (-122.730022314 47.318724398465)","96594","1087359","731852",,"8","8.21","No Eel Grass"
"POINT (-122.72270252342 47.243034295579)","84130","1088396","704204",,"9","9.24","No Eel Grass"
"POINT (-122.659302342085 47.327289581846)","109660","1104979","734487",,"6","6.14","No Eel Grass"
"POINT (-122.707828683301 47.139679630758)","10711","1091034","666418",,"14","14.15","No Eel Grass"
"POINT (-122.591985394056 47.271104804102)","35871","1121124","713551",,"4","4.05","No Eel Grass"
"POINT (-122.755307852094 47.257181941659)","99707","1080448","709592",,"9","9.13","No Eel Grass"
"POINT (-122.61209329162 47.270202431305)","46836","1116125","713355",,"4","4.17","No Eel Grass"
"POINT (-122.652060582851 47.274601176773)","18754","1106250","715227","Eel","13","13.48","Eel Grass"
"POINT (-122.653364495909 47.372984307305)","106046","1106906","751108",,"8","8.01","No Eel Grass"
"POINT (-122.721325740282 47.339927540303)","71175","1089733","739522",,"8","8.11","No Eel Grass"
"POINT (-122.569567651863 47.261442115389)","29311","1126595","709881",,"3","3.08","No Eel Grass"
"POINT (-122.649447970054 47.273462104107)","17026","1106887","714794",,"13","13.46","No Eel Grass"
"POINT (-122.678575195746 47.326975789444)","103778","1100198","734504",,"6","6.11","No Eel Grass"
"POINT (-122.605532202571 47.288661666658)","36419","1117933","720042",,"4","4.09","No Eel Grass"
"POINT (-122.630630204206 47.27754788351)","62015","1111597","716157",,"5","5.03","No Eel Grass"
"POINT (-122.692872675058 47.29289212638)","34909","1096308","722175",,"6","6.02","No Eel Grass"
"POINT (-122.79474837334 47.356701782714)","20970","1071714","746159",,"12","12.1","No Eel Grass"
"POINT (-122.657422560294 47.333303432638)","52488","1105505","736667",,"6","6.27","No Eel Grass"
"POINT (-122.685258848836 47.28569653659)","70045","1098124","719499",,"6","6.06","No Eel Grass"
"POINT (-122.696872454118 47.28779178996)","28065","1095264","720343",,"6","6.02","No Eel Grass"
"POINT (-122.687990146142 47.319168538452)","41179","1097785","731722",,"6","6.31","No Eel Grass"
"POINT (-122.664835549061 47.278008196407)","90833","1103114","716556",,"13","13.03","No Eel Grass"
"POINT (-122.690536782817 47.279222895208)","26162","1096749","717175",,"6","6.01","No Eel Grass"
"POINT (-122.679457182749 47.32019315317)","104691","1099911","732037","Eel","6","6.1","Eel Grass"
"POINT (-122.682894801942 47.314774864258)","89070","1099004","730085",,"6","6.09","No Eel Grass"
"POINT (-122.715304089903 47.341350927951)","64745","1091240","739999",,"8","8.1","No Eel Grass"
"POINT (-122.659240726513 47.329465614224)","109361","1105016","735280",,"6","6.14","No Eel Grass"
"POINT (-122.68402204483 47.140137465813)","36806","1096961","666420",,"14","14.04","No Eel Grass"
"POINT (-122.722539977892 47.339045833259)","72780","1089423","739209",,"8","8.11","No Eel Grass"
"POINT (-122.731229971871 47.316633182856)","3554","1087038","731098",,"8","8.22","No Eel Grass"
"POINT (-122.626508281593 47.23535935714)","117487","1112205","700747",,"13","13.15","No Eel Grass"
"POINT (-122.573793448333 47.327240127897)","92738","1126177","733900",,"2","2.01","No Eel Grass"
"POINT (-122.66740573824 47.370084643012)","107035","1103399","750146",,"8","8.02","No Eel Grass"
"POINT (-122.68713057076 47.319848472779)","41319","1098005","731964",,"6","6.31","No Eel Grass"
"POINT (-122.650449170495 47.271496239884)","17976","1106619","714084",,"13","13.45","No Eel Grass"
"POINT (-122.646482013471 47.279707246385)","74110","1107685","717051",,"5","5.03","No Eel Grass"
"POINT (-122.74764062264 47.269193420331)","32723","1082476","713917",,"9","9.08","No Eel Grass"
"POINT (-122.749407541381 47.264625347248)","32280","1081990","712264",,"9","9.09","No Eel Grass"
"POINT (-122.679471481186 47.321438039392)","95154","1099920","732491",,"6","6.1","No Eel Grass"
"POINT (-122.687230835073 47.322405464069)","120858","1098006","732897",,"6","6.31","No Eel Grass"
"POINT (-122.728354862104 47.162320159104)","83755","1086161","674816",,"14","14.44","No Eel Grass"
"POINT (-122.678293110805 47.141112317685)","37372","1098396","666736","Eel","14","14.04","Eel Grass"
"POINT (-122.710689561415 47.127224501443)","66699","1090195","661897",,"14","14.28","No Eel Grass"
"POINT (-122.671164821217 47.343603307769)","48712","1102202","740516",,"6","6.3","No Eel Grass"
"POINT (-122.747829326208 47.294963292954)","118325","1082697","723314",,"8","8.26","No Eel Grass"
"POINT (-122.72841224734 47.323557781434)","97287","1087808","733603",,"8","8.21","No Eel Grass"
"POINT (-122.802291626052 47.357443751589)","5747","1069853","746484",,"12","12.21","No Eel Grass"
"POINT (-122.568076434441 47.262472535951)","29507","1126975","710247",,"3","3.08","No Eel Grass"
"POINT (-122.660207177976 47.336131335662)","51846","1104843","737717","Eel","6","6.27","Eel Grass"
"POINT (-122.646392251267 47.26899885853)","1697","1107601","713146",,"13","13.42","No Eel Grass"
"POINT (-122.650478222342 47.27543963912)","19333","1106651","715522",,"13","13.47","No Eel Grass"
"POINT (-122.686464685284 47.359107894366)","31480","1098567","746274",,"8","8.03","No Eel Grass"
"POINT (-122.686740741431 47.142543625286)","25262","1096309","667316",,"14","14.05","No Eel Grass"
"POINT (-122.716037050286 47.179987545327)","116602","1089405","681171",,"14","14.47","No Eel Grass"
"POINT (-122.677702648213 47.321383504564)","104488","1100358","732459",,"6","6.1","No Eel Grass"
"POINT (-122.550666183018 47.389085404227)","43949","1132497","756301",,"1","1.02","No Eel Grass"
"POINT (-122.665936479479 47.278525185038)","91326","1102846","716752",,"13","13.03","No Eel Grass"
"POINT (-122.683118176775 47.364247429788)","22515","1099448","748125","Eel","8","8.03","Eel Grass"
"POINT (-122.726023774658 47.331510768721)","46","1088482","736486",,"8","8.18","No Eel Grass"
"POINT (-122.573651622341 47.25870053174)","64271","1125555","708908",,"3","3.08","No Eel Grass"
"POINT (-122.647896895812 47.280117109552)","73995","1107338","717210",,"5","5.03","No Eel Grass"
"POINT (-122.664860882492 47.278836007583)","34369","1103116","716858",,"13","13.03","No Eel Grass"
"POINT (-122.573720766027 47.327968196666)","102728","1126202","734165",,"2","2.01","No Eel Grass"
"POINT (-122.678010132609 47.324485127968)","104107","1100313","733592",,"6","6.11","No Eel Grass"
"POINT (-122.67135428576 47.341507158012)","49130","1102134","739753",,"6","6.3","No Eel Grass"
"POINT (-122.716601707248 47.179535131676)","116702","1089260","681010",,"14","14.47","No Eel Grass"
"POINT (-122.70752580509 47.140527469634)","80237","1091118","666725",,"14","14.15","No Eel Grass"
"POINT (-122.696215851452 47.139983184352)","23621","1093926","666448",,"14","14.11","No Eel Grass"
"POINT (-122.688681764484 47.183835446354)","115199","1096244","682384",,"14","14.53","No Eel Grass"
"POINT (-122.648127904368 47.267060541557)","1377","1107151","712451",,"13","13.41","No Eel Grass"
"POINT (-122.685592943635 47.285388541907)","69780","1098038","719389",,"6","6.06","No Eel Grass"
"POINT (-122.705970341561 47.137101187512)","80618","1091470","665465",,"14","14.15","No Eel Grass"
"POINT (-122.743461915958 47.302258515678)","82971","1083856","725943",,"8","8.24","No Eel Grass"
"POINT (-122.692013001483 47.184628112242)","115508","1095424","682696",,"14","14.53","No Eel Grass"
"POINT (-122.660510742896 47.327146403356)","109783","1104678","734443",,"6","6.14","No Eel Grass"
"POINT (-122.667748215489 47.277981169615)","91096","1102391","716566",,"13","13.03","No Eel Grass"
"POINT (-122.664288194939 47.370960096021)","100273","1104180","750444",,"8","8.02","No Eel Grass"
"POINT (-122.708287354591 47.344092950351)","76652","1093007","740950",,"8","8.1","No Eel Grass"
"POINT (-122.747317159128 47.295055506163)","82062","1082825","723344",,"8","8.26","No Eel Grass"
"POINT (-122.698978099395 47.350676532498)","59170","1095381","743286","Eel","8","8.09","Eel Grass"
"POINT (-122.736912279931 47.310824382834)","81403","1085569","729020",,"8","8.23","No Eel Grass"
"POINT (-122.667423769339 47.277830906881)","91064","1102470","716509",,"13","13.03","No Eel Grass"
"POINT (-122.749005192537 47.267524027103)","94256","1082120","713318","Eel","9","9.08","Eel Grass"
"POINT (-122.787682289365 47.361742495972)","19970","1073518","747946",,"12","12.11","No Eel Grass"
"POINT (-122.684755685754 47.313530310902)","89527","1098530","729644",,"6","6.09","No Eel Grass"
"POINT (-122.618575846137 47.270794412729)","60504","1114522","713614",,"4","4.18","No Eel Grass"
"POINT (-122.575206508865 47.257550961599)","30073","1125158","708499",,"3","3.08","No Eel Grass"
"POINT (-122.682622650075 47.31651059366)","9705","1099089","730716",,"6","6.09","No Eel Grass"
"POINT (-122.788290162911 47.361231341614)","19908","1073362","747764",,"12","12.11","No Eel Grass"
"POINT (-122.660783417101 47.330309032944)","69324","1104642","735598",,"6","6.14","No Eel Grass"
"POINT (-122.627155118919 47.275381971585)","61736","1112438","715344",,"5","5.01","No Eel Grass"
"POINT (-122.573476924595 47.258766738844)","63634","1125599","708931",,"3","3.08","No Eel Grass"
"POINT (-122.663963257409 47.37091130282)","106787","1104260","750424",,"8","8.02","No Eel Grass"
"POINT (-122.684673298663 47.322892493199)","50132","1098645","733057",,"6","6.31","No Eel Grass"
"POINT (-122.696038846282 47.351530298907)","78055","1096118","743577",,"8","8.09","No Eel Grass"
"POINT (-122.687069970124 47.295618270908)","12574","1097775","723129",,"6","6.04","No Eel Grass"
"POINT (-122.681483019616 47.31754407233)","90051","1099382","731085","Eel","6","6.1","Eel Grass"
"POINT (-122.625562598746 47.274752965478)","60977","1112827","715104",,"5","5.01","No Eel Grass"
"POINT (-122.707818248618 47.142266331325)","80029","1091063","667361",,"14","14.15","No Eel Grass"
"POINT (-122.697317958611 47.285087283318)","27798","1095126","719360",,"6","6.01","No Eel Grass"
"POINT (-122.623491416612 47.273737772893)","61199","1113331","714720",,"5","5.01","No Eel Grass"
"POINT (-122.665794600971 47.278604631572)","91340","1102882","716780",,"13","13.03","No Eel Grass"
"POINT (-122.755881593317 47.273520398763)","78624","1080476","715553","Eel","9","9.06","Eel Grass"
"POINT (-122.549918010685 47.388423975337)","43087","1132676","756055",,"1","1.03","No Eel Grass"
"POINT (-122.609382786702 47.270748226622)","47387","1116803","713536","Eel","4","4.17","Eel Grass"
"POINT (-122.69265732027 47.293836937972)","35024","1096371","722518",,"6","6.02","No Eel Grass"
"POINT (-122.656814383563 47.333528665181)","52270","1105658","736745",,"6","6.27","No Eel Grass"
"POINT (-122.725263797157 47.327002693187)","98637","1088624","734837",,"8","8.19","No Eel Grass"
"POINT (-122.605527851992 47.288653517904)","36420","1117934","720039",,"4","4.09","No Eel Grass"
"POINT (-122.645826701034 47.279445118919)","74156","1107845","716951",,"5","5.03","No Eel Grass"
"POINT (-122.628239277482 47.236158581534)","114421","1111783","701050",,"13","13.15","No Eel Grass"
"POINT (-122.678350389109 47.325413973078)","103976","1100238","733933",,"6","6.11","No Eel Grass"
"POINT (-122.676281791405 47.142071794209)","37631","1098906","667072","Eel","14","14.04","Eel Grass"
"POINT (-122.631882145427 47.381698891336)","56224","1112313","754141",,"7","7.2","No Eel Grass"
"POINT (-122.604885509032 47.288102953269)","45896","1118088","719834",,"4","4.09","No Eel Grass"
"POINT (-122.747416257307 47.295015186563)","82054","1082800","723330",,"8","8.26","No Eel Grass"
"POINT (-122.712593498168 47.342154140098)","71771","1091920","740273",,"8","8.1","No Eel Grass"
"POINT (-122.792289686858 47.352724085266)","21474","1072281","744691",,"12","12.1","No Eel Grass"
"POINT (-122.572226247734 47.259658523311)","63451","1125918","709248",,"3","3.08","No Eel Grass"
"POINT (-122.683439952467 47.314693291498)","89666","1098868","730059",,"6","6.09","No Eel Grass"
"POINT (-122.696881519501 47.287816302279)","28067","1095262","720352",,"6","6.02","No Eel Grass"
"POINT (-122.696868225535 47.287983858033)","13871","1095267","720413",,"6","6.02","No Eel Grass"
"POINT (-122.722476654512 47.24069083026)","98803","1088428","703348",,"9","9.24","No Eel Grass"
