"public_transparency_solution","time_period","number_of_transactions","site","year","month","years_prior_current_year","include_in_ytd"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2020-10-31T00:00:00.000","106","GIS Remote Piloted Aerial Surveillance (RPAS)","2020","10","2","No"
"Public Records Portal Number of Page Views","2020-10-31T00:00:00.000","7781","Public Records Portal","2020","10","2","No"
"GIS Open Data Number of Page Views","2020-10-31T00:00:00.000","9058","GIS Open Data","2020","10","2","No"
"Open Pierce County Number of Page Views","2020-10-31T00:00:00.000","6165","Open Performance/Data","2020","10","2","No"
"PublicGIS Number of Page Views","2020-10-31T00:00:00.000","49105","PublicGIS Number of Page Views","2020","10","2","No"
"Public Nuisance Reporting Portal Page Views","2020-10-31T00:00:00.000","7647","Public Nuisance Reporting Portal","2020","10","2","No"
"Open Pierce County Number of Page Views","2020-10-31T00:00:00.000","315","Open Project","2020","10","2","No"
"Open Pierce County Number of Page Views","2020-10-31T00:00:00.000","251","Open Budget","2020","10","2","No"
"Open Pierce County Number of Page Views","2020-10-31T00:00:00.000","42","Open Checkbook","2020","10","2","No"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2020-11-30T00:00:00.000","38","GIS Remote Piloted Aerial Surveillance (RPAS)","2020","11","2","No"
"Public Records Portal Number of Page Views","2020-11-30T00:00:00.000","8118","Public Records Portal","2020","11","2","No"
"GIS Open Data Number of Page Views","2020-11-30T00:00:00.000","7464","GIS Open Data","2020","11","2","No"
"Open Pierce County Number of Page Views","2020-11-30T00:00:00.000","4797","Open Performance/Data","2020","11","2","No"
"PublicGIS Number of Page Views","2020-11-30T00:00:00.000","47932","PublicGIS Number of Page Views","2020","11","2","No"
"Public Nuisance Reporting Portal Page Views","2020-11-30T00:00:00.000","6265","Public Nuisance Reporting Portal","2020","11","2","No"
"Open Pierce County Number of Page Views","2020-11-30T00:00:00.000","345","Open Project","2020","11","2","No"
"Open Pierce County Number of Page Views","2020-11-30T00:00:00.000","142","Open Budget","2020","11","2","No"
"Open Pierce County Number of Page Views","2020-11-30T00:00:00.000","150","Open Checkbook","2020","11","2","No"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2020-12-31T00:00:00.000","24","GIS Remote Piloted Aerial Surveillance (RPAS)","2020","12","2","No"
"Public Records Portal Number of Page Views","2020-12-31T00:00:00.000","7143","Public Records Portal","2020","12","2","No"
"GIS Open Data Number of Page Views","2020-12-31T00:00:00.000","6502","GIS Open Data","2020","12","2","No"
"Open Pierce County Number of Page Views","2020-12-31T00:00:00.000","5580","Open Performance/Data","2020","12","2","No"
"PublicGIS Number of Page Views","2020-12-31T00:00:00.000","44478","PublicGIS Number of Page Views","2020","12","2","No"
"Public Nuisance Reporting Portal Page Views","2020-12-31T00:00:00.000","5998","Public Nuisance Reporting Portal","2020","12","2","No"
"Open Pierce County Number of Page Views","2020-12-31T00:00:00.000","385","Open Project","2020","12","2","No"
"Open Pierce County Number of Page Views","2020-12-31T00:00:00.000","95","Open Budget","2020","12","2","No"
"Open Pierce County Number of Page Views","2020-12-31T00:00:00.000","61","Open Checkbook","2020","12","2","No"
"Survey Monument Number of Page Views","2021-01-31T00:00:00.000","584","Survey Monument","2021","1","1","Yes"
"Info By Address  Number of Page Views","2021-01-31T00:00:00.000","1199","Info By Address","2021","1","1","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2021-01-31T00:00:00.000","43","GIS Remote Piloted Aerial Surveillance (RPAS)","2021","1","1","Yes"
"Public Records Portal Number of Page Views","2021-01-31T00:00:00.000","7718","Public Records Portal","2021","1","1","Yes"
"GIS Open Data Number of Page Views","2021-01-31T00:00:00.000","7544","GIS Open Data","2021","1","1","Yes"
"Open Pierce County Number of Page Views","2021-01-31T00:00:00.000","9645","Open Performance/Data","2021","1","1","Yes"
"PublicGIS Number of Page Views","2021-01-31T00:00:00.000","52416","PublicGIS Number of Page Views","2021","1","1","Yes"
"Public Nuisance Reporting Portal Page Views","2021-01-31T00:00:00.000","8005","Public Nuisance Reporting Portal","2021","1","1","Yes"
"Open Pierce County Number of Page Views","2021-01-31T00:00:00.000","383","Open Project","2021","1","1","Yes"
"Open Pierce County Number of Page Views","2021-01-31T00:00:00.000","139","Open Budget","2021","1","1","Yes"
"Open Pierce County Number of Page Views","2021-01-31T00:00:00.000","331","Open Checkbook","2021","1","1","Yes"
"Survey Monument Number of Page Views","2021-02-28T00:00:00.000","700","Survey Monument","2021","2","1","Yes"
"Info By Address  Number of Page Views","2021-02-28T00:00:00.000","1000","Info By Address","2021","2","1","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2021-02-28T00:00:00.000","40","GIS Remote Piloted Aerial Surveillance (RPAS)","2021","2","1","Yes"
"Public Records Portal Number of Page Views","2021-02-28T00:00:00.000","8172","Public Records Portal","2021","2","1","Yes"
"GIS Open Data Number of Page Views","2021-02-28T00:00:00.000","7077","GIS Open Data","2021","2","1","Yes"
"Open Pierce County Number of Page Views","2021-02-28T00:00:00.000","7440","Open Performance/Data","2021","2","1","Yes"
"PublicGIS Number of Page Views","2021-02-28T00:00:00.000","49948","PublicGIS Number of Page Views","2021","2","1","Yes"
"Public Nuisance Reporting Portal Page Views","2021-02-28T00:00:00.000","7080","Public Nuisance Reporting Portal","2021","2","1","Yes"
"Open Pierce County Number of Page Views","2021-02-28T00:00:00.000","312","Open Project","2021","2","1","Yes"
"Open Pierce County Number of Page Views","2021-02-28T00:00:00.000","160","Open Budget","2021","2","1","Yes"
"Open Pierce County Number of Page Views","2021-02-28T00:00:00.000","174","Open Checkbook","2021","2","1","Yes"
"Survey Monument Number of Page Views","2021-03-31T00:00:00.000","659","Survey Monument","2021","3","1","Yes"
"Info By Address  Number of Page Views","2021-03-31T00:00:00.000","1380","Info By Address","2021","3","1","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2021-03-31T00:00:00.000","66","GIS Remote Piloted Aerial Surveillance (RPAS)","2021","3","1","Yes"
"Public Records Portal Number of Page Views","2021-03-31T00:00:00.000","9073","Public Records Portal","2021","3","1","Yes"
"GIS Open Data Number of Page Views","2021-03-31T00:00:00.000","8828","GIS Open Data","2021","3","1","Yes"
"Open Pierce County Number of Page Views","2021-03-31T00:00:00.000","9513","Open Performance/Data","2021","3","1","Yes"
"PublicGIS Number of Page Views","2021-03-31T00:00:00.000","57258","PublicGIS Number of Page Views","2021","3","1","Yes"
"Public Nuisance Reporting Portal Page Views","2021-03-31T00:00:00.000","7286","Public Nuisance Reporting Portal","2021","3","1","Yes"
"Open Pierce County Number of Page Views","2021-03-31T00:00:00.000","745","Open Project","2021","3","1","Yes"
"Open Pierce County Number of Page Views","2021-03-31T00:00:00.000","153","Open Budget","2021","3","1","Yes"
"Open Pierce County Number of Page Views","2021-03-31T00:00:00.000","87","Open Checkbook","2021","3","1","Yes"
"Survey Monument Number of Page Views","2021-04-30T00:00:00.000","709","Survey Monument","2021","4","1","Yes"
"Info By Address  Number of Page Views","2021-04-30T00:00:00.000","1265","Info By Address","2021","4","1","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2021-04-30T00:00:00.000","40","GIS Remote Piloted Aerial Surveillance (RPAS)","2021","4","1","Yes"
"Public Records Portal Number of Page Views","2021-04-30T00:00:00.000",,"Public Records Portal","2021","4","1","Yes"
"GIS Open Data Number of Page Views","2021-04-30T00:00:00.000","8963","GIS Open Data","2021","4","1","Yes"
"Open Pierce County Number of Page Views","2021-04-30T00:00:00.000","7879","Open Performance/Data","2021","4","1","Yes"
"PublicGIS Number of Page Views","2021-04-30T00:00:00.000","54031","PublicGIS Number of Page Views","2021","4","1","Yes"
"Public Nuisance Reporting Portal Page Views","2021-04-30T00:00:00.000","8115","Public Nuisance Reporting Portal","2021","4","1","Yes"
"Open Pierce County Number of Page Views","2021-04-30T00:00:00.000","260","Open Project","2021","4","1","Yes"
"Open Pierce County Number of Page Views","2021-04-30T00:00:00.000","322","Open Budget","2021","4","1","Yes"
"Open Pierce County Number of Page Views","2021-04-30T00:00:00.000","224","Open Checkbook","2021","4","1","Yes"
"Survey Monument Number of Page Views","2021-05-31T00:00:00.000","541","Survey Monument","2021","5","1","Yes"
"Info By Address  Number of Page Views","2021-05-31T00:00:00.000","1181","Info By Address","2021","5","1","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2021-05-31T00:00:00.000","62","GIS Remote Piloted Aerial Surveillance (RPAS)","2021","5","1","Yes"
"Public Records Portal Number of Page Views","2021-05-31T00:00:00.000","8727","Public Records Portal","2021","5","1","Yes"
"GIS Open Data Number of Page Views","2021-05-31T00:00:00.000","8237","GIS Open Data","2021","5","1","Yes"
"Open Pierce County Number of Page Views","2021-05-31T00:00:00.000","6600","Open Performance/Data","2021","5","1","Yes"
"PublicGIS Number of Page Views","2021-05-31T00:00:00.000","50630","PublicGIS Number of Page Views","2021","5","1","Yes"
"Public Nuisance Reporting Portal Page Views","2021-05-31T00:00:00.000","9487","Public Nuisance Reporting Portal","2021","5","1","Yes"
"Open Pierce County Number of Page Views","2021-05-31T00:00:00.000","419","Open Project","2021","5","1","Yes"
"Open Pierce County Number of Page Views","2021-05-31T00:00:00.000","213","Open Budget","2021","5","1","Yes"
"Open Pierce County Number of Page Views","2021-05-31T00:00:00.000","95","Open Checkbook","2021","5","1","Yes"
"Survey Monument Number of Page Views","2021-06-30T00:00:00.000","492","Survey Monument","2021","6","1","Yes"
"Info By Address  Number of Page Views","2021-06-30T00:00:00.000","1285","Info By Address","2021","6","1","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2021-06-30T00:00:00.000","67","GIS Remote Piloted Aerial Surveillance (RPAS)","2021","6","1","Yes"
"Public Records Portal Number of Page Views","2021-06-30T00:00:00.000","10118","Public Records Portal","2021","6","1","Yes"
"GIS Open Data Number of Page Views","2021-06-30T00:00:00.000","6483","GIS Open Data","2021","6","1","Yes"
"Open Pierce County Number of Page Views","2021-06-30T00:00:00.000","7365","Open Performance/Data","2021","6","1","Yes"
"PublicGIS Number of Page Views","2021-06-30T00:00:00.000","48655","PublicGIS Number of Page Views","2021","6","1","Yes"
"Public Nuisance Reporting Portal Page Views","2021-06-30T00:00:00.000","7669","Public Nuisance Reporting Portal","2021","6","1","Yes"
"Open Pierce County Number of Page Views","2021-06-30T00:00:00.000","377","Open Project","2021","6","1","Yes"
"Open Pierce County Number of Page Views","2021-06-30T00:00:00.000","201","Open Budget","2021","6","1","Yes"
"Open Pierce County Number of Page Views","2021-06-30T00:00:00.000","139","Open Checkbook","2021","6","1","Yes"
"Survey Monument Number of Page Views","2021-07-31T00:00:00.000","567","Survey Monument","2021","7","1","Yes"
"Info By Address  Number of Page Views","2021-07-31T00:00:00.000","1301","Info By Address","2021","7","1","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2021-07-31T00:00:00.000","53","GIS Remote Piloted Aerial Surveillance (RPAS)","2021","7","1","Yes"
"Public Records Portal Number of Page Views","2021-07-31T00:00:00.000","8896","Public Records Portal","2021","7","1","Yes"
"GIS Open Data Number of Page Views","2021-07-31T00:00:00.000","5947","GIS Open Data","2021","7","1","Yes"
"Open Pierce County Number of Page Views","2021-07-31T00:00:00.000","6877","Open Performance/Data","2021","7","1","Yes"
"PublicGIS Number of Page Views","2021-07-31T00:00:00.000","48668","PublicGIS Number of Page Views","2021","7","1","Yes"
"Public Nuisance Reporting Portal Page Views","2021-07-31T00:00:00.000","8766","Public Nuisance Reporting Portal","2021","7","1","Yes"
"Open Pierce County Number of Page Views","2021-07-31T00:00:00.000","302","Open Project","2021","7","1","Yes"
"Open Pierce County Number of Page Views","2021-07-31T00:00:00.000","425","Open Budget","2021","7","1","Yes"
"Open Pierce County Number of Page Views","2021-07-31T00:00:00.000","136","Open Checkbook","2021","7","1","Yes"
"Survey Monument Number of Page Views","2021-08-31T00:00:00.000","584","Survey Monument","2021","8","1","Yes"
"Info By Address  Number of Page Views","2021-08-31T00:00:00.000","1404","Info By Address","2021","8","1","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2021-08-31T00:00:00.000","66","GIS Remote Piloted Aerial Surveillance (RPAS)","2021","8","1","Yes"
"Public Records Portal Number of Page Views","2021-08-31T00:00:00.000","10545","Public Records Portal","2021","8","1","Yes"
"GIS Open Data Number of Page Views","2021-08-31T00:00:00.000","7076","GIS Open Data","2021","8","1","Yes"
"Open Pierce County Number of Page Views","2021-08-31T00:00:00.000","6649","Open Performance/Data","2021","8","1","Yes"
"PublicGIS Number of Page Views","2021-08-31T00:00:00.000","48496","PublicGIS Number of Page Views","2021","8","1","Yes"
"Public Nuisance Reporting Portal Page Views","2021-08-31T00:00:00.000","8697","Public Nuisance Reporting Portal","2021","8","1","Yes"
"Open Pierce County Number of Page Views","2021-08-31T00:00:00.000","1089","Open Project","2021","8","1","Yes"
"Open Pierce County Number of Page Views","2021-08-31T00:00:00.000","281","Open Budget","2021","8","1","Yes"
"Open Pierce County Number of Page Views","2021-08-31T00:00:00.000","283","Open Checkbook","2021","8","1","Yes"
"Survey Monument Number of Page Views","2021-09-30T00:00:00.000","493","Survey Monument","2021","9","1","No"
"Info By Address  Number of Page Views","2021-09-30T00:00:00.000","1392","Info By Address","2021","9","1","No"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2021-09-30T00:00:00.000","50","GIS Remote Piloted Aerial Surveillance (RPAS)","2021","9","1","No"
"Public Records Portal Number of Page Views","2021-09-30T00:00:00.000","9885","Public Records Portal","2021","9","1","No"
"GIS Open Data Number of Page Views","2021-09-30T00:00:00.000","6180","GIS Open Data","2021","9","1","No"
"Open Pierce County Number of Page Views","2021-09-30T00:00:00.000","9108","Open Performance/Data","2021","9","1","No"
"PublicGIS Number of Page Views","2021-09-30T00:00:00.000","48464","PublicGIS Number of Page Views","2021","9","1","No"
"Public Nuisance Reporting Portal Page Views","2021-09-30T00:00:00.000","8301","Public Nuisance Reporting Portal","2021","9","1","No"
"Open Pierce County Number of Page Views","2021-09-30T00:00:00.000","511","Open Project","2021","9","1","No"
"Open Pierce County Number of Page Views","2021-09-30T00:00:00.000","243","Open Budget","2021","9","1","No"
"Open Pierce County Number of Page Views","2021-09-30T00:00:00.000","282","Open Checkbook","2021","9","1","No"
"Survey Monument Number of Page Views","2021-10-31T00:00:00.000","464","Survey Monument","2021","10","1","No"
"Info By Address  Number of Page Views","2021-10-31T00:00:00.000","1564","Info By Address","2021","10","1","No"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2021-10-31T00:00:00.000","109","GIS Remote Piloted Aerial Surveillance (RPAS)","2021","10","1","No"
"Public Records Portal Number of Page Views","2021-10-31T00:00:00.000","8465","Public Records Portal","2021","10","1","No"
"GIS Open Data Number of Page Views","2021-10-31T00:00:00.000","7869","GIS Open Data","2021","10","1","No"
"Open Pierce County Number of Page Views","2021-10-31T00:00:00.000","10957","Open Performance/Data","2021","10","1","No"
"PublicGIS Number of Page Views","2021-10-31T00:00:00.000","54017","PublicGIS Number of Page Views","2021","10","1","No"
"Public Nuisance Reporting Portal Page Views","2021-10-31T00:00:00.000","7791","Public Nuisance Reporting Portal","2021","10","1","No"
"Open Pierce County Number of Page Views","2021-10-31T00:00:00.000","443","Open Project","2021","10","1","No"
"Open Pierce County Number of Page Views","2021-10-31T00:00:00.000","204","Open Budget","2021","10","1","No"
"Open Pierce County Number of Page Views","2021-10-31T00:00:00.000","243","Open Checkbook","2021","10","1","No"
"Pierce County Works","2021-10-31T00:00:00.000","1136","Pierce County Works","2021","10","1","No"
"Survey Monument Number of Page Views","2021-11-30T00:00:00.000","427","Survey Monument","2021","11","1","No"
"Info By Address  Number of Page Views","2021-11-30T00:00:00.000","1406","Info By Address","2021","11","1","No"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2021-11-30T00:00:00.000","40","GIS Remote Piloted Aerial Surveillance (RPAS)","2021","11","1","No"
"Public Records Portal Number of Page Views","2021-11-30T00:00:00.000","8496","Public Records Portal","2021","11","1","No"
"GIS Open Data Number of Page Views","2021-11-30T00:00:00.000","7537","GIS Open Data","2021","11","1","No"
"Open Pierce County Number of Page Views","2021-11-30T00:00:00.000","8822","Open Performance/Data","2021","11","1","No"
"PublicGIS Number of Page Views","2021-11-30T00:00:00.000","48244","PublicGIS Number of Page Views","2021","11","1","No"
"Public Nuisance Reporting Portal Page Views","2021-11-30T00:00:00.000","6155","Public Nuisance Reporting Portal","2021","11","1","No"
"Open Pierce County Number of Page Views","2021-11-30T00:00:00.000","411","Open Project","2021","11","1","No"
"Open Pierce County Number of Page Views","2021-11-30T00:00:00.000","129","Open Budget","2021","11","1","No"
"Open Pierce County Number of Page Views","2021-11-30T00:00:00.000","81","Open Checkbook","2021","11","1","No"
"Pierce County Works","2021-11-30T00:00:00.000","995","Pierce County Works","2021","11","1","No"
"Survey Monument Number of Page Views","2021-12-31T00:00:00.000","319","Survey Monument","2021","12","1","No"
"Info By Address  Number of Page Views","2021-12-31T00:00:00.000","1204","Info By Address","2021","12","1","No"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2021-12-31T00:00:00.000","42","GIS Remote Piloted Aerial Surveillance (RPAS)","2021","12","1","No"
"Public Records Portal Number of Page Views","2021-12-31T00:00:00.000","8157","Public Records Portal","2021","12","1","No"
"GIS Open Data Number of Page Views","2021-12-31T00:00:00.000","5795","GIS Open Data","2021","12","1","No"
"Open Pierce County Number of Page Views","2021-12-31T00:00:00.000","8905","Open Performance/Data","2021","12","1","No"
"PublicGIS Number of Page Views","2021-12-31T00:00:00.000","40729","PublicGIS Number of Page Views","2021","12","1","No"
"Public Nuisance Reporting Portal Page Views","2021-12-31T00:00:00.000","6125","Public Nuisance Reporting Portal","2021","12","1","No"
"Open Pierce County Number of Page Views","2021-12-31T00:00:00.000","982","Open Project","2021","12","1","No"
"Open Pierce County Number of Page Views","2021-12-31T00:00:00.000","210","Open Budget","2021","12","1","No"
"Open Pierce County Number of Page Views","2021-12-31T00:00:00.000","479","Open Checkbook","2021","12","1","No"
"Pierce County Works","2021-12-31T00:00:00.000","1457","Pierce County Works","2021","12","1","No"
"Survey Monument Number of Page Views","2022-01-31T00:00:00.000","409","Survey Monument","2022","1","0","Yes"
"Info By Address  Number of Page Views","2022-01-31T00:00:00.000","1446","Info By Address","2022","1","0","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2022-01-31T00:00:00.000","31","GIS Remote Piloted Aerial Surveillance (RPAS)","2022","1","0","Yes"
"Public Records Portal Number of Page Views","2022-01-31T00:00:00.000","10215","Public Records Portal","2022","1","0","Yes"
"GIS Open Data Number of Page Views","2022-01-31T00:00:00.000","7591","GIS Open Data","2022","1","0","Yes"
"Open Pierce County Number of Page Views","2022-01-31T00:00:00.000","8142","Open Performance/Data","2022","1","0","Yes"
"PublicGIS Number of Page Views","2022-01-31T00:00:00.000","45826","PublicGIS Number of Page Views","2022","1","0","Yes"
"Public Nuisance Reporting Portal Page Views","2022-01-31T00:00:00.000","8218","Public Nuisance Reporting Portal","2022","1","0","Yes"
"Open Pierce County Number of Page Views","2022-01-31T00:00:00.000","417","Open Project","2022","1","0","Yes"
"Open Pierce County Number of Page Views","2022-01-31T00:00:00.000","317","Open Budget","2022","1","0","Yes"
"Open Pierce County Number of Page Views","2022-01-31T00:00:00.000","106","Open Checkbook","2022","1","0","Yes"
"Pierce County Works","2022-01-31T00:00:00.000","2230","Pierce County Works","2022","1","0","Yes"
"Survey Monument Number of Page Views","2022-02-28T00:00:00.000","515","Survey Monument","2022","2","0","Yes"
"Info By Address  Number of Page Views","2022-02-28T00:00:00.000","1266","Info By Address","2022","2","0","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2022-02-28T00:00:00.000","43","GIS Remote Piloted Aerial Surveillance (RPAS)","2022","2","0","Yes"
"Public Records Portal Number of Page Views","2022-02-28T00:00:00.000","9303","Public Records Portal","2022","2","0","Yes"
"GIS Open Data Number of Page Views","2022-02-28T00:00:00.000","7548","GIS Open Data","2022","2","0","Yes"
"Open Pierce County Number of Page Views","2022-02-28T00:00:00.000","7329","Open Performance/Data","2022","2","0","Yes"
"PublicGIS Number of Page Views","2022-02-28T00:00:00.000","47197","PublicGIS Number of Page Views","2022","2","0","Yes"
"Public Nuisance Reporting Portal Page Views","2022-02-28T00:00:00.000","8367","Public Nuisance Reporting Portal","2022","2","0","Yes"
"Open Pierce County Number of Page Views","2022-02-28T00:00:00.000","344","Open Project","2022","2","0","Yes"
"Open Pierce County Number of Page Views","2022-02-28T00:00:00.000","353","Open Budget","2022","2","0","Yes"
"Open Pierce County Number of Page Views","2022-02-28T00:00:00.000","98","Open Checkbook","2022","2","0","Yes"
"Pierce County Works","2022-02-28T00:00:00.000","1033","Pierce County Works","2022","2","0","Yes"
"Survey Monument Number of Page Views","2022-03-31T00:00:00.000","626","Survey Monument","2022","3","0","Yes"
"Info By Address  Number of Page Views","2022-03-31T00:00:00.000","1385","Info By Address","2022","3","0","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2022-03-31T00:00:00.000","45","GIS Remote Piloted Aerial Surveillance (RPAS)","2022","3","0","Yes"
"Public Records Portal Number of Page Views","2022-03-31T00:00:00.000","10413","Public Records Portal","2022","3","0","Yes"
"GIS Open Data Number of Page Views","2022-03-31T00:00:00.000","8044","GIS Open Data","2022","3","0","Yes"
"Open Pierce County Number of Page Views","2022-03-31T00:00:00.000","9890","Open Performance/Data","2022","3","0","Yes"
"PublicGIS Number of Page Views","2022-03-31T00:00:00.000","52700","PublicGIS Number of Page Views","2022","3","0","Yes"
"Public Nuisance Reporting Portal Page Views","2022-03-31T00:00:00.000","9009","Public Nuisance Reporting Portal","2022","3","0","Yes"
"Open Pierce County Number of Page Views","2022-03-31T00:00:00.000","521","Open Project","2022","3","0","Yes"
"Open Pierce County Number of Page Views","2022-03-31T00:00:00.000","563","Open Budget","2022","3","0","Yes"
"Open Pierce County Number of Page Views","2022-03-31T00:00:00.000","140","Open Checkbook","2022","3","0","Yes"
"Pierce County Works","2022-03-31T00:00:00.000","1397","Pierce County Works","2022","3","0","Yes"
"Survey Monument Number of Page Views","2022-04-30T00:00:00.000","527","Survey Monument","2022","4","0","Yes"
"Info By Address  Number of Page Views","2022-04-30T00:00:00.000","1341","Info By Address","2022","4","0","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2022-04-30T00:00:00.000","38","GIS Remote Piloted Aerial Surveillance (RPAS)","2022","4","0","Yes"
"Public Records Portal Number of Page Views","2022-04-30T00:00:00.000","8071","Public Records Portal","2022","4","0","Yes"
"GIS Open Data Number of Page Views","2022-04-30T00:00:00.000","7173","GIS Open Data","2022","4","0","Yes"
"Open Pierce County Number of Page Views","2022-04-30T00:00:00.000","10126","Open Performance/Data","2022","4","0","Yes"
"PublicGIS Number of Page Views","2022-04-30T00:00:00.000","47989","PublicGIS Number of Page Views","2022","4","0","Yes"
"Public Nuisance Reporting Portal Page Views","2022-04-30T00:00:00.000","8335","Public Nuisance Reporting Portal","2022","4","0","Yes"
"Open Pierce County Number of Page Views","2022-04-30T00:00:00.000","1123","Open Project","2022","4","0","Yes"
"Open Pierce County Number of Page Views","2022-04-30T00:00:00.000","384","Open Budget","2022","4","0","Yes"
"Open Pierce County Number of Page Views","2022-04-30T00:00:00.000","134","Open Checkbook","2022","4","0","Yes"
"Pierce County Works","2022-04-30T00:00:00.000","1130","Pierce County Works","2022","4","0","Yes"
"Survey Monument Number of Page Views","2022-05-31T00:00:00.000","558","Survey Monument","2022","5","0","Yes"
"Info By Address  Number of Page Views","2022-05-31T00:00:00.000","1393","Info By Address","2022","5","0","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2022-05-31T00:00:00.000","94","GIS Remote Piloted Aerial Surveillance (RPAS)","2022","5","0","Yes"
"Public Records Portal Number of Page Views","2022-05-31T00:00:00.000","8483","Public Records Portal","2022","5","0","Yes"
"GIS Open Data Number of Page Views","2022-05-31T00:00:00.000","6901","GIS Open Data","2022","5","0","Yes"
"Open Pierce County Number of Page Views","2022-05-31T00:00:00.000","7624","Open Performance/Data","2022","5","0","Yes"
"PublicGIS Number of Page Views","2022-05-31T00:00:00.000","47660","PublicGIS Number of Page Views","2022","5","0","Yes"
"Public Nuisance Reporting Portal Page Views","2022-05-31T00:00:00.000","7799","Public Nuisance Reporting Portal","2022","5","0","Yes"
"Open Pierce County Number of Page Views","2022-05-31T00:00:00.000","318","Open Project","2022","5","0","Yes"
"Open Pierce County Number of Page Views","2022-05-31T00:00:00.000","245","Open Budget","2022","5","0","Yes"
"Open Pierce County Number of Page Views","2022-05-31T00:00:00.000","73","Open Checkbook","2022","5","0","Yes"
"Pierce County Works","2022-05-31T00:00:00.000","1240","Pierce County Works","2022","5","0","Yes"
"Survey Monument Number of Page Views","2022-06-30T00:00:00.000","473","Survey Monument","2022","6","0","Yes"
"Info By Address  Number of Page Views","2022-06-30T00:00:00.000","1514","Info By Address","2022","6","0","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2022-06-30T00:00:00.000","51","GIS Remote Piloted Aerial Surveillance (RPAS)","2022","6","0","Yes"
"Public Records Portal Number of Page Views","2022-06-30T00:00:00.000","8250","Public Records Portal","2022","6","0","Yes"
"GIS Open Data Number of Page Views","2022-06-30T00:00:00.000","7274","GIS Open Data","2022","6","0","Yes"
"Open Pierce County Number of Page Views","2022-06-30T00:00:00.000","8265","Open Performance/Data","2022","6","0","Yes"
"PublicGIS Number of Page Views","2022-06-30T00:00:00.000","45743","PublicGIS Number of Page Views","2022","6","0","Yes"
"Public Nuisance Reporting Portal Page Views","2022-06-30T00:00:00.000","10076","Public Nuisance Reporting Portal","2022","6","0","Yes"
"Open Pierce County Number of Page Views","2022-06-30T00:00:00.000","617","Open Project","2022","6","0","Yes"
"Open Pierce County Number of Page Views","2022-06-30T00:00:00.000","135","Open Budget","2022","6","0","Yes"
"Open Pierce County Number of Page Views","2022-06-30T00:00:00.000","80","Open Checkbook","2022","6","0","Yes"
"Pierce County Works","2022-06-30T00:00:00.000","1159","Pierce County Works","2022","6","0","Yes"
"Survey Monument Number of Page Views","2022-07-31T00:00:00.000","513","Survey Monument","2022","7","0","Yes"
"Info By Address  Number of Page Views","2022-07-31T00:00:00.000","1496","Info By Address","2022","7","0","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2022-07-31T00:00:00.000","66","GIS Remote Piloted Aerial Surveillance (RPAS)","2022","7","0","Yes"
"Public Records Portal Number of Page Views","2022-07-31T00:00:00.000","7941","Public Records Portal","2022","7","0","Yes"
"GIS Open Data Number of Page Views","2022-07-31T00:00:00.000","7081","GIS Open Data","2022","7","0","Yes"
"Open Pierce County Number of Page Views","2022-07-31T00:00:00.000","9012","Open Performance/Data","2022","7","0","Yes"
"PublicGIS Number of Page Views","2022-07-31T00:00:00.000","42788","PublicGIS Number of Page Views","2022","7","0","Yes"
"Public Nuisance Reporting Portal Page Views","2022-07-31T00:00:00.000","10423","Public Nuisance Reporting Portal","2022","7","0","Yes"
"Open Pierce County Number of Page Views","2022-07-31T00:00:00.000","598","Open Project","2022","7","0","Yes"
"Open Pierce County Number of Page Views","2022-07-31T00:00:00.000","266","Open Budget","2022","7","0","Yes"
"Open Pierce County Number of Page Views","2022-07-31T00:00:00.000","134","Open Checkbook","2022","7","0","Yes"
"Pierce County Works","2022-07-31T00:00:00.000","1136","Pierce County Works","2022","7","0","Yes"
