"stop_id","stop_name","location_1"
"1300","O'Halloran Cct Namadgi School Kambah","(-35.392578, 149.068207)"
"4609","Macpherson St O'Connor Shops","(-35.264584, 149.122177)"
"4640","Templeton St opp Cook Shops","(-35.259747, 149.063705)"
"1630","Laurens St after Taverner St","(-35.406727, 149.08429)"
"2431","Bangalay Cr after Angophora St","(-35.346779, 149.035965)"
"4550","Mouat St opp Southwell Park","(-35.248016, 149.131317)"
"3382","Ellenborough St before Cossington Smith St","(-35.237518, 149.12529)"
"4352","Ross Smith Cr near Scullin Shops","(-35.23336, 149.039307)"
"1172","Comrie St Erindale Centre Plt 1","(-35.403648, 149.099167)"
"1809","Opposite Molonglo Park & Ride","(-35.32259, 149.057617)"
"1001","Drumston St opp MacKillop CLG","(-35.426113, 149.091614)"
"1465","MacKinnon St MacKillop CLG","(-35.405319, 149.089645)"
"4807","Copland Dr Spence Terminus","(-35.200703, 149.068588)"
"2682","Sydney Av before National Cct","(-35.312954, 149.131989)"
"1343","Marconi Cr opp Kambah Village","(-35.378929, 149.057632)"
"5513","Belc. Community Stn Plt 3","(-35.239979, 149.068466)"
"4181","William Webb Dr before Ginninderra Dr","(-35.219883, 149.06987)"
"3166","Windeyer St opp Watson Shops","(-35.239292, 149.153778)"
"6069","Anthony Rolfe Av after DeBortoli St","(-35.18639, 149.152145)"
"2079","Hodgson Cr opp Pearce Shops","(-35.363022, 149.082047)"
"2916","Woden Bus Stn Arrivals","(-35.34446, 149.08725)"
"3235","Gooreen St after Batman St","(-35.276276, 149.141327)"
"3073","Russell Dr after Vivian Bullwinkel St","(-35.29879, 149.151123)"
"2382","Yamba Dr The Canberra Hospital","(-35.346485, 149.099747)"
"4036","Maribyrnong Av Kaleen Village","(-35.219448, 149.102951)"
"4517","Bowman St opp Jamison Centre","(-35.252529, 149.072784)"
"2062","Eggleston Cr opp Chifley Shops","(-35.35215, 149.075302)"
"4132","Dumas St before Bennetts Cl","(-35.21751, 149.073715)"
"8831","City Bus Stn Northbourne Av Plt 11","(-35.278988, 149.12886)"
"2014","Carruthers St opp Curtin Shops","(-35.324608, 149.082779)"
"941","Cohen St Bus Stn Plt 1","(-35.23946, 149.060181)"
"4234","Daley Cr Fraser Shops","(-35.192711, 149.044006)"
"4964","Jerrabomberra Av opp AGSO","(-35.343983, 149.154907)"
"1243","Clare Dennis Av after Woodfull Lp","(-35.443119, 149.085846)"
"2212","Heysen St Weston Police CLG after Streeton Dr","(-35.330242, 149.055252)"
"4720","Paul Coe Cr before Mirrabei Dr","(-35.174667, 149.120041)"
"4480","Cohen St Bus Stn Plt 5","(-35.240059, 149.059784)"
"3401","City Bus Stn Plt 1","(-35.279133, 149.130585)"
"6051","Nullarbor Av after Katoomba St","(-35.201965, 149.156555)"
"2259","National Cct after Kings Av","(-35.305592, 149.133041)"
"4976","Calvary Hospital A&E West Side","(-35.25285, 149.090912)"
"5103","Catalina Dr","(-35.299023, 149.188065)"
"3410","City Bus Stn Plt 8","(-35.27803, 149.130615)"
"2169","Kalgoorlie Cr opp Fisher Shops","(-35.362053, 149.056473)"
"1802","Molonglo Park & Ride","(-35.321682, 149.058289)"
"4205","Lhotsky St opp Charnwood Shops","(-35.205868, 149.033051)"
"4292","Murranji St Hawker CLG","(-35.246338, 149.032318)"
"2804","Woden Bus Stn Plt 4","(-35.34446, 149.08725)"
"3351","Milne Bay Rd after General Bridges Rd","(-35.294376, 149.162155)"
"2308","Novar St Yarralumla Shops","(-35.307926, 149.09819)"
"5501","Westfield Bus Stn","(-35.238789, 149.063797)"
