"as_of_date","fiscal_year","project_name","procurement_category","wb_contract_number","contract_description","contract_signing_date","supplier","supplier_country","supplier_contract_amount_usd"
"2022-09-12T00:00:00.000","2018","Sao Paulo Sustainable Rural Development and Access to Markets","Goods","1574762","equipamentos para acompanhar as mudan&#231;as de umidade no solo em diferentes profundidades, nas regi&#245;es a serem escolhidas","2018-06-19T00:00:00.000","J.C. DA SILVA EIRELI – ME (SIGMA SENSORS)","Federative Republic of Brazil","7620.0"
"2022-09-12T00:00:00.000","2018","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1601905","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de Morro Agudo (Orl&#226;ndia).","2018-06-29T00:00:00.000","PROJETTAR ENGENHARIA E MANUTENÇÃO EIRELI - ME","Federative Republic of Brazil","47922.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Civil Works","1602824","Lote 01 - Central do Cidad&#227;o de Apodi","2017-12-04T00:00:00.000","CONSTRUTORA AZEVEDO COELHO","Federative Republic of Brazil","616852.0"
"2022-09-12T00:00:00.000","2018","BRAZIL BAHIA SUSTAINABLE RURAL DEVELOPMENT PROJECT","Non-consulting Services","1625684","Aplica&#231;&#227;o completa de 2.592 question&#225;rios e elabora&#231;&#227;o do relat&#243;rio do Estudo de Linha de Base.","2017-12-04T00:00:00.000","EMPRESA DE MEIO AMBIENTE DO BRASIL – EMAB","Federative Republic of Brazil","80977.0"
"2022-09-12T00:00:00.000","2018","Piaui: Pillars of Growth and Social Inclusion Project","Consultant Services","1685522","CONTRATA&#199;&#195;O DE CONSULTOR ESPECIALIZADOEM GEST&#195;O
AMBIENTAL E DE RECURSOS H&#205;DRICOS","2017-11-01T00:00:00.000","Individual Consultant","Federative Republic of Brazil","31802.0"
"2022-09-12T00:00:00.000","2018","BR Municipal APL: Teresina Enhancing Municipal Governance and Quality of Life Project","Goods","1576247","Aquisicao de Equipamentos para Sinalizacao Geral do Parque Encontro dos Rios","2018-03-14T00:00:00.000","MAX COMUNICAÇÃO VISUAL LTDA","Federative Republic of Brazil","3637.0"
"2022-09-12T00:00:00.000","2018","BR DGM for Indigenous People and Traditional Communities","Goods","1710596","Contrata&#231;&#227;o direta de caminh&#227;o de tra&#231;&#227;o 4 x 4 que atende as especifica&#231;&#245;es, no caso apenas um fornecedor foi identificado para tal fornecimento.","2018-03-28T00:00:00.000","EXTRA CAMINHOES LTDA","Federative Republic of Brazil","32315.0"
"2022-09-12T00:00:00.000","2018","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1600321","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de Tupi Paulista.","2018-06-19T00:00:00.000","MENOSSI CONSTRUÇÕES E COMÉRCIO LTDA","Federative Republic of Brazil","31049.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Civil Works","1622109","Lote 03 - Constru&#231;&#227;o da Escola Estadual Amarel&#227;o, no Munic&#237;pio de Jo&#227;o C&#226;mara/RN.","2018-02-05T00:00:00.000","A&C CONSTRUÇÕES E SERVIÇOS LTDA EIRELI","Federative Republic of Brazil","881502.0"
"2022-09-12T00:00:00.000","2018","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1599832","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de Cacheira Paulista.","2018-06-18T00:00:00.000","MENOSSI CONSTRUÇÕES E COMÉRCIO LTDA","Federative Republic of Brazil","30517.0"
"2022-09-12T00:00:00.000","2018","Piaui: Pillars of Growth and Social Inclusion Project","Consultant Services","1659817","Contrato entre SEMAR e Marco Aur&#233;lio da Silva Lira Filho, consultor em Geoprocessamento","2018-06-26T00:00:00.000","Individual Consultant","Federative Republic of Brazil","35320.0"
"2022-09-12T00:00:00.000","2018","Piaui: Pillars of Growth and Social Inclusion Project","Consultant Services","1659562","Contrato entre SEMAR e Danilo de Sousa Lopes, como Consultor Pleno em Geoprocessamento","2018-04-10T00:00:00.000","Individual Consultant","Federative Republic of Brazil","41620.0"
"2022-09-12T00:00:00.000","2018","Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE","Goods","1574483","Aquisi&#231;&#227;o de cont&#234;iner pl&#225;stico e kit para coleta seletiva com 4 lixeiras","2018-01-25T00:00:00.000","D.D.S COMÉRCIO DE LIXEIRAS E PLACAS LTDA EPP","Federative Republic of Brazil","32247.0"
"2022-09-12T00:00:00.000","2018","BR Municipal APL: Teresina Enhancing Municipal Governance and Quality of Life Project","Consultant Services","1622706","Contrata&#231;&#227;o de Empresa de Consultoria Especializada para Elabora&#231;&#227;o de um Plano Municipal de Preven&#231;&#227;o de Viol&#234;ncia e Programa de Assist&#234;ncia T&#233;cnica e Capacita&#231;&#227;o Relacionada &#224; Preven&#231;&#227;o de Viol&#234;ncia","2017-10-16T00:00:00.000","FÓRUM BRASILEIRO DE SEGURANÇA PÚBLICA","Federative Republic of Brazil","161470.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Non-consulting Services","1622572","CONTRATA&#199;&#195;O DE EMPRESTA PARA PARTICIPA&#199;&#195;O DO 1&#176; WORKSHOP BUSINESS-TO-BUSINES TRAVEL FRT 2018","2018-05-14T00:00:00.000","F R T OPERADORA DE TURISMO LTDA","Federative Republic of Brazil","28909.0"
"2022-09-12T00:00:00.000","2018","Piaui: Pillars of Growth and Social Inclusion Project","Consultant Services","1659667","Contrato celebrado entre SEMAR e o Consultor de Regulariza&#231;&#227;o Ambiental Rural, Marcelino Brito da Silva.","2018-06-26T00:00:00.000","Individual Consultant","Federative Republic of Brazil","32015.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Non-consulting Services","1621618","Contrata&#231;&#227;o de empresa de presta&#231;&#227;o de servi&#231;os para montagem e produ&#231;&#227;o de eventos para a realiza&#231;&#227;o do 13&#176; Festival Cultural e Gastron&#244;mico da Pipa.","2017-09-20T00:00:00.000","TOTAL MULTIMÍDIA LOCAÇÃO E EVENTOS LTDA","Federative Republic of Brazil","9765.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Civil Works","1622960","LOTE 01 - BARA&#218;NA","2017-10-09T00:00:00.000","HL ENGENHARIA LTDA","Federative Republic of Brazil","1065923.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Non-consulting Services","1621774","20&#170; EXPONOVOS - Exposi&#231;&#227;o Agropecu&#225;ria de Currais Novos, no per&#237;odo de 07 a 09 de julho de 2017, em Currais Novos/RN.","2017-07-06T00:00:00.000","CICERO CARLOS FERNANDES EIRELI - ME","Federative Republic of Brazil","12993.0"
"2022-09-12T00:00:00.000","2018","Piaui: Pillars of Growth and Social Inclusion Project","Goods","1695947","AQUISI&#199;&#195;O DE BENS DE INFORMATICA PARA O PROGRAMA PROGERE II","2017-10-26T00:00:00.000","NOGUEIRA & ALENCAR LTDA - ME","Federative Republic of Brazil","30778.0"
"2022-09-12T00:00:00.000","2018","Rio de Janeiro Sustainable Rural Development Project","Non-consulting Services","1575588","CONTRATA&#199;&#195;O DE EMPRESA ESPECIALIZADA NA ORGANIZA&#199;&#195;O DE EVENTO, COM VIABILIZA&#199;&#195;O DE INFRAESTRUTURA E FORNECIMENTO DE APOIO LOG&#205;STICO, VISANDO &#192; DISSEMINA&#199;&#195;O DOS RESULTADOS GERAIS DO PROJETO RIO RURAL","2018-03-27T00:00:00.000","NTD PROMOÇÕES E EVENTOS LTDA","Federative Republic of Brazil","51096.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Non-consulting Services","1621465","Contratar empresa para captar, tratar e entregar 200 imagens do Rio Grande do Norte para divulga&#231;&#227;o dos destinos tur&#237;sticos.","2017-10-05T00:00:00.000","ESTÚDIO FOTOGRÁFICO GIOVANNI SÉRGIO E PRODUÇÕES LTDA-ME","Federative Republic of Brazil","10156.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Consultant Services","1622051",,"2017-12-28T00:00:00.000","CONSÓRICO ARCHITECTUS","Federative Republic of Brazil","93109.0"
"2022-09-12T00:00:00.000","2018","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1599942","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de Apia&#237;.","2018-06-29T00:00:00.000","CPO PROJETOS E OBRAS LTDA","Federative Republic of Brazil","42469.0"
"2022-09-12T00:00:00.000","2018","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1600645","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de Rancharia.","2018-06-18T00:00:00.000","A.G.E. CONSTRUÇÕES EIRELI ME","Federative Republic of Brazil","41057.0"
"2022-09-12T00:00:00.000","2018","Tocantins Integrated Sustainable Regional Development","Civil Works","1598260","Contrata&#231;&#227;o dos servi&#231;os de reforma e amplia&#231;&#227;o da Escola Estadual Juscelino Kubitschek de Oliveira, no munic&#237;pio de Para&#237;so do Tocantins, Lote 3","2018-05-28T00:00:00.000","HIKARI CONSTRUÇÕES LTDA","Federative Republic of Brazil","617714.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Non-consulting Services","1621436","Aquisi&#231;&#227;o de produtos agr&#237;colas para distribui&#231;&#227;o em eventos de divulga&#231;&#227;o tur&#237;stica","2017-11-30T00:00:00.000","COOAFARN – COOP. CENTRAL DA AGRICULTURA FAMILIAR DO RN","Federative Republic of Brazil","14297.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Non-consulting Services","1621474","Contrata&#231;&#227;o de empresa de servi&#231;os para produ&#231;&#227;o de v&#237;deo institucional Tur&#237;stico do Estado do Rio Grande do Norte, para divulga&#231;&#227;o do destino.","2017-10-09T00:00:00.000","ESTÚDIO FOTOGRÁFICO GIOVANNI SÉRGIO E PRODUÇÕES LTDA-ME","Federative Republic of Brazil","40532.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Non-consulting Services","1621311","Presta&#231;&#227;o de servi&#231;os de montagem e produ&#231;&#227;o de evento para a 45&#170; EXPOSI&#199;&#195;O AGROPECU&#193;RIA DO SERID&#211;","2018-06-07T00:00:00.000","CICERO CARLOS FERNANDES EIRELI - ME","Federative Republic of Brazil","15245.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Non-consulting Services","1621180","LOTE 02 - IMPLANTA&#199;&#195;O DE &#193;REA DE IRRIGA&#199;&#195;O","2017-12-08T00:00:00.000","RIGARE SOLUÇÕES EM IRRIGAÇÃO LTDA","Federative Republic of Brazil","110883.0"
"2022-09-12T00:00:00.000","2018","Tocantins Integrated Sustainable Regional Development","Civil Works","1598231","Contrata&#231;&#227;o dos servi&#231;os de reforma e amplia&#231;&#227;o do Col&#233;gio Estadual Concei&#231;&#227;o Brito, no munic&#237;pio de F&#225;tima do Tocantins, Lote 4","2018-05-28T00:00:00.000","NASA CONSTRUTORA LTDA.","Federative Republic of Brazil","784594.0"
"2022-09-12T00:00:00.000","2018","Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE","Goods","1575448","CONTRATO 367/2017","2018-05-10T00:00:00.000","GOLDENPLUS COMÉRCIO DE MEDICAMENTOS E PRODUTOS HOSPITALARES","Federative Republic of Brazil","9799.0"
"2022-09-12T00:00:00.000","2018","BR DGM for Indigenous People and Traditional Communities","Goods","1597104","Aquisi&#231;&#227;o de baterias para c&#226;mara.","2018-05-25T00:00:00.000","BBBATERIAS","Federative Republic of Brazil","63.0"
"2022-09-12T00:00:00.000","2018","Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE","Civil Works","1574778","Obra de reforma do Espa&#231;o Cultural KAxinau&#225;, localizado na rua Barbosa com a Av. Cear&#225;, Centro, Rio Branco/AC","2018-02-27T00:00:00.000","BORGES COMÉRCIO E SERVIÇOS LTDA","Federative Republic of Brazil","63150.0"
"2022-09-12T00:00:00.000","2018","Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE","Civil Works","1575043","Reforma do Teatro Barra&#231;&#227;o no munic&#237;pio de Rio Branco - SEE","2017-11-23T00:00:00.000","AMAZÔNIA CONSTRUÇÕES E COMÉRCIO LTDA","Federative Republic of Brazil","47094.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Civil Works","1602801","Lote 03 - Central do Cidad&#227;o de Cear&#225; Mirim","2017-10-10T00:00:00.000","R&R CONSTRUÇÕES LTDA","Federative Republic of Brazil","547773.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Civil Works","1602825","Lote 02 - Central do Cidad&#227;o de Cara&#250;bas","2017-12-04T00:00:00.000","CONSTRUTORA AZEVEDO COELHO","Federative Republic of Brazil","644348.0"
"2022-09-12T00:00:00.000","2018","Sao Paulo Sustainable Rural Development and Access to Markets","Non-consulting Services","1596403","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reforma e adequa&#231;&#227;o do pr&#233;dio do Escrit&#243;rio de Desenvolvimento Rural de Ara&#231;atuba atrav&#233;s de preg&#227;o eletr&#244;nico.","2018-05-10T00:00:00.000","SOUZASMAR CONSTRUÇÕES EIRELI","Federative Republic of Brazil","153300.0"
"2022-09-12T00:00:00.000","2018","Sao Paulo Sustainable Rural Development and Access to Markets","Non-consulting Services","1574776","Servi&#231;o t&#233;cnico para realizar capacita&#231;&#227;o sobre Manejo em Sistemas Agroflorestais","2018-06-15T00:00:00.000","SUCESSIONAL AGROECOLOGIA E SOLUÇÕES AMBIENTAIS LTDA","Federative Republic of Brazil","21129.0"
"2022-09-12T00:00:00.000","2018","Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE","Goods","1575449","contrato 368/2017","2018-05-10T00:00:00.000","CENTERMEDI - COMÉRCIO DE PRODUTOS HOSPITALARES LTDA","Federative Republic of Brazil","37461.0"
"2022-09-12T00:00:00.000","2018","Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE","Goods","1574772","Aquisi&#231;&#227;o de Mobili&#225;rios Hospitalares - CONTRATO N&#186; 731/2017 - ENTRE A SECRETARIA DE ESTADO DE PLANEJAMENTO E A EMPRESA POSITIVA COM&#201;RCIO E SERVI&#199;OS LICITAT&#211;RIOS - EIRELI - ME.","2017-12-14T00:00:00.000","POSITIVA - COMERCIO E SERVICOS LICITATORIOS - EIRELI - ME","Federative Republic of Brazil","57275.0"
"2022-09-12T00:00:00.000","2018","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1595327","Contrata&#231;&#227;o de empresa especializada na presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de Salmour&#227;o.","2018-06-19T00:00:00.000","MSC CONSTRUÇÕES E PINTURAS EIRELI ME","Federative Republic of Brazil","24083.0"
"2022-09-12T00:00:00.000","2018","Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE","Goods","1574770","Aquisi&#231;&#227;o de Mobili&#225;rios Hospitalares - CONTRATO N&#186; 729/2017 - ENTRE A SECRETARIA DE ESTADO DE SA&#218;DE E A LABNORTE CIR&#218;RGICA E DIAGN&#211;STICA IMP. E EXP. LTDA.","2017-12-14T00:00:00.000","LABNORTE CIRÚRGICA E DIAGNÓSTICA IMPORTAÇÃO E EXPORTAÇÃO","Federative Republic of Brazil","8171.0"
"2022-09-12T00:00:00.000","2018","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1595323","Contrata&#231;&#227;o de empresa especializada na presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de Balbinos","2018-06-18T00:00:00.000","MENOSSI CONSTRUÇÕES E COMÉRCIO LTDA","Federative Republic of Brazil","30867.0"
"2022-09-12T00:00:00.000","2018","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1595316","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de Conchas.","2018-05-18T00:00:00.000","TOTAL BRASIL TERCEIRIZAÇÕES E SERVIÇOS EIRELI ME","Federative Republic of Brazil","36578.0"
"2022-09-12T00:00:00.000","2018","Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE","Goods","1574769","Aquisi&#231;&#227;o de Mobili&#225;rios Hospitalares - CONTRATO N&#186; 730/2017 - ENTRE A SECRETARIA DE ESTADO DE SA&#218;DE E A EMPRESA MEDI-SA&#218;DE PRODUTOS M&#201;DICOS HOSPITALARES EIRELI - ME.","2017-12-14T00:00:00.000","MEDI-SAÚDE PRODUTOS MÉDICOS HOSPITALARES EIRELI - ME","Federative Republic of Brazil","67986.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Consultant Services","1576492","Elabora&#231;&#227;o dos instrumentos e modelos de gest&#227;o dos servi&#231;os de abastecimento de &#225;gua implantados em comunidades rurais, para o aprimoramento e otimiza&#231;&#227;o da gest&#227;o dos sistemas de abastecimento.","2017-09-11T00:00:00.000","Individual Consultant","Federative Republic of Brazil","55053.0"
"2022-09-12T00:00:00.000","2018","BRAZIL BAHIA SUSTAINABLE RURAL DEVELOPMENT PROJECT","Consultant Services","1619055","Realiza&#231;&#227;o para a Avalia&#231;&#227;o de Meio Termo do Projeto Bahia Produtiva.","2017-10-23T00:00:00.000","PLAN CONSULTORIA E PESQUISA EM CIÊNCIAS SOCIAIS LTDA","Federative Republic of Brazil","44639.0"
"2022-09-12T00:00:00.000","2018","BR DGM for Indigenous People and Traditional Communities","Non-consulting Services","1603534","Desenvolvimento e manuten&#231;&#227;o adaptativa de sistema de informa&#231;&#227;o para realizar a adequa&#231;&#227;o do Sistema de Gest&#227;o do Centro de Agricultura Alternativa.","2017-10-10T00:00:00.000","ARTUR FERNANDES DE SOUZA FILHO","Federative Republic of Brazil","18541.0"
"2022-09-12T00:00:00.000","2018","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1601224","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de Lucian&#243;polis (Bauru).","2018-05-21T00:00:00.000","ALINE A. ARRAIS GOMES","Federative Republic of Brazil","43091.0"
"2022-09-12T00:00:00.000","2018","BR DGM for Indigenous People and Traditional Communities","Goods","1576450","Aquisi&#231;&#227;o de equipamentos de inform&#225;tica e eletroeletr&#244;nicos para uso em eventos de audiovisual.","2018-02-21T00:00:00.000","MAGAZINE LUIZA S/A","Federative Republic of Brazil","1238.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Consultant Services","1621000","Desenvolvimento de a&#231;&#245;es para constru&#231;&#227;o de software para ""Solu&#231;&#227;o para Gest&#227;o de Compras P&#250;blicas em Rede"" dos subprojetos","2018-04-02T00:00:00.000","CAIENA DESENVOLVIMENTO DE SOFTWARE LTDA","Federative Republic of Brazil","80977.0"
"2022-09-12T00:00:00.000","2018","Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE","Non-consulting Services","1575447","O presente Contrato tem por objeto a contrata&#231;&#227;o de empresapara aquisi&#231;&#227;o de licen&#231;a para pacote Office para atender as demandas da Secretaria de Estado de Meio Ambiente, no &#226;mbito das a&#231;&#245;es do PROSER","2018-03-06T00:00:00.000","PA COMÉRCIO E SERVIÇOS GERAIS EIRELI – ME","Federative Republic of Brazil","13881.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Non-consulting Services","1576768","Montagem especial de stand 70m2 e presta&#231;&#227;o de servi&#231;os visando a participa&#231;&#227;o da Secretaria de Estado do Turismo do RN no evento ""Mostra Viajar 2018, nos dias 08 a 10 de junho de 2018 em S&#227;o Paulo","2018-05-22T00:00:00.000","EAI MARKETING LTDA","Federative Republic of Brazil","53704.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Consultant Services","1576803","Contrata&#231;&#227;o de Servi&#231;os de Consultoria Socioambiental para apoiar a UGP e o DER no planejamento, e acompanhamentos na fiscaliza&#231;&#227;o de A&#231;&#245;es socioambientais voltados para Obras Rodovi&#225;rias.","2018-04-19T00:00:00.000","CONCREMAT ENGENHARIA E TECNOLOGIA S.A,","Federative Republic of Brazil","172316.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Consultant Services","1576800","DESENVOLVIMENTO DE SISTEMA DE MONITORAMENTO AGROMETEOROL&#211;GICO PARA ATENDER O PROJETO AMPLIA&#199;&#195;O E MODERNIZA&#199;&#195;O HIDROMETEOROL&#211;GICO, CLIM&#193;TICO E AGROMETEOROL&#211;GICO DO RN","2017-12-28T00:00:00.000","L & S SOLUÇÕES LTDA","Federative Republic of Brazil","402852.0"
"2022-09-12T00:00:00.000","2018","Platform of Monitoring and Warning of Forest Fires in the Cerrado","Consultant Services","1549698","Especialista em Geoprocessamento para atuar avaliacao da usabilidade e validacao da Plataforma TerraMA2Queimadas.","2017-08-07T00:00:00.000","Individual Consultant","Federative Republic of Brazil","23285.0"
"2022-09-12T00:00:00.000","2018","BR DGM for Indigenous People and Traditional Communities","Goods","1576935","Aquisi&#231;&#227;o de c&#226;mera fotogr&#225;fica e notebook.","2018-05-24T00:00:00.000","B2W COMPANHIA DIGITAL","Federative Republic of Brazil","1188.0"
"2022-09-12T00:00:00.000","2018","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Consultant Services","1708107","Execu&#231;&#227;o de Projeto de Engenharia","2017-11-27T00:00:00.000","PAVESYS ENGENHARIA","Federative Republic of Brazil","1309270.0"
"2022-09-12T00:00:00.000","2018","Platform of Monitoring and Warning of Forest Fires in the Cerrado","Civil Works","1550384","Transfer entre o Hotel Polo e o INPE - Instituto Nacional de Pesquisas Espaciais nos dias 09, 10 e 11 de outubro de 2017, para 12 pessoas","2017-10-06T00:00:00.000","VIP VAN TUR","Federative Republic of Brazil","200.0"
"2022-09-12T00:00:00.000","2018","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","1551038","Termo do contrato assinado entre o Estado da Bahia e a Construtora Caiap&#243; S/A, para execu&#231;&#227;o das obras de restaura&#231;&#227;o e manuten&#231;&#227;o rodovi&#225;ria, grupo II.","2017-11-21T00:00:00.000","CONSTRUTORA CAIAPO LTDA","Federative Republic of Brazil","20353417.0"
"2022-09-12T00:00:00.000","2018","Rio de Janeiro Strengthening Public Sector Management Technical Assistance Project","Goods","1551677","Aquisi&#231;&#227;o de Hardware (esta&#231;&#245;es de trabalho e notebook) para a equipe do IPP, com o fim de aumentar a velocidade na produ&#231;&#227;o de dados para o Armaz&#233;m de Dados reformulado (Data.Rio)","2017-10-30T00:00:00.000","HS COMERCIO, LOCAÇAO E MANUTENÇAO DE EQUIPAMENTOS DE INFORMATICA LTDA - EPP","Federative Republic of Brazil","105887.0"
"2022-09-12T00:00:00.000","2018","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","1551036","Termo de contrato assinado entre o Estado da Bahia e a Construtora Jurema SA, Licita&#231;&#227;o P&#250;blica Internacional (ICB) para execu&#231;&#227;o de obras de manuten&#231;&#227;o e recupera&#231;&#227;o de rodovias, grupo IV.","2017-11-21T00:00:00.000","CONSTRUTORA JUREMA LTDA","Federative Republic of Brazil","27214573.0"
"2022-09-12T00:00:00.000","2018","Sao Paulo Sustainable Rural Development and Access to Markets","Non-consulting Services","1552109","Contrata&#231;&#227;o de empresa para realiza&#231;&#227;o de visitas t&#233;cnicas &#224; Fazenda S&#227;o Luiz para promover interc&#226;mbio entre pr&#225;ticas de manejo de SAF","2017-08-22T00:00:00.000","RODRIGO JUNQUEIRA BARBOSA DE CAMPOS & CIA. LTDA","Federative Republic of Brazil","4264.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Civil Works","1552355","EMPRESA 1","2017-12-27T00:00:00.000","CG CONSTRUÇÕES LTDA","Federative Republic of Brazil","21963730.0"
"2022-09-12T00:00:00.000","2018","Rio de Janeiro Sustainable Rural Development Project","Goods","1552154","AQUISI&#199;&#195;O DE EQUIPAMENTOS DE MEDI&#199;&#195;O - GPS E TRENA","2017-12-15T00:00:00.000","FURTADO & SCHMIDT SISTEMAS E EQUIPAMENTOS TOPOGRÁFICOS LTDA","Federative Republic of Brazil","3664.0"
"2022-09-12T00:00:00.000","2018","Rio de Janeiro Sustainable Rural Development Project","Civil Works","1552079","CONTRATA&#199;&#195;O DE EMPRESA DE ENGENHARIA PARA EXECU&#199;&#195;O DE SERVI&#199;OS DE CONSERVA&#199;&#195;O E DE GEST&#195;O DE RISCOS DAS PONTES CONSTRU&#205;DAS PELO PROJETO RIO RURAL NA REGI&#195;O SERRANA","2017-11-07T00:00:00.000","CONPLAN EMPREENDIMENTO E SERVIÇOS LTDA - ME","Federative Republic of Brazil","196240.0"
"2022-09-12T00:00:00.000","2018","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","1550985","Termo do contrato firmado em 16/11/2017 entre o Estado da Bahia e a Construtora Jurema SA, para execu&#231;&#227;o de obras de restaura&#231;&#227;o e manuten&#231;&#227;o de rodovias, grupo III.","2017-11-16T00:00:00.000","CONSTRUTORA JUREMA LTDA","Federative Republic of Brazil","24903775.0"
"2022-09-12T00:00:00.000","2018","Rio de Janeiro Strengthening Public Sector Management Technical Assistance Project","Goods","1553165","Aquisi&#231;&#227;o de ferramentas estat&#237;sticas","2017-12-06T00:00:00.000","TIMBERLAKE ANALYTICS SOFTWARE LTDA EPP","Federative Republic of Brazil","4022.0"
"2022-09-12T00:00:00.000","2018","Rio de Janeiro Strengthening Public Sector Management Technical Assistance Project","Non-consulting Services","1553761","Aquisi&#231;&#227;o de 300 Esta&#231;&#245;es de Trabalho para as unidades que atendem &#224; Educa&#231;&#227;o Infantil e ser&#227;o abrangidas pelo Sistema de Monitoramento de Creches","2017-12-28T00:00:00.000","POSITIVO TECNOLOGIA S.A.","Federative Republic of Brazil","268073.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Non-consulting Services","1553099","Impress&#227;o servi&#231;os gr&#225;ficos","2018-03-13T00:00:00.000","J.M. DA SILVA - GRÁFICA","Federative Republic of Brazil","102595.0"
"2022-09-12T00:00:00.000","2018","Rio Grande do Norte: Regional Development and Governance","Consultant Services","1554977","MODERNIZA&#199;&#195;O DA POLITICA DE RECURSOS HUMANOS DO ESTADO DO RN E CONTRATUALIZA&#199;&#195;O DA POLITICA DE RH","2018-02-15T00:00:00.000","MBS CONSULTING","Federative Republic of Brazil","701492.0"
