"fiscal_year","project_id","project_name","procurement_category","major_sector","wb_contract_number","contract_signing_date","supplier","supplier_country","supplier_contract_amount_usd"
"2022","P144489","Quito Metro Line One","Consultant Services","Transportation","1675736","2021-07-01T00:00:00.000","ENTRIX AMERICAS S.A.","Portuguese Republic","235212.0"
"2018","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1618395","2017-12-04T00:00:00.000","Individual Consultant","Republic of Ecuador","232867.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607160","2019-12-11T00:00:00.000","TONELLO SOLUCIONES INTEGRALES CIA. LTDA.","Republic of Ecuador","224075.0"
"2017","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1618236","2016-08-25T00:00:00.000","Individual Consultant","Republic of Ecuador","222300.0"
"2017","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Goods","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1584989","2017-06-27T00:00:00.000","INCOPROV CIA LTDA","Republic of Ecuador","221760.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Non-consulting Services","Education","1614578","2020-05-11T00:00:00.000","CORPORACIÓN NACIONAL DE TELECOMUNICACIONES-CNT EP","Republic of Ecuador","217500.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1618549","2019-09-03T00:00:00.000","CONSTRUCTORA Y MERCANTIL GYPSICONS CIA. LTDA.","Republic of Ecuador","215139.0"
"2021","P167416","Social Safety Net Project","Goods","Social Protection","1649040","2020-07-28T00:00:00.000","INFODATASERV","Republic of Ecuador","214000.0"
"2020","P167416","Social Safety Net Project","Non-consulting Services","Social Protection","1648280","2019-12-27T00:00:00.000","CORPORACIÓN NACIONAL DE TELECOMUNICACIONES-CNT EP","Republic of Ecuador","213542.0"
"2020","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1593391","2019-09-20T00:00:00.000","UNIVERSIDAD ANDINA SIMÓN BOLÍVAR","Republic of Ecuador","207845.0"
"2021","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1688423","2021-06-30T00:00:00.000","ECONOMETRÍA S. A.","Republic of Colombia","206685.0"
"2020","P144489","Quito Metro Line One","Consultant Services","Transportation","1623823","2020-05-08T00:00:00.000","IKONS ATN ECUADOR S.A.","Republic of Ecuador","200000.0"
"2020","P143996","EC Manta Public Services Improvement Project","Goods","Transportation;Water, Sanitation and Waste Management","1625347","2020-04-13T00:00:00.000","JHON PAUL MELO PICO","Republic of Ecuador","199935.0"
"2017","P143996","EC Manta Public Services Improvement Project","Consultant Services","Transportation;Water, Sanitation and Waste Management","1641264","2016-07-27T00:00:00.000","MENDOZA INTRIAGO DISEÑO Y ASESORIA CÍA. LTDA. MIDAS","Republic of Ecuador","195258.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1585672","2018-12-26T00:00:00.000","TONELLO SOLUCIONES INTEGRALES CIA. LTDA.","Republic of Ecuador","194925.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1546216","2017-03-27T00:00:00.000","CONSTRUCTORA VIPACAS CIA.LTDA.","Republic of Ecuador","194446.0"
"2018","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1549931","2017-08-06T00:00:00.000","PABLO HERRERA ALVAREZ CONSULTORA COMPAÑIA LIMITADA","Republic of Ecuador","189098.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1547718","2017-04-25T00:00:00.000","ECOLGY FARM CIA. LTDA","Republic of Ecuador","174085.0"
"2018","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1574765","2018-06-29T00:00:00.000","Individual Consultant","Republic of Ecuador","162767.0"
"2022","P167416","Social Safety Net Project","Consultant Services","Social Protection","1682624","2021-12-29T00:00:00.000","FORUMCONSULTOR CÍA. LTDA.","Republic of Ecuador","162378.0"
"2022","P167416","Social Safety Net Project","Consultant Services","Social Protection","1682619","2021-12-28T00:00:00.000","Individual Consultant","Republic of Ecuador","162378.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549128","2017-04-12T00:00:00.000","FABREZ ECUADOR S.A.","Republic of Ecuador","160947.0"
"2018","P152096","Supporting Education Reform in Targeted Circuits","Goods","Education","1548795","2017-08-08T00:00:00.000","MARIA DE LOURDES LOPEZ ALZAMORA / LIDEX","Republic of Ecuador","158928.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1609456","2019-10-25T00:00:00.000","ASOCIACION COPADE-PLANISOC","Republic of Ecuador","154817.0"
"2018","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1574487","2018-06-05T00:00:00.000","Individual Consultant","Republic of Ecuador","154200.0"
"2018","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1574491","2018-06-29T00:00:00.000","Individual Consultant","Republic of Ecuador","154200.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1629285","2020-09-21T00:00:00.000","FUNDACIÓN CENTRAL ECUATORIANA DE SERVICIOS AGRÍCOLAS –CESA-","Republic of Ecuador","153766.0"
"2018","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1618403","2018-03-05T00:00:00.000","Individual Consultant","Republic of Ecuador","150000.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1574492","2018-08-06T00:00:00.000","Individual Consultant","Republic of Ecuador","147600.0"
"2017","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Goods","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1563569","2017-06-26T00:00:00.000","COMERCIALIZADORA TRADECUS CIA.LTDA.","Republic of Ecuador","145945.0"
"2017","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1618434","2016-11-11T00:00:00.000","Individual Consultant","Republic of Ecuador","145700.0"
"2017","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1616018","2016-09-20T00:00:00.000","EGIS CAICEDO QUIÑONEZ","Republic of Ecuador","143622.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Goods","Agriculture, Fishing and Forestry;Industry, Trade and Services","1579378","2018-12-13T00:00:00.000","LATINOAMERICANA DE VEHÍCULOS C.A. LAVCA","Republic of Ecuador","143498.0"
"2017","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1615922","2016-08-23T00:00:00.000","ROMERO Y ASOCIADOS CONSULTORES S.A. ROMASCONS","Republic of Ecuador","142466.0"
"2021","P173773","Ecuador COVID-19 Emergency Response and Vaccination Project","Non-consulting Services","Health","1631802","2020-10-01T00:00:00.000","SERVICIOS DE PUBLICIDAD INTEGRAL SERPIN","Republic of Ecuador","142296.0"
"2021","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1688301","2021-06-18T00:00:00.000","ANÁLISIS SOCIAL Y ECONÓMICO ESTADÍGRAFA CIA.. LTDA. - ECONOMICA CIC","Republic of Ecuador","139230.0"
"2021","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1682608","2021-05-10T00:00:00.000","EMPRESA PÚBLICA DE SERVICIOS ESPOL - TECH E.P.","Republic of Ecuador","138320.0"
"2017","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1618270","2016-10-24T00:00:00.000","Individual Consultant","Republic of Ecuador","137465.0"
"2021","P167416","Social Safety Net Project","Non-consulting Services","Social Protection","1642648","2020-12-23T00:00:00.000","CORPORACIÓN NACIONAL DE TELECOMUNICACIONES-CNT EP","Republic of Ecuador","136771.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1619588","2019-09-04T00:00:00.000","SONDEOS, ESTRUCTURAS Y GEOTECNIA S. A.","Kingdom of Spain","135386.0"
"2022","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Goods","Education","1669269","2021-08-30T00:00:00.000","EQUIPOS Y SERVICIOS DE INGENIERIA ESERDING S.A.","Republic of Ecuador","133991.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Goods","Education","1618359","2019-10-18T00:00:00.000","NOUX C.A.","Republic of Ecuador","133360.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1619297","2019-12-13T00:00:00.000","ASOCIACION COPADE-PLANISOC","Republic of Ecuador","133160.0"
"2019","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1618240","2019-02-04T00:00:00.000","Individual Consultant","Republic of Ecuador","132900.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1589608","2019-05-17T00:00:00.000","PAUL GACHET GIACOMETTI PRODUCTOS INMOBILIARIOS CIA. LTDA.","Republic of Ecuador","130000.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1574786","2018-11-30T00:00:00.000","Individual Consultant","Republic of Ecuador","129500.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Non-consulting Services","Education","1688927","2021-08-03T00:00:00.000","UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL","Republic of Ecuador","125300.0"
"2018","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1552189","2017-12-01T00:00:00.000","Individual Consultant","World","123947.0"
"2017","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1616012","2016-09-01T00:00:00.000","G&S CONSULTORES CIA. LTDA.","Republic of Ecuador","116359.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1609804","2019-11-28T00:00:00.000","ASOCIACION COPADE-PLANISOC","Republic of Ecuador","112788.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Goods","Agriculture, Fishing and Forestry;Industry, Trade and Services","1547216","2016-10-31T00:00:00.000","AUTOLANDIA SA","Republic of Ecuador","111900.0"
"2022","P167416","Social Safety Net Project","Non-consulting Services","Social Protection","1683542","2021-12-14T00:00:00.000","CORPORACIÓN NACIONAL DE TELECOMUNICACIONES-CNT EP","Republic of Ecuador","110308.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1574794","2018-12-13T00:00:00.000","Individual Consultant","Republic of Ecuador","109800.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1619793","2019-09-04T00:00:00.000","SONDEOS, ESTRUCTURAS Y GEOTECNIA S. A.","Kingdom of Spain","102953.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1547717","2017-04-20T00:00:00.000","EXCELENCIA CORPORATIVA.COM EXCOR.COM CIA. LTDA.","Republic of Ecuador","102698.0"
"2019","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1618233","2019-01-18T00:00:00.000","Individual Consultant","Republic of Ecuador","101733.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1574763","2018-11-30T00:00:00.000","Individual Consultant","Republic of Ecuador","99900.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1642949","2020-12-04T00:00:00.000","Individual Consultant","Republic of Ecuador","98560.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1575977","2018-12-17T00:00:00.000","Individual Consultant","Republic of Ecuador","96660.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1589783","2019-06-19T00:00:00.000","GROMANEC S.A.","Republic of Ecuador","95000.0"
"2018","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1552197","2017-12-01T00:00:00.000","Individual Consultant","World","94640.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1574759","2018-08-06T00:00:00.000","Individual Consultant","Republic of Ecuador","93917.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1629897","2019-11-21T00:00:00.000","ASOCIACION COPADE-PLANISOC","Republic of Ecuador","93610.0"
"2018","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1552186","2017-12-01T00:00:00.000","Individual Consultant","World","92960.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1618686","2019-08-08T00:00:00.000","CONSULTORA INTEGRAL DEL MEDIO AMBIENTE ECCOL CIA. LTDA.","Republic of Ecuador","92725.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1618493","2019-08-08T00:00:00.000","CONSULTORA INTEGRAL DEL MEDIO AMBIENTE ECCOL CIA. LTDA.","Republic of Ecuador","92725.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1589612","2019-05-17T00:00:00.000","INGENIA IDEA Y OBRAINDEA CIA. LTDA.","Republic of Ecuador","90040.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646000","2020-12-04T00:00:00.000","Individual Consultant","Republic of Ecuador","88032.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1589599","2019-05-17T00:00:00.000","ORDÓÑEZ ARQUITECTOS CIA. LTDA.","Republic of Ecuador","86500.0"
"2023","P167416","Social Safety Net Project","Goods","Social Protection","1706792","2022-07-20T00:00:00.000","TECNOPLUS CÍA. LTDA.","Republic of Ecuador","85549.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1629967","2020-06-23T00:00:00.000","CONSORCIO RIKCHARINA - PROTOS EC","Republic of Ecuador","82669.0"
"2018","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1616227","2017-09-12T00:00:00.000","	CONSULTORES MORAN CEDILLO CIA. LTDA. 	","Republic of Ecuador","82388.0"
"2019","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1569230","2018-09-10T00:00:00.000","Individual Consultant","Republic of Ecuador","82283.0"
"2020","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1615608","2019-11-05T00:00:00.000","CONSTRUCTORA JÁCOME LOVATO ARQUITECTOS JL & A CIA. LTDA.","Republic of Ecuador","81300.0"
"2022","P167416","Social Safety Net Project","Goods","Social Protection","1698371","2022-05-25T00:00:00.000","SIMED S.A.","Republic of Ecuador","78722.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1629982","2019-07-04T00:00:00.000","ASOCIACION COPADE-PLANISOC","Republic of Ecuador","78295.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1589777","2019-06-12T00:00:00.000","HABITUSINVESTIGACION S.A.","Republic of Ecuador","77399.0"
"2020","P167416","Social Safety Net Project","Non-consulting Services","Social Protection","1616019","2019-12-27T00:00:00.000","CORPORACIÓN NACIONAL DE TELECOMUNICACIONES","Republic of Ecuador","77104.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1615147","2018-12-27T00:00:00.000","Individual Consultant","Republic of Ecuador","75901.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1629877","2020-07-08T00:00:00.000","AGRONOMES ET VETERINAIRES SANS FRONTIERES ""AVSF""","Republic of Ecuador","74049.0"
"2017","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1618255","2016-08-31T00:00:00.000","Individual Consultant","Republic of Ecuador","72933.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1629973","2020-06-23T00:00:00.000","CONSORCIO RIKCHARINA - PROTOS EC","Republic of Ecuador","71021.0"
"2022","P144489","Quito Metro Line One","Consultant Services","Transportation","1695756","2022-04-20T00:00:00.000","JOSÉ AURELIO ROJO GARRIDO","Kingdom of Spain","70000.0"
"2020","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1615174","2019-12-10T00:00:00.000","Individual Consultant","Republic of Ecuador","67200.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1639191","2020-12-04T00:00:00.000","Individual Consultant","Republic of Ecuador","67000.0"
"2019","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1618417","2018-07-13T00:00:00.000","Individual Consultant","Republic of Ecuador","66215.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607724","2019-12-20T00:00:00.000","FUNDACIÓN CENTRAL ECUATORIANA DE SERVICIOS AGRÍCOLAS –CESA-","Republic of Ecuador","66206.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1615167","2019-04-17T00:00:00.000","Individual Consultant","Republic of Ecuador","66000.0"
"2017","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1618273","2016-07-15T00:00:00.000","Individual Consultant","Republic of Ecuador","65734.0"
"2019","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1618418","2019-01-28T00:00:00.000","Individual Consultant","Republic of Ecuador","65700.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1547186","2016-12-19T00:00:00.000","COMPAÑÍA DE DISEÑO Y MOBILIARIO BURNEO CARRÍÓN DISEÑO CÍA. LTDA.","Republic of Ecuador","65478.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1629976","2019-12-13T00:00:00.000","FUNDACIÓN CENTRAL ECUATORIANA DE SERVICIOS AGRÍCOLAS –CESA-","Republic of Ecuador","65303.0"
"2020","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1615875","2019-11-05T00:00:00.000","MCMA TALLER DE ARQUITECTURA ARQUITALLER CIA. LTDA.","Republic of Ecuador","64066.0"
"2020","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1618262","2020-02-27T00:00:00.000","Individual Consultant","Republic of Ecuador","64000.0"
"2018","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1555816","2017-12-27T00:00:00.000","Individual Consultant","World","61180.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Goods","Agriculture, Fishing and Forestry;Industry, Trade and Services","1566991","2017-12-28T00:00:00.000","TECNOPLUS CIA. LTDA.","Republic of Ecuador","60858.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549218","2016-08-16T00:00:00.000","Individual Consultant","Republic of Ecuador","60547.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549251","2016-08-16T00:00:00.000","Individual Consultant","Republic of Ecuador","60547.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1629989","2020-08-06T00:00:00.000","FUNDACIÓN ALIANZA CEIDE-CONSERVACIÓN Y DESARROLLO","Republic of Ecuador","59986.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1547767","2016-09-01T00:00:00.000","Individual Consultant","Republic of Ecuador","58982.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1629314","2020-07-01T00:00:00.000","FUNDACIÓN CENTRAL ECUATORIANA DE SERVICIOS AGRÍCOLAS –CESA-","Republic of Ecuador","58568.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1547916","2016-08-16T00:00:00.000","Individual Consultant","Republic of Ecuador","57472.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1688776","2021-08-02T00:00:00.000","INSTITUTO INTERNACIONAL DE PLANEAMIENTO DE LA EDUCACIÓN-IIPE - UNESCO","Argentine Republic","56828.0"
"2018","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1555817","2017-12-27T00:00:00.000","LUIS BLADIMIRO HERRERA MOREIRA","Republic of Ecuador","56448.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1644200","2020-12-05T00:00:00.000","Individual Consultant","Republic of Ecuador","56000.0"
"2021","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1683970","2021-01-01T00:00:00.000","Individual Consultant","Republic of Ecuador","55715.0"
"2020","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1617904","2020-01-01T00:00:00.000","Individual Consultant","Republic of Ecuador","55715.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1548210","2016-10-10T00:00:00.000","Individual Consultant","Republic of Ecuador","54912.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549224","2016-12-01T00:00:00.000","Individual Consultant","Republic of Ecuador","54909.0"
"2021","P167416","Social Safety Net Project","Consultant Services","Social Protection","1637881","2020-10-26T00:00:00.000","FORUMCONSULTOR CÍA. LTDA.","Republic of Ecuador","54830.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1629953","2019-12-13T00:00:00.000","FUNDACIÓN CENTRAL ECUATORIANA DE SERVICIOS AGRÍCOLAS –CESA-","Republic of Ecuador","53838.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1661076","2021-05-04T00:00:00.000","DELOITTE & TOUCHE ECUADOR CIA. LTDA.","Republic of Ecuador","53113.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616999","2019-09-27T00:00:00.000","Individual Consultant","Republic of Ecuador","52515.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607425","2018-12-20T00:00:00.000","FUNDACIÓN CENTRAL ECUATORIANA DE SERVICIOS AGRÍCOLAS –CESA-","Republic of Ecuador","52151.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1615163","2019-04-16T00:00:00.000","Individual Consultant","Republic of Ecuador","51750.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1645986","2020-12-04T00:00:00.000","Individual Consultant","Republic of Ecuador","51520.0"
"2018","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1555818","2017-12-27T00:00:00.000","LUIS FERNANDO CAIZAGUANO ILVAY","Republic of Ecuador","50400.0"
"2022","P144489","Quito Metro Line One","Consultant Services","Transportation","1687168","2022-02-11T00:00:00.000","GONZALO PONCE LEIVA","Republic of Ecuador","50000.0"
"2017","P143996","EC Manta Public Services Improvement Project","Consultant Services","Transportation;Water, Sanitation and Waste Management","1641584","2016-07-11T00:00:00.000","Individual Consultant","Republic of Ecuador","50000.0"
"2018","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1557407","2018-04-02T00:00:00.000","VERÓNICA GIOCONDA GOMEZ ALBAN","Republic of Ecuador","49746.0"
"2017","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1549744","2017-02-01T00:00:00.000","VERÓNICA GIOCONDA GOMEZ ALBAN","Republic of Ecuador","49734.0"
"2022","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1696832","2022-02-09T00:00:00.000","Individual Consultant","Republic of Ecuador","48000.0"
"2021","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1683992","2021-01-01T00:00:00.000","Individual Consultant","Republic of Ecuador","46499.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1629924","2019-07-15T00:00:00.000","FUNDACIÓN CENTRAL ECUATORIANA DE SERVICIOS AGRÍCOLAS –CESA-","Republic of Ecuador","46036.0"
"2021","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1643718","2020-12-31T00:00:00.000","Individual Consultant","Republic of Peru","45080.0"
"2023","P144489","Quito Metro Line One","Consultant Services","Transportation","1706664","2022-07-27T00:00:00.000","Individual Consultant","Republic of Ecuador","45000.0"
"2019","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1591794","2019-05-20T00:00:00.000","Individual Consultant","Republic of Ecuador","44800.0"
"2017","P143996","EC Manta Public Services Improvement Project","Consultant Services","Transportation;Water, Sanitation and Waste Management","1641129","2016-10-17T00:00:00.000","RAÚL XAVIER VILLAVICENCIO MEJÍA","Republic of Ecuador","44643.0"
