"ifc_region","country","number_of_enterprises","ifc_cumulative_commitments_us_thousands","loan_guarantee_participations_cumulative_commitments_us_thousands","total","fiscal_year","as_of_date"
"Middle East and North Africa","Afghanistan","8","220372.83","0.00","220372.83","FY14","2014-06-30T00:00:00.000"
"Middle East and North Africa","Algeria","14","253557.27","5557.00","259114.17","FY14","2014-06-30T00:00:00.000"
"Middle East and North Africa","Bahrain","1","216274.05","0.00","216274.05","FY14","2014-06-30T00:00:00.000"
"Middle East and North Africa","Egypt, Arab Republic of","92","2760659.67","809871.00","3570530.92","FY14","2014-06-30T00:00:00.000"
"Middle East and North Africa","Iran, Islamic Republic of","11","63342.91","8199.00","71542.37","FY14","2014-06-30T00:00:00.000"
"Middle East and North Africa","Iraq","9","415667.58","50000.00","465667.58","FY14","2014-06-30T00:00:00.000"
"Middle East and North Africa","Jordan","47","1259455.54","532478.00","1791933.86","FY14","2014-06-30T00:00:00.000"
"Middle East and North Africa","Lebanon","36","2618707.45","230430.00","2849137.45","FY14","2014-06-30T00:00:00.000"
"Middle East and North Africa","Morocco","45","964244.25","515014.00","1479258.35","FY14","2014-06-30T00:00:00.000"
"Middle East and North Africa","Oman","7","319853.40","57000.00","376853.40","FY14","2014-06-30T00:00:00.000"
"Middle East and North Africa","Pakistan","131","4830272.32","607970.00","5438242.45","FY14","2014-06-30T00:00:00.000"
"Middle East and North Africa","Saudi Arabia","9","361276.71","0.00","361276.71","FY14","2014-06-30T00:00:00.000"
"Middle East and North Africa","Syrian Arab Republic","4","24731.60","0.00","24731.60","FY14","2014-06-30T00:00:00.000"
"Middle East and North Africa","Tunisia","29","458686.92","417228.00","875914.72","FY14","2014-06-30T00:00:00.000"
"Middle East and North Africa","United Arab Emirates","2","30000.00","0.00","30000.00","FY14","2014-06-30T00:00:00.000"
"Middle East and North Africa","Yemen, Republic of","14","206004.20","56105.00","262108.86","FY14","2014-06-30T00:00:00.000"
"Middle East and North Africa","Regional Investments: Middle East and North Africa","43","1752682.47","33000.00","1785682.47","FY14","2014-06-30T00:00:00.000"
"Worldwide","Australia","2","975.00","0.00","975.00","FY14","2014-06-30T00:00:00.000"
"Worldwide","Cyprus","7","32181.47","645.00","32826.72","FY14","2014-06-30T00:00:00.000"
"Worldwide","Finland","4","1233.13","1915.00","3147.64","FY14","2014-06-30T00:00:00.000"
"Worldwide","Greece","6","25742.34","40131.00","65873.59","FY14","2014-06-30T00:00:00.000"
"Worldwide","Israel","1","10500.00","0.00","10500.00","FY14","2014-06-30T00:00:00.000"
"Worldwide","Italy","1","960.00","0.00","960.00","FY14","2014-06-30T00:00:00.000"
"Worldwide","Portugal","7","51811.13","11000.00","62811.13","FY14","2014-06-30T00:00:00.000"
"Worldwide","Spain","5","19042.51","1685.00","20727.51","FY14","2014-06-30T00:00:00.000"
"Worldwide","Regional Investments: Worldwide","121","7005836.60","183000.00","7188836.60","FY14","2014-06-30T00:00:00.000"
"Worldwide","Other","25","327632.86","11400.00","339032.86","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Angola","7","326353.03","0.00","326353.03","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Benin","10","157645.04","0.00","157645.04","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Botswana","6","35451.60","0.00","35451.60","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Burkina Faso","15","86750.61","0.00","86750.61","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Burundi","9","46512.51","0.00","46512.51","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Cameroon","37","597275.47","471500.00","1068775.47","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Cape Verde","6","15901.91","0.00","15901.91","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Central African Republic","1","5730.41","0.00","5730.41","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Chad","7","48510.06","13900.00","62410.06","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Congo, Democratic Republic of","21","245973.14","94000.00","339973.14","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Congo, Republic of","7","138442.47","25000.00","163442.47","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Cote d'Ivoire","49","473018.77","70964.00","543982.57","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Djibouti","1","4000.00","0.00","4000.00","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Eritrea","1","949.22","0.00","949.22","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Ethiopia","8","98927.52","1719.00","100646.52","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Gabon","5","145588.01","110000.00","255588.01","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Gambia, The","10","22192.78","0.00","22192.78","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Ghana","72","1819705.83","432750.00","2252455.83","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Guinea","11","235660.77","0.00","235660.77","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Guinea-Bissau","4","7245.99","0.00","7245.99","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Kenya","97","1482458.73","86217.00","1568675.78","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Lesotho","2","454.00","0.00","454.00","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Liberia","8","70957.37","0.00","70957.37","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Madagascar","21","224374.50","21000.00","245374.50","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Malawi","20","158109.76","9500.00","167609.76","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Mali","23","179233.66","40000.00","219233.66","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Mauritania","14","269664.40","9503.00","279167.01","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Mauritius","17","130794.85","96.00","130890.85","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Mozambique","27","337103.73","0.00","337103.73","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Namibia","6","44969.29","0.00","44969.29","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Niger","3","22808.13","0.00","22808.13","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Nigeria","95","5910464.88","312155.00","6222619.91","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Rwanda","15","96341.23","0.00","96341.23","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Sao Tome and Principe","1","501.11","0.00","501.11","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Senegal","31","267871.52","12398.00","280269.51","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Seychelles","7","39443.21","2500.00","41943.21","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Sierra Leone","9","69007.92","25000.00","94007.92","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Somalia","2","974.61","0.00","974.61","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","South Africa","83","2211244.53","15000.00","2226244.53","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","South Sudan","1","5000.00","0.00","5000.00","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Sudan","6","27267.78","6489.00","33756.57","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Swaziland","9","47779.49","0.00","47779.49","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Tanzania","57","322728.31","13041.00","335768.82","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Togo","11","190327.38","0.00","190327.38","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Uganda","51","371982.78","13088.00","385071.14","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Zambia","37","243785.69","20286.00","264071.51","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Zimbabwe","51","284261.86","99000.00","383261.86","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Regional Investments: Sub-Saharan Africa","85","2459664.21","61906.00","2521570.18","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Cambodia","10","151727.93","60000.00","211727.93","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","China","233","5974551.07","1308109.00","7282660.36","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Fiji","8","47993.22","2500.00","50493.22","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Indonesia","118","3142475.77","1768655.00","4911131.14","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Kiribati","1","1798.00","0.00","1798.00","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Korea, Republic of","51","868449.18","195700.00","1064149.18","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Lao People's Democratic Republic","11","49951.80","0.00","49951.80","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Malaysia","12","154868.40","5389.00","160257.52","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Mongolia","16","304511.46","0.00","304511.46","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Myanmar","1","2000.00","0.00","2000.00","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Papua New Guinea","10","323894.76","0.00","323894.76","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Philippines","101","2685757.39","695880.00","3381636.99","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Samoa","7","20096.57","0.00","20096.57","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Singapore","1","546.75","0.00","546.75","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Solomon Islands","1","35000.00","0.00","35000.00","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Thailand","84","2000805.11","1748419.00","3749224.45","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Timor-Leste","1","500.00","0.00","500.00","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Tonga","1","6787.00","0.00","6787.00","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Vanuatu","3","16604.05","0.00","16604.05","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Vietnam","50","3428694.55","253135.00","3681829.55","FY13","2013-06-30T00:00:00.000"
"East Asia and the Pacific","Regional Investments: East Asia and the Pacific","39","1141814.03","0.00","1141814.03","FY13","2013-06-30T00:00:00.000"
"South Asia","Bangladesh","36","1607442.15","92745.00","1700187.55","FY13","2013-06-30T00:00:00.000"
"South Asia","Bhutan","3","43245.90","0.00","43245.90","FY13","2013-06-30T00:00:00.000"
"South Asia","India","365","9540409.04","1648640.00","11189048.80","FY13","2013-06-30T00:00:00.000"
"South Asia","Maldives","7","168250.00","8500.00","176750.00","FY13","2013-06-30T00:00:00.000"
"South Asia","Nepal","18","172888.90","36000.00","208888.90","FY13","2013-06-30T00:00:00.000"
"South Asia","Sri Lanka","39","573143.57","23616.00","596759.17","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Lesotho","2","454.00","0.00","454.00","FY16","2016-06-30T00:00:00.000"
"South Asia","Regional Investments: South Asia","9","221570.00","0.00","221570.00","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Albania","19","442129.29","9893.00","452022.25","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Armenia","13","271543.85","0.00","271543.85","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Azerbaijan","26","533557.17","197930.00","731487.17","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Belarus","17","420158.50","0.00","420158.50","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Bosnia and Herzegovina","30","333885.34","10578.00","344462.89","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Bulgaria","25","674179.28","183647.00","857825.99","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Croatia","19","607865.26","197097.00","804962.03","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Czech Republic","18","455175.92","245588.00","700763.84","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Estonia","11","137806.09","11855.00","149661.07","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Georgia","21","646286.00","11500.00","657786.00","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Hungary","34","437985.38","70335.00","508320.21","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Kazakhstan","33","1348544.99","282917.00","1631461.65","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Kosovo","3","33904.39","0.00","33904.39","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Kyrgyz Republic","15","102396.17","0.00","102396.17","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Latvia","7","80966.79","35000.00","115966.79","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Lithuania","11","95040.95","9309.00","104349.95","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Macedonia, former Yugoslav Republic of","15","207445.17","25000.00","232445.17","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Moldova","18","233322.94","45000.00","278322.94","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Montenegro","6","86754.20","0.00","86754.20","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Poland","44","438121.43","115317.00","553438.27","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Romania","41","1637840.32","478163.00","2116003.78","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Russian Federation","191","8087572.01","2448372.00","10535943.96","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Serbia","38","1320017.29","135630.00","1455647.54","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Slovak Republic","7","115543.69","0.00","115543.69","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Slovenia","12","241309.47","47383.00","288692.18","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Tajikistan","17","76157.02","0.00","76157.02","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Turkey","170","6975595.82","3443543.00","10419138.99","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Ukraine","49","1981937.93","686700.00","2668637.93","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Uzbekistan","17","93974.63","12900.00","106874.63","FY13","2013-06-30T00:00:00.000"
"Europe and Central Asia","Regional Investments: Europe and Central Asia","56","2273450.29","200880.00","2474330.31","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Antigua and Barbuda","1","30000.00","0.00","30000.00","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Argentina","191","4820480.97","3654163.00","8474643.97","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Barbados","6","128625.08","0.00","128625.08","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Belize","4","28663.68","11000.00","39663.68","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Bolivia","29","460894.90","140500.00","601394.90","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Brazil","244","11978012.96","6037822.00","18015834.79","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Chile","56","1685509.47","1160605.00","2846114.13","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Colombia","117","2670627.64","1168631.00","3839258.67","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Costa Rica","30","463188.65","99709.00","562897.47","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Dominica","1","700.00","0.00","700.00","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Dominican Republic","36","635278.99","241850.00","877128.99","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Ecuador","23","348127.51","39240.00","387367.56","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","El Salvador","18","339883.07","113500.00","453383.07","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Grenada","2","8000.00","0.00","8000.00","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Guatemala","26","966587.94","210000.00","1176587.94","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Guyana","7","31416.96","0.00","31416.96","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Haiti","11","94664.48","25250.00","119914.48","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Honduras","20","828560.21","124401.00","952960.96","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Jamaica","22","426295.60","194244.00","620540.09","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Mexico","191","6294797.81","2607134.00","8901931.34","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Nicaragua","21","359942.05","12429.00","372370.62","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Panama","27","1554605.99","153300.00","1707905.99","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Paraguay","15","721596.29","10000.00","731596.29","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Peru","72","2013978.68","923871.00","2937849.88","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","St. Lucia","3","45421.91","0.00","45421.91","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Suriname","1","3065.88","0.00","3065.88","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Trinidad and Tobago","15","358653.74","235000.00","593653.74","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Uruguay","18","337853.55","120000.00","457853.55","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Venezuela, Republica Bolivariana de","39","897229.54","703791.00","1601020.96","FY13","2013-06-30T00:00:00.000"
"Latin America and the Caribbean","Regional Investments: Latin America and the Caribbean","71","1516641.41","350000.00","1866641.41","FY13","2013-06-30T00:00:00.000"
"Middle East and North Africa","Afghanistan","8","220372.83","0.00","220372.83","FY13","2013-06-30T00:00:00.000"
"Middle East and North Africa","Algeria","14","253557.27","5557.00","259114.17","FY13","2013-06-30T00:00:00.000"
"Middle East and North Africa","Bahrain","1","216274.05","0.00","216274.05","FY13","2013-06-30T00:00:00.000"
"Middle East and North Africa","Egypt, Arab Republic of","90","2646568.75","789871.00","3436440.00","FY13","2013-06-30T00:00:00.000"
"Middle East and North Africa","Iran, Islamic Republic of","11","63342.91","8199.00","71542.37","FY13","2013-06-30T00:00:00.000"
"Middle East and North Africa","Iraq","7","402024.99","50000.00","452024.99","FY13","2013-06-30T00:00:00.000"
"Middle East and North Africa","Jordan","45","1109100.55","380384.00","1489484.55","FY13","2013-06-30T00:00:00.000"
"Middle East and North Africa","Lebanon","35","2095376.55","230430.00","2325806.55","FY13","2013-06-30T00:00:00.000"
"Middle East and North Africa","Morocco","41","855237.83","515014.00","1370251.92","FY13","2013-06-30T00:00:00.000"
"Middle East and North Africa","Oman","7","319853.40","57000.00","376853.40","FY13","2013-06-30T00:00:00.000"
"Middle East and North Africa","Pakistan","127","4395495.30","607970.00","5003465.43","FY13","2013-06-30T00:00:00.000"
"Middle East and North Africa","Saudi Arabia","8","261286.04","0.00","261286.04","FY13","2013-06-30T00:00:00.000"
"Middle East and North Africa","Syrian Arab Republic","4","24731.60","0.00","24731.60","FY13","2013-06-30T00:00:00.000"
"Middle East and North Africa","Tunisia","29","458686.92","417228.00","875914.72","FY13","2013-06-30T00:00:00.000"
"Middle East and North Africa","United Arab Emirates","2","30000.00","0.00","30000.00","FY13","2013-06-30T00:00:00.000"
"Middle East and North Africa","Yemen, Republic of","14","206004.20","56105.00","262108.86","FY13","2013-06-30T00:00:00.000"
"Middle East and North Africa","Regional Investments: Middle East and North Africa","39","1592181.22","3000.00","1595181.22","FY13","2013-06-30T00:00:00.000"
"Worldwide","Australia","2","975.00","0.00","975.00","FY13","2013-06-30T00:00:00.000"
"Worldwide","Cyprus","7","32181.47","645.00","32826.72","FY13","2013-06-30T00:00:00.000"
"Worldwide","Finland","4","1233.13","1915.00","3147.64","FY13","2013-06-30T00:00:00.000"
"Worldwide","Greece","6","25742.34","40131.00","65873.59","FY13","2013-06-30T00:00:00.000"
"Worldwide","Israel","1","10500.00","0.00","10500.00","FY13","2013-06-30T00:00:00.000"
"Worldwide","Italy","1","960.00","0.00","960.00","FY13","2013-06-30T00:00:00.000"
"Worldwide","Portugal","7","51811.13","11000.00","62811.13","FY13","2013-06-30T00:00:00.000"
"Worldwide","Spain","5","19042.51","1685.00","20727.51","FY13","2013-06-30T00:00:00.000"
"Worldwide","Regional Investments: Worldwide","109","6198359.91","183000.00","6381359.91","FY13","2013-06-30T00:00:00.000"
"Worldwide","Other","24","304853.32","11400.00","316253.32","FY13","2013-06-30T00:00:00.000"
"Sub-Saharan Africa","Angola","7","251966.10","0.00","251966.10","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Benin","10","95082.89","0.00","95082.89","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Botswana","6","33454.10","0.00","33454.10","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Burkina Faso","14","75412.57","0.00","75412.57","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Burundi","8","46260.51","0.00","46260.51","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Cameroon","37","572108.63","471500.00","1043608.63","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Cape Verde","6","15901.91","0.00","15901.91","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Central African Republic","1","5528.39","0.00","5528.39","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Chad","7","46644.17","13900.00","60544.17","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Congo, Democratic Republic of","20","237721.27","94000.00","331721.27","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Congo, Republic of","7","124910.32","25000.00","149910.32","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Cote d'Ivoire","47","317183.71","70964.00","388147.51","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Djibouti","1","4000.00","0.00","4000.00","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Eritrea","1","949.22","0.00","949.22","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Ethiopia","8","98927.52","1719.00","100646.52","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Gabon","5","145588.01","110000.00","255588.01","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Gambia, The","10","20192.78","0.00","20192.78","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Ghana","68","1518157.36","432750.00","1950907.36","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Guinea","11","219683.59","0.00","219683.59","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Guinea-Bissau","4","7245.99","0.00","7245.99","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Kenya","85","1090774.42","59295.00","1150069.05","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Lesotho","2","454.00","0.00","454.00","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Liberia","7","45070.43","0.00","45070.43","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Madagascar","21","183942.13","21000.00","204942.13","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Malawi","20","148769.51","9500.00","158269.51","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Mali","23","162469.22","40000.00","202469.22","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Mauritania","13","121775.12","9503.00","131277.73","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Mauritius","16","123794.85","96.00","123890.85","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Mozambique","27","317455.85","0.00","317455.85","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Namibia","6","44969.29","0.00","44969.29","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Niger","3","18808.13","0.00","18808.13","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Nigeria","88","4975954.73","237155.00","5213109.77","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Rwanda","15","79253.48","0.00","79253.48","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Sao Tome and Principe","1","299.52","0.00","299.52","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Senegal","31","248209.59","12398.00","260607.58","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Seychelles","7","39443.21","2500.00","41943.21","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Sierra Leone","8","66851.03","25000.00","91851.03","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Somalia","2","974.61","0.00","974.61","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","South Africa","76","1807870.02","15000.00","1822870.02","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","South Sudan","1","5000.00","0.00","5000.00","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Sudan","6","27267.78","6489.00","33756.57","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Swaziland","9","47779.49","0.00","47779.49","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Tanzania","54","306723.19","13041.00","319763.71","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Togo","11","181396.56","0.00","181396.56","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Uganda","50","330190.06","13088.00","343278.43","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Zambia","37","242425.49","20286.00","262711.31","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Zimbabwe","51","284261.86","99000.00","383261.86","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Regional Investments: Sub-Saharan Africa","72","2034084.93","1906.00","2035990.90","FY12","2012-06-30T00:00:00.000"
"East Asia and the Pacific","Cambodia","10","136245.16","60000.00","196245.16","FY12","2012-06-30T00:00:00.000"
"East Asia and the Pacific","China","210","4978735.03","1233109.00","6211844.32","FY12","2012-06-30T00:00:00.000"
"East Asia and the Pacific","Fiji","8","47993.22","2500.00","50493.22","FY12","2012-06-30T00:00:00.000"
"East Asia and the Pacific","Indonesia","112","3140202.80","1724655.00","4864858.17","FY12","2012-06-30T00:00:00.000"
"East Asia and the Pacific","Kiribati","1","1798.00","0.00","1798.00","FY12","2012-06-30T00:00:00.000"
"East Asia and the Pacific","Korea, Republic of","51","868449.18","195700.00","1064149.18","FY12","2012-06-30T00:00:00.000"
"East Asia and the Pacific","Lao People's Democratic Republic","10","41951.80","0.00","41951.80","FY12","2012-06-30T00:00:00.000"
"East Asia and the Pacific","Malaysia","12","154868.40","5389.00","160257.52","FY12","2012-06-30T00:00:00.000"
"East Asia and the Pacific","Mongolia","15","209510.39","0.00","209510.39","FY12","2012-06-30T00:00:00.000"
"East Asia and the Pacific","Papua New Guinea","8","250638.84","0.00","250638.84","FY12","2012-06-30T00:00:00.000"
"East Asia and the Pacific","Philippines","97","2591053.25","695880.00","3286932.85","FY12","2012-06-30T00:00:00.000"
"East Asia and the Pacific","Samoa","7","20096.57","0.00","20096.57","FY12","2012-06-30T00:00:00.000"
