"financier","fiscal_year","region","country","gross_disbursement","repayments","net_disbursement","interest","fees","ibrd_commitments_us","ida_grant_commitments_us","ida_non_concessional","ida_concessional_commitments","ida_other_commitments_us"
"IBRD","2010","LATIN AMERICA AND CARIBBEAN","Uruguay","39200505.25","81292396.48","-42091891.23","19890878.38","74750","29900000","0","0","0","0"
"IBRD","2010","MIDDLE EAST AND NORTH AFRICA","Algeria","0","363254.15","-363254.15","551246.94","0","0","0","0","0","0"
"IDA","2010","MIDDLE EAST AND NORTH AFRICA","Djibouti","3968170.15","2053451.79","1914718.36","1191154","0","0","8900000","0","0","0"
"IBRD","2010","MIDDLE EAST AND NORTH AFRICA","Egypt, Arab Republic of","801507574.8","94326591.99","707180982.8","42511183.93","4843773","2155000000","0","0","0","0"
"IDA","2010","MIDDLE EAST AND NORTH AFRICA","Egypt, Arab Republic of","6562000.36","54159008.79","-47597008.43","10690612.65","0","0","0","0","0","0"
"IBRD","2010","MIDDLE EAST AND NORTH AFRICA","Iran, Islamic Republic of","163470640.5","78876031.2","84594609.27","12261761.69","0","0","0","0","0","0"
"IBRD","2010","MIDDLE EAST AND NORTH AFRICA","Iraq","250000000","0","250000000","0","625000","250000000","0","0","0","0"
"IDA","2010","MIDDLE EAST AND NORTH AFRICA","Iraq","63929865.38","0","63929865.38","286760.19","0","0","0","0","0","0"
"IBRD","2010","MIDDLE EAST AND NORTH AFRICA","Jordan","329539649.8","98898387.19","230641262.6","16879126.04","1125003.22","300000000","0","0","0","0"
"IDA","2010","MIDDLE EAST AND NORTH AFRICA","Jordan","0","2555352.86","-2555352.86","260537.61","0","0","0","0","0","0"
"IBRD","2010","MIDDLE EAST AND NORTH AFRICA","Lebanon","13261277.52","18168767.66","-4907490.14","6155118.19","174250","0","0","0","0","0"
"IBRD","2010","MIDDLE EAST AND NORTH AFRICA","Morocco","333399103.8","219593175.3","113805928.5","61067928.83","808002.09","729519000","0","0","0","0"
"IDA","2010","MIDDLE EAST AND NORTH AFRICA","Morocco","0","1354014.84","-1354014.84","111714.55","0","0","0","0","0","0"
"IDA","2010","MIDDLE EAST AND NORTH AFRICA","Syrian Arab Republic","0","1458639.5","-1458639.5","125657.04","0","0","0","0","0","0"
"IBRD","2010","MIDDLE EAST AND NORTH AFRICA","Tunisia","227626215.1","144007620.9","83618594.19","46090447.02","857465.9","88100000","0","0","0","0"
"IDA","2010","MIDDLE EAST AND NORTH AFRICA","Tunisia","0","2114567.96","-2114567.96","152064.33","0","0","0","0","0","0"
"IDA","2010","MIDDLE EAST AND NORTH AFRICA","Yemen, Republic of","114025788.7","42773211.01","71252577.68","16466941.18","0","0","205000000","0","0","0"
"IBRD","2010","OTHER","World","0","1190480","-1190480","2054878.3","0","0","0","0","0","0"
"IDA","2010","SOUTH ASIA","Afghanistan","282392690.3","221131.69","282171558.6","1876785.09","0","0","196980000","0","0","0"
"IDA","2010","SOUTH ASIA","Bangladesh","374678139.6","239279128.5","135399011.2","81271156.93","186018.23","0","0","0","828000000","0"
"IDA","2010","SOUTH ASIA","Bhutan","9487570.08","1456331.37","8031238.71","818090.58","0","0","0","0","12007500","0"
"IBRD","2010","SOUTH ASIA","India","3375117889","485556239.7","2889561649","114981417.3","14575575","6688740000","0","0","0","0"
"IDA","2010","SOUTH ASIA","India","1283145666","817501895.4","465643770.3","199863950.6","0","0","0","0","2577605000","0"
"IDA","2010","SOUTH ASIA","Maldives","18817666.99","1328458.3","17489208.69","634117.59","0","0","0","0","13700000","0"
"IDA","2010","SOUTH ASIA","Nepal","126906655.2","42585920.73","84320734.5","11398019.72","0","0","162724610","0","189199579","0"
"IBRD","2010","SOUTH ASIA","Pakistan","86156884.22","224508741.9","-138351857.6","30699412","30224","0","0","0","0","0"
"IDA","2010","SOUTH ASIA","Pakistan","697675647.9","165128908","532546739.8","82280388.34","0","0","0","0","300000000","0"
"IDA","2010","SOUTH ASIA","Sri Lanka","220495811.1","57434045.6","163061765.5","18457773.5","0","0","0","0","365000000","0"
"IDA","2011","AFRICA","Africa","482138.07","0","482138.07","81623.18","0","0","43000000","0","0","0"
"IDA","2011","EASTERN AND SOUTHERN AFRICA","Angola","3938997.03","6631000.27","-2692003.24","3819807.78","0","0","0","0","120000000","0"
"IBRD","2011","EASTERN AND SOUTHERN AFRICA","Botswana","53825774.16","0","53825774.16","58065.04","1072614.21","0","0","0","0","0"
"IDA","2011","EASTERN AND SOUTHERN AFRICA","Botswana","0","477444.22","-477444.22","33562.47","0","0","0","0","0","0"
