"fiscal_year","borrower_country","project_name","procurement_category","procurement_method","major_sector","contract_description","contract_signing_date","supplier","supplier_country","supplier_country_code","supplier_contract_amount_usd","borrower_contract_reference_number"
"2018","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","Reforma da Central do Cidada&#771;o do Munici&#769;pio de Parnamirim/RN","2017-12-04T00:00:00.000","L&L ENGENHARIA","Federative Republic of Brazil","BR","641730.0","ID46 4 CW"
"2022","Brazil","Rio Grande do Norte: Regional Development and Governance","Goods","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","Lote 6 - Conjunto Escolares","2022-02-04T00:00:00.000","EDM EMPRESA DISTRIBUIDORA DE MOBILIÁRIO EIRELI","Federative Republic of Brazil","BR","641337.0","CT 34/2022 - 116 2 GO"
"2021","Brazil","Cear&#225; Water Security and Governance","Goods","Request for Bids","Water, Sanitation and Waste Management","Aquisicao de medidores de vazao ultrassonicos fixos nao intrusivo (clamp-on), medidores de vazao doppler submerso e sem contato e medidores eletromagneticos carretel sem a necessidade de trecho reto.","2021-03-17T00:00:00.000","ISOIL LAMON INDUSTRIA DE EQUIPAMENTOS E SERVICOS DE INSTRUMENTAÇÕES LTDA","Federative Republic of Brazil","BR","640996.0","BR-COGERH-CE-01-GO-RFB"
"2021","Brazil","Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE","Goods","Request for Bids","Education;Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","10 VEICULOS AUTOMOTIVOS TIPO AMBULANCIA DE SUPORTE AVAN&#199;ADO - TIPO D - RENAULT MASTER L2H2.","2021-04-13T00:00:00.000","BARÃO COMERCIO DE MICRO ONIBUS LTDA","Federative Republic of Brazil","BR","640158.0","TERMO DE CONTRATO SESACRE N° 394"
"2019","Brazil","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Non-consulting Services","Request for Proposals","Transportation","Contrato 008/CT-126-2018. Elabora&#231;&#227;o de Projetos T&#233;cnicos e de An&#225;lise Socioambiental para estradas vicinais em 64 munic&#237;pios.","2018-09-10T00:00:00.000","UFC ENGENHARIA LTDA","Federative Republic of Brazil","BR","638479.0","008/CT-126-2018"
"2020","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","LOTE 3- (Cabeamento estruturado)","2020-06-03T00:00:00.000","ENGEMAT ENGENHARIA DE MATERIAIS LTDA","Federative Republic of Brazil","BR","629832.0","ID128CW"
"2019","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","LOTE 04 - MACA&#205;BA Obra e servi&#231;os de Engenharia a serem prestados conforme projeto arquitet&#244;nico, estrutural, el&#233;trico, sanit&#225;rio e demais a reforma e amplia&#231;&#227;o da Escola Est. Auta de Sousa","2019-04-10T00:00:00.000","F2 ENGENHARIA LTDA","Federative Republic of Brazil","BR","629532.0","ID4 5 CW CONTRATO 32/2019"
"2020","Brazil","Pernambuco Rural Economic Inclusion","Goods","Direct Selection","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","AQUISI&#199;&#195;O DE MONITORES DE PAR&#194;METROS FISIOL&#211;GICOS, A FIM DE ATENDER A SECRETARIA ESTADUAL DE SA&#218;DE, NO ENFRENTAMENTO DO CORONA V&#205;RUS - COVID-19.","2020-04-22T00:00:00.000","LIFEMED INDUSTRIA DE EQUIPAMENTOS E ARTIGOS MEDICOS","Federative Republic of Brazil","BR","628972.0","COVID-007"
"2018","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","LOTE 01 - APODI","2017-12-04T00:00:00.000","AZEVEDO E COELHO ENGENHARIA LTDA","Federative Republic of Brazil","BR","620926.0","CT 182/2017"
"2019","Brazil","Recife Swap Education and Public Management","Goods","Request for Bids","Education;Transportation;Public Administration","Aquisi&#231;&#227;o de Amplificadores de Voz","2018-08-10T00:00:00.000","AGN GROUP SUPRIMENTOS EIRELI - EPP","Federative Republic of Brazil","BR","619442.0","020/2018 SEDUC"
"2018","Brazil","Tocantins Integrated Sustainable Regional Development","Civil Works","Request for Bids","Education;Transportation;Public Administration","Contrata&#231;&#227;o dos servi&#231;os de reforma e amplia&#231;&#227;o da Escola Estadual Juscelino Kubitschek de Oliveira, no munic&#237;pio de Para&#237;so do Tocantins, Lote 3","2018-05-28T00:00:00.000","HIKARI CONSTRUÇÕES LTDA","Federative Republic of Brazil","BR","617714.0","281- LOTE 3"
"2020","Brazil","Pernambuco Rural Economic Inclusion","Goods","Direct Selection","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","Contra&#231;&#227;o de empresa especializada no fornecimento de cama hospitalar el&#233;trica, para atender as necessidades da Rede Estadual de Sa&#250;de no enfrentamento da emerg&#234;ncia de sa&#250;de decorrente do COVID-19.","2020-04-02T00:00:00.000","MOVEIS ANDRADE INDUSTRIA DE MOVEIS HOSPITALARES","Federative Republic of Brazil","BR","617185.0","COVID-005"
"2018","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","Lote 01 - Central do Cidad&#227;o de Apodi","2017-12-04T00:00:00.000","CONSTRUTORA AZEVEDO COELHO","Federative Republic of Brazil","BR","616852.0","CT 182/2017"
"2017","Brazil","Brazil Pernambuco Sustainable Water","Consultant Services","Quality And Cost-Based Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Realizacao de Estudos Hidrogeologicos e de Modelagem Numerica para identifica&#231;&#227;o do Potencial de Explotacao dos Aquiferos das Bacias Sedimentares de Betania, Mirandiba, Carnaubeira da Penha e Cedro","2017-04-26T00:00:00.000","COSTA CONSULTORIA & SERVIÇOS TÉCNICOS E AMBIENTAIS EM RECURSOS HÍDRICOS","Federative Republic of Brazil","BR","616642.0","BR-SEPLAG-PE-77613-CS-QCBS"
"2018","Brazil","Sao Paulo Sustainable Rural Development and Access to Markets","Non-consulting Services","E-Auctions","Transportation;Agriculture, Fishing and Forestry;Industry, Trade and Services","Servi&#231;o de aquisi&#231;&#227;o de imagens orbitais","2017-07-05T00:00:00.000","VISIONA TECNOLOGIA ESPACIAL S/A","Federative Republic of Brazil","BR","614556.0","BR-SMA-SP-34387-NC-RFB"
"2018","Brazil","Tocantins Integrated Sustainable Regional Development","Civil Works","Request for Bids","Education;Transportation;Public Administration","Contrata&#231;&#227;o dos servi&#231;os de reforma e amplia&#231;&#227;o do Col&#233;gio Estadual Lacerdino de Oliveira Campos, no munic&#237;pio de Colinas do TO, Lote 1","2018-05-28T00:00:00.000","CONSTRUTORA PORTOBELLO LTDA","Federative Republic of Brazil","BR","611178.0","281- LOTE 1"
"2018","Brazil","BR Espirito Santo Integrated Sustainable Water Management Project","Non-consulting Services","E-Auctions","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Execu&#231;&#227;o do licenciamento, instala&#231;&#227;o, parametriza&#231;&#227;o, treinamento, consultoria para acesso e uso inicial, hospedagem, suporte e manuten&#231;&#227;o de solu&#231;&#227;o para apoio ao Programa &#193;guas e Paisagem.","2018-06-04T00:00:00.000","SOFTPLAN PLANEJAMENTO E SISTEMAS LTDA.","Federative Republic of Brazil","BR","611129.0","CESAN-4C6"
"2018","Brazil","Rio Grande do Norte: Regional Development and Governance","Non-consulting Services","E-Auctions","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","Projeto de alfabetiza&#231;&#227;o com qualifica&#231;&#227;o social e profissional para agricultores familiares.","2018-03-09T00:00:00.000","FUNDAÇÃO DE APOIO À EDUCAÇÃO E AO DESENVOLVIMENTO TECNOLÓGICO DO RIO GRANDE","Federative Republic of Brazil","BR","609649.0","ID26 NC CONTRATO 34/2018"
"2017","Brazil","Recife Swap Education and Public Management","Goods","Request for Bids","Education;Transportation;Public Administration","Ar condicionado - Lote 01","2016-09-06T00:00:00.000","FUTURA DISTRIBUIDORA  E COMERCIO EM GERAL","Federative Republic of Brazil","BR","609317.0","025/2017 SEDUC"
"2020","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","LOTE 3 - Cear&#225; Mirim - Escola Estadual Ubaldo Bezerra de Melo","2019-11-20T00:00:00.000","ARKO CONSTRUÇÕES LTDA","Federative Republic of Brazil","BR","604159.0","149/2019"
"2018","Brazil","Energy and Mineral Sector Strengthening","Consultant Services","Quality And Cost-Based Selection","Energy and Extractives","Estudo para a implementa&#231;&#227;o da pol&#237;tica de longo prazo de comercializa&#231;&#227;o de petr&#243;leo e g&#225;s natural da Uni&#227;o","2018-06-11T00:00:00.000","IHS GLOBAL LIMITED","United Kingdom of Great Britain and Nort","GB","604131.0","64"
"2022","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","REFORMA E AMPLIA&#199;&#195;O DA ESCOLA ESTADUAL VICENTE LEMOS","2022-05-23T00:00:00.000","F DOIS ENGENHARIA LTDA","Federative Republic of Brazil","BR","603585.0","CT 97/2022 - ID160 CW"
"2019","Brazil","Energy and Mineral Sector Strengthening","Goods","Request for Bids","Energy and Extractives","Solu&#231;&#227;o de seguran&#231;a da informa&#231;&#227;o para auditoria, controle e gerenciamento de permiss&#245;es de acessos &#224; plataforma Microsoft da ANEEL","2018-09-12T00:00:00.000","GLOBAL IP TECNOLOGIA DA INFORMACAO LTDA","Federative Republic of Brazil","BR","585390.0","51"
"2020","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","LOTE 6 - Mossor&#243;, Escola Estadual Gilberto Rola","2019-11-21T00:00:00.000","JZR CONSTRUÇÕES LTDA","Federative Republic of Brazil","BR","580773.0","ID   4 7 CW"
"2022","Brazil","Paraiba Improving Water Resources Management and Services Provision","Consultant Services","Quality And Cost-Based Selection","Water, Sanitation and Waste Management","Contrata&#231;&#227;o de Consultoria para Estrutura&#231;&#227;o e Execu&#231;&#227;o do programa de desenvolvimento e melhoria do desempenho empresarial da CAGEPA -Companhia de &#193;gua e Esgoto da Para&#237;ba.","2022-04-14T00:00:00.000","MBS ESTRATEGIAS E SISTEMAS LTDA","Federative Republic of Brazil","BR","580130.0","BR-SEIRHMA-216130-CS-QCBS"
"2019","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","LOTE 09 - TENENTE ANANIAS Obra e servi&#231;os de Engenharia a serem prestados conforme projeto arquitet&#244;nico, estrutural, el&#233;trico, sanit&#225;rio e demais a reforma e amplia&#231;&#227;o da E. E. Ac. Mauro  Abrantes","2019-04-15T00:00:00.000","ECCL EMPREENDIMENTOS E CONSTRUÇÃO CIVIL LTDA","Federative Republic of Brazil","BR","578712.0","ID4 5 CW CONTRATO 36/2019"
"2019","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","LOTE 05 - MOSSOR&#211; Obra e servi&#231;os de Engenharia a serem prestados conforme projeto arquitet&#244;nico, estrutural, el&#233;trico, sanit&#225;rio e demais a reforma e amplia&#231;&#227;o da E. Gov.  Dix-Sept Rosado","2019-04-10T00:00:00.000","JZR CONSTRUÇÕES LTDA","Federative Republic of Brazil","BR","571136.0","ID4 5 CW CONTRATO 33/2019"
"2019","Brazil","Brazil Pernambuco Sustainable Water","Goods","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Aquisicao para substituicao na rede existente de 20 plataformas de coleta de dados meteorologicos.","2018-08-21T00:00:00.000","CAMPBELL SCIENTIFIC DO BRASIL LTDA.","Federative Republic of Brazil","BR","570650.0","BR-SEPLAG-PE-106645-GO-RFB"
"2022","Brazil","Piaui: Pillars of Growth and Social Inclusion Project","Consultant Services","Quality And Cost-Based Selection","Education;Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","CONSULTORIA DE CUSTOMIZA&#199;&#195;O, PARAMETRIZA&#199;&#195;O, IMPLANTA&#199;&#195;O, DESENVOLVIMENTO E TREINAMENTO DO SISTEMA INTEGRADO DE GEST&#195;O DE LICITA&#199;&#213;ES E CONTRATOS (SIGLC), PARA A SEADPREV/PI","2021-11-24T00:00:00.000","AZ INFORMÁTICA LTDA","Federative Republic of Brazil","BR","570420.0","BR-SEAD-PI-33411-CS-QCBS"
"2019","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","Reforma e Ampliac&#807;a&#771;o de Escola Estadual Tenente Jose&#769; Correia de Assu/RN (Lote I).","2018-09-17T00:00:00.000","EJF EMPREENDIMENTOS LTDA","Federative Republic of Brazil","BR","566943.0","ID 4 4 CW"
"2022","Brazil","Rio Grande do Norte: Regional Development and Governance","Goods","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","Lote 5 - Assentos","2022-01-28T00:00:00.000","O MOVELEIRO COMERCIO E SERVICOS LTDA-ME","Federative Republic of Brazil","BR","566034.0","CT - 10/2022 - 116 2 GO"
"2019","Brazil","BR Espirito Santo Integrated Sustainable Water Management Project","Goods","E-Auctions","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Aquisi&#231;&#227;o de Motores El&#233;tricos de Alta Efici&#234;ncia para substitui&#231;&#227;o de equipamentos diversos na CESAN - Lote 2.","2018-09-24T00:00:00.000","WEG EQUIPAMENTOS ELÉTRICOS S.A","Federative Republic of Brazil","BR","563903.0","CESAN-2A6-2"
"2018","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","LOTE 01 - CONSTRU&#199;&#195;O DA CENTRAL DO CIDAD&#195;O DE SANTA CRUZ-RN","2018-02-09T00:00:00.000","F2 ENGENHARIA LTDA","Federative Republic of Brazil","BR","558308.0","ID46 3 CW"
"2019","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","LOTE 10 - Upanema, Escola Estadual Alfredo Simonetti","2018-09-17T00:00:00.000","L&L ENGENHARIA LTDA","Federative Republic of Brazil","BR","557318.0","ID 4 4 CW"
"2018","Brazil","Tocantins Integrated Sustainable Regional Development","Civil Works","Request for Bids","Education;Transportation;Public Administration","Contrata&#231;&#227;o dos servi&#231;os de reforma e amplia&#231;&#227;o da Escola Estadual Ana Maria de Jesus no munic&#237;pio de Alvorada do Tocantins, Lote 5","2018-05-28T00:00:00.000","NASA CONSTRUTORA LTDA.","Federative Republic of Brazil","BR","553454.0","281 - LOTE 5"
"2018","Brazil","Tocantins Integrated Sustainable Regional Development","Consultant Services","Quality And Cost-Based Selection","Education;Transportation;Public Administration","SERVI&#199;OS DE CONSULTORIA PARA SUPERVIS&#195;O AMBIENTAL DAS OBRAS N&#195;O RODOVI&#193;RIAS E SUPERVIS&#195;O SOCIAL DE TODAS AS OBRAS DO PROJETO DE DESENVOLVIMENTO REGIONAL INTEGRADO E SUSTENT&#193;VEL &#8211; PDRIS.","2018-04-09T00:00:00.000","NIPPON KOEI LAC DO BRASIL LTDA","Federative Republic of Brazil","BR","552644.0","446"
"2020","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","Lote 8 - Natal - Escola Estadual Raimundo Soares","2020-03-20T00:00:00.000","CONSTRUTORA GURGEL SOARES LTDA","Federative Republic of Brazil","BR","552380.0","ID4 6 CW - CT 009/2020"
"2018","Brazil","Rio de Janeiro Strengthening Public Sector Management Technical Assistance Project","Goods","E-Auctions","Health;Education;Social Protection;Public Administration","Aquisi&#231;&#227;o e instala&#231;&#227;o de solu&#231;&#227;o de videoconfer&#234;ncia em 14 (quatorze) locais, incluindo o fornecimento de equipamentos, softwares e demais acess&#243;rios, com garantia t&#233;cnica e servi&#231;os de treinamento","2018-04-25T00:00:00.000","SEAL TELECOM COMERCIO E SERVIÇOS DE TELECOMUNICAÇOES LTDA","Federative Republic of Brazil","BR","551731.0","BR-MSF-9336-GO-RFB"
"2020","Brazil","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Consultant Services","Quality And Cost-Based Selection","Transportation","Contrato entre o Estado da Bahia e o Cons&#243;rcio Mobilidade Inteligente: Elabora&#231;&#227;o de Estudos de Transporte nas &#193;reas Urbanas de Ilh&#233;us e Itabuna, com Base em Pesquisas Origem e Destino Domiciliares..","2019-09-16T00:00:00.000","COMAP CONSULTORIA","Federative Republic of Brazil","BR","551452.0","BR-SEINFRA-BA-25018-CS-QCBS"
"2019","Brazil","Recife Swap Education and Public Management","Goods","Request for Bids","Education;Transportation;Public Administration","SOLU&#199;&#195;O DE CONVERG&#202;NCIA E HIPERCONVERG&#202;NCIA","2019-01-11T00:00:00.000","SUPRISERVI COMERCIO REPRESENTACOES E SERVICOS LTDA","Federative Republic of Brazil","BR","550984.0","001/2018 EMPREL"
"2018","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","LOTE 05 - CENTRAL DO CIDAD&#195;O DE NOVA CRUZ","2017-10-10T00:00:00.000","CLN LOCAÇÕES E SERVIÇOS EIRELI - ME","Federative Republic of Brazil","BR","550398.0","CT148/2017"
"2018","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","Lote 03 - Central do Cidad&#227;o de Cear&#225; Mirim","2017-10-10T00:00:00.000","R&R CONSTRUÇÕES LTDA","Federative Republic of Brazil","BR","547773.0","CT 151/2017"
"2018","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","LOTE 03 - CEAR&#193;-MIRIM","2017-10-10T00:00:00.000","R&R CONSTRUÇÕES LTDA","Federative Republic of Brazil","BR","547479.0","CT 151/2017"
"2018","Brazil","Recife Swap Education and Public Management","Goods","Request for Bids","Education;Transportation;Public Administration","Kit do professor para uso em sala de aula","2018-04-24T00:00:00.000","TUTTO LIMP DISTRIBUIDORA  LTDA","Federative Republic of Brazil","BR","541663.0","013/2018 SEDUC"
"2020","Brazil","Rio Grande do Norte: Regional Development and Governance","Goods","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","LOTE 01 - AQUISI&#199;&#195;O DE MICROCOMPUTADOR DESKTOP","2020-02-21T00:00:00.000","POSITIVO INFORMATICA SA","Federative Republic of Brazil","BR","540892.0","ID 122 2 GO"
"2019","Brazil","FIP: Environmental regularization of rural lands in the Cerrado of Brazil","Non-consulting Services","Request for Bids","Agriculture, Fishing and Forestry","Contrato 04/2018-Assinado em 28/12/2019-Execu&#231;&#227;o de 5 sublotes de 4.000 CAR na Regi&#227;o Norte do PI. Contrato 03/2019-Assinado em 18/01/2019-Execu&#231;&#227;o de 1 sublote de 4.000 CAR na Regi&#227;o Norte do PI.","2018-12-28T00:00:00.000","SDBRAS MEIO AMBIENTE & ENERGIA LTDA","Federative Republic of Brazil","BR","538897.0","BR-SFB-59208-NC-RFB"
"2020","Brazil","Pernambuco Rural Economic Inclusion","Goods","Direct Selection","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","AQUISI&#199;&#195;O DE 10 RAIO-X PORT&#193;TIL DIGITAL PARA ATENDER AS DEMANDAS DA SECRETARIA ESTADUAL DE SA&#218;DE NO ENFRENTAMENTO AO COVID-19","2020-04-30T00:00:00.000","VMI TECNOLOGIA LTDA","Federative Republic of Brazil","BR","533390.0","COVID-006"
"2021","Brazil","Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE","Goods","Direct Selection","Education;Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","BR-SEPLAN - AC-168554-GO-DIR - 531 - Quantum","2020-07-01T00:00:00.000","QUANTUM EMPREENDIMENTOS L TOA","Federative Republic of Brazil","BR","533293.0","BR-SEPLAN - AC-168554-GO-DIR - 5"
"2018","Brazil","Recife Swap Education and Public Management","Goods","Request for Bids","Education;Transportation;Public Administration","SHORT","2018-02-27T00:00:00.000","JF COMERCIO E SERVICOS LTDA - ME","Federative Republic of Brazil","BR","532022.0","001/2018 SEDUC"
"2018","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","Lote 04 - Central do Cidad&#227;o de Jo&#227;o C&#226;mara","2017-10-10T00:00:00.000","EJF EMPREENDIMENTOS LTDA","Federative Republic of Brazil","BR","531366.0","CT 149/2017"
"2019","Brazil","Rio de Janeiro Sustainable Rural Development Project","Goods","E-Auctions","Agriculture, Fishing and Forestry","Aquisi&#231;&#227;o de Equipamentos de Inform&#225;tica - Lote 01: Microcomputador, Workstation, Notebook, Hard Disk Externo, Gravador de DVD/RW Externo","2018-10-23T00:00:00.000","LS SERVIÇOS DE INFORMÁTICA E ELETRÔNICA LTDA - EPP","Federative Republic of Brazil","BR","530772.0","BR-SEAPEC-RJ-28357-GO-RFQ"
"2018","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","LOTE 04 - JO&#195;O C&#194;MARA","2017-10-10T00:00:00.000","EJF EMPREENDIMENTOS LTDA","Federative Republic of Brazil","BR","530184.0","CT 149/2017"
"2019","Brazil","Piaui: Pillars of Growth and Social Inclusion Project","Consultant Services","Quality And Cost-Based Selection","Education;Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","Contrata&#231;&#227;o de consultoria para reestrutura&#231;&#227;o do processo de planejamento, or&#231;amento, monitoramento e avalia&#231;&#227;o do Governo do Piaui.","2018-12-13T00:00:00.000","MACROPLAN PROSPECTIVA ESTRATÉGIA E GESTÃO SS LTDA","Federative Republic of Brazil","BR","529238.0","BR-SEPLAN-PI-1-CS-QCBS"
"2018","Brazil","FIP: Environmental regularization of rural lands in the Cerrado of Brazil","Goods","E-Auctions","Agriculture, Fishing and Forestry","Aquisi&#231;&#227;o de solu&#231;&#227;o de tecnologia da informa&#231;&#227;o destinada &#224; seguran&#231;a de per&#237;metro de rede para controle de acesso a servidores, sistemas, aplica&#231;&#245;es e tr&#225;fego web.","2017-12-29T00:00:00.000","NTSEC SOLUÇÕES EM TELEINFORMÁTICA LTDA","Federative Republic of Brazil","BR","528745.0","BR-SFB-49135-GO-EA"
"2019","Brazil","Tocantins Integrated Sustainable Regional Development","Consultant Services","Quality And Cost-Based Selection","Education;Transportation;Public Administration","Comercializacao dos produtos do projeto do Perimetro Irrigado Sao Joao","2019-01-18T00:00:00.000","FAHMA PLANEJAMENTO E ENGENHARIA LTDA","Federative Republic of Brazil","BR","527923.0","459"
"2021","Brazil","Amazon Sustainable Landscapes Project","Consultant Services","Quality And Cost-Based Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","Contrato de Presta&#231;&#227;o de Servi&#231;os de Consultoria para realiza&#231;&#227;o da an&#225;lise do Cadastro Ambiental Rural - CAR, na plataforma SICAR/RO","2021-05-11T00:00:00.000","CENTRO DE INTELIGÊNCIA EM GESTÃO E TECNOLOGIA AMBIENTAL - CIGTA","Federative Republic of Brazil","BR","524492.0","BR-CI-122452-CS-SBQC"
"2018","Brazil","Tocantins Integrated Sustainable Regional Development","Consultant Services","Least Cost Selection","Education;Transportation;Public Administration","Supervis&#227;o t&#233;cnica na execu&#231;&#227;o de obras de pavimenta&#231;&#227;o rodovi&#225;ria de rodovias estaduais","2018-06-12T00:00:00.000","CONSÓRCIO EUROCONSULT GROUP, STRATA ENGENHARIA, LBR ENGENHARIA E CONSULTORIA LTD","Kingdom of Spain","ES","522943.0","382"
"2018","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","LOTE 1 - CEAR&#193; MIRIM","2017-12-27T00:00:00.000","ARKO CONSTRUÇÕES LTDA","Federative Republic of Brazil","BR","521434.0","205/2017"
"2019","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","LOTE 02 - TANGAR&#193; (Reforma e Ampliac&#807;a&#771;o da Escola Estadual Severino Bezerra em Tangara&#769;/RN).","2018-09-17T00:00:00.000","RRK EMPREENDIMENTOS LTDA","Federative Republic of Brazil","BR","519948.0","ID4 3 CW"
"2021","Brazil","BRAZIL BAHIA SUSTAINABLE RURAL DEVELOPMENT PROJECT","Civil Works","Request for Bids","Financial Sector;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","NCB - Contrata&#231;&#227;o de Empresa especializada para Execu&#231;&#227;o de Obras do Sistemas de Abastecimento de &#193;gua na localidade de Pindorama, no Munic&#237;pio de Iuiu","2020-08-11T00:00:00.000","METRO ENGENHARIA","Federative Republic of Brazil","BR","518030.0","BR-CERB-BA-171526-CW-RFB"
"2018","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","OBRAS DE RESTAURA&#199;&#195;O DO EDTAM","2018-06-18T00:00:00.000","PS CONSTRUÇÕES E SERVIÇOS DE ENGENHARIA LTDA","Federative Republic of Brazil","BR","517359.0","79716/2016-1 CONTRATO 98/2018"
"2021","Brazil","Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE","Goods","Request for Bids","Education;Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","13 VE&#205;CULOS AUTOMOTIVOS TIPO AMBULANCIA DE SUPORTE B&#193;SICO - TIPO A RENAUL MASTER FURG&#195;O L2H2.","2021-04-13T00:00:00.000","MANUPA COMERCIO EXPORTAÇÃO E IMPORTAÇÃO DE EQUIPAMENTOS E VEÍCULOS ADAPTADOS","Federative Republic of Brazil","BR","510577.0","TERMO DE CONTRATO SESACRE N° 392"
"2018","Brazil","Tocantins Integrated Sustainable Regional Development","Non-consulting Services","Request for Bids","Education;Transportation;Public Administration","AQUISI&#199;&#195;O DE SISTEMA DE GEST&#195;O DA INFORMA&#199;&#195;O PARA GUARDA DOCUMENTAL. (DIGITALIZA&#199;&#195;O DOS PROCESSOS)","2018-06-12T00:00:00.000","IKHON GESTÃO CONHECIMENTOSE TECNOLOGIA LIDA","Federative Republic of Brazil","BR","509677.0","15-2018"
