"suburb","column_type","height","column_material","outreach_arm_length","luminaire","lamp_type","lamp_count","location","address"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.1462558495831, 149.12015251279584)","ROMBERG WAY"
"NGUNNAWAL","MULTIFUNCTION","12 metres",,"4.5 M TWIN","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18172068689329, 149.12848984738366)","MIRRABAE DR INT GUNDAROO DR"
"KAMBAH","Tapered round column","6.5 metres",,"NONE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.38010634806251, 149.05863830603582)","PRIMMER COURT"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.1481280155947, 149.1224639285141)","YALI ST"
"CITY","Rigid column","10.5 metres",,"3.0 M SINGLE","SYLVANIA ELIPT","METAL HALIDE","1","
,  
(-35.28186666828238, 149.13479426639026)","BUNDA STREET"
"GRIFFITH","STRUCTURE","5 metres",,"NONE","SPECIAL","MERCURY VAPOUR","1","
,  
(-35.32067605872811, 149.13349296788704)","FLINDERS WAY INT PALMERTON LANE ENTRANCE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.145601469992734, 149.11449477811342)","WINSOME STREET"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC","METAL HALIDE","2","
,  
(-35.17435851720108, 149.14616318567667)",
"KINGSTON","Rigid column","4.5 metres",,,"TRILUX EMPORIUM","LIGHT EMITTING DIODE","1","
,  
(-35.313637868678065, 149.14737557948345)","KINGSTON FORESHORE"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17022905765379, 149.13874073522416)","HORSE PARK DRIVE"
"GUNGAHLIN (RURAL DIST.)","Energy Absorbing column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.212986551148674, 149.17887136746285)","HORSE PARK DRIVE"
"TAYLOR","Rigid column","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.149335918185656, 149.10256483142072)","BRITO LANE"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.177785443039696, 149.1410507198875)","HORSE PARK DRIVE"
"CITY","Rigid column","5 metres",,,"SYLVANIA NIGHT STAR","METAL HALIDE","1","
,  
(-35.27675337707375, 149.13167160528937)","MURULLA LANE"
"KINGSTON","Rigid column","4.5 metres",,,"TRILUX EMPORIUM","LIGHT EMITTING DIODE","1","
,  
(-35.312657473756396, 149.14673051727183)","KINGSTON FORESHORE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14415148774077, 149.11501427529404)","PROUDFOOT RISE"
"BRADDON","MULTIFUNCTION","9 metres",,"3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.277984644777185, 149.13614216406202)","BATMAN ST"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31294339069189, 149.1470675278492)","KINGSTON FORESHORE"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","GAMMA BOSS","METAL HALIDE","1","
,  
(-35.310125658900844, 149.14509719031375)","PARK OFF EASTLAKE PARADE"
"FLYNN","VICPOLE","10.5 metres","GALVANISED STEEL","3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.20578174230412, 149.0354494084316)","TILLYARD DR"
"NICHOLLS","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18669751284742, 149.11794393103906)","GUNDAROO DR"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18963403329415, 149.13986842911248)","CAMILLERI WAY"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18608368372641, 149.12020052190803)","GUNDAROO DR"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","GAMMA BOSS","METAL HALIDE","1","
,  
(-35.31016789910694, 149.14529431970846)","PARK OFF EASTLAKE PARADE"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.311624477190996, 149.14630354938484)","KINGSTON FORESHORE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.150008330190865, 149.12039820997327)","MCGLASHAN ST"
"NGUNNAWAL","Energy Absorbing column","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER ENVIRON AERO","SODIUM VAPOUR HIGH PRESSURE TW","2","
,  
(-35.18590422898793, 149.1200641486216)","GUNDAROO DR NR GUNGAHLIN DR"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.16824848301268, 149.13879889735426)","HORSE PARK DRIVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.1490379978057, 149.11927766157146)","WHITMAN CRESCENT"
"PHILLIP","Rigid column",,,,,,,"
,  
(-35.42457028168318, 149.07113883140585)","PEDESTRIAN"
"GUNGAHLIN","Energy Absorbing column","12 metres","STEEL ORDINARY","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.183469061977185, 149.12570374886238)","GUNDAROO DR ACCESS RD TO SERVICE STN"
"GUNGAHLIN","Slip base column","12 metres","STEEL ORDINARY","4.5 M SINGLE","REXEL OPTISPAN","SODIUM VAPOUR HIGH PRESSURE","1","
,  
(-35.18108001492417, 149.13007747036315)","GUNDAROO DRIVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.147993197610084, 149.11991192907925)","WHITMAN CRESCENT"
"CRACE","Rigid column","9 metres","ALUMINIUM","4.5 M SINGLE","REXEL OPTISPAN","METAL HALIDE","1","
,  
(-35.20090047992124, 149.1050574006361)","ABENA AVE"
"BEARD","Energy Absorbing column","10.5 metres","GALVANISED STEEL","3.5 M SINGLE","WE-EF VFL540 S60","LIGHT EMITTING DIODE","1","
,  
(-35.34192922367037, 149.21427336254143)","RAILWAY ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.149512183880155, 149.118804414362)","WHITMAN CRESCENT"
"BRADDON","MULTIFUNCTION","9 metres",,"3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.27803644596078, 149.13542966639451)","BATMAN ST"
"LATHAM","VICPOLE","10.5 metres","GALVANISED STEEL","3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.20727159195309, 149.03347828084807)","GINNINDERRA DR NR TILLYARD DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.149364516910346, 149.11703618411173)","WHITMAN CRESCENT"
"KINGSTON","Rigid column","4.5 metres",,,"TRILUX EMPORIUM","LIGHT EMITTING DIODE","1","
,  
(-35.3127546750539, 149.14647689489962)","KINGSTON FORESHORE"
"KINGSTON","In Ground",,,,"UPLIGHT","LIGHT EMITTING DIODE","1","
,  
(-35.313062844185275, 149.1470534013716)","KINGSTON FORESHORE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.146621706917394, 149.12110387681543)","MCGLASHAN ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14773857298927, 149.1203694934092)","KARL LANGER CRES"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18890652871857, 149.13548448585186)","CAMILLERI WAY"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.22839087071908, 148.99703144621634)","FAIRBROTHER ST"
"BRADDON","MULTIFUNCTION","9 metres",,"3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.27787577161547, 149.1358422258927)","BATMAN ST"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","GAMMA BOSS","METAL HALIDE","1","
,  
(-35.31041293138432, 149.14521542813776)","PARK OFF EASTLAKE PARADE"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17043384313914, 149.13914811003875)","HORSE PARK DRIVE"
"GUNGAHLIN","Slip base column","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER ENVIRON","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.18640837051071, 149.1199993052234)","GUNGAHLIN DR INT GUNDAROO DR"
"BELCONNEN","STRUCTURE",,,"NONE","CONLUX 2065","PHOTOLUMINESCENCE","3","
,  
(-35.42452524744324, 149.0710837449001)","STEPS OFF CHANDLER ST TO LIBRARY"
"PALMERSTON","Tapered octagonal column","9 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF FLC141","LIGHT EMITTING DIODE","2","
,  
(-35.18651489606887, 149.1195113390694)","GUNGAHLIN DR NR GUNDAROO DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.146289571851554, 149.12106984421706)","MCGLASHAN ST"
"CITY","BRICK WALL",,"BRICK WALL","0.75 M SINGLE","REXEL OPTISPAN","METAL HALIDE","1","
,  
(-35.27793985625678, 149.13139853952697)","ALINGA ST BIBLE HOUSE LANE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.146071789783065, 149.1186851804989)","IWANOFF STREET"
"RED HILL","Energy Absorbing column","9 metres",,"3.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.32936592970662, 149.122657184677)","MUGGA WAY"
"FLYNN","VICPOLE","10.5 metres","GALVANISED STEEL","4.5 M TWIN","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","2","
,  
(-35.207227582137946, 149.03428746643328)","TILLYARD DR INT GINNINDERRA DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.1454978095981, 149.1137803665969)","GRUZMAN VIEW"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31167332572379, 149.14633184376754)","KINGSTON FORESHORE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.1466005649821, 149.11626831692982)","TORZILLO STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.143853410228594, 149.11488737433356)","PROUDFOOT RISE"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.2279865572639, 148.9949308859877)","PRO HART AVE"
"GRIFFITH","STRUCTURE","5 metres",,"NONE","SPECIAL","MERCURY VAPOUR","1","
,  
(-35.319798324654435, 149.13190219113613)","FURNEAUX ST INT. PALMERSTON LANE ENTRANCE"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPAN","METAL HALIDE","1","
,  
(-35.175571795699355, 149.14631861597155)","DAVID WALSHE AVE"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17538888048078, 149.1399063074754)","HORSE PARK DRIVE"
"NGUNNAWAL","Tapered octagonal column","4.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.182896744761365, 149.12566063293934)","NARI ST NR GUNDAROO DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.148268992071976, 149.11654982939146)","ROMBERG WAY"
"DICKSON","Rigid column","6.5 metres",,"3.0 M SINGLE","SYLVANIA SYLFLOOD","HIGH PRESSURE SODIUM","1","
,  
(-35.249715580094204, 149.13672761289556)","WOOLLEY STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14868551653913, 149.11951530655975)","WHITMAN CRESCENT"
"MAJURA (RURAL DIST.)","Rigid column",,,,,,,"
,  
(-35.320722412500565, 149.19978784323445)","GLENORA DRIVE AND PIALLIGO AVENUE"
"CHARNWOOD","VICPOLE","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.20707964156924, 149.03404737393458)","GINNINDERRA DR INT TILLYARD DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.148170913373754, 149.12304468828933)","EVERIST ST"
"MAJURA (RURAL DIST.)","STRUCTURE",,,"NONE","SPECIAL","PHOTOLUMINESCENCE","1","
,  
(-35.4245699480966, 149.07178845244255)","MT.AINSLIE LOOKOUT"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.143523028543825, 149.11593669461283)","PROUDFOOT RISE"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","2","
,  
(-35.166793858250614, 149.13834055274842)","HORSE PARK DRIVE"
"CITY","Rigid column","10.5 metres",,"4.5 M SINGLE","SYLVANIA ELIPT","METAL HALIDE","1","
,  
(-35.28203762405208, 149.13210979556527)","CNR OF LONDON CCT AND AKUNA ST"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.228505452781015, 148.99523955497824)","PRO HART AVE"
"NICHOLLS","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18660513924906, 149.11823709433835)","GUNDAROO DR"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18770075147427, 149.13427471635407)","GUNGAHLIN PLACE"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M FOUR WAY","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.22743153057252, 148.99589108080144)","FAIRBROTHER ST"
"NGUNNAWAL","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.183743454224505, 149.12433339739778)","GUNDAROO DR"
"CRACE","Rigid column","9 metres","ALUMINIUM","4.5 M SINGLE","REXEL OPTISPAN","METAL HALIDE","1","
,  
(-35.20081739737105, 149.10475276476717)","ABENA AVE"
"RED HILL","Energy Absorbing column","9 metres",,"3.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.32902651596273, 149.12242075864432)","MUGGA WAY"
"NGUNNAWAL","HERITAGE","6.5 metres","STEEL ORDINARY (PAINTED)","1.5 M SINGLE","SYLVANIA BOURKEHILL","SODIUM VAPOUR HIGH PRESSURE","1","
,  
(-35.18285521287008, 149.1255019438238)","NARI ST."
"MACQUARIE","STRUCTURE",,,"NONE","NCO","MERCURY LOW PRESURE FLUORESCEN","1","
,  
(-35.25562116306274, 149.06416020051765)","PATH BTWN REDFERN ST & BLACKMAN CR"
"DICKSON","WOODEN POLE","10 metres","WOODEN POLE","3.0 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.24787309400944, 149.15194204520714)","ANTILL ST NR PHILLIP AV"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18572471901468, 149.1209219083399)","GUNDAROO DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.1506725529722, 149.1221748527546)","EVERIST ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.14648286790103, 149.11982280855966)","ROMBERG WAY"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","0.15 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14910062934707, 149.12222512793832)","PATH"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.147825580854025, 149.12203983563245)","GREG MCNAMARA CRES"
"AMAROO","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.17722980340806, 149.1242315218345)","MIRRABEI DR NR PAUL COE CRES"
"BELCONNEN","FORDE COLUMN","9 metres","GALVANISED STEEL","3.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.240564902512595, 149.071448247217)","EDMONDSTONE PLACE"
"NICHOLLS","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18672498616699, 149.11806203953935)","GUNDAROO DR"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC AEROSCREEN","METAL HALIDE","1","
,  
(-35.17262328140203, 149.14311247420298)",
"WRIGHT","FORDE COLUMN","9 metres",,"3.0 M SINGLE","PECAN NXT-36S","LIGHT EMITTING DIODE","1","
,  
(-35.3137937977455, 149.0323942128428)","JOHN GORTON DRIVE"
"GUNGAHLIN","Energy Absorbing column","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.190200872681324, 149.14175159617838)","CAMILLERI WAY"
"GUNGAHLIN","Energy Absorbing column","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.190046276504184, 149.14119894788234)","CAMILLERI WAY"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","0.15 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14917353423651, 149.1225720412676)","PATH"
"ACTON","BRICK WALL",,,,,,,"
,  
(-35.290186907074556, 149.1262512279513)","HENRY ROLLAND PARK"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18864876989712, 149.13404347562673)","GUNGAHLIN PLACE"
"FLYNN","VICPOLE","10.5 metres","GALVANISED STEEL","3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.206032483143495, 149.03520307616836)","TILLYARD DR"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17006634093091, 149.1391113595)","HORSE PARK DRIVE"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.22815707523676, 148.99696607094057)","FAIRBROTHER ST"
"MAJURA (RURAL DIST.)","STRUCTURE",,,"NONE","SPECIAL","PHOTOLUMINESCENCE","1","
,  
(-35.42456991402715, 149.0718545162059)","MT.AINSLIE LOOKOUT"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.22711009393534, 148.99509568565966)","PRO HART AVE"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17301545211345, 149.13919891803067)","HORSE PARK DRIVE"
"CITY","Rigid column","5 metres",,,"SYLVANIA NIGHT STAR","METAL HALIDE","1","
,  
(-35.276597816208444, 149.13168280805473)","MURULLA LANE"
"GUNGAHLIN","Energy Absorbing column","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.189419686228646, 149.1368025570127)","CAMILLERI WAY"
"WATSON","Rigid column","6 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF VFL 108","LIGHT EMITTING DIODE","1","
,  
(-35.231416854505646, 149.16484984678326)","EHRLICH CIRCUIT"
"CHARNWOOD","Rigid column","12 metres","STEEL ORDINARY","3.7 M SINGLE","REXEL OPTISPAN","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.20685566640251, 149.03319105774355)","GINNINDERRA DR NR TILYARD DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14303900330902, 149.11531117657046)","PROUDFOOT RISE"
"CITY","Rigid column","5 metres",,,"SYLVANIA NIGHT STAR","METAL HALIDE","1","
,  
(-35.2770624302956, 149.1316351630184)","MURULLA LANE"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.180992407537836, 149.1279243499851)","MIRRABEI DR"
"MAJURA (RURAL DIST.)","Rigid column",,,,,,,"
,  
(-35.32099563015299, 149.19627662920578)","GLENORA DRIVE AND PIALLIGO AVENUE"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.22713983791007, 148.99551235212127)","PRO HART AVE"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","GAMMA BOSS","METAL HALIDE","1","
,  
(-35.31013353901363, 149.14509489204798)","PARK OFF EASTLAKE PARADE"
"ACTON","BRICK WALL",,,,,"LIGHT EMITTING DIODE","1","
,  
(-35.29109625045673, 149.12630692126746)","HENRY ROLLAND PARK"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14786876111675, 149.11893586031275)","HOLGAR CRESCENT"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14845720894922, 149.123136550408)","EVERIST ST"
"GUNGAHLIN","Energy Absorbing column","6.5 metres","GALVANISED STEEL","1.5 M SINGLE",,"LIGHT EMITTING DIODE","2","
,  
(-35.18985177769063, 149.14041348806566)","CAMILLERI WAY"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18783443383486, 149.13464473246455)","GUNGAHLIN PLACE"
"CITY","Rigid column","10.5 metres",,"3.0 M SINGLE","SYLVANIA ELIPT","METAL HALIDE","1","
,  
(-35.28212846308371, 149.1344700214792)","BINARA STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14749912662515, 149.1162341075089)","SODERSTEN STREET"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","GAMMA BOSS","METAL HALIDE","1","
,  
(-35.31023235480831, 149.14496991094683)","PARK OFF EASTLAKE PARADE"
"WRIGHT","FORDE COLUMN","9 metres",,"3.0 M SINGLE","PECAN NXT-36S","LIGHT EMITTING DIODE","1","
,  
(-35.31417460332689, 149.0325408628406)","JOHN GORTON DRIVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14983378076571, 149.12158919328405)","YALI ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.14566964215955, 149.1218308936064)","ROMBERG WAY"
"BRADDON","MULTIFUNCTION","9 metres",,"3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.27822041759126, 149.1355361766379)","BATMAN ST"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC","METAL HALIDE","2","
,  
(-35.17385219033939, 149.1446344375727)",
"NGUNNAWAL","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.183219625336264, 149.12547452319848)","GUNDAROO DR NR NARI ST"
"CALWELL","Energy Absorbing column","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.43619667268939, 149.11386485922935)","WERE STREET"
"KAMBAH","Rigid column","5 metres","STEEL SPECIAL","0.3 M SINGLE","BEGA 84404K4","LIGHT EMITTING DIODE","1","
,  
(-35.380020155645774, 149.05818137979267)","KAMBAH VILLAGE REST AREA"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18751150124902, 149.1347372787972)","GUNGAHLIN PLACE"
