"trip_id","location","odometer","timestamp","congestion_level","vehicle_id","vehicle_label","vehicle_licenceplate","stop_sequence","gtfsrupdateid","updatedeleted","latitude","longitude","bearing","currentstatus","stopid"
"62","POINT (-35.2486686706543 149.13404846191406)","217616430.0","2022-08-30T10:02:15.000","RUNNING_SMOOTHLY","5","LRV5","LRV5","6","16740336","None","-35.2486686706543","149.13404846191406","186.8492889404297","IN_TRANSIT_TO","8119"
"58","POINT (-35.187679290771484 149.14759826660156)","238370744.0","2022-08-30T10:02:15.000","RUNNING_SMOOTHLY","12","LRV12","LRV12","13","16740335","None","-35.187679290771484","149.14759826660156","102.15927124023438","IN_TRANSIT_TO","8105"
"64","POINT (-35.27194595336914 149.13031005859375)","206026965.0","2022-08-30T10:02:15.000","RUNNING_SMOOTHLY","7","LRV7","LRV7","3","16740337","None","-35.27194595336914","149.13031005859375","186.50015258789062","IN_TRANSIT_TO","8125"
"193","POINT (-35.22872543334961 149.14431762695312)","255092391.0","2022-08-30T10:02:15.000","RUNNING_SMOOTHLY","11","LRV11","LRV11","7","16740332","None","-35.22872543334961","149.14431762695312","348.77923583984375","STOPPED_AT","8114"
"61","POINT (-35.23334884643555 149.14491271972656)","217859167.0","2022-08-30T10:02:15.000","RUNNING_SMOOTHLY","14","LRV14","LRV14","8","16740333","None","-35.23334884643555","149.14491271972656","153.7803192138672","IN_TRANSIT_TO","8115"
"192","POINT (-35.26829528808594 149.1309051513672)","210533595.0","2022-08-30T10:01:45.000","RUNNING_SMOOTHLY","2","LRV2","LRV2","13","16739778","None","-35.26829528808594","149.1309051513672","6.860422611236572","IN_TRANSIT_TO","8126"
"61","POINT (-35.23479080200195 149.14532470703125)","217858976.0","2022-08-30T10:01:45.000","RUNNING_SMOOTHLY","14","LRV14","LRV14","8","16739780","None","-35.23479080200195","149.14532470703125","228.30767822265625","IN_TRANSIT_TO","8115"
"193","POINT (-35.228214263916016 149.14419555664062)","255092333.0","2022-08-30T10:01:45.000","RUNNING_SMOOTHLY","11","LRV11","LRV11","7","16739782","None","-35.228214263916016","149.14419555664062","349.1656188964844","IN_TRANSIT_TO","8114"
"58","POINT (-35.1906623840332 149.1513671875)","238370232.0","2022-08-30T10:01:45.000","RUNNING_SMOOTHLY","12","LRV12","LRV12","13","16739783","None","-35.1906623840332","149.1513671875","175.54595947265625","IN_TRANSIT_TO","8105"
"64","POINT (-35.27261734008789 149.1302032470703)","206026880.0","2022-08-30T10:01:45.000","RUNNING_SMOOTHLY","7","LRV7","LRV7","2","16739781","None","-35.27261734008789","149.1302032470703","7.140643119812012","IN_TRANSIT_TO","8127"
"62","POINT (-35.25056076049805 149.1337432861328)","217616214.0","2022-08-30T10:01:45.000","RUNNING_SMOOTHLY","5","LRV5","LRV5","5","16739777","None","-35.25056076049805","149.1337432861328","186.86587524414062","STOPPED_AT","8121"
