"site","town_centre","location","cyclists_total_average","pedestrians_total_average","cyclists_total_2015","pedestrians_total_2015","cyclists_inbound_am_2015","cyclists_outbound_am_2015","pedestrians_inbound_am_2015","pedestrians_outbound_am_2015","cyclists_inbound_pm_2015","cyclists_outbound_pm_2015","pedestrians_inbound_pm_2015","pedestrians_outbound_pm_2015","cyclists_total_2016","pedestrians_total_2016","cyclists_inbound_am_2016","cyclists_outbound_am_2016","pedestrians_inbound_am_2016","pedestrians_outbound_am_2016","cyclists_inbound_pm_2016","cyclists_outbound_pm_2016","pedestrians_inbound_pm_2016","pedestrians_outbound_pm_2016","cyclists_total_2017","pedestrians_total_2017","cyclists_inbound_am_2017","cyclists_outbound_am_2017","pedestrians_inbound_am_2017","pedestrians_outbound_am_2017","cyclists_inbound_pm_2017","cyclists_outbound_pm_2017","pedestrians_inbound_pm_2017","pedestrians_outbound_pm_2017","cyclists_total_2018","pedestrians_total_2018","cyclists_inbound_am_2018","cyclists_outbound_am_2018","pedestrians_inbound_am_2018","pedestrians_outbound_am_2018","cyclists_inbound_pm_2018","cyclists_outbound_pm_2018","pedestrians_inbound_pm_2018","pedestrians_outbound_pm_2018"
"B10b","Belconnen","(-35.242251, 149.083908)","38","770","25","721","9","6","273","42","2","8","113","293","26","706","5","5","260","79","4","12","143","224","69","967","13","5","293","131","18","33","245","298","30","684","11","2","195","104","8","9","186","199"
"C15","Civic","(-35.275819, 149.131061)","344","2141","338","2098","114","38","714","231","58","128","400","753","400","2242","140","25","834","177","41","194","424","807","349","2340","119","22","852","186","47","161","424","878","289","1882","96","21","648","135","41","131","352","747"
"C10","Civic","(-35.272743, 149.122656)","1187","375","1219","437","597","55","208","17","62","505","34","178","1245","296","561","52","148","16","70","562","27","105","1267","392","615","53","185","26","77","522","22","159","1016","375","495","44","197","21","55","422","35","122"
"C30","Civic","(-35.291756, 149.127211)","862","831","958","872","144","364","128","207","120","330","268","269","846","795","139","349","140","244","106","252","214","197","820","851","113","327","119","186","107","273","241","305","823","807","140","318","108","241","102","263","190","268"
"G12","Gungahlin","(-35.186659, 149.127892)","74","121","55","151","21","15","42","36","9","10","37","36","66","125","32","12","48","34","8","14","16","27","62","127","27","16","50","40","10","9","20","17","112","80","34","19","31","21","26","33","10","18"
"T05","Tuggeranong","(-35.424277, 149.07697)","7","2","16","0","2","1","0","0","3","10","0","0","6","1","5","0","1","0","1","0","0","0","5","6","2","0","3","2","0","3","0","1","2","0","2","0","0","0","0","0","0","0"
"B08","Belconnen","(-35.238239, 149.090208)","36","185","26","189","7","0","95","6","4","15","20","68","40","182","18","2","84","0","4","16","34","64","37","179","9","9","78","8","6","13","20","73","41","188","16","3","66","7","5","17","34","81"
"B22","Belconnen","(-35.236419, 149.060233)","21","72","10","69","4","1","27","10","1","4","10","22","6","46","1","2","12","11","1","2","12","11","32","65","12","1","20","16","5","14","4","25","36","108","13","4","31","26","6","13","23","28"
"C26","Civic","(-35.285925, 149.135507)","123","601","85","718","13","24","305","100","26","22","69","244","64","389","13","17","162","51","21","13","48","128","149","573","35","40","232","75","41","33","62","204","195","722","50","48","290","90","54","43","82","260"
"G08","Gungahlin","(-35.184057, 149.139555)","18","66","24","48","11","4","26","1","1","8","2","19","22","88","13","0","49","4","0","9","12","23","14","86","6","3","51","6","1","4","10","19","11","42","8","1","5","1","0","2","13","23"
"W16","Woden","(-35.348387, 149.084445)","14","340","18","382","8","1","167","30","2","7","31","154","12","280","3","1","142","21","0","8","21","96","16","364","8","0","184","27","0","8","23","130","8","332","1","0","159","23","0","7","26","124"
"W10","Woden","(-35.345738, 149.088651)","24","605","27","509","8","4","203","49","3","12","50","207","25","561","5","5","230","53","6","9","64","214","21","604","5","2","275","32","8","6","54","243","23","744","7","2","309","34","8","6","77","324"
"B18","Belconnen","(-35.243767, 149.059245)","11","10","13","6","2","3","2","2","2","6","1","1","15","10","8","3","2","2","0","4","3","3","7","9","4","1","4","3","0","2","1","1","10","13","3","0","6","4","2","5","1","2"
"B11","Belconnen","(-35.24289, 149.078317)","13","21","10","20","3","0","10","0","2","5","1","9","17","26","6","3","11","2","3","5","2","11","13","22","0","3","1","12","7","3","7","2","13","16","4","0","9","1","1","8","2","4"
