"activity","authorisationno","status","partyname","date","ceaseexpirydate","suburb","pdf"
"Production of road building materials (Activity 42)","0401","Current","Bitupave Limited t/as Boral Asphalt NSW","2003-02-24T00:00:00.000",,"Jerrabomberra","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0810","Expired","Guideline ACT Pty Ltd","2010-11-02T00:00:00.000","2011-11-02T00:00:00.000","Dickson","YES"
"Production of road building materials (Activity 42)","0716","Current","Downer EDI Works Pty Ltd","2010-12-02T00:00:00.000",,"Hume","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0678","Ceased","Kenoss Contractors Pty Ltd","2009-07-16T00:00:00.000","2010-07-17T00:00:00.000","Fyshwick","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0786","Expired","Group One Pty Ltd (Formerly Sayers Australia Pty Ltd)","2010-05-27T00:00:00.000","2011-05-27T00:00:00.000","Mitchell","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0893","Expired","Canberra Contractors Pty Limited","2012-04-11T00:00:00.000","2014-04-11T00:00:00.000","Bruce","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0707","Expired","Group One","2009-11-27T00:00:00.000","2010-11-27T00:00:00.000","Forde","YES"
"Placement of soil on land (Activity 7)","1185","Expired","Suburban Land Agency","2019-02-07T00:00:00.000","2020-02-07T00:00:00.000",,
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0687","Ceased","Beasec Enterprises Pty Ltd","2009-10-19T00:00:00.000","2011-10-19T00:00:00.000","Queanbeyan","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0822","Expired","Guideline (ACT) Pty Ltd","2011-02-22T00:00:00.000","2013-02-22T00:00:00.000","Queanbeyan","YES"
"Extraction of Material from Land; Greater than 30,000t per year (Activity 2)","0422","Current","Boral Resources (Country) P/L","2004-01-08T00:00:00.000",,"jerrabomberra","YES"
"Outdoor concerts (Activity 23)","1220","Expired","Kicks Entertainment Events Pty Ltd","2019-11-18T00:00:00.000","2019-11-24T00:00:00.000","Parkes",
"Placement of soil on land (Activity 7)","1226","Cancelled","Andrew Geikie","2020-01-03T00:00:00.000","2020-04-20T00:00:00.000",,
"Regulated Waste (Activity 9)","0991","Ceased","Irwin & Hartshorn Pty Ltd","2014-07-14T00:00:00.000","2022-08-18T00:00:00.000","Hume","YES"
"Commercial use of chemicals (Activity 29)","1005","Current","Commercial Helicopters (Aust) Pty Ltd","2014-10-09T00:00:00.000",,"MUDGEE","YES"
"Commercial use of chemicals (Activity 29)","1008","Ceased","Remote Aerial Services","2014-10-24T00:00:00.000","2018-03-23T00:00:00.000","BRAIDWOOD","YES"
"Commercial use of chemicals (Activity 29)","1010","Cancelled","Montana Pest Control","2014-11-14T00:00:00.000","2016-05-10T00:00:00.000","KAMBAH","YES"
"Commercial use of chemicals (Activity 29)","1029","Current","Jims Termite & Pest Control ACT & Southern NSW","2015-05-28T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1036","Current","Sydney Pest Control","2015-08-28T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1043","Cancelled","Adams Pest Management","2015-09-21T00:00:00.000","2017-04-04T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","1048","Current","Yarralumla Nursery","2015-11-04T00:00:00.000",,"YARRALUMLA","YES"
"Commercial use of chemicals (Activity 29)","1051","Current","Terra Solarus","2015-11-23T00:00:00.000",,"Various locations on leased and unleased ACT land.","YES"
"Commercial use of chemicals (Activity 29)","1052","Current","Precision Pest Control","2015-11-23T00:00:00.000",,"Various locations on leased and unleased ACT land.","YES"
"Commercial use of chemicals (Activity 29)","1057","Cancelled","Southern Termites","2015-12-07T00:00:00.000","2017-05-02T00:00:00.000","Various locations on leased and unleased ACT land","YES"
"Commercial use of chemicals (Activity 29)","1059","Current","Smartbuilt NSW Pty Ltd T/A TERMITRUST","2015-12-09T00:00:00.000",,"Various locations within the ACT","YES"
"Commercial use of chemicals (Activity 29)","1060","Cancelled","Pestyologist Pty Ltd","2015-12-16T00:00:00.000","2017-04-05T00:00:00.000","Various locations on leased and unleased ACT land.","YES"
"Commercial use of chemicals (Activity 29)","1063","Cancelled","Grass Mainenance Pty Ltd","2015-12-18T00:00:00.000","2018-04-26T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","1067","Cancelled","TR Eriksen Pty Ltd","2016-01-08T00:00:00.000","2016-07-13T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","1072","Current","IR & NJ Brand Pty Ltd","2016-02-10T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1080","Current","The Green Angle Investments Pty Ltd","2016-03-24T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1082","Current","Territory Horticulture","2016-03-31T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1087","Current","Surety Property","2016-05-18T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1091","Current","Lanyon Management Services","2016-06-23T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1093","Current","AMC Pest Control Pty Ltd","2016-07-21T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1100","Current","Pramukh Pest & Weed Control","2016-09-22T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1115","Current","Nathan John Pearce","2017-02-08T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1122","Current","Mr Steven Brown","2017-05-12T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1128","Current","Director-General, Transprot Canberra and City Services - City Services","2017-08-01T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1131","Current","Project Rural Contracting Pty Ltd","2017-08-31T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1140","Current","IEP Pest Control","2017-10-09T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1143","Current","Bowantz Bushfire & Environmental Pty Ltd","2017-12-06T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1145","Current","Canberra Mowing Pty Ltd","2018-01-22T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1146","Current","Programmed Property Services Pty Ltd","2018-01-22T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1147","Current","GREENSCAPES","2018-01-25T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1155","Current","First Class Cleaning and Pest Control","2018-03-15T00:00:00.000",,,"YES"
"Concert venue (Activity 24)","1222","Current","National Capital Authority","2019-11-28T00:00:00.000",,"Parkes",
"Petroleum storage (Activity 30)","0756","Current","7-Eleven Stores Pty Ltd - FYSHWICK","2010-03-04T00:00:00.000",,"Fyshwick","YES"
"Commercial use of chemicals (Activity 29)","1158","Current","Mr Guru","2018-04-17T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1162","Current","Multi Rock Constructions","2018-04-27T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1164","Current","Pest Safe Management Pty Limited - T/as Hart Pest Management","2018-05-14T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1177","Current","Pest Busters Canberra","2018-10-17T00:00:00.000",,,"YES"
"Extraction of Material from Land; Greater than 30,000t per year (Activity 2)","0422","Current","Boral Resources (Country) P/L","2004-01-08T00:00:00.000",,"jerrabomberra","YES"
"Extraction of Material from Land; Greater than 30,000t per year (Activity 2)","0422","Current","Boral Resources (Country) P/L","2004-01-08T00:00:00.000",,"jerrabomberra","YES"
"Extraction of Material from Land; Greater than 30,000t per year (Activity 2)","0422","Current","Boral Resources (Country) P/L","2004-01-08T00:00:00.000",,"jerrabomberra","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0613","Ceased","Parks, Conservation and Lands","2008-04-02T00:00:00.000","2011-07-14T00:00:00.000","Tharwa","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0686","Expired","Delfin Lend Lease","2009-10-23T00:00:00.000","2010-10-23T00:00:00.000","Casey","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0593","Expired","Huon Contractors Pty Ltd","2007-11-23T00:00:00.000","2008-11-23T00:00:00.000","Fyshwick","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0655","Expired","Bulk Water Alliance Joint Venture","2009-02-02T00:00:00.000",,"Mt Stromlo","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0693","Expired","ACT Procurement Solutions","2009-10-03T00:00:00.000","2011-10-03T00:00:00.000",,"YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","1142","Expired","Chincivil Pty Ltd","2017-11-20T00:00:00.000","2018-11-20T00:00:00.000","Hume","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0786","Expired","Group One Pty Ltd (Formerly Sayers Australia Pty Ltd)","2010-05-27T00:00:00.000","2011-05-27T00:00:00.000","wright","YES"
"Petroleum storage (Activity 30)","1246","Current","D Group Plant & Equipment Pty Ltd","2020-10-23T00:00:00.000",,"Fyshwick",
"Commercial use of chemicals (Activity 29)","1214","Current","OZ Pest Control Canberra","2019-09-11T00:00:00.000",,,
"Petroleum storage (Activity 30)","0757","Current","7-Eleven Stores Pty Ltd - WANNIASSA","2010-03-04T00:00:00.000",,"WANNIASSA","YES"
"Petroleum storage (Activity 30)","0762","Current","7-Eleven Stores Pty Ltd - SPENCE","2010-03-04T00:00:00.000",,"Spence","YES"
"Petroleum storage (Activity 30)","0758","Current","7-Eleven Stores Pty Ltd - MAWSON","2010-03-04T00:00:00.000",,"MAWSON","YES"
"Commercial use of chemicals (Activity 29)","1250","Current","A & E Pest Control","2020-10-23T00:00:00.000",,,
"Production of concrete (Activity 41)","0296","Current","Hanson Construction Materials Pty Ltd","2001-04-05T00:00:00.000",,"Fyshwick","YES"
"Operation of waste transfer (Activity 48)","1294","Current","Carmody & Sons Pty Ltd - T/as Tiger Waste Collection","2022-08-18T00:00:00.000",,,
"Placement of soil on land (Activity 7)","1113","Expired","D Group Civil Pty Ltd","2017-01-10T00:00:00.000","2020-01-10T00:00:00.000","Majura","YES"
"Commercial use of chemicals (Activity 29)","0245","Cancelled","City Group Pty Ltd","1999-12-10T00:00:00.000","2020-01-13T00:00:00.000","Mitchell","YES"
"Commercial use of chemicals (Activity 29)","1302","Current","Mojtaba Monjezi","2022-08-22T00:00:00.000",,,
"Incineration (Activity 12)","0008","Current","Daniels Health Services Pty Ltd","1998-06-10T00:00:00.000",,,"YES"
"Timber (Activity 38)","0435","Current","Capital Battens Pty Ltd","2004-04-16T00:00:00.000",,"Fyshwick","YES"
"Commercial use of chemicals (Activity 29)","1204","Expired","TriCal Australia Pty Ltd","2019-05-24T00:00:00.000","2020-05-24T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","0988","Cancelled","Gregory Allan Sloane","2014-05-21T00:00:00.000","2020-05-28T00:00:00.000","BONYTHON","YES"
"Placement of soil on land (Activity 7)","1234","Current","Remondis Australia Pty Ltd","2020-06-02T00:00:00.000",,"JERRABOMBERRA",
"Petroleum storage (Activity 30)","0759","Current","7-Eleven Stores Pty Ltd - BRADDON","2010-03-04T00:00:00.000",,"Braddon","YES"
"Petroleum storage (Activity 30)","0983","Current","7-Eleven Stores Pty Ltd - CASEY","2014-05-15T00:00:00.000",,"Casey","YES"
"Petroleum storage (Activity 30)","0761","Current","7-Eleven Stores Pty Ltd - HOLT","2010-03-04T00:00:00.000",,"HOLT","YES"
"Petroleum storage (Activity 30)","0763","Current","7-Eleven Stores Pty Ltd - MELBA","2010-03-04T00:00:00.000",,"MELBA","YES"
"Petroleum storage (Activity 30)","0760","Current","7-Eleven Stores Pty Ltd - GIRALANG","2010-03-04T00:00:00.000",,"GIRALANG","YES"
"Commercial use of chemicals (Activity 29)","0337","Current","Scientific Pest & Vegetation Management Pty Ltd","2001-07-02T00:00:00.000",,"Beenleigh","YES"
"Sterilisation of clinical waste (Activity 4)","0008","Current","Daniels Health Services Pty Ltd","1998-06-10T00:00:00.000",,,"YE"
"Regulated Waste (Activity 9)","1151","Cancelled","Marshall Power Australia Pty Ltd","2018-02-12T00:00:00.000","2020-06-30T00:00:00.000",,"YES"
"Operation of crushing, grinding and separation (Activity 43)","1161","Ceased","Dale and Hitchcock Civil Engineering and Landscaping","2018-05-23T00:00:00.000","2020-07-08T00:00:00.000","Symonston","YES"
"Incineration (Activity 12)","0008","Current","Daniels Health Services Pty Ltd","1998-06-10T00:00:00.000",,,"YE"
"Incineration (Activity 12)","0009","Current","Icon Water Limited","2000-08-07T00:00:00.000",,,"YES"
"Placement of soil on land (Activity 7)","1195","Cancelled","Tranquility Construction Group Pty Ltd","2019-05-17T00:00:00.000","2020-03-30T00:00:00.000","Gigerline",
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","1248","Current","Guideline ACT Pty Ltd","2020-11-02T00:00:00.000","2022-11-02T00:00:00.000","Taylor",
"Placement of soil on land (Activity 7)","1139","Expired","ROADS ACT","2017-11-03T00:00:00.000","2020-11-03T00:00:00.000",,"YES"
"Petroleum storage (Activity 30)","0746","Cancelled","Caltex Petroleum Pty Ltd - HUGHES","2011-10-19T00:00:00.000",,"HUGHES","YES"
"Conduct of a crematorium (Activity 5)","1249","Current","Australian Capital Territory Public Cemeteries Authority - T/as Canberra Cemeteries","2020-11-24T00:00:00.000",,"Mitchell",
"Motor racing event (Activity 26)","1251","Current","Brindabella Motor Sports Club","2020-11-25T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","0785","Cancelled","Southern Sons Rural Contractors","2010-04-28T00:00:00.000","2020-09-08T00:00:00.000","Via Sutton Rd",
"Commercial use of chemicals (Activity 29)","0953","Current","Elite Pest Services (T/A Gibsons Pest Control)","2013-08-20T00:00:00.000",,"CHARNWOOD","YES"
"Transport of Controlled Waste (Activity 8)","1254","Current","RMA Contracting Pty Ltd","2020-12-07T00:00:00.000",,,
"Sterilisation of clinical waste (Activity 4)","0008","Current","Daniels Health Services Pty Ltd","1998-06-10T00:00:00.000",,,"YES"
"Petroleum storage (Activity 30)","0009","Current","Icon Water Limited","2000-08-07T00:00:00.000",,,"YES"
"Production of road building materials (Activity 42)","1247","Current","Southern Asphalt Production Pty Ltd","2020-12-15T00:00:00.000",,,
"Firewood (Activity 44)","1001","Cancelled","Firewood King Canberra","2014-09-18T00:00:00.000","2016-10-11T00:00:00.000","Various Locations","YES"
"Firewood (Activity 44)","1017","Ceased","McMahon's Earthmoving Pty Ltd","2015-01-13T00:00:00.000","2017-08-31T00:00:00.000","ADAMINABY","YES"
"Firewood (Activity 44)","1019","Ceased","Gungahlin Landscape Supplies","2015-02-04T00:00:00.000","2017-08-31T00:00:00.000","MITCHELL","YES"
"Firewood (Activity 44)","1079","Ceased","Thor's Hammer Pty Ltd","2016-03-24T00:00:00.000","2017-08-31T00:00:00.000","Yarralumla","YES"
"Firewood (Activity 44)","1083","Ceased","Canberra Firewood","2016-03-31T00:00:00.000","2017-08-31T00:00:00.000",,"YES"
"Firewood (Activity 44)","1085","Ceased","Stonehenge Beltana","2016-05-12T00:00:00.000","2017-08-31T00:00:00.000","Pialligo","YES"
"Motor racing event (Activity 26)","1028","Expired","Brindabella Motor Sport Club","2015-05-03T00:00:00.000","2015-05-16T00:00:00.000","Civic Square","YES"
"Motor racing event (Activity 26)","1081","Expired","Brindabella Motor Sport Club","2016-05-24T00:00:00.000","2016-05-29T00:00:00.000","Civic Square","YES"
"Motor racing event (Activity 26)","1123","Expired","Brindabella Motor Sport Club","2017-05-10T00:00:00.000","2017-05-28T00:00:00.000",,"YES"
"Motor racing event (Activity 26)","1150","Expired","ACT Motorcycle Club of Canberra","2018-03-29T00:00:00.000","2018-04-15T00:00:00.000","Tharwa","YES"
"Motor racing event (Activity 26)","1159","Expired","Brindabella Motor Sport Club","2018-05-17T00:00:00.000","2018-06-05T00:00:00.000","ACT Forests, Kowen, Uriarra and Pierces","YES"
"Operation of crushing, grinding and separation (Activity 43)","1021","Current","Access Recycling ACT Pty Ltd","2015-04-07T00:00:00.000",,"FYSHWICK","YES"
"Operation of crushing, grinding and separation (Activity 43)","1104","Ceased","Dale and Hitchcock Civil Engineering and Landscaping","2016-11-11T00:00:00.000","2017-11-15T00:00:00.000",,"YES"
"Operation of crushing, grinding and separation (Activity 43)","1107","Expired","BMD Constructions Pty Ltd","2016-12-09T00:00:00.000","2017-12-09T00:00:00.000","Taylor","YES"
"Outdoor concerts (Activity 23)","1003","Expired","Canberra Racing Club","2014-11-14T00:00:00.000","2014-11-04T00:00:00.000","Lyneham","YES"
"Outdoor concerts (Activity 23)","1006","Expired","Unbridled Festival","2014-11-14T00:00:00.000","2014-11-15T00:00:00.000","Mitchell","YES"
"Outdoor concerts (Activity 23)","1007","Expired","Tuggeranong Community Festival Inc","2014-11-20T00:00:00.000","2014-11-23T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","1013","Expired","Canberra Racing Club","2015-02-05T00:00:00.000","2015-03-08T00:00:00.000","Lyneham","YES"
"Outdoor concerts (Activity 23)","1015","Expired","University Of Canberra Union","2015-02-19T00:00:00.000","2015-05-04T00:00:00.000","Bruce","YES"
"Outdoor concerts (Activity 23)","1018","Expired","ANU Students Association","2015-02-20T00:00:00.000","2015-02-14T00:00:00.000","Acton","YES"
"Outdoor concerts (Activity 23)","1020","Expired","Molonglo Group Pty Ltd","2015-03-13T00:00:00.000","2015-03-14T00:00:00.000","Canberra","YES"
"Outdoor concerts (Activity 23)","1022","Expired","BDW Special Events Managment","2015-03-13T00:00:00.000","2015-03-16T00:00:00.000","Canberra","YES"
"Outdoor concerts (Activity 23)","1038","Expired","Fairfax media-fairfax events","2015-09-03T00:00:00.000","2015-09-06T00:00:00.000","parkes","YES"
"Outdoor concerts (Activity 23)","1039","Expired","Chief Ministers, Treasury & Economic Development Directorate","2015-09-21T00:00:00.000","2018-09-20T00:00:00.000","PARKES","YES"
"Outdoor concerts (Activity 23)","1041","Expired","AIDS Action Council of the ACT","2015-09-21T00:00:00.000","2015-10-31T00:00:00.000","Acton","YES"
"Outdoor concerts (Activity 23)","1044","Expired","Canberra Racing Club","2015-09-23T00:00:00.000","2016-03-06T00:00:00.000","Lyneham","YES"
"Outdoor concerts (Activity 23)","1045","Expired","Rockmann & Rush Pty Ltd","2015-10-15T00:00:00.000","2015-10-18T00:00:00.000","Acton","YES"
"Outdoor concerts (Activity 23)","1047","Expired","Tuggeranong Comunity Festival Inc","2015-11-19T00:00:00.000","2015-11-21T00:00:00.000","Greenway","YES"
"Outdoor concerts (Activity 23)","1049","Expired","Canberra CBD Ltd","2015-11-24T00:00:00.000","2015-11-29T00:00:00.000","Canberra City","YES"
"Outdoor concerts (Activity 23)","1050","Expired","National Australia Day council","2016-01-04T00:00:00.000","2016-01-25T00:00:00.000","Parkes","YES"
"Outdoor concerts (Activity 23)","1065","Expired","Australian National University Students Association","2016-02-11T00:00:00.000","2016-02-12T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","1071","Expired","Event News Australia Pty Ltd","2016-02-26T00:00:00.000","2016-02-27T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","1074","Expired","The Dionysus Movement","2016-03-16T00:00:00.000","2016-03-20T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","1075","Expired","Cattleyard Promotions Pty Ltd","2016-03-22T00:00:00.000","2016-04-25T00:00:00.000","Bruce","YES"
"Outdoor concerts (Activity 23)","1076","Expired","Canberra FM Radio Pty Ltd","2016-03-16T00:00:00.000","2018-03-19T00:00:00.000","Parkes","YES"
"Outdoor concerts (Activity 23)","1092","Expired","Territory Venues and Events","2016-09-01T00:00:00.000","2016-12-11T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","1096","Expired","Fairfax Events","2016-08-17T00:00:00.000","2017-08-16T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","1101","Expired","Kicks Entertainment Events Pty Ltd","2016-10-19T00:00:00.000","2016-12-04T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","1110","Expired","Infinite Lights and Sounds Pty Ltd","2016-12-02T00:00:00.000","2016-12-17T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","1114","Expired","ANU Students Association","2017-01-19T00:00:00.000","2017-02-21T00:00:00.000","ACTON","YES"
"Outdoor concerts (Activity 23)","1116","Expired","Canberra Racing Club","2017-02-08T00:00:00.000","2017-03-05T00:00:00.000","LYNEHAM","YES"
"Outdoor concerts (Activity 23)","1118","Expired","Cattleyard Promotions Pty Ltd","2017-03-28T00:00:00.000","2017-05-08T00:00:00.000","Bruce","YES"
"Outdoor concerts (Activity 23)","1132","Expired","Kicks Entertainment Events Pty Ltd","2017-10-05T00:00:00.000","2018-10-05T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","1148","Expired","33 Creative Pty Limited","2018-04-17T00:00:00.000","2018-04-17T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","1149","Expired","Australian National University Students Association","2018-04-17T00:00:00.000","2018-04-17T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","1154","Expired","Cattleyard Promotions Pty Ltd","2018-03-29T00:00:00.000","2018-04-29T00:00:00.000","Bruce","YES"
"Petroleum storage (Activity 30)","1014","Current","Mini-Tankers Australia Pty Ltd","2015-02-19T00:00:00.000",,"Hume","YES"
"Petroleum storage (Activity 30)","1105","Current","Canberra Data Centres Pty Ltd - Fyshwick","2016-11-24T00:00:00.000",,"FYSHWICK","YES"
"Petroleum storage (Activity 30)","1106","Current","Canberra Data Centres Pty Ltd - Hume","2016-11-24T00:00:00.000",,"Hume","YES"
"Petroleum storage (Activity 30)","1141","Current","United Petroleum Pty Ltd - Kambah","2017-11-03T00:00:00.000",,"Kambah","YES"
"Commercial use of chemicals (Activity 29)","1228","Ceased","AB Pest Control","2019-12-17T00:00:00.000","2022-08-22T00:00:00.000",,
"Placement of soil on land (Activity 7)","1024","Current","Icon Water","2015-05-11T00:00:00.000",,"Fyshwick","YES"
"Placement of soil on land (Activity 7)","1033","Expired","National Capital Motorsports Club Inc.","2015-09-29T00:00:00.000","2018-09-29T00:00:00.000","Majura","YES"
"Placement of soil on land (Activity 7)","1086","Cancelled","Chincivil Pty Ltd","2016-06-09T00:00:00.000","2019-06-09T00:00:00.000","Acton","YES"
"Placement of soil on land (Activity 7)","1086","Cancelled","Chincivil Pty Ltd","2016-06-09T00:00:00.000","2019-06-09T00:00:00.000","Acton","YES"
"Placement of soil on land (Activity 7)","1098","Current","Freshford Equestrian Centre","2016-09-08T00:00:00.000",,"Paddys River","YES"
"Placement of soil on land (Activity 7)","1109","Ceased","Independent Constructions","2016-11-25T00:00:00.000","2018-11-24T00:00:00.000","Queanbeyan","YES"
"Placement of soil on land (Activity 7)","1126","Expired","Dassar Pty Ltd","2017-06-13T00:00:00.000","2018-06-13T00:00:00.000","Weston","YES"
"Placement of soil on land (Activity 7)","1127","Ceased","Canberra Contractors Pty Ltd","2017-06-20T00:00:00.000","2017-06-19T00:00:00.000","Jerrabomberra","YES"
"Placement of soil on land (Activity 7)","1129","Expired","Capital Flowers","2017-10-06T00:00:00.000","2017-10-31T00:00:00.000",,"YES"
"Placement of soil on land (Activity 7)","1163","Current","SM Barac and TT Barac trading as Pialligo Stone Quarry","2018-05-29T00:00:00.000",,,"YES"
"Sewage Treatment (Activity 10)","1084","Current","Icon Water Limited","2016-07-18T00:00:00.000",,"-","YES"
"Transport of Controlled Waste (Activity 8)","1055","Ceased","Beasy Pty Ltd","2015-12-02T00:00:00.000","2017-01-19T00:00:00.000","Various locations within the ACT","YES"
"Transport of Controlled Waste (Activity 8)","1056","Ceased","Cabiria Pty Ltd","2015-12-02T00:00:00.000","2017-12-12T00:00:00.000","Various locations within the ACT","YES"
"Transport of Controlled Waste (Activity 8)","1061","Cancelled","RMA Contracting Pty Ltd","2015-12-16T00:00:00.000","2017-05-03T00:00:00.000","Various locations within the ACT","YES"
"Transport of Controlled Waste (Activity 8)","1064","Current","J.J. Richards & Sons Pty Ltd","2015-12-22T00:00:00.000",,"HUME","YES"
"Transport of Controlled Waste (Activity 8)","1064","Current","J.J. Richards & Sons Pty Ltd","2015-12-22T00:00:00.000",,"various locations within the ACT","YES"
"Transport of Controlled Waste (Activity 8)","1069","Cancelled","Enviropacific Services Pty Ltd","2016-01-14T00:00:00.000","2017-04-03T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","1273","Expired","Capital Promotions Group Pty Ltd","2021-08-16T00:00:00.000","2022-08-16T00:00:00.000","PARKES",
"Operation of crushing, grinding and separation (Activity 43)","0422","Current","Boral Resources (Country) P/L","2004-01-08T00:00:00.000",,"Jerrabomberra","YES"
"Transport of Controlled Waste (Activity 8)","1097","Current","Sam Jeffery","2016-08-24T00:00:00.000",,,"YES"
"Outdoor concerts (Activity 23)","0920","Ceased","Chief Minister & Treasury Directorate","2012-01-23T00:00:00.000","2013-03-12T00:00:00.000","Parkes","YES"
"Motor racing event (Activity 26)","0661","Expired","National Rallysport Association Inc.","2009-05-12T00:00:00.000","2009-03-09T00:00:00.000",,"YES"
"Placement of soil on land (Activity 7)","0794","Expired","D Group Civil Pty Ltd","2010-07-29T00:00:00.000","2013-07-29T00:00:00.000","Fyshwick","YES"
"Placement of soil on land (Activity 7)","0592","Ceased","Taylor, Ian","2007-11-23T00:00:00.000","2008-11-23T00:00:00.000","Mitchell","YES"
"Firewood (Activity 44)","0315","Ceased","Firetrec Pty Ltd T/A Woodstock Firewood and Forge Firewood","2001-04-30T00:00:00.000","2009-03-05T00:00:00.000","Fyshwick","YES"
"Operation of crushing, grinding and separation (Activity 43)","0422","Current","Boral Resources (Country) P/L","2004-01-08T00:00:00.000",,"Jerrabomberra","YES"
"Commercial use of chemicals (Activity 29)","0873","Current","Leaves Away Pty Ltd","2011-10-21T00:00:00.000",,,"YES"
"Outdoor concerts (Activity 23)","0889","Expired","Kicks Entertainment","2012-02-22T00:00:00.000","2012-05-05T00:00:00.000","city","YES"
"Placement of soil on land (Activity 7)","0662","Expired","Australian National University","2009-04-07T00:00:00.000","2010-04-07T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","0178","Ceased","Beemak Enterprises","1999-02-23T00:00:00.000","2010-12-31T00:00:00.000","Sutton","YES"
"Placement of soil on land (Activity 7)","0667","Current","ACT NOWaste","2009-04-06T00:00:00.000",,"Lyneham","YES"
"Commercial use of chemicals (Activity 29)","0440","Ceased","Ventorp Pth Ltd trading as Matt Crozier Rural Services","2004-01-15T00:00:00.000","2006-02-28T00:00:00.000","Bungendore","NO"
"Outdoor concerts (Activity 23)","0697","Expired","Territory & Municipal Services","2009-10-30T00:00:00.000","2011-10-30T00:00:00.000","Lyneham","YES"
"Outdoor concerts (Activity 23)","0587","Expired","UCU LTD","2007-10-05T00:00:00.000","2007-10-27T00:00:00.000","Bruce","YES"
"Placement of soil on land (Activity 7)","0558","Ceased","Trevaskis, Greame","2006-11-10T00:00:00.000","2007-11-11T00:00:00.000","MacGregor","YES"
"Commercial use of chemicals (Activity 29)","0108","Ceased","James Hunt","1998-09-30T00:00:00.000","2007-11-01T00:00:00.000","Queanbeyan","YES"
"Placement of soil on land (Activity 7)","0832","Expired","Downer EDI Works Pty Ltd","2011-03-17T00:00:00.000","2012-03-17T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","0680","Current","ECOWAY (Aust) Pty Ltd","2009-08-18T00:00:00.000",,"GUNDAROO","YES"
"Firewood (Activity 44)","0332","Ceased","Discount Tree Services ACT Pty Ltd","2001-07-13T00:00:00.000","2003-09-12T00:00:00.000","Pearce","NO"
