"vaccination_date","gender","firstdosedaily","firstdosecumulative","seconddosedaily","seconddosecumulative","singledosedaily","singledosecumulative","thirddosedaily","thirddosecumulative","fullyvaccinatedcumulative","firstboosterdailydose","additionaldosecumulative","fourthdailydose","secondadditionaldosecumulative","atleastonedailydose","atleastonedailydosecumulative","fullyvaccinateddailydose"
"2012-04-03T11:00:00.000","Female","1.0","88",,"0",,"0",,"0","0",,"0",,"0","1.0","88",
"2012-04-03T11:00:00.000","Male","1.0","63",,"1",,"0",,"0","1",,"0",,"0","1.0","63",
"2012-04-06T11:00:00.000","Male","1.0","64",,"1",,"0",,"0","1",,"0",,"0","1.0","64",
"2012-04-08T11:00:00.000","Female","1.0","89",,"0",,"0",,"0","0",,"0",,"0","1.0","89",
"2012-04-10T11:00:00.000","Female","2.0","91",,"0",,"0",,"0","0",,"0",,"0","2.0","91",
"2012-04-13T11:00:00.000","Female","2.0","93",,"0",,"0",,"0","0",,"0",,"0","2.0","93",
"2012-04-17T11:00:00.000","Female","1.0","94",,"0",,"0",,"0","0",,"0",,"0","1.0","94",
"2012-04-23T11:00:00.000","Female","1.0","95",,"0",,"0",,"0","0",,"0",,"0","1.0","95",
"2012-04-24T11:00:00.000","Female","1.0","96",,"0",,"0",,"0","0",,"0",,"0","1.0","96",
"2012-04-24T11:00:00.000","Male","1.0","65",,"1",,"0",,"0","1",,"0",,"0","1.0","65",
"2012-05-04T11:00:00.000","Male","1.0","66",,"1",,"0",,"0","1",,"0",,"0","1.0","66",
"2012-05-19T11:00:00.000","Female","1.0","97",,"0",,"0",,"0","0",,"0",,"0","1.0","97",
"2012-05-26T11:00:00.000","Male","1.0","67",,"1",,"0",,"0","1",,"0",,"0","1.0","67",
"2012-06-21T11:00:00.000","Female","1.0","98",,"0",,"0",,"0","0",,"0",,"0","1.0","98",
"2012-07-24T11:00:00.000","Female","1.0","99",,"0",,"0",,"0","0",,"0",,"0","1.0","99",
"2012-10-12T11:00:00.000","Female","1.0","100",,"0",,"0",,"0","0",,"0",,"0","1.0","100",
"2012-11-01T11:00:00.000","Female","1.0","101",,"0",,"0",,"0","0",,"0",,"0","1.0","101",
"2012-12-01T10:00:00.000","Male","1.0","68",,"1",,"0",,"0","1",,"0",,"0","1.0","68",
"2012-12-08T10:00:00.000","Male","1.0","69",,"1",,"0",,"0","1",,"0",,"0","1.0","69",
"2012-12-10T10:00:00.000","Female","1.0","102",,"0",,"0",,"0","0",,"0",,"0","1.0","102",
"2012-12-21T10:00:00.000","Female","1.0","103",,"0",,"0",,"0","0",,"0",,"0","1.0","103",
"2012-12-27T10:00:00.000","Female","1.0","104",,"0",,"0",,"0","0",,"0",,"0","1.0","104",
"2013-01-13T10:00:00.000","Male","1.0","70",,"1",,"0",,"0","1",,"0",,"0","1.0","70",
"2013-02-11T10:00:00.000","Female","1.0","105",,"0",,"0",,"0","0",,"0",,"0","1.0","105",
"2013-02-13T10:00:00.000","Female","1.0","106",,"0",,"0",,"0","0",,"0",,"0","1.0","106",
"2013-03-12T11:00:00.000","Female","1.0","107",,"0",,"0",,"0","0",,"0",,"0","1.0","107",
"2013-04-03T11:00:00.000","Female",,"107","1.0","1",,"0",,"0","1",,"0",,"0",,"107","1.0"
"2013-04-13T11:00:00.000","Female","2.0","109",,"1",,"0",,"0","1",,"0",,"0","2.0","109",
"2013-05-09T11:00:00.000","Female","1.0","110",,"1",,"0",,"0","1",,"0",,"0","1.0","110",
"2014-01-09T10:00:00.000","Female","1.0","111",,"1",,"0",,"0","1",,"0",,"0","1.0","111",
"2014-01-14T10:00:00.000","Female","1.0","112",,"1",,"0",,"0","1",,"0",,"0","1.0","112",
"2014-04-23T11:00:00.000","Female","1.0","113",,"1",,"0",,"0","1",,"0",,"0","1.0","113",
"2014-11-03T10:00:00.000","Female","1.0","114",,"1",,"0",,"0","1",,"0",,"0","1.0","114",
"2015-02-10T10:00:00.000","Female","1.0","115",,"1",,"0",,"0","1",,"0",,"0","1.0","115",
"2015-02-15T10:00:00.000","Female","1.0","116",,"1",,"0",,"0","1",,"0",,"0","1.0","116",
"2015-03-10T11:00:00.000","Female",,"116","1.0","2",,"0",,"0","2",,"0",,"0",,"116","1.0"
"2015-03-15T11:00:00.000","Female","1.0","117",,"2",,"0",,"0","2",,"0",,"0","1.0","117",
"2015-03-15T11:00:00.000","Male","1.0","71",,"1",,"0",,"0","1",,"0",,"0","1.0","71",
"2015-03-18T11:00:00.000","Female","1.0","118",,"2",,"0",,"0","2",,"0",,"0","1.0","118",
"2015-03-25T11:00:00.000","Female","1.0","119",,"2",,"0",,"0","2",,"0",,"0","1.0","119",
"2015-04-15T11:00:00.000","Female","1.0","120",,"2",,"0",,"0","2",,"0",,"0","1.0","120",
"2015-04-16T11:00:00.000","Female","1.0","121",,"2",,"0",,"0","2",,"0",,"0","1.0","121",
"2015-05-15T11:00:00.000","Female","1.0","122",,"2",,"0",,"0","2",,"0",,"0","1.0","122",
"2015-09-14T11:00:00.000","Female","1.0","123",,"2",,"0",,"0","2",,"0",,"0","1.0","123",
"2016-01-01T10:00:00.000","Male","1.0","72",,"1",,"0",,"0","1",,"0",,"0","1.0","72",
"2016-01-24T10:00:00.000","Male","1.0","73",,"1",,"0",,"0","1",,"0",,"0","1.0","73",
"2016-02-01T10:00:00.000","Female","1.0","124",,"2",,"0",,"0","2",,"0",,"0","1.0","124",
"2016-02-21T10:00:00.000","Male","1.0","74",,"1",,"0",,"0","1",,"0",,"0","1.0","74",
"2016-02-25T10:00:00.000","Female","1.0","125",,"2",,"0",,"0","2",,"0",,"0","1.0","125",
"2016-04-15T11:00:00.000","Male","1.0","75",,"1",,"0",,"0","1",,"0",,"0","1.0","75",
"2016-04-17T11:00:00.000","Female","1.0","126",,"2",,"0",,"0","2",,"0",,"0","1.0","126",
"2016-04-25T11:00:00.000","Male","1.0","76",,"1",,"0",,"0","1",,"0",,"0","1.0","76",
"2016-04-29T11:00:00.000","Female","1.0","127",,"2",,"0",,"0","2",,"0",,"0","1.0","127",
"2016-05-20T11:00:00.000","Female",,"127","1.0","3",,"0",,"0","3",,"0",,"0",,"127","1.0"
"2016-06-13T11:00:00.000","Female","1.0","128",,"3",,"0",,"0","3",,"0",,"0","1.0","128",
"2016-08-25T11:00:00.000","Female","1.0","129",,"3",,"0",,"0","3",,"0",,"0","1.0","129",
"2016-09-16T11:00:00.000","Unknown","1.0","1",,"0",,"0",,"0","0",,"0",,"0","1.0","1",
"2017-01-21T10:00:00.000","Female","1.0","130",,"3",,"0",,"0","3",,"0",,"0","1.0","130",
"2017-01-23T10:00:00.000","Female","1.0","131",,"3",,"0",,"0","3",,"0",,"0","1.0","131",
"2017-02-17T10:00:00.000","Female","1.0","132",,"3",,"0",,"0","3",,"0",,"0","1.0","132",
"2017-03-02T10:00:00.000","Male","1.0","77",,"1",,"0",,"0","1",,"0",,"0","1.0","77",
"2017-03-27T11:00:00.000","Female","1.0","133",,"3",,"0",,"0","3",,"0",,"0","1.0","133",
"2017-03-30T11:00:00.000","Male",,"77","1.0","2",,"0",,"0","2",,"0",,"0",,"77","1.0"
"2017-04-05T11:00:00.000","Female","1.0","134",,"3",,"0",,"0","3",,"0",,"0","1.0","134",
"2017-04-14T11:00:00.000","Male","1.0","78",,"2",,"0",,"0","2",,"0",,"0","1.0","78",
"2017-05-20T11:00:00.000","Male","1.0","79",,"2",,"0",,"0","2",,"0",,"0","1.0","79",
"2017-05-28T11:00:00.000","Female","1.0","135",,"3",,"0",,"0","3",,"0",,"0","1.0","135",
"2017-07-17T11:00:00.000","Male","1.0","80",,"2",,"0",,"0","2",,"0",,"0","1.0","80",
