"service_type","date_opened","date_closed","status","case_origin","suburb"
"Infringement Review - Parking","2018-08-15T11:22:00.000","2018-09-06T14:27:00.000","Closed","Web",
"Infringement Review - Parking","2018-01-17T14:20:00.000","2018-02-06T11:46:00.000","Closed","Web",
"Graffiti Removal Request","2018-08-10T12:53:00.000","2018-08-17T11:36:00.000","Closed","Phone","Carlton"
"Graffiti Removal Request","2018-03-10T15:41:00.000","2018-03-14T16:04:00.000","Closed","Web","Melbourne"
"Infringement Review - Parking","2018-06-12T21:06:00.000","2018-07-09T12:23:00.000","Closed","Web",
"Infringement Review - Parking","2018-09-21T12:13:00.000","2018-10-17T08:10:00.000","Closed","Web",
"Request for Parking Officer","2018-08-16T11:27:00.000","2018-08-16T12:30:00.000","Closed","Web","East Melbourne"
"Infringement Review - Parking","2018-04-17T13:36:00.000",,"New","Web",
"Rough Sleeping","2018-06-06T10:09:00.000","2018-06-06T11:11:00.000","Closed","Web","Melbourne"
"Infringement Review - Parking","2018-04-07T10:18:00.000","2018-05-08T12:53:00.000","Closed","Web",
"Request for Parking Officer","2018-06-25T08:13:00.000","2018-06-25T11:23:00.000","Closed","Web","Southbank"
"Infringement Review - Parking","2018-07-20T10:27:00.000",,"New","Web",
"Request for Parking Officer","2018-03-11T15:51:00.000","2018-03-11T16:08:00.000","Closed as Duplicate","Web","Carlton"
"Request for Parking Officer","2018-09-05T17:57:00.000","2018-09-05T18:46:00.000","Closed","Web","Docklands"
"Infringement Review - Parking","2018-04-08T16:05:00.000",,"New","Web",
"Infringement Review - Parking","2018-04-08T16:05:00.000",,"New","Web",
"Infringement Review - Parking","2018-01-08T12:52:00.000","2018-01-31T14:18:00.000","Closed","Web",
"Request for Parking Officer","2018-08-04T17:25:00.000","2018-08-04T20:46:00.000","Closed","Web","Parkville"
"Request for Parking Officer","2018-03-06T09:21:00.000","2018-03-06T09:45:00.000","Closed","Phone","West Melbourne"
"Infringement Review - Parking","2018-05-26T12:08:00.000",,"New","Web",
"Infringement Review - Local Law","2018-05-02T17:20:00.000","2018-05-25T15:53:00.000","Closed","Web",
"Infringement Review - Parking","2018-06-07T18:57:00.000",,"Escalated","Web",
"Infringement Review - Parking","2018-01-15T12:28:00.000","2018-01-16T10:52:00.000","Closed as Duplicate","Web",
"Rough Sleeping","2018-08-01T08:26:00.000","2018-08-01T14:06:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-03-07T12:36:00.000","2018-04-09T15:32:00.000","Closed","Web",
"Infringement Review - Local Law","2018-07-20T12:01:00.000","2018-07-24T09:35:00.000","Closed","Mail",
"Request for Parking Officer","2018-06-25T20:04:00.000","2018-06-25T20:24:00.000","Closed","Web","Melbourne"
"Graffiti Removal Request","2018-02-07T09:00:00.000","2018-02-13T10:01:00.000","Closed","Web","Carlton"
"Infringement Review - Parking","2018-07-08T21:13:00.000","2018-08-02T12:06:00.000","Closed","Web",
"Rough Sleeping","2018-01-02T16:16:00.000","2018-01-04T14:21:00.000","Closed","Phone","Melbourne"
"Request for Parking Officer","2018-03-01T10:35:00.000","2018-03-01T11:07:00.000","Closed","Phone","North Melbourne"
"Infringement Review - Parking","2018-01-07T11:38:00.000","2018-02-12T14:22:00.000","Closed","Web",
"Infringement Review - Parking","2018-07-12T08:41:00.000","2018-08-08T08:42:00.000","Closed","Mail",
"Infringement Review - Parking","2018-03-06T20:43:00.000","2018-03-08T15:06:00.000","Closed","Web",
"Request for Parking Officer","2018-01-08T16:05:00.000","2018-01-08T16:47:00.000","Closed","Web","Carlton"
"Request for Parking Officer","2018-08-14T02:11:00.000","2018-08-14T07:08:00.000","Closed","Web","Southbank"
"Request for Parking Officer","2018-09-11T12:00:00.000","2018-09-11T12:44:00.000","Closed","Web","Docklands"
"Request for Parking Officer","2018-04-17T15:09:00.000","2018-04-17T15:46:00.000","Closed","Web","Melbourne"
"Infringement Review - Parking","2018-03-14T23:19:00.000",,"Escalated","Web",
"Infringement Review - Parking","2018-07-06T09:00:00.000","2018-07-31T15:11:00.000","Closed","Mail",
"Request for Parking Officer","2018-01-18T14:09:00.000","2018-02-13T12:59:00.000","Closed","Phone","Southbank"
"Infringement Review - Parking","2018-02-15T10:56:00.000","2018-03-14T10:30:00.000","Closed","Mail",
"Request for Parking Officer","2018-01-18T07:51:00.000","2018-01-18T09:25:00.000","Closed","Web","Parkville"
"Tree Maintenance Request","2018-02-20T13:48:00.000",,"In Progress","Web","Melbourne"
"Infringement Review - Parking","2018-05-08T19:50:00.000",,"New","Web",
"Infringement Review - Parking","2018-04-11T08:52:00.000",,"New","Web",
"Tree Maintenance Request","2018-07-19T09:29:00.000","2018-08-02T17:10:00.000","Closed","Web",
"Request for Parking Officer","2018-09-25T08:17:00.000","2018-09-25T08:41:00.000","Closed","Phone","Carlton"
"Infringement Review - Parking","2018-09-16T14:47:00.000","2018-10-10T14:26:00.000","Closed","Web",
"Infringement Review - Parking","2018-04-10T14:14:00.000",,"New","Web",
"Illegally Dumped Rubbish","2018-03-09T14:09:00.000","2018-03-13T13:34:00.000","Closed","Phone","Melbourne"
"Request for Parking Officer","2018-08-04T22:12:00.000","2018-08-04T23:40:00.000","Closed","Web","Docklands"
"Infringement Review - Parking","2018-08-26T22:45:00.000","2018-09-19T08:25:00.000","Closed","Web",
"Graffiti Removal Request","2018-09-16T14:00:00.000","2018-09-17T08:08:00.000","Closed","Web","Southbank"
"Request for Parking Officer","2018-08-10T11:00:00.000","2018-08-10T11:45:00.000","Closed","Phone","North Melbourne"
"Illegally Dumped Rubbish","2018-02-15T16:57:00.000","2018-02-19T10:54:00.000","Closed","Proactive","Melbourne"
"Rough Sleeping","2018-02-07T02:10:00.000","2018-02-08T13:57:00.000","Closed","Snap Send Solve",
"Request for Parking Officer","2018-06-18T11:15:00.000","2018-06-24T12:26:00.000","Closed","Phone","Kensington"
"Graffiti Removal Request","2018-02-23T09:57:00.000","2018-02-27T15:06:00.000","Closed","Snap Send Solve",
"Tree Maintenance Request","2018-09-18T10:32:00.000","2018-09-19T09:48:00.000","Closed","Phone","Kensington"
"Infringement Review - Parking","2018-07-26T15:21:00.000",,"New","Web",
"Request for Parking Officer","2018-08-03T21:59:00.000","2018-08-03T22:13:00.000","Closed","Web","Docklands"
"Abandoned Vehicles","2018-09-04T13:39:00.000",,"In Progress","Web","Kensington"
"Infringement Review - Parking","2018-08-15T14:28:00.000","2018-09-10T10:56:00.000","Closed","Web",
"Graffiti Removal Request","2018-03-02T14:16:00.000","2018-03-06T13:30:00.000","Closed","Phone","North Melbourne"
"Request for Parking Officer","2018-01-31T06:59:00.000","2018-01-31T07:43:00.000","Closed","Phone","Southbank"
"Infringement Review - Parking","2018-09-17T09:50:00.000","2018-10-10T09:00:00.000","Closed","Web",
"Infringement Review - Parking","2018-07-10T08:30:00.000","2018-08-02T10:20:00.000","Closed","Web",
"Graffiti Removal Request","2018-08-11T17:42:00.000","2018-08-28T13:22:00.000","Closed","Snap Send Solve","West Melbourne"
"Request for Parking Officer","2018-06-12T18:57:00.000","2018-06-12T20:28:00.000","Closed","Phone","Melbourne"
"Infringement Review - Local Law","2018-05-29T08:54:00.000",,"New","Mail",
"Syringe Management","2018-08-07T13:59:00.000","2018-08-07T15:26:00.000","Closed","Web","North Melbourne"
"Graffiti Removal Request","2018-06-11T16:29:00.000","2018-06-14T14:43:00.000","Closed","Web","Melbourne"
"Graffiti Removal Request","2018-05-21T15:58:00.000","2018-05-24T14:12:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-05-14T08:22:00.000",,"New","Mail",
"Infringement Review - Parking","2018-05-25T09:32:00.000",,"New","Email",
"Infringement Review - Parking","2018-02-01T12:19:00.000","2018-02-23T13:25:00.000","Closed","Web",
"Infringement Review - Parking","2018-04-25T22:24:00.000",,"New","Web",
"Rough Sleeping","2018-03-20T14:28:00.000","2018-03-20T14:30:00.000","Closed","Phone","Melbourne"
"Tree Maintenance Request","2018-03-19T15:32:00.000","2018-04-06T13:28:00.000","Closed","Phone","Docklands"
"Infringement Review - Parking","2018-06-03T21:04:00.000",,"In Progress","Web",
"Request for Parking Officer","2018-06-07T17:07:00.000","2018-06-07T17:39:00.000","Closed","Phone","Southbank"
"Infringement Review - Parking","2018-03-15T17:24:00.000",,"New","Web",
"Request for Parking Officer","2018-07-18T12:29:00.000","2018-07-18T15:19:00.000","Closed","Web","East Melbourne"
"Infringement Review - Parking","2018-02-07T00:00:00.000",,"In Progress","Web",
"Infringement Review - Parking","2018-05-24T14:29:00.000",,"New","Web",
"Graffiti Removal Request","2018-08-30T08:47:00.000","2018-10-04T12:11:00.000","Closed","Snap Send Solve",
"Infringement Review - Parking","2018-06-05T11:07:00.000","2018-07-02T14:33:00.000","Closed","Web",
"Infringement Review - Parking","2018-01-02T12:43:00.000","2018-01-24T12:08:00.000","Closed","Web",
"Abandoned Vehicles","2018-03-23T09:45:00.000","2018-04-03T15:25:00.000","Closed","Phone","Docklands"
"Request for Parking Officer","2018-03-16T17:22:00.000","2018-04-15T14:45:00.000","Closed","Phone","Carlton"
"Infringement Review - Parking","2018-03-20T09:44:00.000",,"New","Mail",
"Request for Parking Officer","2018-07-26T07:20:00.000","2018-07-26T09:50:00.000","Closed","Web","South Yarra"
"Infringement Review - Parking","2018-03-29T09:03:00.000",,"New","Web",
"Request for Parking Officer","2018-06-07T13:14:00.000","2018-06-07T13:37:00.000","Closed","Phone","North Melbourne"
"Request for Parking Officer","2018-08-25T15:09:00.000","2018-08-25T15:43:00.000","Closed","Phone","Parkville"
"Illegally Dumped Rubbish","2018-08-19T22:01:00.000","2018-08-21T11:58:00.000","Closed","Face-to-Face","Melbourne"
"Infringement Review - Parking","2018-09-28T14:45:00.000",,"New","Web",
"Infringement Review - Parking","2018-05-09T09:26:00.000",,"New","Mail",
"Infringement Review - Parking","2018-05-11T17:59:00.000",,"New","Web",
"Infringement Review - Parking","2018-01-03T16:40:00.000","2018-01-24T13:04:00.000","Closed","Email",
"Request for Parking Officer","2018-06-15T16:51:00.000","2018-06-15T17:10:00.000","Closed","Web","Melbourne"
"Illegally Dumped Rubbish","2018-09-20T07:57:00.000",,"New","Web","Melbourne"
"Infringement Review - Parking","2018-07-16T13:34:00.000","2018-08-08T16:11:00.000","Closed","Mail",
"Illegally Dumped Rubbish","2018-02-03T10:01:00.000","2018-02-04T13:01:00.000","Closed","Email","Docklands"
"Abandoned Vehicles","2018-05-29T06:18:00.000",,"In Progress","Web","Melbourne"
"Infringement Review - Parking","2018-07-05T15:30:00.000","2018-07-06T12:27:00.000","Closed","Web",
"Illegally Dumped Rubbish","2018-02-09T13:01:00.000","2018-02-13T11:51:00.000","Closed","Proactive","Melbourne"
"Infringement Review - Parking","2018-06-11T18:24:00.000","2018-07-06T13:11:00.000","Closed","Web",
"Infringement Review - Parking","2018-08-24T10:12:00.000","2018-09-17T11:40:00.000","Closed","Mail",
"Infringement Review - Parking","2018-06-04T10:19:00.000","2018-06-22T15:16:00.000","Closed","Phone",
"Infringement Review - Parking","2018-08-03T15:51:00.000","2018-08-08T07:41:00.000","Closed","Email",
"Request for Parking Officer","2018-05-31T12:27:00.000","2018-05-31T13:03:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-07-30T03:54:00.000",,"New","Web",
"Tree Maintenance Request","2018-01-12T16:02:00.000","2018-01-31T10:17:00.000","Closed","Email","Carlton"
"Infringement Review - Parking","2018-01-25T15:58:00.000","2018-02-15T08:40:00.000","Closed","Web",
"Ratepayer waste","2018-09-21T17:09:00.000","2018-09-24T14:23:00.000","Closed","Phone","Kensington"
"Infringement Review - Parking","2018-01-28T20:34:00.000","2018-02-19T14:42:00.000","Closed","Web",
"Infringement Review - Parking","2018-07-13T12:57:00.000","2018-08-07T13:51:00.000","Closed","Web",
"Infringement Review - Parking","2018-09-19T13:06:00.000","2018-10-04T15:37:00.000","Closed","Web",
"Rough Sleeping","2018-03-19T11:45:00.000","2018-03-19T15:52:00.000","Closed","Phone","Southbank"
"Graffiti Removal Request","2018-03-17T15:13:00.000","2018-03-27T11:07:00.000","Closed","Web","North Melbourne"
"Infringement Review - Parking","2018-06-21T13:48:00.000","2018-07-05T16:59:00.000","Closed as Duplicate","Web",
"Infringement Review - Parking","2018-06-21T13:48:00.000","2018-07-05T16:59:00.000","Closed as Duplicate","Web",
"Request for Parking Officer","2018-09-11T09:47:00.000","2018-09-11T10:23:00.000","Closed","Phone","South Yarra"
"Infringement Review - Parking","2018-04-18T15:14:00.000",,"New","Web",
"Illegally Dumped Rubbish","2018-09-10T15:43:00.000","2018-09-19T16:34:00.000","Closed","Proactive","Melbourne"
"Ratepayer waste","2018-09-17T16:14:00.000","2018-09-19T15:08:00.000","Closed","Phone",
"Infringement Review - Parking","2018-04-23T14:22:00.000",,"New","Mail",
"Request for Parking Officer","2018-08-19T07:36:00.000","2018-08-19T10:01:00.000","Closed","Web","Melbourne"
"Tree Maintenance Request","2018-09-13T14:59:00.000","2018-10-12T14:09:00.000","Closed","Phone","Kensington"
"Rough Sleeping","2018-05-23T11:29:00.000","2018-05-28T14:26:00.000","Closed","Phone","Melbourne"
"Graffiti Removal Request","2018-02-28T11:17:00.000",,"Escalated","Web","North Melbourne"
"Abandoned Vehicles","2018-03-27T09:57:00.000","2018-04-04T10:00:00.000","Closed","Phone","Parkville"
"Request for Parking Officer","2018-09-19T11:30:00.000","2018-09-19T11:57:00.000","Closed","Phone","Parkville"
"Infringement Review - Parking","2018-02-06T09:57:00.000","2018-02-28T12:29:00.000","Closed","Mail",
"Request for Parking Officer","2018-01-16T09:47:00.000","2018-01-16T10:32:00.000","Closed","Web","Kensington"
"Infringement Review - Parking","2018-02-22T09:27:00.000",,"New","Web",
"Infringement Review - Parking","2018-04-27T10:11:00.000",,"New","Mail",
"Infringement Review - Parking","2018-01-10T10:00:00.000","2018-01-31T10:35:00.000","Closed","Mail",
"Ratepayer waste","2018-09-10T15:46:00.000","2018-09-11T10:46:00.000","Closed","Phone","Kensington"
"Infringement Review - Parking","2018-04-05T12:01:00.000","2018-05-07T11:30:00.000","Closed","Mail",
"Rough Sleeping","2018-01-12T13:53:00.000","2018-01-17T11:57:00.000","Closed","Phone",
"Request for Parking Officer","2018-07-24T07:40:00.000","2018-07-24T11:48:00.000","Closed","Web","South Yarra"
"Illegally Dumped Rubbish","2018-05-16T16:28:00.000","2018-05-17T15:54:00.000","Closed","Phone","East Melbourne"
"Rough Sleeping","2018-02-15T17:24:00.000","2018-02-19T13:58:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-01-17T13:45:00.000","2018-02-06T11:06:00.000","Closed","Web",
"Request for Parking Officer","2018-08-11T19:30:00.000","2018-08-11T21:05:00.000","Closed","Web","South Yarra"
"Request for Parking Officer","2018-03-05T10:39:00.000","2018-03-05T11:37:00.000","Closed","Web","Melbourne"
"Infringement Review - Parking","2018-07-25T16:39:00.000",,"New","Web",
"Infringement Review - Parking","2018-02-22T11:23:00.000",,"New","Web",
"Infringement Review - Parking","2018-08-15T17:05:00.000","2018-09-07T11:10:00.000","Closed","Web",
"Infringement Review - Parking","2018-05-30T20:14:00.000",,"New","Web",
"Infringement Review - Parking","2018-07-16T12:57:00.000","2018-08-09T12:01:00.000","Closed","Web",
"Graffiti Removal Request","2018-01-05T19:36:00.000","2018-01-19T08:28:00.000","Closed","Web","Melbourne"
"Infringement Review - Parking","2018-03-06T10:49:00.000","2018-04-04T12:32:00.000","Closed","Web",
"Request for Parking Officer","2018-03-05T11:35:00.000","2018-03-05T12:03:00.000","Closed","Web","Kensington"
"Infringement Review - Parking","2018-03-05T15:59:00.000",,"In Progress","Email",
"Infringement Review - Parking","2018-04-19T11:59:00.000",,"New","Web",
"Illegally Dumped Rubbish","2018-06-05T18:18:00.000","2018-06-07T08:36:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-09-10T21:16:00.000","2018-10-03T11:54:00.000","Closed","Web",
"Tree Maintenance Request","2018-05-04T08:45:00.000",,"Escalated","Phone","Carlton"
"Request for Parking Officer","2018-07-12T14:25:00.000","2018-07-12T14:50:00.000","Closed","Phone","Carlton"
"Infringement Review - Parking","2018-03-05T15:40:00.000","2018-04-04T11:33:00.000","Closed","Web",
"Request for Parking Officer","2018-01-29T11:24:00.000","2018-01-29T11:54:00.000","Closed","Phone","East Melbourne"
"Infringement Review - Parking","2018-08-06T12:40:00.000","2018-08-29T11:21:00.000","Closed","Web",
"Infringement Review - Parking","2018-01-23T13:05:00.000","2018-02-13T14:21:00.000","Closed","Web",
"Infringement Review - Parking","2018-05-10T14:34:00.000",,"New","Web",
"Infringement Review - Parking","2018-09-26T13:14:00.000","2018-10-01T09:51:00.000","Closed","Web",
"Infringement Review - Parking","2018-06-29T17:00:00.000",,"New","Web",
"Infringement Review - Parking","2018-02-08T14:01:00.000",,"Assigned for Action","Web",
"Request for Parking Officer","2018-07-11T16:36:00.000","2018-08-08T08:06:00.000","Closed","Email","Docklands"
"Request for Parking Officer","2018-07-13T09:09:00.000","2018-07-13T09:49:00.000","Closed","Phone","Melbourne"
"Request for Parking Officer","2018-03-22T08:19:00.000","2018-03-22T08:44:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-02-21T19:20:00.000",,"New","Web",
"Infringement Review - Parking","2018-05-09T15:04:00.000",,"New","Web",
"Request for Parking Officer","2018-07-06T12:00:00.000","2018-07-06T12:32:00.000","Closed","Web","Carlton"
"Request for Parking Officer","2018-06-30T07:31:00.000","2018-06-30T08:48:00.000","Closed","Web","East Melbourne"
"Illegally Dumped Rubbish","2018-05-16T13:03:00.000","2018-05-22T15:06:00.000","Closed","Proactive","Carlton"
"Illegally Dumped Rubbish","2018-07-18T11:52:00.000","2018-08-07T13:42:00.000","Closed","Email","Kensington"
"Infringement Review - Parking","2018-06-18T17:40:00.000",,"New","Web",
"Illegally Dumped Rubbish","2018-05-05T13:55:00.000","2018-05-08T08:39:00.000","Closed","Proactive","Melbourne"
"Graffiti Removal Request","2018-04-10T13:21:00.000","2018-05-02T16:18:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-08-15T17:10:00.000","2018-08-24T13:32:00.000","Closed","Web",
"Tree Maintenance Request","2018-05-08T11:32:00.000","2018-05-15T07:48:00.000","Closed","Web","North Melbourne"
"Request for Parking Officer","2018-04-10T13:40:00.000","2018-05-04T15:21:00.000","Closed","Phone",
"Request for Parking Officer","2018-08-12T14:14:00.000","2018-08-12T15:29:00.000","Closed","Web","Kensington"
"Illegally Dumped Rubbish","2018-09-21T17:09:00.000","2018-09-22T15:06:00.000","Closed","Phone","Carlton"
"Request for Parking Officer","2018-09-06T11:10:00.000","2018-09-06T12:22:00.000","Closed","Phone","Docklands"
"Infringement Review - Parking","2018-02-14T21:01:00.000","2018-03-13T13:54:00.000","Closed","Web",
"Infringement Review - Parking","2018-01-08T17:41:00.000","2018-01-30T16:16:00.000","Closed","Web",
"Request for Parking Officer","2018-06-07T15:25:00.000","2018-06-07T15:45:00.000","Closed","Web","Docklands"
"Infringement Review - Parking","2018-04-20T14:18:00.000",,"New","Web",
"Infringement Review - Parking","2018-02-27T08:35:00.000",,"New","Mail",
"Infringement Review - Parking","2018-04-12T09:15:00.000",,"New","Web",
"Graffiti Removal Request","2018-04-17T11:19:00.000",,"In Progress","Snap Send Solve","West Melbourne"
"Infringement Review - Parking","2018-09-10T14:39:00.000","2018-10-03T09:27:00.000","Closed","Web",
"Request for Parking Officer","2018-08-15T20:11:00.000","2018-08-15T20:17:00.000","Closed","Web","Docklands"
"Illegally Dumped Rubbish","2018-01-09T09:23:00.000","2018-01-12T15:32:00.000","Closed","Phone","Kensington"
"Graffiti Removal Request","2018-01-15T10:13:00.000","2018-01-17T11:06:00.000","Closed","Web","East Melbourne"
"Tree Maintenance Request","2018-05-04T08:38:00.000","2018-05-28T16:42:00.000","Closed","Phone","Carlton"
"Rough Sleeping","2018-08-19T09:59:00.000","2018-08-19T10:00:00.000","Closed","Phone","Melbourne"
"Request for Parking Officer","2018-05-25T15:55:00.000","2018-05-25T16:58:00.000","Closed","Web","Kensington"
"Infringement Review - Parking","2018-01-05T20:22:00.000","2018-01-29T15:51:00.000","Closed","Web",
"Infringement Review","2018-09-11T12:43:00.000","2018-09-11T12:43:00.000","Closed","Phone",
"Infringement Review","2018-09-04T08:41:00.000","2018-09-04T14:21:00.000","Closed","Phone",
"Syringe Management","2018-03-27T17:34:00.000","2018-03-27T19:05:00.000","Closed","Phone",
"Syringe Management","2018-05-28T11:19:00.000","2018-05-28T11:38:00.000","Closed","Phone","Carlton"
"Request for Parking Officer","2018-04-02T02:21:00.000","2018-04-02T06:54:00.000","Closed","Web","Docklands"
"Illegally Dumped Rubbish","2018-02-21T11:28:00.000","2018-02-22T11:07:00.000","Closed","Phone","Melbourne"
"Graffiti Removal Request","2018-07-23T12:10:00.000","2018-08-07T14:36:00.000","Closed","Phone","Melbourne"
"Illegally Dumped Rubbish","2018-05-21T08:48:00.000","2018-05-21T16:53:00.000","Closed","Snap Send Solve",
"Illegally Dumped Rubbish","2018-04-27T11:39:00.000","2018-04-30T09:52:00.000","Closed","Phone","East Melbourne"
"Infringement Review - Parking","2018-04-11T18:16:00.000",,"New","Web",
"Illegally Dumped Rubbish","2018-07-27T09:44:00.000",,"New","Web","North Melbourne"
"Infringement Review - Parking","2018-02-14T16:28:00.000","2018-03-13T13:24:00.000","Closed","Web",
"Infringement Review - Parking","2018-06-08T13:06:00.000",,"Escalated","Mail",
"Infringement Review - Parking","2018-03-13T09:47:00.000","2018-04-12T08:27:00.000","Closed","Mail",
"Request for Parking Officer","2018-07-22T20:08:00.000","2018-07-22T20:10:00.000","Closed","Phone","South Yarra"
"Graffiti Removal Request","2018-05-30T14:53:00.000","2018-05-31T09:57:00.000","Closed","Web","Melbourne"
"Infringement Review - Parking","2018-07-25T14:53:00.000",,"New","Web",
"Infringement Review - Parking","2018-04-18T09:29:00.000","2018-04-26T12:23:00.000","Closed","Email",
"Request for Parking Officer","2018-04-26T13:21:00.000","2018-04-26T13:38:00.000","Closed","Phone",
"Request for Parking Officer","2018-06-29T17:03:00.000","2018-06-29T20:47:00.000","Closed","Phone","Kensington"
"Infringement Review - Parking","2018-05-14T13:39:00.000",,"New","Web",
"Graffiti Removal Request","2018-07-18T16:07:00.000","2018-07-26T16:19:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-09-14T08:33:00.000","2018-10-16T08:10:00.000","Closed","Web",
"Request for Parking Officer","2018-03-28T17:00:00.000","2018-03-28T17:24:00.000","Closed","Web","Southbank"
"Infringement Review - Parking","2018-03-05T08:45:00.000","2018-04-03T14:41:00.000","Closed","Mail",
"Request for Parking Officer","2018-05-17T11:33:00.000","2018-05-17T15:21:00.000","Closed","Web","Kensington"
"Graffiti Removal Request","2018-06-18T20:56:00.000","2018-06-22T12:58:00.000","Closed","Snap Send Solve","Melbourne"
"Infringement Review - Parking","2018-02-16T09:27:00.000",,"Escalated","Mail",
"Request for Parking Officer","2018-03-23T22:06:00.000","2018-03-23T23:30:00.000","Closed","Web","West Melbourne"
"Tree Maintenance Request","2018-04-09T16:30:00.000",,"In Progress","Snap Send Solve",
"Request for Parking Officer","2018-06-21T14:18:00.000","2018-06-21T14:21:00.000","Closed as Duplicate","Web","Carlton"
"Infringement Review - Parking","2018-07-24T10:46:00.000",,"New","Web",
"Infringement Review - Parking","2018-05-08T08:59:00.000",,"New","Web",
"Tree Maintenance Request","2018-04-23T16:54:00.000",,"In Progress","Email",
"Infringement Review - Parking","2018-06-05T10:17:00.000","2018-07-02T10:51:00.000","Closed","Web",
"Request for Parking Officer","2018-01-29T08:05:00.000","2018-01-29T08:07:00.000","Closed as Duplicate","Phone","East Melbourne"
"Request for Parking Officer","2018-08-27T19:44:00.000","2018-09-04T14:14:00.000","Closed","Snap Send Solve",
"Request for Parking Officer","2018-09-23T17:18:00.000","2018-09-23T18:02:00.000","Closed","Web","Melbourne"
"Request for Parking Officer","2018-08-26T14:37:00.000","2018-08-26T15:40:00.000","Closed","Web","Kensington"
"Graffiti Removal Request","2018-03-31T15:32:00.000","2018-04-09T09:32:00.000","Closed","Web","Kensington"
"Illegally Dumped Rubbish","2018-02-15T12:16:00.000","2018-02-16T13:59:00.000","Closed","Proactive","Melbourne"
"Request for Parking Officer","2018-03-19T11:17:00.000","2018-03-19T11:22:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-02-08T09:03:00.000","2018-03-06T12:50:00.000","Closed","Web",
"Request for Parking Officer","2018-05-07T14:27:00.000","2018-05-07T14:36:00.000","Closed as Duplicate","Phone","North Melbourne"
"Infringement Review - Parking","2018-04-23T13:07:00.000",,"New","Mail",
"Infringement Review - Parking","2018-02-12T17:13:00.000","2018-03-07T14:55:00.000","Closed","Web",
"Infringement Review - Parking","2018-04-19T08:57:00.000",,"New","Mail",
"Graffiti Removal Request","2018-06-10T12:21:00.000","2018-06-26T13:25:00.000","Closed","Web","Melbourne"
"Infringement Review - Parking","2018-02-14T12:47:00.000","2018-03-09T14:31:00.000","Closed","Web",
"Tree Maintenance Request","2018-07-25T12:28:00.000","2018-08-09T15:05:00.000","Closed","Phone",
"Infringement Review - Parking","2018-04-16T11:06:00.000",,"New","Web",
"Infringement Review - Parking","2018-07-30T14:21:00.000",,"New","Web",
"Infringement Review - Parking","2018-06-06T14:17:00.000","2018-06-21T11:14:00.000","Closed","Email",
"Infringement Review - Parking","2018-08-01T16:25:00.000","2018-08-28T10:34:00.000","Closed","Web",
"Infringement Review - Parking","2018-05-16T10:39:00.000",,"New","Web",
"Abandoned Vehicles","2018-01-21T10:49:00.000","2018-02-01T15:21:00.000","Closed","Web","East Melbourne"
"Infringement Review - Parking","2018-08-29T23:23:00.000","2018-09-21T15:36:00.000","Closed","Web",
"Request for Parking Officer","2018-01-30T12:08:00.000","2018-01-30T12:27:00.000","Closed","Web","Carlton"
"Infringement Review - Parking","2018-06-22T17:53:00.000",,"New","Web",
"Infringement Review - Parking","2018-09-24T20:56:00.000",,"New","Web",
"Tree Maintenance Request","2018-09-06T07:48:00.000","2018-09-07T15:16:00.000","Closed","Snap Send Solve",
"Infringement Review - Parking","2018-02-10T14:04:00.000","2018-03-06T10:40:00.000","Closed","Web",
"Request for Parking Officer","2018-04-06T11:53:00.000","2018-04-06T12:33:00.000","Closed","Web","East Melbourne"
"Request for Parking Officer","2018-04-26T13:29:00.000","2018-04-26T15:13:00.000","Closed","Web","East Melbourne"
"Request for Parking Officer","2018-04-30T12:08:00.000","2018-04-30T13:07:00.000","Closed","Web","Kensington"
"Rough Sleeping","2018-03-22T10:38:00.000","2018-03-22T10:39:00.000","Closed","Phone","Melbourne"
"Graffiti Removal Request","2018-09-03T09:35:00.000","2018-09-12T11:04:00.000","Closed","Phone","South Yarra"
"Infringement Review - Parking","2018-05-29T08:55:00.000",,"New","Web",
"Rough Sleeping","2018-08-17T13:52:00.000","2018-08-20T17:17:00.000","Closed","Phone","Melbourne"
"Tree Maintenance Request","2018-01-18T14:19:00.000","2018-01-30T15:00:00.000","Closed","Phone","Melbourne"
"Request for Parking Officer","2018-05-21T08:47:00.000","2018-05-21T09:48:00.000","Closed","Web","Melbourne"
"Rough Sleeping","2018-07-20T16:09:00.000","2018-07-24T17:22:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-07-03T10:01:00.000","2018-07-30T10:09:00.000","Closed","Mail",
"Request for Parking Officer","2018-06-09T12:10:00.000","2018-06-09T13:37:00.000","Closed","Web","East Melbourne"
"Infringement Review - Parking","2018-07-09T09:48:00.000","2018-08-09T09:40:00.000","Closed","Mail",
"Request for Parking Officer","2018-03-13T10:05:00.000","2018-03-13T10:28:00.000","Closed","Web","Parkville"
