"year_of_birth","sex","city","state","zip","residence_county","license_class","status","privilege","year_of_expiration"
"1989",,"BROOKLYN","NY","11214","KINGS","D","VALID","FULL","2022"
"1950",,"TEMPE","AZ","85284","OUT-OF-STATE","A","SURRENDERED","FULL","2022"
"1985",,"HUNTERSVILLE","NC","28078","OUT-OF-STATE","D","VALID","FULL","2022"
"1981",,"LE ROY","NY","14482","GENESEE","D","VALID","FULL","2026"
"1969",,"POUGHKEEPSIE","NY","12603","DUTCHESS","D","VALID","FULL","2027"
"1951",,"BRONX","NY","10462","BRONX","N","SUSPENDED","FULL","2027"
"1977",,"IRVING","NY","14081","ERIE","D","VALID","FULL","2024"
"1948",,"CHESTER","NY","10918","ORANGE","D","VALID","FULL","2026"
"1979",,"NEW YORK","NY","10019","NEW YORK","D","VALID","FULL","2024"
"1970",,"MUNNSVILLE","NY","13409","MADISON","D","SURRENDERED","FULL","2027"
"1964",,"WHITE PLAINS","NY","10605","WESTCHESTER","D","VALID","FULL","2027"
"2001",,"BAY SHORE","NY","11706","SUFFOLK","D","VALID","FULL","2022"
"1935",,"SPRINGVILLE","NY","14141","ERIE","D","VALID","FULL","2028"
"1987",,"FLUSHING","NY","11367","QUEENS","D","VALID","FULL","2022"
"1942",,"OSSINING","NY","10562","WESTCHESTER","D","VALID","FULL","2028"
"1965",,"PANAMA","NY","14767","CHAUTAUQUA","E","VALID","FULL","2027"
"1977",,"EAST ELMHURST","NY","11370","QUEENS","D","VALID","FULL","2024"
"1999",,"YORKSHIRE","NY","14173","CATTARAUGUS","D PERMIT","VALID","FULL","2022"
"1927",,"POUGHKEEPSIE","NY","12601","DUTCHESS","ID ONLY","SURRENDERED","FULL","2027"
"1983",,"BROOKLYN","NY","11215","KINGS","D","VALID","FULL","2022"
"1958",,"SPRING VALLEY","NY","10977","ROCKLAND","D","SUSPENDED","FULL","2022"
"1968",,"EAST WORCESTER","NY","12064","OTSEGO","D","VALID","FULL","2027"
"1966",,"SAG HARBOR","NY","11963","SUFFOLK","D","VALID","FULL","2028"
"1947",,"MATTITUCK","NY","11952","SUFFOLK","D","VALID","FULL","2028"
"1955",,"GUILDERLAND CENTER","NY","12085","ALBANY","D","VALID","FULL","2028"
"1950",,"BRONX","NY","10465","BRONX","D","VALID","FULL","2025"
"1992",,"GLENDALE","NY","11385","QUEENS","A","VALID","FULL","2026"
"1943",,"ROCKAWAY PARK","NY","11694","QUEENS","ID ONLY","NONE","NONE","2025"
"1973",,"MILLBROOK","NY","12545","DUTCHESS","D","VALID","FULL","2027"
"1995",,"SOUTH COLTON","NY","13687","ST. LAWRENCE","B","VALID","FULL","2024"
"1947",,"HARTFORD","NY","12838","WASHINGTON","D","VALID","FULL","2029"
"1953",,"WAPPINGERS FALLS","NY","12590","DUTCHESS","A","VALID","FULL","2027"
"1956",,"WOODSIDE","NY","11377","QUEENS","D","VALID","FULL","2027"
"1962",,"REMSENBURG","NY","11960","SUFFOLK","D","VALID","FULL","2025"
"1947",,"RICHFLD SPGS","NY","13439","OTSEGO","D","VALID","FULL","2025"
"1955",,"BROOKLYN","NY","11209","KINGS","D","VALID","FULL","2027"
"1984",,"ALBION","NY","14411","ORLEANS","D","VALID","FULL","2029"
"1950",,"WATERLOO","NY","13165","SENECA","D","VALID","FULL","2025"
"1951",,"BEAVER FALLS","NY","13305","LEWIS","B","VALID","FULL","2027"
"1986",,"SCHROON LAKE","NY","12870","ESSEX","D","VALID","FULL","2026"
"1997",,"BURKE","NY","12917","UNKNOWN","D","VALID","FULL","2026"
"1951",,"EAST HAMPTON","NY","11937","SUFFOLK","D","VALID","FULL","2027"
"1978",,"DEPOSIT","NY","13754","BROOME","D","VALID","FULL","2028"
"1992",,"NEW YORK","NY","10028","NEW YORK","D","VALID","FULL","2024"
"1980",,"CORTLAND","NY","13045","CORTLAND","D","VALID","FULL","2025"
"1988",,"WEST HEMPSTEAD","NY","11552","NASSAU","D","VALID","FULL","2025"
"1960",,"BRONX","NY","10455","BRONX","ID ONLY","SURRENDERED","FULL","2024"
"1986",,"HAVERSTRAW","NY","10927","ROCKLAND","D","VALID","FULL","2024"
"1976",,"ISLIP TERRACE","NY","11752","SUFFOLK","D","VALID","FULL","2026"
"1986",,"BROOKLYN","NY","11213","KINGS","E","VALID","FULL","2025"
"1995",,"BUFFALO","NY","14215","ERIE","ID ONLY","SUSPENDED","FULL","2026"
"1980",,"POUGHKEEPSIE","NY","12601","DUTCHESS","D","VALID","FULL","2029"
"2005",,"OLEAN","NY","14760","CATTARAUGUS","D","VALID","FULL","2026"
"1959",,"TROY","NY","12180","RENSSELAER","E","VALID","FULL","2028"
"1977",,"ASTORIA","NY","11105","QUEENS","E","VALID","FULL","2027"
"1976",,"BRONX","NY","10452","BRONX","ID ONLY","NONE","NONE","2026"
"1978",,"DRYDEN","NY","13053","TOMPKINS","ID ONLY","REVOKED","FULL","2030"
"1960",,"NORTHPORT","NY","11768","SUFFOLK","D","VALID","FULL","2025"
"1959",,"ALBANY","NY","12206","ALBANY","ID ONLY","NONE","NONE","2025"
"1944",,"CROGHAN","NY","13327","LEWIS","D","VALID","FULL","2027"
"2001",,"JORDAN","NY","13080","ONONDAGA","D","VALID","FULL","2022"
"1952",,"CAPE VINCENT","NY","13618","JEFFERSON","D PERMIT","VALID","FULL","2026"
"1951",,"SARATOGA SPRINGS","NY","12866","SARATOGA","D","VALID","FULL","2026"
"1968",,"VALATIE","NY","12184","COLUMBIA","D","VALID","FULL","2026"
"2005",,"MIDDLEPORT","NY","14105","NIAGARA","DJ PERMIT","VALID","FULL","2026"
"1996",,"EAST ELMHURST","NY","11370","QUEENS","D","SUSPENDED","FULL","2027"
"1948",,"PORT EWEN","NY","12466","ULSTER","D","VALID","FULL","2025"
"1983",,"CAMBRIA HTS","NY","11411","QUEENS","D","VALID","FULL","2029"
"1970",,"GLENWOOD LNDG","NY","11547","NASSAU","A","VALID","FULL","2027"
"1989",,"BROOKLYN","NY","11230","KINGS","D","VALID","FULL","2023"
"1993",,"NEW ROCHELLE","NY","10805","WESTCHESTER","ID ONLY","SURRENDERED","FULL","2027"
"1971",,"PINE BUSH","NY","12566","ULSTER","DM","VALID","FULL","2027"
"1994",,"BAY SHORE","NY","11706","SUFFOLK","D","VALID","FULL","2025"
"1958",,"NEW YORK","NY","10024","NEW YORK","ID ONLY","NONE","NONE","2025"
"1945",,"CHITTENANGO","NY","13037","MADISON","D","VALID","FULL","2028"
"1979",,"JAMAICA","NY","11433","QUEENS","D","VALID","FULL","2030"
"1971",,"RIDGEWOOD","NY","11385","QUEENS","D","VALID","FULL","2025"
"1989",,"BRONX","NY","10468","BRONX","D","VALID","FULL","2029"
"1995",,"MEDINA","NY","14103","ORLEANS","D","VALID","FULL","2029"
"1939",,"NIAGARA FALLS","NY","14304","NIAGARA","D","VALID","FULL","2026"
"1972",,"BROOKLYN","NY","11229","KINGS","ID ONLY","REVOKED","FULL","2029"
"1998",,"ROCHESTER","NY","14621","MONROE","D","VALID","FULL","2029"
"2002",,"BROOKLYN","NY","11215","KINGS","D PERMIT","VALID","FULL","2024"
"1963",,"CORONA","NY","11368","QUEENS","D","VALID","FULL","2029"
"1984",,"OGDENSBURG","NY","13669","ST. LAWRENCE","D","VALID","FULL","2029"
"1962",,"NEWBURGH","NY","12550","ORANGE","D","VALID","FULL","2027"
"1962",,"CAMPBELL HALL","NY","10916","ORANGE","DM","VALID","FULL","2024"
"1947",,"NORTHPORT","NY","11768","SUFFOLK","D","VALID","FULL","2026"
"1996",,"HOLBROOK","NY","11741","SUFFOLK","D","VALID","FULL","2027"
"1968",,"NEW YORK","NY","10028","NEW YORK","D","VALID","FULL","2029"
"1993",,"STATEN ISLAND","NY","10308","RICHMOND","D","VALID","FULL","2030"
"1926",,"MAYFIELD","NY","12117","FULTON","D","VALID","FULL","2027"
"1993",,"BROOKLYN","NY","11225","KINGS","D","VALID","FULL","2026"
"1986",,"YONKERS","NY","10701","WESTCHESTER","D","VALID","FULL","2023"
"1932",,"SPARROWBUSH","NY","12780","ORANGE","ID ONLY","SURRENDERED","FULL","2030"
"1966",,"NEW YORK","NY","10026","NEW YORK","D PERMIT","SURRENDERED","FULL","2025"
"1964",,"JACKSON HEIGHTS","NY","11372","QUEENS","ID ONLY","NONE","NONE","2028"
"1966",,"OZONE PARK","NY","11417","QUEENS","E","VALID","FULL","2023"
"1991",,"ROCKVILLE CENTRE","NY","11570","NASSAU","ID ONLY","NONE","NONE","2024"
"1985",,"POTSDAM","NY","13676","ST. LAWRENCE","D","VALID","FULL","2026"
"1988",,"BUFFALO","NY","14214","ERIE","D","VALID","FULL","2025"
"1993",,"NEW YORK","NY","10040","NEW YORK","D","VALID","FULL","2024"
"1968",,"BRONX","NY","10466","BRONX","ID ONLY","NONE","NONE","2028"
"2001",,"BROOKLYN","NY","11211","KINGS","D","VALID","FULL","2024"
"1961",,"NUNDA","NY","14517","LIVINGSTON","D","SUSPENDED","FULL","2026"
"1985",,"EVANS MILLS","NY","13637","JEFFERSON","A","VALID","FULL","2024"
"2004",,"TRUMANSBURG","NY","14886","SCHUYLER","DJ","VALID","FULL","2025"
"1973",,"STONY POINT","NY","10980","ROCKLAND","A","VALID","FULL","2026"
"1990",,"BROOKLYN","NY","11236","KINGS","D","VALID","FULL","2026"
"1972",,"WATERTOWN","NY","13601","JEFFERSON","D","VALID","FULL","2026"
"1992",,"BRONX","NY","10468","BRONX","E","VALID","FULL","2028"
"1992",,"BROOKLYN","NY","11203","KINGS","D","VALID","FULL","2026"
"1949",,"BAYSIDE","NY","11360","QUEENS","D","VALID","FULL","2027"
"1998",,"ALTAMONT","NY","12009","ALBANY","ID ONLY","NONE","NONE","2023"
"1973",,"RIDGEWOOD","NY","11385","QUEENS","ID ONLY","NONE","NONE","2029"
"2003",,"AUBURN","NY","13021","CAYUGA","D","VALID","FULL","2024"
"1946",,"WEST FALLS","NY","14170","ERIE","D","VALID","FULL","2028"
"1984",,"SEFFNER","FL","33584","OUT-OF-STATE","DM","VALID","FULL","2027"
"1974",,"JAMAICA","NY","11434","QUEENS","ID ONLY","SURRENDERED","FULL","2026"
"1994",,"RIVERHEAD","NY","11901","SUFFOLK","ID ONLY","REVOKED","FULL","2022"
"1940",,"BROOKLYN","NY","11215","KINGS","ID ONLY","NONE","NONE","2030"
"1969",,"CARTHAGE","NY","13619","JEFFERSON","D","VALID","FULL","2026"
"1958",,"BRONX","NY","10457","BRONX","D","VALID","FULL","2026"
"1975",,"BEARSVILLE","NY","12409","ULSTER","D","VALID","FULL","2025"
"1986",,"CALEDONIA","NY","14423","LIVINGSTON","D","VALID","FULL","2023"
"1947",,"POINT LOOKOUT","NY","11569","NASSAU","D","VALID","FULL","2026"
"1992",,"MIDDLETOWN","NY","10940","ORANGE","D","VALID","FULL","2029"
"1966",,"CARMEL","NY","10512","PUTNAM","ID ONLY","NONE","NONE","2026"
"1988",,"BROOKLYN","NY","11235","KINGS","E","VALID","FULL","2025"
"1952",,"RICHMOND HILL","NY","11418","QUEENS","ID ONLY","NONE","NONE","2029"
"1968",,"FAIRPORT","NY","14450","MONROE","D","VALID","FULL","2029"
"1979",,"ERIN","NY","14838","CHEMUNG","DM","VALID","FULL","2027"
"2005",,"FRANKLIN SQ","NY","11010","NASSAU","DJ PERMIT","VALID","FULL","2026"
"1939",,"THORNWOOD","NY","10594","WESTCHESTER","D","VALID","FULL","2026"
"1992",,"BRONX","NY","10468","BRONX","D","VALID","FULL","2028"
"1969",,"INWOOD","NY","11096","NASSAU","D","VALID","FULL","2029"
"1996",,"CINCINNATUS","NY","13040","CORTLAND","D","VALID","FULL","2025"
"1998",,"JAY","NY","12941","ESSEX","D","VALID","FULL","2027"
"1997",,"YONKERS","NY","10701","WESTCHESTER","D","VALID","FULL","2026"
"1961",,"SCARSDALE","NY","10583","WESTCHESTER","D","VALID","FULL","2027"
"1959",,"NESCONSET","NY","11767","SUFFOLK","D PERMIT","VALID","FULL","2024"
"1938",,"BRONX","NY","10460","BRONX","ID ONLY","NONE","NONE","2024"
"1944",,"EAST AURORA","NY","14052","ERIE","D","VALID","FULL","2027"
"1986",,"TROY","NY","12180","RENSSELAER","D","VALID","FULL","2028"
"1968",,"CLINTON","NY","13323","ONEIDA","D","VALID","FULL","2027"
"1957",,"BAY SHORE","NY","11706","SUFFOLK","D","VALID","FULL","2029"
"1993",,"CAMILLUS","NY","13031","ONONDAGA","D","VALID","FULL","2025"
"1970",,"WARRENSBURG","NY","12885","WARREN","D","VALID","FULL","2026"
"1957",,"JOHNSBURG","NY","12843","WARREN","D","VALID","FULL","2025"
"2002",,"FINDLEY LAKE","NY","14736","CHAUTAUQUA","D","VALID","FULL","2023"
"1961",,"ESPERANCE","NY","12066","SCHOHARIE","D","VALID","FULL","2029"
"1998",,"OAKDALE","NY","11769","SUFFOLK","D","VALID","FULL","2027"
"1959",,"MAYVILLE","NY","14757","CHAUTAUQUA","D","VALID","FULL","2025"
"1975",,"LAWTONS","NY","14091","ERIE","D","VALID","FULL","2025"
"1940",,"WARWICK","NY","10990","ORANGE","D","VALID","FULL","2027"
"1977",,"TARRYTOWN","NY","10591","WESTCHESTER","D","VALID","FULL","2022"
"1995",,"ITHACA","NY","14850","TOMPKINS","D","VALID","FULL","2024"
"1986",,"ROCHESTER","NY","14621","MONROE","D","VALID","FULL","2030"
"1955",,"MINEOLA","NY","11501","NASSAU","ID ONLY","NONE","NONE","2024"
"1948",,"QUEENSBURY","NY","12804","WARREN","D","VALID","FULL","2027"
"1952",,"DOWNSVILLE","NY","13755","DELAWARE","D","VALID","FULL","2028"
"1997",,"DANNEMORA","NY","12929","CLINTON","D","VALID","FULL","2026"
"1989",,"BAY SHORE","NY","11706","SUFFOLK","D","VALID","FULL","2027"
"1997",,"BROOKLYN","NY","11235","KINGS","E","VALID","FULL","2026"
"1964",,"KEENE","NY","12942","ESSEX","D","VALID","FULL","2027"
"1993",,"INLET","NY","13360","HAMILTON","D","VALID","FULL","2029"
"1955",,"REMSEN","NY","13438","ONEIDA","D","VALID","FULL","2028"
"1965",,"AUSABLE FORKS","NY","12912","ESSEX","D","VALID","FULL","2027"
"1946",,"WALLKILL","NY","12589","ULSTER","D","VALID","FULL","2028"
"1939",,"ROCKY POINT","NY","11778","SUFFOLK","D","VALID","FULL","2025"
"1959",,"PORT CRANE","NY","13833","BROOME","D","VALID","FULL","2027"
"1944",,"CAPE VINCENT","NY","13618","JEFFERSON","DM","VALID","FULL","2024"
"1987",,"NORFOLK","NY","13667","ST. LAWRENCE","D","VALID","FULL","2024"
"1975",,"CANAJOHARIE","NY","13317","MONTGOMERY","D","VALID","FULL","2025"
"1979",,"BREINIGSVILLE","PA","18031","OUT-OF-STATE","DM","VALID","FULL","2027"
"1963",,"HAUPPAUGE","NY","11788","SUFFOLK","D","VALID","FULL","2027"
"1972",,"GABRIELS","NY","12939","FRANKLIN","D","VALID","FULL","2026"
"1993",,"HUNTINGTON","NY","11743","SUFFOLK","D","VALID","FULL","2022"
"1989",,"ROUND LAKE","NY","12151","SARATOGA","B","VALID","FULL","2026"
"1973",,"RAVENA","NY","12143","ALBANY","D","VALID","FULL","2023"
"1932",,"KINGSTON","NY","12401","ULSTER","D","VALID","FULL","2026"
"1966",,"REGO PARK","NY","11374","QUEENS","D","VALID","FULL","2026"
"1972",,"CIRCLEVILLE","NY","10919","ORANGE","D","VALID","FULL","2026"
"2008",,"WAPPINGERS FLS","NY","12590","DUTCHESS","ID ONLY","NONE","NONE","2024"
"1986",,"BROOKLYN","NY","11206","KINGS","DM","VALID","FULL","2028"
"1974",,"NEW YORK","NY","10002","NEW YORK","D PERMIT","VALID","FULL","2023"
"1989",,"ARLINGTON","MA","02476","OUT-OF-STATE","D","VALID","FULL","2024"
"1983",,"BROOKLYN","NY","11238","KINGS","D","VALID","FULL","2022"
"1955",,"GREENPORT","NY","11944","SUFFOLK","DM","VALID","FULL","2026"
"1970",,"CHESTER","NY","10918","ORANGE","DM","VALID","FULL","2028"
"1982",,"YORKTOWN HTS","NY","10598","WESTCHESTER","D","VALID","FULL","2027"
"1943",,"LAKE GEORGE","NY","12845","WARREN","D","VALID","FULL","2026"
"1983",,"SCOTTSVILLE","NY","14546","MONROE","D","VALID","FULL","2030"
"1950",,"ALBION","NY","14411","ORLEANS","D","VALID","FULL","2028"
"1950",,"NEW YORK","NY","10028","ALBANY","D","VALID","FULL","2029"
"1989",,"HOLLOWVILLE","NY","12530","COLUMBIA","D","VALID","FULL","2024"
"1976",,"RIVERHEAD","NY","11901","SUFFOLK","D","VALID","FULL","2024"
"1960",,"MAINE","NY","13802","BROOME","D","VALID","FULL","2026"
"1963",,"BROOKLYN","NY","11208","KINGS","D","VALID","FULL","2024"
"1988",,"QUEENS VILLAGE","NY","11428","QUEENS","D","SUSPENDED","RESTRICTED","2027"
"2000",,"WALTON","NY","13856","DELAWARE","D","VALID","FULL","2030"
"1969",,"BAYSHORE","NY","11706","SUFFOLK","D","VALID","FULL","2027"
"1950",,"OYSTER BAY","NY","11771","NASSAU","D","VALID","FULL","2026"
"1964",,"WESTBURY","NY","11590","NASSAU","D","VALID","FULL","2028"
"1992",,"WHITE PLAINS","NY","10606","WESTCHESTER","D","SURRENDERED","FULL","2026"
"1958",,"WALLKILL","NY","12589","ULSTER","D","VALID","FULL","2028"
"1997",,"BRONX","NY","10465","BRONX","D","VALID","FULL","2028"
"1968",,"KIRKWOOD","NY","13795","BROOME","D","VALID","FULL","2028"
"2004",,"COLLEGE POINT","NY","11356","QUEENS","D PERMIT","VALID","FULL","2026"
"1945",,"SOUTH WALES","NY","14139","ERIE","D","VALID","FULL","2026"
"2003",,"ST JOHNSVILLE","NY","13452","FULTON","D PERMIT","VALID","FULL","2025"
"1983",,"JAMAICA","NY","11436","QUEENS","D","VALID","FULL","2029"
"1982",,"WEST HARRISON","NY","10604","WESTCHESTER","D","VALID","FULL","2027"
"1928",,"BINGHAMTON","NY","13905","BROOME","D","VALID","FULL","2026"
"1979",,"BROOKLYN","NY","11214","KINGS","ID ONLY","NONE","NONE","2030"
"1959",,"BROOKLYN","NY","11233","KINGS","D","VALID","FULL","2029"
"1988",,"ROANOKE","TX","76262","OUT-OF-STATE","D","VALID","FULL","2024"
"1967",,"ELMIRA","NY","14903","CHEMUNG","BM","VALID","FULL","2028"
"1921",,"PARISH","NY","13131","OSWEGO","ID ONLY","SURRENDERED","FULL","2022"
"1963",,"NORTH PALM BEACH","FL","33408","OUT-OF-STATE","D","VALID","FULL","2029"
"1947",,"CHAUMONT","NY","13622","JEFFERSON","D","VALID","FULL","2028"
"1950",,"RENSSELAEER","NY","12144","RENSSELAER","D","SURRENDERED","FULL","2026"
"1992",,"CINCINNATI","OH","45239","OUT-OF-STATE","D PERMIT","VALID","FULL","2022"
"2002",,"BROOKLYN","NY","11208","KINGS","D PERMIT","VALID","FULL","2026"
"1990",,"BALLSTON SPA","NY","12020","SARATOGA","D","VALID","FULL","2027"
"1982",,"QUEENS VILLAGE","NY","11427","QUEENS","D","VALID","FULL","2028"
"1978",,"ROSLYN HEIGHTS","NY","11577","NASSAU","D","VALID","FULL","2028"
"1970",,"STATEN ISLAND","NY","10314","RICHMOND","D","VALID","FULL","2028"
"1986",,"BROOKLYN","NY","11222","KINGS","D","VALID","FULL","2023"
"2005",,"SCHUYLERVILLE","NY","12871","SARATOGA","DJ","VALID","FULL","2026"
"1954",,"HOWARD BEACH","NY","11414","QUEENS","D","VALID","FULL","2027"
"1981",,"BRIARCLIFF MANOR","NY","10510","WESTCHESTER","D","VALID","FULL","2023"
"1981",,"FRESH MEADOWS","NY","11365","QUEENS","D","VALID","FULL","2026"
"1955",,"SOMERS","NY","10589","WESTCHESTER","D","VALID","FULL","2028"
"1950",,"MASTIC BEACH","NY","11951","SUFFOLK","D","VALID","FULL","2025"
"1986",,"ST JOHNSVILLE","NY","13452","FULTON","D","VALID","FULL","2024"
"1976",,"CENTRAL ISLIP","NY","11722","SUFFOLK","D","VALID","FULL","2027"
"2002",,"CLYMER","NY","14724","CHAUTAUQUA","D","VALID","FULL","2023"
"1988",,"PENFIELD","NY","14526","MONROE","D","VALID","FULL","2024"
"1981",,"ESOPUS","NY","12429","ULSTER","D","VALID","FULL","2026"
"1972",,"PORT EWEN","NY","12466","ULSTER","DM","VALID","FULL","2026"
"1994",,"HAGAMAN","NY","12086","MONTGOMERY","N","VALID","FULL","2023"
"1982",,"SALT POINT","NY","12578","DUTCHESS","ID ONLY","NONE","NONE","2023"
"1947",,"HOPEWELL JCT","NY","12533","DUTCHESS","D","VALID","FULL","2026"
"1948",,"POTSDAM","NY","13676","ST. LAWRENCE","DM","VALID","FULL","2029"
"1937",,"CONESUS","NY","14435","LIVINGSTON","D","VALID","FULL","2025"
"1960",,"NARROWSBURG","NY","12764","SULLIVAN","D","VALID","FULL","2023"
"1956",,"MACEDON","NY","14502","WAYNE","D","VALID","FULL","2027"
"1962",,"FLUSHING","NY","11354","QUEENS","D","SURRENDERED","FULL","2025"
"1992",,"SYRACUSE","NY","13207","ONONDAGA","D","VALID","FULL","2023"
"1956",,"MOUNT VERNON","NY","10550","WESTCHESTER","ID ONLY","SURRENDERED","FULL","2024"
"1986",,"BAYSIDE","NY","11361","QUEENS","D","SURRENDERED","FULL","2025"
"2001",,"BROOKLYN","NY","11226","KINGS","D","VALID","FULL","2025"
"1944",,"MILFORD","NY","13807","OTSEGO","D","VALID","FULL","2027"
"1966",,"NEW YORK","NY","10040","NEW YORK","E","VALID","FULL","2028"
"1980",,"BROOKLYN","NY","11207","KINGS","D","VALID","FULL","2022"
"1967",,"MONTGOMERY","NY","12549","ORANGE","D","VALID","FULL","2029"
"1963",,"MINEOLA","NY","11501","NASSAU","D","VALID","FULL","2028"
"2004",,"PRT WASHINGTN","NY","11050","NASSAU","D","VALID","FULL","2025"
"1944",,"LANSING","NY","14882","TOMPKINS","DM","VALID","FULL","2028"
"1980",,"MAHOPAC","NY","10541","PUTNAM","D","VALID","FULL","2025"
"1988",,"KINGSTON","NY","12401","ULSTER","D","VALID","FULL","2026"
"1973",,"BARDONIA","NY","10954","ROCKLAND","D","VALID","FULL","2026"
"1972",,"EAST CONCORD","NY","14055","ERIE","D","VALID","FULL","2027"
"1968",,"OWEGO","NY","13827","TIOGA","D","VALID","FULL","2027"
"1987",,"MONSEY","NY","10952","ROCKLAND","D","VALID","FULL","2024"
"1960",,"NEW YORK","NY","10040","NEW YORK","D","VALID","FULL","2025"
"1983",,"EAST ELMHURST","NY","11369","QUEENS","D","SURRENDERED","FULL","2024"
"1993",,"BETHPAGE","NY","11714","NASSAU","D","VALID","FULL","2030"
"1989",,"OAKLAND GARDENS","NY","11364","QUEENS","D","VALID","FULL","2023"
"1960",,"SPRNGFLD GDNS","NY","11413","QUEENS","D","VALID","FULL","2029"
"1980",,"AQUEBOGUE","NY","11931","SUFFOLK","D","VALID","FULL","2024"
"1984",,"JACKSON HTS","NY","11372","QUEENS","E","VALID","FULL","2030"
"1941",,"BAINBRIDGE","NY","13733","CHENANGO","DM","VALID","FULL","2027"
"1990",,"BURDETT","NY","14818","SCHUYLER","D","VALID","FULL","2027"
"1957",,"FLUSHING","NY","11367","QUEENS","ID ONLY","NONE","NONE","2032"
"1945",,"NEW YORK","NY","10128","NEW YORK","D","VALID","FULL","2028"
"1985",,"KENOZA LAKE","NY","12750","SULLIVAN","D","VALID","FULL","2027"
"1969",,"BRONX","NY","10461","BRONX","E","VALID","FULL","2027"
"1954",,"JAMESVILLE","NY","13078","ONONDAGA","D","VALID","FULL","2028"
"1963",,"HUBBARDSVILLE","NY","13355","MADISON","D","VALID","FULL","2027"
"1969",,"CONSTANTIA","NY","13044","OSWEGO","D","VALID","FULL","2027"
"1948",,"WARSAW","NY","14569","WYOMING","D","VALID","FULL","2026"
"1984",,"FRANKLIN SQUARE","NY","11010","NASSAU","DM","SURRENDERED","FULL","2022"
"1987",,"LOGANVILLE","GA","30052","OUT-OF-STATE","D","SURRENDERED","FULL","2022"
"1991",,"INKSTER","MI","48141","OUT-OF-STATE","D PERMIT","VALID","FULL","2023"
"1985",,"GLENDALE","CA","91202","OUT-OF-STATE","D","VALID","FULL","2022"
"1980",,"SYRACUSE","NY","13205","ONONDAGA","D PERMIT","SUSPENDED","FULL","2022"
"1998",,"LONG IS CITY","NY","11101","QUEENS","D PERMIT","VALID","FULL","2026"
"1979",,"BROOKLYN","NY","11229","KINGS","D","VALID","FULL","2024"
"1959",,"RANDOLPH","NY","14772","CATTARAUGUS","D","VALID","FULL","2026"
"1945",,"EAST MEREDITH","NY","13757","DELAWARE","D","VALID","FULL","2028"
"1998",,"PORT LEYDEN","NY","13433","LEWIS","D","VALID","FULL","2027"
"1940",,"WILLOW","NY","12495","ULSTER","D","VALID","FULL","2026"
"1948",,"WILSON","NY","14172","NIAGARA","D","VALID","FULL","2026"
"1966",,"FORT MONTGOMERY","NY","10922","ORANGE","D","VALID","FULL","2028"
"1997",,"MATTITUCK","NY","11952","SUFFOLK","D","VALID","FULL","2026"
"1970",,"BRONX","NY","10462","BRONX","E","VALID","FULL","2028"
"1984",,"FREEPORT","NY","11520","NASSAU","D","VALID","FULL","2029"
"1987",,"MONTICELLO","NY","12701","SULLIVAN","D","VALID","FULL","2024"
"1981",,"BRONX","NY","10468","BRONX","D","VALID","FULL","2030"
"1958",,"ROCKVILLE CENTRE","NY","11570","NASSAU","D","VALID","FULL","2024"
"1946",,"GOSHEN","NY","10924","ORANGE","D","VALID","FULL","2027"
"1976",,"EAST HAMPTON","NY","11937","SUFFOLK","D","VALID","FULL","2023"
"1958",,"SMYRNA","NY","13464","CHENANGO","AM","VALID","FULL","2028"
"1954",,"PORT EWEN","NY","12466","ULSTER","D","VALID","FULL","2026"
"1954",,"SARANAC","NY","12981","CLINTON","D","VALID","FULL","2027"
"1988",,"BOLTON LANDING","NY","12814","WARREN","D","VALID","FULL","2028"
"1970",,"CHESTER","NY","10918","ORANGE","D","VALID","FULL","2028"
"1937",,"E WORCESTER","NY","12064","OTSEGO","D","VALID","FULL","2027"
"1961",,"CALVERTON","NY","11933","SUFFOLK","D","VALID","FULL","2023"
"1985",,"BROOKLYN","NY","11213","KINGS","D","VALID","FULL","2027"
"1986",,"WURTSBORO","NY","12790","SULLIVAN","AM","VALID","FULL","2024"
"1953",,"FORT MONTGOMERY","NY","10922","ORANGE","D","VALID","FULL","2028"
"2000",,"BROOKLYN","NY","11229","KINGS","D","VALID","FULL","2024"
"1949",,"FAYETTEVILLE","NY","13066","ONONDAGA","D","VALID","FULL","2024"
"1988",,"BROOKLYN","NY","11237","KINGS","D","VALID","FULL","2022"
"1999",,"GLOVERSVILLE","NY","12078","FULTON","D","VALID","FULL","2028"
"1990",,"FLORAL PARK","NY","11001","NASSAU","E","VALID","FULL","2025"
"1969",,"LACONA","NY","13083","OSWEGO","D","VALID","FULL","2027"
"2002",,"GREENWICH","NY","12834","WASHINGTON","D","VALID","FULL","2023"
"1970",,"CORFU","NY","14036","GENESEE","E","SUSPENDED","FULL","2024"
"1938",,"NEW YORK","NY","10033","NEW YORK","ID ONLY","NONE","NONE","2022"
"1951",,"BROOKLYN","NY","11220","KINGS","ID ONLY","NONE","NONE","2027"
"2000",,"VESTAL","NY","13850","BROOME","D","VALID","FULL","2029"
"1981",,"OLD WESTBURY","NY","11568","NASSAU","E","SURRENDERED","FULL","2026"
"1951",,"HUDSON","NY","12534","COLUMBIA","DM","VALID","FULL","2028"
"1988",,"WHITESBORO","NY","13492","ONEIDA","D","VALID","FULL","2022"
"1981",,"ALBANY","NY","12207","ALBANY","D","VALID","FULL","2025"
"1955",,"MASSENA","NY","13662","ST. LAWRENCE","D","VALID","FULL","2029"
