"dec_well_number","well_location","street_name","town","county","dec_region","well_depth_feet_bgs","depth_to_bedrock_feet_bgs","depth_to_groundwater_feet","cased_depth_feet_bgs","screened","yield_test_average_discharge","driller_registration_number","latitude","longitude","georeference"
"U5315","Braden Rd, Wawarsing","Braden Rd","Wawarsing","Ulster","3","505",,,"40","N","12","NYRD10151",,,
"U5557","Well 3, Blue Point Rd, Lloyd","Blue Point Rd","Lloyd","Ulster","3","300",,,"40","N","8","NYRD10252",,,
"U5664","Cranberry Rd, Wawarsing","Cranberry Rd","Wawarsing","Ulster","3","380",,,"80","N","6","NYRD10252",,,
"U7358","Old Post Rd","Old Post Rd","Esopus","Ulster","3","460","12","40","37.5","N","2","NYRD10252",,,
"U7601","Rt 209, Ellenville","Rt 209","Wawarsing","Ulster","3","290","65","10","58.5","N","7","NYRD10252",,,
"U7640","369 Buck Rd","Buck Rd","Marbletown","Ulster","3","220","15","30","38.5","N","15","NYRD10252",,,
"U8343","181 Esopus Creek Rd, Saugerties","Esopus Creek Rd","Saugerties","Ulster","3","130","-999","20","118","N",,"NYRD10124",,,
"U8951","40 Lisora Ln, Kerhonksen","Lisora Ln","Rochester","Ulster","3","130",,,"65","N","20","NYRD10151",,,
"U9191","Farmers Tpk, Gardiner, Shop","Farmers Tpk","Gardiner","Ulster","3","300","42","40","58","N","5","NYRD10252",,,
"U9323","10 Caston Rd, Greenfield Park","Caston Rd","Wawarsing","Ulster","3","480",,,"22","N","2","NYRD10151",,,
"U9861","174 Hudson Ln, Ulster Park","Hudson Ln","Esopus","Ulster","3","505","6","40","40","N","0.100000001","NYRD01695",,,
"W1111","Keys Rd, Salem","Keys Rd","Jackson","Washington","5","102",,"20","44","N","10","NYRD10017",,,
"W1344","Co Rt 48, Argyle","Co Rt 48","Argyle","Washington","5","150","12","30","27","N","20","NYRD10562",,,
"W1465","Pike Brook Rd, Clemons","Pike Brook Rd","Dresden","Washington","5","284",,"20","30","N","25","NYRD10030",,,
"W3893","Beckett Rd, Whitehall","Beckett Rd","Whitehall","Washington","5","425","28","30","33","N","5","NYRD10030",,,
"W4286","334 Geer Rd, Hudson Falls","Geer Rd","Kingsbury","Washington","5","240",,,,"N","10","NYRD10119",,,
"W4910","3377 St Rt 4, Hudson Falls","St Rt 4","Kingsbury","Washington","5","220","36",,"38","N","20","NYRD10119",,,
"WE5359","As Above","Sun Valley Heights Rd","North Salem","Westchester","3","230",,,"41","N","12","NYRD01695",,,
"WE5410","Hilltop Dr, North Salem","Hilltop Dr","North Salem","Westchester","3","245",,,"32","N","30","NYRD10105",,,
"WE5552","Rt 22","Rt 22","North Castle","Westchester","3","345",,,"130","N","20","NYRD10318",,,
"WE6155","35 Salem Rd","Salem Rd","Pound Ridge","Westchester","3","305","8",,"50","N","60","NYRD01695",,,
"WE6199","446 Long Ridge Rd","Long Ridge Rd","Bedford","Westchester","3","905","9",,"30","N","2","NYRD01695",,,
"WE6402","1 Westerly Rd, Ossining","Westerly Rd","Ossining","Westchester","3","32",,"10","19.5","Y","5","NYRD01843",,,
"WE6719","Test Well 11","Whippoorwill Rd","North Castle","Westchester","3","665","17",,"49.5","N","0.75","NYRD10318",,,
"WN1275","12168 Smith Rd, Butler","Smith Rd","Butler","Wayne","8","75","32","30","31","N","6","NYRD10340",,,
"WN1298","2429 Gannett Rd, Lyons","Gannett Rd","Galen","Wayne","8","196","158","100","158.5","N","30","NYRD10340",,,
"WO1169","Pattridge Rd, Castile,","Pattridge Rd","Castile","Wyoming","9","140",,"40","20","N",,"NYRD10009",,,
"WO1619","5691 Rt 20a, Warsaw","Rt 20a","Warsaw","Wyoming","9","50","50","50","48.29999924","N","15","NYRD10009",,,
"WO1836","2556 Creek Rd, Sheldon","Creek Rd","Sheldon","Wyoming","9","98","28","28","28.5","N","2.5","NYRD10050",,,
"WO700","Northwood Rd Arcade","Northwoods Rd","Arcade","Wyoming","9","120",,,"49","N","5","NYRD10009",,,
"WO963","3823 Hollow Rd, Orangeville","Hollow Rd","Orangeville","Wyoming","9","71",,"6","69.09999847","N","20","NYRD10408",,,
"WR1323","125 Murray Rd, Stony Creek","Murray Rd","Stony Creek","Warren","5","665",,"60","20","N","5","NYRD10030",,,
"WR1503","Mud St, Thurman","Mud St","Thurman","Warren","5","605",,"30","41","N","1","NYRD10030",,,
"WR2429","323 Johnson Rd, Adirondack","Johnson Rd","Horicon","Warren","5","463","5",,"18","N","2.5","NYRD10255",,,
"WR478","Lot 8 109 Indian Dr,bolton","Indian Dr","Bolton","Warren","5","460",,,"20","N","20","NYRD10119",,,
"WR568","Haviland Rd","Haviland Rd","Queensbury","Warren","5","220",,,"217","N","10","NYRD10119",,,
"WR674","Lane Rd, Olmstedville","Lane Rd","Chester","Warren","5","263","13",,"18","N","15","NYRD10119",,,
"DU4946","St Pauls Rd","St Pauls Rd","Milan","Dutchess","3","450",,"25","30","N","5","NYRD10025",,,
"DU6532","N/A","N/A","Clinton","Dutchess","3","205",,"40","43","N","6","NYRD10025","41.8915","-73.84319444","POINT (-73.84319444 41.8915)"
"CN1105","Haven Rd, Oxford","Haven Rd","Oxford","Chenango","7","249","152","65","173","N","4","NYRD10081","42.44394444","-75.54822222","POINT (-75.54822222 42.44394444)"
"AG1473","N/A","N/A","Andover","Allegany","9","136",,"68","36.20000076","N","20","NYRD10043","42.15066667","-77.821","POINT (-77.821 42.15066667)"
"CB2858","838 Co Rt 6, Germantown","Co Rt 6","Germantown","Columbia","4","302",,"95","38","N","50","NYRD10005","42.08555556","-73.85197222","POINT (-73.85197222 42.08555556)"
"D3397","475 Palmer Hill Rd, Meridale","Palmer Hill Rd","Meredith","Delaware","4","427","75",,"83","N","4","NYRD10016",,,
"A1757","N/A","N/A","Westerlo","Albany","4","151",,"29","40","N","5","NYRD10040","42.55","-74.01883333","POINT (-74.01883333 42.55)"
"CM1945","1348 Catlin Hill Rd, Beaver Dams","Catlin Hill Rd","Catlin","Chemung","8","150","15","40","18.5","N","20","NYRD10330",,,
"CU3070","11548 Center Rd, Dunkirk","Center Rd","Sheridan","Chautauqua","9","60",,"6","20","N","5","NYRD10408","42.50144444","-79.23619444","POINT (-79.23619444 42.50144444)"
"CY370","6070 Dresserville Rd, Moravia","Dresserville Rd","Moravia","Cayuga","7","49",,"22","36","N","20","NYRD10080","42.71722222","-76.34555556","POINT (-76.34555556 42.71722222)"
"CT1600","N/A","N/A","Humphrey","Cattaraugus","9","70",,,"60","N",,"NYRD10091","42.24197222","-78.52586111","POINT (-78.52586111 42.24197222)"
"DU5605","55 Augusta Dr, Hopewell Jct","Augusta Dr","East Fishkill","Dutchess","3","285",,,"263","N","30","NYRD10105",,,
"DU7331","1135 Duell Rd, Stanfordville","Duell Rd","Stanford","Dutchess","3","630",,"122","190","N","7","NYRD10061","41.86483333","-73.68588889","POINT (-73.68588889 41.86483333)"
"CU1930","Rt 5","Rt 5","Ripley","Chautauqua","9","65",,,"12.5","N","17","NYRD10050",,,
"CT3504","6720 Hencoop Rd Ellicottville","Hencoop Rd","Ellicottville","Cattaraugus","9","140","55",,"58.5","N","15","NYRD10091",,,
"CT1512","N/A","N/A","Little Valley","Cattaraugus","9",,,,"50","N",,"NYRD10091","42.22972222","-78.71822222","POINT (-78.71822222 42.22972222)"
"A2033","909 Helderberg Trail, East Berne","Helderberg Trail","Berne","Albany","4","179",,"64","119","N","8","NYRD10027","42.61611111","-74.07619444","POINT (-74.07619444 42.61611111)"
"A1078","N/A","N/A","Rensselaerville","Albany","4",,,,"122","N","1.5","NYRD10133","42.49447222","-74.11405556","POINT (-74.11405556 42.49447222)"
"CB5178","N/A","N/A","Ancram","Columbia","4","505","1","30","18.5","N","10","NYRD10061","42.06541667","-73.54241667","POINT (-73.54241667 42.06541667)"
"D785","Launt Hollow Rd, Hamden","Launt Hollow Rd","Hamden","Delaware","4","265",,"60","20","N","4","NYRD10238","42.29847222","-75.26483333","POINT (-75.26483333 42.29847222)"
"CT1334","N/A","N/A","Franklinville","Cattaraugus","9","122",,"84","40","N","3","NYRD10134","42.28155556","-78.40438889","POINT (-78.40438889 42.28155556)"
"CY840","St Rt 176, Cato","St Rt 176","Cato","Cayuga","7","124","38","15","37","N","2","NYRD10230","43.16930556","-76.51952778","POINT (-76.51952778 43.16930556)"
"D3675","1803 Chamberlain Brook Rd, Walton","Chamberlain Brook Rd","Walton","Delaware","4","348","23","60","39","N","5","NYRD10178","42.13983333","-75.27013889","POINT (-75.27013889 42.13983333)"
"D1076","N/A","N/A","Sidney","Delaware","4","160",,"140","80","N","6","NYRD10238","42.26130556","-75.21169444","POINT (-75.21169444 42.26130556)"
"CN3006","1943 St Hwy 80, Smyrna","St Hwy 80","Smyrna","Chenango","7","185","15","24","19.5","N","6","NYRD10238","42.68961111","-75.58333333","POINT (-75.58333333 42.68961111)"
"BM3161","960 Underwood Rd, Vestal","Underwood Rd","Vestal","Broome","7","225","3",,"38.5","N","7","NYRD10999","42.00713889","-76.01175","POINT (-76.01175 42.00713889)"
"C1015","Taylor Valley Rd","Taylor Valley Rd","Truxton","Cortland","7","198",,"30","67","N","7","NYRD10080","42.66416667","-75.997","POINT (-75.997 42.66416667)"
"CB1524","N/A","N/A","Claverack","Columbia","4","405",,"20","21","N","2","NYRD10010","42.26530556","-73.61125","POINT (-73.61125 42.26530556)"
"BM3457","857 Dunbar Rd, Windsor","Dunbar Rd","Windsor","Broome","7","297","16","50","179","N","15","NYRD10178","42.08838889","-75.69652778","POINT (-75.69652778 42.08838889)"
"CU1178","4781 Hunt Rd","Hunt Rd","North Harmony","Chautauqua","9","88","-999","25","88","N","10","NYRD10203","42.08891667","-79.36916667","POINT (-79.36916667 42.08891667)"
"CU2270","Charlotte Center Rd, Sinclairville","Charlotte Center Rd","Charlotte","Chautauqua","9","45","20","25","25","N","20","NYRD10203","42.29555556","-79.23727778","POINT (-79.23727778 42.29555556)"
"CN2016","Wackaford Rd, Oxford","Wackaford Rd","Oxford","Chenango","7","197","15","75","19","N","10","NYRD10110","42.42580556","-75.58108333","POINT (-75.58108333 42.42580556)"
"CB4243","159 Pratt Hill Rd, Ghent","Pratt Hill Rd","Ghent","Columbia","4","485","12",,"19","N","3","NYRD10010","42.30722222","-73.55958333","POINT (-73.55958333 42.30722222)"
"CL2032","N/A","N/A","Champlain","Clinton","5","125","20","6","33.5","N","10","NYRD10181","44.95194444","-73.52886111","POINT (-73.52886111 44.95194444)"
"D2595","Big Red Kill Rd","Big Red Kill Rd","Middletown","Delaware","4","197","69","30","79","N","25","NYRD10178","42.19588889","-74.55130556","POINT (-74.55130556 42.19588889)"
"CL786","1803 Peaseville Rd, Schuyler Falls","Peaseville Rd","Black Brook","Clinton","5","200",,"20","22","N","15","NYRD10579","44.57736111","-73.72686111","POINT (-73.72686111 44.57736111)"
"CU3878","5325 Herrick Rd Gerry","Herrick Rd","Gerry","Chautauqua","9","140","40",,"40.5","N","8","NYRD10091","42.23113889","-79.20827778","POINT (-79.20827778 42.23113889)"
"CT2959","N/A","N/A","Allegany","Cattaraugus","9","38","-999","20","38","N","20","NYRD10269","42.082","-78.49816667","POINT (-78.49816667 42.082)"
"AG1512","8583 Lynch Rd, Caneadea","Lynch Rd","Caneadea","Allegany","9",,,,"56.5","N","20","NYRD10082","42.37436111","-78.18969444","POINT (-78.18969444 42.37436111)"
"CB2264","246 Holm Rd, Hillsdale","Holm Rd","Hillsdale","Columbia","4","260","4","30","142","N","5","NYRD10055","42.2075","-73.48583333","POINT (-73.48583333 42.2075)"
"D2777","Erpf Rd, Arkville","Erpf Rd","Middletown","Delaware","4","67","-999","0","24","N","15","NYRD10178","42.14016667","-74.60336111","POINT (-74.60336111 42.14016667)"
"AG2419","6124 St Rt 21, Alfred Station","St Rt 21","Alfred","Allegany","9","202",,,"37","N",,"NYRD10043","42.26597222","-77.75994444","POINT (-77.75994444 42.26597222)"
"CM1606","40 Yellow Rock Ln, Horseheads","Yellow Rock Ln","Horseheads","Chemung","8","198","30","190","34","N","6","NYRD10162","42.21119444","-76.88713889","POINT (-76.88713889 42.21119444)"
"CB2780","N/A","N/A","Hudson","Columbia","4","160",,"28","66.5","N","15","NYRD10590","42.15544444","-73.74402778","POINT (-73.74402778 42.15544444)"
"BM3217","Rt 7, Port Crane","Rt 7","Fenton","Broome","7","150","40","50","38","N","10","NYRD10439","42.16169444","-75.83555556","POINT (-75.83555556 42.16169444)"
"CU2278","5690 Leet Ave, Dewittville","Leet Ave","Chautauqua","Chautauqua","9","122","12",,"12.30000019","N","10","NYRD10084","42.23913889","-79.45975","POINT (-79.45975 42.23913889)"
"A2485","361 Helderberg Trail, East Berne","Helderberg Trail","Berne","Albany","4","279","181","59","189","N","5","NYRD10027","42.6025","-74.035","POINT (-74.035 42.6025)"
"D3207","Sweet Pea Dr, Treadwell","Sweet Pea Dr","Franklin","Delaware","4","245","220","120","218","N","8","NYRD10439","42.3215","-75.03002778","POINT (-75.03002778 42.3215)"
"D1896","N/A","N/A","Roxbury","Delaware","4","398",,,"28.5","N","3","NYRD10178","42.27983333","-74.62752778","POINT (-74.62752778 42.27983333)"
"A915","Wolf Hill Rd, Voorheesville","Wolf Hill Rd","New Scotland","Albany","4","235","11","35","18.5","N","10","NYRD10186","42.598","-73.98988889","POINT (-73.98988889 42.598)"
"CN2854","118 North Tyner Rd, Oxford","North Tyner Rd","Oxford","Chenango","7","140","20","0",,"N","40","NYRD10230","42.2555","-75.3945","POINT (-75.3945 42.2555)"
"CU3900","N/A","N/A","Charlotte","Chautauqua","9","70","16",,"18.5","N","20","NYRD10084","42.26780556","-79.21836111","POINT (-79.21836111 42.26780556)"
"BM3298","N/A","N/A","Maine","Broome","7","28","-999","14","28","N","10","NYRD10007","42.18947222","-76.04127778","POINT (-76.04127778 42.18947222)"
"BM3486","N/A","N/A","Deposit","Broome","7","400","15","90","38","N","7","NYRD10250","42.07833333","-75.42888889","POINT (-75.42888889 42.07833333)"
"DU3899","Taconic Oaks, Lot 4, Barrett Hill Rd, East Fishkill","Barrett Hill Rd","East Fishkill","Dutchess","3","143",,,"20","N","15","NYRD10155","41.55925","-73.77316667","POINT (-73.77316667 41.55925)"
"A2189","Lawson Lake Rd And Derbyshire Rd","Derbyshire Rd","New Scotland","Albany","4","220","2","85","39","N","12","NYRD10186","42.55183333","-73.95916667","POINT (-73.95916667 42.55183333)"
"CB4298","223 School House Rd, Claverack","Schoolhouse Rd","Claverack","Columbia","4","605","100","145","127","N","3","NYRD10010","42.19491667","-73.73072222","POINT (-73.73072222 42.19491667)"
"AG2207","4887 Gleason Rd, Hunt","Gleason Rd","Granger","Allegany","9","40","27","2","38","N","10","NYRD10440","42.5135","-78.00522222","POINT (-78.00522222 42.5135)"
"CB1449","130 Vandenberg Rd, Canaan","Vandenburg Rd","Canaan","Columbia","4","640","0","250","28","N","5","NYRD10055","42.39702778","-73.42811111","POINT (-73.42811111 42.39702778)"
"CT1985","N/A","N/A","Randolph","Cattaraugus","9","141",,,"141","N",,"NYRD10091","42.12394444","-78.99761111","POINT (-78.99761111 42.12394444)"
"CN1877","N/A","N/A","Sherburne","Chenango","7","198",,"6","18.5","N","7","NYRD10088","42.70313889","-75.52469444","POINT (-75.52469444 42.70313889)"
"CU1357","Carpenter-pringle Rd, Ashville","Carpenter Pringle Rd","North Harmony","Chautauqua","9","46",,"14","46","N","22","NYRD10089","42.14894444","-79.42508333","POINT (-79.42508333 42.14894444)"
"D1736","745 Abe Boice Rd, Trout Creek","Abe Boice Rd","Tompkins","Delaware","4","485",,"480","130","N","2","NYRD10238","42.22125","-75.23161111","POINT (-75.23161111 42.22125)"
"CB4323","225 Carpenter Rd, Ghent","Carpenter Rd","Ghent","Columbia","4","245","11","12","24","N","3","NYRD10351","42.26377778","-73.64708333","POINT (-73.64708333 42.26377778)"
"CB3415","20 Triform Rd, Hudson","Triform Rd","Hudson","Columbia","4","340","10","10","58.5","N","7","NYRD10001","42.165","-73.73683333","POINT (-73.73683333 42.165)"
"DU6764","Montage At East Fishkill, Site 2, East Fishkill","N/A","East Fishkill","Dutchess","3","380",,,"51","N","150","NYRD10105","41.56166667","-73.75833333","POINT (-73.75833333 41.56166667)"
"AG1999","Rt 275, Wirt","Rt 275","Wirt","Allegany","9","55","49","50","47","N","15","NYRD10269","42.14683333","-78.12816667","POINT (-78.12816667 42.14683333)"
"CU4012","3160 Straight Rd, Fredonia","Straight Rd","Fredonia","Chautauqua","9","95","35","35","33","N","1","NYRD10925","42.43611111","-79.2675","POINT (-79.2675 42.43611111)"
"CL916","Town Line Rd, Saranac, Well 1","Town Line Rd","Saranac","Clinton","5","430","425","40","425","N","20","NYRD10579",,,
"CN2897","647 Polkville Hill Rd, Norwich","Polkville Hill Rd","Norwich","Chenango","7","222","58","46","70","N","10","NYRD10081","42.49638889","-75.46527778","POINT (-75.46527778 42.49638889)"
"DU6976","Dutchess Park Knolls, Lot 36, East Fishkill","N/A","East Fishkill","Dutchess","3","210",,,"201","N","7","NYRD10105","41.56566667","-73.80083333","POINT (-73.80083333 41.56566667)"
"D1205","N/A","N/A","Harpersfield","Delaware","4","253",,"50","80","N","5","NYRD10258","42.41669444","-74.71508333","POINT (-74.71508333 42.41669444)"
"D2531","1156 Dick Mason Rd, Delhi","Dick Mason Rd","Delhi","Delaware","4","580","29","140","30","N","8","NYRD10067","42.28888889","-74.94605556","POINT (-74.94605556 42.28888889)"
"C1311","3194 Rt 11, Mcgraw","Rt 11","Cortlandville","Cortland","7","300","20","20","24.5","N","4","NYRD10080","42.561","-76.11583333","POINT (-76.11583333 42.561)"
"DU10075","235 Middle Rd, Red Hook","Middle Rd","Red Hook","Dutchess","3","85","68","30","73","N","10","NYRD10010","41.97761111","-73.89238889","POINT (-73.89238889 41.97761111)"
"DU7013","90 Dorn Rd, Beekman","Dorn Rd","Beekman","Dutchess","3","305","12",,"30","N","60","NYRD01695","41.63513889","-73.7025","POINT (-73.7025 41.63513889)"
"CM1169","N/A","N/A","Horseheads","Chemung","8","50",,"11","50","N","5","NYRD10391","42.19272222","-76.79811111","POINT (-76.79811111 42.19272222)"
"DU4718","Lot 1 Cooper Rd Extension, Carrington Const Subd","Cooper Rd Ext","Union Vale","Dutchess","3","705",,,"21","N","2","NYRD01695",,,
"AG906","N/A","N/A","Angelica","Allegany","9","96",,"56","30.5","N","3.5","NYRD10082","42.33677778","-77.97947222","POINT (-77.97947222 42.33677778)"
"DU5886","South Shank Dr, Lot 11, Washington","South Shank Dr","Washington","Dutchess","3","78",,"15","78","N","30","NYRD10155",,,
"CL1002","N/A","N/A","Champlain","Clinton","5","70","51","20","52","N","12","NYRD10220","44.80083333","-73.3745","POINT (-73.3745 44.80083333)"
"BM1260","1183 Colesville Rd, Binghamton","Colesville Rd","Colesville","Broome","7","240","70","130","78","N",,"NYRD10113","42.13958333","-75.74738889","POINT (-75.74738889 42.13958333)"
"CN2722","N/A","N/A","Mc Donough","Chenango","7","262","194","110","193","N","5","NYRD10081","42.51386111","-75.72019444","POINT (-75.72019444 42.51386111)"
"CU2342","2770 Straight Rd, Fredonia","Straight Rd","Sheridan","Chautauqua","9","73",,,"22.5","N","4","NYRD10050","42.43533333","-79.24163889","POINT (-79.24163889 42.43533333)"
"A831","Tan Hollow Rd, Westerlo","Tan Hollow Rd","Westerlo","Albany","4","250","90","40","246.5","N","10","NYRD10186","42.52805556","-73.99777778","POINT (-73.99777778 42.52805556)"
"D3428","N/A","N/A","Masonville","Delaware","4","205","51","45","52","N","7","NYRD10238","42.19561111","-75.274","POINT (-75.274 42.19561111)"
"CB2869","N/A","N/A","Claverack","Columbia","4","325",,"80","58","N","10","NYRD10010","42.24586111","-73.69772222","POINT (-73.69772222 42.24586111)"
"DU3415","Terra 5 Associates, Lot 3, Rombout Rd","Rombout Rd","La Grange","Dutchess","3","503",,,"20","N","0.5","NYRD10155",,,
"DU6874","20 Cider Mill Court, Pleasant Valley","Cider Mill Ct","Pleasant Valley","Dutchess","3","402",,"65","48","N","8","NYRD10005","41.75241667","-73.78261111","POINT (-73.78261111 41.75241667)"
"D1246","Scotch Valley Ranch Rd","Scotch Valley Ranch Rd","Stamford","Delaware","4","190","8","95","18.70000076","N","6","NYRD10039","42.329","-74.65216667","POINT (-74.65216667 42.329)"
"D942","Well 2","N/A","Tompkins","Delaware","4","465",,"300","149","N","21","NYRD10238","42.06791667","-75.12369444","POINT (-75.12369444 42.06791667)"
"CT1158","1432 Windfall Rd, Olean","Windfall Rd","Portville","Cattaraugus","9","90","45","69","60","N",,"NYRD10134","42.10475","-78.38519444","POINT (-78.38519444 42.10475)"
"DU6519","75 North Farm, Dover","N/A","Dover","Dutchess","3","205",,,"128","N","20","NYRD01695","41.74188889","-73.56133333","POINT (-73.56133333 41.74188889)"
"A2678","667 Bozenkill Rd, Altamont","Bozenkill Rd","Knox","Albany","4","400","173",,"179","N","0","NYRD10027",,,
"CU1603","N/A","N/A","Bemus Point","Chautauqua","9","115",,,"60","N",,"NYRD10091","42.0925","-79.23344444","POINT (-79.23344444 42.0925)"
"CT4342","4795 Rt 219, Great Valley","Rt 219","Great Valley","Cattaraugus","9","47","-999","18","45.5","N","15","NYRD10876","42.20452778","-78.64530556","POINT (-78.64530556 42.20452778)"
"DU4689","Cooper Rd, Millerton","Cooper Rd","Millerton","Dutchess","3","610",,"110","20","N","2","NYRD10061","41.91166667","-73.55083333","POINT (-73.55083333 41.91166667)"
"DU4167","Moccasin View Rd, Wappinger, Lot 2","Moccasin View Rd","Wappinger","Dutchess","3","683",,,"60","N","2.5","NYRD10155","41.55613889","-73.86666667","POINT (-73.86666667 41.55613889)"
"BM1275","N/A","N/A","Kirkwood","Broome","7","160",,"47","70","N","8","NYRD10245","42.13138889","-75.81036111","POINT (-75.81036111 42.13138889)"
"AG1803","N/A","N/A","Almond","Allegany","9","150","129","80","130.5","N","20","NYRD10294","42.33372222","-77.80602778","POINT (-77.80602778 42.33372222)"
"CU3573","Beach Hill Rd","Beach Hill Rd","Chautauqua","Chautauqua","9","180","20",,"22.20000076","N","3","NYRD10091","42.28919444","-79.44288889","POINT (-79.44288889 42.28919444)"
"CU1949","2416 Mezzio Rd, Forestville","Mezzio Rd","Sheridan","Chautauqua","9","90",,,"10","N","12","NYRD10050","42.45316667","-79.21975","POINT (-79.21975 42.45316667)"
"CB3234","Fischer Rd, Kinderhook","Fischer Rd","Kinderhook","Columbia","4","140","64","30","62.5","N","25","NYRD10001","42.37716667","-73.68916667","POINT (-73.68916667 42.37716667)"
"CN2228","1513 Co Hwy 24, Columbus","Co Hwy 24","Columbus","Chenango","7","300","105",,"103","N","10","NYRD10067","42.72272222","-75.37933333","POINT (-75.37933333 42.72272222)"
"CB3701","154 Church Ave, Germantown","Church Ave","Germantown","Columbia","4","425","14","20","200","N","2.5","NYRD10010","42.12286111","-73.88191667","POINT (-73.88191667 42.12286111)"
"A1943","Rt 351, Rensselaerville","Rt 351","Rensselaerville","Albany","4","200",,"63","-0.5","N","6","NYRD10525","42.47322222","-74.10741667","POINT (-74.10741667 42.47322222)"
"CB1522","White Mills Rd Chatham Center","White Mills Rd","Chatham","Columbia","4","200",,"30","20","N","12","NYRD10055",,,
"D3377","2221 Co Hwy 23, Walton","Co Hwy 23","Walton","Delaware","4","248","15","0","59","N","5","NYRD10178","42.21933333","-75.14777778","POINT (-75.14777778 42.21933333)"
"CY695","Parcell Rd, Sennett","Parcel Rd","Sennett","Cayuga","7","99","63",,"62","N","30","NYRD10230","42.96338889","-76.49144444","POINT (-76.49144444 42.96338889)"
"CT1380","N/A","N/A","East Otto","Cattaraugus","9",,,,"57","N","20","NYRD10134","42.36136111","-78.78386111","POINT (-78.78386111 42.36136111)"
"CT3613","1542 Lillibridge Rd, Portville","Lillibridge Rd","Portville","Cattaraugus","9","130","58","91","79.80000305","N","10","NYRD10438",,,
"CT1468","N/A","N/A","Ischua","Cattaraugus","9","95",,"52","40","N","8","NYRD10086","42.1995","-78.43019444","POINT (-78.43019444 42.1995)"
"CN2539","N/A","N/A","Greene","Chenango","7","135","25","45","23","N","8","NYRD10439","42.34522222","-75.75552778","POINT (-75.75552778 42.34522222)"
"D1633","N/A","N/A","Bovina","Delaware","4","507",,"160","20","N","4","NYRD10016","42.27311111","-74.79861111","POINT (-74.79861111 42.27311111)"
"DU5559","13 Cove Rd, Hyde Park","Cove Rd","Hyde Park","Dutchess","3","610","117","40","144","N","5","NYRD10061","41.87347222","-73.92186111","POINT (-73.92186111 41.87347222)"
"CB3203","N/A","N/A","Taghkanic","Columbia","4","305","90",,"96","N","2","NYRD10010","42.12530556","-73.72413889","POINT (-73.72413889 42.12530556)"
"D2431","106 Little Redkill Rd, Fleischmanns","Little Redkill Rd","Fleischmanns","Delaware","4","246","4",,"38.5","N","10","NYRD10178","42.15786111","-74.53158333","POINT (-74.53158333 42.15786111)"
"CT3272","5335 Martin Rd, Great Valley","Martin Rd","Great Valley","Cattaraugus","9","25","-999","10","23","N","12","NYRD10408","42.22691667","-78.63230556","POINT (-78.63230556 42.22691667)"
"BM1707","N/A","N/A","Colesville","Broome","7","200",,"135","140","N",,"NYRD10439","42.14055556","-75.7695","POINT (-75.7695 42.14055556)"
"CT2784","3816 Roszyk Hill Rd, Machias","Roszyk Hill Rd","Machias","Cattaraugus","9","140","60","31.29999924","63.40000153","N","15","NYRD10091","42.41663889","-78.52075","POINT (-78.52075 42.41663889)"
"CB1947","N/A","N/A","Hillsdale","Columbia","4","405",,"20","21","N","10","NYRD10010","42.19572222","-73.49963889","POINT (-73.49963889 42.19572222)"
"CT3053","12622 Wardtown Rd, Perrysburg","Wardtown Rd","Perrysburg","Cattaraugus","9","65","16","17","16.5","N","2","NYRD10050","42.51225","-79.04111111","POINT (-79.04111111 42.51225)"
"CL887","Davidson Rd, Mooers Forks","Davidson Rd","Mooers","Clinton","5","72","48","11","67","N","150","NYRD10033",,,
"D2568","11 Hobart Hill Rd, South Kortright","Hobart Hill Rd","Kortright","Delaware","4","200","30","50","33.5","N","5","NYRD10039","42.39166667","-74.66816667","POINT (-74.66816667 42.39166667)"
"BM1573","200 Commercial Dr, Johnson City","Commercial Dr","Maine","Broome","7","520","110","320","120","N",,"NYRD10113","42.19977778","-75.97491667","POINT (-75.97491667 42.19977778)"
"DU5699","Lot 23, Pine Plains","N/A","Pine Plains","Dutchess","3","410",,"3","50","N","25","NYRD10061","41.99655556","-73.72127778","POINT (-73.72127778 41.99655556)"
"D2872","N/A","N/A","Roxbury","Delaware","4","397","5","100","19","N",,"NYRD10178","42.26819444","-74.58938889","POINT (-74.58938889 42.26819444)"
"CU2624","5284 Morris Rd, Chautauqua","Morris Rd","Chautauqua","Chautauqua","9","120","63","10","63.5","N","20","NYRD10050",,,
"B214","620 Truxton St, Bronx","Truxton St","Bronx","Bronx","2","807","115","6","114","N","6","NYRD01695","40.81175","-73.8925","POINT (-73.8925 40.81175)"
"DU4016","265 Stone Church Rd, Rhinebeck","Stone Church Rd","Rhinebeck","Dutchess","3","100",,"30","50","N","5","NYRD10005",,,
"D3711","224 Champlain Rd, Jefferson","Champlain Rd","Jefferson","Delaware","4","260","10",,"28","N","12","NYRD10067",,,
"AG1152","N/A","N/A","Wellsville","Allegany","9","93",,"3","93","N","20","NYRD10043","42.14166667","-77.88611111","POINT (-77.88611111 42.14166667)"
"CT2782","3808 Roszyk Hill Rd, Machias","Roszyk Hill Rd","Machias","Cattaraugus","9","120","70",,"69.80000305","N","15","NYRD10091","42.41708333","-78.52","POINT (-78.52 42.41708333)"
"BM3201","N/A","N/A","Union","Broome","7","120","97","30","96","N","15","NYRD10452","42.13427778","-76.01861111","POINT (-76.01861111 42.13427778)"
