"public_authority_type","public_authority_name","address_line_1","city","state","zip","website"
"LDC","Suffolk County Economic Development Corporation","100 Veterans Memorial Hwy","HAUPPAUGE","NY","11788-0099","http://www.suffolkcountyny.gov/scedc"
"LDC","Suffolk Tobacco Asset Securitization Corporation","100 Veterans Memorial Highway","HAUPPAUGE","NY","11788",
"LDC","Sullivan Broadband Local Development Corporation",,,,,
"LDC","Sullivan County Funding Corporation","548 Broadway","MONTICELLO","NY","12701","http://www.scfundingcorp.com"
"LDC","Sullivan County Land Bank Corporation","100 North Street","MONTICELLO","NY","12701","http://www.sullivancountylandbank.org"
"LDC","Sullivan County Partnership for Economic Development",,,,,
"LDC","Sullivan Tobacco Asset Securitization Corporation","100 North Street","MONTICELLO","NY","12701",
"LDC","Syracuse Economic Development Corporation","201 East Washington St","SYRACUSE","NY","13202","http://www.syracuse.ny.us/SEDCO_Home.aspx"
"LDC","Syracuse Local Development Corporation","Syracuse Local Development Corporation","SYRACUSE","NY","13202","http://www.syracuse.ny.us/SLDC.aspx"
"LDC","TDC NNY INC.","61 Area Development Drive","PLATTSBURGH","NY","12901",
"LDC","Theater Subdistrict Council Local Development Corporation","Office of The Counsel","NEW YORK","NY","10271","https://www1.nyc.gov/site/planning/zoning/districts-tools/theater-subdistrict-council-ldc.page"
"LDC","The Castleton-Schodack Local Development Corporation","85 South Main Street","CASTLETON","NY","12033",
"LDC","The Catskill Local Development Corporation","422 Main Street","CATSKILL","NY","12414","http://welcometocatskill.com/LDC/default.asp"
"LDC","The City of Newburgh Local Development Corporation","Department of Planning and Development","NEWBURGH","NY","12550","http://www.newburgh-ny.com"
"LDC","The Greene Local Development Corporation","45 Sunset Blvd","COXSACKIE","NY","12051","http://www.greeneida.com/greene-local-development-corporation"
"LDC","The Mayor's Fund to Advance New York City","253 Broadway, 6th Floor","NEW YORK","NY","10007","http://www1.nyc.gov/fund"
"LDC","The North Country Alliance Local Development Corporation","65 Main Street, Box 8561","POTSDAM","NY","13699-8561","http://northcountryalliance.org"
"LDC","The Recreation and Economic Development Corporation of Suffolk County","100 Veterans Highway","HAUPPAUGE","NY","11788",
"LDC","The Schoharie Community Development Corporation",,,,,
"LDC","The Suffolk County Land Bank Corporation","H. Lee Dennison Bldg","HAUPPAUGE","NY","11788",
"LDC","The Sullivan County Infrastructure Local Development Corporation","548 Broadway","MONTICELLO","NY","12701","http://www.sullivanldc.com"
"LDC","The Town of Huntington Economic Development Corporation","100 Main Street","HUNTINGTON","NY","11743","http://huntingtonny.gov/action_orgs_detail.cfm?boardID=29"
"LDC","The Village of Waterford Local Development Corporation","65 Broad Street","WATERFORD","NY","12188",
"LDC","The Walden Local Development Corporation","PO Box 367","WALDEN","NY","12586",
"LDC","Ticonderoga Revitalization Alliance","PO Box 247","TICONDEROGA","NY","12883","http://www.ticonderoga-alliance.org"
"LDC","Tioga County Local Development Corporation","80 North Avenue","OWEGO","NY","13827","http://tclocaldevelopmentcorp.squarespace.com/"
"LDC","Tioga County Property Development Corporation","56 Main Street","OWEGO","NY","13827","https://www.tiogacountyny.com/departments/economic-development-planning/"
"LDC","Tioga Tobacco Asset Securitization Corporation","103 Southside Drive Ste. 6","OWEGO","NY","13827-4317",
"LDC","Tompkins Consolidated Area Transit Inc.",,,,,
"LDC","Tompkins County Area Development","200 East Buffalo Street","ITHACA","NY","14850","http://www.tcad.org/"
"LDC","Tompkins County Development Corporation","401 E. State Street","ITHACA","NY","14850","http://www.tcad.org"
"LDC","Tompkins Tobacco Asset Securitization Corporation","125 East Court Street","ITHACA","NY","14850","http://tompkins.yourtasc.com/"
"LDC","Tonawanda Local Development Corporation",,,,,
"LDC","Town of Amherst Development Corporation","4287 Main Street","AMHERST","NY","14226","http://www.AmherstIDA.com"
"LDC","Town of Babylon L. D. Corporation II","816 Deer Park Avenue","NORTH BABYLON","NY","11703","http://townofbabylon.com"
"LDC","Town of Brookhaven Local Development Corporation","1 Independence Hill","FARMINGVILLE","NY","11738","http://www.brookhavenldc.org/"
"LDC","Town of Colonie Local Development Corporation","347 Old Niskayuna Road","LATHAM","NY","12110","http://www.colonieldc.org"
"LDC","Town of Dewitt Local Development Corporation","Town of Dewitt","EAST SYRACUSE","NY","13057","http://www.townofdewitt.com/TownofDeWittLocalDevelopmentCorporation.aspx"
"LDC","Town of Hempstead Local Development Corp.","Town Hall Plaza","HEMPSTEAD","NY","11550","http://www.tohldc.org"
"LDC","Town of Huntington Local Development Corporation","100 Main Street","HUNTINGTON","NY","11743","http://www.huntingtonny.gov"
"LDC","Town Of Islip Economic Development Corporation","40 Nassau Ave.","ISLIP","NY","11751","http://www.islipida.com"
"LDC","Town of Montgomery Capital Resource Corporation","110 Bracken Road","MONTGOMERY","NY","12549",
"LDC","Town of North Hempstead Business and Tourism Development Corporation","51 Orchard Street","ROSLYN HEIGHTS","NY","11577-1326","https://northhempsteadny.gov/Our-Mission"
"LDC","Town of Plattsburgh Local Development Corporation","151 Banker Road","PLATTSBURGH","NY","12901","http://www.townofplattsburgh.com"
"LDC","Town of Sullivan Development Corporation","7507 Lakeport Rd","CHITTENANGO","NY","13037",
"LDC","Town of Waterford Capital Resource Corporation","65 Broad Street","WATERFORD","NY","12188-2412",
"LDC","Town of Wawayanda Local Development Corporation","80 Ridgebury Hill Road","SLATE HILL","NY","10973","https://townofwawayanda.com/"
"LDC","Troy Community Land Bank Corporation","200 Broadway","TROY","NY","12180-0826","http://www.troycommunitylandbank.org"
"LDC","Troy Local Development Corporation","City Hall","TROY","NY","12180","http://www.troyny.gov/departments/planning-department/economic-development/troy-ldc/"
"LDC","TSASC, Inc.","255 Greenwich Street","NEW YORK","NY","10007",
"LDC","Tusten Local Development Corporation","210 Bridge St.","NARROWSBURG","NY","12764",
"LDC","Tuxedo Farms Local Development Corporation","One Temple Drive","TUXEDO PARK","NY","10987-4436","http://www.tuxedogov.org/tuxedofarms"
"LDC","Tuxedo Local Development Corporation","One Temple Drive","TUXEDO PARK","NY","10987-4436","http://www.tuxedogov.org"
"LDC","Ulster County Capital Resource Corporation","PO Box 4265","KINGSTON","NY","12402","http://ulstercountyida.com"
"LDC","Ulster County Economic Development Alliance, Inc.","PO Box 1800","KINGSTON","NY","12402","http://ulstercountyny.gov/economic-development/ulster-county-economic-development-alliance"
"LDC","Ulster County Housing Development Corporation",,,,,
"LDC","Ulster Tobacco Asset Securitization Corporation","P.O. Box 1800","KINGSTON","NY","12402-1800","http://ulstercountyny.gov/ulster-tobacco-asset-securitization-corporation"
"LDC","Utica Civic Development Corporation","1 Kennedy Plaza","UTICA","NY","13502","http://www.cityofutica.com"
"LDC","Utica Harbor Point Local Development Corporation","1 Kennedy Plaza","UTICA","NY","13502","http://www.cityofutica.com"
"LDC","Utica Industrial Development Corporation",,,,,
"LDC","Victor Local Development Corporation","85 East Main Street","VICTOR","NY","14564-5073","http://www.victorldc.org/"
"LDC","Village of Chittenango Local Development Corporation","222 Genesee Street","CHITTENANGO","NY","13037",
"LDC","Village of Highland Falls High Point Utility Local Development Corporation",,,,,
"LDC","Village of Holley Development Corporation","69 Public Square","HOLLEY","NY","14470",
"LDC","Village of Lancaster Community Development Corporation","Lancaster Municipal Building","LANCASTER","NY","14086","https://www.rediscoveringlancaster.com/"
"LDC","Village of South Glens Falls Local Development Corporation","P.O. Box 1210","SOUTH GLENS FALLS","NY","12803","http://www.sgfny.com/SGF-Village-Attorney.htm"
"LDC","Village of Valatie Local Development Corporation","PO Box 702","VALATIE","NY","12184-9998",
"LDC","Warren County Local Development Corporation","Warren County Municipal Center","LAKE GEORGE","NY","12845","http://www.warrenldc.org"
"LDC","Warren Tobacco Asset Securitization Corporation","Warren County Municipal Center","LAKE GEORGE","NY","12845",
"LDC","Warwick Valley Local Development Corporation",,,,,
"LDC","Washington County Local Development Corporation","County Municipal Center","FORT EDWARD","NY","12828","http://www.wcldc.org"
"LDC","Washington Tobacco Asset Securitization Corporation","County Municipal Center - Building B","FORT EDWARD","NY","12828","http://washingtoncountyny.gov/373/WTASC"
"LDC","Watertown Industrial Center Local Development Corporation","800 Starbuck Avenue","WATERTOWN","NY","13601","http://www.wicldc.com"
"LDC","Wayne County Civic Facility Development Corporation","9 Pearl Street","LYONS","NY","14489","http://wedcny.com"
"LDC","Wayne County Regional Land Bank Corporation","16 William Street","LYONS","NY","14489","http://waynecountylandbankny.com"
"LDC","Wayne Economic Development Corporation","9 Pearl Street","LYONS","NY","14489","http://wedcny.com"
"LDC","West Brighton Community Local Development Corporation","686 Forest Avenue","STATEN ISLAND","NY","10310","http://www.siboc.org/"
"LDC","Westchester County Local Development Corporation","148 Martine Avenue","WHITE PLAINS","NY","10601",
"LDC","Westchester Tobacco Asset Securitization Corporation","148 Martine Avenue","WHITE PLAINS","NY","10601","http://www.westchestertasc.com"
"LDC","Western Ontario Local Community Development Corporation",,,,,
"LDC","Wheatfield Local Development Corporation","2800 Church Road","NORTH TONAWANDA","NY","14120","http://www.wheatfieldbusiness.com/ldc_about.html"
"LDC","White Plains Center Local Development Corporation","City of White Plains","WHITE PLAINS","NY","10601-2409",
"LDC","Wyandanch Community Development Corporation","59 Cumberbach Street","WYANDANCH","NY","11798","http://www.wyandanchcdc.org"
"LDC","Wyoming County Business Assistance Corporation","James Pierce","WARSAW","NY","14569","http://Wycoida.org"
"LDC","Wyoming County Business Center","36 Center Street","WARSAW","NY","14569","http://www.wycoida.org/"
"LDC","Wyoming Tobacco Asset Securitization Corporation","36 Center Street","WARSAW","NY","14569","http://wyoming.yourtasc.com"
"LDC","Yates County Capital Resource Corporation","1 Keuka Business Park","PENN YAN","NY","14527","http://www.fingerlakesedc.com"
"LDC","Yates Tobacco Asset Securitization Corporation","417 Liberty Street","PENN YAN","NY","14527","http://Yates.YourTasc.com"
"LDC","Yonkers Downtown Waterfront Development Corporation","87 Nepperhan Avenue","YONKERS","NY","10701","http://www.ydwdc.com"
"LDC","Yonkers Economic Development Corporation","470 Nepperhan Avenue, Suite 200","YONKERS","NY","10701",
