"year","month","month_code","district_code","district","total_temporary_assistance_cases","total_temporary_assistance_recipients","total_temporary_assistance_children","total_temporary_assistance_adults","total_temporary_assistance_expenditures","family_assistance_federally_participating_cases","family_assistance_federally_participating_recipients","family_assistance_federally_participating_children","family_assistance_federally_participating_adults","family_assistance_federally_participating_expenditures","safety_net_assistance_cases","safety_net_assistance_recipients","safety_net_assistance_children","safety_net_assistance_adults","safety_net_assistance_expenditures","federally_participating_temporary_assistance_for_needy_families_cases","federally_participating_temporary_assistance_for_needy_families_recipients","federally_participating_temporary_assistance_for_needy_families_expenditures","federally_non_participating_cases","federally_non_participating_recipients","federally_non_participating_expenditures","safety_net_assistance_federally_participating_cases","safety_net_assistance_federally_participating_recipients","safety_net_assistance_federally_participating_children","safety_net_assistance_federally_participating_adults","safety_net_assistance_federally_participating_expenditures","safety_net_federally_non_participating_cases","safety_net_federally_non_participating_recipients","safety_net_federally_non_participating_children","safety_net_federally_non_participating_adults","safety_net_federally_non_participating_expenditures","maintenance_of_effort_cases","maintenance_of_effort_recipients","maintenance_of_effort_children","maintenance_of_effort_adults","maintenance_of_effort_expenditures","non_maintenance_of_effort_cases","non_maintenance_of_effort_recipients","non_maintenance_of_effort_children","non_maintenance_of_effort_adults","non_maintenance_of_effort_expenditures"
"2022","April","4","42","Schenectady","1179","2163","1311","852","783698","515","1107","921","186","334315","664","1056","390","666","449383","519","1114","335701","660","1049","447997","4","7","4","3","1386","660","1049","386","663","447997","97","360","261","99","97039","563","689","125","564","350958"
"2022","April","4","43","Schoharie","112","164","90","74","80234","57","100","82","18","33801","55","64","8","56","46433","57","100","33801","55","64","46433","0","0","0","0","0","55","64","8","56","46433","2","8","6","2","2089","53","56","2","54","44344"
"2022","April","4","44","Schuyler","117","174","93","81","57479","45","83","75","8","26512","72","91","18","73","30967","45","83","26512","72","91","30967","0","0","0","0","0","72","91","18","73","30967","3","9","6","3","4176","69","82","12","70","26791"
"2022","April","4","45","Seneca","178","314","171","143","109002","78","174","132","42","42018","100","140","39","101","66984","80","178","43678","98","136","65324","2","4","2","2","1660","98","136","37","99","65324","12","37","24","13","11229","86","99","13","86","54095"
"2022","April","4","46","Steuben","714","1070","525","545","566543","273","537","439","98","188671","441","533","86","447","377872","274","539","188989","440","531","377554","1","2","1","1","318","440","531","85","446","377554","23","77","50","27","17820","417","454","35","419","359734"
"2022","April","4","47","Suffolk","5373","8344","3735","4609","6269532","1437","2986","2421","565","2014875","3936","5358","1314","4044","4254657","1464","3078","2048559","3909","5266","4220973","27","92","61","31","33684","3909","5266","1253","4013","4220973","378","1325","920","405","721997","3531","3941","333","3608","3498976"
"2022","April","4","48","Sullivan","584","925","467","458","509224","214","437","357","80","167942","370","488","110","378","341282","216","444","168434","368","481","340790","2","7","5","2","492","368","481","105","376","340790","26","86","57","29","32174","342","395","48","347","308616"
"2022","April","4","49","Tioga","232","350","257","93","126594","136","225","210","15","68826","96","125","47","78","57768","138","227","72188","94","123","54406","2","2","0","2","3362","94","123","47","76","54406","7","20","13","7","4651","87","103","34","69","49755"
"2022","April","4","50","Tompkins","600","857","354","503","417344","178","358","272","86","145526","422","499","82","417","271818","187","377","153488","413","480","263856","9","19","10","9","7962","413","480","72","408","263856","17","57","40","17","12303","396","423","32","391","251553"
"2022","April","4","51","Ulster","785","1297","667","630","965543","299","616","484","132","305622","486","681","183","498","659921","307","635","320759","478","662","644784","8","19","9","10","15137","478","662","174","488","644784","56","177","114","63","63039","422","485","60","425","581745"
"2022","April","4","52","Warren","233","336","163","173","166110","91","179","146","33","68516","142","157","17","140","97594","95","190","71228","138","146","94882","4","11","7","4","2712","138","146","10","136","94882","2","6","4","2","2087","136","140","6","134","92795"
"2022","April","4","53","Washington","282","444","244","200","199489","131","253","206","47","91919","151","191","38","153","107570","136","262","97022","146","182","102467","5","9","4","5","5103","146","182","34","148","102467","7","24","17","7","4809","139","158","17","141","97658"
"2022","April","4","54","Wayne","370","556","315","241","190996","166","304","265","39","82735","204","252","50","202","108261","172","320","86272","198","236","104724","6","16","9","7","3537","198","236","41","195","104724","9","35","25","10","5891","189","201","16","185","98833"
"2022","April","4","55","Westchester","4171","7467","3890","3577","5180540","1458","3355","2592","763","2083363","2713","4112","1298","2814","3097177","1461","3364","2087826","2710","4103","3092714","3","9","5","4","4463","2710","4103","1293","2810","3092714","538","1690","1140","550","976619","2172","2413","153","2260","2116095"
"2022","April","4","56","Wyoming","132","184","88","96","70701","50","91","76","15","27122","82","93","12","81","43579","52","95","27904","80","89","42797","2","4","2","2","782","80","89","10","79","42797","4","12","8","4","2027","76","77","2","75","40770"
"2022","April","4","57","Yates","140","208","111","97","89861","65","124","100","24","34547","75","84","11","73","55314","65","124","34547","75","84","55314","0","0","0","0","0","75","84","11","73","55314","2","6","5","1","1413","73","78","6","72","53901"
"2022","April","4","66","New York City","227491","411674","165523","246151","136027361","51616","122532","80773","41759","30738475","175875","289142","84750","204392","105288886","51642","122582","30755851","175849","289092","105271510","26","50","29","21","17376","175849","289092","84721","204371","105271510","30356","98463","59501","38962","21892928","145493","190629","25220","165409","83378582"
"2022","March","3","01","Albany","1548","2889","1664","1225","1159483","680","1454","1168","286","443865","868","1435","496","939","715618","683","1465","445855","865","1424","713628","3","11","8","3","1990","865","1424","488","936","713628","107","393","283","110","95952","758","1031","205","826","617676"
"2022","March","3","02","Allegany","252","421","238","183","126556","125","257","202","55","63530","127","164","36","128","63026","125","257","63530","127","164","63026","0","0","0","0","0","127","164","36","128","63026","9","28","19","9","6471","118","136","17","119","56555"
"2022","March","3","03","Broome","2305","3562","1826","1736","1602981","853","1637","1312","325","552398","1452","1925","514","1411","1050583","863","1660","563793","1442","1902","1039188","10","23","12","11","11395","1442","1902","502","1400","1039188","142","481","333","148","101181","1300","1421","169","1252","938007"
"2022","March","3","04","Cattaraugus","787","1198","562","636","470143","279","581","452","129","157941","508","617","110","507","312202","295","629","167981","492","569","302162","16","48","27","21","10040","492","569","83","486","302162","23","73","48","25","15683","469","496","35","461","286479"
"2022","March","3","05","Cayuga","707","1142","596","546","602137","264","580","463","117","178841","443","562","133","429","423296","274","613","186693","433","529","415444","10","33","21","12","7852","433","529","112","417","415444","26","89","62","27","32589","407","440","50","390","382855"
"2022","March","3","06","Chautauqua","1635","3192","1855","1337","1007923","747","1772","1351","421","482816","888","1420","504","916","525107","759","1814","488944","876","1378","518979","12","42","28","14","6128","876","1378","476","902","518979","129","461","316","145","98381","747","917","160","757","420598"
"2022","March","3","07","Chemung","627","1026","687","339","361892","337","659","570","89","182469","290","367","117","250","179423","338","661","182471","289","365","179421","1","2","1","1","2","289","365","116","249","179421","12","48","35","13","11421","277","317","81","236","168000"
"2022","March","3","08","Chenango","317","491","295","196","168372","169","318","266","52","90735","148","173","29","144","77637","174","335","93327","143","156","75045","5","17","11","6","2592","143","156","18","138","75045","3","10","7","3","2832","140","146","11","135","72213"
"2022","March","3","09","Clinton","639","982","539","443","449660","292","581","477","104","155179","347","401","62","339","294481","304","604","160543","335","378","289117","12","23","11","12","5364","335","378","51","327","289117","12","35","21","14","10834","323","343","30","313","278283"
"2022","March","3","10","Columbia","312","493","251","242","230207","110","224","185","39","65619","202","269","66","203","164588","114","239","70544","198","254","159663","4","15","10","5","4925","198","254","56","198","159663","15","54","39","15","10098","183","200","17","183","149565"
"2022","March","3","11","Cortland","380","549","258","291","243791","137","258","208","50","75139","243","291","50","241","168652","145","282","82313","235","267","161478","8","24","15","9","7174","235","267","35","232","161478","8","30","19","11","6405","227","237","16","221","155073"
"2022","March","3","12","Delaware","158","259","149","110","90418","78","160","128","32","46182","80","99","21","78","44236","79","162","47228","79","97","43190","1","2","1","1","1046","79","97","20","77","43190","4","15","11","4","3012","75","82","9","73","40178"
"2022","March","3","13","Dutchess","890","1406","742","664","1023469","364","752","604","148","399123","526","654","138","516","624346","375","782","438323","515","624","585146","11","30","15","15","39200","515","624","123","501","585146","29","93","62","31","39103","486","531","61","470","546043"
"2022","March","3","14","Erie","8489","16471","9146","7325","4606162","3231","7598","5800","1798","1867541","5258","8873","3346","5527","2738621","3272","7703","1894616","5217","8768","2711546","41","105","60","45","27075","5217","8768","3286","5482","2711546","808","3128","2288","840","580612","4409","5640","998","4642","2130934"
"2022","March","3","15","Essex","82","114","75","39","46684","47","79","73","6","24525","35","35","2","33","22159","47","79","24525","35","35","22159","0","0","0","0","0","35","35","2","33","22159","0","0","0","0","0","35","35","2","33","22159"
"2022","March","3","16","Franklin","384","583","252","331","180603","129","263","192","71","66300","255","320","60","260","114303","130","265","67943","254","318","112660","1","2","1","1","1643","254","318","59","259","112660","13","49","36","13","10310","241","269","23","246","102350"
"2022","March","3","17","Fulton","205","315","174","141","157800","92","181","152","29","76253","113","134","22","112","81547","92","181","76253","113","134","81547","0","0","0","0","0","113","134","22","112","81547","6","20","13","7","3661","107","114","9","105","77886"
"2022","March","3","18","Genesee","226","366","189","177","122214","91","190","146","44","45638","135","176","43","133","76576","92","193","46451","134","173","75763","1","3","2","1","813","134","173","41","132","75763","15","50","36","14","11202","119","123","5","118","64561"
"2022","March","3","19","Greene","197","324","180","144","140282","93","187","152","35","59902","104","137","28","109","80380","95","195","61042","102","129","79240","2","8","6","2","1140","102","129","22","107","79240","5","19","14","5","5035","97","110","8","102","74205"
"2022","March","3","20","Hamilton","9","14","6","8","2850","3","8","6","2","1439","6","6","0","6","1411","3","8","1439","6","6","1411","0","0","0","0","0","6","6","0","6","1411","0","0","0","0","0","6","6","0","6","1411"
"2022","March","3","21","Herkimer","359","589","331","258","261127","158","320","263","57","124944","201","269","68","201","136183","161","327","129237","198","262","131890","3","7","4","3","4293","198","262","64","198","131890","14","56","41","15","9018","184","206","23","183","122872"
"2022","March","3","22","Jefferson","793","1252","639","613","605946","291","592","485","107","187143","502","660","154","506","418803","301","617","192396","492","635","413550","10","25","14","11","5253","492","635","140","495","413550","45","145","97","48","30769","447","490","43","447","382781"
"2022","March","3","23","Lewis","74","117","77","40","30890","37","75","65","10","18383","37","42","12","30","12507","38","77","18499","36","40","12391","1","2","1","1","116","36","40","11","29","12391","0","0","0","0","0","36","40","11","29","12391"
"2022","March","3","24","Livingston","373","591","279","312","273139","140","286","215","71","83109","233","305","64","241","190030","142","290","83793","231","301","189346","2","4","2","2","684","231","301","62","239","189346","15","50","34","16","13844","216","251","28","223","175502"
"2022","March","3","25","Madison","224","344","211","133","140433","103","189","166","23","53707","121","155","45","110","86726","106","196","55191","118","148","85242","3","7","4","3","1484","118","148","41","107","85242","12","35","24","11","7659","106","113","17","96","77583"
"2022","March","3","26","Monroe","6821","12420","7059","5361","4253129","2828","6210","4907","1303","1864795","3993","6210","2152","4058","2388334","2898","6415","1918711","3923","6005","2334418","70","205","126","79","53916","3923","6005","2026","3979","2334418","647","2249","1590","659","528304","3276","3756","436","3320","1806114"
"2022","March","3","27","Montgomery","310","564","330","234","223384","140","289","235","54","86943","170","275","95","180","136441","144","302","90573","166","262","132811","4","13","7","6","3630","166","262","88","174","132811","26","87","62","25","15983","140","175","26","149","116828"
"2022","March","3","28","Nassau","2985","4833","2218","2615","5406910","826","1734","1400","334","1493761","2159","3099","818","2281","3913149","828","1741","1505228","2157","3092","3901682","2","7","5","2","11467","2157","3092","813","2279","3901682","258","886","622","264","784382","1899","2206","191","2015","3117300"
"2022","March","3","29","Niagara","1455","2318","1307","1011","825996","642","1247","1031","216","347812","813","1071","276","795","478184","653","1277","353527","802","1041","472469","11","30","17","13","5715","802","1041","259","782","472469","70","246","172","74","52630","732","795","87","708","419839"
"2022","March","3","30","Oneida","2274","4253","2296","1957","1428582","839","1990","1517","473","545813","1435","2263","779","1484","882769","844","2008","552180","1430","2245","876402","5","18","12","6","6367","1430","2245","767","1478","876402","181","716","521","195","139721","1249","1529","246","1283","736681"
"2022","March","3","31","Onondaga","4485","8685","4955","3730","2434083","1752","4148","3222","926","991199","2733","4537","1733","2804","1442884","1753","4152","991831","2732","4533","1442252","1","4","3","1","632","2732","4533","1730","2803","1442252","427","1584","1143","441","294460","2305","2949","587","2362","1147792"
"2022","March","3","32","Ontario","696","1107","579","528","558288","287","590","469","121","184111","409","517","110","407","374177","289","599","189212","407","508","369076","2","9","6","3","5101","407","508","104","404","369076","21","77","55","22","15242","386","431","49","382","353834"
"2022","March","3","33","Orange","1309","2276","1251","1025","1407118","508","1077","859","218","523080","801","1199","392","807","884038","516","1099","555111","793","1177","852007","8","22","12","10","32031","793","1177","380","797","852007","133","452","314","138","173455","660","725","66","659","678552"
"2022","March","3","34","Orleans","437","720","371","349","239675","174","383","286","97","102455","263","337","85","252","137220","177","388","103864","260","332","135811","3","5","2","3","1409","260","332","83","249","135811","16","56","39","17","9291","244","276","44","232","126520"
"2022","March","3","35","Oswego","1153","2036","1115","921","765117","498","1087","840","247","303392","655","949","275","674","461725","512","1125","314087","641","911","451030","14","38","21","17","10695","641","911","254","657","451030","63","218","147","71","51526","578","693","107","586","399504"
"2022","March","3","36","Otsego","152","237","121","116","104971","62","124","102","22","40666","90","113","19","94","64305","63","127","40829","89","110","64142","1","3","1","2","163","89","110","18","92","64142","3","13","10","3","2189","86","97","8","89","61953"
"2022","March","3","37","Putnam","57","84","58","26","23709","32","52","47","5","15913","25","32","11","21","7796","33","53","16096","24","31","7613","1","1","0","1","183","24","31","11","20","7613","2","7","5","2","686","22","24","6","18","6927"
"2022","March","3","38","Rensselaer","781","1691","1130","561","536497","440","961","749","212","263608","341","730","381","349","272889","445","971","271086","336","720","265411","5","10","4","6","7478","336","720","377","343","265411","99","373","272","101","67105","237","347","105","242","198306"
"2022","March","3","39","Rockland","612","1062","580","482","448358","243","537","428","109","187786","369","525","152","373","260572","246","546","188278","366","516","260080","3","9","6","3","492","366","516","146","370","260080","25","87","62","25","26291","341","429","84","345","233789"
"2022","March","3","40","St. Lawrence","640","1035","554","481","321681","261","502","406","96","142567","379","533","148","385","179114","265","512","144064","375","523","177617","4","10","6","4","1497","375","523","142","381","177617","51","166","114","52","30776","324","357","28","329","146841"
"2022","March","3","41","Saratoga","316","431","248","183","198817","142","239","214","25","72174","174","192","34","158","126643","144","243","73381","172","188","125436","2","4","2","2","1207","172","188","32","156","125436","2","8","5","3","1113","170","180","27","153","124323"
"2022","March","3","42","Schenectady","1194","2153","1291","862","880782","525","1132","938","194","382399","669","1021","353","668","498383","532","1145","386568","662","1008","494214","7","13","6","7","4169","662","1008","347","661","494214","89","344","253","91","87744","573","664","94","570","406470"
"2022","March","3","43","Schoharie","120","185","103","82","87629","64","113","91","22","41528","56","72","12","60","46101","64","113","41528","56","72","46101","0","0","0","0","0","56","72","12","60","46101","2","8","6","2","3749","54","64","6","58","42352"
"2022","March","3","44","Schuyler","120","168","82","86","70156","39","69","64","5","23963","81","99","18","81","46193","40","74","24442","80","94","45714","1","5","3","2","479","80","94","15","79","45714","3","8","5","3","2656","77","86","10","76","43058"
"2022","March","3","45","Seneca","211","352","184","168","201492","81","173","135","38","67000","130","179","49","130","134492","84","180","70976","127","172","130516","3","7","4","3","3976","127","172","45","127","130516","15","51","34","17","26545","112","121","11","110","103971"
"2022","March","3","46","Steuben","748","1133","558","575","570060","284","561","459","102","176081","464","572","99","473","393979","285","563","179562","463","570","390498","1","2","1","1","3481","463","570","98","472","390498","20","73","48","25","12672","443","497","50","447","377826"
"2022","March","3","47","Suffolk","5027","8142","3866","4276","8689443","1491","3157","2537","620","3060859","3536","4985","1329","3656","5628584","1512","3221","3104712","3515","4921","5584731","21","64","41","23","43853","3515","4921","1288","3633","5584731","393","1384","958","426","1093830","3122","3537","330","3207","4490901"
"2022","March","3","48","Sullivan","581","922","462","460","470784","208","429","350","79","134416","373","493","112","381","336368","212","440","135236","369","482","335548","4","11","7","4","820","369","482","105","377","335548","26","84","56","28","26358","343","398","49","349","309190"
"2022","March","3","49","Tioga","231","342","251","91","128961","141","231","213","18","74359","90","111","38","73","54602","142","232","77242","89","110","51719","1","1","0","1","2883","89","110","38","72","51719","7","24","16","8","5265","82","86","22","64","46454"
"2022","March","3","50","Tompkins","589","822","319","503","427461","159","310","235","75","116150","430","512","84","428","311311","167","327","123519","422","495","303942","8","17","9","8","7369","422","495","75","420","303942","18","60","42","18","13161","404","435","33","402","290781"
"2022","March","3","51","Ulster","800","1302","654","648","1259175","301","618","479","139","484969","499","684","175","509","774206","305","629","496018","495","673","763157","4","11","6","5","11049","495","673","169","504","763157","56","174","111","63","178804","439","499","58","441","584353"
"2022","March","3","52","Warren","209","310","159","151","176468","93","179","143","36","82920","116","131","16","115","93548","98","190","88636","111","120","87832","5","11","5","6","5716","111","120","11","109","87832","2","6","4","2","2408","109","114","7","107","85424"
"2022","March","3","53","Washington","262","411","237","174","170329","131","244","201","43","70207","131","167","36","131","100122","136","253","82352","126","158","87977","5","9","4","5","12145","126","158","32","126","87977","6","21","15","6","8787","120","137","17","120","79190"
"2022","March","3","54","Wayne","397","595","330","265","212748","182","325","275","50","101003","215","270","55","215","111745","189","347","105230","208","248","107518","7","22","13","9","4227","208","248","42","206","107518","9","32","23","9","6504","199","216","19","197","101014"
"2022","March","3","55","Westchester","4153","7473","3906","3567","4783740","1447","3315","2558","757","1961760","2706","4158","1348","2810","2821980","1450","3324","1964657","2703","4149","2819083","3","9","5","4","2897","2703","4149","1343","2806","2819083","547","1727","1170","557","968677","2156","2422","173","2249","1850406"
"2022","March","3","56","Wyoming","137","196","95","101","87486","55","103","83","20","28052","82","93","12","81","59434","57","107","28834","80","89","58652","2","4","2","2","782","80","89","10","79","58652","4","12","8","4","2153","76","77","2","75","56499"
"2022","March","3","57","Yates","148","224","122","102","90067","71","138","110","28","40988","77","86","12","74","49079","71","138","40988","77","86","49079","0","0","0","0","0","77","86","12","74","49079","2","6","5","1","1616","75","80","7","73","47463"
"2022","March","3","66","New York City","223830","406433","164559","241874","135197466","51013","121034","79914","41120","31240583","172817","285399","84645","200754","103956883","51047","121101","31256249","172783","285332","103941217","34","67","40","27","15666","172783","285332","84605","200727","103941217","30482","98789","59758","39031","22128600","142301","186543","24847","161696","81812617"
"2022","February","2","01","Albany","1450","2694","1576","1118","982075","662","1430","1157","273","466290","788","1264","419","845","515785","665","1438","468494","785","1256","513581","3","8","5","3","2204","785","1256","414","842","513581","105","369","260","109","66000","680","887","154","733","447581"
"2022","February","2","02","Allegany","239","386","213","173","114580","118","239","186","53","60914","121","147","27","120","53666","118","239","60914","121","147","53666","0","0","0","0","0","121","147","27","120","53666","8","23","15","8","5451","113","124","12","112","48215"
"2022","February","2","03","Broome","2163","3488","1893","1595","1324605","870","1727","1379","348","604003","1293","1761","514","1247","720602","881","1748","613682","1282","1740","710923","11","21","11","10","9679","1282","1740","503","1237","710923","140","486","339","147","107752","1142","1254","164","1090","603171"
"2022","February","2","04","Cattaraugus","748","1137","536","601","432183","273","561","438","123","148108","475","576","98","478","284075","289","607","159816","459","530","272367","16","46","25","21","11708","459","530","73","457","272367","22","69","45","24","12944","437","461","28","433","259423"
"2022","February","2","05","Cayuga","650","1071","584","487","490297","255","560","454","106","159440","395","511","130","381","330857","265","591","170777","385","480","319520","10","31","19","12","11337","385","480","111","369","319520","25","84","59","25","21392","360","396","52","344","298128"
"2022","February","2","06","Chautauqua","1658","3206","1840","1366","915065","744","1771","1351","420","445809","914","1435","489","946","469256","755","1806","452266","903","1400","462799","11","35","22","13","6457","903","1400","467","933","462799","128","457","311","146","83527","775","943","156","787","379272"
"2022","February","2","07","Chemung","643","1023","674","349","380228","337","652","567","85","180329","306","371","107","264","199899","337","652","180329","306","371","199899","0","0","0","0","0","306","371","107","264","199899","11","44","31","13","10180","295","327","76","251","189719"
"2022","February","2","08","Chenango","310","467","275","192","168512","165","305","253","52","85574","145","162","22","140","82938","169","317","86405","141","150","82107","4","12","8","4","831","141","150","14","136","82107","3","10","7","3","2034","138","140","7","133","80073"
"2022","February","2","09","Clinton","608","921","513","408","377854","279","538","449","89","144964","329","383","64","319","232890","288","556","149251","320","365","228603","9","18","9","9","4287","320","365","55","310","228603","14","43","28","15","9983","306","322","27","295","218620"
"2022","February","2","10","Columbia","301","492","268","224","205255","117","236","197","39","71195","184","256","71","185","134060","121","251","76135","180","241","129120","4","15","10","5","4940","180","241","61","180","129120","16","59","43","16","10871","164","182","18","164","118249"
"2022","February","2","11","Cortland","400","574","266","308","270559","146","276","219","57","87047","254","298","47","251","183512","154","297","93963","246","277","176596","8","21","12","9","6916","246","277","35","242","176596","8","32","22","10","6341","238","245","13","232","170255"
"2022","February","2","12","Delaware","150","247","146","101","74444","78","155","126","29","39110","72","92","20","72","35334","78","155","39110","72","92","35334","0","0","0","0","0","72","92","20","72","35334","4","16","11","5","2997","68","76","9","67","32337"
"2022","February","2","13","Dutchess","873","1351","717","634","934452","352","712","581","131","312179","521","639","136","503","622273","362","742","344145","511","609","590307","10","30","16","14","31966","511","609","120","489","590307","31","102","71","31","35154","480","507","49","458","555153"
"2022","February","2","14","Erie","8424","16229","8982","7247","4316078","3219","7526","5733","1793","1842505","5205","8703","3249","5454","2473573","3254","7614","1869309","5170","8615","2446769","35","88","51","37","26804","5170","8615","3198","5417","2446769","799","3062","2232","830","572599","4371","5553","966","4587","1874170"
"2022","February","2","15","Essex","76","110","76","34","36572","48","79","72","7","22231","28","31","4","27","14341","48","79","22231","28","31","14341","0","0","0","0","0","28","31","4","27","14341","1","3","2","1","140","27","28","2","26","14201"
"2022","February","2","16","Franklin","375","559","244","315","169440","128","261","192","69","64861","247","298","52","246","104579","129","263","66458","246","296","102982","1","2","1","1","1597","246","296","51","245","102982","13","49","36","13","8283","233","247","15","232","94699"
"2022","February","2","17","Fulton","182","289","170","119","120679","83","164","142","22","46386","99","125","28","97","74293","84","170","46436","98","119","74243","1","6","5","1","50","98","119","23","96","74243","6","21","14","7","4532","92","98","9","89","69711"
"2022","February","2","18","Genesee","215","334","171","163","120693","89","176","136","40","46656","126","158","35","123","74037","89","176","46656","126","158","74037","0","0","0","0","0","126","158","35","123","74037","13","44","32","12","9803","113","114","3","111","64234"
"2022","February","2","19","Greene","194","332","191","141","123366","94","193","160","33","62006","100","139","31","108","61360","97","201","63146","97","131","60220","3","8","6","2","1140","97","131","25","106","60220","5","19","14","5","2526","92","112","11","101","57694"
"2022","February","2","20","Hamilton","8","13","6","7","2724","3","8","6","2","1439","5","5","0","5","1285","3","8","1439","5","5","1285","0","0","0","0","0","5","5","0","5","1285","0","0","0","0","0","5","5","0","5","1285"
"2022","February","2","21","Herkimer","353","575","327","248","183405","158","320","264","56","81458","195","255","63","192","101947","162","329","83154","191","246","100251","4","9","4","5","1696","191","246","59","187","100251","13","51","39","12","7837","178","195","20","175","92414"
"2022","February","2","22","Jefferson","794","1256","644","612","514170","288","574","474","100","153530","506","682","170","512","360640","299","601","157524","495","655","356646","11","27","15","12","3994","495","655","155","500","356646","50","162","109","53","30853","445","493","46","447","325793"
"2022","February","2","23","Lewis","71","116","80","36","34910","38","79","68","11","24082","33","37","12","25","10828","38","79","24082","33","37","10828","0","0","0","0","0","33","37","12","25","10828","0","0","0","0","0","33","37","12","25","10828"
"2022","February","2","24","Livingston","366","556","263","293","231402","137","265","206","59","77667","229","291","57","234","153735","140","270","79987","226","286","151415","3","5","2","3","2320","226","286","55","231","151415","14","44","29","15","11998","212","242","26","216","139417"
"2022","February","2","25","Madison","215","337","212","125","134281","99","182","162","20","51487","116","155","50","105","82794","103","192","53457","112","145","80824","4","10","6","4","1970","112","145","44","101","80824","12","38","27","11","6483","100","107","17","90","74341"
"2022","February","2","26","Monroe","6518","11829","6774","5055","3945281","2745","6012","4768","1244","1701433","3773","5817","2006","3811","2243848","2813","6219","1744253","3705","5610","2201028","68","207","129","78","42820","3705","5610","1877","3733","2201028","604","2106","1489","617","484696","3101","3504","388","3116","1716332"
"2022","February","2","27","Montgomery","295","543","322","221","176234","135","271","223","48","64342","160","272","99","173","111892","140","287","68327","155","256","107907","5","16","9","7","3985","155","256","90","166","107907","26","86","61","25","14193","129","170","29","141","93714"
"2022","February","2","28","Nassau","2898","4792","2254","2538","4083911","806","1734","1411","323","1105678","2092","3058","843","2215","2978233","809","1743","1118465","2089","3049","2965446","3","9","6","3","12787","2089","3049","837","2212","2965446","264","921","647","274","652054","1825","2128","190","1938","2313392"
"2022","February","2","29","Niagara","1373","2213","1283","930","730898","634","1228","1016","212","360942","739","985","267","718","369956","642","1248","365989","731","965","364909","8","20","11","9","5047","731","965","256","709","364909","68","246","174","72","42826","663","719","82","637","322083"
"2022","February","2","30","Oneida","2179","4092","2242","1850","1362870","820","1943","1495","448","542751","1359","2149","747","1402","820119","825","1960","550884","1354","2132","811986","5","17","11","6","8133","1354","2132","736","1396","811986","195","763","552","211","150137","1159","1369","184","1185","661849"
"2022","February","2","31","Onondaga","4422","8664","4977","3687","2526810","1743","4155","3226","929","1077936","2679","4509","1751","2758","1448874","1745","4160","1078696","2677","4504","1448114","2","5","3","2","760","2677","4504","1748","2756","1448114","433","1608","1156","452","309961","2244","2896","592","2304","1138153"
"2022","February","2","32","Ontario","665","1048","551","497","452982","272","546","437","109","167942","393","502","114","388","285040","273","554","168042","392","494","284940","1","8","6","2","100","392","494","108","386","284940","25","96","69","27","20298","367","398","39","359","264642"
"2022","February","2","33","Orange","1262","2217","1253","964","1137149","499","1058","858","200","438629","763","1159","395","764","698520","502","1066","439214","760","1151","697935","3","8","4","4","585","760","1151","391","760","697935","134","463","324","139","164133","626","688","67","621","533802"
"2022","February","2","34","Orleans","434","745","395","350","268058","185","406","296","110","122349","249","339","99","240","145709","187","410","123346","247","335","144712","2","4","2","2","997","247","335","97","238","144712","17","59","40","19","22496","230","276","57","219","122216"
"2022","February","2","35","Oswego","1083","1917","1065","852","602405","486","1049","811","238","277692","597","868","254","614","324713","500","1086","286557","583","831","315848","14","37","20","17","8865","583","831","234","597","315848","64","214","143","71","51160","519","617","91","526","264688"
"2022","February","2","36","Otsego","196","274","109","165","262744","54","112","94","18","69321","142","162","15","147","193423","55","115","69484","141","159","193260","1","3","1","2","163","141","159","14","145","193260","3","13","10","3","2189","138","146","4","142","191071"
"2022","February","2","37","Putnam","60","87","58","29","36087","33","53","47","6","15938","27","34","11","23","20149","34","54","16121","26","33","19966","1","1","0","1","183","26","33","11","22","19966","2","7","5","2","757","24","26","6","20","19209"
"2022","February","2","38","Rensselaer","771","1654","1117","537","557008","442","975","770","205","271132","329","679","347","332","285876","447","986","276869","324","668","280139","5","11","5","6","5737","324","668","342","326","280139","95","350","254","96","80108","229","318","88","230","200031"
"2022","February","2","39","Rockland","594","1034","569","465","457059","238","518","413","105","214956","356","516","156","360","242103","240","523","216768","354","511","240291","2","5","4","1","1812","354","511","152","359","240291","29","102","72","30","28732","325","409","80","329","211559"
"2022","February","2","40","St. Lawrence","660","1069","562","507","358400","259","496","400","96","126128","401","573","162","411","232272","263","508","128609","397","561","229791","4","12","7","5","2481","397","561","155","406","229791","53","172","118","54","33233","344","389","37","352","196558"
"2022","February","2","41","Saratoga","311","429","254","175","168155","146","254","225","29","73492","165","175","29","146","94663","147","256","75638","164","173","92517","1","2","1","1","2146","164","173","28","145","92517","1","6","4","2","200","163","167","24","143","92317"
"2022","February","2","42","Schenectady","1165","2108","1278","830","793219","528","1139","942","197","354456","637","969","336","633","438763","531","1144","355674","634","964","437545","3","5","2","3","1218","634","964","334","630","437545","88","326","235","91","59609","546","638","99","539","377936"
"2022","February","2","43","Schoharie","106","177","111","66","72731","66","125","100","25","38776","40","52","11","41","33955","66","125","38776","40","52","33955","0","0","0","0","0","40","52","11","41","33955","2","8","6","2","2127","38","44","5","39","31828"
