"city","county","years","totalunits","totalunits_avg_annual","sfunits","sfunits_avg_annual","mfunits","mfunits_avg_annual","source1","source2"
"Morgan Hill","Santa Clara County","2010-2017","2369","296.1","1753","219.1","616","77.0","CHF","ABAG"
"Mountain View","Santa Clara County","2010-2017","4397","549.6","643","80.4","3754","469.3","CHF","ABAG"
"Palo Alto","Santa Clara County","2010-2017","960","120.0","494","61.8","466","58.3","CHF","ABAG"
"San Jose","Santa Clara County","2010-2017","22301","2787.6","1592","199.0","20709","2588.6","CHF","ABAG"
"Santa Clara","Santa Clara County","2010-2017","5112","639.0","363","45.4","4749","593.6","CHF","ABAG"
"Santa Clara County Unincorporated","Santa Clara County","2010-2017","706","88.3","432","54.0","274","34.3","CHF","ABAG"
"Saratoga","Santa Clara County","2010-2017","170","21.3","170","21.3","0","0.0","CHF","ABAG"
"Sunnyvale","Santa Clara County","2010-2017","4517","564.6","1014","126.8","3503","437.9","CHF","ABAG"
"Benicia","Solano County","2010-2017","43","5.4","43","5.4","0","0.0","CHF","ABAG"
"Dixon","Solano County","2010-2017","213","26.6","94","11.8","119","14.9","CHF","ABAG"
"Fairfield","Solano County","2010-2017","2199","274.9","1915","239.4","284","35.5","CHF","ABAG"
"Rio Vista","Solano County","2010-2017","533","66.6","533","66.6","0","0.0","CHF","ABAG"
"Solano County Unincorporated","Solano County","2010-2017","157","19.6","157","19.6","0","0.0","CHF","ABAG"
"Suisun City","Solano County","2010-2017","106","13.3","96","12.0","10","1.3","CHF","ABAG"
"Vacaville","Solano County","2010-2017","1816","227.0","1555","194.4","261","32.6","CHF","ABAG"
"Vallejo","Solano County","2010-2017","237","29.6","203","25.4","34","4.3","CHF","ABAG"
"Cloverdale","Sonoma County","2010-2017","171","21.4","18","2.3","153","19.1","CHF","ABAG"
"Cotati","Sonoma County","2010-2017","77","9.6","51","6.4","26","3.3","CHF","ABAG"
"Healdsburg","Sonoma County","2010-2017","224","28.0","156","19.5","68","8.5","CHF","ABAG"
"Petaluma","Sonoma County","2010-2017","1273","159.1","477","59.6","796","99.5","CHF","ABAG"
"Rohnert Park","Sonoma County","2010-2017","368","46.0","282","35.3","86","10.8","CHF","ABAG"
"Santa Rosa","Sonoma County","2010-2017","2193","274.1","1048","131.0","1145","143.1","CHF","ABAG"
"Sebastopol","Sonoma County","2010-2017","67","8.4","63","7.9","4","0.5","CHF","ABAG"
"Sonoma","Sonoma County","2010-2017","142","17.8","63","7.9","79","9.9","CHF","ABAG"
"Sonoma County Unincorporated","Sonoma County","2010-2017","1581","197.6","1093","136.6","488","61.0","CHF","ABAG"
"Windsor","Sonoma County","2010-2017","134","16.8","43","5.4","91","11.4","CHF","ABAG"
