"the_geom","objectid","businessaddress","businessname","city","ownername","permittype","state","suite","zip","locationx","locationy"
"POINT (-90.060614827311 29.962736511741)","119","1239 ROYAL ST","THE GOLDEN LANTERN","NEW ORLEANS","WITCH'S GOLDEN LANTERN LLC","8593 - Adult Entertainment/No Admission Charged","LA",,"70116","3683833.36226","534177.227205"
"POINT (-90.076989294557 29.951922709288)","36","2306 ESPLANADA AVE","DEGAS HOUSE","NEW ORLEANS","DEGAS HOUSE, LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70119","3678691.8167","530187.70942"
"POINT (-90.064847404459 29.956903716049)","137","615 TOULOUSE ST","TOULOUSE THEATRES","NEW ORLEANS","615 TOULOUSE MANAGEMENT LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70115","3682516.67912","532041.346563"
"POINT (-90.068826956007 29.955183026587)","67","225 BOURBON ST","LARRY FLYNTS HUSTLER CLUB","NEW ORLEANS","H D V NO.1 LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70130","3681263.46236","531401.712387"
"POINT (-90.065688450921 29.944185455135)","94","828 S PETERS ST","REPUBLIC NOLA","NEW ORLEANS","REPUBLIC NOLA LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70130","3682301.527","527413.576319"
"POINT (-90.065671073176 29.958461951114)","64","640 BOURBON ST","KRAZY KORNER","NEW ORLEANS","NICHOLAS S KARNO INC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3682249.59644","532605.091844"
"POINT (-90.065693625968 29.958798812169)","25","701 BOURBON ST","CAT'S MEOW","NEW ORLEANS","CAT'S 701 BOURBON, LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70116","3682241.0998","532727.508228"
"POINT (-90.076989294557 29.951922709288)","34","618-620 BOURBON ST","COURT LIQUORS","NEW ORLEANS","JOS FEIN CATERERS, INC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3678691.8167","530187.70942"
"POINT (-90.066937387332 29.957076173456)","27","500 BOURBON ST","CHRIS OWENS","NEW ORLEANS","CHRIS OWENS INC; OWENS, SAL","8594 - Adult Entertainment/Admission Charged","LA",,"70130","3681854.19439","532096.738499"
"POINT (-90.057896922533 29.96398017901)","35","618 FRENCHMEN ST","D.B.A. N O LA","NEW ORLEANS","FRENCHMEN STREET BAR LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70116","3684688.90012","534639.03943"
"POINT (-90.059043835162 29.960768313948)","83","1204 DECATUR ST","PALM COURT JAZZ CAFE","NEW ORLEANS","PALM COURT JAZZ CAFE, INC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70116","3684338.74569","533467.046596"
"POINT (-90.06627177124 29.949800254419)","147","300 GRAVIER ST","WINDSOR COURT HOTEL","NEW ORLEANS","AIMBRIDGE CONCESSIONS, INC.","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3682094.21813","529453.277569"
"POINT (-90.02139978837 30.011992768577)","146","4000 DOWNMAN RD","VISIONS","NEW ORLEANS","L I G INC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70126","3696044.94032","552228.655254"
"POINT (-90.055655415614 29.968528322927)","113","2240 ST CLAUDE AVE","THE ALLWAYS LOUNGE","NEW ORLEANS","PIETY & DESIRE, LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70117","3685380.17858","536300.819271"
"POINT (-90.068910473035 29.95806267597)","32","940 ST LOUIS ST","CORNER POCKET","NEW ORLEANS","MIK LEE INC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70112","3681225.46082","532448.567299"
"POINT (-90.067307217843 29.956641028329)","40","420 BOURBON ST","FAT BOOTS","NEW ORLEANS","FAT BOOTS NEW ORLEANS,LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70130","3681738.83669","531937.209411"
"POINT (-90.068000580644 29.955654459927)","96","300 BOURBON ST","ROYAL SONESTA HOTEL","NEW ORLEANS","SONESTA INTERNATIONAL HOTELS CORPORATION","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70130","3681523.24488","531576.031683"
"POINT (-90.065915634166 29.958201989502)","85","624 BOURBON ST","PAT O'S","NEW ORLEANS","PAT O'S INC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3682173.20303","532509.703748"
"POINT (-90.065311414816 29.958222613683)","84","718 ST PETER ST","PAT O BRIENS BAR","NEW ORLEANS","PAT OBRIEN'S BAR        INC.","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70116","3682364.44316","532519.320068"
"POINT (-90.066938537925 29.955414393115)","31","334 ROYAL ST","COFFEE & CONCIERGE LTD","NEW ORLEANS","COFFEE & CONCIERGE LTD","8255 - Music for Entertainment,Dancing/No Admission Charged","LA","B","70130","3681860.50888","531492.449795"
"POINT (-89.986078157353 30.014263735119)","142","8600 CHEF MENTEUR HWY","TWINS STOP","NEW ORLEANS","JACKSON, LILLIE T","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70127","3707213.55396","553184.172567"
"POINT (-90.062597130366 29.965418479468)","16","1001 ESPLANADE AVE","BUFFA'S BAR & LOUNGE","NEW ORLEANS","KS VENTURES INC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70116","3683194.88892","535145.523846"
"POINT (-90.097499415228 29.96562444224)","37","542 S NORMAN C FRANCIS PKWY","DMAC'S BAR & GRILL","NEW ORLEANS","DMAC 8, LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70119","3672143.22753","535099.549062"
"POINT (-90.067528174423 29.956658704822)","55","417 BOURBON ST","HIDEOUT BAR","NEW ORLEANS","CAJUN 417, LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70130","3681668.79957","531942.864323"
"POINT (-90.077670513593 29.936547397776)","59","1755 ST CHARLES AVE","HOUSTON'S RESTAURANT","NEW ORLEANS","HILLSTONE RESTAUTRANT GROUP, INC.","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3678537.36731","524594.319356"
"POINT (-90.074991157744 29.953550921348)","90","234 LOYOLA AVE","PYTHIAN MARKET","NEW ORLEANS","PYTHIAN MARKET LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70112","3679318.05544","530786.730434"
"POINT (-90.044278799474 29.967890826587)","99","3067 ST CLAUDE AVE","SATURN BAR","NEW ORLEANS","SATURN BAR OF  N.O., LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70117","3688984.75798","536109.345223"
"POINT (-90.097472158957 29.952206548176)","149","3940 THALIA ST","ZONY MASH BEER PROJECT","NEW ORLEANS","IKE N TINA, LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70125","3672204.48315","530220.386049"
"POINT (-90.057464727736 29.961947790607)","132","437 ESPLANADE AVE","THE YARD ON FRENCHMEN","NEW ORLEANS","NOLA CANTINA, LLC.","8593 - Adult Entertainment/No Admission Charged","LA",,"70118","3684833.97321","533901.511685"
"POINT (-90.057841638642 29.963273194163)","133","536 FRENCHMEN ST","THREE MUSES","NEW ORLEANS","RUE MUSES LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70116","3684709.26607","534382.148741"
"POINT (-90.100876412963 29.917421961249)","135","501 NAPOLEON AVE","TIPITINA'S","NEW ORLEANS","TIP'S DEVELOPMENT LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70115","3671262.52577","517559.815478"
"POINT (-90.067587635173 29.945144155961)","136","755 TCHOUPITOULAS ST","TOMAS BISTRO","NEW ORLEANS","T'S BISTRO LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3681696.22428","527755.545663"
"POINT (-90.067605494505 29.956561788717)","76","411 BOURBON ST","MAMBO'S","NEW ORLEANS","CAJUN HOUSE, LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3681644.70562","531907.351619"
"POINT (-90.066013272833 29.958364761612)","97","627 BOURBON ST","SAINTS AND SINNERS","NEW ORLEANS","SAINTS AND SINNERS LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70116","3682141.6317","532568.551812"
"POINT (-90.076989294557 29.951922709288)","118","1301-03 ST BERNARD AVE","THE GOAT","NEW ORLEANS","SNEAUXBALL NOLA THE GOAT,LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70116","3678691.8167","530187.70942"
