"nopd_item","type_","typetext","priority","mapx","mapy","timecreate","timedispatch","timearrive","timeclosed","disposition","dispositiontext","block_address","zip","policedistrict","location"
"A0021313","24","MEDICAL","2B","37369000","3513814","2013-01-01T01:33:16.000","2013-01-01T01:33:21.000","2013-01-01T01:34:17.000","2013-01-01T01:55:30.000","NAT","NECESSARY ACTION TAKEN","007XX Conti St","70130","0","(9.235500543E-7, -0.0000022929847665)"
"A0021413","103D","DOMESTIC DISTURBANCE","2B","3705776.00000000","561314.00000000","2013-01-01T01:32:06.000","2013-01-01T01:36:16.000","2013-01-01T01:47:29.000","2013-01-01T02:11:21.000","UNF","UNFOUNDED","072XX Yorktown Dr","70127","7","(30.036658565835, -89.990313417286)"
"A0021513","18","TRAFFIC INCIDENT","1H","3684482.00000000","547969.00000000","2013-01-01T01:34:05.000","2013-01-01T01:34:08.000","2013-01-01T01:34:18.000","2013-01-01T01:40:08.000","NAT","NECESSARY ACTION TAKEN","Gentilly Blvd & Marigny St","70122","3","(30.000633789811, -90.058076191613)"
"A0021613","52F","FIRE","2B","3679533.00000000","540805.00000000","2013-01-01T01:33:41.000","2013-01-01T01:34:34.000","2013-01-01T01:36:29.000","2013-01-01T01:42:00.000","NAT","NECESSARY ACTION TAKEN","017XX N Broad St","70119","1","(29.981085829432, -90.073959161639)"
"A0021713","21","COMPLAINT OTHER","1H","3681815.00000000","532087.00000000","2013-01-01T01:35:52.000","2013-01-01T01:35:54.000",,"2013-01-01T01:39:41.000","RTF","REPORT TO FOLLOW","Bourbon St & Saint Louis St","70112","8","(29.95704517231, -90.067055880118)"
"A0021813","107","SUSPICIOUS PERSON","2B","3683225.00000000","533339.00000000","2013-01-01T01:35:16.000","2013-01-01T01:49:03.000",,"2013-01-01T01:49:49.000","UNF","UNFOUNDED","Royal St & Saint Philip St","70116","8","(29.960444823805, -90.062559699444)"
"A0021913","18","TRAFFIC INCIDENT","1H","3683741.00000000","534619.00000000","2013-01-01T01:36:10.000","2013-01-01T01:36:13.000","2013-01-01T01:38:53.000","2013-01-01T02:09:04.000","NAT","NECESSARY ACTION TAKEN","Bourbon St & Esplanade Ave","70116","8","(29.963948638762, -90.06088539282)"
"A0022013","24","MEDICAL","2B","37369000","3513814","2013-01-01T01:33:11.000",,,"2013-01-01T02:10:43.000","DUP","DUPLICATE","130XX Hayne Blvd","70128","0","(9.235500543E-7, -0.0000022929847665)"
"A0022113","95G","ILLEGAL CARRYING OF","2B","3681143.00000000","530630.00000000","2013-01-01T01:36:43.000","2013-01-01T01:36:46.000","2013-01-01T01:56:45.000","2013-01-01T03:34:56.000","RTF","REPORT TO FOLLOW","007XX Canal St","70130","8","(29.953059318448, -90.06922860188)"
"A0022213","107","SUSPICIOUS PERSON","2B","3683451.00000000","534841.00000000","2013-01-01T01:37:57.000","2013-01-01T01:37:59.000","2013-01-01T01:38:56.000","2013-01-01T01:51:45.000","NAT","NECESSARY ACTION TAKEN","Dauphine St & Esplanade Ave","70116","8","(29.964567914265, -90.061793405164)"
"A0022313","103","DISTURBANCE (OTHER)","1C","3685106.00000000","534507.00000000","2013-01-01T01:38:44.000","2013-01-01T01:38:47.000","2013-01-01T01:38:51.000","2013-01-01T02:08:19.000","NAT","NECESSARY ACTION TAKEN","Chartres St & Elysian Fields Ave","70117","8","(29.963598926886, -90.056578797936)"
"A0022413","107","SUSPICIOUS PERSON","2B","3700146.00000000","560716.00000000","2013-01-01T01:38:58.000","2013-01-01T01:39:01.000","2013-01-01T01:40:16.000","2013-01-01T02:02:07.000","NAT","NECESSARY ACTION TAKEN","Curran Blvd & Eastmore Rd","70126","7","(30.035194539205, -90.008127140564)"
"A0022513","103","DISTURBANCE (OTHER)","1C","3675327.00000000","517897.00000000","2013-01-01T01:38:59.000","2013-01-01T01:39:19.000","2013-01-01T01:42:07.000","2013-01-01T01:46:31.000","NAT","NECESSARY ACTION TAKEN","007XX Delachaise St","70115","6","(29.918222871526, -90.088029961679)"
"A0022613","21","COMPLAINT OTHER","1G","3681143.00000000","530630.00000000","2013-01-01T01:39:10.000","2013-01-01T01:39:13.000","2013-01-01T01:46:07.000","2013-01-01T01:54:18.000","NAT","NECESSARY ACTION TAKEN","007XX Canal St","70130","8","(29.953059318448, -90.06922860188)"
"A0022713","18","TRAFFIC INCIDENT","1H","3670261.00000000","537432.00000000","2013-01-01T01:39:16.000","2013-01-01T01:39:22.000","2013-01-01T01:40:09.000","2013-01-01T01:46:45.000","NAT","NECESSARY ACTION TAKEN","Banks St & S Carrollton Ave","70119","3","(29.972088171002, -90.103358744307)"
"A0022813","20","AUTO ACCIDENT","1C","3695031.00000000","557307.00000000","2013-01-01T01:37:21.000","2013-01-01T02:24:04.000","2013-01-01T02:24:23.000","2013-01-01T03:44:34.000","RTF","REPORT TO FOLLOW","Downman Rd & Morrison Rd","70126","7","(30.025982757846, -90.024414361186)"
"A0022913","24","MEDICAL","2B","37369000","3513814","2013-01-01T01:40:12.000","2013-01-01T01:40:14.000","2013-01-01T02:33:58.000","2013-01-01T03:37:28.000","NAT","NECESSARY ACTION TAKEN","Dauphine St & Dumaine St","70116","0","(9.235500543E-7, -0.0000022929847665)"
"A0023013","18","TRAFFIC INCIDENT","1H","3675303.00000000","528356.00000000","2013-01-01T01:40:39.000","2013-01-01T01:40:42.000","2013-01-01T01:40:46.000","2013-01-01T02:17:58.000","NAT","NECESSARY ACTION TAKEN","S Claiborne Ave & Thalia St","70113","6","(29.946982435202, -90.087746844087)"
"A0023113","103","DISTURBANCE (OTHER)","1C","3677901.00000000","523955.00000000","2013-01-01T01:41:47.000","2013-01-01T01:41:50.000","2013-01-01T01:41:58.000","2013-01-01T01:47:54.000","NAT","NECESSARY ACTION TAKEN","Josephine St & Saint Charles Ave","70130","6","(29.934803229418, -90.079696020428)"
"A0023213","20","AUTO ACCIDENT","2C","3668424.00000000","535295.00000000","2013-01-01T01:37:52.000","2013-01-01T01:46:34.000","2013-01-01T01:56:56.000","2013-01-01T03:44:16.000","RTF","REPORT TO FOLLOW","S Carrollton Ave & I-10 Onramp","70125","6","(29.966266226197, -90.109232411722)"
"A0023313","20I","AUTO ACCIDENT WITH I","2B","3682505.00000000","555698.00000000","2013-01-01T01:41:03.000","2013-01-01T01:43:06.000","2013-01-01T01:45:40.000","2013-01-01T05:57:03.000","RTF","REPORT TO FOLLOW","Curie St & Robert E Lee Blvd","70122","3","(30.021946088956, -90.064051195914)"
"A0023413","21","COMPLAINT OTHER","1H","3696260.00000000","534173.00000000","2013-01-01T01:42:01.000","2013-01-01T01:42:01.000","2013-01-01T01:42:03.000","2013-01-01T01:49:52.000","NAT","NECESSARY ACTION TAKEN","051XX Saint Claude Ave","70117","5","(29.962334094101, -90.021367884)"
"A0023513","21","COMPLAINT OTHER","1H","3700044.00000000","520117.00000000","2013-01-01T01:40:46.000","2013-01-01T01:43:59.000","2013-01-01T01:53:03.000","2013-01-01T02:15:28.000","NAT","NECESSARY ACTION TAKEN","031XX Parc Fontaine","70131","4","(29.923565342822, -90.009931282326)"
"A0023613","21","COMPLAINT OTHER","1H","3679608.00000000","540709.00000000","2013-01-01T01:42:48.000","2013-01-01T01:42:48.000","2013-01-01T01:42:58.000","2013-01-01T01:51:15.000","NAT","NECESSARY ACTION TAKEN","017XX N Broad St","70119","1","(29.980819596009, -90.073725611094)"
"A0023713","18","TRAFFIC INCIDENT","1H","3671575.00000000","525553.00000000","2013-01-01T01:42:53.000","2013-01-01T01:42:57.000","2013-01-01T01:43:16.000","2013-01-01T03:05:13.000","NAT","NECESSARY ACTION TAKEN","General Taylor St & Willow St","70115","2","(29.939386004122, -90.099612837299)"
"A0023813","103F","FIGHT","2B","3682343.00000000","532156.00000000","2013-01-01T01:45:21.000","2013-01-01T01:45:23.000",,"2013-01-01T01:47:12.000","NAT","NECESSARY ACTION TAKEN","006XX Royal St","70130","8","(29.957218844066, -90.065386210963)"
"A0023913","21","COMPLAINT OTHER","2H","3671221.00000000","517772.00000000","2013-01-01T01:44:11.000","2013-01-01T01:47:21.000","2013-01-01T01:50:09.000","2013-01-01T01:57:52.000","NAT","NECESSARY ACTION TAKEN","006XX Napoleon Ave","70115","6","(29.918001224672, -90.10099466494)"
"A0024013","94","DISCHARGING FIREARM","2B","3697631.00000000","556570.00000000","2013-01-01T01:46:08.000","2013-01-01T02:02:17.000",,"2013-01-01T02:09:49.000","UNF","UNFOUNDED","064XX Pines Blvd","70126","7","(30.023874367696, -90.016225510533)"
"A0024113","62A","BURGLAR ALARM, SILEN","2C","3680271.00000000","525699.00000000","2013-01-01T01:46:18.000","2013-01-01T01:47:57.000","2013-01-01T01:52:39.000","2013-01-01T01:54:52.000","NAT","NECESSARY ACTION TAKEN","012XX Camp St","70130","6","(29.93952714121, -90.072153367809)"
"A0024213","18","TRAFFIC INCIDENT","1H","3692027.00000000","550101.00000000","2013-01-01T01:47:04.000","2013-01-01T01:47:07.000","2013-01-01T01:50:52.000","2013-01-01T02:09:55.000","NAT","NECESSARY ACTION TAKEN","Chef Menteur Hwy & Desire Pkwy","70126","3","(30.006262956881, -90.03416474805)"
"A0024313","21J","MISSING JUVENILE","1A","37369000","3513814","2013-01-01T01:47:50.000",,,"2013-01-01T04:28:35.000","VOI","VOID","085XX N I-10 Service Rd","70127","0","(9.235500543E-7, -0.0000022929847665)"
"A0024413","103","DISTURBANCE (OTHER)","1C","3689987.00000000","534916.00000000","2013-01-01T01:48:13.000","2013-01-01T01:48:14.000","2013-01-01T01:48:16.000","2013-01-01T02:04:32.000","NAT","NECESSARY ACTION TAKEN","Burgundy St & Desire St","70117","5","(29.96457308666, -90.041150591619)"
"A0024513","24","MEDICAL","2B","37369000","3513814","2013-01-01T01:48:13.000","2013-01-01T01:48:14.000","2013-01-01T01:56:48.000","2013-01-01T02:10:59.000","NAT","NECESSARY ACTION TAKEN","006XX Saint Peter St","70130","0","(9.235500543E-7, -0.0000022929847665)"
"A0024613","103","DISTURBANCE (OTHER)","1C","3681184.00000000","531226.00000000","2013-01-01T01:50:29.000","2013-01-01T01:50:32.000","2013-01-01T02:16:12.000","2013-01-01T02:31:14.000","NAT","NECESSARY ACTION TAKEN","002XX Bourbon St","70112","8","(29.9546968731, -90.069078377994)"
"A0024713","21L","LOST OR STOLEN","0A","3681815.00000000","532087.00000000","2013-01-01T01:51:16.000","2013-01-01T01:51:18.000","2013-01-01T01:56:51.000","2013-01-01T02:52:24.000","RTF","REPORT TO FOLLOW","Bourbon St & Saint Louis St","70112","8","(29.95704517231, -90.067055880118)"
"A0024813","35D","SIMPLE BATTERY DOMES","1B","3686390.00000000","554905.00000000","2013-01-01T01:49:23.000","2013-01-01T04:50:43.000","2013-01-01T05:01:42.000","2013-01-01T05:25:18.000","UNF","UNFOUNDED","059XX Franklin Ave","70122","3","(30.019646728769, -90.051803641801)"
"A0024913","966","DRUG VIOLATIONS","1G","3683451.00000000","534841.00000000","2013-01-01T01:51:53.000","2013-01-01T01:51:55.000","2013-01-01T02:00:02.000","2013-01-01T02:06:24.000","RTF","REPORT TO FOLLOW","Dauphine St & Esplanade Ave","70116","8","(29.964567914265, -90.061793405164)"
"A0025013","67","THEFT","1A","3683638.00000000","532573.00000000","2013-01-01T01:50:56.000","2013-01-01T05:53:10.000","2013-01-01T07:16:12.000","2013-01-01T08:26:35.000","RTF","REPORT TO FOLLOW","009XX Decatur St","70116","8","(29.958325985327, -90.061282384259)"
"A0025113","21","COMPLAINT OTHER","1B","3670261.00000000","537432.00000000","2013-01-01T01:52:50.000","2013-01-01T01:52:55.000","2013-01-01T02:12:20.000","2013-01-01T05:02:28.000","NAT","NECESSARY ACTION TAKEN","Banks St & S Carrollton Ave","70119","3","(29.972088171002, -90.103358744307)"
"A0025213","103","DISTURBANCE (OTHER)","1C","3681217.00000000","530712.00000000","2013-01-01T01:53:42.000","2013-01-01T01:53:44.000",,"2013-01-01T01:55:01.000","NAT","NECESSARY ACTION TAKEN","Canal St & Royal St","70130","8","(29.953282545767, -90.068992085403)"
"A0025313","62A","BURGLAR ALARM, SILEN","2C","3711497.00000000","564622.00000000","2013-01-01T01:53:06.000",,,"2013-01-01T02:14:41.000","VOI","VOID","110XX Willowbrae Dr","70127","7","(30.045568622815, -89.972109850002)"
"A0025413","107","SUSPICIOUS PERSON","2B","3680062.00000000","532477.00000000","2013-01-01T01:55:30.000","2013-01-01T01:55:30.000","2013-01-01T01:55:33.000","2013-01-01T02:07:57.000","NAT","NECESSARY ACTION TAKEN","013XX Bienville St","70112","1","(29.958170691728, -90.072577757327)"
"A0025513","107","SUSPICIOUS PERSON","2B","3681650.00000000","529719.00000000","2013-01-01T01:55:08.000","2013-01-01T01:55:57.000","2013-01-01T02:09:45.000","2013-01-01T02:18:12.000","UNF","UNFOUNDED","Gravier St & Magazine St","70130","8","(29.950538986793, -90.067659492425)"
"A0025613","18","TRAFFIC INCIDENT","1H","3683379.00000000","555683.00000000","2013-01-01T01:55:37.000","2013-01-01T01:55:44.000","2013-01-01T02:04:31.000","2013-01-01T02:39:27.000","NAT","NECESSARY ACTION TAKEN","Elysian Fields Ave & Robert E Le","70122","3","(30.021878194757, -90.061290109439)"
"A0025713","18","TRAFFIC INCIDENT","1H","3665209.00000000","554628.00000000","2013-01-01T01:52:31.000","2013-01-01T01:56:01.000","2013-01-01T02:06:47.000","2013-01-01T04:08:10.000","NAT","NECESSARY ACTION TAKEN","Hammond Hwy & Roy St","70124","3","(30.019519436145, -90.118738193914)"
"A0025813","62A","BURGLAR ALARM, SILEN","2C","3715332.00000000","570431.00000000","2013-01-01T01:56:35.000",,,"2013-01-01T02:14:17.000","VOI","VOID","079XX Sandpiper Dr","70128","7","(30.06141516344, -89.959769420939)"
"A0025913","34S","AGGRAVATED BATTERY B","2B","3682369.00000000","529694.00000000","2013-01-01T01:57:04.000","2013-01-01T01:58:33.000","2013-01-01T01:59:50.000","2013-01-01T06:12:54.000","RTF","REPORT TO FOLLOW","003XX Canal St","70130","8","(29.950448387993, -90.065390137763)"
"A0026013","103","DISTURBANCE (OTHER)","1C","3680471.00000000","550813.00000000","2013-01-01T01:57:45.000","2013-01-01T02:17:39.000","2013-01-01T02:21:00.000","2013-01-01T02:40:46.000","NAT","NECESSARY ACTION TAKEN","050XX Pratt Dr","70122","3","(30.008575906311, -90.070648205947)"
"A0026113","18","TRAFFIC INCIDENT","1H","3678809.00000000","533459.00000000","2013-01-01T01:59:36.000","2013-01-01T01:59:37.000",,"2013-01-01T02:10:36.000","NAT","NECESSARY ACTION TAKEN","Bienville St & N Claiborne Ave","70112","1","(29.960908708476, -90.076500374096)"
"A0026213","21","COMPLAINT OTHER","1H","3698475.00000000","523000.00000000","2013-01-01T01:59:41.000","2013-01-01T01:59:42.000","2013-01-01T01:59:44.000","2013-01-01T02:13:50.000","NAT","NECESSARY ACTION TAKEN","022XX General Collins Ave","70114","4","(29.931542337827, -90.014779282262)"
"A0026313","21","COMPLAINT OTHER","1H","3675884.00000000","520588.00000000","2013-01-01T01:59:35.000","2013-01-01T02:02:16.000","2013-01-01T02:16:09.000","2013-01-01T02:31:33.000","NAT","NECESSARY ACTION TAKEN","012XX 8th St","70115","6","(29.925605598057, -90.086179360471)"
"A0026413","21","COMPLAINT OTHER","2H","3662129.00000000","535041.00000000","2013-01-01T01:59:38.000","2013-01-01T02:03:43.000","2013-01-01T02:16:11.000","2013-01-01T02:26:16.000","NAT","NECESSARY ACTION TAKEN","Apple St & Monticello Ave","70118","2","(29.965751221154, -90.129120430978)"
"A0026513","24","MEDICAL","2B","37369000","3513814","2013-01-01T02:01:14.000","2013-01-01T02:01:16.000",,"2013-01-01T02:18:48.000","NAT","NECESSARY ACTION TAKEN","006XX Saint Ann St","70116","0","(9.235500543E-7, -0.0000022929847665)"
"A0026613","103F","FIGHT","2B","3681403.00000000","531510.00000000","2013-01-01T02:02:49.000","2013-01-01T02:02:54.000","2013-01-01T02:32:59.000","2013-01-01T03:39:15.000","NAT","NECESSARY ACTION TAKEN","003XX Bourbon St","70112","8","(29.955471130984, -90.068376961)"
"A0026713","21","COMPLAINT OTHER","1H","3687554.00000000","538087.00000000","2013-01-01T02:04:05.000","2013-01-01T02:04:06.000","2013-01-01T02:07:27.000","2013-01-01T02:12:34.000","NAT","NECESSARY ACTION TAKEN","015XX Franklin Ave","70117","5","(29.973367447524, -90.048721543324)"
"A0026813","18","TRAFFIC INCIDENT","1H","3678809.00000000","533459.00000000","2013-01-01T02:04:17.000","2013-01-01T02:04:17.000","2013-01-01T02:04:19.000","2013-01-01T02:13:09.000","NAT","NECESSARY ACTION TAKEN","Bienville St & N Claiborne Ave","70112","1","(29.960908708476, -90.076500374096)"
"A0026913","21L","LOST OR STOLEN","0E","3681249.00000000","530721.00000000","2013-01-01T02:04:18.000","2013-01-01T02:04:18.000","2013-01-01T02:04:20.000","2013-01-01T02:04:41.000","RTF","REPORT TO FOLLOW","001XX Royal St","70130","8","(29.953306321797, -90.068890729633)"
"A0027013","18","TRAFFIC INCIDENT","1H","3688432.00000000","536141.00000000","2013-01-01T02:04:45.000","2013-01-01T02:04:46.000","2013-01-01T02:04:50.000","2013-01-01T02:22:29.000","NAT","NECESSARY ACTION TAKEN","Montegut St & Saint Claude Ave","70117","5","(29.967989535298, -90.046017693546)"
"A0027113","62A","BURGLAR ALARM, SILEN","2C","3677631.00000000","554245.00000000","2013-01-01T02:04:33.000",,,"2013-01-01T02:15:05.000","VOI","VOID","014XX Burbank Dr","70122","3","(30.018098419791, -90.079502033044)"
"A0027213","21","COMPLAINT OTHER","2H","3681162.00000000","531231.00000000","2013-01-01T02:05:02.000","2013-01-01T02:12:28.000","2013-01-01T02:12:32.000","2013-01-01T02:16:25.000","UNF","UNFOUNDED","Bourbon St & Iberville St","70112","8","(29.954711288829, -90.069147671288)"
"A0027313","21U","UNDERAGE DRINKING VI","1F","3682271.00000000","532658.00000000","2013-01-01T02:05:54.000","2013-01-01T02:05:57.000",,"2013-01-01T02:17:38.000","NAT","NECESSARY ACTION TAKEN","007XX Bourbon St","70116","8","(29.95860136359, -90.065596026801)"
"A0027413","18","TRAFFIC INCIDENT","1H","3677507.00000000","526536.00000000","2013-01-01T02:06:10.000","2013-01-01T02:06:11.000","2013-01-01T02:06:35.000","2013-01-01T02:10:18.000","NAT","NECESSARY ACTION TAKEN","021XX Martin Luther King Jr Blv","70113","6","(29.941911976472, -90.080850808045)"
"A0027513","24","MEDICAL","2B","37369000","3513814","2013-01-01T02:06:42.000","2013-01-01T02:06:46.000","2013-01-01T02:31:51.000","2013-01-01T03:39:56.000","NAT","NECESSARY ACTION TAKEN","004XX Bourbon St","70112","0","(9.235500543E-7, -0.0000022929847665)"
"A0027613","103","DISTURBANCE (OTHER)","1C","3685106.00000000","534507.00000000","2013-01-01T02:07:15.000","2013-01-01T02:07:16.000","2013-01-01T02:07:28.000","2013-01-01T02:08:18.000","NAT","NECESSARY ACTION TAKEN","Chartres St & Elysian Fields Ave","70117","8","(29.963598926886, -90.056578797936)"
"A0027713","21","COMPLAINT OTHER","1H","3716162.00000000","556784.00000000","2013-01-01T02:06:26.000","2013-01-01T02:11:35.000","2013-01-01T02:22:28.000","2013-01-01T05:09:58.000","RTF","REPORT TO FOLLOW","047XX Nighthart St","70127","7","(30.023864071083, -89.957663729857)"
"A0027813","21","COMPLAINT OTHER","1H","3680083.00000000","532486.00000000","2013-01-01T02:08:08.000","2013-01-01T02:08:08.000","2013-01-01T02:08:12.000","2013-01-01T02:56:53.000","NAT","NECESSARY ACTION TAKEN","Bienville St & Crozat St","70112","1","(29.958194803322, -90.072511132416)"
"A0027913","103","DISTURBANCE (OTHER)","2C","3692640.00000000","544358.00000000","2013-01-01T02:07:09.000","2013-01-01T02:12:42.000","2013-01-01T02:16:54.000","2013-01-01T02:29:49.000","NAT","NECESSARY ACTION TAKEN","033XX Morrice Duncan Dr","70126","5","(29.990452682373, -90.032434125292)"
"A0028013","21","COMPLAINT OTHER","1H","3681582.00000000","531800.00000000","2013-01-01T02:08:20.000","2013-01-01T02:08:24.000",,"2013-01-01T02:17:56.000","NAT","NECESSARY ACTION TAKEN","008XX Conti St","70112","8","(29.956263097825, -90.067801630323)"
"A0028113","21","COMPLAINT OTHER","1H","3685056.00000000","536286.00000000","2013-01-01T02:09:08.000","2013-01-01T02:09:14.000","2013-01-01T02:30:50.000","2013-01-01T02:45:50.000","NAT","NECESSARY ACTION TAKEN","022XX Saint Claude Ave","70117","8","(29.968492092875, -90.056674099668)"
"A0028213","24","MEDICAL","2B","37369000","3513814","2013-01-01T02:09:40.000","2013-01-01T02:09:41.000","2013-01-01T02:16:47.000","2013-01-01T02:43:28.000","NAT","NECESSARY ACTION TAKEN","006XX Loyola Ave","70113","0","(9.235500543E-7, -0.0000022929847665)"
"A0028313","103M","MENTAL PATIENT","1B","37369000","3513814","2013-01-01T02:10:13.000","2013-01-01T02:10:15.000",,"2013-01-01T02:34:53.000","NAT","NECESSARY ACTION TAKEN","Canal St & Saint Charles Ave","70130","0","(9.235500543E-7, -0.0000022929847665)"
"A0028413","24","MEDICAL","2B","37369000","3513814","2013-01-01T02:10:28.000","2013-01-01T02:10:30.000","2013-01-01T02:16:31.000","2013-01-01T03:39:06.000","NAT","NECESSARY ACTION TAKEN","003XX Andrew Higgins Dr","70130","0","(9.235500543E-7, -0.0000022929847665)"
"A0028513","103D","DOMESTIC DISTURBANCE","2B","3665521.00000000","528172.00000000","2013-01-01T02:07:39.000","2013-01-01T02:14:02.000","2013-01-01T02:24:30.000","2013-01-01T03:38:07.000","RTF","REPORT TO FOLLOW","071XX Hickory St","70118","2","(29.946765256353, -90.11863852758)"
"A0028613","103","DISTURBANCE (OTHER)","1C","3678799.00000000","537388.00000000","2013-01-01T02:09:45.000","2013-01-01T02:12:09.000","2013-01-01T02:16:19.000","2013-01-01T04:07:48.000","NAT","NECESSARY ACTION TAKEN","011XX N Tonti St","70119","1","(29.97171242018, -90.076395852337)"
"A0028713","18","TRAFFIC INCIDENT","1H","3677678.00000000","527206.00000000","2013-01-01T02:11:26.000","2013-01-01T02:11:26.000","2013-01-01T02:12:11.000","2013-01-01T03:26:46.000","NAT","NECESSARY ACTION TAKEN","013XX Simon Bolivar Ave","70113","6","(29.943749113983, -90.080287792441)"
"A0028813","103D","DOMESTIC DISTURBANCE","1B","3670715.00000000","530178.00000000","2013-01-01T02:09:55.000","2013-01-01T02:19:42.000","2013-01-01T02:47:47.000","2013-01-01T02:53:02.000","UNF","UNFOUNDED","041XX Eden St","70125","2","(29.952128676838, -90.102171086009)"
"A0028913","103","DISTURBANCE (OTHER)","1C","3682208.00000000","529996.00000000","2013-01-01T02:13:11.000","2013-01-01T02:13:12.000","2013-01-01T02:13:48.000","2013-01-01T03:30:26.000","NAT","NECESSARY ACTION TAKEN","001XX N Peters St","70130","8","(29.951283683665, -90.06588794404)"
"A0029013","20","AUTO ACCIDENT","1C","3673491.00000000","521263.00000000","2013-01-01T02:12:30.000","2013-01-01T02:24:50.000","2013-01-01T03:02:32.000","2013-01-01T03:31:42.000","RTF","REPORT TO FOLLOW","Foucher St & Saint Charles Ave","70115","6","(29.927533031634, -90.09371029154)"
"A0029113","21","COMPLAINT OTHER","1A","3681657.00000000","530406.00000000","2013-01-01T02:16:37.000","2013-01-01T07:57:38.000","2013-01-01T08:02:18.000","2013-01-01T08:20:48.000","NAT","NECESSARY ACTION TAKEN","005XX Canal St","70130","8","(29.952427792198, -90.067613428719)"
"A0029213","24","MEDICAL","2B","37369000","3513814","2013-01-01T02:10:58.000","2013-01-01T02:20:39.000","2013-01-01T02:29:15.000","2013-01-01T02:58:28.000","NAT","NECESSARY ACTION TAKEN","007XX Saint Philip St","70116","0","(9.235500543E-7, -0.0000022929847665)"
"A0029313","21","COMPLAINT OTHER","1H","3681602.00000000","531810.00000000","2013-01-01T02:17:24.000","2013-01-01T02:17:26.000","2013-01-01T02:43:32.000","2013-01-01T03:40:04.000","RTF","REPORT TO FOLLOW","Bourbon St & Conti St","70112","8","(29.956289987038, -90.067738128318)"
"A0029413","94","DISCHARGING FIREARM","2B","3678222.00000000","536681.00000000","2013-01-01T02:17:21.000","2013-01-01T02:19:23.000","2013-01-01T02:19:59.000","2013-01-01T02:25:19.000","GOA","GONE ON ARRIVAL","024XX Dumaine St","70119","1","(29.969785803357, -90.078242564246)"
"A0029513","103","DISTURBANCE (OTHER)","1C","3666332.00000000","525585.00000000","2013-01-01T02:17:57.000","2013-01-01T02:53:24.000","2013-01-01T03:00:59.000","2013-01-01T03:16:29.000","NAT","NECESSARY ACTION TAKEN","Clara St & Palmer Ave","70118","2","(29.939628174565, -90.116164661524)"
"A0029613","63","PROWLER","2C","3678266.00000000","530170.00000000","2013-01-01T02:16:17.000","2013-01-01T02:20:08.000","2013-01-01T02:42:51.000","2013-01-01T03:39:41.000","NAT","NECESSARY ACTION TAKEN","015XX Poydras St","70112","8","(29.951881431758, -90.078328821261)"
"A0029713","103","DISTURBANCE (OTHER)","1C","3696094.00000000","518617.00000000","2013-01-01T02:18:13.000","2013-01-01T02:41:53.000","2013-01-01T02:48:59.000","2013-01-01T03:04:38.000","NAT","NECESSARY ACTION TAKEN","036XX Garden Oaks Dr","70114","4","(29.919565703042, -90.022454074788)"
"A0029813","21","COMPLAINT OTHER","1H","3682132.00000000","526575.00000000","2013-01-01T02:20:45.000","2013-01-01T02:20:53.000",,"2013-01-01T02:21:05.000","NAT","NECESSARY ACTION TAKEN","003XX Andrew Higgins Dr","70130","8","(29.941879395216, -90.066247362405)"
"A0029913","103F","FIGHT","2B","3684293.00000000","535524.00000000","2013-01-01T02:20:56.000","2013-01-01T02:45:30.000","2013-01-01T02:49:08.000","2013-01-01T02:53:43.000","UNF","UNFOUNDED","Burgundy St & Touro St","70116","8","(29.966420209642, -90.059110449545)"
"A0030013","103","DISTURBANCE (OTHER)","1C","3676064.00000000","531756.00000000","2013-01-01T02:15:12.000","2013-01-01T02:39:22.000",,"2013-01-01T02:47:41.000","NAT","NECESSARY ACTION TAKEN","020XX Perdido St","70112","1","(29.95630853425, -90.085227151223)"
"A0030113","94","DISCHARGING FIREARM","1B","3709644.00000000","563254.00000000","2013-01-01T02:20:26.000","2013-01-01T02:39:01.000",,"2013-01-01T02:39:04.000","NAT","NECESSARY ACTION TAKEN","101XX Deerfield Dr","70127","7","(30.041867568137, -89.978017325977)"
"A0030213","21","COMPLAINT OTHER","1H","3682132.00000000","526575.00000000","2013-01-01T02:21:17.000","2013-01-01T02:21:18.000",,"2013-01-01T02:21:27.000","NAT","NECESSARY ACTION TAKEN","003XX Andrew Higgins Dr","70130","8","(29.941879395216, -90.066247362405)"
"A0030313","103","DISTURBANCE (OTHER)","1C","3685262.00000000","535222.00000000","2013-01-01T02:21:15.000","2013-01-01T03:47:30.000",,"2013-01-01T03:47:36.000","NAT","NECESSARY ACTION TAKEN","022XX Dauphine St","70117","8","(29.965560149201, -90.056060998194)"
"A0030413","103F","FIGHT","2B","3681459.00000000","532811.00000000","2013-01-01T02:20:47.000","2013-01-01T02:46:22.000","2013-01-01T02:50:34.000","2013-01-01T02:57:12.000","UNF","UNFOUNDED","Burgundy St & Toulouse St","70112","8","(29.959046739002, -90.068154773924)"
"A0030513","21","COMPLAINT OTHER","2H","3678730.00000000","532601.00000000","2013-01-01T02:22:04.000","2013-01-01T02:23:33.000","2013-01-01T02:26:23.000","2013-01-01T02:30:13.000","UNF","UNFOUNDED","Canal St & N Robertson St","70112","1","(29.958551881235, -90.076779553114)"
