"nopd_item","type","typetext","priority","mapx","mapy","timecreate","timedispatch","timearrive","timeclosed","disposition","dispositiontext","block_address","zip","policedistrict","location"
"A0023411","94","DISCHARGING FIREARMS","2B","3696198.00000000","558640.00000000","2011-01-01T01:18:17.000","2011-01-01T01:20:20.000",,"2011-01-01T01:20:22.000","NAT","NECESSARY ACTION TAKEN","062XX Erin Dr","70126","7","(30.029611292609, -90.020678557126)"
"A0023511","21","COMPLAINT OTHER","1H","3681771.00000000","539466.00000000","2011-01-01T01:19:56.000","2011-01-01T01:20:06.000","2011-01-01T01:20:19.000","2011-01-01T01:46:52.000","NAT","NECESSARY ACTION TAKEN","A P Tureaud Ave & Aubry St","70116","5","(29.977336221891, -90.066937297631)"
"A0023611","21","COMPLAINT OTHER","1H","3684962.00000000","536299.00000000","2011-01-01T01:18:56.000","2011-01-01T01:24:14.000","2011-01-01T01:30:00.000","2011-01-01T01:42:59.000","NAT","NECESSARY ACTION TAKEN","Elysian Fields Ave & St Claude A","70116","8","(29.968530717794, -90.056970498646)"
"A0023711","103","DISTURBANCE (OTHER)","2A","3672326.00000000","536805.00000000","2011-01-01T01:21:26.000","2011-01-01T01:26:24.000","2011-01-01T01:27:57.000","2011-01-01T03:48:58.000","NAT","NECESSARY ACTION TAKEN","002XX S Genois St","70119","1","(29.970303021499, -90.096858488111)"
"A0023811","21L","LOST OR STOLEN","0A","3681838.00000000","532083.00000000","2011-01-01T01:22:39.000",,,"2011-01-01T01:22:41.000","RTF","REPORT TO FOLLOW","005XX Bourbon St","70112","8","(29.957033474755, -90.066983392922)"
"A0023911","21L","LOST OR STOLEN","0A","3681838.00000000","532083.00000000","2011-01-01T01:22:39.000",,,"2011-01-01T01:22:42.000","RTF","REPORT TO FOLLOW","005XX Bourbon St","70112","8","(29.957033474755, -90.066983392922)"
"A0024011","24","AMBULANCE REQUEST","2B","3682901.00000000","531746.00000000","2011-01-01T01:21:35.000","2011-01-01T01:27:24.000",,"2011-01-01T01:31:18.000","NAT","NECESSARY ACTION TAKEN","005XX Toulouse St","70130","8","(29.956074493804, -90.06363856539)"
"A0024111","21","COMPLAINT OTHER","1H","3681815.00000000","532087.00000000","2011-01-01T01:23:33.000","2011-01-01T01:23:41.000","2011-01-01T01:23:44.000","2011-01-01T01:52:46.000","NAT","NECESSARY ACTION TAKEN","Bourbon St & St Louis St","70112","8","(29.95704517231, -90.067055880118)"
"A0024211","103","DISTURBANCE (OTHER)","1C","3693240.00000000","548497.00000000","2011-01-01T01:25:11.000","2011-01-01T04:17:57.000","2011-01-01T04:18:18.000","2011-01-01T04:20:46.000","UNF","UNFOUNDED","040XX Alvar St","70126","5","(30.001814676227, -90.030390219965)"
"A0024311","107","SUSPICIOUS PERSON","2B","3680791.00000000","527933.00000000","2011-01-01T01:25:38.000","2011-01-01T01:25:42.000","2011-01-01T01:25:45.000","2011-01-01T01:41:03.000","NAT","NECESSARY ACTION TAKEN","Camp St & Julia St","70130","8","(29.945654148149, -90.070433922802)"
"A0024411","99","RECKLESS DRIVING","1D","3678976.00000000","519039.00000000","2011-01-01T01:24:39.000","2011-01-01T01:35:25.000","2011-01-01T01:36:22.000","2011-01-01T01:37:19.000","GOA","GONE ON ARRIVAL","3rd St & Tchoupitoulas St","70130","6","(29.921253452269, -90.076472495393)"
"A0024511","21","COMPLAINT OTHER","1H","3681815.00000000","532087.00000000","2011-01-01T01:27:38.000","2011-01-01T01:27:41.000","2011-01-01T01:27:44.000","2011-01-01T01:30:39.000","NAT","NECESSARY ACTION TAKEN","Bourbon St & St Louis St","70112","8","(29.95704517231, -90.067055880118)"
"A0024611","103","DISTURBANCE (OTHER)","1C","3681838.00000000","532083.00000000","2011-01-01T01:28:01.000","2011-01-01T01:28:03.000","2011-01-01T01:28:07.000","2011-01-01T02:50:50.000","NAT","NECESSARY ACTION TAKEN","005XX Bourbon St","70112","8","(29.957033474755, -90.066983392922)"
"A0024711","55","AGGRAVATED CRIMINAL","1B","3690845.00000000","538469.00000000","2011-01-01T01:24:00.000","2011-01-01T04:30:36.000",,"2011-01-01T04:35:32.000","UNF","UNFOUNDED","018XX Desire St","70117","5","(29.974315951483, -90.038314291219)"
"A0024811","103","DISTURBANCE (OTHER)","1C","3671745.00000000","526450.00000000","2011-01-01T01:27:35.000","2011-01-01T01:28:40.000","2011-01-01T01:29:42.000","2011-01-01T01:46:45.000","UNF","UNFOUNDED","031XX Delachaise St","70125","2","(29.941847428188, -90.099045618502)"
"A0024911","24","AMBULANCE REQUEST","2B","3684006.00000000","533740.00000000","2011-01-01T01:28:46.000","2011-01-01T01:28:49.000","2011-01-01T01:29:01.000","2011-01-01T01:51:59.000","NAT","NECESSARY ACTION TAKEN","012XX Chartres St","70116","8","(29.961523596747, -90.060079393168)"
"A0025011","107","SUSPICIOUS PERSON","2B","3673543.00000000","522075.00000000","2011-01-01T01:29:37.000","2011-01-01T01:29:39.000","2011-01-01T01:31:26.000","2011-01-01T01:34:05.000","NAT","NECESSARY ACTION TAKEN","Baronne St & Delachaise St","70115","6","(29.929764222799, -90.093518404872)"
"A0025111","21","COMPLAINT OTHER","1H","3681609.00000000","531851.00000000","2011-01-01T01:29:59.000","2011-01-01T01:30:06.000","2011-01-01T01:30:24.000","2011-01-01T01:33:33.000","NAT","NECESSARY ACTION TAKEN","004XX Bourbon St","70112","8","(29.956402510524, -90.067714594703)"
"A0025211","21","COMPLAINT OTHER","2H","3686694.00000000","546584.00000000","2011-01-01T01:27:34.000","2011-01-01T01:32:53.000","2011-01-01T01:36:07.000","2011-01-01T02:09:30.000","NAT","NECESSARY ACTION TAKEN","025XX Clover St","70122","3","(29.996757662401, -90.051137307155)"
"A0025311","21","COMPLAINT OTHER","1H","3689970.00000000","534190.00000000","2011-01-01T01:30:34.000","2011-01-01T01:30:36.000",,"2011-01-01T04:38:18.000","NAT","NECESSARY ACTION TAKEN","034XX Royal St","70117","5","(29.962577367432, -90.041230129224)"
"A0025411","94","DISCHARGING FIREARMS","2B","3695120.00000000","526088.00000000","2011-01-01T01:29:42.000","2011-01-01T01:32:01.000","2011-01-01T01:36:25.000","2011-01-01T02:01:48.000","UNF","UNFOUNDED","014XX Southlawn Blvd","70114","4","(29.94013900775, -90.025259283193)"
"A0025511","21","COMPLAINT OTHER","1H","3680964.00000000","530937.00000000","2011-01-01T01:30:58.000","2011-01-01T01:31:04.000","2011-01-01T01:50:14.000","2011-01-01T02:27:51.000","NAT","NECESSARY ACTION TAKEN","001XX Bourbon St","70112","8","(29.953908893405, -90.069783115791)"
"A0025611","103","DISTURBANCE (OTHER)","1C","3682966.00000000","531686.00000000","2011-01-01T01:27:54.000","2011-01-01T02:14:55.000",,"2011-01-01T02:24:23.000","NAT","NECESSARY ACTION TAKEN","006XX Decatur St","70130","8","(29.955907533606, -90.063435417558)"
"A0025711","67A","AUTO THEFT","1B","3667607.00000000","536189.00000000","2011-01-01T01:31:07.000","2011-01-01T01:52:15.000","2011-01-01T02:24:27.000","2011-01-01T03:56:11.000","RTF","REPORT TO FOLLOW","084XX Dixon St","70118","2","(29.968748402877, -90.111782393084)"
"A0025811","21","COMPLAINT OTHER","1H","3677326.00000000","526676.00000000","2011-01-01T01:33:20.000","2011-01-01T01:33:24.000","2011-01-01T01:35:58.000","2011-01-01T01:43:37.000","NAT","NECESSARY ACTION TAKEN","Mlk Blvd & Simon Bolivar Ave","70113","6","(29.942302369048, -90.081417434125)"
"A0025911","94F","FIREWORKS","1H","3690999.00000000","534676.00000000","2011-01-01T01:30:59.000","2011-01-01T02:30:56.000",,"2011-01-01T02:31:04.000","NAT","NECESSARY ACTION TAKEN","009XX Pauline St","70117","5","(29.963881751559, -90.037963348979)"
"A0026011","62A","BURGLAR ALARM, SILEN","2C","3684824.00000000","547600.00000000","2011-01-01T01:32:21.000","2011-01-01T01:34:55.000","2011-01-01T01:48:19.000","2011-01-01T01:54:47.000","NAT","NECESSARY ACTION TAKEN","041XX Clermont Dr","70122","3","(29.999608702262, -90.057008776352)"
"A0026111","67","THEFT","1A","3682253.00000000","537267.00000000","2011-01-01T01:32:57.000","2011-01-01T03:44:13.000","2011-01-01T03:45:03.000","2011-01-01T04:37:45.000","RTF","REPORT TO FOLLOW","015XX N Robertson St","70116","1","(29.971275078558, -90.065491829841)"
"A0026211","62A","BURGLAR ALARM, SILEN","2C","3693108.00000000","535077.00000000","2011-01-01T01:33:41.000","2011-01-01T01:35:04.000","2011-01-01T01:37:53.000","2011-01-01T01:39:08.000","NAT","NECESSARY ACTION TAKEN","011XX Poland Ave","70117","5","(29.964918633893, -90.031288965824)"
"A0026311","21","COMPLAINT OTHER","1H","3684466.00000000","544060.00000000","2011-01-01T01:32:34.000","2011-01-01T02:11:33.000","2011-01-01T02:11:35.000","2011-01-01T02:25:47.000","NAT","NECESSARY ACTION TAKEN","031XX Elysian Fields Ave","70122","3","(29.989885926836, -90.058264151629)"
"A0026411","103F","FIGHT","2B","3682901.00000000","531746.00000000","2011-01-01T01:35:15.000","2011-01-01T01:37:53.000",,"2011-01-01T01:46:46.000","NAT","NECESSARY ACTION TAKEN","005XX Toulouse St","70130","8","(29.956074493804, -90.06363856539)"
"A0026511","103","DISTURBANCE (OTHER)","1C","3673653.00000000","538644.00000000","2011-01-01T01:35:18.000","2011-01-01T01:37:09.000","2011-01-01T01:57:53.000","2011-01-01T02:02:39.000","NAT","NECESSARY ACTION TAKEN","036XX Toulouse St","70119","1","(29.975320206621, -90.092604784063)"
"A0026611","21L","LOST OR STOLEN","0A","3682604.00000000","531944.00000000","2011-01-01T01:35:25.000","2011-01-01T04:50:49.000",,"2011-01-01T04:50:57.000","UNF","UNFOUNDED","Chartres St & Toulouse St","70130","8","(29.95662797229, -90.064569466031)"
"A0026711","18","TRAFFIC  INCIDENT","1H","3681639.00000000","540111.00000000","2011-01-01T01:36:24.000","2011-01-01T01:36:38.000",,"2011-01-01T01:38:17.000","NAT","NECESSARY ACTION TAKEN","A P Tureaud Ave & N Miro St","70119","5","(29.979113758101, -90.067331689522)"
"A0026811","18","TRAFFIC  INCIDENT","1H","3680680.00000000","522364.00000000","2011-01-01T01:37:03.000","2011-01-01T01:37:04.000","2011-01-01T01:37:35.000","2011-01-01T02:52:00.000","NAT","NECESSARY ACTION TAKEN","Annunciation St & Felicity St","70130","6","(29.930344609569, -90.070978097152)"
"A0026911","21","COMPLAINT OTHER","2C","3681234.00000000","521670.00000000","2011-01-01T01:36:56.000","2011-01-01T01:38:23.000","2011-01-01T01:42:59.000","2011-01-01T01:49:40.000","NAT","NECESSARY ACTION TAKEN","018XX St Thomas St","70130","6","(29.928419544197, -90.06925337572)"
"A0027011","103","DISTURBANCE (OTHER)","2C","3684907.00000000","538531.00000000","2011-01-01T01:36:40.000","2011-01-01T01:39:14.000","2011-01-01T01:44:24.000","2011-01-01T01:51:50.000","NAT","NECESSARY ACTION TAKEN","017XX Elysian Fields Ave","70117","5","(29.974669625012, -90.057065680158)"
"A0027111","94","DISCHARGING FIREARMS","2B","3674786.00000000","537434.00000000","2011-01-01T01:37:50.000","2011-01-01T01:39:40.000","2011-01-01T01:44:07.000","2011-01-01T01:47:35.000","UNF","UNFOUNDED","Lafitte St & N Lopez St","70119","1","(29.971959336628, -90.089067960072)"
"A0027211","34","AGGRAVATED BATTERY","2B","3682132.00000000","526575.00000000","2011-01-01T01:39:39.000","2011-01-01T01:39:43.000","2011-01-01T02:55:20.000","2011-01-01T04:11:32.000","RTF","REPORT TO FOLLOW","003XX Andrew Higgins Blvd","70130","8","(29.941879395216, -90.066247362405)"
"A0027311","21","COMPLAINT OTHER","2H","3704109.00000000","556052.00000000","2011-01-01T01:38:03.000","2011-01-01T01:43:43.000","2011-01-01T01:50:09.000","2011-01-01T02:05:01.000","NAT","NECESSARY ACTION TAKEN","049XX Francisco Verrett Dr","70126","7","(30.022243732393, -89.995775559375)"
"A0027411","103","DISTURBANCE (OTHER)","1C","3669817.00000000","549108.00000000","2011-01-01T01:39:54.000","2011-01-01T01:42:20.000","2011-01-01T01:43:59.000","2011-01-01T02:32:37.000","NAT","NECESSARY ACTION TAKEN","008XX Harrison Ave","70124","3","(30.004206270076, -90.104365474189)"
"A0027511","103F","FIGHT","2B","3680513.00000000","532173.00000000","2011-01-01T01:41:18.000","2011-01-01T01:41:21.000","2011-01-01T01:51:47.000","2011-01-01T02:24:54.000","NAT","NECESSARY ACTION TAKEN","Bienville St & N Rampart St","70112","8","(29.95732114246, -90.071164198166)"
"A0027611","35","SIMPLE BATTERY","2D","3671262.00000000","529503.00000000","2011-01-01T01:37:57.000","2011-01-01T01:44:43.000","2011-01-01T01:50:14.000","2011-01-01T01:50:55.000","UNF","UNFOUNDED","039XX Toledano St","70125","6","(29.950256476928, -90.10046684325)"
"A0027711","62A","BURGLAR ALARM, SILEN","2C","3684127.00000000","533225.00000000","2011-01-01T01:41:08.000","2011-01-01T01:43:05.000","2011-01-01T01:45:16.000","2011-01-01T01:49:03.000","NAT","NECESSARY ACTION TAKEN","011XX Decatur St","70116","8","(29.960103825963, -90.059715372588)"
"A0027811","21","COMPLAINT OTHER","1H","3706129.00000000","515305.00000000","2011-01-01T01:42:30.000","2011-01-01T01:42:32.000","2011-01-01T01:42:36.000","2011-01-01T02:29:44.000","NAT","NECESSARY ACTION TAKEN","042XX Maple Leaf Dr","70131","4","(29.910139360776, -89.990901307978)"
"A0028011","21","COMPLAINT OTHER","1H","3681624.00000000","531805.00000000","2011-01-01T01:43:56.000","2011-01-01T01:43:59.000",,"2011-01-01T01:44:28.000","RTF","REPORT TO FOLLOW","004XX Bourbon St","70112","8","(29.956275570569, -90.067668834132)"
"A0028111","21","COMPLAINT OTHER","1H","3694986.00000000","523832.00000000","2011-01-01T01:43:59.000","2011-01-01T01:44:03.000",,"2011-01-01T02:28:31.000","NAT","NECESSARY ACTION TAKEN","Jo Ann Pl & Wall Blvd","70114","4","(29.933939988512, -90.025763618129)"
"A0028211","94F","FIREWORKS","1H","3690810.00000000","539632.00000000","2011-01-01T01:43:19.000","2011-01-01T01:47:14.000","2011-01-01T01:54:50.000","2011-01-01T02:43:54.000","NAT","NECESSARY ACTION TAKEN","021XX Piety St","70117","5","(29.977514876281, -90.038383319084)"
"A0028311","67","THEFT","1E","3665926.00000000","537938.00000000","2011-01-01T01:43:37.000","2011-01-01T02:40:56.000","2011-01-01T02:52:40.000","2011-01-01T02:57:12.000","UNF","UNFOUNDED","039XX Hamilton St","70118","3","(29.973606740267, -90.117032480671)"
"A0028411","107","SUSPICIOUS PERSON","2B","3682799.00000000","534573.00000000","2011-01-01T01:45:05.000","2011-01-01T01:45:10.000",,"2011-01-01T02:08:03.000","NAT","NECESSARY ACTION TAKEN","Burgundy St & Gov Nicholls St","70116","8","(29.963850884689, -90.063861747698)"
"A0028511","94F","FIREWORKS","2B","3671745.00000000","526450.00000000","2011-01-01T01:45:26.000","2011-01-01T01:46:47.000","2011-01-01T01:47:22.000","2011-01-01T01:48:12.000","NAT","NECESSARY ACTION TAKEN","031XX Delachaise St","70125","2","(29.941847428188, -90.099045618502)"
"A0028611","966","DRUG VIOLATIONS","1G","3681453.00000000","539726.00000000","2011-01-01T01:47:06.000","2011-01-01T01:47:11.000","2011-01-01T01:48:30.000","2011-01-01T02:52:37.000","RTF","REPORT TO FOLLOW","Aubry St & N Galvez St","70119","5","(29.978060791498, -90.067932577752)"
"A0028711","21","COMPLAINT OTHER","1H","3700073.00000000","520283.00000000","2011-01-01T01:46:25.000","2011-01-01T02:40:58.000","2011-01-01T02:46:43.000","2011-01-01T02:47:57.000","NAT","NECESSARY ACTION TAKEN","Mac Arthur Blvd & Rue Parc Fonta","70131","4","(29.92402086484, -90.009833688211)"
"A0028811","24","AMBULANCE REQUEST","2B","3683205.00000000","533330.00000000","2011-01-01T01:47:46.000","2011-01-01T01:47:49.000","2011-01-01T01:47:57.000","2011-01-01T02:30:37.000","NAT","NECESSARY ACTION TAKEN","007XX St Philip St","70116","8","(29.960420686764, -90.06262317047)"
"A0028911","21L","LOST OR STOLEN","0A","3681752.00000000","531382.00000000","2011-01-01T01:47:04.000","2011-01-01T04:50:57.000",,"2011-01-01T04:50:59.000","UNF","UNFOUNDED","003XX Royal St","70130","8","(29.955108575882, -90.067279411608)"
"A0029011","24","AMBULANCE REQUEST","2B","3675799.00000000","519973.00000000","2011-01-01T01:47:45.000","2011-01-01T01:50:57.000","2011-01-01T01:54:56.000","2011-01-01T02:14:33.000","NAT","NECESSARY ACTION TAKEN","032XX Magazine St","70115","6","(29.923917090285, -90.086468805075)"
"A0029111","103","DISTURBANCE (OTHER)","1C","3681050.00000000","532240.00000000","2011-01-01T01:49:04.000","2011-01-01T01:49:28.000",,"2011-01-01T02:05:13.000","NAT","NECESSARY ACTION TAKEN","004XX Burgundy St","70112","8","(29.957489094059, -90.069466181892)"
"A0029211","21","COMPLAINT OTHER","1H","3679333.00000000","533383.00000000","2011-01-01T01:49:24.000","2011-01-01T01:49:32.000","2011-01-01T01:56:43.000","2011-01-01T01:58:01.000","NAT","NECESSARY ACTION TAKEN","003XX N Robertson St","70112","1","(29.960683919977, -90.074848316966)"
"A0029311","911","SILENT E-911 CALL","2D","3707479.00000000","559834.00000000","2011-01-01T01:49:19.000","2011-01-01T01:50:28.000",,"2011-01-01T01:55:48.000","VOI","VOID","067XX Bundy Rd","70127","7","(30.032534155714, -89.984986664104)"
"A0029411","103","DISTURBANCE (OTHER)","1C","3681838.00000000","532083.00000000","2011-01-01T01:50:31.000","2011-01-01T01:50:33.000",,"2011-01-01T02:25:57.000","NAT","NECESSARY ACTION TAKEN","005XX Bourbon St","70112","8","(29.957033474755, -90.066983392922)"
"A0029511","20","AUTO ACCIDENT","1C","3681793.00000000","528646.00000000","2011-01-01T01:49:33.000",,,"2011-01-01T01:59:02.000","VOI","VOID","Lafayette St & Tchoupitoulas St","70130","8","(29.947584254253, -90.067245407915)"
"A0029611","21","COMPLAINT OTHER","1H","3681771.00000000","530129.00000000","2011-01-01T01:50:10.000","2011-01-01T02:12:57.000","2011-01-01T02:18:56.000","2011-01-01T03:36:25.000","RTF","REPORT TO FOLLOW","001XX Magazine St","70130","8","(29.951662672765, -90.067263133241)"
"A0029711","103","DISTURBANCE (OTHER)","2C","3684887.00000000","538519.00000000","2011-01-01T01:50:26.000","2011-01-01T01:53:09.000","2011-01-01T02:03:20.000","2011-01-01T02:26:08.000","NAT","NECESSARY ACTION TAKEN","N Derbigny St & Elysian Fields A","70117","5","(29.974637241718, -90.05712926709)"
"A0029811","103","DISTURBANCE (OTHER)","1C","3662348.00000000","526122.00000000","2011-01-01T01:52:37.000","2011-01-01T01:55:08.000","2011-01-01T02:59:10.000","2011-01-01T03:01:22.000","UNF","UNFOUNDED","Hillary St & Maple St","70118","2","(29.941220518884, -90.128724938374)"
"A0029911","21","COMPLAINT OTHER","2H","3684487.00000000","543776.00000000","2011-01-01T01:52:10.000","2011-01-01T02:00:38.000","2011-01-01T02:02:25.000","2011-01-01T02:05:15.000","UNF","UNFOUNDED","030XX Elysian Fields Ave","70122","3","(29.989104385121, -90.058207801396)"
"A0030011","103","DISTURBANCE (OTHER)","1C","3677733.00000000","548103.00000000","2011-01-01T01:53:36.000","2011-01-01T01:56:28.000","2011-01-01T02:07:13.000","2011-01-01T02:42:19.000","NAT","NECESSARY ACTION TAKEN","043XX Randolph Ave","70122","3","(30.001207048905, -90.079392123838)"
"A0030111","103","DISTURBANCE (OTHER)","1C","3714482.00000000","557315.00000000","2011-01-01T01:54:05.000","2011-01-01T02:42:50.000","2011-01-01T02:48:17.000","2011-01-01T03:02:36.000","UNF","UNFOUNDED","049XX Hauck Dr","70127","7","(30.025379462683, -89.962952075958)"
"A0030211","98","DRIVING WHILE UNDER","1D","3669748.00000000","520706.00000000","2011-01-01T01:55:15.000","2011-01-01T01:55:19.000","2011-01-01T02:04:31.000","2011-01-01T03:36:36.000","NAT","NECESSARY ACTION TAKEN","St Charles Ave & Valence St","70115","2","(29.926112272512, -90.105544901015)"
"A0030311","21","COMPLAINT OTHER","1H","3684826.00000000","538016.00000000","2011-01-01T01:55:48.000","2011-01-01T01:55:57.000","2011-01-01T01:56:23.000","2011-01-01T02:12:02.000","NAT","NECESSARY ACTION TAKEN","N Claiborne Ave & Elysian Fields","70117","5","(29.973256035286, -90.057339610162)"
"A0030411","18","TRAFFIC  INCIDENT","1H","3706991.00000000","514649.00000000","2011-01-01T01:56:01.000","2011-01-01T01:56:04.000","2011-01-01T01:56:07.000","2011-01-01T02:20:51.000","NAT","NECESSARY ACTION TAKEN","063XX Woodland Hwy","70131","4","(29.908307789712, -89.988204988196)"
"A0030511","56","SIMPLE CRIMINAL DAMA","1D","3732996.00000000","562418.00000000","2011-01-01T01:54:58.000","2011-01-01T02:24:11.000","2011-01-01T02:27:11.000","2011-01-01T02:57:54.000","RTF","REPORT TO FOLLOW","147XX Chef Menteur Hwy","70129","7","(30.038788769112, -89.904250475161)"
"A0030611","18","TRAFFIC  INCIDENT","1H","3664279.00000000","520846.00000000","2011-01-01T01:57:23.000","2011-01-01T01:57:24.000","2011-01-01T01:57:35.000","2011-01-01T02:53:16.000","NAT","NECESSARY ACTION TAKEN","Henry Clay Ave & Perrier St","70118","2","(29.926657230317, -90.122804358102)"
"A0030711","107","SUSPICIOUS PERSON","2B","3681602.00000000","531810.00000000","2011-01-01T01:57:39.000","2011-01-01T01:57:42.000","2011-01-01T01:57:45.000","2011-01-01T02:22:01.000","NAT","NECESSARY ACTION TAKEN","Bourbon St & Conti St","70112","8","(29.956289987038, -90.067738128318)"
"A0030811","100","HIT & RUN","2E","3682580.00000000","528445.00000000","2011-01-01T01:55:49.000","2011-01-01T01:59:17.000","2011-01-01T02:31:36.000","2011-01-01T02:33:35.000","UNF","UNFOUNDED","Convention Center Blvd & Lafayet","70130","8","(29.947007637693, -90.064767570926)"
"A0030911","21","COMPLAINT OTHER","2B","3663443.00000000","531802.00000000","2011-01-01T01:55:18.000","2011-01-01T01:59:06.000","2011-01-01T02:01:46.000","2011-01-01T03:05:40.000","NAT","NECESSARY ACTION TAKEN","084XX Sycamore St","70118","2","(29.956806992211, -90.125078704471)"
"A0031011","21","COMPLAINT OTHER","1H","3682151.00000000","524050.00000000","2011-01-01T01:58:08.000","2011-01-01T01:58:11.000","2011-01-01T01:58:14.000","2011-01-01T01:59:49.000","NAT","NECESSARY ACTION TAKEN","Henderson St & Tchoupitoulas St","70130","6","(29.93493590882, -90.066275528439)"
"A0031111","21","COMPLAINT OTHER","1H","3679824.00000000","532441.00000000","2011-01-01T01:58:08.000","2011-01-01T01:58:12.000","2011-01-01T01:59:41.000","2011-01-01T03:06:14.000","NAT","NECESSARY ACTION TAKEN","002XX Crozat St","70112","1","(29.95807890228, -90.073330545668)"
"A0031211","21","COMPLAINT OTHER","1H","3682032.00000000","532376.00000000","2011-01-01T01:58:11.000","2011-01-01T01:58:14.000","2011-01-01T01:58:21.000","2011-01-01T03:07:43.000","NAT","NECESSARY ACTION TAKEN","Bourbon St & Toulouse St","70112","8","(29.957833228267, -90.066360571767)"
"A0031311","62A","BURGLAR ALARM, SILEN","2C","3666989.00000000","550497.00000000","2011-01-01T01:57:55.000","2011-01-01T01:59:59.000","2011-01-01T02:04:27.000","2011-01-01T02:08:02.000","NAT","NECESSARY ACTION TAKEN","064XX Catina St","70124","3","(30.008108635282, -90.113252948986)"
"A0031411","21L","LOST OR STOLEN","0A","3669244.00000000","518613.00000000","2011-01-01T01:58:15.000","2011-01-01T02:57:43.000","2011-01-01T02:58:28.000","2011-01-01T04:05:32.000","UNF","UNFOUNDED","Lyons St & Magazine St","70115","2","(29.920372026007, -90.107206587206)"
"A0031511","34S","AGGRAVATED BATTERY B","2B","3669447.00000000","532727.00000000","2011-01-01T01:58:54.000","2011-01-01T02:00:15.000","2011-01-01T02:05:14.000","2011-01-01T02:08:04.000","UNF","UNFOUNDED","012XX S Genois St","70125","2","(29.959174988707, -90.106088646404)"
"A0031611","103F","FIGHT","2B","3681658.00000000","531915.00000000","2011-01-01T01:59:25.000","2011-01-01T02:04:07.000","2011-01-01T02:04:12.000","2011-01-01T02:40:16.000","NAT","NECESSARY ACTION TAKEN","004XX Bourbon St","70112","8","(29.956577000524, -90.067557636621)"
"A0031711","24","AMBULANCE REQUEST","2B","3682497.00000000","532982.00000000","2011-01-01T01:59:49.000","2011-01-01T02:06:07.000",,"2011-01-01T02:21:28.000","UNF","UNFOUNDED","Bourbon St & St Ann St","70116","8","(29.959485375764, -90.064871052746)"
"A0031811","21","COMPLAINT OTHER","1H","3681162.00000000","530640.00000000","2011-01-01T02:02:24.000",,,"2011-01-01T02:37:41.000","VOI","VOID","Canal St & St Charles Ave","70130","8","(29.953086238698, -90.069168259859)"
"A0031911","103","DISTURBANCE (OTHER)","1C","3680992.00000000","531040.00000000","2011-01-01T02:03:14.000","2011-01-01T02:03:17.000","2011-01-01T02:03:24.000","2011-01-01T02:05:34.000","NAT","NECESSARY ACTION TAKEN","001XX Bourbon St","70112","8","(29.954191259554, -90.069691116646)"
"A0032011","24","AMBULANCE REQUEST","2B","3676998.00000000","527631.00000000","2011-01-01T02:04:48.000","2011-01-01T02:04:51.000","2011-01-01T02:08:54.000","2011-01-01T03:40:26.000","NAT","NECESSARY ACTION TAKEN","024XX Erato St","70113","6","(29.944938152846, -90.082420087442)"
"A0032111","20","AUTO ACCIDENT","1C","3700703.00000000","520199.00000000","2011-01-01T02:01:47.000","2011-01-01T02:41:45.000",,"2011-01-01T03:10:15.000","DUP","DUPLICATE","Kabel Dr & Mac Arthur Blvd","70131","4","(29.923769869913, -90.007848082855)"
"A0032311","21L","LOST OR STOLEN","0A","3681624.00000000","531805.00000000","2011-01-01T02:06:29.000","2011-01-01T02:07:38.000",,"2011-01-01T02:19:21.000","RTF","REPORT TO FOLLOW","004XX Bourbon St","70112","8","(29.956275570569, -90.067668834132)"
"A0032411","24","AMBULANCE REQUEST","2B","3682081.00000000","531862.00000000","2011-01-01T02:08:20.000","2011-01-01T02:08:40.000",,"2011-01-01T02:32:01.000","NAT","NECESSARY ACTION TAKEN","007XX St Louis St","70130","8","(29.956418413268, -90.066223792324)"
"A0032511","21","COMPLAINT OTHER","1H","3685617.00000000","533892.00000000","2011-01-01T02:08:27.000","2011-01-01T02:08:30.000","2011-01-01T02:08:45.000","2011-01-01T02:13:20.000","NAT","NECESSARY ACTION TAKEN","Marigny St & N Peters St","70117","8","(29.961892223305, -90.054986782989)"
"A0032611","20I","AUTO ACCIDENT WITH I","1A","3675004.00000000","521884.00000000","2011-01-01T02:08:26.000","2011-01-01T02:10:24.000","2011-01-01T02:20:36.000","2011-01-01T03:22:00.000","RTF","REPORT TO FOLLOW","8th St & St Charles Ave","70115","6","(29.929195486391, -90.088912824618)"
"A0032711","21L","LOST OR STOLEN","0A","3681418.00000000","531597.00000000","2011-01-01T02:09:59.000","2011-01-01T02:10:06.000",,"2011-01-01T03:01:59.000","RTF","REPORT TO FOLLOW","003XX Bourbon St","70112","8","(29.955709896153, -90.068326563599)"
"A0032811","103","DISTURBANCE (OTHER)","1C","3680790.00000000","531942.00000000","2011-01-01T02:09:50.000","2011-01-01T02:51:40.000",,"2011-01-01T03:08:58.000","NAT","NECESSARY ACTION TAKEN","010XX Bienville St","70112","8","(29.956677578061, -90.070297556665)"
"A0032911","62A","BURGLAR ALARM, SILEN","2C","3673743.00000000","556144.00000000","2011-01-01T02:09:50.000","2011-01-01T02:11:42.000",,"2011-01-01T02:25:39.000","NAT","NECESSARY ACTION TAKEN","066XX Spanish Fort Blvd","70124","3","(30.023436395456, -90.091721647154)"
