"department","division","position_title","city","gender","ethnicity","education","veteran_status","startyear","birthyear"
"City Planning","Planning - Bldg Constr","Permit Technician","Chesapeake","Female","White","Masters Level Degree","Not a Veteran","2012","1966"
"Human Services","Hum Svc Div of Social Services","Fiscal Monitoring Spec I","Portsmouth","Female","Black","Bachelors Level Degree","Not a Veteran","2006","1960"
"Police","Police Field Operations-Sworn","Police Officer","Virginia Beach","Male","White","HS Graduate or Equivalent","Not a Veteran","2019","1997"
"Public Works","PW Div of Streets & Bridges","Maintenance Worker II","Chesapeake","Male","Black","HS Graduate or Equivalent","Not a Veteran","2022","1993"
"City Manager","City Manager-NCJS Adlt Com Sup","Pre-Trial Probation Officer I","Chesapeake","Female","Black","Bachelors Level Degree","Not a Veteran","2019","1997"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Suffolk","Female","Black","Some College","Not a Veteran","2016","1990"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Sergeant)","Virginia Beach","Female","Black","Bachelors Level Degree","Not a Veteran","2014","1990"
"Sheriff and Jail","Judicial - Sheriff and Jail","Secretary II","Norfolk","Female","White","Not Indicated","Not a Veteran","1997","1957"
"City Manager","Executive City Manager","Municipal Intern III","Norfolk","Female","Black","Masters Level Degree","Not a Veteran","2022","1998"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Norfolk","Female","Black","Some College","Not a Veteran","2017","1985"
"Fire-Rescue","Fire-Rescue","Fire Captain","Exmore","Male","White","Not Indicated","Not a Veteran","1992","1967"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Hobbsville","Male","White","HS Graduate or Equivalent","Not a Veteran","2015","1995"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist I","Norfolk","Male","Black","Bachelors Level Degree","Not a Veteran","2011","1952"
"Public Works","PW Division of Design","Civil Engineer IV","Chesapeake","Female","White","Bachelors Level Degree","Not a Veteran","2019","1980"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Virginia Beach","Male","White","Some College","Not a Veteran","2016","1988"
"Police","Police Field Operations-Guards","School Crossing Guard","Norfolk","Female","White","HS Graduate or Equivalent","Not a Veteran","1994","1969"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Chesapeake","Male","White","Some College","Not a Veteran","2012","1989"
"Public Works","PW Storm Water Mgmt","Maintenance Mechanic II","Virginia Beach","Male","White","Some College","Not a Veteran","2022","1989"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Suffolk","Male","White","Some College","Not a Veteran","2021","1989"
"Public Works","PW Waste Management","Refuse Collector III","Virginia Beach","Female","Black","Technical School","Not a Veteran","2021","1971"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Norfolk","Female","Black","Not Indicated","Not a Veteran","2013","1982"
"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt","Box Office Manager","Chesapeake","Female","White","Bachelors Level Degree","Not a Veteran","2007","1980"
"Human Services","Hum Svc Div of Social Services","Support Technician","Norfolk","Female","Black","Not Indicated","Not a Veteran","1996","1957"
"City Planning","Planning - Bldg Constr","Codes Specialist, Senior","King George","Male","Black","Some College","Not a Veteran","2015","1980"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Portsmouth","Female","Black","Bachelors Level Degree","Not a Veteran","2013","1959"
"Zoological Park","Executive Zoo-Animal Services","Zookeeper","Norfolk","Female","White","Bachelors Level Degree","Not a Veteran","2020","1989"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Supervisor","Norfolk","Female","Black","Bachelors Level Degree","Not a Veteran","2014","1960"
"City Attorney","Law","Deputy City Attorney I","Norfolk","Female","White","Doctorate (Professional)","Not a Veteran","2013","1973"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Norfolk","Male","White","HS Graduate or Equivalent","Not a Veteran","2019","1997"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Norfolk","Male","White","HS Graduate or Equivalent","Not a Veteran","2018","1990"
"Human Resources","Human Resources","Comp & Staff Anly II (HR only)","Reston","Female","White","Bachelors Level Degree","Not a Veteran","2020","1991"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Senior)","Virginia Beach","Male","White","Some College","Not a Veteran","2008","1982"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Virginia Beach","Female","Hispanic","Not Indicated","Not a Veteran","1994","1959"
"Police","Police Field Operations-Sworn","Police Officer","Norfolk","Female","White","Bachelors Level Degree","Not a Veteran","2019","1988"
"Libraries","Sargeant Memorial Collection","Librarian I","Chesapeake","Female","White","Masters Level Degree","Not a Veteran","2014","1988"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Sergeant)","Virginia Beach","Male","White","Some College","Not a Veteran","2002","1981"
"Police","Police Field Operations-Sworn","Police Recruit","Moosic","Female","White","Some College","Not a Veteran","2022","2001"
"Sheriff and Jail","Judicial - Sheriff and Jail","Secretary II","Norfolk","Female","White","Some College","Not a Veteran","2016","1974"
"Public Works","PW Div of Streets & Bridges","Equipment Operator III","Virginia Beach","Male","Black","Technical School","Not a Veteran","2012","1973"
"Sheriff and Jail","Judicial - Sheriff and Jail","HR Administrator - SC","Virginia Beach","Female","White","Masters Level Degree","Not a Veteran","2022","1977"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Senior)","Chesapeake","Female","Black","HS Graduate or Equivalent","Not a Veteran","2012","1986"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Senior)","Virginia Beach","Male","White","HS Graduate or Equivalent","Not a Veteran","2015","1967"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Chesapeake","Male","White","Not Indicated","Not a Veteran","2003","1982"
"Human Services","Hum Svc Juvenile Detention Ctr","Cook","Norfolk","Female","Black","Some College","Not a Veteran","2021","1973"
"Neighborhood Services","Neighborhood Development","NeighborhoodDevelopSpecialist","Norfolk","Female","Black","Bachelors Level Degree","Not a Veteran","2017","1995"
"Elections","Elections","Member Election Board","Norfolk","Male","Hispanic","Masters Level Degree","Not a Veteran","2016","1953"
"Public Works","PW Waste Management","Refuse Collector III","Chesapeake","Male","Black","HS Graduate or Equivalent","Not a Veteran","2021","1987"
"Human Services","Hum Svc Div of Social Services","Family Services Worker I","Norfolk","Female","Black","Masters Level Degree","Not a Veteran","2015","1979"
"Public Works","PW Waste Management","Refuse Collector, Lead","Norfolk","Male","Black","Bachelors Level Degree","Not a Veteran","2017","1978"
"Public Works","PW Director's Office","Program Supervisor","Hampton","Male","Hispanic","HS Graduate or Equivalent","Not a Veteran","2016","1959"
"Human Services","Hum Svc Div of Social Services","Family Services Associate","Hampton","Female","Black","Bachelors Level Degree","Not a Veteran","2021","1996"
"Police","Police Field Operations-Sworn","Police Officer","Virginia Beach","Female","White","Some College","Not a Veteran","2020","1995"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","Black","Bachelors Level Degree","Not a Veteran","2020","1995"
"Human Services","Hum Svc Div of Social Services","Family Services Worker II","Newport News","Female","Black","Masters Level Degree","Not a Veteran","2021","1977"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Recruit)","Virginia Beach","Male","White","HS Graduate or Equivalent","Not a Veteran","2022","2000"
"Police","Police Field Operations-Guards","School Crossing Guard","Norfolk","Female","White","Some College","Not a Veteran","2019","1964"
"Public Works","PW Director's Office","Management Analyst II","Chesapeake","Female","Black","Some College","Not a Veteran","2014","1980"
"City Planning","Planning - Bldg Constr","City Planner I","Norfolk","Male","White","Bachelors Level Degree","Not a Veteran","2018","1998"
"City Attorney","Law","Legal Coordinator I","Chesapeake","Female","White","Associate Degree","Not a Veteran","2015","1987"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Recruit)","Norfolk","Female","Black","HS Graduate or Equivalent","Not a Veteran","2022","2001"
"Budget and Strategic Planning","Office Budget & Strategic Plan","Grants Manager","Norfolk","Female","White","Masters Level Degree","Not a Veteran","2014","1957"
"Human Services","Hum Svc Div of Social Services","Fiscal Manager II","Chesapeake","Female","White","Bachelors Level Degree","Not a Veteran","2016","1963"
"Public Works","PW Div of Streets & Bridges","Construction Inspector I","Norfolk","Male","Black","Not Indicated","Not a Veteran","1997","1975"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Supervisor","Newport News","Female","Black","Associate Degree","Not a Veteran","2014","1988"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Norfolk","Male","White","Bachelors Level Degree","Not a Veteran","2019","1988"
"Information Technology","Information Technology","Microcomputer Sys Analyst Sr","Suffolk","Male","Black","Bachelors Level Degree","Not a Veteran","2022","1970"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","Black","Not Indicated","Not a Veteran","2013","1988"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","White","Not Indicated","Not a Veteran","1992","1967"
"City Planning","Planning - Bldg Constr","Permit Technician","Oxon Hill","Female","Black","HS Graduate or Equivalent","Not a Veteran","2020","1997"
"Police","Police Field Operations-Guards","School Crossing Guard","Norfolk","Female","White","Associate Degree","Not a Veteran","2015","1986"
"City Planning","Planning - Environmental Srvcs","Programs Manager","Norfolk","Male","White","Masters Level Degree","Not a Veteran","2015","1981"
"Nauticus","Maritime Center - Education","Maritime Center Specialist II","Norfolk","Male","White","Some College","Not a Veteran","2022","1965"
"Human Services","Hum Svc Div of Social Services","Human Services Aide","Chesapeake","Female","Hispanic","Some College","Not a Veteran","2022","1993"
"Human Services","Hum Svc Div of Social Services","Office Assistant","Norfolk","Female","Black","Not Indicated","Not a Veteran","1992","1960"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Chesapeake","Male","White","Bachelors Level Degree","Not a Veteran","2014","1991"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Captain)","Virginia Beach","Female","Black","Not Indicated","Not a Veteran","1996","1967"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","White","Associate Degree","Not a Veteran","2016","1992"
"Cultural Facilities, Arts and Entertainment","CF-Cultural&Convention Center","Ticket Seller","Suffolk","Female","Black","Masters Level Degree","Not a Veteran","2007","1978"
"City Attorney","Law","Deputy City Attorney I","Norfolk","Female","Black","Not Indicated","Not a Veteran","1998","1970"
"Public Works","PW Div of Streets & Bridges","Utility MaintenanceSupv, Sr","Norfolk","Male","Black","Not Indicated","Not a Veteran","1995","1963"
"Sheriff and Jail","Sheriff - RSAT","Counselor IV","Portsmouth","Male","Black","Masters Level Degree","Not a Veteran","2021","1981"
"Neighborhood Services","Neighborhood Development","NeighborhoodDev Specialist Sr","Norfolk","Female","Black","Not Indicated","Not a Veteran","2013","1963"
"City Council","City Council","Member Of Council","Norfolk","Female","Black","Some Graduate School","Not a Veteran","2014","1965"
"Finance","Finance Retirement Bureau","Management Analyst III","Huntsville","Female","White","Doctorate (Professional)","Not a Veteran","2018","1986"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Elizabeth City","Female","Hispanic","Not Indicated","Not a Veteran","2017","1975"
"Police","Police Administrative Svc-Civl","Financial Operations Mgr","Norfolk","Female","White","Not Indicated","Not a Veteran","2013","1955"
"City Manager","City Manager-NCJS Adlt Com Sup","Pre-Trial Probation Officer II","Virginia Beach","Female","Black","Not Indicated","Not a Veteran","1991","1963"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Sergeant)","Virginia Beach","Female","Black","Some College","Not a Veteran","2015","1987"
"Human Services","Hum Svc Div of Social Services","Programs Manager","Newport News","Female","Black","Bachelors Level Degree","Not a Veteran","2015","1969"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Chesapeake","Female","Black","Associate Degree","Not a Veteran","2019","1975"
"Budget and Strategic Planning","Office Budget & Strategic Plan","Budget & Policy Analyst I","Norfolk","Male","White","Bachelors Level Degree","Not a Veteran","2022","2000"
"Utilities","Utilities Water Accounts","Account Representative","Norfolk","Female","Black","HS Graduate or Equivalent","Not a Veteran","2022","1996"
"Human Services","Hum Svc Juvenile Detention Ctr","Youth Detention Specialist II","Virginia Beach","Male","Black","Bachelors Level Degree","Not a Veteran","2012","1979"
"City Attorney","Law","Assistant City Attorney I","Norfolk","Female","White","Doctorate (Professional)","Not a Veteran","2014","1985"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Senior)","Norfolk","Female","White","Technical School","Not a Veteran","2015","1990"
"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt","Stage Production Manager","Virginia Beach","Male","White","Associate Degree","Not a Veteran","2015","1985"
"Information Technology","Information Technology","Programmer/Analyst IV","Hampton","Female","Black","Some College","Not a Veteran","2017","1968"
"Human Services","Hum Svc Div of Social Services","Family Services Worker I","Virginia Beach","Female","Black","Bachelors Level Degree","Not a Veteran","2020","1997"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","Asian","Some College","Not a Veteran","2019","1997"
"City Planning","Planning - Environmental Srvcs","Operations Manager","Norfolk","Male","Black","Bachelors Level Degree","Not a Veteran","2016","1992"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Chesapeake","Male","White","Some College","Not a Veteran","2021","1999"
"Neighborhood Services","Dept of Neighborhood Dev - Div","Codes Specialist, Senior","Elizabeth City","Male","White","Bachelors Level Degree","Not a Veteran","2020","1964"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Senior)","Suffolk","Male","Black","Not Indicated","Not a Veteran","1989","1961"
"Neighborhood Services","Dept of Neighborhood Dev - Div","Codes Specialist","Norfolk","Male","NS","Associate Degree","Not a Veteran","2022","1991"
"Sheriff and Jail","Judicial - Sheriff and Jail","Clinical Mental Health Profess","Chesapeake","Female","Black","Masters Level Degree","Not a Veteran","2020","1985"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Virginia Beach","Male","White","HS Graduate or Equivalent","Not a Veteran","1972","1954"
"Transit","Transit - Transportation","Engineering Technician II","Virginia Beach","Male","Hispanic","Some College","Not a Veteran","2019","1989"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Norfolk","Male","Black","Bachelors Level Degree","Not a Veteran","2015","1989"
"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt","Ticket Seller","Norfolk","Male","White","Bachelors Level Degree","Not a Veteran","2021","1994"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Norfolk","Male","White","HS Graduate or Equivalent","Not a Veteran","2020","1996"
"Information Technology","Information Technology","Technology Manager","Virginia Beach","Female","White","Masters Level Degree","Not a Veteran","2021","1966"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Chesapeake","Female","Black","HS Graduate or Equivalent","Not a Veteran","2018","1995"
"Economic Development","Development","Management Analyst I","Virginia Beach","Female","Hispanic","Some College","Not a Veteran","2022","1982"
"Human Services","Hum Svc Juvenile Detention Ctr","Youth Detention Specialist III","Virginia Beach","Male","White","Not Indicated","Not a Veteran","1999","1971"
"Libraries","Branch Operations","Librarian I","Virginia Beach","Female","White","Masters Level Degree","Not a Veteran","2021","1967"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Virginia Beach","Female","Black","Not Indicated","Not a Veteran","1995","1966"
"Norfolk Community Services Board","NCSB-Prevention Services","Program Administrator","Portsmouth","Female","Black","Masters Level Degree","Not a Veteran","2014","1979"
"Cultural Facilities, Arts and Entertainment","CF-Cultural&Convention Center","Tour/Information Assistant","Norfolk","Female","White","HS Graduate or Equivalent","Not a Veteran","2022","1965"
"Human Services","Hum Svc Div of Social Services","Family Services Worker I","Virginia Beach","Female","","Bachelors Level Degree","Not a Veteran","2017","1985"
"Sheriff and Jail","Judicial - Sheriff and Jail","Inmate Classif Specialist","Norfolk","Female","Black","Not Indicated","Not a Veteran","1998","1973"
"Police","Police Administration - Sworn","Master Police Officer","Norfolk","Male","White","Not Indicated","Not a Veteran","2013","1994"
"Human Services","Hum Svc Div of Social Services","Family Services Worker I","Moyock","Female","White","Masters Level Degree","Not a Veteran","1981","1952"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Yorktown","Female","Black","Bachelors Level Degree","Not a Veteran","2020","1990"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Senior)","Chesapeake","Male","White","Some College","Not a Veteran","2015","1975"
"Public Works","PW Waste Management","Refuse Collector II","Norfolk","Male","Black","Technical School","Not a Veteran","2017","1974"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Chesapeake","Male","White","Masters Level Degree","Not a Veteran","2022","1978"
"Human Services","Hum Svc Div of Social Services","Family Services Worker I","Franklin","Female","Black","Bachelors Level Degree","Not a Veteran","2022","1993"
"Human Services","Hum Svc Juvenile Detention Ctr","Youth Detention Specialist II","","Female","Black","Bachelors Level Degree","Not a Veteran","2017","1991"
"Police","Police Field Operations-Sworn","Police Officer","Chesapeake","Male","White","Some College","Not a Veteran","2017","1993"
"Human Services","Hum Svc Div of Social Services","Family Services Associate","Chesapeake","Female","Black","Bachelors Level Degree","Not a Veteran","2022","1976"
"Human Services","Hum Svc Div of Social Services","Family Services Supervisor","Virginia Beach","Female","White","Masters Level Degree","Not a Veteran","2016","1985"
"Police","Police Field Operations-Sworn","Police Officer","Chesapeake","Male","Black","Bachelors Level Degree","Not a Veteran","2022","1990"
"Police","Police Field Operations-Sworn","Police Officer","Virginia Beach","Male","White","Bachelors Level Degree","Not a Veteran","2022","1997"
"Zoological Park","Executive Zoo-Animal Services","Zookeeper","Chesapeake","Female","White","Bachelors Level Degree","Not a Veteran","2016","1984"
"Human Services","Hum Svc Div of Social Services","Family Services Worker I","Norfolk","Female","Black","Bachelors Level Degree","Not a Veteran","2022","1990"
"Libraries","Director's Office","Library Manager","Virginia Beach","Female","White","Not Indicated","Not a Veteran","1986","1952"
"Human Services","Hum Svc Div of Social Services","Family Services Worker II","Chesapeake","Female","White","Not Indicated","Not a Veteran","2013","1974"
"Human Services","Hum Svc Div of Social Services","Family Services Supervisor","Norfolk","Female","Black","Bachelors Level Degree","Not a Veteran","2018","1973"
"Police","Police Field Operations-Sworn","Police Officer","Norfolk","Male","Black","Bachelors Level Degree","Not a Veteran","2022","1989"
"Utilities","Utilities Engineering","Engineering Technician I","Virginia Beach","Male","White","Some College","Not a Veteran","2019","1990"
"Police","Police Administrative Svcs-Swn","Police Officer","Chesapeake","Male","White","Not Indicated","Not a Veteran","1989","1965"
"Emergency Preparedness and Response","EOC/Emergency Management","Administrative Assistant II","Virginia Beach","Female","White","Not Indicated","Not a Veteran","1991","1970"
"Public Works","PW Div of Streets & Bridges","Equipment Operator II","Moyock","Male","Black","Associate Degree","Not a Veteran","2022","1974"
"Cemeteries","Cemetery Fund","Groundskeeper","Norfolk","Male","Black","HS Graduate or Equivalent","Not a Veteran","2022","1995"
"Finance","Finance Retirement Bureau","Retirement Benefits Spec II","Chesapeake","Female","Black","Some College","Not a Veteran","2017","1989"
"Elections","Elections","Election Aide","Norfolk","Female","White","Not Indicated","Not a Veteran","2005","1945"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","Black","Not Indicated","Not a Veteran","1995","1975"
"Police","Police Field Operations-Guards","School Crossing Guard","Norfolk","Female","White","Not Indicated","Not a Veteran","1988","1963"
"Police","Police Field Operations-Guards","School Crossing Guard","Virginia Beach","Female","White","Not Indicated","Not a Veteran","1986","1942"
"City Attorney","Law","Assistant City Attorney II","Norfolk","Male","White","Doctorate (Professional)","Not a Veteran","2019","1988"
"Human Services","Hum Svc Juvenile Detention Ctr","Youth Detention Specialist I","Chesapeake","Female","Black","Masters Level Degree","Not a Veteran","2008","1989"
"Police","Police Administration-Civilian","Administrative Assistant II","Virginia Beach","Female","Black","Some College","Not a Veteran","2005","1973"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Virginia Beach","Male","White","Not Indicated","Not a Veteran","1999","1976"
"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt","Event Support Crew Member II","Norfolk","Male","White","HS Graduate or Equivalent","Not a Veteran","2019","1996"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist I","Hampton","Female","Black","Bachelors Level Degree","Not a Veteran","2022","1993"
"Fire-Rescue","Fire-Rescue","Battalion Fire Chief","Chesapeake","Male","White","Not Indicated","Not a Veteran","1993","1972"
"Information Technology","Information Technology","Microcomputer Sys Analyst Sr","Virginia Beach","Male","White","Associate Degree","Not a Veteran","2022","1992"
"Police","Police Administration-Civilian","Administrative Assistant I","Norfolk","Female","Black","Not Indicated","Not a Veteran","1999","1963"
"Police","Police Field Operations-Sworn","Master Police Officer","Virginia Beach","Male","White","Associate Degree","Not a Veteran","2015","1991"
"Police","Police Field Operations-Sworn","Police Captain","Virginia Beach","Male","White","Not Indicated","Not a Veteran","1990","1966"
"Cultural Facilities, Arts and Entertainment","CFAE-Cultural Affrs/SpecEvents","Project Coordinator","Virginia Beach","Female","Black","Bachelors Level Degree","Not a Veteran","2019","1993"
"Public Health","Public Health Vector Control","Groundskeeper Crew Leader","Norfolk","Male","Black","HS Graduate or Equivalent","Not a Veteran","2017","1962"
"Public Works","PW Waste Management","Refuse Collector, Lead","Virginia Beach","Male","Black","HS Graduate or Equivalent","Not a Veteran","2017","1979"
"Nauticus","Maritime Center - Visitor Svcs","Manager of Visitor Services","Hampton","Female","White","Some College","Not a Veteran","2021","1972"
"Police","Police Field Operations-Sworn","Police Officer","Norfolk","Male","White","Some College","Not a Veteran","2018","1996"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Supervisor","Virginia Beach","Female","White","Not Indicated","Not a Veteran","1996","1961"
"Sheriff and Jail","Judicial - Sheriff and Jail","Assist Procurement Specialist","Virginia Beach","Female","Asian","Not Indicated","Not a Veteran","1988","1968"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Chesapeake","Male","White","HS Graduate or Equivalent","Not a Veteran","2019","1976"
"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt","Event Support Crew Member II","Virginia Beach","Male","White","Bachelors Level Degree","Not a Veteran","2021","1997"
"Public Works","PW Director's Office","Support Technician","Norfolk","Female","Black","Some College","Not a Veteran","2015","1984"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Portsmouth","Female","Black","Not Indicated","Not a Veteran","2018","1982"
"Police","Police Administration - Sworn","Master Police Officer","Virginia Beach","Male","Black","Some College","Not a Veteran","2015","1983"
"Police","Police Administration - Sworn","Master Police Officer","Elizabeth City","Male","Black","Some College","Not a Veteran","2014","1989"
"Police","Police Administration - Sworn","Master Police Officer","Norfolk","Female","White","Bachelors Level Degree","Not a Veteran","2009","1991"
"City Council","City Council","Member Of Council","Norfolk","Male","Black","Not Indicated","Not a Veteran","1992","1948"
"Police","Police Administrative Svc-Civl","Operations Officer II","Chesapeake","Female","White","Associate Degree","Not a Veteran","2018","1975"
"Police","Police Administrative Svc-Civl","Operations Officer II","Norfolk","Male","Black","Bachelors Level Degree","Not a Veteran","2022","1969"
"Human Services","Hum Svc Div of Social Services","Family Services Worker III","Chesapeake","Female","White","Masters Level Degree","Not a Veteran","2021","1970"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Recruit)","Norfolk","Female","Black","Bachelors Level Degree","Not a Veteran","2022","1998"
"Human Services","Hum Svc Juvenile Detention Ctr","Detention Center Asst Supt","Virginia Beach","Female","Black","Not Indicated","Not a Veteran","1995","1969"
"Finance","Finance - Director's Office","Debt Management Specialist I","Camden","Female","Black","Masters Level Degree","Not a Veteran","2022","1991"
"Finance","Finance - Director's Office","Risk Analyst","Virginia Beach","Female","White","Masters Level Degree","Not a Veteran","2021","1984"
"Cemeteries","Cemetery Fund","Groundskeeper","Norfolk","Male","Black","HS Graduate or Equivalent","Not a Veteran","2022","1994"
"Police","Police Field Operations-Guards","School Crossing Guard","Portsmouth","Female","Black","Some College","Not a Veteran","2022","1965"
"Sheriff and Jail","Judicial - Sheriff and Jail","Assist Procurement Specialist","Norfolk","Female","Black","Not Indicated","Not a Veteran","2001","1967"
"Sheriff and Jail","Judicial - Sheriff and Jail","Civilian Court Security","Norfolk","Male","Black","Not Indicated","Not a Veteran","1988","1950"
"Police","Police Administration - Sworn","Police Lieutenant","Chesapeake","Male","White","Not Indicated","Not a Veteran","1994","1970"
"Parks and Recreation","RPOS - Landscape Services","Groundskeeper","Norfolk","Male","Black","HS Graduate or Equivalent","Not a Veteran","2021","1986"
"Police","Police Administration - Sworn","Master Police Officer","Chesapeake","Male","White","Not Indicated","Not a Veteran","2002","1981"
"Norfolk Community Services Board","NCSB-Infant Development","Case Manager III","Virginia Beach","Female","White","Bachelors Level Degree","Not a Veteran","2015","1969"
"Public Works","PW Waste Management","Refuse Inspector","Norfolk","Male","Black","HS Graduate or Equivalent","Not a Veteran","2017","1993"
"Human Services","Hum Svc Div of Social Services","Family Services Worker II","Norfolk","Female","White","Bachelors Level Degree","Not a Veteran","2015","1981"
"City Manager","City Manager-NCJS Adlt Com Sup","Programs Manager","Virginia Beach","Female","Black","Not Indicated","Not a Veteran","1994","1969"
"City Planning","Planning-Planning","City Planner I","Norfolk","Female","White","Bachelors Level Degree","Not a Veteran","2019","1997"
"City Planning","Planning - Bldg Constr","Codes Specialist, Senior","Virginia Beach","Male","White","Technical School","Not a Veteran","2021","1972"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Virginia Beach","Female","Black","Bachelors Level Degree","Not a Veteran","2019","1989"
"City Planning","Planning - Bldg Constr","Permits Specialist,Senior","Virginia Beach","Female","White","Associate Degree","Not a Veteran","2015","1982"
"Human Resources","Human Resources","Municipal Intern III","Norfolk","Female","Asian","Masters Level Degree","Not a Veteran","2021","1988"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Virginia Beach","Male","White","Some College","Not a Veteran","2014","1989"
"Neighborhood Services","Neighborhood Development","Business Manager","Portsmouth","Female","Black","Bachelors Level Degree","Not a Veteran","2017","1949"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-I","Gloucester","Male","White","Not Indicated","Not a Veteran","1996","1965"
"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt","Assistant Director","Norfolk","Male","White","Some Graduate School","Not a Veteran","2014","1961"
"Public Health","Public Health Vector Control","Environmental Health Asst I","Portsmouth","Male","Black","HS Graduate or Equivalent","Not a Veteran","2016","1959"
"Human Services","Hum Svc Div of Social Services","Family Services Worker I","Virginia Beach","Female","Black","Masters Level Degree","Not a Veteran","2019","1981"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Virginia Beach","Female","Black","Some College","Not a Veteran","2016","1989"
"Human Services","Hum Svc Juvenile Detention Ctr","Youth Detention Specialist II","Chesapeake","Male","Black","Masters Level Degree","Not a Veteran","1996","1960"
"Police","Police Field Operations-Sworn","Police Officer","Virginia Beach","Male","White","Some College","Not a Veteran","2017","1994"
"Police","Police Field Operations-Sworn","Police Officer","Chesapeake","Male","White","Bachelors Level Degree","Not a Veteran","2021","1997"
"Utilities","Utilities WasteWater","Crew Leader I","Chesapeake","Male","Black","HS Graduate or Equivalent","Not a Veteran","2015","1979"
"Police","Police Administrative Svc-Civl","Operations Officer II","Norfolk","Male","White","Bachelors Level Degree","Not a Veteran","2016","1972"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Virginia Beach","Female","","Some College","Not a Veteran","2021","1998"
