"department","division","position_title","city","gender","ethnicity","education","veteran_status","startyear","birthyear"
"Public Works","PW Waste Management","Education Manager","Norfolk","Female","White","Bachelors Level Degree","Not Indicated","2011","1969"
"Libraries","Collection and Support Service","Library Associate II","Chesapeake","Female","White","Not Indicated","Not Indicated","2009","1963"
"Police","Police Field Operations-Sworn","Master Police Officer","Norfolk","Male","White","Not Indicated","Not Indicated","2012","1988"
"Slover Library","Slover Library","Library Associate  I","Norfolk","Female","White","Some College","Not Indicated","2012","1979"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Lieutenant)","Chesapeake","Male","Black","Not Indicated","Not Indicated","2009","1959"
"Police","Police Field Operations-Sworn","Master Police Officer","Virginia Beach","Male","White","Not Indicated","Not Indicated","2011","1990"
"Elections","Elections","Election Assistant I","Chesapeake","Female","White","Bachelors Level Degree","Not Indicated","2019","1994"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Suffolk","Male","White","Not Indicated","Not Indicated","2012","1977"
"Police","Police Field Operations-Sworn","Master Police Officer","Chesapeake","Male","White","Not Indicated","Not Indicated","2009","1981"
"Fire-Rescue","Fire-Rescue","Fire Lieutenant","Chesapeake","Female","White","Not Indicated","Not Indicated","2010","1984"
"Police","Police Field Operations-Guards","School Crossing Guard","Virginia Beach","Female","Black","Less Than HS Graduate","Not Indicated","2019","1997"
"Police","Police Field Operations-Sworn","Master Police Officer","Norfolk","Male","Black","Masters Level Degree","Not Indicated","2012","1967"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-I","Norfolk","Male","White","Not Indicated","Not Indicated","2010","1989"
"Utilities","Utilities Water Distribution","Utility Maintenance Supervisor","Virginia Beach","Male","Black","Not Indicated","Not Indicated","2011","1985"
"Norfolk Community Services Board","NCSB-Financial Management","Accountant II","Newport News","Female","Black","Some College","Not Indicated","2011","1969"
"Norfolk Community Services Board","NCSB-Intake","Clinical Coordinator","Chesapeake","Female","Black","Not Indicated","Not Indicated","2012","1979"
"Public Works","PW Storm Water Mgmt","Utility Maintenance Mech II","Norfolk","Male","Black","HS Graduate or Equivalent","Not Indicated","2010","1991"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-I","Norfolk","Male","White","Not Indicated","Not Indicated","2010","1977"
"Utilities","Utilities Water Distribution","Maintenance Worker II","Norfolk","Male","Black","Not Indicated","Not Indicated","2013","1989"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Norfolk","Male","Black","Not Indicated","Not Indicated","2011","1988"
"Commonwealths Attorney","Commonwealth's Attorney","Asst Commonwealth's Att III","Virginia Beach","Male","White","Not Indicated","Not Indicated","2012","1967"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Norfolk","Male","Asian","Not Indicated","Not Indicated","2012","1984"
"Human Services","Hum Svc Div of Social Services","Family Services Worker III","Hampton","Female","Black","Not Indicated","Not Indicated","2013","1968"
"Emergency Preparedness and Response","EOC/911","Public Safety Telecomm III","Virginia Beach","Female","White","Not Indicated","Not Indicated","2011","1977"
"Human Services","Hum Svc Div of Social Services","Family Services Worker II","Chesapeake","Female","Black","Not Indicated","Not Indicated","2010","1957"
"Fire-Rescue","Fire-Rescue","Fire Inspector","Virginia Beach","Male","White","Not Indicated","Not Indicated","2012","1988"
"Norfolk Community Services Board","NCSB-Crisis Stabilization","Counselor III","Virginia Beach","Female","Black","Not Indicated","Not Indicated","2009","1968"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","White","Not Indicated","Not Indicated","2012","1969"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Chesapeake","Male","White","Not Indicated","Not Indicated","2013","1988"
"Norfolk Community Services Board","NCSB- Mental Health Counseling","Counselor IV","Norfolk","Female","Black","Not Indicated","Not Indicated","2011","1982"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Virginia Beach","Male","Black","Not Indicated","Not Indicated","2009","1967"
"Norfolk Community Services Board","NCSB-Board Access Unit (MH)","Case Manager IV","Chesapeake","Male","White","Not Indicated","Not Indicated","2012","1978"
"Emergency Preparedness and Response","EOC/Emergency Management","Dir,OfcofEmergPrepare&Response","Virginia Beach","Male","White","Not Indicated","Not Indicated","2011","1971"
"Police","Police Field Operations-Sworn","Master Police Officer","Virginia Beach","Male","White","Not Indicated","Not Indicated","2012","1986"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Portsmouth","Male","","Not Indicated","Not Indicated","2010","1986"
"Sheriff and Jail","Judicial - Sheriff and Jail","Maintenance Mechanic - SC","Norfolk","Male","White","Not Indicated","Not Indicated","2009","1971"
"Police","Police Field Operations-Sworn","Master Police Officer","Norfolk","Male","White","Bachelors Level Degree","Not Indicated","2011","1987"
"Utilities","Utilities Water Production","Water Production Manager","Norfolk","Male","White","Not Indicated","Not Indicated","2010","1960"
"Utilities","Utilities Water Distribution","Equipment Operator III","Norfolk","Male","Black","HS Graduate or Equivalent","Not Indicated","2018","1966"
"Parks and Recreation","Rec,Parks,OpenSpace-Rec Center","Recreation Specialist","Norfolk","Male","Black","Not Indicated","Not Indicated","2010","1985"
