"area_type","area_name","period","soc_level","standard_occupational_classification","occupational_title","base_year_employment_estimate","projected_year_employment_estimate","numeric_change","percentage_change","exits","transfers","median_hourly_wage","total_job_openings","median_annual_wage","entry_level_education","work_experience","job_training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","29-9000","Other Healthcare Practitioners and Technical Occupations","70","70","0","0.0","20","20","0.00","40","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-9011","Occupational Health and Safety Specialists","50","50","0","0.0","10","20","0.00","30","0","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","2","31-0000","Healthcare Support Occupations","3630","4310","680","18.7","1890","2600","13.51","5170","28110","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","31-1000","Nursing, Psychiatric, and Home Health Aides","1500","1850","350","23.3","900","980","0.00","2230","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","31-1014","Nursing Assistants","1380","1700","320","23.2","830","900","0.00","2050","0","Postsecondary non-degree award","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","31-1015","Orderlies","50","60","10","20.0","30","30","0.00","70","0","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","31-2000","Occupational Therapy and Physical Therapist Assistants and Aides","180","230","50","27.8","90","160","0.00","300","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","31-2021","Physical Therapist Assistants","70","90","20","28.6","40","70","30.85","130","64163","Associate's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","31-2022","Physical Therapist Aides","70","90","20","28.6","30","60","12.55","110","26102","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","31-9000","Other Healthcare Support Occupations","1950","2230","280","14.4","900","1470","0.00","2650","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","31-9011","Massage Therapists","60","70","10","16.7","40","30","17.26","80","35908","Postsecondary non-degree award","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","31-9091","Dental Assistants","420","460","40","9.5","200","290","17.61","530","36639","Postsecondary non-degree award","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","31-9092","Medical Assistants","960","1170","210","21.9","420","760","16.06","1390","33395","Postsecondary non-degree award","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","31-9093","Medical Equipment Preparers","60","60","0","0.0","30","40","20.52","70","42676","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","31-9096","Veterinary Assistants and Laboratory Animal Caretakers","50","50","0","0.0","30","60","14.04","90","29202","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","31-9097","Phlebotomists","110","140","30","27.3","50","90","18.78","170","39050","Postsecondary non-degree award","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","31-9099","Healthcare Support Workers, All Other","110","120","10","9.1","60","70","15.91","140","33096","High school diploma or equivalent","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","2","33-0000","Protective Service Occupations","2390","2320","-70","-2.9","1100","1460","21.53","2490","44777","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","33-1000","Supervisors of Protective Service Workers","110","110","0","0.0","30","50","0.00","80","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","33-2000","Fire Fighting and Prevention Workers","370","340","-30","-8.1","70","180","0.00","220","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","33-2011","Firefighters","370","340","-30","-8.1","60","180","32.92","210","68468","Postsecondary non-degree award","None","Long-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","33-3000","Law Enforcement Workers","1090","1000","-90","-8.3","290","490","0.00","690","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","33-3012","Correctional Officers and Jailers","320","270","-50","-15.6","110","150","0.00","210","0","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","33-3021","Detectives and Criminal Investigators","90","90","0","0.0","20","40","0.00","60","0","High school diploma or equivalent","<5 years","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","33-3051","Police and Sheriff's Patrol Officers","680","640","-40","-5.9","160","310","27.90","430","58034","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","33-9000","Other Protective Service Workers","810","870","60","7.4","710","740","0.00","1510","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","33-9032","Security Guards","430","480","50","11.6","230","350","13.70","630","28502","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","33-9092","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","110","110","0","0.0","140","120","12.23","260","25422","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","33-9099","Protective Service Workers, All Other","210","230","20","9.5","290","240","0.00","550","0","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","2","35-0000","Food Preparation and Serving Related Occupations","11510","13870","2360","20.5","8970","12650","12.74","23980","26514","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","35-1000","Supervisors of Food Preparation and Serving Workers","880","1060","180","20.5","410","1050","0.00","1640","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","35-1012","First-Line Supervisors of Food Preparation and Serving Workers","780","940","160","20.5","380","940","15.87","1480","33014","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","35-2000","Cooks and Food Preparation Workers","3160","3650","490","15.5","1960","3090","0.00","5540","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","35-2011","Cooks, Fast Food","890","900","10","1.1","470","790","12.90","1270","26823","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","35-2012","Cooks, Institution and Cafeteria","310","340","30","9.7","170","290","16.10","490","33487","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","35-2014","Cooks, Restaurant","1010","1350","340","33.7","630","1050","13.47","2020","28028","No formal educational credential","<5 years","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","35-2015","Cooks, Short Order","140","140","0","0.0","80","120","13.94","200","28986","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","35-2021","Food Preparation Workers","720","820","100","13.9","560","760","13.08","1420","27204","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","35-3000","Food and Beverage Serving Workers","6290","7790","1500","23.8","5520","7330","0.00","14350","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","35-3011","Bartenders","250","290","40","16.0","130","350","12.28","520","25525","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","35-3021","Combined Food Preparation and Serving Workers, Including Fast Food","4100","5260","1160","28.3","3730","4610","0.00","9500","0","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","35-3022","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","440","480","40","9.1","520","490","0.00","1050","0","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","35-3031","Waiters and Waitresses","1290","1490","200","15.5","970","1710","12.30","2880","25587","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","35-3041","Food Servers, Nonrestaurant","200","250","50","25.0","170","190","12.32","410","25638","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","35-9000","Other Food Preparation and Serving Related Workers","1180","1380","200","16.9","1080","1180","0.00","2460","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","35-9011","Dining Room and Cafeteria Attendants and Bartender Helpers","300","360","60","20.0","270","290","12.46","620","25916","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","35-9021","Dishwashers","420","470","50","11.9","330","380","12.27","760","25515","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","35-9031","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","200","240","40","20.0","250","260","12.79","550","26617","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","35-9099","Food Preparation and Serving Related Workers, All Other","260","310","50","19.2","230","250","12.30","530","25576","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","2","37-0000","Building and Grounds Cleaning and Maintenance Occupations","4720","5160","440","9.3","2750","3710","13.76","6900","28625","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","37-1000","Supervisors of Building and Grounds Cleaning and Maintenance Workers","300","330","30","10.0","120","230","0.00","380","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","37-1011","First-Line Supervisors of Housekeeping and Janitorial Workers","170","190","20","11.8","80","130","23.79","230","49484","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","37-1012","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","130","140","10","7.7","50","100","35.83","160","74515","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","37-2000","Building Cleaning and Pest Control Workers","3050","3360","310","10.2","2040","2220","0.00","4570","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","37-2011","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1800","1970","170","9.4","1150","1330","13.70","2650","28502","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","37-2012","Maids and Housekeeping Cleaners","1150","1270","120","10.4","860","770","12.38","1750","25752","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","37-2021","Pest Control Workers","100","110","10","10.0","30","120","16.94","160","35249","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","37-3000","Grounds Maintenance Workers","1380","1480","100","7.2","590","1270","0.00","1960","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","37-3011","Landscaping and Groundskeeping Workers","860","890","30","3.5","360","780","14.66","1170","30480","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","37-3013","Tree Trimmers and Pruners","120","140","20","16.7","50","110","22.83","180","47476","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","2","39-0000","Personal Care and Service Occupations","7780","8510","730","9.4","5820","6090","13.47","12640","28028","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","39-1000","Supervisors of Personal Care and Service Workers","340","350","10","2.9","140","230","0.00","380","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","39-1021","First-Line Supervisors of Personal Service Workers","270","300","30","11.1","120","160","0.00","310","0","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","39-2000","Animal Care and Service Workers","330","340","10","3.0","220","300","0.00","530","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","39-2021","Nonfarm Animal Caretakers","230","240","10","4.3","160","210","13.81","380","28728","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","39-3000","Entertainment Attendants and Related Workers","330","330","0","0.0","340","380","0.00","720","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","39-3031","Ushers, Lobby Attendants, and Ticket Takers","50","70","20","40.0","80","70","0.00","170","0","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","39-3091","Amusement and Recreation Attendants","200","200","0","0.0","220","250","12.38","470","25752","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","39-4000","Funeral Service Workers","50","50","0","0.0","40","40","0.00","80","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","39-5000","Personal Appearance Workers","300","290","-10","-3.3","170","180","0.00","340","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","39-7000","Tour and Travel Guides","50","50","0","0.0","40","50","0.00","90","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","39-9000","Other Personal Care and Service Workers","6380","7090","710","11.1","4860","4900","0.00","10470","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","39-9011","Childcare Workers","1670","1780","110","6.6","1280","1300","12.87","2690","26771","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","39-9021","Personal Care Aides","3950","4490","540","13.7","3120","2760","0.00","6420","0","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","39-9031","Fitness Trainers and Aerobics Instructors","320","340","20","6.3","200","350","23.73","570","49371","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","39-9032","Recreation Workers","410","450","40","9.8","260","460","12.56","760","26112","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","2","41-0000","Sales and Related Occupations","14750","14820","70","0.5","8740","12880","14.37","21690","29886","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","41-1000","Supervisors of Sales Workers","2040","2050","10","0.5","700","1520","0.00","2230","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","41-1011","First-Line Supervisors of Retail Sales Workers","1860","1870","10","0.5","650","1410","20.90","2070","43465","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","41-1012","First-Line Supervisors of Non-Retail Sales Workers","180","180","0","0.0","60","110","29.65","170","61667","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","41-2000","Retail Sales Workers","9910","9890","-20","-0.2","7080","9190","0.00","16250","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","41-2011","Cashiers","4700","4610","-90","-1.9","4150","4630","12.72","8690","26481","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","41-2021","Counter and Rental Clerks","490","520","30","6.1","250","390","16.20","670","33697","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","41-2022","Parts Salespersons","380","390","10","2.6","160","310","15.23","480","31687","No formal educational credential","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","41-2031","Retail Salespersons","4320","4360","40","0.9","2500","3850","13.52","6390","28105","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","41-3000","Sales Representatives, Services","1140","1180","40","3.5","360","950","0.00","1350","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","41-3011","Advertising Sales Agents","50","40","-10","-20.0","20","50","33.83","60","70362","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","41-3021","Insurance Sales Agents","310","300","-10","-3.2","110","180","23.84","280","49577","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","41-3031","Securities, Commodities, and Financial Services Sales Agents","250","250","0","0.0","60","170","25.12","230","52243","Bachelor's degree","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","41-3099","Sales Representatives, Services, All Other","520","580","60","11.5","160","530","0.00","750","0","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","41-4000","Sales Representatives, Wholesale and Manufacturing","1360","1380","20","1.5","420","1020","0.00","1460","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","260","260","0","0.0","80","190","44.24","270","92001","Bachelor's degree","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","41-4012","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","1100","1120","20","1.8","340","830","28.48","1190","59230","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","41-9000","Other Sales and Related Workers","300","320","20","6.7","180","210","0.00","410","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","41-9022","Real Estate Sales Agents","100","100","0","0.0","50","50","0.00","100","0","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","41-9099","Sales and Related Workers, All Other","70","70","0","0.0","30","60","17.16","90","35697","High school diploma or equivalent","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","2","43-0000","Office and Administrative Support Occupations","19380","19110","-270","-1.4","9370","13120","18.35","22220","38184","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","43-1000","Supervisors of Office and Administrative Support Workers","1340","1370","30","2.2","510","910","0.00","1450","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-1011","First-Line Supervisors of Office and Administrative Support Workers","1340","1370","30","2.2","510","910","25.98","1450","54029","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","43-3000","Financial Clerks","3260","3090","-170","-5.2","1700","1970","0.00","3500","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-3011","Bill and Account Collectors","240","230","-10","-4.2","90","190","19.14","270","39823","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-3021","Billing and Posting Clerks","420","460","40","9.5","180","300","18.44","520","38348","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-3031","Bookkeeping, Accounting, and Auditing Clerks","1890","1780","-110","-5.8","1120","1020","20.77","2030","43213","Some college, no degree","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-3051","Payroll and Timekeeping Clerks","210","210","0","0.0","100","130","19.44","230","40448","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-3071","Tellers","380","310","-70","-18.4","170","240","15.19","340","31588","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","43-4000","Information and Record Clerks","3680","3610","-70","-1.9","1810","2830","0.00","4570","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-4031","Court, Municipal, and License Clerks","170","160","-10","-5.9","70","80","24.61","140","51192","High school diploma or equivalent","None","Long-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-4051","Customer Service Representatives","1380","1300","-80","-5.8","640","1140","17.33","1700","36054","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-4061","Eligibility Interviewers, Government Programs","70","70","0","0.0","30","40","22.11","70","45999","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-4071","File Clerks","80","70","-10","-12.5","40","50","19.63","80","40847","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-4111","Interviewers, Except Eligibility and Loan","230","260","30","13.0","120","180","17.78","330","36996","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-4121","Library Assistants, Clerical","70","60","-10","-14.3","50","40","19.36","80","40274","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-4131","Loan Interviewers and Clerks","130","130","0","0.0","50","80","22.28","130","46327","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-4151","Order Clerks","200","200","0","0.0","80","150","18.00","230","37426","Some college, no degree","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-4171","Receptionists and Information Clerks","800","820","20","2.5","470","620","15.28","1110","31793","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-4199","Information and Record Clerks, All Other","180","190","10","5.6","90","130","19.49","230","40550","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","43-5000","Material Recording, Scheduling, Dispatching, and Distributing Workers","4610","4940","330","7.2","2080","3460","0.00","5870","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-5011","Cargo and Freight Agents","80","80","0","0.0","30","50","20.69","80","43029","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-5031","Police, Fire, and Ambulance Dispatchers","100","90","-10","-10.0","30","60","0.00","80","0","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-5032","Dispatchers, Except Police, Fire, and Ambulance","200","220","20","10.0","70","130","21.09","220","43858","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-5051","Postal Service Clerks","80","70","-10","-12.5","30","30","24.46","50","50864","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-5052","Postal Service Mail Carriers","280","260","-20","-7.1","100","100","24.24","180","50414","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-5061","Production, Planning, and Expediting Clerks","310","350","40","12.9","110","240","21.59","390","44903","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-5071","Shipping, Receiving, and Traffic Clerks","850","960","110","12.9","300","600","16.52","1010","34374","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-5081","Stock Clerks and Order Fillers","2440","2600","160","6.6","1280","2080","0.00","3520","0","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-5111","Weighers, Measurers, Checkers, and Samplers, Recordkeeping","250","270","20","8.0","120","180","14.74","320","30666","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","43-6000","Secretaries and Administrative Assistants","3280","3050","-230","-7.0","1620","1920","0.00","3310","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-6011","Executive Secretaries and Executive Administrative Assistants","340","270","-70","-20.6","160","180","29.60","270","61568","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-6012","Legal Secretaries","60","40","-20","-33.3","20","30","25.50","30","53056","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-6013","Medical Secretaries","570","680","110","19.3","320","380","16.98","810","35316","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-6014","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","2320","2070","-250","-10.8","1120","1330","18.34","2200","38153","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","43-9000","Other Office and Administrative Support Workers","3170","3010","-160","-5.0","1620","2000","0.00","3460","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-9021","Data Entry Keyers","120","90","-30","-25.0","50","80","15.14","100","31496","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-9041","Insurance Claims and Policy Processing Clerks","320","290","-30","-9.4","110","190","19.17","270","39895","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-9061","Office Clerks, General","2370","2270","-100","-4.2","1300","1480","16.56","2680","34456","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","43-9199","Office and Administrative Support Workers, All Other","260","270","10","3.8","110","200","14.18","320","29498","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","2","45-0000","Farming, Fishing, and Forestry Occupations","33240","33970","730","2.2","13300","41280","12.44","55310","25888","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","45-1000","Supervisors of Farming, Fishing, and Forestry Workers","1280","1310","30","2.3","470","1440","0.00","1940","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","45-1011","First-Line Supervisors of Farming, Fishing, and Forestry Workers","1280","1310","30","2.3","470","1440","17.97","1940","37374","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","45-2000","Agricultural Workers","31950","32650","700","2.2","12830","39810","0.00","53340","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","45-2011","Agricultural Inspectors","120","120","0","0.0","50","120","29.38","170","61119","Bachelor's degree","None","Moderate-term on-the-job training"
