"month","year","alameda","alpine","amador","butte","calaveras","colusa","contra_costa","del_norte","el_dorado","fresno","glenn","humboldt","imperial","inyo","kern","kings","lake","lassen","los_angeles","madera","marin","mariposa","mendocino","merced","modoc","mono","monterey","napa","nevada","orange","placer","plumas","riverside","sacramento","san_benito","san_bernardino","san_diego","san_francisco","san_joaquin","san_luis_obispo","san_mateo","santa_barbara","santa_clara","santa_cruz","shasta","sierra","siskiyou","solano","sonoma","stanislaus","sutter","tehama","trinity","tulare","tuolumne","ventura","yolo","yuba","total_all_counties"
"December","2005","12302","12","335","2947","481","1096","7538","369","1602","18392","484","1614","5868","213","14043","2464","1007","484","70587","2378","1307","320","1193","5482","179","194","12600","1304","901","16353","2398","517","14114","11975","986","13894","20750","7490","10273","1767","4370","3908","13892","5382","2878","77","990","4186","3870","8734","2198","712","315","10223","679","7676","2279","1108","341690"
"January","2006","13187","14","458","3611","645","1296","8339","391","2012","20600","662","2030","4779","236","14695","3087","1146","719","75340","2569","1442","381","1437","6421","245","168","13742","1352","1049","16804","2980","726","14363","14351","1170","14389","21825","8417","11666","1971","4690","3960","15146","6117","3766","106","1239","4801","4555","10199","2330","984","394","10685","875","7375","2810","1422","372169"
"February","2006","12994","12","448","3335","579","1208","8331","314","1867","20646","596","1691","4416","218","15096","3073","1046","757","74361","2482","1437","384","1315","6599","235","164","13513","1150","1009","16831","2850","751","14559","14062","1218","14281","21317","8193","11535","1866","4681","3748","14820","6037","3348","103","1183","4590","4355","10492","2634","914","403","10673","795","6258","2730","1385","365888"
"March","2006","13365","11","518","3532","707","1194","8554","335","2128","21560","689","1970","4489","191","16007","3109","1074","770","72921","2877","1428","372","1478","6924","243","146","13334","1237","1120","16717","3186","763","14702","15025","1295","14560","21296","7983","12010","1937","4705","3988","14816","6221","3758","110","1174","4923","4835","11254","2849","1033","413","11014","899","6013","2819","1565","374146"
"April","2006","14025","11","498","3636","714","1140","8819","299","2173","20699","721","1788","6922","210","15301","3026","1028","697","77006","2854","1443","315","1398","6679","208","127","9137","1454","1105","16876","3320","659","14759","15586","1176","15141","21266","7973","12163","1867","4737","3507","14938","5770","3746","100","923","5180","4942","11440","2878","1057","377","10203","891","6069","2768","1613","375358"
"May","2006","12467","17","321","2723","518","449","7580","273","1701","16102","447","1231","7195","163","11066","2111","725","382","81039","2037","1356","200","926","4492","122","221","5185","863","840","16641","2599","368","14502","12750","831","15254","20605","7571","9299","1479","4277","2378","13279","3360","2334","60","623","4193","3822","9058","1985","737","206","6590","641","5881","1612","1000","326687"
"June","2006","12561","16","266","2648","408","332","7425","240","1451","12750","411","1205","7283","139","9786","1747","625","252","80951","1665","1382","155","759","3697","96","206","3418","735","769","17123","2480","198","15689","12125","651","15192","21055","7475","8393","1573","4151","2255","13041","2251","2056","28","467","3865","3647","8247","1523","659","144","6062","469","5944","1382","877","312400"
"July","2006","13168","15","276","2471","390","241","7378","271","1336","11716","383","1262","9722","134","9184","1423","599","240","84310","1490","1461","135","740","3288","79","192","3097","790","693","18099","2437","176","18251","12446","553","16053","22207","7611","8275","1600","4274","2257","13167","2053","1907","28","416","3903","3710","7036","1178","632","118","6781","439","7033","1328","791","321243"
"August","2006","13190","12","254","2213","378","186","7369","288","1287","10465","372","1205","10534","126","7972","1176","617","198","82345","1271","1415","118","748","2888","69","165","3140","840","683","18243","2301","142","19708","12019","423","16110","22786","7597","7539","1622","4284","2437","13434","2038","1841","22","384","3754","3736","5894","880","582","102","6106","444","7812","1204","731","315699"
"September","2006","11846","9","255","1708","344","177","6949","230","1249","9616","236","939","10157","122","7400","1034","572","172","73857","1058","1273","127","641","2361","62","188","2822","763","592","16976","2172","129","19236","11684","402","15033","21846","6555","7089","1460","3842","2538","12980","1921","1696","14","350","3418","3273","5227","794","455","92","5784","476","7534","1152","686","291573"
"October","2006","11794","15","271","1734","361","266","7289","254","1313","12786","229","976","9674","146","8790","1656","654","198","72602","1327","1229","166","655","2512","77","204","3131","696","657","17257","2280","157","19125","12047","487","15298","22266","6526","7473","1408","3815","2549","13001","2115","1816","10","396","3433","3339","6081","994","465","115","7203","464","7464","1293","750","301289"
"November","2006","11964","18","313","2357","394","712","7551","340","1539","15645","374","1281","8685","160","11594","1966","870","297","71280","1800","1272","208","905","3815","102","223","5636","1071","780","17553","2516","281","18853","12680","622","15519","22363","6517","9524","1544","3896","3047","13178","3365","2277","28","578","3701","3547","7858","1695","582","210","8904","540","8036","2009","942","325517"
"December","2006","11986","15","383","2973","501","1053","7835","339","1827","18117","557","1500","6884","178","14015","2353","999","473","71184","2273","1296","295","1193","5632","176","212","12516","1276","929","17492","2747","540","19397","14105","952","16179","23315","6868","11211","1779","4021","3805","13468","5312","2991","68","913","4125","3893","9394","2151","796","283","10485","674","8310","2549","1214","358007"
"January","2007","13034","12","487","3496","644","1244","8475","328","2120","19974","690","1836","5761","224","14713","3009","1161","649","75788","2521","1360","350","1403","6520","239","155","13528","1316","1074","18375","3274","733","19909","16288","1089","16986","25013","7566","12053","1909","4339","4027","14556","6238","3758","97","1204","4562","4567","10450","2346","941","381","10878","871","8139","3027","1526","387213"
"February","2007","13218","9","489","3584","691","1238","8819","369","2175","22245","812","1848","5282","212","16136","3359","1128","693","74369","2759","1339","393","1480","7152","234","170","13726","1242","1123","18336","3499","784","20866","16788","1180","17179","25134","7166","12651","1934","4300","4181","14784","6546","3890","108","1223","4636","4686","11439","2711","1133","378","12936","907","7816","3155","1556","398196"
"March","2007","12627","10","458","3422","635","979","8323","335","2067","19106","709","1801","4736","199","15016","2741","1035","659","70688","2653","1327","346","1366","6220","192","161","10892","1082","1053","17832","3326","763","19213","15390","1071","16706","23949","7207","11325","1778","4203","3693","14000","5578","3806","113","1119","4311","4331","10378","2475","994","352","10965","843","6817","2666","1413","367455"
"April","2007","13136","11","440","3228","599","616","8686","388","1948","19353","586","1766","7898","188","14616","2673","1004","523","75911","2617","1323","297","1252","5875","170","163","8260","1038","1054","19488","3226","600","20013","15569","988","17630","25099","7533","11148","1708","4279","3056","14735","5083","3360","106","852","4316","4512","10615","2470","961","306","10154","800","6991","2387","1316","374920"
"May","2007","12846","26","411","2809","556","438","8402","308","1814","15980","495","1336","7760","178","12277","2174","859","391","80788","2050","1255","242","924","4727","121","271","4890","899","931","19822","3046","404","19529","14590","792","18004","25184","7205","9637","1539","4244","2504","14404","3225","2766","57","625","4265","4145","9320","2126","790","214","8214","658","6961","1941","1092","353461"
"June","2007","13227","24","329","2699","488","333","8332","314","1562","13696","464","1174","7719","160","11530","1988","714","255","83278","1641","1301","175","736","3946","97","195","3436","812","824","20684","2952","235","20550","14526","642","18477","25079","7577","8989","1711","4332","2486","14470","2405","2442","34","517","4099","4059","8057","1674","706","161","7399","492","7165","1667","977","346013"
"July","2007","13856","24","346","2530","457","229","8774","314","1532","12191","496","1225","9728","166","9671","1507","661","261","88401","1619","1395","168","777","3512","93","168","3267","821","888","21919","2942","240","24078","14562","518","19287","26111","7752","8998","1785","4375","2527","14851","2346","2318","35","486","4403","4082","7369","1280","694","144","6451","494","8271","1688","899","355982"
"August","2007","13270","26","344","2209","433","191","8609","290","1495","10729","336","1176","10266","156","9032","1226","610","226","85144","1295","1404","128","710","2822","79","145","3159","834","831","22209","2936","215","24581","14194","481","19280","26236","7524","8352","1760","4258","2510","14614","2258","2092","20","434","4387","4095","6701","1015","628","126","5919","476","8982","1465","820","345743"
"September","2007","12469","22","307","1931","421","171","8167","267","1444","10770","251","973","9985","169","8835","1163","607","187","78058","1218","1282","130","626","2605","70","156","2935","803","783","22169","2916","157","23769","13805","487","18564","25998","6666","8076","1655","3924","2488","14174","2079","1989","17","380","4181","3774","6329","1020","507","115","5790","397","8818","1470","781","329300"
"October","2007","12744","18","347","2018","477","317","8294","296","1570","14089","273","1116","9325","166","9748","1754","709","245","77059","1501","1343","153","738","2843","82","181","3324","846","815","22570","3093","211","24002","14345","583","19053","26946","6681","8892","1627","3966","2732","14371","2375","2263","27","400","4151","3861","7601","1330","536","154","6434","490","8322","1809","889","342105"
"November","2007","12884","12","384","2591","529","709","8747","392","1870","17600","398","1426","8354","194","13212","2307","920","358","79087","2106","1364","226","944","4790","109","209","5615","1272","930","23430","3361","378","24528","15504","728","20294","27691","6657","11130","1869","4038","3277","14634","3446","2751","48","610","4530","4204","9283","1981","676","205","8658","582","9379","2388","1126","376925"
"December","2007","12982","11","459","3343","621","1039","9233","352","2202","19958","561","1666","6565","218","15748","2805","1114","470","83623","2575","1436","287","1304","6268","162","235","12445","1479","1095","23971","3753","551","25566","16951","1081","21086","28487","7041","13021","2060","4140","4048","14994","5664","3601","94","952","5105","4577","10894","2552","904","286","10626","721","9999","2982","1421","417384"
"January","2008","14638","13","614","4083","860","1279","10488","443","2701","22570","774","2117","5600","265","16459","3397","1324","696","93688","2919","1591","391","1584","7602","241","175","14141","1685","1394","25203","4528","778","27406","19760","1360","22647","30567","7962","14686","2441","4608","4658","16424","6681","4759","125","1279","5814","5859","12741","2798","1205","382","11572","1054","10539","3557","1792","466917"
"February","2008","15271","14","595","4073","807","1286","10902","390","2727","23904","747","1978","5477","265","17607","3544","1234","706","95103","3187","1671","399","1544","8030","253","187","14171","1399","1453","26410","4452","809","29716","19840","1490","24393","31958","7615","14958","2438","4761","4660","16818","6767","4746","125","1323","5787","5725","13468","3078","1226","427","12138","1065","9772","3539","1794","480222"
"March","2008","15948","11","625","3972","811","1081","11104","399","2701","23750","690","1962","5428","262","18331","3360","1238","693","93156","3280","1734","384","1593","7771","224","179","13138","1317","1421","26595","4506","781","29422","19631","1550","24849","31879","8036","14646","2539","4985","4361","17142","6560","4620","128","1207","5757","5814","13508","3048","1205","381","12039","1041","9035","3329","1727","476884"
"April","2008","16512","18","600","3683","748","684","11326","351","2599","21564","592","1882","8051","246","16871","3028","1210","586","95225","3066","1816","316","1372","6996","185","201","8585","1285","1412","27530","4424","664","30248","19108","1331","25981","32125","8228","13854","2564","5146","3648","17824","5772","4287","114","935","5641","5607","12988","2814","1106","337","10434","959","8855","2849","1583","467966"
"May","2008","16884","35","523","3277","705","471","11432","317","2464","17491","568","1487","8149","238","13799","2169","1010","377","98752","2438","1803","238","1071","5533","118","346","5285","1153","1346","28044","4223","323","29943","18365","1069","26744","32882","8514","12015","2470","5251","3012","18033","3589","3703","71","642","5577","5218","11377","2360","1066","222","7916","766","8681","2406","1372","445333"
"June","2008","17118","25","495","3348","664","530","11542","314","2200","16031","554","1355","8407","239","12821","2159","935","309","100230","2113","1787","203","934","5037","94","317","4239","1072","1256","28136","4064","254","30852","18122","991","27266","33260","8931","11476","2414","5320","3066","18127","2922","3329","48","577","5356","5314","10888","2130","860","203","7277","660","8643","2218","1301","440333"
"July","2008","22863","24","638","4125","802","439","15365","406","2740","18471","683","1618","11785","286","14706","2193","1152","380","136996","2526","2494","254","1188","5455","113","270","4929","1559","1489","38960","5307","309","43510","23744","1046","36113","44281","11790","14353","3191","7176","3817","23845","3575","4175","53","689","7290","7016","12659","2153","1146","234","9541","844","12498","2635","1510","579409"
"August","2008","25064","18","670","3988","886","320","16653","402","2964","18703","680","1779","12986","313","14352","2133","1188","368","150168","2419","2658","276","1243","5087","115","240","5415","1590","1518","43291","5759","293","47941","26305","1013","39244","47939","12824","14576","3411","7876","4342","26462","3798","4308","49","709","7608","7582","12062","1819","1223","216","9558","896","14231","2667","1504","623702"
"September","2008","25340","28","690","3782","928","300","17045","388","3111","19223","562","1647","13036","313","14468","2134","1274","360","151294","2269","2636","285","1202","4966","121","270","5359","1561","1550","44355","6004","281","48641","27128","1037","40091","49667","12680","15224","3479","7953","4790","27214","3810","4497","50","749","7584","7343","12160","1880","1129","208","9758","942","14599","2713","1565","633673"
"October","2008","23277","22","624","3742","902","566","15365","369","2871","23157","493","1723","11663","294","14443","2775","1290","352","134886","2571","2333","288","1125","5082","132","311","5572","1516","1536","39450","5590","394","43898","24839","1117","36267","45604","11421","14637","3066","7385","4684","25262","3893","4173","58","781","7068","6914","12637","2172","983","209","10516","959","13092","3014","1545","590908"
"November","2008","25972","35","709","4801","1031","1176","17021","539","3433","27554","687","2510","10898","339","17556","3268","1586","544","147799","3567","2652","414","1627","7403","194","353","9050","2156","1860","43963","6222","635","45686","27090","1370","38917","49940","12757","18006","3661","8429","5774","28955","6406","5078","97","1216","7930","8050","14974","3167","1248","322","12906","1126","14816","3929","1862","671266"
"December","2008","32006","30","926","5943","1318","1424","21230","563","4337","33289","889","2799","9488","403","23262","4191","1932","707","180801","4442","3391","532","2083","9744","250","336","16585","2867","2393","54938","7900","813","55963","33776","1939","49010","62308","16170","22393","4569","10657","7438","36639","8725","6581","128","1604","10050","10293","19121","3638","1599","408","16334","1514","17981","4820","2331","837801"
"January","2009","37536","26","1145","6906","1539","1656","24554","657","5088","36870","1028","3376","9665","430","25681","4804","2202","981","204362","4853","4045","676","2429","11171","288","287","18507","3176","2680","61178","8994","1052","61810","38502","2268","53981","69794","19437","24835","4976","12737","8413","43871","10212","7824","161","1940","11390","12082","21653","3936","1951","583","18006","1755","19491","5511","2792","947753"
"February","2009","42950","28","1223","7384","1690","1650","27381","692","5453","39387","1194","3783","10049","483","28422","5149","2274","1029","225787","5315","4591","697","2665","12102","309","341","19717","3370","3029","69877","10082","1281","67905","42112","2603","59184","76807","22246","27312","5655","14881","9239","52219","11175","8596","178","2082","12398","13905","23489","4536","2250","609","19181","1979","21567","5936","3040","1050468"
"March","2009","48270","28","1246","7597","1759","1609","29206","723","5785","40299","1263","3932","10989","520","30658","5166","2411","1056","245526","5753","5015","691","2873","12368","301","346","19348","3620","3228","77295","10958","1327","71535","44316","2721","62985","82637","24084","29265","6043","16472","9480","58431","11580","8975","173","2046","13038","15147","24778","4720","2469","615","19699","1992","22683","5970","3146","1126166"
"April","2009","50750","33","1244","7536","1750","1148","31179","706","5870","39451","1204","4107","14593","501","30214","4965","2444","890","263341","5686","5426","592","2783","11282","266","393","13965","3619","3309","83341","11343","1151","74887","45769","2574","66979","87651","25680","28925","6430","17754","8801","63648","10837","8493","177","1787","13617","15644","24802","4501","2412","540","18398","1954","23326","5558","3061","1169287"
"May","2009","53719","47","1256","7311","1754","977","32278","740","6044","37533","1034","3820","14335","481","28974","4417","2299","749","277936","5185","5627","527","2637","10338","220","578","11578","3427","3499","86290","11662","919","77125","46678","2392","69341","90754","26832","27939","6414","18317","8497","65271","9110","8140","142","1507","13691","15874","23830","4298","2173","458","17017","1924","24187","5405","2924","1188431"
"June","2009","55728","44","1221","7515","1755","964","33474","705","6039","37066","1143","3449","14853","466","29172","4574","2218","687","289540","5158","5787","496","2495","10242","198","553","10767","3527","3437","89946","11695","787","80027","48473","2359","72011","93804","27937","28007","6589","19003","8822","66999","8462","8088","109","1370","14089","16230","23533","4061","2029","413","16706","1882","25062","5486","2877","1220129"
"July","2009","56484","33","1257","7633","1834","843","35242","722","6168","35848","1080","3478","17134","471","28116","4045","2206","735","310405","5071","6053","498","2592","9650","195","471","10696","3613","3400","96420","12100","771","87610","51047","2168","76232","98821","28703","28654","7044","19668","9234","67875","8723","8293","103","1378","14730","16834","23245","3568","2134","405","17072","1944","27633","5618","2914","1276914"
"August","2009","57264","27","1296","7432","1851","659","35679","705","6168","35024","1067","3417","17551","467","28049","3861","2244","706","317022","4828","6155","483","2596","9237","197","465","10818","3711","3375","98560","12263","743","89120","52002","2070","76924","100570","29180","28078","7099","20070","9546","69305","8617","7940","93","1338","14829","16906","22377","3257","2115","397","17020","1984","28306","5524","2839","1291426"
"September","2009","54202","34","1219","6658","1777","599","34182","634","5876","33181","877","2996","16932","421","26702","3606","2092","653","299497","4311","5692","417","2319","8291","178","468","10219","3494","3095","93447","11719","700","84877","50021","1951","72966","96315","27236","26996","6546","19025","9349","65492","8070","7458","80","1253","14297","15980","20723","3108","2027","366","16348","1907","27242","5313","2701","1224135"
"October","2009","53871","35","1257","7053","1797","1048","34314","659","6107","38687","842","3327","16692","433","28236","4584","2393","723","297166","5027","5678","486","2433","9221","209","555","11146","3566","3175","94029","12031","773","84099","50804","2180","73554","96763","26942","28029","6640","18873","9674","64685","9022","7801","93","1391","14829","15969","22749","3771","2010","466","18288","1977","27321","5890","2813","1244186"
"November","2009","57388","34","1454","8261","2007","1437","37045","828","6897","44959","1011","3916","16309","507","33387","5519","2893","908","322410","6170","6253","653","2910","12186","271","616","14655","4432","3676","102257","13268","1000","90354","55807","2505","81140","105207","29084","32483","7624","20110","10922","68332","11441","8853","130","1895","16120","17507","26513","4680","2305","559","20684","2234","29632","6738","3251","1371627"
"December","2009","57701","32","1550","8864","2178","1712","37861","754","7193","47562","1235","3997","14341","539","36642","6028","3085","1041","325715","6528","6287","805","3148","13811","318","513","21792","4839","3879","102637","13669","1129","92116","57917","2928","82802","107254","29664","34399","8107","20452","12028","68536","13273","9603","153","2210","16846","18254","28152","5138","2591","585","23387","2446","30427","7264","3573","1417490"
"January","2010","59873","27","1689","9637","2295","1980","39596","850","7461","50416","1436","4272","13905","591","37752","6557","3296","1207","339986","6847","6598","870","3317","14907","369","414","23159","5067","3983","105537","14181","1318","94855","60887","3241","85289","110723","31072","36147","8311","21394","12465","70291","14139","10499","173","2449","17867","19303","29735","5422","2822","684","24152","2525","31157","7925","3891","1476811"
"February","2010","60616","27","1709","9679","2350","1974","40277","869","7633","51673","1493","4306","14234","636","38844","6794","3374","1222","345129","7098","6700","884","3425","15304","399","414","23485","5038","4025","107858","14386","1332","97263","62342","3362","87218","112567","31397","37071","8596","21856","12837","70961","14530","10799","172","2498","18162","20016","30433","5875","2952","699","24685","2601","31413","8054","3992","1505538"
"March","2010","60438","26","1718","9421","2310","1871","40222","863","7613","51069","1425","4316","14484","614","39171","6685","3366","1210","345505","7228","6666","861","3448","15226","383","410","22794","4993","4049","107808","14529","1314","96631","61942","3263","87461","112972","31309","36734","8658","21814","12693","70370","14363","10590","172","2378","18176","19843","30326","5908","2959","668","24216","2646","30674","7834","3953","1500589"
"April","2010","58791","31","1564","8798","2134","1514","37823","824","7173","46880","1292","3982","17078","552","35659","5944","3098","1069","328752","6666","6209","715","3211","13601","324","431","16320","4661","3794","101651","13588","1175","89513","57971","2922","81945","106138","29060","35236","8054","20690","10729","66557","12874","9695","156","2061","17155","18518","28683","5492","2748","591","21545","2440","28817","7143","3572","1405609"
"May","2010","57882","38","1507","8329","2040","1109","37262","802","7158","43345","1137","3668","16702","504","33572","5244","2900","937","329323","6030","6051","619","2812","11777","273","692","13301","4109","3889","99930","13375","971","88340","56706","2745","80917","104525","28309","32336","7768","20222","10012","64924","10288","9158","135","1869","16709","17535","26897","5046","2458","486","19524","2307","28295","6512","3407","1364718"
"June","2010","56618","37","1418","8249","1868","1075","36287","791","6772","40521","1119","3433","16119","477","31106","4993","2668","838","322034","5564","5872","520","2608","11261","231","599","11851","4011","3601","97140","12932","757","86436","55643","2519","79712","102603","28025","31380","7518","19821","9654","62215","8901","8488","104","1661","16565","17002","25287","4656","2161","437","18315","2080","27421","6184","3257","1321415"
"July","2010","56375","38","1362","8043","1870","865","35924","740","6456","39313","1091","3227","17512","483","30122","4696","2643","773","328028","5462","5722","498","2481","10863","221","480","11296","3853","3409","96124","12581","699","88840","55802","2333","79792","102188","27466","31927","7429","19437","9613","60184","8536","8169","84","1556","16119","16393","24868","4081","2164","404","19116","1989","28667","6102","3234","1319743"
"August","2010","55930","36","1328","7557","1826","664","35522","725","6261","36793","1174","3168","17696","475","27617","4133","2603","711","324748","5088","5680","501","2424","9672","216","460","11117","3868","3298","94930","12345","660","88878","54919","2163","78397","101534","27450","30376","7194","19063","9739","59401","8376","7858","78","1535","15726","16339","22483","3436","2112","365","17613","1958","28645","5726","2956","1293546"
"September","2010","53171","31","1357","6979","1750","644","33998","670","6122","35435","886","2893","17255","454","26380","3952","2543","674","305970","4579","5379","500","2298","8553","206","517","10722","3765","3115","91111","11783","651","85641","53593","2094","75984","98310","25864","29697","6824","18180","9583","56990","7953","7813","87","1503","15391","15231","21191","3365","1889","381","16751","1885","27501","5492","2841","1236377"
"October","2010","52498","35","1340","7222","1768","712","33641","727","6207","39291","804","2932","16982","481","26819","4773","2629","724","300219","5071","5386","526","2269","8886","227","618","11180","3579","3146","89396","11719","708","84431","53044","2066","75152","98030","26198","30198","6668","17885","9750","55730","8370","7823","100","1611","15071","14905","22372","3645","1807","405","18151","1924","26777","5675","2847","1233150"
"November","2010","51721","37","1380","7722","1863","1304","33213","795","6560","43186","946","3326","15497","521","29764","5255","2847","849","294639","5727","5388","672","2622","11280","292","665","14292","4147","3405","87769","12059","921","81679","53924","2402","73826","96642","25768","32425","6983","17506","10436","54667","10691","8378","121","1970","15442","15369","24353","4387","2021","511","19031","2048","27197","6453","3056","1247950"
"December","2010","51005","26","1437","8293","1967","1751","33303","806","6659","45285","1237","3615","13107","534","34092","5652","3018","992","290417","6284","5348","756","2833","12768","322","456","20888","4642","3317","85636","12151","1088","80173","55057","2712","72824","95306","25048","34233","7202","17101","11403","53748","12226","8901","145","2254","15910","15826","25782","5072","2234","555","21922","2142","27322","7095","3369","1265247"
"January","2011","51528","28","1484","8754","2007","2039","33796","804","6729","48040","1388","3991","12401","565","35130","6160","3137","1115","293787","6476","5510","809","3005","13838","371","365","22162","4701","3365","85379","12312","1214","80254","55785","2864","73548","96996","26008","34804","7480","17189","11610","53434","13067","9309","161","2431","16256","16337","26822","5134","2476","624","22657","2243","27697","7423","3510","1288509"
"February","2011","49681","28","1401","8352","1924","1930","33091","788","6563","46990","1294","3668","12053","582","34714","6141","2991","1063","286131","6327","5218","811","2956","13806","363","376","21616","4475","3242","83459","11940","1206","78437","54176","2904","71051","94421","24963","34139","7217","16829","11210","51991","12810","8928","155","2352","15942","15869","26344","5355","2445","575","21932","2210","25931","7188","3378","1253932"
"March","2011","48702","30","1393","8217","1914","1882","32537","792","6511","45911","1357","3767","12253","594","34865","6103","3007","1039","278180","6376","5121","789","2969","13471","370","370","20981","4358","3246","80845","11703","1180","75881","52976","2829","69207","92623","24486","33628","7076","16488","11004","50393","12531","8954","153","2278","15937","15924","26408","5485","2462","590","21711","2151","24800","7080","3380","1227268"
"April","2011","47193","28","1272","7726","1749","1358","30964","801","6262","43099","1110","3694","15661","556","32044","5539","2805","910","271652","6127","4935","677","2818","12308","332","364","15337","4095","3079","78252","11200","1029","74052","51128","2508","67666","90611","23131","31724","6479","15928","9569","48738","11405","8287","147","1936","15133","15066","25038","5106","2230","529","19351","2049","23174","6325","3193","1175479"
"May","2011","45971","44","1189","7224","1702","1018","30071","760","6287","39028","1023","3324","15315","540","28861","4703","2526","757","271125","5330","4707","564","2404","10693","261","655","11900","3554","3143","76328","10950","790","72123","49131","2425","66664","89083","22491","28629","6125","15489","8486","47122","8711","7474","131","1699","14496","14174","22983","4522","2070","461","17269","1937","22345","5718","2857","1127362"
"June","2011","45145","43","1129","7193","1659","1013","29935","741","5654","36790","1053","3078","15124","500","27143","4688","2410","659","268054","5003","4701","499","2210","10180","222","595","10509","3421","2947","74400","10477","633","72447","48624","2233","66508","88591","22489","27948","6204","15159","8345","45452","7160","6960","109","1573","14292","13776","22117","3989","2005","403","16198","1781","22221","5480","2654","1102526"
"July","2011","44921","37","1103","7131","1601","891","29410","750","5375","35479","1076","3084","16913","470","27034","4161","2304","647","278958","4815","4641","468","2118","9356","210","514","10042","3452","2828","75134","10152","571","75358","48156","2024","67034","89889","22129","27899","6166","14921","8284","44716","6848","6685","95","1513","14341","13483","21636","3514","1984","364","17629","1697","22849","5335","2621","1112816"
"August","2011","43949","35","1122","6646","1544","589","28587","700","5116","33260","1023","2954","16782","454","23336","3681","2190","620","270999","4469","4570","442","2088","8357","196","456","9933","3281","2717","73750","9740","524","73880","46328","1792","64425","87554","21690","25841","6034","14623","8224","43927","6578","6495","82","1431","13620","13175","18961","2914","1956","350","15773","1634","23455","4838","2394","1072084"
"September","2011","41371","38","1129","5962","1461","499","26992","639","4850","30910","815","2604","16100","403","21547","3373","2035","568","250127","3849","4175","418","1864","7116","194","489","9464","3120","2471","68999","9189","485","70716","43976","1693","61185","83385","20053","24594","5640","13808","7934","42618","6169","6100","73","1366","12828","12300","17258","2728","1645","337","14831","1549","22673","4471","2263","1005449"
"October","2011","41078","42","1139","5955","1475","519","26484","697","4893","34564","740","2800","15801","427","21845","4013","2121","624","245941","4175","4149","464","1905","7261","223","582","9940","2965","2512","68032","9292","519","69471","43946","1654","60385","83638","19889","25211","5524","13697","8045","42531","6672","6180","73","1502","12586","12256","18101","3047","1542","390","15792","1629","22093","4612","2286","1005929"
"November","2011","40620","40","1181","6477","1538","1177","26338","774","5178","37980","870","2997","14421","479","24253","4587","2359","723","243565","4947","4156","590","2186","9604","274","591","12669","3368","2669","67289","9372","705","67763","43769","2025","59755","83631","19524","27310","5572","13516","8534","42463","8648","6621","100","1802","12886","12361","20450","3738","1709","430","17369","1751","22533","5429","2503","1026169"
"December","2011","40130","48","1221","6978","1600","1646","26515","813","5294","40217","1108","3337","12213","511","29261","5036","2504","805","240087","5400","4080","730","2291","11289","328","498","19272","3736","2699","66418","9356","845","67065","44287","2334","59705","82345","19667","28821","5766","13340","9590","41851","10468","6917","108","2016","13244","12602","22161","4364","1940","475","19918","1901","22856","5995","2729","1048731"
"January","2012","40846","43","1275","7636","1698","1939","27401","875","5532","43134","1234","3513","11330","554","31022","5738","2634","949","244801","5666","4235","825","2431","12604","350","424","20877","3939","2833","67081","9794","1007","67449","45415","2619","60885","84147","20763","29692","5815","13675","10006","42611","11472","7483","123","2242","13812","13386","23068","4609","2066","548","20838","2101","23322","6524","2961","1081852"
"February","2012","40160","37","1247","7524","1702","1986","26862","811","5475","43256","1277","3474","11184","555","31028","5780","2553","981","239536","5864","4143","820","2501","12874","354","438","20804","3712","2830","66156","9687","1051","66612","44612","2712","59527","82749","20428","29601","5845","13545","9930","41866","11554","7629","131","2222","13504","13076","23278","5093","2204","577","20782","2045","22238","6591","3007","1068020"
"March","2012","39396","36","1266","7398","1669","1917","26802","846","5472","41879","1347","3548","11503","553","30811","5702","2595","988","235250","6002","4141","786","2543","12518","346","483","19744","3708","2827","64734","9608","1044","64437","43951","2607","58245","80776","19934","28961","5693","13264","9513","40998","11448","7646","129","2130","13543","13214","23037","5176","2189","563","20664","2023","21008","6351","3045","1048007"
"April","2012","38848","31","1219","7160","1624","1749","26667","866","5348","40752","1255","3471","14795","524","30148","5531","2537","897","234377","5875","4156","667","2483","12043","341","483","15962","3652","2760","64439","9400","944","63796","42997","2423","58302","80306","19745","28112","5464","13162","8868","40592","10735","7477","128","1912","13235","12975","22870","5107","2179","539","19786","1957","20590","6027","2971","1033259"
"May","2012","37379","38","1092","6452","1444","1126","24923","798","5140","35934","1010","2988","14672","488","25736","4627","2210","750","232467","4908","3903","515","2080","9933","253","693","11214","2985","2720","62756","8944","687","61517","40133","2185","57097","77824","19140","24855","5050","12695","7563","38910","8054","6523","96","1558","12190","11678","20410","4245","1854","398","16580","1718","19412","4941","2562","970053"
"June","2012","33646","32","951","5847","1234","874","22558","686","4160","29859","902","2522","13986","404","22531","4072","1746","600","210747","4064","3536","417","1767","8569","190","582","8543","2567","2308","56089","7699","481","56344","35462","1832","52490","70715","17424","20740","4710","11418","6658","34799","5373","5535","74","1206","10828","10353","17605","3351","1616","304","14454","1388","17473","4240","2190","862751"
"July","2012","34176","26","950","5750","1176","769","22606","678","3961","28285","910","2510","15805","402","20204","3514","1680","571","223845","3952","3559","390","1684","7788","180","477","8015","2557","2199","57164","7515","443","59833","35884","1580","53025","72496","17499","20806","4614","11351","6583","34339","5039","5355","70","1087","10772","10167","17282","2932","1596","281","14658","1361","18439","4131","2159","877080"
