"pd_id","energy_star_partner","product_category","product_type","brand_name","model_name","model_number","additional_model_information","upc","energy_star_model_identifier"
"2262097","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 13840 D010TE LAR15SP 4LSQAL0H","","","ES_1018926_LDSQA4A 13840 D010TE LAR15SP 4LSQAL0H_03092016225245_3965894"
"2262098","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 13840 D010TE LAR15SP 4LSQAL1H","","","ES_1018926_LDSQA4A 13840 D010TE LAR15SP 4LSQAL1H_03092016224734_3654272"
"2262099","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 13840 D010TR LAR15SP 4LSQA0H",",LDSQA4A 13840 D010TR LAR15SP 4LSQA1H,","","ES_1018926_LDSQA4A 13840 D010TR LAR15SP 4LSQA0H_03092016225335_4015269"
"2262100","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 13840 D010TR LAR15SP 4LSQAL0H",",LDSQA4A 13840 D010TR LAR15SP 4LSQAL1H,","","ES_1018926_LDSQA4A 13840 D010TR LAR15SP 4LSQAL0H_03092016225407_4047485"
"2262101","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 13827 D010TR LAR15SP 4LSQAL0H",",LDSQA4A 13827 D010TR LAR15SP 4LSQAL1H,; ,LDSQA4A 13827 D010TR LAR25NF 4LSQA0H,; ,LDSQA4A 13827 D010TR LAR25NF 4LSQA1H,; ,LDSQA4A 13827 D010TR LAR35FL 4LSQAL0H,; ,LDSQA4A 13827 D010TR LAR35FL 4LSQAL1H,","","ES_1018926_LDSQA4A 13827 D010TR LAR15SP 4LSQAL0H_03092016224424_3464590"
"2262102","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 13830 D010TE LAR15SP 4LSQA0H",",LDSQA4A 13830 D010TE LAR15SP 4LSQA1H,; ,LDSQA4A 13830 D010TE LAR25NF 4LSQAL0H,; ,LDSQA4A 13830 D010TE LAR25NF 4LSQAL1H,; ,LDSQA4A 13830 D010TE LAR35FL 4LSQA0H,; ,LDSQA4A 13830 D010TE LAR35FL 4LSQA1H,","","ES_1018926_LDSQA4A 13830 D010TE LAR15SP 4LSQA0H_03092016224510_3510747"
"2262103","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 13830 D010TE LAR15SP 4LSQAL0H",",LDSQA4A 13830 D010TE LAR15SP 4LSQAL1H,; ,LDSQA4A 13830 D010TE LAR25NF 4LSQA0H,; ,LDSQA4A 13830 D010TE LAR25NF 4LSQA1H,; ,LDSQA4A 13830 D010TE LAR35FL 4LSQAL0H,; ,LDSQA4A 13830 D010TE LAR35FL 4LSQAL1H,","","ES_1018926_LDSQA4A 13830 D010TE LAR15SP 4LSQAL0H_03092016224540_3540230"
"2262104","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 13830 D010TR LAR15SP 4LSQA0H",",LDSQA4A 13830 D010TR LAR15SP 4LSQA1H,; ,LDSQA4A 13830 D010TR LAR25NF 4LSQAL0H,; ,LDSQA4A 13830 D010TR LAR25NF 4LSQAL1H,; ,LDSQA4A 13830 D010TR LAR35FL 4LSQA0H,; ,LDSQA4A 13830 D010TR LAR35FL 4LSQA1H,","","ES_1018926_LDSQA4A 13830 D010TR LAR15SP 4LSQA0H_03092016224627_3587199"
"2262105","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 13830 D010TR LAR15SP 4LSQAL0H",",LDSQA4A 13830 D010TR LAR15SP 4LSQAL1H,; ,LDSQA4A 13830 D010TR LAR25NF 4LSQA0H,; ,LDSQA4A 13830 D010TR LAR25NF 4LSQA1H,; ,LDSQA4A 13830 D010TR LAR35FL 4LSQAL0H,; ,LDSQA4A 13830 D010TR LAR35FL 4LSQAL1H,","","ES_1018926_LDSQA4A 13830 D010TR LAR15SP 4LSQAL0H_03092016224701_3621149"
"2262106","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 13835 D010TE LAR15SP 4LSQA0H",",LDSQA4A 13835 D010TE LAR15SP 4LSQA1H,; ,LDSQA4A 13835 D010TE LAR25NF 4LSQAL0H,; ,LDSQA4A 13835 D010TE LAR25NF 4LSQAL1H,","","ES_1018926_LDSQA4A 13835 D010TE LAR15SP 4LSQA0H_03092016224816_3696710"
