"pd_id","energy_star_partner","brand_name","model_name","model_number","additional_model_information","upc","product_type","fuel_type","efficiency_afue","date_available_on_market","date_qualified","markets","energy_star_model_identifier","can_integrate_hot_water_heating","meets_most_efficient_criteria"
"2313244","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPC-0263","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMPC-0263_03232018155213_3975445","Yes","No"
"2313279","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPC-0263","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMPC-0263_03232018155321_6887430","Yes","No"
"2313216","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPC-0293","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMPC-0293_03232018155116_0133504","Yes","No"
"2313248","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPC-0293","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMPC-0293_03232018155225_0521628","Yes","No"
"2313241","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPH-0081","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMPH-0081_03232018155207_0922756","No","No"
"2313276","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPH-0081","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMPH-0081_03232018155315_8544679","No","No"
"2313239","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPH-0101","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMPH-0101_03232018155203_0759223","No","No"
"2313274","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPH-0101","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMPH-0101_03232018155311_4356011","No","No"
"2313226","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPH-0151","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMPH-0151_03232018155137_2072043","No","No"
"2313258","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPH-0151","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMPH-0151_03232018155245_8616108","No","No"
"2313225","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPH-0201","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMPH-0201_03232018155135_5561817","No","No"
"2313257","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPH-0201","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMPH-0201_03232018155243_1746028","No","No"
"2313213","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPH-0211","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMPH-0211_03232018155111_7080815","No","No"
"2313245","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPH-0211","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMPH-0211_03232018155219_5002776","No","No"
"2313224","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPH-0251","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMPH-0251_03232018155133_8179539","No","No"
"2313256","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPH-0251","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMPH-0251_03232018155241_9128305","No","No"
"2313221","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPH-0261","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMPH-0261_03232018155127_0666748","No","No"
"2313253","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPH-0261","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMPH-0261_03232018155235_8244280","No","No"
"2313215","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPH-0291","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMPH-0291_03232018155115_1148043","No","No"
"2313247","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPH-0291","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMPH-0291_03232018155223_1699700","No","No"
"2382764","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","Valiant FT","VANH-0080","","","Boiler","Natural Gas","95","2020-06-22T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1092003_VANH-0080_03152021095918_9655910","No","Yes"
"2382763","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","Valiant FT","VANH-0110","","","Boiler","Natural Gas","95","2020-06-22T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1092003_VANH-0110_03152021095919_2376056","No","Yes"
"2382761","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","Valiant FT","VANH-0155","","","Boiler","Natural Gas","95","2020-06-22T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1092003_VANH-0155_03152021095920_5875596","No","Yes"
"2382759","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","Valiant FT","VANH-0199","","","Boiler","Natural Gas","95","2020-06-22T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1092003_VANH-0199_03152021095920_3705458","No","Yes"
"2382757","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","Valiant FT","VANH-0250","","","Boiler","Natural Gas","95","2020-06-22T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1092003_VANH-0250_03152021095920_6208030","No","Yes"
"2382755","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","Valiant FT","VANH-0299","","","Boiler","Natural Gas","95","2020-06-22T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1092003_VANH-0299_03152021095921_7532370","No","Yes"
"2382753","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","Valiant FT","VAPH-0080","","","Boiler","Propane Gas","95","2020-06-22T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1092003_VAPH-0080_03152021095919_7601652","No","Yes"
"2382762","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","Valiant FT","VAPH-0110","","","Boiler","Propane Gas","95","2020-06-22T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1092003_VAPH-0110_03152021095919_8128535","No","Yes"
"2382760","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","Valiant FT","VAPH-0155","","","Boiler","Propane Gas","95","2020-06-22T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1092003_VAPH-0155_03152021095920_7970454","No","Yes"
"2382758","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","Valiant FT","VAPH-0199","","","Boiler","Propane Gas","95","2020-06-22T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1092003_VAPH-0199_03152021095920_1455684","No","Yes"
"2382756","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","Valiant FT","VAPH-0250","","","Boiler","Propane Gas","95","2020-06-22T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1092003_VAPH-0250_03152021095921_6545297","No","Yes"
"2382754","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","Valiant FT","VAPH-0299","","","Boiler","Propane Gas","95","2020-06-22T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1092003_VAPH-0299_03152021095921_8218501","No","Yes"
"2359747","Carrier Corporation","Bryant","BW9","BW9AAN000050*","","","Boiler","Natural Gas,Propane Gas","90","2012-08-01T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1020846_BW9AAN000050*_05142020222530_8304439","No","No"
"2359745","Carrier Corporation","Bryant","BW9","BW9AAN000075*","","","Boiler","Natural Gas,Propane Gas","90","2012-08-01T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1020846_BW9AAN000075*_05142020222531_5049580","No","No"
"2356378","Carrier Corporation","Bryant","BW9","BW9AAN000100*","","","Boiler","Natural Gas,Propane Gas","90","2012-08-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1020846_BW9AAN000100*_02202020144613_445173","No","No"
"2328554","Carrier Corporation","Bryant","BWM Series","BWMAAN000050","","","Boiler","Natural Gas,Propane Gas","95","2013-12-21T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1020846_BWMAAN000050_10292018191423_0804874","No","Yes"
