"company_name","project_industry","location_1","application_number","tax_year","status","actual_jobs_created","actual_jobs_retained","capital_investment_reported"
"Katcon Usa, Inc.","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","618","2011","Did Not Qualify","3","-","-"
"Behr America, Inc","Automotive - Manufacturing","
Troy,  
(42.727684, -73.691059)","95","2007","Approved","105","-","-"
"Sakti3, Inc.","Alt. Energy - Other","
Ann Arbor,  
(42.281419, -83.748478)","416","2009","Approved","8","-","$3,590,542"
"Changan US Research and Development Center, Inc","Automotive - Manufacturing","
Plymouth,  
(41.95575, -70.664394)","726","2014","Approved","29","-","$451,410"
"Hi-Lex Controls, Incorporated","Automotive - Manufacturing","
Hudson,  
(42.251775, -73.787882)","142","2007","Approved","139","-","-"
"US Farathane Corporation - HQ","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","607","2011","Approved","-","510","$26,744,456"
"Nissan North America, Inc.","Automotive - Manufacturing","
Farmington Hills,  
(42.485645, -83.357869)","171","2011","Approved","248","-","-"
"ASIMCO Camshaft Specialties","Automotive - Manufacturing","
Grand Haven,  
(43.058798, -86.227994)","34","2001","Approved","117","-","-"
"Asama Coldwater Manufacturing, Inc.","Automotive - Manufacturing","
Coldwater,  
(41.940611, -85.000721)","19","2006","Approved","300","-","-"
"Delphi Corporation","Automotive - Manufacturing","
Troy,  
(42.727684, -73.691059)","106","2006","Approved","500","-","-"
"Nissan North America, Inc.","Automotive - Manufacturing","
Farmington Hills,  
(42.485645, -83.357869)","171","2006","Approved","344","-","-"
"US Farathane Corporation - HQ","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","607","2011","Approved","256","-","-"
"Rlptechnologies, Inc.","Business Services","
Farmington Hills,  
(42.485645, -83.357869)","235","2005","Approved","27","-","-"
"Acument Global Technologies","Automotive - Manufacturing","
Sterling Heights,  
(42.58968, -83.011059)","714","2011","Approved","50","-","$5,285,595"
"Martinrea Jonesville LLC","Automotive - Manufacturing","
Jonesville,  
(36.689005, -83.110991)","572","2011","Approved","111",,"-"
"Robert Bosch LLC","Automotive - Manufacturing","
Farmington Hills,  
(42.485645, -83.357869)","56","2003","Approved","475","-","-"
"Gentex Corporation","Automotive - Manufacturing","
Zeeland,  
(42.807091, -86.018872)","193","2013","Approved","625","-","-"
"ArvinMeritor Automotive, Inc.","Automotive - Manufacturing","
Detroit,  
(42.332916, -83.047853)","92","2007.2","Approved","125","-","-"
"General Motors LLC","Automotive - Manufacturing","
Lansing,  
(42.733625, -84.553927)","83","2001","Approved","-","688","$513,589,800"
"Chrysler Group LLC","Automotive - Manufacturing","
Detroit,  
(42.332916, -83.047853)","394","2011","Approved","-","356","$20,559,274"
"Global Engine Manufacturing Alliance LLC","Automotive - Manufacturing","
Dundee,  
(41.957261, -83.659798)","200","2006","Approved","198","-","-"
"Johnson Controls Interior Manufacturing, LLC","Automotive - Manufacturing","
Monroe,  
(32.500759, -92.111225)","206","2004","Approved","153","-","-"
"ADCO Products","Chemicals","
Michigan Center,  
(42.233077, -84.326975)","625","2011","Approved","86","-","$4,158,292"
"Global Engine Manufacturing Alliance LLC","Automotive - Manufacturing","
Dundee,  
(41.957261, -83.659798)","200","2011","Approved","208","-","-"
"Tk Holdings Inc.","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","646","2012.1","Approved","44","-","-"
"TRW Automotive Inc","Automotive - Manufacturing","
Livonia,  
(42.39709, -83.36961)","190","2007","Approved","165","-","-"
"MBtech Autodie LLC","Automotive - Manufacturing","
Grand Rapids,  
(42.965446, -85.670209)","363","2013","Approved","-","278","$8,957,488"
"Farmers Group, Inc.","Financial Services","
Caledonia,  
(42.814847, -87.914135)","577","2014","Approved","810","-","-"
"International Automotive Components Group North America, Inc.","Automotive - Manufacturing","
Dearborn,  
(42.322141, -83.17594)","397","2014","Approved","58","2,409","$9,382,683"
"Testek Inc.","Defense/Military","
Wixom,  
(42.525703, -83.536093)","454","2012","Approved","21","-","$36,916"
"Ford Motor Company","Automotive - Manufacturing","
Dearborn,  
(42.322141, -83.17594)","706","2013","Approved","-","27,347","$1,218,037,140"
"MBtech Autodie LLC","Automotive - Manufacturing","
Grand Rapids,  
(42.965446, -85.670209)","363","2014","Approved","-","281","$715,852"
"Lg Chem Power Inc.","Alt. Energy - Other","
Troy,  
(42.727684, -73.691059)","290","2012","Approved","79","-","$2,877,144"
"Consolidated Resource Imaging, LLC","Defense/Military","
Grand Rapids,  
(42.965446, -85.670209)","591","2013","Approved","18","-","$179,985"
"Toyota Motor Engineering & Manufacturing, N.A. Inc","Automotive - Manufacturing","
Ann Arbor,  
(42.281419, -83.748478)","282","2012","Approved","360","-","$3,623,977"
"Nexteer Automotive Corporation","Automotive - Manufacturing","
Saginaw,  
(43.419547, -83.946359)","594","2011","Approved","-","2,430","$426,000,000"
"Axletech International, LLC","Defense/Military","
Troy,  
(42.727684, -73.691059)","612","2011","Approved","-","135","$4,024,651"
"Engineered Machined Products, Inc.","Automotive - Manufacturing","
Escanaba,  
(45.745727, -87.071273)","53","2001","Approved","128","-","-"
"Faurecia Interior Systems Inc.","Automotive - Manufacturing","
Fraser,  
(42.542226, -82.94983)","277","2008","Approved","271","-","-"
"The Dow Chemical Company","Alt. Energy - Solar","
Midland,  
(31.997433, -102.078043)","623","2013","Approved","356","-","$167,585,203"
"Acument Global Technologies","Automotive - Manufacturing","
Sterling Heights,  
(42.58968, -83.011059)","714","2014","Approved","97","-","-"
"Detroit Chassis, LLC","Automotive - Manufacturing","
Detroit,  
(42.332916, -83.047853)","69","2001.1","Approved","78","-","-"
"Shape Corporation","Automotive - Manufacturing","
Grand Haven,  
(43.058798, -86.227994)","21","2001","Approved","393","-","-"
"Advanced Photonix, Inc.","Electronics","
Ann Arbor,  
(42.281419, -83.748478)","308","2010","Approved","41","-","-"
"Advanced Photonix, Inc.","Electronics","
Ann Arbor,  
(42.281419, -83.748478)","308","2008.2","Approved","37","-","-"
"Fiat Chrysler Automobiles US LLC","Automotive - Manufacturing","
Sterling Heights,  
(42.58968, -83.011059)","692","2014","Approved","-","20,000","$750,582,229"
"Mando America Corporation","Automotive - Manufacturing","
Plymouth,  
(41.95575, -70.664394)","464","2010","Approved","6","-","-"
"United Solar Ovonic, LLC","Alt. Energy - Other","
Greenville,  
(34.850746, -82.398964)","312","2010","Approved","123","-","-"
"Inalfa Roof Systems","Automotive - Manufacturing","
Holly,  
(42.791893, -83.627648)","201","2005","Approved","146","-","-"
"Hemlock Semiconductor Corporation","Alt. Energy - Other","
Hemlock,  
(44.823601, -90.611702)","306","2011","Approved","149","-","-"
"Hi-Lex Controls, Inc.","Automotive - Manufacturing","
Litchfield,  
(41.746861, -73.189234)","28","2004","Approved","197","-","-"
"Hemlock Semiconductor Corporation","Alt. Energy - Other","
Hemlock,  
(44.823601, -90.611702)","259","2009","Approved","60","-","-"
"Nexteer Automotive Corporation","Automotive - Manufacturing","
Saginaw,  
(43.419547, -83.946359)","594","2012","Approved","-","2,740","$110,484,179"
"MBtech Autodie LLC","Automotive - Manufacturing","
Grand Rapids,  
(42.965446, -85.670209)","363","2009","Approved","-","204","$1,903,891"
"Changan US Research and Development Center, Inc","Automotive - Manufacturing","
Plymouth,  
(41.95575, -70.664394)","726","2012","Approved","18","-","$224,386"
"Magna Electronics","Automotive - Manufacturing","
Holly,  
(42.791893, -83.627648)","764","2013","Approved","121","-","-"
"Morley Companies, Incorporated","Call Center","
Saginaw,  
(43.419547, -83.946359)","476","2010","Approved","349","-","$6,801,396"
"Advanced Integrated Tooling Solutions, LP","Aerospace","
Chesterfield Township,  
(42.674198, -82.780296)","616","2015","Approved","252","-","$1,957,895"
"Lear Corporation","Automotive - Manufacturing","
Roscommon,  
(44.304574, -84.753305)","605","2011","Approved","201","-","-"
"Hi-Lex Controls, Incorporated","Automotive - Manufacturing","
Hudson,  
(42.251775, -73.787882)","142","2008.1","Approved","83","-","-"
"Michigan Automotive Compressor, Inc.","Automotive - Manufacturing","
Parma,  
(41.384498, -81.734664)","711","2012.1","Approved","-","604","$44,432,258"
"Coca-Cola Refreshments","Food Processing","
Paw Paw,  
(39.532025, -78.455725)","68","2002","Approved","121","-","-"
"Cascade Engineering, Inc.","Alt. Energy - Wind","
Grand Rapids,  
(42.965446, -85.670209)","664","2012.1","Approved","50","-","$61,503"
"Shape Corporation","Automotive - Manufacturing","
Grand Haven,  
(43.058798, -86.227994)","21","2006","Approved","398","-","-"
"Raymond James Regional Operations Center","Financial Services","
Southfield,  
(42.477952, -83.240756)","268","2008.1","Approved","177","-","-"
"Lear Corporation","Automotive - Manufacturing","
Roscommon,  
(44.304574, -84.753305)","605","2013","Approved","-","413","$2,998,477"
"ZF Group NAO","Automotive - Manufacturing","
Northville,  
(42.440686, -83.493151)","179","2006.1","Approved","35","-","-"
"Kostal of America, Inc.","Automotive - Manufacturing","
Troy,  
(42.727684, -73.691059)","358","2012","Approved","26","-","-"
"Flagstar Bank, Fsb","Financial Services","
Troy,  
(42.727684, -73.691059)","81","2010","Approved","946","-","-"
"Lg Chem Power Inc.","Alt. Energy - Other","
Troy,  
(42.727684, -73.691059)","290","2007","Approved","15","-","-"
"North American Bancard, LLC","Financial Services","
Troy,  
(42.727684, -73.691059)","411","2011","Approved","160","-","$2,616,418"
"General Motors LLC","Automotive - Manufacturing","
Troy,  
(42.727684, -73.691059)","355","2009.2","Approved","-","28","-"
"Inergy Automotive Systems USA, LLC","Automotive - Manufacturing","
Adrian,  
(41.895299, -84.039815)","1","2006","Approved","158","-","-"
"Hemlock Semiconductor Corporation","Alt. Energy - Other","
Hemlock,  
(44.823601, -90.611702)","306","2013","Approved","150","-","-"
"United Solar Ovonic Corporation","Alt. Energy - Other","
Auburn Hills,  
(42.672504, -83.225448)","288","2007.2","Approved","228","-","-"
"Engineered Machined Products, Inc.","Automotive - Manufacturing","
Escanaba,  
(45.745727, -87.071273)","53","2000","Approved","98","-","-"
"American Axle & Manufacturing, Inc.","Automotive - Manufacturing","
Three Rivers,  
(36.457312, -118.885141)","107","2003","Approved","233","-","-"
"Continental Automotive Systems","Automotive - R&D Testing","
Auburn Hills,  
(42.672504, -83.225448)","564","2012","Approved","126","-","-"
"General Motors LLC","Automotive - Manufacturing","
Flint,  
(43.00992, -83.685109)","264","2007","Approved","-","2,834","-"
"Chrysler LLC","Automotive - Manufacturing","
Sterling Heights,  
(42.58968, -83.011059)","273","2010","Approved","-","2,692","-"
"Gemini Group, Inc.","Automotive - Manufacturing","
Bad Axe,  
(43.802035, -83.000495)","735","2011","Approved","-","564","$21,634,480"
"priceline.com","Call Center","
Wyoming,  
(42.913415, -85.695442)","431","2010","Approved","151","-","$3,179,077"
"Dow Corning Corporation","Electronics","
Auburn,  
(47.307522, -122.22575)","216","2007","Approved","35","-","-"
"ZF Group NAO","Automotive - Manufacturing","
Northville,  
(42.440686, -83.493151)","179","2010","Approved","34","-","$2,605,693"
"Witzenmann Usa, LLC","Automotive - Manufacturing","
Troy,  
(42.727684, -73.691059)","653","2012","Approved","75","-","$10,201,543"
"Gestamp Mason, LLC.","Automotive - Manufacturing","
Mason,  
(30.749797, -99.23192)","33","2008","Approved","193","-","-"
"Sellner - Behr Corporation","Automotive - Manufacturing","
Comstock Park,  
(43.032746, -85.667132)","99","2001","Approved","131","-","-"
"Reino Linen Service of Michigan","Business Services","
Brownstown,  
(38.877686, -86.047127)","480","2009","Did Not Qualify","0","-","-"
"Flagstar Bank, Fsb","Financial Services","
Troy,  
(42.727684, -73.691059)","81","2011","Approved","1,039","-","-"
"Flagstar Bank, Fsb","Financial Services","
Troy,  
(42.727684, -73.691059)","81","2007","Approved","771","-","-"
"MBtech Autodie LLC","Automotive - Manufacturing","
Grand Rapids,  
(42.965446, -85.670209)","363","2010","Approved","-","259","$466,583"
"Nexteer Automotive Corporation","Automotive - Manufacturing","
Saginaw,  
(43.419547, -83.946359)","594","2013","Approved","-","2,865","$115,122,730"
"Flextronics","Automotive - Manufacturing","
Coopersville,  
(43.066555, -85.93635)","251","2006","Approved","8","-","-"
"EcoMotors International","Automotive - Manufacturing","
Allen Park,  
(42.256799, -83.213957)","421","2013","Approved","22","-","$16,816"
"Dokka Fasteners, Incorporated","Alt. Energy - Wind","
Auburn Hills,  
(42.672504, -83.225448)","698","2014","Approved","33","-","$74,131"
"Sakti3, Inc.","Alt. Energy - Other","
Ann Arbor,  
(42.281419, -83.748478)","416","2012","Approved","24","-","$712,745"
"Hi-Lex Controls, Inc.","Automotive - Manufacturing","
Litchfield,  
(41.746861, -73.189234)","28","2002","Approved","197","-","-"
"Continental Automotive Systems","Automotive - R&D Testing","
Auburn Hills,  
(42.672504, -83.225448)","564","2011","Approved","-","225","$199,378"
"Engineered Machined Products, Inc.","Automotive - Manufacturing","
Escanaba,  
(45.745727, -87.071273)","53","2014","Approved","75","-","-"
"Nexient","Call Center","
Ann Arbor,  
(42.281419, -83.748478)","578","2013","Approved","92","-","$583,349"
"POM Group, Inc","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","139","2003","Approved","8","-","-"
"Molex, LLC","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","7","1997","Approved","107","-","-"
"Dokka Fasteners, Incorporated","Alt. Energy - Wind","
Auburn Hills,  
(42.672504, -83.225448)","698","2011","Approved","27","-","$8,328,170"
"Gibbs Technologies, Limited","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","434","2010","Approved","60","-","-"
"ZF Group NAO","Automotive - Manufacturing","
Northville,  
(42.440686, -83.493151)","494","2014","Approved","476","-","$34,457,059"
"FEV North America, Inc.","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","351","2010","Did Not Qualify","-","-","-"
"Magnesium Products of America, Inc.","Automotive - Manufacturing","
Eaton Rapids,  
(42.514738, -84.65645)","76","2008","Approved","77","-","-"
"Behr America, Inc","Automotive - Manufacturing","
Troy,  
(42.727684, -73.691059)","95","2002","Approved","83","-","-"
"General Motors LLC","Automotive - Manufacturing","
Lake Orion,  
(42.784602, -83.242443)","186","2005","Approved","-","2,288","$257,100,000"
"Flagstar Bank, Fsb","Financial Services","
Troy,  
(42.727684, -73.691059)","81","2005","Approved","327","-","-"
"Chrysler Group LLC","Financial Services","
Auburn Hills,  
(42.672504, -83.225448)","91","2007.1","Approved","294","-","-"
"Neapco Holdings, LLC","Automotive - Manufacturing","
Belleville,  
(38.512629, -89.984229)","392","2012","Approved","198","-","$14,747,171"
"Faurecia Interior Systems Inc.","Automotive - Manufacturing","
Fraser,  
(42.542226, -82.94983)","277","2009","Did Not Qualify","-","-","-"
"Ford Motor Company","Automotive - Manufacturing","
Wayne,  
(40.927178, -74.231046)","221","2009","Approved","-","2,662","-"
"Gemini Group, Inc.","Automotive - Manufacturing","
Bad Axe,  
(43.802035, -83.000495)","735","2012","Approved","-","555","$16,404,535"
"Webasto-Edscha Cabrio USA, Inc.","Automotive - Manufacturing","
Plymouth,  
(41.95575, -70.664394)","222","2011","Approved","83","-","$10,119,321"
"Chrysler Group LLC","Financial Services","
Auburn Hills,  
(42.672504, -83.225448)","91","2003","Approved","318","-","-"
"ALTe","Alt. Energy - Advanced Energy Storage","
Auburn Hills,  
(42.672504, -83.225448)","622","2011","Approved","20","-","$2,343,842"
"The Dow Chemical Company","Alt. Energy - Solar","
Midland,  
(31.997433, -102.078043)","623","2012","Approved","678","-","$123,182,080"
"General Dynamics Land Systems","Defense/Military","
Sterling Heights,  
(42.58968, -83.011059)","407","2009","Approved","203","-","$1,336,500"
"General Motors LLC","Automotive - Manufacturing","
Lansing,  
(42.733625, -84.553927)","112","2008","Approved","-","2,800","-"
"BorgWarner, Inc. - HQ","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","214","2005","Approved","90","-","-"
"MBtech Autodie LLC","Automotive - Manufacturing","
Grand Rapids,  
(42.965446, -85.670209)","363","2015","Approved","-","287","-"
"Federal-Mogul Products, Inc.","Automotive - Manufacturing","
Southfield,  
(42.477952, -83.240756)","265","2013","Approved","-","1,446","-"
"Ralco Industries, Inc.","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","558","2011","Approved","-","54","$4,769,146"
"Hi-Lex Controls, Incorporated","Automotive - Manufacturing","
Hudson,  
(42.251775, -73.787882)","142","2008.2","Approved","85","-","-"
"MS Industries Inc.","Automotive - Manufacturing","
Fowlerville,  
(42.6022, -78.716904)","400","2010","Approved","53","-","$20,805,280"
"Grupo Antolin Michigan","Automotive - Manufacturing","
Marlette,  
(43.327797, -83.079846)","203","2010","Approved","128","-","-"
"Detroit Diesel Corporation","Automotive - Manufacturing","
Detroit,  
(42.332916, -83.047853)","657","2014","Approved","-","1,786","-"
"Tower Automotive Plymouth, Inc.","Automotive - Manufacturing","
Plymouth,  
(41.95575, -70.664394)","6","2000","Approved","247","-","-"
"Nicholas Plastics, Inc.","Automotive - Manufacturing","
Allendale,  
(33.007593, -81.308964)","252","2006","Approved","83","-","-"
"Morley Companies, Incorporated","Call Center","
Saginaw,  
(43.419547, -83.946359)","600","2012.2","Approved","205","-","-"
"The Minacs Group (USA) Inc.","Call Center","
Farmington Hills,  
(42.485645, -83.357869)","633","2015","Approved","1,107","-","-"
"TRW Automotive Inc","Automotive - Manufacturing","
Livonia,  
(42.39709, -83.36961)","190","2004","Approved","165","-","-"
"Federal-Mogul Products, Inc.","Automotive - Manufacturing","
Southfield,  
(42.477952, -83.240756)","265","2010","Approved","-","1,331","$14,435,000"
"United Solar Ovonic, LLC","Alt. Energy - Other","
Greenville,  
(34.850746, -82.398964)","312","2011","Approved","258","-","-"
"Raymond James Regional Operations Center","Financial Services","
Southfield,  
(42.477952, -83.240756)","268","2007","Approved","146","-","-"
"MBtech Autodie LLC","Automotive - Manufacturing","
Grand Rapids,  
(42.965446, -85.670209)","363","2011","Approved","-","227","$8,196,650"
"General Dynamics Land Systems","Defense/Military","
Sterling Heights,  
(42.58968, -83.011059)","407","2008","Approved","144","-","-"
"Adaptive Materials, Inc","Alt. Energy - Other","
Ann Arbor,  
(42.281419, -83.748478)","381","2011","Approved","25","-","$904,146"
"Kostal of America, Inc.","Automotive - Manufacturing","
Troy,  
(42.727684, -73.691059)","358","2013","Approved","50","-","-"
"ADCO Products","Chemicals","
Michigan Center,  
(42.233077, -84.326975)","625","2014","Approved","84","-","$1,396,257"
"Brembo North America Homer, Incorporated","Automotive - Manufacturing","
Homer,  
(59.641779, -151.551418)","433","2010","Approved","-","105","$5,470,961"
"Molex, LLC","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","7","1996","Approved","97","-","-"
"Faurecia Interior Systems Inc.","Automotive - Manufacturing","
Fraser,  
(42.542226, -82.94983)","277","2006","Approved","181","-","-"
"AT&T Inc. Michigan","Call Center","
Detroit,  
(42.332916, -83.047853)","279","2005","Approved","-","872","$29,858,060"
"Hemlock Semiconductor Corporation","Alt. Energy - Other","
Hemlock,  
(44.823601, -90.611702)","259","2008","Approved","60","-","-"
"Hagerty Insurance Agency, Inc.","Financial Services","
Traverse City,  
(44.759092, -85.605469)","479","2009","Approved","32","-","-"
"Magna International of America, Mimco Inc.","Automotive - Manufacturing","
Troy,  
(42.727684, -73.691059)","766","2014","Approved","580","-","-"
"Ralco Industries, Inc.","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","558","2015","Approved","-","53","$1,463,766"
"Comcast Corporation","Call Center","
Sterling Heights,  
(42.58968, -83.011059)","299","2009","Approved","269","-","-"
"Shape Corporation","Automotive - Manufacturing","
Grand Haven,  
(43.058798, -86.227994)","21","2011","Approved","404","-","$288,287"
"Paragon Metals, Inc.","Automotive - Manufacturing","
Quincy,  
(39.93553, -91.388754)","408","2008","Approved","37","-","-"
"Gemini Group, Inc.","Automotive - Manufacturing","
Bad Axe,  
(43.802035, -83.000495)","735","2013","Approved","66","-","-"
"General Motors LLC","Automotive - Manufacturing","
Flint,  
(43.00992, -83.685109)","264","2006","Approved","-","2,678","$400,000,000"
"Hemlock Semiconductor Corporation","Alt. Energy - Other","
Hemlock,  
(44.823601, -90.611702)","259","2006","Approved","56","-","-"
"Benteler Automotive Corporation","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","737","2013","Approved","201","-","$340,257"
"Models & Tools, Inc.","Aerospace","
Shelby Township,  
(42.662102, -82.993698)","508","2011","Approved","70","-","$3,388,661"
"Flagstar Bank, Fsb","Financial Services","
Troy,  
(42.727684, -73.691059)","81","2003","Approved","706","-","-"
"Chrysler Group LLC","Automotive - Manufacturing","
Trenton,  
(40.220572, -74.759709)","366","2011","Approved","-","484","$55,821,956"
"Magna Electronics","Automotive - Manufacturing","
Holly,  
(42.791893, -83.627648)","764","2014","Approved","115","-","-"
"Hyundai-Kia America Technical Center, Inc.","Automotive - Manufacturing","
Superior Township,  
(42.303179, -83.603236)","213","2014","Approved","112","-","$32,740,608"
"Hemlock Semiconductor Corporation","Alt. Energy - Other","
Hemlock,  
(44.823601, -90.611702)","259","2010","Approved","60","-","-"
"Gentex Corporation","Electronics","
Zeeland,  
(42.807091, -86.018872)","769","2014","Approved","811","-","-"
"Consolidated Resource Imaging, LLC","Defense/Military","
Grand Rapids,  
(42.965446, -85.670209)","591","2014","Did Not Qualify","17","-","$605,901"
"Hyundai-Kia America Technical Center, Inc.","Automotive - Manufacturing","
Superior Township,  
(42.303179, -83.603236)","213","2012","Approved","121","-","$34,636,582"
"Axle Alliance","Automotive - Manufacturing","
Redford Township,  
(42.403049, -83.294395)","173","2013","Approved","177","-","-"
"Martinrea Jonesville LLC","Automotive - Manufacturing","
Jonesville,  
(36.689005, -83.110991)","572","2014","Approved","134","-","-"
"SAF-Holland USA, Inc.","Automotive - Manufacturing","
Muskegon,  
(43.234221, -86.246388)","49","1999.2","Approved","138","-","-"
"Magnesium Products of America, Inc.","Automotive - Manufacturing","
Eaton Rapids,  
(42.514738, -84.65645)","76","2002","Approved","91","-","-"
"GE Aviation","Electronics","
Grand Rapids,  
(42.965446, -85.670209)","205","2005","Approved","120","-","-"
"International Automotive Components Group North America, Inc.","Automotive - Manufacturing","
Dearborn,  
(42.322141, -83.17594)","397","2013","Approved","-","2,399","$14,181,259"
"Alphi Manufacturing, Inc.","Automotive - Manufacturing","
Jonesville,  
(36.689005, -83.110991)","246","2005","Approved","26","-","-"
"Coca-Cola Refreshments","Food Processing","
Paw Paw,  
(39.532025, -78.455725)","68","2000","Approved","150","-","-"
"Morley Companies, Incorporated","Call Center","
Saginaw,  
(43.419547, -83.946359)","600","2015","Approved","432","-","-"
"Magna Electronics","Alt. Energy - Advanced Energy Storage","
Holly,  
(42.791893, -83.627648)","598","2012","Approved","50","-","-"
"Kolbenschmidt Pierburg","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","370","2010","Approved","13","-","-"
"Dow Corning Corporation","Electronics","
Auburn,  
(47.307522, -122.22575)","216","2014","Approved","176","-","$15,622,900"
"Chrysler Group LLC","Financial Services","
Auburn Hills,  
(42.672504, -83.225448)","91","2002","Approved","228","-","-"
"Spicer Heavy Axle & Brake Inc.","Automotive - Manufacturing","
Kalamazoo,  
(42.289777, -85.584682)","55","2005","Approved","151","-","-"
"Inergy Automotive Systems USA, LLC","Automotive - Manufacturing","
Adrian,  
(41.895299, -84.039815)","1","2002","Approved","167","-","-"
"Delphi Corporation","Automotive - Manufacturing","
Troy,  
(42.727684, -73.691059)","106","2008","Approved","387","-","-"
"BASF Corporation","Chemicals","
Wyandotte,  
(42.201008, -83.150254)","338","2014","Approved","192","-","-"
"Grupo Antolin Michigan","Automotive - Manufacturing","
Marlette,  
(43.327797, -83.079846)","203","2005","Approved","197","-","-"
"Brose North America, Inc.","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","187","2010","Approved","192","-","$1,959,192"
"Flagstar Bank, Fsb","Financial Services","
Troy,  
(42.727684, -73.691059)","81","2002","Approved","442","-","-"
"General Motors LLC","Automotive - Manufacturing","
Lansing,  
(42.733625, -84.553927)","83","2006","Approved","-","1,597","-"
"US Farathane Corporation - HQ","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","607","2013","Approved","865","-","-"
"XALT Energy, LLC","Alt. Energy - Advanced Energy Storage","
Midland,  
(31.997433, -102.078043)","568","2012","Approved","128","-","$57,431,398"
"Nexient","Call Center","
Ann Arbor,  
(42.281419, -83.748478)","578","2011","Did Not Qualify","45","-","-"
"Gentex Corporation","Automotive - Manufacturing","
Zeeland,  
(42.807091, -86.018872)","193","2006","Approved","393","-","-"
"Martinrea Industries, Incorporated","Automotive - Manufacturing","
Clare,  
(43.818758, -84.770451)","13","1997","Approved","106","-","-"
"Brembo North America Homer, Incorporated","Automotive - Manufacturing","
Homer,  
(59.641779, -151.551418)","433","2012","Approved","-","107","$11,223,567"
"Axle Alliance","Automotive - Manufacturing","
Redford Township,  
(42.403049, -83.294395)","173","2012","Approved","108","-","-"
"Martinrea Industries, Incorporated","Automotive - Manufacturing","
Clare,  
(43.818758, -84.770451)","13","1999","Approved","308","-","-"
"Quicken Loans, Inc.","Financial Services","
Livonia,  
(42.39709, -83.36961)","275","2007.2","Approved","229","-","-"
"Flextronics","Automotive - Manufacturing","
Coopersville,  
(43.066555, -85.93635)","251","2007","Approved","10","-","-"
"SBC Internet Services","Call Center","
Detroit,  
(42.332916, -83.047853)","468","2009","Approved","172","-","$1,843,726"
"General Motors LLC","Automotive - Manufacturing","
Lansing,  
(42.733625, -84.553927)","83","2003","Approved","-","1,441","-"
"ZF Group NAO","Automotive - Manufacturing","
Northville,  
(42.440686, -83.493151)","179","2009","Approved","28","-","$2,390,591"
"Inergy Automotive Systems USA, LLC","Automotive - Manufacturing","
Adrian,  
(41.895299, -84.039815)","1","2005","Approved","190","-","-"
"Recticel N.A., L.L.C.","Automotive - Manufacturing","
Clarkston,  
(42.73582, -83.422142)","156","2007","Approved","75","-","-"
"Gestamp Mason, LLC.","Automotive - Manufacturing","
Mason,  
(30.749797, -99.23192)","33","2003","Approved","150","-","-"
"Federal-Mogul Products, Inc.","Automotive - Manufacturing","
Southfield,  
(42.477952, -83.240756)","265","2011","Approved","-","1,400","-"
"Kostal Kontakt Systeme, Inc.","Alt. Energy - Solar","
Rochester Hills,  
(42.652398, -83.132561)","680","2014","Approved","123","-","-"
"Martinrea Industries, Incorporated","Automotive - Manufacturing","
Clare,  
(43.818758, -84.770451)","13","2000","Approved","142","-","-"
"US Farathane Corporation - HQ","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","607","2014.2","Approved","-","711","-"
"Waltonen Engineering","Defense/Military","
Warren,  
(42.52144, -83.020184)","667","2011","Did Not Qualify","-","-","-"
"The Minacs Group (USA) Inc.","Call Center","
Farmington Hills,  
(42.485645, -83.357869)","633","2013","Approved","397","-","$3,600,866"
"Federal-Mogul Products, Inc.","Automotive - Manufacturing","
Southfield,  
(42.477952, -83.240756)","265","2015","Approved","-","1,461","-"
"TRW Automotive Inc","Automotive - Manufacturing","
Livonia,  
(42.39709, -83.36961)","190","2011","Did Not Qualify","20","-","-"
"Faurecia Interior Systems Inc.","Automotive - Manufacturing","
Fraser,  
(42.542226, -82.94983)","277","2010","Approved","196","-","$3,231,605"
"Faurecia Interior Systems Usa-Fountain Inn, Inc","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","195","2006","Approved","136","-","-"
"Behr America, Inc","Automotive - Manufacturing","
Troy,  
(42.727684, -73.691059)","95","2008","Approved","105","-","-"
"AT&T Inc. Michigan","Call Center","
Detroit,  
(42.332916, -83.047853)","279","2006","Approved","-","1,032","-"
