"project_industry","company_name","application_number","tax_year","status","actual_jobs_created","actual_jobs_retained","capital_investment_reported","city"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2001","Approved","128",,,"Escanaba"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2002","Approved","151",,,"Escanaba"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2003","Approved","139",,,"Escanaba"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2004","Approved","175",,,"Escanaba"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2005","Approved","175",,,"Escanaba"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2006","Approved","175",,,"Escanaba"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2007","Approved","141",,,"Escanaba"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2008","Approved","121",,,"Escanaba"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2009","Did Not Qualify",,,,"Escanaba"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2010","Approved","82",,"992582","Escanaba"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2011","Approved","115",,"2082941","Escanaba"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2012","Approved","93",,"1562197","Escanaba"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2013","Approved","84",,,"Escanaba"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2014","Approved","75",,,"Escanaba"
"Automotive - Manufacturing","Engineered Plastic Components","483","2010","Approved","52",,,"St. Clair"
"Automotive - Manufacturing","Engineered Plastic Components","483","2011","Approved","79",,,"St. Clair"
"Automotive - Manufacturing","Faurecia Interior Systems Inc.","277","2006","Approved","181",,,"Fraser"
"Automotive - Manufacturing","Faurecia Interior Systems Inc.","277","2007","Approved","260",,,"Fraser"
"Automotive - Manufacturing","Faurecia Interior Systems Inc.","277","2008","Approved","271",,,"Fraser"
"Automotive - Manufacturing","Faurecia Interior Systems Inc.","277","2009","Did Not Qualify",,,,"Fraser"
"Automotive - Manufacturing","Faurecia Interior Systems Inc.","277","2010","Approved","196",,"3231605","Fraser"
"Automotive - Manufacturing","Faurecia Interior Systems Inc.","277","2011","Approved","445",,"5940069","Fraser"
"Automotive - Manufacturing","Faurecia North America","195","2005","Approved","159",,,"Auburn Hills"
"Automotive - Manufacturing","Faurecia North America","195","2006","Approved","136",,,"Auburn Hills"
"Automotive - Manufacturing","Faurecia North America","195","2007","Approved","109",,,"Auburn Hills"
"Automotive - Manufacturing","Faurecia North America","195","2008","Approved","181",,,"Auburn Hills"
"Automotive - Manufacturing","Federal Mogul Corporation","265","2005","Approved",,"1866","9073133","Southfield"
