"item","nombre_del_establecimiento","nombre_del_representante","fecha_de_apertura_del","direcci_n"
"206","TALLER EURO METALES","DUARTE MANRIQUE DUVAN ALFREDO","2011-03-15T00:00:00.000","C 6 KA 12 BR RAMIREZ"
"207","EXPENDIO DE CARNES EL CRIOLLITO","DUARTE MORENO OLMES","2016-01-01T00:00:00.000","C 7 26 29 BR 12 OCTUBRE"
"208","VARIEDADES FERNANDA","DURAN ANA MIRIAM","2008-09-29T00:00:00.000","B.RAMIREZ"
"209","DISTRIBUCIONES DE CHIMU EL HALCON","DURAN DURAN ALONSO","2012-01-30T00:00:00.000","C 7 17 66 BR RAMIREZ"
"210","PANADERIA Y PASTELERIA DELIC´PAN","DURAN GARCIA OSCAR FERNANDO","2016-01-01T00:00:00.000","C 7 24 54 BR CENTRO"
"211","VETERINARIA AGRO FORTUL","DURAN LEON EZEQUIEL","2016-06-01T00:00:00.000","K 13 6 43 FRENTE A LA ALMIDONERA"
"212","COMIDAS RAPIDAS SIMPLE","DURAN MAGDA MAYERLI",,"K 25 7 31 BR CENTRO"
"213","EMCOAAAFOR E.S.P","EMCOAAAFOR E.S.P","1995-05-03T00:00:00.000","C 6 27 52 BR DOCE DE OCT"
"214","CONSTRUCTORA INDUMAR","EMINDUMAR S.A","2013-07-13T00:00:00.000",
"215","ENELAR","ENELAR","2008-03-28T00:00:00.000","K 22  22 - 16 B. UNIDOS"
"216","ALMACEN INFANTILES SANTHY KIDS","ESCOBAR MORENO ROSANGELA","2016-01-01T00:00:00.000","K 22 7 18 BR CENTRO"
"217","ESCUELA ADVENTISTA DEL SEPTIMO DIA","ESCUELA ADVENTISTA DE FORTUL","2008-04-15T00:00:00.000","CLL 7 Nº 18-46"
"218","VIVERES","ESPINOSA DAVID","2018-01-01T00:00:00.000","CARANAL"
"219","TIENDA Y VERDURERIA LOS ACACIOS","ESTEBAN DE MALDONADO NOHORA MARIA","2014-01-01T00:00:00.000","C 7 13 50 BR RAMIREZ"
"220","HOTEL CACAOTERO","ESTUPIÑAN ORTEGA ORELBA","2009-02-16T00:00:00.000","C 7  25-46 B. CENTRO"
"221","EFECTY LTDA","EFECTIVO LTDA","2018-09-26T00:00:00.000","BR CENTRO"
"222","ACTIVIDADES DE TELECOMUNICACIONES ALAMBRICAS","ETB ESP","2018-10-01T00:00:00.000","K 8 20 56 PISO 9 BOGOTA"
"223","FIDUPREVISORA","FIDUPREVISORA","2017-02-13T00:00:00.000","C 72 10 03 PISO 9 BOGOTA"
"224","MEGA CEL","FLOREZ ORTEGA JOSE LUIS","2017-01-01T00:00:00.000","C 7 20 36 BR CENTRO"
"225","MERCA TODO JULIAN","FONSECA LILIA","2017-01-01T00:00:00.000","K 19 11 45 BR LA LIBERTAD"
"226","VARIEDADES PANDY","FORERO SALCEDO MARIA TERESA","2004-02-11T00:00:00.000","B. EL CENTRO"
"227","AGROVETERINARIA EL PORTAL LLANERO","FORERO SUAREZ TRINIDAD","2017-01-01T00:00:00.000","CASERIO PALMARITO"
"228","CORPORACION SOCIAL Y DEPORTIVA -  FORTEL","FORTEL","2001-06-29T00:00:00.000","K  25 7 46  BR CENTRO"
"229","FUNDACION SIKUASO","FUNDACION SIKUAZO","2017-01-01T00:00:00.000","C 13 14 14 BARIO SUCRE"
"230","FUNDACION SIN FRONTERAS","FUNDACION SIN FRONTERAS","2017-01-01T00:00:00.000","K 23 5 12 BR UNIDOS"
"231","KAKOS BURGER","GALVIS ALBA NELLY","2015-01-01T00:00:00.000","K 25 6 58 BR CENTRO"
"232","PERMISO OPERACIONAL CONSULTORES S.AS.","GALVIS SERRANO ANA MARIA","2016-08-01T00:00:00.000","BOGOTA"
"233","COMIDAS RAPIDAS TODO RICO","GAMBOA DE GARCIA EDILIA","2006-08-16T00:00:00.000","K 21 7 67 BR CENTRO"
"234","SURTI FRESCO SUPER","GAMBOA JAIMES ANA MILENA","2018-08-03T00:00:00.000","C 7 18 12 BR RAMIREZ"
"235","ALMACEN EL GRAN REGALAZO","GARCIA BENAVIDES TEOFILDE","1993-06-27T00:00:00.000","C 7 21 - 10 CENTRO"
"236","BOUTIQUE VALENTINA","GARCIA DIAZ ELSA","2016-07-01T00:00:00.000","C 7 21 59 BR CENTRO"
"237","COMERCIALIZADORA TERA BYTES","GARCIA GOMEZ  MILLER ALEXANDER","2013-09-12T00:00:00.000","CALLE 7 23 34 BR CENTRO"
"238","TALLER GUSANO","GARCIA JORGE","2001-06-29T00:00:00.000","BARRIO RAMIREZ"
"239","CRISTALERIA EL GUAJIBO","GARCIA JOSE JAIME","2017-01-01T00:00:00.000","C 7 23 66 BR CENTRO"
"240","SALA DE BELLEZA ANYELINA","GARCIA MARTINEZ LEIDY","2017-01-01T00:00:00.000","C 10 17 61 BR EL ROBLE"
"241","FUENTE DE SODA LA 63","GARCIA SOTO MARLY YUDITH","2016-01-01T00:00:00.000","C 7 23 63 BR CENTRO"
"242","MORICHAL DEL PROGRESO","GARCIA SOTO RUBIELA","1998-06-25T00:00:00.000","K 24 8 - 52  BR EL CENTRO"
"243","CENTRO ODONTOLOGICO DENT SALUD","GARZON CORTES URIEL","2001-06-29T00:00:00.000","K 24 7 16 22 BR CENTRO"
"244","TIENDA LAS PALMERAS EN CARANAL","GARZON SALINAS FELIX EDUARDO","2008-02-21T00:00:00.000","CASERIO DE CARANAL"
"245","VIVERES LA TRAMPITA","GELVES CACERES  JAIME","2001-06-29T00:00:00.000","C 7  13- 28 B. RAMIREZ"
"246","RESTAURANTE NUEVO MILENIO","GELVEZ CACERES NELLY","2008-05-16T00:00:00.000","BARRIO EL CENTRO"
"247","CERVECERIA EL TREBOL","GELVEZ CACERES PEDRO","2007-04-20T00:00:00.000","CALL 7 N ª 22 - 09"
"248","TIENDA LA ESQUINA DEL PRADO","GELVEZ ORTEGA ALCIRA","2015-10-05T00:00:00.000","C 9 14 04 BR EL PRADO"
"249","TIENDA LA FLORIDA","GELVEZ PAEZ NUBIA","2017-01-01T00:00:00.000","INVASION"
"250","GEOCONSTRUCCIONES C&C S.AS.","GEOCONSTRUCCIONES C&C S.A.S","2017-01-01T00:00:00.000","K 28 9 05 BR MILTON BASTOS"
"251","GEOINGENIERIA","GEOINGENIERIA","2013-01-01T00:00:00.000","C 35 7 25 PISO 12 EDIF CAXDAC"
"252","CAMBIO R06","GOITIA VALDERRAMA RISMELDI VICTORIA","2018-07-12T00:00:00.000","C 7 13 69 BR RAMIREZ"
"253","TALLER XUJU MOTOR","GOMEZ  VARGAS FELIPE","2016-01-01T00:00:00.000","C 6 18 06 BR RAMIREZ"
"254","GUACALERA EL NEGRO","GOMEZ CERVELEON WILMER","2005-04-29T00:00:00.000","CALL 7 NªCRA 14"
"255","COMERCIALIZADORA EL DAGO","GOMEZ JHON",,"C 7 26 36 BR 12 OCT"
"256","COMPRA Y VENTA DE DROGAS AL POR MAYOR","GOMEZ JOSE EUGENIO","2012-05-10T00:00:00.000","CALLE 7 16 21"
"257","AUTOSERVICIO LA EXITOSA","GOMEZ LOPEZ MELVER ELI","2016-02-17T00:00:00.000","C 7 26 26 BR 12 OCTUBRE"
"258","HELADERIA LIZETH PAOLA","GOMEZ OMAIRA","2018-04-20T00:00:00.000","C 7 25 50 BR CENTRO"
"259","Peluqueria","GOMEZ RAMOS MARIA ISABEL","2013-08-13T00:00:00.000","CARANAL"
"260","TALLER MOTOR WIILLIANS","GOMEZ VARGAS MARIA","2004-06-11T00:00:00.000","K 24 7 27 BR CENTRO"
"261","FUNDACION COLOMBIANA PARA EL DESARROLLO SOCIAL  Y COMUNITARIO","GONZALEZ CALDERON RICHAR NIXON","2017-01-01T00:00:00.000","C 16 10 69 BR 20 DE JULIO"
"262","COMIDAS RAPIDAS CARLOS","GONZALEZ CARLOS MARIO","2016-01-01T00:00:00.000","C 7 25 23 BR CENTRO"
"263","CONTRATACION","GONZALEZ ESCUDERO HARVEY","2017-01-01T00:00:00.000","SARAVENA"
"264","RESTAURANTE DANNA","GONZALEZ GLADYS","2017-01-01T00:00:00.000","C 8 4 48 CARANAL"
"265","CLINICA VETERINARIA EL GABAN","GONZALEZ GUZMAN ALEXANDER","2015-01-01T00:00:00.000","K 25 6 06 02 BR CENTRO"
"266","LONDON STORE","GONZALEZ GUZMAN GENNY JASLEY","2015-01-01T00:00:00.000","C 7 24 47 BR CENTRO"
"267","SALA DE BELLEZA DAURY","GONZALEZ HENAO DULFANY","2015-01-01T00:00:00.000","K 5 CARANAL"
"268","BAR YIR LATINO","GONZALEZ MEJIA VICTOR DANIEL","2017-01-01T00:00:00.000","K 24 8 BR CENTRO"
"269","ALMACEN CENTRAL","GONZALEZ REYES DIANA CAROLINA","1991-05-05T00:00:00.000","C 7 25 BR CENTRO"
"270","PELUQUERIA ESTILOS EMELY JOU","GONZALEZ TRIANA MARTINA","2017-02-01T00:00:00.000","C7 21 66 BR CENTRO"
"271","CONTRATACION","GOPHER GROUP S.A.S","2018-03-23T00:00:00.000","FORTUL"
"272","MINITIENDA LA GRANJITA","GOYENECHE GOMEZ JULIAN DAVID","1996-02-26T00:00:00.000","BR. ADAN MENDEZ"
"273","HOSPEDAJE EL YARY","GRANADOS ENCISO BLANCA FLOR","2001-06-29T00:00:00.000","K 12 7 39 BR RAMIREZ"
"274","GRUCORP SAS","GRUPO CORPORATIVO DEL PIEDEMONTE URBANO","2016-01-01T00:00:00.000","K 18 27 72 BR MODELO SARAV"
"275","VIDRIERIA REFLEJOS","GUALDRON EUGENIO FERNANDO","2004-01-01T00:00:00.000","BARRIO RAMIREZ"
"276","COMERCIALIZADORA LOS PATOS","GUARNIZO JANETH","2016-01-01T00:00:00.000","C 7 14 57 BR RAMIREZ"
"277","AVANTEL S.AS.","GUERRA TAMARA PAULA","2018-04-01T00:00:00.000","K 11 93 92  BOGOTA"
"278","ELECTRICOS FER","GUERRERO ALFONSO LUZ MERY","2016-01-01T00:00:00.000","C 7  18 10 BR RAMIREZ"
"279","AUTOSERVICIO NACHIS´2","GUERRERO MORA CLAIDY EMILSE","2019-08-02T00:00:00.000","C 8 13 122 BR EL PRADO"
"280","VIVERES Y CARNICERIA LA PAZ","GUERRERO RODRIGUEZ JUAN DE LA CRUZ","2017-07-01T00:00:00.000","LA INVASION"
"281","GUSCOTA NARCISA","GUSCOTA NARCISA",,"CARANAL"
"282","TALLER INDUSTRIAL EL PIEDEMONTE","GUTIERREZ AMARIS DAGOBERTO","2016-01-01T00:00:00.000","C7 13 54 BARRIO RAMIREZ"
"283","CANTINA EL MIRADOR","GUTIERREZ JOSE RUBEN","2017-01-01T00:00:00.000","ESQUINA CARANAL"
"284","TIENDA NATURISTA HEIDY DANIELA","GUTIERREZ RAMIREZ NINI JOHANA","2011-05-31T00:00:00.000","BARRIO RAMIREZ"
"285","DROGUERIA BRISAS DEL ARAUCA","GUZMAN ANAVE RODRIGO","2013-03-15T00:00:00.000","CARANAL"
"286","HOTEL BERAKA","GUZMAN DIAZ SEHIR","2010-02-25T00:00:00.000","K 23 6 28 BR EL CENTRO"
"287","TIENDA SHARIL","GUZMAN SANCHEZ LUZ STELLA","2007-01-11T00:00:00.000","KRA. 25 7 68 BR CENTRO"
"288","VARIEDADES MARBY","GUZMAN SANCHEZ MORELYS","1991-02-24T00:00:00.000","C 7 24 23 27 BR EL CENTRO"
"289","PANADERIA PURO PAN","GUZMAN SILVA ORLANDO","2006-08-20T00:00:00.000","C 7 20 52  BR CENTRO"
"290","TIENDA LOS PAISAS EN CARANAL","HENAO MANRIQUE WILSON","2006-01-01T00:00:00.000","CASERIO CARANAL"
"291","FLORISTERIA Y DETALLES CECI","HERNANDEZ BENAVIDEZ CECILIA","2016-01-01T00:00:00.000","C 7 14 22 BR RAMIREZ"
"292","CENTRO TECNICO ESPECIALIZADO EN MOTOCICLETAS BENTSON","HERNANDEZ CROFFORY BENTSON","2017-01-01T00:00:00.000","C 1225 20 BR BRISAS DEL LLANO"
"293","FUENTE DE SODA LOS LIRIOS","HERNANDEZ GUTIERREZ MERCEDES","2014-09-29T00:00:00.000","C 7 22 22 BR CENTRO"
"294","METALICAS HEIMER","HERNANDEZ HEIMER","2015-01-01T00:00:00.000","K 27 7 23 DOCE DE OCT"
"295","CACHARRERIA LOS PUMARROSOS","HERNANDEZ LUZ MARINA","2017-01-01T00:00:00.000","C 6 16 07 BR RAMIREZ"
"296","CANTINA DON SERPA","HERREÑO FLOR","2012-01-01T00:00:00.000","CASERIO CARANAL"
"297","JUEGODE MOTOS","HERRERA ROMERO CARLOS","2012-07-11T00:00:00.000","PARQUE CENTRAL"
"298","ENCOMIENDAS JAIMES","HINESTROZA PACHECO YANETH","2005-04-29T00:00:00.000","C 7 17 58 BR RAMIREZ"
"299","ALMACEN ECUADOR DANY","HINOJOSA GUALACATA  ESTELA","2014-01-01T00:00:00.000","C 7 21 48"
"300","ALMACEN ECUADOR SAMY","HINOJOSA GUALACATA  ESTELA","2016-01-01T00:00:00.000","C 7 21 48"
"301","SERVICIOS DE SEGURIDAD","HONOR SERVICIOS DE SEGURIDAD LTDA","2017-07-14T00:00:00.000","K 55A 79B 75 BR JORGE ELIECER GAITAN"
"302","AUTO SERVICIO LIGHT","HORTUA MONTERREY JAVIER","2005-04-29T00:00:00.000","CALL B7 Nª 20 -31"
"303","CENTRO ODONTOLOGICO FORTUL DENT","HOYOS BUITRAGO LEIDY JOHANA","2017-01-01T00:00:00.000","K 16A 7 31 BR RAMIREZ"
"304","HUGHES DE COLOMBIA","HUGHES DE COLOMBIA","2016-05-16T00:00:00.000","C 70A 4 41 BOGOTA"
"305","FOTO EXPRESS","IBARRA JONY","2008-01-31T00:00:00.000","BARRIO EL CENTRO"
"306","RESTAURANTE VEGETARIANO LA MAZORCA","IGLESIA ADVENTISTA",,"C 7 20 35 BR RAMIREZ"
"307","INDEQ LTDA","INDEQ LTDA","2014-03-31T00:00:00.000","TV 21 23 50 BOGOTA"
"308","INDUSTRIA DE RUEDAS LTAD","INDUSTRIAS DE RUEDA LTDA","2017-01-01T00:00:00.000","K 17 21 33 BUCARAMANGA"
"309","INVIAS","INSTITUTO NACIONAL DE VIAS","2014-03-10T00:00:00.000","K 59 26 60 CAN BOGOTA"
"310","INTEGRAL CONSULTORES YLC S.A.S","INTEGRAL CONSULTORES YLC SAS","2017-01-01T00:00:00.000","K 18A 18 20  JOSE VICENTE"
"311","INTER RAPIDISIMO","INTER RAPIDISIMO","2014-01-01T00:00:00.000","C 7 17 56 BR RAMIREZ"
"312","HOTEL LA POSADA ARAUCANA","ISAMA JOSE","2015-01-01T00:00:00.000","CASERIO CARANAL"
"313","ESTACION DE SERVICIOS CUCUTA","ISIDRO MONTAÑEZ MIGUEL GONZALO","1991-11-21T00:00:00.000","CRA,12 -7 -05 RAMIREZ"
"314","ISMOCOL","ISMOCOL","2014-06-30T00:00:00.000","SARAVENA"
"315","SALON DE BELLEZA NUEVO LOOK","JAIMES FLOREZ DEISY JOHANA","2006-12-31T00:00:00.000","BARRIO RAMIREZ"
"316","CACHARRERIA JAIMES","JAIMES HERNANDEZ CARLOS JULIO","1988-05-13T00:00:00.000","C 7 25 35 BR CENTRO"
"317","FUNERARIA SAN ANTONIO","JAIMES ORTIZ PEDRO VICENTE","2001-06-29T00:00:00.000","C 7 N ª 16 - 39 RAMIREZ"
"318","BILLARES SCORPIUS","JEREZ MORENO FLORALVA","2001-06-29T00:00:00.000","K 22 5 43 BR UNIDOS"
"319","TALLER DE MOTOCICLETA Y MOTOS DENY","JEREZ REINEL",,"C 7 17  37 BR RAMIREZ"
"320","INDUMETALICAS JIMENEZ","JIMENEZ BAUTISTA JANER JHOAN","2016-03-01T00:00:00.000","K 20 8 58"
"321","EL RINCON DEL DESPECHO","JIMENEZ DENNIS","2006-03-01T00:00:00.000","VEREDA EL TIGRE"
"322","SALA DE BELLEZA VALENTINA","JIMENEZ DORIS","2015-01-01T00:00:00.000","K 5 6 55 CARANAL"
"323","LATONERIA Y PINTURAS TALLER AUTO JOVES","JOVES PRADA JOSE ANTONIO","2005-04-01T00:00:00.000","CALL 7 N ª 14 - 52"
"324","BOUTIQUE ARYSPORTY","JOVES PRADA SULAY AMPARO","2014-09-01T00:00:00.000","C 7 22 55 BR CENTRO"
"325","LABORATORIO CENTINELA ZAM","JULIO LUZ MILA","2018-02-28T00:00:00.000","C 7 14 57 BR RAMIREZ"
"326","PIZZERIA HOREB S.A.S","LANDAETA ENRIQUE","2017-11-01T00:00:00.000","C 7 24 15 BR CENTRO"
"327","TIENDA NATURISTA BIOFUENTE","LARA ACOSTA LUIS EDUARDO","2012-03-05T00:00:00.000","C 7 22 67 BR RAMIREZ"
"328","BAR HAWAY","LARA CUELLAR LUZ MERY","1991-06-18T00:00:00.000","CALL 8 CRA. 24 -38"
"329","ASESORIAS CONTABLES","LASSO ROJAS  ARISLICETH","2015-01-01T00:00:00.000","C 7 20 BR CENTRO"
"330","MODA Y ESTILO ALEJANDRA","LAZARO ARIAS EZEQUIEL","2017-01-01T00:00:00.000","K 15 10 05 BR TRES DE DICIEMBRE"
"331","ALMACEN GUADAÑA MOTOS","LAZARO CHINCHILLA LUZ EDITH","2003-09-25T00:00:00.000","K 20 24 45 BR CENTRO"
"332","VENTA AMBULANTE","LEAL BAUTISTA BERNARDO","2014-07-29T00:00:00.000","K 24 6 58 BR CENTRO"
"333","MINI FARMACIA LEAL","LEAL CARVAJAL NELLY","2006-03-01T00:00:00.000","MORDISCO"
"334","ALMACEN Y TALLER DE MOTOS DY LAN","LEAL PEREZ EDILSON","2012-11-15T00:00:00.000","C 7 17 26 BR RAMIREZ"
"335","QUESO DOBLE CREMA EXCELSO","LEGARDA CELSA JULIA","2018-04-12T00:00:00.000","C 10 18 78 BR RECREO"
"336","ALMACEN Y CONFECCIONES PYL","LEMUS CORREA LEONOR","2016-01-01T00:00:00.000","K 22 7 03 BR CENTRO"
"337","ALMACEN DE ROPA MODA PONTUAL","LEON GETACAMA JAIME","2013-01-01T00:00:00.000","C 7 20 27"
"338","VENTA DE ROPA Y ZAPATOS","LEON GETACAMA JAIME","2015-01-01T00:00:00.000","K 5 7 06 CARANAL"
"339","TALLER LEON","LEON JUNCO HENRY","2008-11-06T00:00:00.000","K 16 BARRIO RAMIREZ"
"340","HELADERIA  DELICIAS BAJO CERO","LEON YUREY KATERINE","2016-01-01T00:00:00.000","C 6  18 12 BR. RAMIREZ2016"
"341","HELADERIA DELICIAS BAJO CERO","LEON YUREY KATERINE","2017-01-01T00:00:00.000","C 6 18 12 BR RAMIREZ"
"342","CASETA DOÑA FLOR","LINARES ROSALBA","2017-09-17T00:00:00.000","VIA PRINCIPAL ESQUNA"
"343","TALLER DE MOTOS","LINDARTE DORIS MARIA","2015-01-01T00:00:00.000","CARANAL"
"344","CENTRO TECNICO DE SERVICIOS RPM MOTOCICLETAS","LIZARAZO  ARCHILA BERNARDO","2009-02-06T00:00:00.000","CALL 7 N ª 14 - 57"
"345","ARREGLO DE ROPA","LIZARAZO  ESPINEL ANA MERCEDES","2016-01-01T00:00:00.000","K 22 7 38  BR CENTRO"
"346","SERVICIOS ELECTRONICOS J.D","LIZARAZO JULIAN",,"C 7 11 45 BR RAMIREZ"
"347","TALLER DE METALURGICA MIGUE","LIZARAZO VILLAMIZAR MIGUEL ARCANGEL","2006-09-18T00:00:00.000","C 8 KRA 18  BR EL ROBLE"
"348","CARNICERIA LIZARAZO","LIZARAZO XIOMARA",,"C 7 20 44 BR CENTRO"
"349","PELUQUERIA XIOMI","LIZARAZO XIOMARA","2017-01-01T00:00:00.000","C 8 17 42 BR EL ROBLE"
"350","TIENDA LA ESQUINA","LIZCANO ZARATE TILCIA","2017-01-01T00:00:00.000","C 8 21 67 BR CENTRO"
"351","PANADERIA Y FRESQUERIA YARIMA","LOPEZ CHAPARRO GLORIA","1996-03-06T00:00:00.000","K 25 6 62 BR CENTRO"
"352","MUEBLES ARAUCA","LOPEZ GUARIN NORBEY","2016-01-01T00:00:00.000","C 7 23 40 BR CENTRO"
"353","TIENDA DE COSMETICOS WAPA'S","LOPEZ SANCHEZ ALESI YIRID","2016-01-01T00:00:00.000","C 7 24 54 BR CENTRO"
"354","ME GUSTA CAFETERIA Y COMIDAS RAPIDAS","LOPEZ TELLEZ RAMON ARLEY","2016-01-01T00:00:00.000","C 6 24 68 BR CENTRO"
"355","RODAMIENTO Y REPUESTOS","LORA LOPEZ ANIBAL","2006-10-12T00:00:00.000","BARRIO RAMIREZ"
"356","TIENDA MATECAÑA","LOZANO BECERRA MARIA DILMA","2008-10-10T00:00:00.000","C 7 N ª 17 - 04 B. RAMIREZ"
"357","VETERINARIA EL HATO UNISANTANDER","LOZANO GOMEZ JUAN FRANCISCO","2017-11-01T00:00:00.000","C 7 22 45 BR CENTRO"
"358","TIENDA Y VARIEDADES OCAÑA","MADARRIAGA SANGUINO WILSON","1995-03-13T00:00:00.000","C 6 16 67 BR RAMIREZ"
"359","FULL MOVIL","MADARRIAGA SANGUINO WILSON","2017-08-01T00:00:00.000","C 7 19 03 BR RAMIREZ"
"360","RESTAURANTE LOS 4 HELECHOS","MADERO GALAN NOHORA","2009-03-31T00:00:00.000","K 24 7 34 BR CENTRO"
"361","CAMPITODO","MADERO RICARDO ARNULFO",,"C 7 24 23 BR CENTRO"
"362","FARMACIA CAÑAHUATE FORTUL","MAESTRE GERMAN","2016-08-04T00:00:00.000","K 16 17 19 BR RAMIREZ"
"363","CLUB SOCIAL  LA BELLANIA","MALDONADO CELI MEDARDO","2013-11-14T00:00:00.000","C 7 13 50 BR RAMIREZ"
"364","ASADERO LAS TRES ESQUINAS","MALDONADO CELIS IRMA","2007-03-28T00:00:00.000","LA Y"
"365","TIENDA YEINY","MALDONADO MAYRENE","2016-01-01T00:00:00.000","K 12  5 CARANAL"
"366","CONSULTORIO MEDICO","MANOSALVA CARLOS","2015-01-01T00:00:00.000","C 7 14 35 BR RAMIREZ"
"367","VARIEDADES YOJAN  HISOFI","MARIN ASTRID",,"C 7 13 79"
"368","FOTO ESTUDIO AMERICA","MARTINEZ DIAZ ELBER ARNOLDO","2001-06-29T00:00:00.000","C 7 23 33 BR CENTRO"
"369","FOTO EXPRESS","MARTINEZ DIAZ RAFAEL WILFREDO","2007-01-01T00:00:00.000","C 7 22 67BR CENTRO"
"370","SEGUROS LA PREVISORA","MARTINEZ HIGUERA MARIA EUGENIA","2018-01-01T00:00:00.000","K 16 24 25 BR RAMIREZ"
"371","ESTADERO EL QUINIENTAZO","MARTINEZ JAIMES ARNULFO","2004-06-15T00:00:00.000","K 24 9 75 BR VILLA LUCIA"
"372","CANTINA CONSUELO","MARTINEZ JAIMES WILSON","2007-10-19T00:00:00.000","K 16  9 - 67 BR EL RECREO"
"373","MUEBLERIA CENTAURO","MARTINEZ LOZANO ALCIRA","1998-07-01T00:00:00.000","C 7 19 40 BR RAMIREZ"
"374","CLARO MIXTO HOGAR Y MIXTO HOGAR 2","MARTINEZ MONTAÑO JHON FELKI","2008-08-21T00:00:00.000","C 7  22 - 30 BR CENTRO"
"375","BILLAREZ EL BACHUE EN CARANAL","MARTINEZ MORALES LUZ GRACIELA","2008-02-21T00:00:00.000","K 5 7 77 CARANAL"
"376","EL PUNTO DEL SABOR","MARTINEZ PERILLA ANTONIO","2013-01-01T00:00:00.000","C 7 17 63 BR RAMIREZ"
"377","MARVAR INGENIERIA S.A.S","MARTINEZ TRASLAVIÑA ROGER EULISES","2017-01-01T00:00:00.000","C 27 16 16 ARAUCA"
"378","CONTRATACION","MARTINEZ TRASLAVIÑA ROGER EULISES","2019-02-27T00:00:00.000","C 27 16 16 SARAVENA"
"379","VIVERES MARANTIAL PURO","MARTINEZ VALERO JOSE","2011-01-19T00:00:00.000","C 7 Nª 7  26 -  29 BR 12 OCT"
"380","HOTEL ROMERO","MARTINEZ VARGAS  ELIZABETH","2012-01-03T00:00:00.000","C 7 20 39 BR CENTRO"
"381","FRESQUERIA","MARTINEZ VARGAS  ELIZABETH","2017-01-01T00:00:00.000","C 7 20 39 BR CENTRO"
"382","ALMACEN SEXY ENCANTO","MARTINEZ VILLALBA MAYERLY ANDREA","2014-08-29T00:00:00.000","C 7 22 12 BR RAMIREZ"
"383","CARNICERIA","MARTINEZ WILSON","2016-01-01T00:00:00.000","CARANAL"
"384","XBOX GAME OVER","MARTINEZ YOBANY","2016-01-01T00:00:00.000","C 8 CARANAL"
"385","BOUTIQUE PARIS","MATEUS LILIANA",,"C 7 23 37 BR CENTRO"
"386","AGROINSUMOS Y VETERINARIA EL CEBU","MATEUS LUIS CARLOS","2011-01-20T00:00:00.000","C 8 4 03 CARANAL"
"387","RESTAURANTE CECI","MEDINA BLANCA CECILIA","2014-01-31T00:00:00.000","K 20 6 BR CENTRO"
"388","CREMA PAN TORTICAS","MEJIA CARRILLO VENI","2003-09-03T00:00:00.000","C 7 21 38 BR CENTRO"
"389","VIVERES LA MONA","MEJIA DENYS","2017-01-01T00:00:00.000","C 9A 27 28 BR MILTON BASTO"
"390","KA - AREPA","MEJIA EDUARDO",,"C 7 21 56 BR CENTRO"
"391","RESTAURANTE Y HOSPEDAJE TEQUENDAMA","MEJIA MOYANO  MARLENY","2001-08-06T00:00:00.000","C 7 23 53 BR CENTRO"
"392","COMBUSTIBLE EL ALMIRANTE","MEJIA MOYANO HECTOR","2009-03-17T00:00:00.000","EL MORDISCO"
"393","RESTAURANTE EL BUEN CLIENTE","MEJIA MOYANO LUZ ANGELA","2003-07-21T00:00:00.000","K 20 6 31  BR CENTRO"
"394","RESTAURANTE LAS DELICIAS","MEJIA MOYANO MARIA","2001-06-29T00:00:00.000","C 7 20 47 49 BR CENTRO"
"395","HELADERIA WINNY POOH","MELGAREJO MARTINEZ SAMUEL","2011-03-24T00:00:00.000","7 16 31 BR RAMIREZ"
"396","LA TASCA CERVECERA","MELO ROZO LUIS EDUARDO","2017-09-01T00:00:00.000","C 8 26 28 BR DOCE DE OCTUBRE"
"397","ALMACEN DE ROPA IMBABURAPAK 2","MENDEZ MENDEZ  SEGUNDO","2016-01-01T00:00:00.000","C 7 21 29"
"398","ALMACEN MENDEZ","MENDEZ PERUGACHI ANA PATRICIA","2017-02-01T00:00:00.000","C 7 21 39 BR CENTRO"
"399","DISTRICOMFACEL Y SERVIENTREGA","MENDOZA ARENAS MARLENY","2004-03-19T00:00:00.000","C 7 22 31 BR CENTRO"
"400","SOLUCIONES Y SERVICIOS CONTABLES M&M","MENDOZA ARENAS NINI YOHANA","2017-03-30T00:00:00.000","C 7 22 12 BR CENTRO"
"401","PAPELERIA Y VARIEDADES COLORS","MENDOZA LOPEZ SERGIO","2013-01-11T00:00:00.000","C 7 21 66 BR CENTRO"
"402","ALMACEN Y TALLER M & S","MENDOZA OSBEIRO",,"C 7 16A 18 BR RAMIREZ"
"403","ALMACEN Y TALLER LA VETERANA","MENDOZA SEPULVEDA YUDITZA","2017-03-01T00:00:00.000","C 7 16A 18 BR RAMIREZ"
"404","LOS TRAPITOS DE JHOJAN","MERCHAN MORENO ZAIRA","2017-01-01T00:00:00.000","C 7 16 29 BR RAMIREZ"
"405","PELUQUERIA NATALY STILOS Y COLOR","MERCHAN PATIÑO OLIVA","1905-07-07T00:00:00.000","C 78 20 39 BR CENTRO"
"406","FUENTE DE SODA CITY NAY","MERCHAN REY NEPOMUSENO","1989-05-12T00:00:00.000","C 726 03 12 DE OCT"
"408","NISI PAPELERIA VARIEDADES","MINA RINCON JAEL EYERLY","2017-01-01T00:00:00.000","K 24 6 35 BR CENTRO"
"409","PROSERVITRUM","MOGOLLON GOMEZ DIANA IRIS","2013-12-20T00:00:00.000","BOGOTA"
"410","INTERRAPIDISIMO","MOLINA QUINTERO VICTOR","2015-01-01T00:00:00.000","C 7 17 56 BR RAMIREZ"
