"age","income","race","sex","year","id","name","demographic_group_number","demographic_group_moe","uninsured_number","uninsured_moe_1","uninsured","uninsured_moe_2","insured_number","insured_moe_1","insured","insured_moe_2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49035","Salt Lake County, UT","280479","0","42244","2879","15.1","1","238236","2879","84.9","1"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49037","San Juan County, UT","3996","0","862","117","21.6","2.9","3134","117","78.400000000000006","2.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49039","Sanpete County, UT","6266","0","1115","155","17.8","2.5","5151","155","82.2","2.5"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49041","Sevier County, UT","5579","0","814","122","14.6","2.2000000000000002","4765","122","85.4","2.2000000000000002"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49043","Summit County, UT","13940","0","1505","222","10.8","1.6","12435","222","89.2","1.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49045","Tooele County, UT","15168","0","1689","264","11.1","1.7","13479","264","88.9","1.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49047","Uintah County, UT","8268","0","1368","183","16.5","2.2000000000000002","6900","183","83.5","2.2000000000000002"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49049","Utah County, UT","100671","0","14765","1496","14.7","1.5","85906","1496","85.3","1.5"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49051","Wasatch County, UT","6627","0","1044","145","15.8","2.2000000000000002","5583","145","84.2","2.2000000000000002"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49053","Washington County, UT","33874","0","6132","712","18.100000000000001","2.1","27741","712","81.900000000000006","2.1"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49055","Wayne County, UT","863","0","174","27","20.100000000000001","3.2","689","27","79.900000000000006","3.2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49057","Weber County, UT","62767","0","8426","975","13.4","1.6","54341","975","86.6","1.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49000","Utah","696938","0","98833","4575","14.2","0.7","598105","4575","85.8","0.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49001","Beaver County, UT","1715","0","307","39","17.899999999999999","2.2999999999999998","1409","39","82.1","2.2999999999999998"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49003","Box Elder County, UT","13574","0","1625","201","12","1.5","11949","201","88","1.5"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49005","Cache County, UT","23942","0","3192","378","13.3","1.6","20750","378","86.7","1.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49007","Carbon County, UT","6058","0","669","86","11","1.4","5389","86","89","1.4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49009","Daggett County, UT","316","0","49","7","15.5","2.1","267","7","84.5","2.1"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49011","Davis County, UT","77407","0","7879","870","10.199999999999999","1.1000000000000001","69528","870","89.8","1.1000000000000001"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49013","Duchesne County, UT","4641","0","701","84","15.1","1.8","3941","84","84.9","1.8"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49015","Emery County, UT","3191","0","390","51","12.2","1.6","2801","51","87.8","1.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49017","Garfield County, UT","1444","0","236","32","16.399999999999999","2.2000000000000002","1207","32","83.6","2.2000000000000002"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49019","Grand County, UT","3438","0","638","79","18.600000000000001","2.2999999999999998","2800","79","81.400000000000006","2.2999999999999998"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49021","Iron County, UT","10166","0","1720","212","16.899999999999999","2.1","8446","212","83.1","2.1"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49023","Juab County, UT","2593","0","380","49","14.7","1.9","2213","49","85.3","1.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49025","Kane County, UT","2273","0","391","51","17.2","2.2000000000000002","1882","51","82.8","2.2000000000000002"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49027","Millard County, UT","3641","0","613","77","16.8","2.1","3028","77","83.2","2.1"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49029","Morgan County, UT","2702","0","279","37","10.3","1.4","2423","37","89.7","1.4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49031","Piute County, UT","463","0","110","15","23.8","3.2","352","15","76.2","3.2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49033","Rich County, UT","647","0","111","14","17.100000000000001","2.2000000000000002","536","14","82.9","2.2000000000000002"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49035","Salt Lake County, UT","277906","0","42023","3159","15.1","1.1000000000000001","235883","3159","84.9","1.1000000000000001"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49037","San Juan County, UT","3965","0","810","95","20.399999999999999","2.4","3154","95","79.599999999999994","2.4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49039","Sanpete County, UT","6067","0","1069","127","17.600000000000001","2.1","4998","127","82.4","2.1"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49041","Sevier County, UT","5528","0","845","104","15.3","1.9","4683","104","84.7","1.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49043","Summit County, UT","14089","0","1445","186","10.3","1.3","12645","186","89.7","1.3"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49045","Tooele County, UT","14405","0","1708","216","11.9","1.5","12697","216","88.1","1.5"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49047","Uintah County, UT","7977","0","1244","150","15.6","1.9","6734","150","84.4","1.9"
