"incident_id","case_number","incident_datetime","incident_type_primary","incident_description","clearance_type","address_1","address_2","city","state","zip","country","latitude","longitude","created_at","updated_at","location","hour_of_day","day_of_week","parent_incident_type"
"656485360","15OR00441","2015-01-05T10:01:17.000","PROPERTY-LOST","Description: Property-Lost",,"1200 Block S 800 EAST",,"OREM","UT",,,"40.2738","-111.676","2015-01-08T09:03:37.000","2015-01-17T09:03:57.000","POINT (-111.676 40.2738)","10","Monday","Property Crime"
"653627675","15OR00283","2015-01-03T15:01:49.000","FAMILY PROBLEM-NO VIOLENCE","Description: Family Problem-No Violence",,"800 Block N 50 WEST",,"OREM","UT",,,"40.3126","-111.697","2015-01-06T09:04:01.000","2015-01-15T09:14:32.000","POINT (-111.697 40.3126)","15","Saturday","Family Offense"
"649919860","14OR53655","2014-12-29T17:12:34.000","TRAFFIC ACCIDENT-NON REPORTABL","Description: Traffic Accident-Non Reportabl",,"500 Block UNIVERSITY PKWY",,"OREM","UT",,,"40.2734","-111.681","2015-01-01T09:03:38.000","2015-01-10T09:01:30.000","POINT (-111.681 40.2734)","17","Monday","Traffic"
"651466055","14OR53963","2014-12-31T14:12:41.000","TRAFFIC OFFENSE","Description: Traffic Offense",,"900 Block W 800 NORTH",,"OREM","UT",,,"40.312","-111.717","2015-01-03T09:03:35.000","2015-01-12T09:00:56.000","POINT (-111.717 40.312)","14","Wednesday","Traffic"
"649919857","14OR53657","2014-12-29T17:12:46.000","CITIZEN ASSIST","Description: Citizen Assist",,"1 Block CENTER ST",,"OREM","UT",,,"40.2971","-111.693","2015-01-01T09:03:38.000","2015-01-10T09:01:30.000","POINT (-111.693 40.2971)","17","Monday","Community Policing"
"644826124","14OR52857","2014-12-22T18:12:11.000","CITIZEN ASSIST","Description: Citizen Assist",,"500 Block W 1400 NORTH ST",,"OREM","UT",,,"40.3227","-111.709","2014-12-25T09:03:38.000","2015-01-03T09:01:09.000","POINT (-111.709 40.3227)","18","Monday","Community Policing"
"657374964","15OR00620","2015-01-06T12:01:11.000","VEHICLE-ABANDONED","Description: Vehicle-Abandoned",,"1 Block W 300 NORTH",,"OREM","UT",,,"40.3027","-111.697","2015-01-09T09:03:46.000","2015-01-18T09:02:03.000","POINT (-111.697 40.3027)","12","Tuesday","Community Policing"
"665478541","15OR01829","2015-01-14T18:01:15.000","ALARM","Description: Alarm",,"1300 Block E 800 NORTH",,"OREM","UT",,,"40.312","-111.663","2015-01-17T09:03:59.000","2015-01-25T09:03:44.000","POINT (-111.663 40.312)","18","Wednesday","Alarm"
"16994434","09OR38648","2009-10-01T00:00:00.000","Theft","Description: THEFT-PROPERTY-FROM MOTOR VEHI",,"1100 BLOCK N 800 EAST",,"OREM","UT","null","US","40.31807","-111.67678","2009-10-08T03:09:52.000","2009-10-13T03:05:57.000","POINT (-111.67678 40.31807)","0","Thursday","Theft"
"833046401","18OR04190","2018-01-29T09:01:25.000","TRAFFIC ACCIDENT-NON REPORTABL","Description: Traffic Accident-Non Reportabl",,"300 Block N 400 WEST",,"OREM","UT",,,"40.3033","-111.705","2018-02-01T07:36:34.000","2018-02-12T17:03:59.000","POINT (-111.705 40.3033)","9","Monday","Traffic"
"659787695","15OR01049","2015-01-09T07:01:00.000","CITIZEN ASSIST","Description: Citizen Assist",,"1 Block STATE ST",,"OREM","UT",,,"40.2986","-111.696","2015-01-12T09:03:33.000","2015-01-21T09:02:00.000","POINT (-111.696 40.2986)","7","Friday","Community Policing"
"644825241","14OR52835","2014-12-22T16:12:07.000","TRAFFIC ACCIDENT-NON REPORTABL","Description: Traffic Accident-Non Reportabl",,"CENTER ST & N STATE ST",,"OREM","UT",,,"40.2971","-111.695","2014-12-25T09:03:33.000","2015-01-03T09:03:28.000","POINT (-111.695 40.2971)","16","Monday","Traffic"
"766119596","16OR35147","2016-07-23T19:07:59.000","CITIZEN ASSIST","Description: Citizen Assist",,"1 Block CENTER ST",,"OREM","UT",,,"40.2971","-111.693","2016-07-26T08:01:28.000","2016-08-05T10:09:59.000","POINT (-111.693 40.2971)","19","Saturday","Community Policing"
"663180964","15OR01474","2015-01-12T15:01:27.000","DISORDERLY CONDUCT","Description: Disorderly Conduct",,"200 Block W 800 NORTH",,"OREM","UT",,,"40.3119","-111.703","2015-01-15T09:16:28.000","2015-01-24T09:06:13.000","POINT (-111.703 40.3119)","15","Monday","Disorder"
"662162217","15OR01382","2015-01-11T22:01:29.000","DOMESTIC VIOLENCE WITH ARREST","Description: Domestic Violence With Arrest",,"1100 Block W 1340 NORTH",,"OREM","UT",,,"40.3216","-111.722","2015-01-14T09:04:06.000","2015-01-23T09:01:20.000","POINT (-111.722 40.3216)","22","Sunday","Family Offense"
"649919582","14OR53605","2014-12-29T11:12:06.000","ANIMAL PROBLEM","Description: Animal Problem",,"500 Block BEVERLY AVE",,"OREM","UT",,,"40.3077","-111.714","2015-01-01T09:03:36.000","2015-01-10T09:03:33.000","POINT (-111.714 40.3077)","11","Monday","Community Policing"
"644069796","14OR52709","2014-12-21T21:12:54.000","TRAFFIC OFFENSE","Description: Traffic Offense",,"400 Block OREM BLVD",,"OREM","UT",,,"40.2898","-111.694","2014-12-24T09:03:38.000","2015-01-02T09:00:48.000","POINT (-111.694 40.2898)","21","Sunday","Traffic"
"765989257","16OR35023","2016-07-22T21:07:31.000","AGENCY ASSIST","Description: Agency Assist",,"1300 Block E 750 NORTH",,"OREM","UT",,,"40.3112","-111.664","2016-07-25T08:00:50.000","2016-08-04T10:10:24.000","POINT (-111.664 40.3112)","21","Friday","Community Policing"
"646115569","14OR53126","2014-12-24T18:12:30.000","MISSING PERSON","Description: Missing Person",,"1300 Block SANDHILL RD",,"OREM","UT",,,"40.2721","-111.712","2014-12-27T09:03:27.000","2015-01-05T09:00:41.000","POINT (-111.712 40.2721)","18","Wednesday","Missing Person"
"650694517","14OR53807","2014-12-30T15:12:41.000","FAMILY PROBLEM-NO VIOLENCE","Description: Family Problem-No Violence",,"400 Block N 450 EAST",,"OREM","UT",,,"40.3062","-111.685","2015-01-02T09:03:27.000","2015-01-11T09:03:35.000","POINT (-111.685 40.3062)","15","Tuesday","Family Offense"
"666277734","15OR01910","2015-01-15T12:01:54.000","TRAFFIC ACCIDENT-NON REPORTABL","Description: Traffic Accident-Non Reportabl",,"1600 Block STATE ST",,"OREM","UT",,,"40.3265","-111.708","2015-01-18T09:03:31.000","2015-01-25T09:01:57.000","POINT (-111.708 40.3265)","12","Thursday","Traffic"
"834430334","18OR06590","2018-02-14T10:02:29.000","MENTAL SUBJECT","Description: Mental Subject",,"1 Block CENTER ST",,"OREM","UT",,,"40.2971","-111.693","2018-02-17T07:59:30.000","2018-02-28T06:23:28.000","POINT (-111.693 40.2971)","10","Wednesday","Other"
"646117546","14OR53092","2014-12-24T13:12:32.000","CITIZEN ASSIST","Description: Citizen Assist",,"1900 Block SANDHILL RD",,"OREM","UT",,,"40.2608","-111.704","2014-12-27T09:03:36.000","2015-01-05T09:00:45.000","POINT (-111.704 40.2608)","13","Wednesday","Community Policing"
"659788432","15OR01081","2015-01-09T11:01:36.000","CITIZEN ASSIST","Description: Citizen Assist",,"1 Block CENTER ST",,"OREM","UT",,,"40.2971","-111.693","2015-01-12T09:03:35.000","2015-01-21T09:00:56.000","POINT (-111.693 40.2971)","11","Friday","Community Policing"
"765989391","16OR34957","2016-07-22T16:07:24.000","CITIZEN ASSIST","Description: Citizen Assist",,"800 Block N 1400 EAST",,"OREM","UT",,,"40.3128","-111.662","2016-07-25T08:00:58.000","2016-08-04T10:14:20.000","POINT (-111.662 40.3128)","16","Friday","Community Policing"
"647457527","14OR53328","2014-12-26T17:12:47.000","CITIZEN ASSIST","Description: Citizen Assist",,"1200 Block STATE ST",,"OREM","UT",,,"40.3204","-111.705","2014-12-29T09:03:37.000","2015-01-07T15:43:39.000","POINT (-111.705 40.3204)","17","Friday","Community Policing"
"656484535","15OR00553","2015-01-05T19:01:05.000","CITIZEN ASSIST","Description: Citizen Assist",,"500 Block N 1025 WEST",,"OREM","UT",,,"40.3071","-111.72","2015-01-08T09:03:34.000","2015-01-17T13:33:48.000","POINT (-111.72 40.3071)","19","Monday","Community Policing"
"646117555","14OR53054","2014-12-24T09:12:25.000","CITIZEN ASSIST","Description: Citizen Assist",,"1200 Block S 1600 WEST",,"OREM","UT",,,"40.2741","-111.734","2014-12-27T09:03:36.000","2015-01-05T09:00:34.000","POINT (-111.734 40.2741)","9","Wednesday","Community Policing"
"16994429","09OR38638","2009-10-01T00:00:00.000","Family Offense","Description: HARRASSMENT",,"700 BLOCK S 200 WEST",,"OREM","UT","null","US","40.2835","-111.70014","2009-10-08T03:09:51.000","2009-10-13T03:05:56.000","POINT (-111.70014 40.2835)","0","Thursday","Other"
"649920038","14OR53652","2014-12-29T16:12:58.000","TRAFFIC ACCIDENT-REPORTABLE","Description: Traffic Accident-Reportable",,"300 Block E 100 NORTH",,"OREM","UT",,,"40.299","-111.688","2015-01-01T09:03:39.000","2015-01-10T09:01:32.000","POINT (-111.688 40.299)","16","Monday","Traffic"
"644826111","14OR52876","2014-12-22T21:12:38.000","TRAFFIC ACCIDENT-REPORTABLE","Description: Traffic Accident-Reportable",,"100 Block STATE ST",,"OREM","UT",,,"40.3004","-111.696","2014-12-25T09:03:38.000","2015-01-03T09:00:58.000","POINT (-111.696 40.3004)","21","Monday","Traffic"
"663180167","15OR01495","2015-01-12T16:01:50.000","THEFT-PROPERTY-OTHER","Description: Theft-Property-Other",,"800 Block E 700 SOUTH",,"OREM","UT",,,"40.2841","-111.676","2015-01-15T09:16:20.000","2015-01-24T09:03:54.000","POINT (-111.676 40.2841)","16","Monday","Theft"
"665479290","15OR01775","2015-01-14T13:01:43.000","BURGLARY-RESD-FORCED ENTRY","Description: Burglary-Resd-Forced Entry",,"100 Block S 1200 WEST",,"OREM","UT",,,"40.2944","-111.724","2015-01-17T09:04:01.000","2015-01-25T09:02:46.000","POINT (-111.724 40.2944)","13","Wednesday","Breaking & Entering"
"664087615","15OR01595","2015-01-13T11:01:44.000","BURGLARY-RESD-FORCED ENTRY","Description: Burglary-Resd-Forced Entry",,"400 Block STATE ST",,"OREM","UT",,,"40.289","-111.691","2015-01-16T09:16:55.000","2015-01-25T09:01:55.000","POINT (-111.691 40.289)","11","Tuesday","Breaking & Entering"
"650694213","14OR53739","2014-12-30T09:12:43.000","CITIZEN ASSIST","Description: Citizen Assist",,"100 Block MOUNTAIN WAY DR",,"OREM","UT",,,"40.2949","-111.727","2015-01-02T09:03:25.000","2015-01-11T09:03:30.000","POINT (-111.727 40.2949)","9","Tuesday","Community Policing"
"652820072","15OR00176","2015-01-02T13:01:26.000","FAMILY PROBLEM-NO VIOLENCE","Description: Family Problem-No Violence",,"CENTER ST & N STATE ST",,"OREM","UT",,,"40.2971","-111.695","2015-01-05T09:03:22.000","2015-01-14T09:03:58.000","POINT (-111.695 40.2971)","13","Friday","Family Offense"
"830682788","17OR59237","2017-12-30T07:12:52.000","VEHICLE-ABANDONED","Description: Vehicle-Abandoned",,"1100 Block W 40 SOUTH",,"OREM","UT",,,"40.2964","-111.722","2018-01-02T11:07:13.000","2018-01-13T06:53:12.000","POINT (-111.722 40.2964)","7","Saturday","Community Policing"
"651465749","14OR53968","2014-12-31T14:12:56.000","TRAFFIC ACCIDENT-HIT & RUN","Description: Traffic Accident-Hit & Run",,"1 Block STATE ST",,"OREM","UT",,,"40.2963","-111.695","2015-01-03T09:03:32.000","2015-01-12T09:01:16.000","POINT (-111.695 40.2963)","14","Wednesday","Traffic"
"648240306","14OR53457","2014-12-27T21:12:41.000","PROPERTY DAMAGE-NON VANDALISM","Description: Property Damage-Non Vandalism",,"100 Block W 1600 NORTH",,"OREM","UT",,,"40.3266","-111.701","2014-12-30T09:03:29.000","2015-01-08T09:00:41.000","POINT (-111.701 40.3266)","21","Saturday","Property Crime Residential"
"659099984","15OR00892","2015-01-08T08:01:40.000","CHILD ABUSE OR NEGLECT","Description: Child Abuse or Neglect",,"1 Block E 1750 NORTH",,"OREM","UT",,,"40.3295","-111.694","2015-01-11T09:03:33.000","2015-01-20T09:01:29.000","POINT (-111.694 40.3295)","8","Thursday","Family Offense"
"659099693","15OR00987","2015-01-08T17:01:59.000","TRAFFIC ACCIDENT-REPORTABLE","Description: Traffic Accident-Reportable",,"200 Block E 1200 SOUTH",,"OREM","UT",,,"40.2752","-111.69","2015-01-11T09:03:30.000","2015-01-20T09:01:51.000","POINT (-111.69 40.2752)","17","Thursday","Traffic"
"663181599","15OR01427","2015-01-12T11:01:32.000","TRAFFIC ACCIDENT-INJURY","Description: Traffic Accident-Injury",,"800 Block GENEVA RD",,"OREM","UT",,,"40.3119","-111.735","2015-01-15T09:16:34.000","2015-01-24T09:06:25.000","POINT (-111.735 40.3119)","11","Monday","Traffic"
"664087621","15OR01652","2015-01-13T17:01:21.000","CITIZEN ASSIST","Description: Citizen Assist",,"1100 Block N 185 WEST",,"OREM","UT",,,"40.3183","-111.7","2015-01-16T09:16:55.000","2015-01-25T09:02:30.000","POINT (-111.7 40.3183)","17","Tuesday","Community Policing"
"16994424","09OR38631","2009-10-01T00:00:00.000","Alarm","Description: ALARM",,"1 BLOCK E 500 NORTH",,"OREM","UT","null","US","40.30635","-111.69416","2009-10-08T03:09:51.000","2009-10-13T03:05:56.000","POINT (-111.69416 40.30635)","0","Thursday","Other"
