"unnamed_column","address_1","case_number","city","clearance_type","country","created_at","day_of_week","hour_of_day","incident_datetime","incident_description","incident_id","incident_type_primary","latitude","location","longitude","parent_incident_type","state","updated_at","zip"
"376","400 Block S 100 WEST ST","12NE00808","NEPHI",,"null","2012-05-21T15:48:17.000","Thursday","10","2012-05-17T10:05:32.000","Description: Animal Problem","112421640","ANIMAL PROBLEM","39.7027135","{'type': 'Point', 'coordinates': [-111.838073, 39.702714]}","-111.8380731","Community Policing","UT","2012-05-29T08:00:27.000","84648"
"377","400 Block E 300 SOUTH ST","12NE00787","NEPHI",,"null","2012-05-21T15:48:17.000","Monday","18","2012-05-14T18:05:00.000","Description: Assault-Simple","112421641","ASSAULT-SIMPLE","39.7039523","{'type': 'Point', 'coordinates': [-111.828503, 39.703952]}","-111.8285034","Assault","UT","2012-05-26T08:00:42.000","84648"
"378","500 Block N 300 WEST ST","12NE00809","NEPHI",,"null","2012-05-21T15:48:17.000","Thursday","12","2012-05-17T12:05:21.000","Description: Animal Problem","112421642","ANIMAL PROBLEM","39.7158153","{'type': 'Point', 'coordinates': [-111.841762, 39.715815]}","-111.8417623","Community Policing","UT","2012-05-29T08:00:27.000","84648"
"379","300 Block S MAIN ST","12NE00798","NEPHI",,"null","2012-05-23T08:00:44.000","Wednesday","11","2012-05-16T11:05:07.000","Description: Theft-Property-Other","112589924","THEFT-PROPERTY-OTHER","39.703917","{'type': 'Point', 'coordinates': [-111.836104, 39.703917]}","-111.8361043","Theft","UT","2012-05-28T08:00:28.000","84648"
"380","200 Block W 100 NORTH ST","12NE00837","NEPHI",,"null","2012-05-24T08:00:48.000","Monday","15","2012-05-21T15:05:32.000","Description: Animal Problem","113220545","ANIMAL PROBLEM","39.7099955","{'type': 'Point', 'coordinates': [-111.839918, 39.709996]}","-111.8399178","Community Policing","UT","2012-06-02T07:59:59.000","84648"
"381","300 Block N 300 EAST ST","12NE00832","NEPHI",,"null","2012-05-24T08:00:48.000","Monday","10","2012-05-21T10:05:15.000","Description: Animal Problem","113220548","ANIMAL PROBLEM","39.712914","{'type': 'Point', 'coordinates': [-111.830374, 39.712914]}","-111.8303743","Community Policing","UT","2012-06-02T07:59:59.000","84648"
"382","1 Block W 400 NORTH ST","12NE00844","NEPHI",,"null","2012-05-25T08:00:40.000","Tuesday","10","2012-05-22T10:05:00.000","Description: Citizen Dispute","113377617","CITIZEN DISPUTE","39.7143201","{'type': 'Point', 'coordinates': [-111.836175, 39.71432]}","-111.836175","Community Policing","UT","2012-06-03T08:01:20.000","84648"
"383","1 Block E 100 NORTH ST","12NE00847","NEPHI",,"null","2012-05-25T08:00:40.000","Tuesday","19","2012-05-22T19:05:43.000","Description: Theft-Property-Other","113377618","THEFT-PROPERTY-OTHER","39.7099929","{'type': 'Point', 'coordinates': [-111.83612, 39.709993]}","-111.8361196","Theft","UT","2012-06-03T08:01:21.000","84648"
"384","700 Block S 100 EAST ST","12NE00848","NEPHI",,"null","2012-05-25T08:00:40.000","Tuesday","20","2012-05-22T20:05:11.000","Description: Citizen Assist","113377619","CITIZEN ASSIST","39.707058","{'type': 'Point', 'coordinates': [-111.822882, 39.707058]}","-111.8228824","Community Policing","UT","2012-06-03T08:01:20.000","84648"
"385","400 Block N MAIN ST","12NE00849","NEPHI",,"null","2012-05-25T08:00:40.000","Tuesday","21","2012-05-22T21:05:13.000","Description: Citizen Assist","113377620","CITIZEN ASSIST","39.7143546","{'type': 'Point', 'coordinates': [-111.836133, 39.714355]}","-111.8361332","Community Policing","UT","2012-06-03T08:01:20.000","84648"
"386","500 Block N 200 WEST ST","12NE00842","NEPHI",,"null","2012-05-25T08:00:40.000","Tuesday","9","2012-05-22T09:05:36.000","Description: Animal Problem","113377621","ANIMAL PROBLEM","39.7158105","{'type': 'Point', 'coordinates': [-111.839945, 39.715811]}","-111.8399455","Community Policing","UT","2012-06-03T08:01:20.000","84648"
"387","2000 Block S MAIN ST","12NE00860","NEPHI",,"null","2012-05-28T08:00:28.000","Friday","14","2012-05-25T14:05:22.000","Description: Traffic Accident-Reportable","113565741","TRAFFIC ACCIDENT-REPORTABLE","39.6779968","{'type': 'Point', 'coordinates': [-111.840288, 39.677997]}","-111.8402878","Traffic","UT","2012-06-06T08:00:05.000","84648"
"388","900 Block N MAIN ST","12NE00866","NEPHI",,"null","2012-05-29T08:00:27.000","Saturday","12","2012-05-26T12:05:00.000","Description: Citizen Assist","113612430","CITIZEN ASSIST","39.7217509","{'type': 'Point', 'coordinates': [-111.836067, 39.721751]}","-111.836067","Community Policing","UT","2012-06-07T08:00:12.000","84648"
"389","800 Block N 100 EAST ST","12NE00867","NEPHI",,"null","2012-05-29T08:00:27.000","Saturday","18","2012-05-26T18:05:22.000","Description: Citizen Assist","113612431","CITIZEN ASSIST","39.7201938","{'type': 'Point', 'coordinates': [-111.834131, 39.720194]}","-111.8341314","Community Policing","UT","2012-06-07T08:00:12.000","84648"
"390","500 Block N 200 WEST ST","12NE00852","NEPHI",,"null","2012-05-29T08:00:27.000","Wednesday","7","2012-05-23T07:05:19.000","Description: Animal Problem","113612432","ANIMAL PROBLEM","39.7158105","{'type': 'Point', 'coordinates': [-111.839945, 39.715811]}","-111.8399455","Community Policing","UT","2012-06-04T08:00:05.000","84648"
"391","300 Block E 200 NORTH ST","12NE00854","NEPHI",,"null","2012-05-29T08:00:27.000","Thursday","8","2012-05-24T08:05:54.000","Description: Animal Problem","113612433","ANIMAL PROBLEM","39.7113891","{'type': 'Point', 'coordinates': [-111.830388, 39.711389]}","-111.8303881","Community Policing","UT","2012-06-05T08:00:16.000","84648"
"392","1200 Block N 150 EAST ST","12NE00865","NEPHI",,"null","2012-05-29T08:00:27.000","Saturday","17","2012-05-26T17:05:11.000","Description: Citizen Assist","113612434","CITIZEN ASSIST","39.688667","{'type': 'Point', 'coordinates': [-111.834074, 39.688667]}","-111.834074","Community Policing","UT","2012-06-07T08:00:12.000","84648"
"393","100 Block E 200 NORTH ST","12NE00870","NEPHI",,"null","2012-05-31T08:00:43.000","Monday","14","2012-05-28T14:05:52.000","Description: Animal Problem","113942173","ANIMAL PROBLEM","39.7114231","{'type': 'Point', 'coordinates': [-111.83416, 39.711422999999996]}","-111.8341601","Community Policing","UT","2012-06-09T08:00:33.000","84648"
"394","800 Block N 100 EAST ST","12NE00871","NEPHI",,"null","2012-05-31T08:00:43.000","Monday","15","2012-05-28T15:05:09.000","Description: Traffic Accident-Reportable","113942174","TRAFFIC ACCIDENT-REPORTABLE","39.7201938","{'type': 'Point', 'coordinates': [-111.834131, 39.720194]}","-111.8341314","Traffic","UT","2012-06-09T08:00:33.000","84648"
"395","800 Block N 100 EAST ST","12NE00872","NEPHI",,"null","2012-05-31T08:00:43.000","Monday","16","2012-05-28T16:05:06.000","Description: Traffic Accident-Reportable","113942175","TRAFFIC ACCIDENT-REPORTABLE","39.7201938","{'type': 'Point', 'coordinates': [-111.834131, 39.720194]}","-111.8341314","Traffic","UT","2012-06-09T08:00:33.000","84648"
"396","500 Block S 300 EAST ST","12NE00877","NEPHI",,"null","2012-06-01T08:00:41.000","Tuesday","7","2012-05-29T07:05:44.000","Description: Animal Problem","114149977","ANIMAL PROBLEM","39.7010999","{'type': 'Point', 'coordinates': [-111.830348, 39.7011]}","-111.8303478","Community Policing","UT","2012-06-10T08:00:48.000","84648"
"397","200 Block E 500 SOUTH ST","12NE00880","NEPHI",,"null","2012-06-01T08:00:41.000","Tuesday","15","2012-05-29T15:05:51.000","Description: Animal Problem","114149980","ANIMAL PROBLEM","39.7011093","{'type': 'Point', 'coordinates': [-111.832276, 39.701109]}","-111.8322763","Community Policing","UT","2012-06-10T08:00:48.000","84648"
