"occupation_code","title","level","employment","employment_rse","per_1_000_jobs","location","median_hourly_wage","mean_hourly_wage","annual_wage","mean_wage"
"27-4032","Film and Video Editors","detail","310","0.171","0.211","1.08","26.40","25.97","54010","0.051"
"29-0000","Healthcare Practitioners and Technical Occupations","major","69840","0.014","47.969","0.8","29.99","36.93","76810","0.031"
"29-1011","Chiropractors","detail","460","0.181","0.316","1.32","22.41","26.07","54220","0.092"
"29-1021","Dentists, General","detail","1660","0.102","1.139","1.46","55.98","66.81","138970","0.128"
"29-1023","Orthodontists","detail","40","0.369","0.025","0.67","47.84","54.67","113710","0.157"
"29-1031","Dietitians and Nutritionists","detail","700","0.122","0.48","1.07","26.81","27.11","56390","0.024"
"29-1041","Optometrists","detail","470","0.213","0.32","1.24","34.20","35.81","74490","0.122"
"29-1051","Pharmacists","detail","2540","0.058","1.741","0.81","59.00","56.52","117570","0.02"
"29-1061","Anesthesiologists","detail","450","0.467","0.309","1.44","99.22","103.23","214730","0.209"
"29-1062","Family and General Practitioners","detail","1530","0.133","1.049","1.33","89.04","94.04","195610","0.039"
"29-1063","Internists, General","detail","250","0.07","0.175","0.67","-5","110.51","229850","0.058"
"29-1064","Obstetricians and Gynecologists","detail","260","0.083","0.176","1.37","-5","123.53","256950","0.079"
"29-1065","Pediatricians, General","detail","190","0.288","0.128","0.65","-5","115.42","240060","0.122"
"29-1066","Psychiatrists","detail","270","0.321","0.186","1.05","43.05","70.05","145700","0.179"
"29-1067","Surgeons","detail","490","0.051","0.338","1.42","-5","-5","-5","0.096"
"29-1069","Physicians and Surgeons, All Other","detail","2180","0.053","1.497","0.56","-5","104.91","218210","0.072"
"29-1071","Physician Assistants","detail","1090","0.064","0.749","0.94","47.94","49.38","102710","0.022"
"29-1081","Podiatrists","detail","70","0.263","0.051","0.77","58.30","71.04","147770","0.136"
"29-1122","Occupational Therapists","detail","900","0.082","0.616","0.7","40.71","41.01","85300","0.021"
"29-1123","Physical Therapists","detail","1790","0.049","1.226","0.78","39.25","41.32","85940","0.017"
"29-1124","Radiation Therapists","detail","90","0.235","0.061","0.48","39.70","41.23","85760","0.021"
"29-1125","Recreational Therapists","detail","380","0.077","0.263","2.02","22.61","23.19","48230","0.021"
"29-1126","Respiratory Therapists","detail","910","0.042","0.623","0.7","29.23","29.56","61480","0.012"
"29-1127","Speech-Language Pathologists","detail","1400","0.081","0.964","0.95","37.73","37.90","78840","0.03"
"29-1128","Exercise Physiologists","detail","70","0.151","0.048","1.04","22.77","24.25","50440","0.059"
"29-1131","Veterinarians","detail","500","0.107","0.34","0.69","37.48","37.01","76980","0.041"
"29-1141","Registered Nurses","detail","21700","0.023","14.907","0.73","30.56","31.57","65670","0.007"
"29-1151","Nurse Anesthetists","detail","40","0.302","0.03","0.1","75.39","77.55","161300","0.154"
"29-1161","Nurse Midwives","detail","80","0.18","0.056","1.3","52.29","51.25","106590","0.047"
"29-1171","Nurse Practitioners","detail","1380","0.051","0.95","0.77","50.56","50.88","105840","0.026"
"29-1181","Audiologists","detail","120","0.179","0.08","0.87","35.10","34.37","71480","0.035"
"29-1199","Health Diagnosing and Treating Practitioners, All Other","detail","140","0.065","0.097","0.38","35.28","35.72","74310","0.03"
"29-2010","Clinical Laboratory Technologists and Technicians","broad","4290","0.026","2.948","1.33","22.63","23.77","49430","0.013"
"29-2021","Dental Hygienists","detail","2860","0.058","1.962","1.32","34.32","33.41","69490","0.024"
"29-2032","Diagnostic Medical Sonographers","detail","560","0.04","0.385","0.78","36.89","36.09","75070","0.017"
"29-2033","Nuclear Medicine Technologists","detail","110","0.09","0.073","0.56","35.95","36.18","75250","0.013"
"29-2034","Radiologic Technologists","detail","1410","0.04","0.968","0.68","26.60","27.42","57040","0.013"
"29-2035","Magnetic Resonance Imaging Technologists","detail","160","0.05","0.109","0.41","33.07","31.93","66420","0.022"
"29-2041","Emergency Medical Technicians and Paramedics","detail","2030","0.028","1.394","0.78","14.69","16.28","33870","0.02"
"29-2051","Dietetic Technicians","detail","810","0.082","0.556","2.4","11.75","12.61","26220","0.035"
"29-2052","Pharmacy Technicians","detail","4020","0.047","2.76","0.96","17.66","17.88","37190","0.011"
"29-2053","Psychiatric Technicians","detail","1060","0.102","0.727","1.47","12.95","13.30","27660","0.032"
"29-2054","Respiratory Therapy Technicians","detail","110","0.407","0.075","1.2","23.59","23.88","49680","0.025"
"29-2055","Surgical Technologists","detail","1130","0.038","0.778","1.02","19.97","21.30","44300","0.014"
"29-2056","Veterinary Technologists and Technicians","detail","1090","0.099","0.751","1.02","14.32","14.69","30560","0.02"
"29-2057","Ophthalmic Medical Technicians","detail","250","0.27","0.171","0.47","15.42","16.27","33840","0.047"
"29-2061","Licensed Practical and Licensed Vocational Nurses","detail","2130","0.078","1.46","0.3","22.35","23.14","48130","0.027"
"29-2071","Medical Records and Health Information Technicians","detail","2000","0.063","1.375","0.95","18.40","20.26","42150","0.026"
"29-2081","Opticians, Dispensing","detail","580","0.161","0.397","0.8","13.90","14.78","30750","0.029"
"29-2092","Hearing Aid Specialists","detail","130","0.384","0.089","1.67","25.65","24.50","50950","0.09"
"29-2099","Health Technologists and Technicians, All Other","detail","650","0.144","0.444","0.51","18.50","19.79","41150","0.039"
"29-9011","Occupational Health and Safety Specialists","detail","880","0.061","0.603","0.99","36.06","37.52","78040","0.032"
"29-9012","Occupational Health and Safety Technicians","detail","210","0.073","0.144","1.15","23.69","26.14","54370","0.05"
"29-9091","Athletic Trainers","detail","270","0.16","0.182","0.98","-4","-4","48490","0.031"
"29-9092","Genetic Counselors","detail","30","0.106","0.021","1.17","38.13","41.03","85330","0.033"
"29-9099","Healthcare Practitioners and Technical Workers, All Other","detail","300","0.221","0.204","0.9","18.60","24.37","50690","0.119"
"31-0000","Healthcare Support Occupations","major","34040","0.038","23.382","0.82","14.13","14.99","31180","0.01"
"31-1011","Home Health Aides","detail","3750","0.297","2.577","0.47","12.12","12.78","26580","0.029"
"31-1013","Psychiatric Aides","detail","270","0.049","0.188","0.48","13.73","14.12","29360","0.023"
"31-1014","Nursing Assistants","detail","10680","0.053","7.336","0.73","13.30","13.40","27880","0.012"
"31-2011","Occupational Therapy Assistants","detail","330","0.153","0.23","0.78","27.76","27.15","56460","0.036"
"31-2012","Occupational Therapy Aides","detail","160","0.304","0.109","2.05","9.50","11.51","23930","0.103"
"31-2021","Physical Therapist Assistants","detail","860","0.105","0.592","0.91","26.56","25.40","52830","0.044"
"31-2022","Physical Therapist Aides","detail","870","0.136","0.594","1.82","10.41","10.99","22860","0.028"
"31-9011","Massage Therapists","detail","1410","0.175","0.97","1.34","17.98","19.65","40880","0.056"
"31-9091","Dental Assistants","detail","5060","0.047","3.477","1.48","14.88","15.04","31280","0.028"
"31-9092","Medical Assistants","detail","7020","0.045","4.823","1.04","15.54","15.86","33000","0.009"
"31-9093","Medical Equipment Preparers","detail","530","0.031","0.367","0.95","17.06","17.60","36600","0.012"
"31-9094","Medical Transcriptionists","detail","450","0.223","0.307","0.83","15.57","17.36","36110","0.071"
"31-9095","Pharmacy Aides","detail","250","0.186","0.171","0.67","17.39","17.37","36120","0.032"
"31-9096","Veterinary Assistants and Laboratory Animal Caretakers","detail","340","0.273","0.237","0.38","11.60","11.90","24750","0.034"
"31-9097","Phlebotomists","detail","1150","0.066","0.792","0.92","14.43","15.04","31290","0.017"
"31-9099","Healthcare Support Workers, All Other","detail","-8","-8","-8","-8","18.03","18.13","37720","0.028"
"33-0000","Protective Service Occupations","major","22540","0.03","15.484","0.65","19.02","20.37","42370","0.02"
"33-1011","First-Line Supervisors of Correctional Officers","detail","290","0.006","0.2","0.66","36.44","36.40","75710","0.018"
"33-1012","First-Line Supervisors of Police and Detectives","detail","920","0.01","0.634","0.79","35.73","36.83","76610","0.008"
"33-1021","First-Line Supervisors of Fire Fighting and Prevention Workers","detail","580","0.019","0.395","0.87","31.22","32.71","68040","0.021"
"33-1099","First-Line Supervisors of Protective Service Workers, All Other","detail","430","0.167","0.298","0.55","23.81","24.24","50410","0.019"
"33-2011","Firefighters","detail","2000","0.027","1.374","0.62","17.35","18.25","37960","0.015"
"33-2021","Fire Inspectors and Investigators","detail","190","0.074","0.127","1.47","29.29","27.88","58000","0.047"
"33-3011","Bailiffs","detail","30","0.019","0.023","0.18","23.76","24.30","50550","0.023"
"33-3012","Correctional Officers and Jailers","detail","2270","0.02","1.557","0.54","21.38","22.19","46150","0.014"
"33-3021","Detectives and Criminal Investigators","detail","320","0.011","0.223","0.31","31.67","38.86","80840","0.047"
"33-3041","Parking Enforcement Workers","detail","70","0.055","0.047","0.83","15.77","16.49","34290","0.021"
"33-3051","Police and Sheriff's Patrol Officers","detail","4490","0.04","3.086","0.68","25.27","25.91","53890","0.01"
"33-9011","Animal Control Workers","detail","170","0.055","0.12","1.43","17.52","17.50","36410","0.021"
"33-9021","Private Detectives and Investigators","detail","120","0.334","0.084","0.39","18.52","22.26","46310","0.071"
"33-9032","Security Guards","detail","5570","0.095","3.828","0.5","14.40","16.28","33870","0.031"
"33-9091","Crossing Guards","detail","1630","0.029","1.122","2.03","11.82","12.55","26100","0.022"
"33-9092","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","detail","2290","0.083","1.574","1.58","9.28","10.34","21500","0.024"
"33-9093","Transportation Security Screeners","detail","500","0.00","0.346","1.11","18.18","18.45","38380","0.027"
"33-9099","Protective Service Workers, All Other","detail","560","0.027","0.386","0.39","16.25","17.64","36690","0.023"
"35-0000","Food Preparation and Serving Related Occupations","major","111300","0.01","76.449","0.83","10.27","11.32","23540","0.009"
"35-1011","Chefs and Head Cooks","detail","960","0.177","0.656","0.74","18.35","20.96","43590","0.043"
"35-1012","First-Line Supervisors of Food Preparation and Serving Workers","detail","7790","0.062","5.354","0.8","14.32","15.49","32230","0.021"
"35-2011","Cooks, Fast Food","detail","3600","0.174","2.472","0.73","11.40","11.42","23750","0.029"
"35-2012","Cooks, Institution and Cafeteria","detail","3570","0.063","2.452","0.89","13.21","13.40","27870","0.011"
"35-2014","Cooks, Restaurant","detail","8730","0.099","5.995","0.65","12.93","13.15","27350","0.021"
"35-2015","Cooks, Short Order","detail","910","0.434","0.626","0.58","11.31","11.96","24870","0.022"
"35-2021","Food Preparation Workers","detail","5960","0.15","4.096","0.73","11.55","11.79","24520","0.02"
"35-3011","Bartenders","detail","2560","0.072","1.757","0.4","9.65","12.68","26380","0.05"
"35-3021","Combined Food Preparation and Serving Workers, Including Fast Food","detail","43840","0.033","30.11","1.19","9.33","9.83","20440","0.009"
"35-3022","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","detail","3650","0.192","2.505","0.77","9.71","10.53","21900","0.029"
"35-3031","Waiters and Waitresses","detail","17770","0.052","12.205","0.68","9.90","11.54","24000","0.024"
"35-3041","Food Servers, Nonrestaurant","detail","1720","0.128","1.182","0.64","11.68","11.99","24950","0.029"
"35-9011","Dining Room and Cafeteria Attendants and Bartender Helpers","detail","2650","0.132","1.82","0.58","9.58","10.78","22410","0.028"
"35-9021","Dishwashers","detail","3800","0.11","2.611","0.75","10.08","10.17","21140","0.017"
"35-9031","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","detail","3390","0.094","2.329","0.81","9.75","10.42","21680","0.025"
"35-9099","Food Preparation and Serving Related Workers, All Other","detail","-8","-8","-8","-8","9.42","10.64","22140","0.138"
"37-0000","Building and Grounds Cleaning and Maintenance Occupations","major","44540","0.024","30.596","1","12.00","13.14","27330","0.012"
"37-1011","First-Line Supervisors of Housekeeping and Janitorial Workers","detail","1140","0.07","0.786","0.74","18.94","20.41","42460","0.03"
"37-1012","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","detail","1060","0.13","0.731","1.04","25.79","25.82","53700","0.03"
"37-2011","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","detail","22680","0.041","15.579","1.05","10.76","12.15","25270","0.018"
"37-2012","Maids and Housekeeping Cleaners","detail","9030","0.055","6.2","0.97","11.57","11.78","24500","0.014"
"37-2021","Pest Control Workers","detail","540","0.132","0.369","0.69","14.98","14.84","30870","0.075"
"37-3011","Landscaping and Groundskeeping Workers","detail","9510","0.042","6.531","1.03","13.92","14.19","29510","0.014"
"37-3012","Pesticide Handlers, Sprayers, and Applicators, Vegetation","detail","260","0.28","0.177","1.05","15.79","16.80","34940","0.03"
"37-3013","Tree Trimmers and Pruners","detail","220","0.352","0.148","0.5","16.65","17.06","35480","0.047"
"37-3019","Grounds Maintenance Workers, All Other","detail","40","0.22","0.029","0.29","14.76","18.49","38470","0.05"
"39-0000","Personal Care and Service Occupations","major","45320","0.026","31.132","0.83","11.28","12.76","26550","0.011"
"39-1021","First-Line Supervisors of Personal Service Workers","detail","1730","0.054","1.19","0.75","15.01","16.31","33930","0.017"
"39-2011","Animal Trainers","detail","120","0.29","0.084","0.82","12.49","13.97","29050","0.044"
"39-2021","Nonfarm Animal Caretakers","detail","1980","0.075","1.361","0.99","11.13","12.23","25440","0.025"
"39-3021","Motion Picture Projectionists","detail","80","0.386","0.052","1.57","10.17","10.96","22800","0.097"
"39-3031","Ushers, Lobby Attendants, and Ticket Takers","detail","2120","0.083","1.457","1.57","9.50","10.27","21370","0.023"
"39-3091","Amusement and Recreation Attendants","detail","6560","0.058","4.509","2.04","9.49","10.45","21730","0.019"
"39-3092","Costume Attendants","detail","120","0.121","0.084","1.88","12.65","13.10","27240","0.05"
"39-3093","Locker Room, Coatroom, and Dressing Room Attendants","detail","150","0.171","0.106","0.87","11.88","13.86","28840","0.076"
"39-3099","Entertainment Attendants and Related Workers, All Other","detail","110","0.316","0.078","2.05","11.34","12.50","26000","0.025"
"39-4021","Funeral Attendants","detail","130","0.338","0.09","0.37","12.77","12.65","26320","0.077"
"39-4031","Morticians, Undertakers, and Funeral Directors","detail","170","0.321","0.119","0.67","19.59","27.32","56820","0.158"
"39-5011","Barbers","detail","-8","-8","-8","-8","9.52","11.94","24820","0.232"
"39-5012","Hairdressers, Hairstylists, and Cosmetologists","detail","3010","0.125","2.067","0.79","10.35","12.68","26370","0.05"
"39-5092","Manicurists and Pedicurists","detail","620","0.282","0.426","0.56","13.26","13.24","27550","0.104"
"39-5094","Skincare Specialists","detail","990","0.203","0.682","1.94","15.52","15.76","32790","0.049"
"39-6011","Baggage Porters and Bellhops","detail","230","0.112","0.157","0.54","9.35","10.32","21460","0.051"
"39-6012","Concierges","detail","240","0.287","0.163","0.63","12.17","14.78","30750","0.061"
"39-7010","Tour and Travel Guides","broad","1320","0.131","0.906","2.64","13.32","14.47","30100","0.057"
"39-9011","Childcare Workers","detail","5990","0.079","4.111","1.05","10.05","10.78","22420","0.025"
"39-9021","Personal Care Aides","detail","9850","0.072","6.767","0.44","11.70","12.37","25740","0.016"
"39-9031","Fitness Trainers and Aerobics Instructors","detail","3150","0.082","2.166","1.02","18.35","19.99","41570","0.038"
"39-9032","Recreation Workers","detail","3820","0.084","2.623","1.07","10.69","12.78","26590","0.029"
"39-9041","Residential Advisors","detail","2250","0.117","1.543","2.06","13.08","13.30","27670","0.016"
"39-9099","Personal Care and Service Workers, All Other","detail","340","0.388","0.23","0.57","9.68","10.80","22460","0.097"
"41-0000","Sales and Related Occupations","major","139980","0.021","96.149","0.96","13.35","18.84","39180","0.013"
"41-1011","First-Line Supervisors of Retail Sales Workers","detail","9590","0.049","6.589","0.81","16.92","18.72","38940","0.015"
"41-1012","First-Line Supervisors of Non-Retail Sales Workers","detail","1130","0.095","0.778","0.45","30.29","38.62","80330","0.064"
"41-2011","Cashiers","detail","28910","0.052","19.854","0.79","10.58","11.08","23040","0.01"
"41-2021","Counter and Rental Clerks","detail","3110","0.088","2.133","0.72","13.09","14.01","29150","0.026"
"41-2022","Parts Salespersons","detail","2280","0.097","1.565","0.89","16.39","19.01","39550","0.028"
"41-2031","Retail Salespersons","detail","47840","0.04","32.859","1.07","11.29","13.25","27570","0.016"
"41-3011","Advertising Sales Agents","detail","810","0.121","0.558","0.61","27.02","30.92","64310","0.042"
"41-3021","Insurance Sales Agents","detail","4050","0.083","2.782","1.02","18.25","26.14","54370","0.101"
"41-3031","Securities, Commodities, and Financial Services Sales Agents","detail","3300","0.101","2.266","0.79","25.84","34.36","71460","0.052"
"41-3041","Travel Agents","detail","710","0.074","0.484","1.01","17.77","20.96","43590","0.088"
"41-3099","Sales Representatives, Services, All Other","detail","11360","0.054","7.803","1.09","23.87","28.16","58580","0.032"
"41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","detail","3470","0.098","2.386","1.1","39.06","44.20","91930","0.048"
"41-4012","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","detail","16430","0.033","11.282","1.21","25.74","29.21","60750","0.017"
"41-9011","Demonstrators and Product Promoters","detail","1010","0.282","0.693","1.23","13.38","14.27","29690","0.06"
"41-9012","Models","detail","50","0.136","0.032","1.39","-8","-8","-8","-8"
"41-9021","Real Estate Brokers","detail","420","0.329","0.287","1.03","25.33","23.77","49440","0.152"
"41-9022","Real Estate Sales Agents","detail","1820","0.143","1.25","1.15","24.86","30.52","63480","0.105"
"41-9031","Sales Engineers","detail","480","0.116","0.33","0.73","51.12","60.03","124860","0.06"
"41-9041","Telemarketers","detail","2500","0.187","1.717","1.51","13.92","15.88","33040","0.059"
"41-9099","Sales and Related Workers, All Other","detail","610","0.062","0.419","0.63","13.40","15.39","32010","0.035"
"43-0000","Office and Administrative Support Occupations","major","239340","0.014","164.39","1.09","15.67","17.13","35640","0.006"
"43-1011","First-Line Supervisors of Office and Administrative Support Workers","detail","14660","0.025","10.067","0.99","23.31","25.22","52470","0.011"
"43-2011","Switchboard Operators, Including Answering Service","detail","560","0.162","0.383","0.77","11.94","12.71","26430","0.027"
"43-2099","Communications Equipment Operators, All Other","detail","60","0.236","0.044","3.05","18.40","19.13","39790","0.026"
"43-3011","Bill and Account Collectors","detail","4690","0.127","3.222","1.86","15.80","16.10","33500","0.016"
"43-3021","Billing and Posting Clerks","detail","5430","0.062","3.732","1.15","17.11","18.12","37690","0.016"
"43-3031","Bookkeeping, Accounting, and Auditing Clerks","detail","14070","0.031","9.667","0.91","17.99","18.83","39170","0.009"
"43-3051","Payroll and Timekeeping Clerks","detail","1440","0.068","0.992","1","21.02","22.11","45980","0.023"
"43-3061","Procurement Clerks","detail","660","0.053","0.451","0.96","19.81","20.11","41830","0.023"
"43-3071","Tellers","detail","5230","0.05","3.594","1.11","13.08","13.37","27800","0.014"
"43-4011","Brokerage Clerks","detail","420","0.256","0.29","0.76","23.96","24.81","51600","0.098"
"43-4031","Court, Municipal, and License Clerks","detail","1180","0.041","0.814","0.83","16.78","18.72","38940","0.016"
"43-4041","Credit Authorizers, Checkers, and Clerks","detail","220","0.26","0.154","0.74","16.42","18.03","37490","0.028"
"43-4051","Customer Service Representatives","detail","50830","0.029","34.91","1.76","14.82","16.25","33790","0.01"
"43-4061","Eligibility Interviewers, Government Programs","detail","2050","0.014","1.408","1.48","20.04","21.82","45380","0.018"
"43-4071","File Clerks","detail","1570","0.045","1.081","1.42","14.68","14.95","31100","0.018"
"43-4081","Hotel, Motel, and Resort Desk Clerks","detail","4080","0.14","2.801","1.55","11.23","11.66","24250","0.017"
"43-4111","Interviewers, Except Eligibility and Loan","detail","2030","0.146","1.395","1.05","13.81","14.02","29150","0.032"
"43-4121","Library Assistants, Clerical","detail","960","0.048","0.66","1.07","11.31","12.28","25540","0.024"
"43-4131","Loan Interviewers and Clerks","detail","2510","0.074","1.723","1.12","18.30","19.09","39710","0.023"
"43-4141","New Accounts Clerks","detail","260","0.271","0.178","0.62","17.65","17.66","36730","0.032"
"43-4151","Order Clerks","detail","950","0.11","0.654","0.59","14.29","15.15","31520","0.023"
"43-4161","Human Resources Assistants, Except Payroll and Timekeeping","detail","590","0.063","0.408","0.47","19.07","19.37","40290","0.012"
"43-4171","Receptionists and Information Clerks","detail","10760","0.04","7.393","1.03","13.22","13.41","27890","0.01"
"43-4181","Reservation and Transportation Ticket Agents and Travel Clerks","detail","4980","0.255","3.42","3.75","16.56","18.97","39460","0.08"
"43-4199","Information and Record Clerks, All Other","detail","1530","0.024","1.048","0.98","17.89","18.41","38300","0.029"
"43-5011","Cargo and Freight Agents","detail","-8","-8","-8","-8","18.45","20.42","42470","0.052"
"43-5021","Couriers and Messengers","detail","450","0.168","0.307","0.59","13.51","13.83","28760","0.026"
"43-5031","Police, Fire, and Ambulance Dispatchers","detail","720","0.047","0.498","0.76","17.93","18.48","38430","0.011"
"43-5032","Dispatchers, Except Police, Fire, and Ambulance","detail","1760","0.09","1.207","0.87","20.20","21.31","44320","0.021"
"43-5041","Meter Readers, Utilities","detail","330","0.117","0.225","0.97","23.56","23.58","49050","0.027"
"43-5051","Postal Service Clerks","detail","640","0.00","0.438","0.8","22.42","23.77","49440","0.012"
"43-5052","Postal Service Mail Carriers","detail","2390","0.00","1.639","0.69","24.88","24.59","51140","0.014"
"43-5053","Postal Service Mail Sorters, Processors, and Processing Machine Operators","detail","680","0.00","0.464","0.65","21.96","23.63","49140","0.028"
"43-5061","Production, Planning, and Expediting Clerks","detail","3920","0.038","2.69","1.11","21.53","22.83","47490","0.01"
"43-5071","Shipping, Receiving, and Traffic Clerks","detail","8710","0.057","5.985","1.32","14.71","15.51","32250","0.013"
"43-5081","Stock Clerks and Order Fillers","detail","17790","0.095","12.218","0.86","13.09","13.69","28480","0.012"
"43-5111","Weighers, Measurers, Checkers, and Samplers, Recordkeeping","detail","1000","0.094","0.689","1.51","14.19","15.04","31280","0.025"
"43-6011","Executive Secretaries and Executive Administrative Assistants","detail","3890","0.033","2.671","0.68","24.27","25.59","53220","0.017"
"43-6012","Legal Secretaries","detail","1200","0.134","0.827","0.68","18.45","20.31","42240","0.038"
"43-6013","Medical Secretaries","detail","3540","0.067","2.432","0.6","15.43","15.91","33090","0.017"
"43-6014","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","detail","21190","0.031","14.555","0.97","16.25","16.54","34400","0.009"
"43-9011","Computer Operators","detail","220","0.094","0.152","0.64","21.87","21.16","44020","0.029"
"43-9021","Data Entry Keyers","detail","3580","0.048","2.456","2.03","15.79","16.14","33560","0.052"
"43-9022","Word Processors and Typists","detail","390","0.206","0.267","0.73","15.82","17.35","36090","0.065"
"43-9031","Desktop Publishers","detail","80","0.241","0.055","0.75","21.03","20.69","43040","0.063"
"43-9041","Insurance Claims and Policy Processing Clerks","detail","810","0.198","0.559","0.29","17.94","19.68","40940","0.06"
"43-9051","Mail Clerks and Mail Machine Operators, Except Postal Service","detail","1200","0.362","0.824","1.38","14.62","14.67","30500","0.024"
"43-9061","Office Clerks, General","detail","30730","0.022","21.106","1.03","14.96","15.84","32950","0.01"
"43-9071","Office Machine Operators, Except Computer","detail","400","0.177","0.272","0.81","13.18","14.54","30250","0.029"
"43-9081","Proofreaders and Copy Markers","detail","90","0.455","0.059","0.86","19.08","18.96","39440","0.123"
"43-9111","Statistical Assistants","detail","110","0.067","0.076","1","25.94","26.17","54440","0.036"
"43-9199","Office and Administrative Support Workers, All Other","detail","920","0.102","0.632","0.47","16.35","17.43","36250","0.026"
"45-0000","Farming, Fishing, and Forestry Occupations","major","1250","0.102","0.857","0.26","13.20","14.84","30870","0.039"
"45-1011","First-Line Supervisors of Farming, Fishing, and Forestry Workers","detail","70","0.056","0.051","0.34","21.74","22.17","46110","0.027"
"45-2091","Agricultural Equipment Operators","detail","40","0.227","0.03","0.17","11.91","14.29","29720","0.069"
"45-2092","Farmworkers and Laborers, Crop, Nursery, and Greenhouse","detail","390","0.217","0.271","0.14","12.32","12.92","26870","0.03"
"45-2093","Farmworkers, Farm, Ranch, and Aquacultural Animals","detail","480","0.17","0.331","1.27","11.58","12.86","26750","0.059"
"47-0000","Construction and Extraction Occupations","major","87750","0.019","60.271","1.46","20.77","21.83","45400","0.009"
"47-1011","First-Line Supervisors of Construction Trades and Extraction Workers","detail","8360","0.044","5.741","1.39","28.48","30.24","62890","0.013"
"47-2011","Boilermakers","detail","110","0.347","0.073","0.76","28.51","28.99","60290","0.029"
"47-2021","Brickmasons and Blockmasons","detail","2270","0.127","1.562","3.54","18.25","19.14","39820","0.033"
"47-2022","Stonemasons","detail","440","0.375","0.305","3.58","21.44","21.82","45380","0.042"
"47-2031","Carpenters","detail","9080","0.069","6.24","1.26","19.90","20.27","42160","0.014"
"47-2041","Carpet Installers","detail","280","0.398","0.195","1.08","16.03","16.09","33480","0.096"
"47-2042","Floor Layers, Except Carpet, Wood, and Hard Tiles","detail","110","0.49","0.077","0.79","17.36","17.70","36820","0.074"
"47-2044","Tile and Marble Setters","detail","1410","0.162","0.967","3.58","21.04","20.94","43550","0.028"
"47-2051","Cement Masons and Concrete Finishers","detail","3580","0.143","2.46","1.91","19.63","19.74","41070","0.023"
"47-2061","Construction Laborers","detail","14300","0.048","9.824","1.42","15.77","16.19","33680","0.016"
"47-2071","Paving, Surfacing, and Tamping Equipment Operators","detail","580","0.202","0.401","1.24","21.32","21.73","45210","0.047"
"47-2073","Operating Engineers and Other Construction Equipment Operators","detail","4110","0.072","2.823","1.07","22.34","23.39","48640","0.016"
"47-2081","Drywall and Ceiling Tile Installers","detail","3650","0.126","2.505","3.56","19.26","19.00","39530","0.031"
"47-2082","Tapers","detail","430","0.244","0.298","2.35","20.56","20.55","42750","0.065"
"47-2111","Electricians","detail","10610","0.118","7.286","1.61","26.65","26.02","54120","0.019"
"47-2121","Glaziers","detail","660","0.239","0.452","1.28","21.37","21.33","44360","0.023"
"47-2131","Insulation Workers, Floor, Ceiling, and Wall","detail","280","0.241","0.194","0.88","16.49","16.66","34660","0.053"
"47-2132","Insulation Workers, Mechanical","detail","190","0.313","0.133","0.78","18.06","21.63","44990","0.101"
"47-2141","Painters, Construction and Maintenance","detail","3220","0.086","2.214","1.4","16.41","16.89","35120","0.024"
"47-2151","Pipelayers","detail","590","0.138","0.404","1.54","17.97","18.84","39190","0.02"
"47-2152","Plumbers, Pipefitters, and Steamfitters","detail","6320","0.205","4.342","1.43","25.48","24.99","51970","0.022"
"47-2161","Plasterers and Stucco Masons","detail","520","0.235","0.355","2.06","17.31","17.57","36550","0.029"
"47-2171","Reinforcing Iron and Rebar Workers","detail","360","0.425","0.245","1.93","23.43","25.58","53200","0.052"
"47-2181","Roofers","detail","2080","0.143","1.431","1.61","18.19","18.06","37560","0.03"
"47-2211","Sheet Metal Workers","detail","1930","0.145","1.328","1.46","26.30","25.90","53880","0.039"
"47-2221","Structural Iron and Steel Workers","detail","1620","0.158","1.112","2.08","21.20","22.80","47430","0.045"
"47-2231","Solar Photovoltaic Installers","detail","160","0.282","0.107","1.73","18.42","21.36","44440","0.069"
"47-3011","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","detail","280","0.327","0.195","1.16","14.45","15.22","31660","0.054"
"47-3012","Helpers--Carpenters","detail","340","0.252","0.235","1.03","15.28","17.04","35440","0.08"
"47-3013","Helpers--Electricians","detail","1320","0.472","0.906","1.73","14.88","16.26","33820","0.121"
"47-3014","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","detail","350","0.421","0.241","3.29","14.52","14.49","30140","0.046"
"47-3015","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","detail","780","0.235","0.539","1.43","15.22","15.93","33130","0.03"
"47-3016","Helpers--Roofers","detail","-8","-8","-8","-8","15.79","15.41","32050","0.069"
"47-3019","Helpers, Construction Trades, All Other","detail","60","0.323","0.044","0.24","13.80","14.77","30720","0.073"
"47-4011","Construction and Building Inspectors","detail","1160","0.162","0.795","1.11","27.57","27.54","57270","0.025"
"47-4021","Elevator Installers and Repairers","detail","310","0.283","0.214","1.16","33.08","33.52","69720","0.03"
