"masterincidentnumber","calendaryear","month","dayofmonth","call_type","problem","battalion","jurisdiction","responsearea","prioritydescription","response_status","districts","location_1"
"14000220","2014","Jan","1","Fire","TRASH - Trash Fire","B1","AFD","00-0201","3F","Code 3","-","(30284051, 97745061)"
"14000173","2014","Jan","1","Fire","BOXL- Structure Fire","B4","AFD","00-3607","1F","Code 3","-","(30191998, 97775475)"
"14000241","2014","Jan","1","Fire","TRASH - Trash Fire","B3","AFD","00-1804","3F","Code 3","-","(30331016, 97700442)"
"14009559","2014","Jan","28","Fire","AUTO - Auto Fire","B4","AFD","00-1707","2F","Code 3","-","(30228058, 97761191)"
"14009575","2014","Jan","28","Fire","TRASH - Trash Fire","B3","AFD","00-0805","3F","Code 3","-","(30362446, 97732093)"
"14009609","2014","Jan","28","Fire","ELEC - Electrical Fire","B3","AFD","00-2803","3F","Code 3","-","(30408606, 97698384)"
"14009630","2014","Jan","28","Fire","BBQ - Unsafe Cooking","B4","AFD","00-1703","4F","Code 1","-","(30222779, 97792825)"
"14009653","2014","Jan","28","Fire","ELEC - Electrical Fire","B5","AFD","00-1501","3F","Code 3","-","(30257681, 97686524)"
"14009654","2014","Jan","28","Fire","ELEC - Electrical Fire","B5","AFD","00-2401","3F","Code 3","-","(30184803, 97745711)"
"14009691","2014","Jan","29","Fire","TRASH - Trash Fire","B1","AFD","00-0201","3F","Code 3","-","(30283608, 97738988)"
"14000285","2014","Jan","1","Fire","GRASS - Small Grass Fire","B5","AFD","00-2404","3F","Code 3","-","(30155836, 97743605)"
"14009787","2014","Jan","29","Fire","ELEC - Electrical Fire","B4","AFD","00-1102","3F","Code 3","-","(30246253, 97778517)"
"14009931","2014","Jan","29","Fire","TRASH - Trash Fire","B3","AFD","00-0803","3F","Code 3","-","(30354672, 97712808)"
"14009941","2014","Jan","29","Fire","TRASH - Trash Fire","B1","AFD","00-0301","3F","Code 3","-","(30290874, 97747541)"
"14009951","2014","Jan","29","Fire","TRASH - Trash Fire","B4","AFD","00-2005","3F","Code 3","-","(30202928, 97777233)"
"14009995","2014","Jan","29","Fire","TRASH - Trash Fire","B3","AFD","00-0804","3F","Code 1","-","(30362148, 97717441)"
"14010072","2014","Jan","30","Fire","GRASS - Small Grass Fire","B2","AFD","00-3404","3F","Code 3","-","(30481956, 97789573)"
"14000397","2014","Jan","2","Fire","ELEC - Electrical Fire","B2","AFD","00-3802","3F","Code 1","-","(30447474, 97812784)"
"14010198","2014","Jan","30","Fire","AUTO - Auto Fire","B3","AFD","00-2805","2F","Code 3","-","(30399995, 97725137)"
"14010215","2014","Jan","30","Fire","AUTO - Auto Fire","B4","AFD","00-4301","2F","Code 3","-","(30200995, 97866869)"
"14010248","2014","Jan","30","Fire","ELEC - Electrical Fire","B5","AFD","00-1504","3F","Code 3","-","(30265794, 97702286)"
"14010256","2014","Jan","30","Fire","AUTO - Auto Fire","B1","AFD","00-0901","2F","Code 3","-","(30303261, 97739127)"
"14010267","2014","Jan","30","Fire","TRASH - Trash Fire","B5","AFD","00-0501","3F","Code 3","-","(30267651, 97682598)"
"14000491","2014","Jan","2","Fire","TRASH - Trash Fire","B5","AFD","00-0702","3F","Code 3","-","(30257884, 97718443)"
"14000535","2014","Jan","2","Fire","DUMP - Dumpster Fire","B4","AFD","00-3703","3F","Code 3","-","(30245479, 97889543)"
"14000546","2014","Jan","2","Fire","TRASH - Trash Fire","B3","AFD","00-3005","3F","Code 1","-","(30368729, 97693815)"
"14000592","2014","Jan","2","Fire","TRASH - Trash Fire","B4","AFD","00-1709","3F","Code 3","-","(30206024, 97769857)"
"14000594","2014","Jan","2","Fire","GRASS - Small Grass Fire","B3","AFD","00-4004","3F","Code 3","-","(30388023, 97650604)"
"14000716","2014","Jan","3","Fire","AUTO - Auto Fire","B4","AFD","00-3603","2F","Code 3","-","(30103375, 97811389)"
"14010358","2014","Jan","31","Fire","TRASH - Trash Fire","B4","AFD","00-1101","3F","Code 1","-","(30263364, 97764867)"
"14010382","2014","Jan","31","Fire","ELEC - Electrical Fire","B1","AFD","00-0202","3F","Code 3","-","(30277896, 97742994)"
"14000803","2014","Jan","3","Fire","ELEC - Electrical Fire","B3","AFD","00-2803","3F","Code 3","-","(30409449, 97699192)"
"14010475","2014","Jan","31","Fire","AUTO - Auto Fire","B4","AFD","00-2706","2F","Code 3","-","(30229195, 97888305)"
"14000978","2014","Jan","3","Fire","DUMP - Dumpster Fire","B4","AFD","00-2903","3F","Code 3","-","(30173803, 97826429)"
"14000985","2014","Jan","3","Fire","GRASS - Small Grass Fire","B2","AFD","00-4404","3F","Code 3","-","(30447477, 97744412)"
"14000998","2014","Jan","3","Fire","GRASS - Small Grass Fire","B1","AFD","00-0301","3F","Code 3","-","(30291732, 97749869)"
"14001003","2014","Jan","3","Fire","GRASS - Small Grass Fire","B3","AFD","00-3001","3F","Code 3","-","(30366128, 97695285)"
"14001013","2014","Jan","3","Fire","BOXL- Structure Fire","B3","AFD","00-1803","1F","Code 3","-","(30317053, 97704065)"
"14001050","2014","Jan","3","Fire","ELEC - Electrical Fire","B5","AFD","00-0505","3F","Code 3","-","(30290446, 97658743)"
"14010592","2014","Jan","31","Fire","TRASH - Trash Fire","B3","AFD","00-1404","3F","Code 1","-","(30294344, 97713149)"
"14001059","2014","Jan","3","Fire","ELEC - Electrical Fire","B3","AFD","00-0805","3F","Code 3","-","(30365345, 97730124)"
"14010645","2014","Jan","31","Fire","DUMP - Dumpster Fire","B5","AFD","00-2204","3F","Code 3","-","(30228472, 97701215)"
"14010648","2014","Jan","31","Fire","DUMP - Dumpster Fire","B5","AFD","00-2205","3F","Code 3","-","(30228772, 97701038)"
"14010676","2014","Jan","31","Fire","TRASH - Trash Fire","B4","AFD","00-1103","3F","Code 3","-","(30245369, 97785011)"
"14010707","2014","Feb","1","Fire","DUMP - Dumpster Fire","B5","AFD","00-1504","3F","Code 3","-","(30261293, 97700402)"
"14001116","2014","Jan","4","Fire","DUMP - Dumpster Fire","B2","AFD","00-1605","3F","Code 3","-","(30340269, 97738929)"
"14001152","2014","Jan","4","Fire","ELEC - Electrical Fire","B3","AFD","00-2805","3F","Code 3","-","(30394951, 97727703)"
"14010915","2014","Feb","1","Fire","TRASH - Trash Fire","B5","AFD","00-0702","3F","Code 3","-","(30257272, 97718274)"
