"the_geom","objectid","ancillaryrole","enabled","drainage_id","jtx_jobid","rotation","comments","date_built","year_built","year_source","year_abandoned","created_by","created_date","modified_by","modified_date","checked_by","watershed","map_index","mapsco","place_id","ownership","maintenance","dimen_source","elev_source","location_source","gps_x","gps_y","gps_source","gps_quality","top_elevation","surface_elevation","at_grade","endwall","invert","sump","depth_to_creek","dissipator","globalid","edit_status","support_material","outfall","header_type","fme_date","status","observation","modeled","collected_by","last_date_visited","measured_by","photolink","conduit_material","width","height","struc_shape","dryweatherflow","gps_pdop","gps_satqual","gps_date","gps_time","unit","dem_calculated_sump","dem_calculated_invert","dry_weather_screen_outfall","maximo_asset_number","maximo_site_id"
"POINT (-97.762467317553 30.436630666449)","5774176","0","1","1092797","1341650","195","possibly never constructed","1988-07-15T00:00:00.000Z","1988","APPLANEL",,"MAMARAL","2016-04-29T11:49:40.000Z","MAMARAL","2016-05-19T11:43:10.000Z","SJOHNSON","RAT","H36","464C","347474","CITY","CITY","NO_SOURCE","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,"920.66998291","N","0",,,,"NODATA","bfeb1ce1-4f68-4662-b6ca-7ddfcf16175a","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:44.000Z","REMOVED","0",,,,,,"RCP","60","24","BOX",,,,,,,,,,,
"POINT (-97.841588509014 30.356009042816)","5753906","0","1","1734491","1903906","90",,,,"NO_SOURCE",,"MMARKOWSKI","2018-03-23T11:21:21.000Z","MMARKOWSKI","2018-04-11T09:22:28.000Z","ACOLEMAN","TRK","D30","522H","514221","OTHER","OTHER","NO_SOURCE","NO_SOURCE","GPS_AERIAL",,,"NOGPS","NOGPS",,"772.38000488","N","0",,,,"NODATA","2a6cc1e1-e68f-4417-b0eb-a8b2a96f0161","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:45.000Z","ACTIVE","0",,,,,,"CGMP","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.850831946799 30.359895042767)","5754261","0","1","1734240","1909682","320",,,,"NO_SOURCE",,"MMARKOWSKI","2018-03-22T13:10:25.000Z","MMARKOWSKI","2018-03-23T09:44:08.000Z",,"TRK","D30","522G","434170","OTHER","OTHER","NO_SOURCE","NO_SOURCE","GPS_AERIAL",,,"NOGPS","NOGPS",,"920.03997803","N","0",,,,"NODATA","3e316e7f-cba8-4601-8535-64d262685a86","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:45.000Z","ACTIVE","0",,,,,,"CONCRETE","24","24","CIRCULAR",,,,,,,,,,,
"POINT (-97.786031004401 30.37138165367)","5805233","0","1","925035","1092690","202",,"1976-03-01T00:00:00.000Z","1976","APPLANEL",,"JSEVIER","2015-04-01T14:43:06.000Z","SJOHNSON","2015-05-18T15:54:15.000Z","SJOHNSON","BUL","G31","494W","424558","OTHER","TXDOT","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","c14b1df0-0371-4e20-88a5-a21bbd10474e","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:47.000Z","ACTIVE","0",,,,,,"NODATA","24","24","CIRCULAR",,,,,,,,,,,
"POINT (-97.752885291481 30.352934667949)","5808821","0","1","86089",,,,,,"NO_SOURCE",,"RODAVILA","2008-10-14T00:00:00.000Z","RODAVILA","2008-10-14T00:00:00.000Z","DRODRIGUEZ","SHL","H29","524M","116599","OTHER","OTHER","PHYS_INSP","DEM","GPS","3110420.7976","10101533.276","DIG07","SUB-M",,"783.88000488","N","2","782.88000488","782.88000488","0","NOTPRESENT","8b3b2280-ed5d-4dfd-9c29-5df03c523dad","ENTERED","CONCRETE","T","DRAINPIPE_DN","2022-02-08T14:52:46.000Z","ACTIVE","2","N",,,,"07312007_3_033.jpg","CONCRETE",,"12","CIRCULAR",,,,,,,,,,"1108730","WPD"
"POINT (-97.804774768248 30.189471693898)","5785703","0","1","852727","977497","325",,"1989-09-30T00:00:00.000Z","1989","APPLANEL",,"DWARDEN","2014-11-14T10:18:13.000Z","DWARDEN","2014-11-14T10:29:31.000Z",,"SBG","F15","673C","697460","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","b3a0c58b-f0ec-4aba-8ac2-0217d972a7e8","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:46.000Z","ACTIVE","0",,,,,,"NODATA","8","8","CIRCULAR",,,,,,,,,,,
"POINT (-97.786123223369 30.23193360678)","5791625","0","1","464365","519257","114",,,,"NO_SOURCE","1986","CGORE","2013-01-18T11:32:38.000Z","CGORE","2013-01-18T11:34:14.000Z",,"WBO","G19","614W","869576","OTHER","OTHER","SUPP_INFO","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","80079ec9-3426-4f2d-9a80-8f391f86b856","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:46.000Z","REMOVED","0","N",,,,,"NODATA","6","6","CIRCULAR",,,,,,,,,,,
"POINT (-97.851567520177 30.400447732063)","5796963","0","1","1149600","1487250","149",,,,"NO_SOURCE",,"SBURZYNSKI","2016-08-16T12:49:06.000Z","SBURZYNSKI","2016-08-16T12:51:28.000Z","CGORE","LKT","D33","492C","3124524","OTHER","TXDOT","NO_SOURCE","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","112dfdd0-c0fa-4bde-b95b-92a91e7127bb","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:46.000Z","ACTIVE","0","N",,,,,"NODATA",,,"NODATA",,,,,,,,,,,
"POINT (-97.810588671139 30.201407768197)","5761907","0","1","488969","778511","100",,,,"NO_SOURCE","1986","CGORE","2013-04-25T10:01:09.000Z","TBARRINGTON","2013-12-20T12:20:47.000Z","DDAVIS","WMS","F16","643U","738608","CITY","CITY","NO_SOURCE","SUPP_INFO","SUPP_INFO",,,"NOGPS","NOGPS",,"763.97998047","N","0","763.29998779",,,"NODATA","deeca80a-eea8-42be-ab69-eaaf8409bca6","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:43.000Z","REMOVED","0","N",,,,,"RCP","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.69216739868 30.307206033734)","5763923","0","1","86736","150930","115",,"1977-09-21T00:00:00.000Z","1977","APPLANEL",,"SBURZYNSKI","2010-12-14T00:00:00.000Z","SBURZYNSKI","2010-12-14T00:00:00.000Z","DDAVIS","FOR","L25","556T","688460","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3129955.8129","10085355.589","DIG07","SUB-M",,"591.34002686","N","2","590.08001709",,"0","NOTPRESENT","1b315fc6-14a0-4332-be16-f845f9d3da37","ENTERED","CONCRETE","T","DRAINPIPE_DN","2022-02-08T14:52:41.000Z","ACTIVE","2","N","DERRICK STEENKEN","2007-08-03T00:00:00.000Z",,"08032007_4_055.jpg","RCP","24","24","CIRCULAR",,,,,,,,,,"1109139","WPD"
"POINT (-97.816936107892 30.180491288257)","5762690","0","1","1123939","2112866","121","splitter box","2000-04-18T00:00:00.000Z","2000","ASBLTEL",,"MAMARAL","2016-06-29T12:36:55.000Z","JAMARTINEZ","2019-06-27T15:45:54.000Z","DDAVIS","SLA","E15","673F","5349882","CITY","CITY","NO_SOURCE","ASBLTEL","ASBLTEL",,,"NOGPS","NOGPS",,"718.41998291","N","0","714.5",,,"NODATA","571f118f-ebb0-4d4a-bd93-c1b6fac9e62c","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:44.000Z","ACTIVE","0",,,,,,"RCP","60","60","CIRCULAR",,,,,,,,,,,
"POINT (-97.913980373582 30.248066616966)","5779443","0","1","1710996","1824546","25",,,,"NO_SOURCE",,"MMARKOWSKI","2017-11-07T13:36:47.000Z","MMARKOWSKI","2017-11-08T15:04:43.000Z",,"WMS","A20","611J","1009634","OTHER","OTHER","NO_SOURCE","NO_SOURCE","GPS_AERIAL",,,"NOGPS","NOGPS",,"1017.04998779","N","0",,,,"NODATA","23cdb3b2-0992-4e54-b0c8-4ff00cfd065b","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:45.000Z","ACTIVE","0",,,,,,"CGMP","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.605955233458 30.377737116188)","5777127","0","1","1571233","1670292","358","Splitter box","2013-10-23T00:00:00.000Z","2013","APPLANEL",,"ABODIN","2017-03-15T17:14:55.000Z","ABODIN","2017-03-30T16:44:18.000Z","ACOLEMAN","GIL","Q31","498T","5404739","CITY","CITY","NO_SOURCE","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"597.96002197","N","0","597.2199707",,,"NODATA","f0ead31a-c4b5-4622-a875-2b3de37ca07f","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:45.000Z","ACTIVE","0",,,,,,"RCP","36","36","CIRCULAR",,,,,,,,,,,
"POINT (-97.684807425908 30.285418175308)","5760893","0","1","53227","797663","78","Existing Pipe Relayed","1957-07-09T00:00:00.000Z","1957","ASBLTEL",,"CPHELAN","2007-11-15T00:00:00.000Z","PCAMPMAN","2014-02-25T08:33:44.000Z","SBURZYNSKI","TAN","M24","586G","220848","CITY","CITY","NO_SOURCE","NO_SOURCE","ASBLTEL",,,"NOGPS","NOGPS",,"545.08001709","N","0",,,,"NODATA","1a1fd235-0ed5-4a71-95fe-fa82d6e14393","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:41.000Z","ACTIVE","0","N",,,,,"CONCRETE","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.845733686105 30.178608478582)","5755792","0","1","1720660","1870339","70",,,,"NO_SOURCE",,"MMARKOWSKI","2018-01-17T14:28:40.000Z","MMARKOWSKI","2018-01-18T08:29:29.000Z","DWARDEN","SLA","D14","672L","876380","CITY","CITY","NO_SOURCE","NO_SOURCE","GPS_AERIAL",,,"NOGPS","NOGPS",,"741.17999268","N","0",,,,"NODATA","4ca1e556-b9c3-4196-a964-aef35fe50336","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:45.000Z","ACTIVE","0",,,,,,"CGMP","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.706021931991 30.257744865798)","5772097","0","1","263939","110617","25","No field evidence","1963-05-31T00:00:00.000Z","1963","APPLANEL",,"JHOLDER","2010-09-15T00:00:00.000Z","PCAMPMAN","2014-04-01T09:50:37.000Z","HCHOU","COL","L21","616A","3365621","CITY","CITY","NO_SOURCE","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,"455.95999146","N","0",,,,"NODATA","d08764c9-2a77-4e8c-b0e6-bfd4696c98e5","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:41.000Z","REMOVED","0","N",,,,,"CONCRETE","12","12","CIRCULAR",,,,,,,,,,,
"POINT (-97.898046098027 30.249271384431)","5809264","0","1","907539","1048850","315",,,,"NO_SOURCE","2001","CGORE","2015-03-04T15:48:58.000Z","CGORE","2015-03-04T15:52:50.000Z","CGORE","WMS","A20","611K","93693","OTHER","OTHER","NO_SOURCE","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","72c3dd2f-f5ab-4995-91b5-26ddac9a0eaf","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:47.000Z","REMOVED","0",,,,,,"NODATA",,,"NODATA",,,,,,,,,,,
"POINT (-97.781477933585 30.141476477759)","5771017","0","1","524994","902933","127","Pond outlet structure","1994-08-29T00:00:00.000Z","1994","APPLANEL",,"CARMIJO","2013-07-31T13:09:23.000Z","GDELANO","2014-07-29T12:22:03.000Z","GDELANO","ONI","G11","704K","3503506","CITY","CITY","NO_SOURCE","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"577.91998291","N","0","576.5",,,"NODATA","dcacb4fc-f2bb-4317-a8f3-bb63f2ad83c8","ENTERED","CONCRETE","F","DRAINPIPE_UP","2022-02-08T14:52:43.000Z","ACTIVE","0","N",,,,,"CGMP","8","8","CIRCULAR",,,,,,,,,,,
"POINT (-97.844397862102 30.274205858803)","5770934","0","1","249545","757026","141",,"1974-08-01T00:00:00.000Z","1974","PLANNOEL",,"NPULLIAS","2010-07-12T00:00:00.000Z","GDELANO","2018-03-23T14:55:00.000Z","SJOHNSON","BAR","D23","582Q","245979","CITY","CITY","NO_SOURCE","NO_SOURCE","PLANNOEL",,,"NOGPS","NOGPS",,"594.51000977","N","0",,,,"NODATA","92a83cfb-7497-4935-a3a4-21d0b588b810","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:41.000Z","ACTIVE","0","N",,,,,"CGMP","48","48","CIRCULAR",,,,,,,,,,,
"POINT (-97.825432852338 30.158167831418)","5763819","0","1","946787","1119570","312","Splitter Box","2000-03-31T00:00:00.000Z","2000","APPLANEL",,"REVANS","2015-05-04T15:50:02.000Z","REVANS","2015-05-05T07:32:28.000Z","SJOHNSON","SLA","E13","673W","3029371","CITY","CITY","NO_SOURCE","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"667.65997314","N","0","662",,,"NODATA","81fd0fa4-680f-4447-b7f7-cab0672714dd","ENTERED","NODATA","F","DRAINPIPE_UP","2022-02-08T14:52:44.000Z","ACTIVE","0",,,,,,"RCP","36","36","CIRCULAR",,,,,,,,,,,
"POINT (-97.735843187844 30.265616379409)","5791821","0","1","227284","218469","283",,"1931-09-26T00:00:00.000Z","1931","APPLANEL","1983","SJOHNSON","2011-08-03T14:04:05.000Z","SJOHNSON","2011-08-03T17:36:18.000Z","SJOHNSON","WLR","J22","585X","166910","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","0e6a272a-49bf-44a8-9f5c-6f2707c812b4","ENTERED","NODATA","T","DRAINPIPE_DN","2022-02-08T14:52:46.000Z","REMOVED","0","N",,,,,"NODATA","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.787346722557 30.468894742317)","5808908","0","1","1522681","1626483","159","splitter box","2002-02-28T00:00:00.000Z","2002","APPLANEL",,"MAMARAL","2017-01-25T12:37:35.000Z","MAMARAL","2017-01-25T13:02:05.000Z","SJOHNSON","LKC","G39","434A","3040303","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","270c7530-8057-4db5-b738-5fa976f98c44","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:47.000Z","ACTIVE","0",,,,,,"NODATA","30","30","CIRCULAR",,,,,,,,,,,
"POINT (-97.781904442477 30.472694451016)","5806460","0","1","1522946","1628066","121","likely removed",,,"NO_SOURCE",,"MAMARAL","2017-01-26T14:35:19.000Z","MAMARAL","2017-01-26T14:50:09.000Z",,"LKC","G39","434A","5329282","OTHER","TXDOT","NO_SOURCE","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","7375be23-34b1-441f-877f-cc5333cdb28c","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:47.000Z","ACTIVE","0",,,,,,"NODATA",,,"NODATA",,,,,,,,,,,
"POINT (-97.792196828577 30.211237384727)","5800850","0","1","1949089","2167570","206",,"2013-04-17T00:00:00.000Z","2013","APPLANEL",,"KGALLUSCIO","2020-04-17T16:17:15.000Z","KGALLUSCIO","2020-04-20T12:15:45.000Z",,"WMS","F17","643M","152614","OTHER","OTHER","NO_SOURCE","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","a876d86d-3b03-4e01-9a9f-4b5ee90d4bd5","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:47.000Z","ACTIVE","0",,,,,,"NODATA",,,"NODATA",,,,,,,,,,,
"POINT (-97.782738960227 30.205683508608)","5774769","0","1","1082973","1273490","197",,,,"NO_SOURCE","1979","MMCDONALD","2016-03-30T08:22:02.000Z","MMCDONALD","2016-03-30T11:37:56.000Z","DWARDEN","WMS","G17","644N","899648","CITY","CITY","NO_SOURCE","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,"646.35998535","N","0",,,,"NODATA","8196fa74-078f-4c18-a12f-b7b1175c7e5a","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:44.000Z","REMOVED","0",,,,,,"CONCRETE","15","15","CIRCULAR",,,,,,,,,,,
"POINT (-97.779169060381 30.293143665636)","5803555","0","1","1883449","2003106","355",,"2018-08-01T00:00:00.000Z","2018","FLD_INVSTG",,"JAMARTINEZ","2018-09-06T09:29:01.000Z","DWARDEN","2018-09-25T13:40:47.000Z","DWARDEN","LBL","G24","584B","3038277","OTHER","OTHER","FLD_INVSTG","NO_SOURCE","FLD_INVSTG",,,"NOGPS","NOGPS",,,"N","0",,,,"NOTPRESENT","2e798d04-e72c-4059-a6f6-82ec0e094226","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:47.000Z","ACTIVE","0",,,,,,"NODATA","24","24","CIRCULAR",,,,,,,,,,,
"POINT (-97.714562901814 30.353971452947)","5786494","0","1","531936","698455","163",,,,"NO_SOURCE","1994","GDELANO","2013-08-26T11:30:54.000Z","GDELANO","2013-08-26T11:31:23.000Z","SBURZYNSKI","LWA","K29","525M","353002","OTHER","TXDOT","SUPP_INFO","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","1f560411-1846-43ad-950a-821b5eaa08b9","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:46.000Z","REMOVED","0","N",,,,,"NODATA","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.780782786672 30.454850477586)","5755238","0","1","1087424","1319571","159",,"1995-01-05T00:00:00.000Z","1995","ASBLTEL",,"ACOLEMAN","2016-04-15T15:35:08.000Z","ACOLEMAN","2016-04-27T15:59:50.000Z","DDAVIS","LKC","G38","434P","155119","OTHER","OTHER","NO_SOURCE","ASBLTEL","ASBLTEL",,,"NOGPS","NOGPS",,"937.63000488","N","0","930.2199707",,,"NODATA","02f8e7d0-af7e-4861-a8ed-743727dd371c","ENTERED","NODATA","F","DRAINPIPE_UP","2022-02-08T14:52:44.000Z","ACTIVE","0",,,,,,"RCP","36","36","CIRCULAR",,,,,,,,,,,
"POINT (-97.67727072608 30.223011200718)","5794207","0","1","621195","834778","297",,,,"NO_SOURCE",,"CGORE","2014-03-18T16:42:58.000Z","CGORE","2014-03-18T17:17:18.000Z","RODAVILA","CAR","M18","646D","619292","OTHER","TXDOT","SUPP_INFO","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","9594f55b-7871-4f94-ad37-84da365bd860","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:46.000Z","ACTIVE","0",,,,,,"NODATA","18",,"CIRCULAR",,,,,,,,,,,
"POINT (-97.631461427852 30.293013057368)","5767364","0","1","459509","675756","112",,"1979-04-24T00:00:00.000Z","1979","ASBLTEL","2003","SBURZYNSKI","2012-12-31T09:07:38.000Z","SBURZYNSKI","2013-07-22T11:35:13.000Z","SJOHNSON","WLN","P24","587D","118187","CITY","CITY","NO_SOURCE","ASBLTEL","ASBLTEL",,,"NOGPS","NOGPS",,"546.85998535","N","0","539.54998779",,,"NODATA","73d33225-37b0-4b89-862a-4ff447b63821","ENTERED","CONCRETE","F","CULVERT_UP","2022-02-08T14:52:42.000Z","REMOVED","0","N",,,,,"RCP","42","42","CIRCULAR",,,,,,,,,,,
"POINT (-97.673252981031 30.220629346098)","5783953","0","1","24380","1838936","184","no field evid. checked SV/aerials",,,"NO_SOURCE",,"CPHELAN","2007-08-14T00:00:00.000Z","ACORTEZ","2017-11-29T14:46:58.000Z","SJOHNSON","CAR","M18","646H","3049160","OTHER","TXDOT","SUPP_INFO","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","7e9654bb-5845-417b-aa11-3d7c5df907da","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:46.000Z","REMOVED","0","N",,,,,"NODATA","36","36","BOX",,,,,,,,,,,
"POINT (-97.746844890801 30.420801681509)","5795694","0","1","1196553","1512915","263",,,,"NO_SOURCE",,"ACABANA","2016-09-13T11:39:42.000Z","ACABANA","2016-09-13T11:49:28.000Z",,"WLN","J35","465J","308444","OTHER","TXDOT","SUPP_INFO","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","144297d1-bd7e-49b8-9876-5c0579074b7e","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:46.000Z","ACTIVE","0",,,,,,"NODATA","36","36","CIRCULAR",,,,,,,,,,,
"POINT (-97.749916791355 30.421634543763)","5780631","0","1","518104","2118930","8",,"1983-01-12T00:00:00.000Z","1983","ASBLTEL",,"APRUITT","2013-07-08T15:30:23.000Z","GDELANO","2019-09-04T13:23:14.000Z","GDELANO","WLN","J35","465J","3185355","CITY","CITY","NO_SOURCE","ASBLTEL","GPS_AERIAL",,,"NOGPS","NOGPS",,"870.79998779","N","0","868.09997559",,,"NODATA","6e1e8d4e-7457-48f9-877d-26a6429b02dd","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:43.000Z","ACTIVE","0","N",,,,,"RCP","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.747566195536 30.211792346317)","5782597","0","1","149699",,,,,,"NO_SOURCE",,"JESSE MARTINEZ",,"PCAMPMAN","2010-08-02T00:00:00.000Z","J.T. STEWART","WMS","J17","645J","715425","OTHER","OTHER","ESTIMATED","DEM","GPS","3113287.4713","10050255.6981","DIG08","SUB-M",,"645.52001953","N","4","644.52001953","644.52001953","0","NOTPRESENT","61511e1e-efb8-4009-93fb-203542192715","ENTERED","CONCRETE","F","DRAINPIPE_UP","2022-02-08T14:52:46.000Z","ACTIVE","2","N",,,,"08202008_4_017.jpg","CONCRETE",,"12","CIRCULAR","F",,,,,,,,,"1108559","WPD"
"POINT (-97.842245066856 30.260072132462)","5763963","0","1","514198","654617","82",,"2003-09-23T00:00:00.000Z","2003","APPLANEL",,"TBARRINGTON","2013-06-25T10:02:14.000Z","TBARRINGTON","2013-06-26T09:10:44.000Z","RODAVILA","BAR","D21","612D","3103569","CITY","CITY","NO_SOURCE","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"820.11999512","N","0","818.5",,,"NONNATURAL","3fa999be-53b6-43ab-9c68-b9e75fe61dff","ENTERED","CONCRETE","F","CULVERT_DN","2022-02-08T14:52:43.000Z","ACTIVE","0","N",,,,,"RCP","24","24","CIRCULAR",,,,,,,,,,,
"POINT (-97.814588745486 30.382249119859)","5801711","0","1","1127518","1452691","351",,"1996-07-26T00:00:00.000Z","1996","APPLANEL",,"CWEYENBERG","2016-07-07T17:10:37.000Z","CWEYENBERG","2016-07-28T13:34:42.000Z",,"WBL","E32","493P","159079","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","3a52fd89-366b-4442-a9f7-b179b857df17","ENTERED","NODATA","F","DRAINPIPE_UP","2022-02-08T14:52:47.000Z","ACTIVE","0",,,,,,"NODATA","48","48","CIRCULAR",,,,,,,,,,,
"POINT (-97.778304542332 30.177963982477)","5802601","0","1","973013","1126643","181",,"1955-05-23T00:00:00.000Z","1955","ASBLTEL",,"REVANS","2015-05-13T08:38:17.000Z","REVANS","2015-05-13T10:24:02.000Z","RODAVILA","SBG","G14","674K","225822","OTHER","TXDOT","ASBLTEL","NO_SOURCE","ASBLTEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","9d7036fa-4bb3-4672-9a62-aabcccd77cd5","ENTERED","CONCRETE","F","DRAINPIPE_UP","2022-02-08T14:52:47.000Z","ACTIVE","0",,,,,,"NODATA","24","24","CIRCULAR",,,,,,,,,,,
"POINT (-97.715100940836 30.355801494742)","5797231","0","1","530904","698455","163",,,,"NO_SOURCE","1994","GDELANO","2013-08-21T12:42:08.000Z","GDELANO","2013-08-21T12:42:36.000Z","SBURZYNSKI","LWA","K30","525H","1040624","OTHER","TXDOT","SUPP_INFO","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","07327f03-2649-4baa-a7a7-7752bb1688f7","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:46.000Z","REMOVED","0","N",,,,,"NODATA","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.73227654274 30.331129147085)","5784254","0","1","251303","1696531","205","No field evidence","1938-08-22T00:00:00.000Z","1938","PLANNOEL",,"JHOLDER","2010-07-19T00:00:00.000Z","GDELANO","2017-05-23T14:39:56.000Z","GDELANO","SHL","J27","555B","92518","OTHER","OTHER","PLANNOEL","NO_SOURCE","PLANNOEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","e2053ffb-b53e-46ac-81c3-8c6a956c7972","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:46.000Z","REMOVED","0","N",,,,,"NODATA","180","36","NODATA",,,,,,,,,,,
"POINT (-97.76836168002 30.503576353786)","5807077","0","1","301513",,,,,,"NO_SOURCE",,"DANIEL WHEAT","2010-03-02T00:00:00.000Z","PCAMPMAN","2010-12-20T00:00:00.000Z","J.T. STEWART","SBR","H42","404C","3070018","OTHER","OTHER","PHYS_INSP","DEM","GPS","3104276.332","10156198.3308","DIG10","SUB-M",,"835.47998047","N","3","832.97998047","831.97998047","12","NOTPRESENT","e43a29f1-0178-48ac-ada1-a0a14e00b0c3","ENTERED","ROCK","T","DRAINPIPE_DN","2022-02-08T14:52:46.000Z","ACTIVE","2","N",,,"MICHAEL CHISUM","03022010_6_021.jpg","HDPE","0","30","CIRCULAR","F","3.4991","2","2010-03-02T00:00:00.000Z","10:00","6",,,,"401192550","WPD"
"POINT (-97.7230896517 30.321386856258)","5771354","0","1","260267","171749","183",,"1957-07-16T00:00:00.000Z","1957","APPLANEL","1959","JHOLDER","2010-08-26T00:00:00.000Z","RMOELLMER","2011-03-14T16:33:00.000Z","DDAVIS","WLR","K27","555G","887354","CITY","CITY","NO_SOURCE","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,"646.26000977","N","0",,,,"NODATA","ad185193-46ed-4d97-a172-5eeb9ad7a917","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:41.000Z","REMOVED","0","N",,,,,"CONCRETE","24","24","CIRCULAR",,,,,,,,,,,
"POINT (-97.760450227614 30.280278769028)","5778608","0","1","841430","297269","24","RipRap, full of sediment, chipping of pipe edge.","1979-08-01T00:00:00.000Z","1979","ASBLTEL",,"CGORE","2012-01-31T14:04:08.000Z","DDAVIS","2014-11-04T08:37:26.000Z","DDAVIS","LBL","H23","584M","310484","CITY","CITY","PHYS_INSP","ASBLTEL","GPS","3108642.3685","10075056.8878","FIELD","SUB-M",,"524.05999756","N","1","522.5","521.5","0","NOTPRESENT","500f9ce7-f5fd-40f4-8ba4-d43e6914b367","ENTERED","NOTPRES","F","DRAINPIPE_DN","2022-02-08T14:52:42.000Z","ACTIVE","3","N","GDELANO","2014-10-14T11:00:41.000Z","DDAVIS","10142014_5_909.jpg","RCP","18","18","CIRCULAR","F","4.8","1","2014-10-14T11:00:41.000Z","11:00:41 AM","5",,,,"401353386","WPD"
