"licnum","tradename","add1","citycounty","st","postalcode","ctycnty","estabdesc","privdesc","statusdesc","wine_beereffectdate","wine_beerexpirdate","mixbevstatusdesc","mixbeveffdate","mixbevexpirdate","origdate"
"52123","LA CASITA","5204 BROOK RD","RICHMOND","VA","23227-2902","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000","1990-06-19T00:00:00.000"
"52385","PATRICK HENRYS PUB & GRILLE","2300 E BROAD ST","RICHMOND","VA","23223","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000","2008-07-23T00:00:00.000"
"52386","ROXY CAFE","1104 W MAIN ST","RICHMOND","VA","23220-4810","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-04-01T00:00:00.000","2019-03-31T00:00:00.000","Active","2018-04-01T00:00:00.000","2019-03-31T00:00:00.000","2008-04-28T00:00:00.000"
"52613","FREE RUN WINE MERCHANTS","1715 RHOADMILLER ST","RICHMOND","VA","23220","Richmond City","Wine Importer","Wine Importer - In-State","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"2008-05-06T00:00:00.000"
"52614","FREE RUN WINE MERCHANTS","1715 RHOADMILLER ST","RICHMOND","VA","23220","Richmond City","Wine Wholesaler","Wholesale Wine (30,000 gallons or less annually)","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"2008-05-06T00:00:00.000"
"52979","COPPOLAS","2900 W CARY ST","RICHMOND","VA","23221-3516","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000",,,,"1990-11-09T00:00:00.000"
"53228","BUZ & NEDS REAL BARBECUE","1119 N BOULEVARD","RICHMOND","VA","23230-4805","Richmond City","Caterers Establishment","Mixed Beverage Caterer Limited","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000",,,,"2008-08-21T00:00:00.000"
"53424","CATURRA ON GROVE","5811 GROVE AVE","RICHMOND","VA","23226-2663","Richmond City","Restaurant","Wine and Beer On & Off Premises & Delivery Permit","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000","2008-08-22T00:00:00.000"
"53504","FRANKS ITALIAN RISTORANTE PIZZERIA","3054 STONY POINT RD","RICHMOND","VA","23235-2349","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","1991-03-07T00:00:00.000"
"53690","THEATRE IV","114 W BROAD ST","RICHMOND","VA","23220-4215","Richmond City","Annual MB Special Event","Annual Mixed Beverage Special Event","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000",,,,"1991-03-01T00:00:00.000"
"53690","THEATRE IV","114 W BROAD ST","RICHMOND","VA","23220-4215","Richmond City","Annual MB Special Event","Fairground","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000",,,,"1991-03-01T00:00:00.000"
"53708","CITY DOGS","1316 E CARY ST","RICHMOND","VA","23219-4118","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000","2008-07-16T00:00:00.000"
"53742","ROCK FALLS TAVERN","2813 HATHAWAY RD","RICHMOND","VA","23225-1725","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000","1991-04-02T00:00:00.000"
"53744","BOTTOMS UP RESTAURANT","1700 DOCK ST","RICHMOND","VA","23223-6942","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2019-02-01T00:00:00.000","2020-01-31T00:00:00.000","Active","2019-02-01T00:00:00.000","2020-01-31T00:00:00.000","1991-05-29T00:00:00.000"
