"fiscal_year","state_name","county","membership_group","refunds_paid","location_1"
"2015","IOWA","LOUISA","REGULAR","228049.61","POINT (-91.2596184 41.2185073)"
"2016","IOWA","CARROLL","REGULAR","185475.17","POINT (-94.8605593 42.0362382)"
"2018","ILLINOIS",,"REGULAR","990358.25",
"2017","GEORGIA",,"REGULAR","127265.51",
"2015","IOWA","CEDAR","SPECIAL SERVICE","5448.11","POINT (-91.1324125 41.7723207)"
"2015","TEXAS",,"REGULAR","399155.81",
"2015","IOWA","BOONE","REGULAR","374727.96","POINT (-93.931671 42.0365493)"
"2016","IOWA","HARDIN","SPECIAL SERVICE","13486.43","POINT (-93.2404025 42.3838803)"
"2015","IOWA","FLOYD","REGULAR","49380.97","POINT (-92.78900330000002 43.0599208)"
"2017","MARYLAND",,"REGULAR","77009.52",
"2016","IOWA","BOONE","REGULAR","434735.57","POINT (-93.931671 42.0365493)"
"2016","NEVADA",,"REGULAR","46630.16",
"2018","SOUTH DAKOTA",,"SPECIAL SERVICE","28268.12",
"2017","IOWA","JONES","REGULAR","107841.25",
"2017","VIRGINIA",,"REGULAR","78833.75",
"2016","IOWA","POTTAWATTAMIE","SPECIAL SERVICE","190181.85","POINT (-95.5423935 41.3366123)"
"2017","IOWA","WOODBURY","SPECIAL SERVICE","3615.09",
"2016","IOWA","HARRISON","REGULAR","238308.74","POINT (-95.8169209 41.6828528)"
"2017","IOWA","ADAIR","SPECIAL SERVICE","6387.71",
"2015","IOWA","MAHASKA","SPECIAL SERVICE","16169.12","POINT (-92.6409094 41.3352035)"
"2015","IOWA","WRIGHT","REGULAR","183396.05","POINT (-93.7351465 42.7331189)"
"2016","IOWA","TAMA","REGULAR","250816.19","POINT (-92.5325425 42.07981170000001)"
"2015","IOWA","ADAIR","SPECIAL SERVICE","89511.73","POINT (-94.4709413 41.3307464)"
"2015","NORTH CAROLINA",,"REGULAR","508743.44",
"2018","TEXAS",,"REGULAR","707181.26",
"2016","IOWA","VAN BUREN","SPECIAL SERVICE","874.18","POINT (-91.9499871 40.7532294)"
"2016","IOWA","DICKINSON","REGULAR","250176.65","POINT (-95.1508301 43.3779848)"
"2016","IOWA","GREENE","REGULAR","172645.86","POINT (-94.3968356 42.0362394)"
"2018","ALASKA",,"REGULAR","15535.55",
"2015","VERMONT",,"REGULAR","160.76",
"2017","IOWA","POWESHIEK","SPECIAL SERVICE","6023.92",
"2015","IOWA","IOWA","REGULAR","158871.20","POINT (-92.065524 41.6863229)"
"2017","IOWA","CERRO GORDO","SPECIAL SERVICE","5706.19",
"2015","IOWA","WARREN","SPECIAL SERVICE","127175.89","POINT (-93.5613594 41.3343735)"
"2016","IOWA","CERRO GORDO","SPECIAL SERVICE","32420.10","POINT (-93.2608184 43.081557700000005)"
"2015","IOWA","WAYNE","REGULAR","166908.08","POINT (-93.3273639 40.73947020000001)"
"2016","ALABAMA",,"REGULAR","62418.34",
"2016","MONTANA",,"SPECIAL SERVICE","965.40",
"2016","WEST VIRGINIA",,"REGULAR","2310.40",
"2016","IOWA","LINN","REGULAR","1491476.93","POINT (-91.5989646 42.0789478)"
"2018","MISSOURI",,"REGULAR","678933.46",
"2015","IOWA","BLACK HAWK","REGULAR","1431423.05","POINT (-92.3088197 42.4700957)"
"2015","IOWA","DES MOINES","SPECIAL SERVICE","325179.85","POINT (-91.1814707 40.9231829)"
"2016","LOUISIANA",,"SPECIAL SERVICE","6915.66",
"2017","PENNSYLVANIA",,"REGULAR","16018.37",
"2016","WASHINGTON",,"REGULAR","50606.49",
"2016","FLORIDA",,"SPECIAL SERVICE","200311.89",
"2015","IOWA","WAPELLO","SPECIAL SERVICE","16036.48","POINT (-92.4094499 41.03058450000001)"
"2017","FLORIDA",,"REGULAR","287966.35",
"2015","IOWA","JASPER","REGULAR","727004.72","POINT (-93.053765 41.6860394)"
"2017","IOWA","OSCEOLA","REGULAR","17175.95",
"2017","IOWA","BOONE","REGULAR","512616.77",
"2016","IOWA","WASHINGTON","REGULAR","132195.85","POINT (-91.7178676 41.335591)"
"2015","IOWA","JOHNSON","REGULAR","1612929.63","POINT (-91.5880849 41.6715511)"
"2017","IOWA","AUDUBON","REGULAR","32506.35",
"2017","NEVADA",,"REGULAR","89924.36",
"2015","IOWA","WAYNE","SPECIAL SERVICE","14233.14","POINT (-93.3273639 40.73947020000001)"
"2015","IOWA","WORTH","SPECIAL SERVICE","6539.92","POINT (-93.2608476 43.3773984)"
"2017","IOWA","WAYNE","SPECIAL SERVICE","6757.16",
"2017","IOWA","LYON","REGULAR","29359.78",
"2018","MINNESOTA",,"REGULAR","1327713.62",
"2015","IOWA","POWESHIEK","SPECIAL SERVICE","3803.99","POINT (-92.53146840000001 41.6864422)"
"2017","IOWA","BUCHANAN","SPECIAL SERVICE","1785.27",
"2017","IOWA","KOSSUTH","SPECIAL SERVICE","219.39",
"2016","MINNESOTA",,"SPECIAL SERVICE","33104.21",
"2018","ILLINOIS",,"SPECIAL SERVICE","21897.5",
"2016","IOWA","SIOUX","REGULAR","245469.05","POINT (-96.1778827 43.0826174)"
"2017","IOWA","LOUISA","REGULAR","73842.80",
"2017","IOWA","SAC","SPECIAL SERVICE","3043.41",
"2015","IOWA","KOSSUTH","REGULAR","98081.73","POINT (-94.2067199 43.20413)"
"2017","IOWA","HENRY","REGULAR","145960.72",
"2017","MISSISSIPPI",,"REGULAR","23524.09",
"2015","IOWA","BREMER","SPECIAL SERVICE","5676.83","POINT (-92.31805480000001 42.7745873)"
"2015","ARKANSAS",,"REGULAR","55854.63",
"2015","IOWA","DECATUR","SPECIAL SERVICE","19197.95","POINT (-93.7862815 40.7376827)"
"2015","PENNSYLVANIA",,"REGULAR","86161.93",
"2016","IOWA","CEDAR","SPECIAL SERVICE","50655.58","POINT (-91.1324125 41.7723207)"
"2018","INDIANA",,"REGULAR","95539.62",
"2015","MONTANA",,"REGULAR","18884.11",
"2015","WEST VIRGINIA",,"REGULAR","1074.35",
"2016","MISSOURI",,"REGULAR","547442.34",
"2016","IOWA","LUCAS","REGULAR","295562.42","POINT (-93.3277207 41.0293738)"
"2015","IOWA","MONONA","REGULAR","139070.43","POINT (-95.9599235 42.0516663)"
"2016","IOWA","ADAIR","SPECIAL SERVICE","16534.02","POINT (-94.4709413 41.3307464)"
"2016","IOWA","DES MOINES","REGULAR","259743.81","POINT (-91.1814707 40.9231829)"
"2016","IOWA","POLK","SPECIAL SERVICE","620475.86","POINT (-93.5735335 41.6855048)"
"2016","COLORADO",,"SPECIAL SERVICE","35221.66",
"2017","IOWA","CEDAR","REGULAR","167001.22",
"2017","IOWA","MILLS","REGULAR","1012625.63",
"2015","IOWA","CLINTON","REGULAR","264181.54","POINT (-90.5319724 41.8980358)"
"2016","IOWA","HAMILTON","SPECIAL SERVICE","40329.67","POINT (-93.7068085 42.3837722)"
"2016","IOWA","CALHOUN","REGULAR","26150.98","POINT (-94.6404136 42.385184800000005)"
"2015","IOWA","JEFFERSON","SPECIAL SERVICE","56879.42","POINT (-91.9488774 41.0317596)"
"2015","IOWA","FAYETTE","REGULAR","110123.57","POINT (-91.8443207 42.8625919)"
"2017","IOWA","DECATUR","SPECIAL SERVICE","7509.79",
"2016","IOWA","SAC","REGULAR","162130.94","POINT (-95.1053946 42.3862604)"
"2016","IOWA","WARREN","SPECIAL SERVICE","132244.92","POINT (-93.5613594 41.3343735)"
"2018","NORTH DAKOTA",,"REGULAR","22409.75",
"2016","IOWA","PLYMOUTH","SPECIAL SERVICE","1728.48","POINT (-96.2140431 42.7378346)"
"2015","IOWA","STORY","REGULAR","956581.42","POINT (-93.4650448 42.0362415)"
"2016","IOWA","STORY","REGULAR","1055784.89","POINT (-93.4650448 42.0362415)"
"2015","INDIANA",,"SPECIAL SERVICE","112751.44",
"2015","IOWA","KEOKUK","REGULAR","76268.82","POINT (-92.1786426 41.336465)"
"2015","IOWA","UNION","REGULAR","201344.16","POINT (-94.2423792 41.0277304)"
"2015","IOWA","CLAY","SPECIAL SERVICE","722.01","POINT (-95.1509194 43.0825804)"
"2017","IOWA","HAMILTON","SPECIAL SERVICE","1710.20",
"2017","IOWA","WORTH","SPECIAL SERVICE","1489.34",
"2015","IOWA","MARSHALL","REGULAR","1042698.55","POINT (-92.9987706 42.0358499)"
"2016","PENNSYLVANIA",,"REGULAR","49934.28",
"2017","IOWA","DICKINSON","REGULAR","191813.43",
"2017","IOWA","GRUNDY","REGULAR","254481.67",
"2017","IOWA","GREENE","SPECIAL SERVICE","37469.73",
"2015","IOWA","MITCHELL","SPECIAL SERVICE","52637.51","POINT (-92.7890315 43.3564124)"
"2016","DELAWARE",,"REGULAR","396.34",
"2015","IOWA","HUMBOLDT","REGULAR","96891.90","POINT (-94.2071868 42.7764686)"
"2016","IOWA","SHELBY","REGULAR","134267.95","POINT (-95.31021130000002 41.6850926)"
"2016","WASHINGTON",,"SPECIAL SERVICE","2239.47",
"2016","IOWA","BREMER","SPECIAL SERVICE","839.98","POINT (-92.31805480000001 42.7745873)"
"2016","IOWA","BUCHANAN","SPECIAL SERVICE","2842.73","POINT (-91.8378392 42.4707777)"
"2016","IOWA","LOUISA","REGULAR","60001.13","POINT (-91.2596184 41.2185073)"
"2017","NEW HAMPSHIRE",,"REGULAR","5160.25",
"2016","IOWA","FREMONT","REGULAR","100928.40","POINT (-95.6046765 40.7455892)"
"2015","IOWA","MONROE","REGULAR","138000.10","POINT (-92.8689877 41.0297826)"
"2018","KANSAS",,"SPECIAL SERVICE","7185.88",
"2016","MARYLAND",,"REGULAR","46451.98",
"2016","IOWA","PAGE","SPECIAL SERVICE","50294.23","POINT (-95.1501747 40.7391444)"
"2017","IOWA","JASPER","SPECIAL SERVICE","153340.78",
"2018","MICHIGAN",,"SPECIAL SERVICE","31527.66",
"2017","IOWA","SIOUX","REGULAR","335928.08",
"2015","IOWA","JOHNSON","SPECIAL SERVICE","262416.50","POINT (-91.5880849 41.6715511)"
"2015","IOWA","BUENA VISTA","SPECIAL SERVICE","877.54","POINT (-95.15114900000002 42.7354936)"
"2017","IOWA","HAMILTON","REGULAR","292019.41",
"2017","IOWA","MONROE","SPECIAL SERVICE","19438.59",
"2015","MICHIGAN",,"REGULAR","108294.33",
"2018","MASSACHUSETTS",,"REGULAR","38893.47",
"2016","ILLINOIS",,"SPECIAL SERVICE","8263.04",
"2017","IOWA","DES MOINES","REGULAR","600799.52",
"2016","IOWA","CLINTON","REGULAR","548336.56","POINT (-90.5319724 41.8980358)"
"2015","IOWA","CARROLL","SPECIAL SERVICE","20381.92","POINT (-94.8605593 42.0362382)"
"2016","IOWA","GRUNDY","REGULAR","153090.14","POINT (-92.7914177 42.4018651)"
"2015","IOWA","SAC","SPECIAL SERVICE","52546.91","POINT (-95.1053946 42.3862604)"
"2016","IOWA","WARREN","REGULAR","648719.27","POINT (-93.5613594 41.3343735)"
"2015","NEVADA",,"REGULAR","77255.73",
"2018","MONTANA",,"REGULAR","80518.8",
"2016","IOWA","APPANOOSE","SPECIAL SERVICE","35001.37","POINT (-92.8686104 40.7431635)"
"2016","OREGON",,"SPECIAL SERVICE","134.86",
"2017","IOWA","DUBUQUE","SPECIAL SERVICE","164465.59",
"2016","IOWA","MITCHELL","REGULAR","161880.48","POINT (-92.7890315 43.3564124)"
"2017","IOWA","CASS","REGULAR","278094.55",
"2017","MISSOURI",,"SPECIAL SERVICE","81554.99",
"2016","IOWA","BLACK HAWK","SPECIAL SERVICE","3294.58","POINT (-92.3088197 42.4700957)"
"2015","IOWA","SIOUX","REGULAR","247358.37","POINT (-96.1778827 43.0826174)"
"2016","IDAHO",,"REGULAR","77200.69",
"2015","IOWA","HARDIN","SPECIAL SERVICE","34952.00","POINT (-93.2404025 42.3838803)"
"2017","IOWA","GREENE","REGULAR","171112.62",
"2016","UTAH",,"REGULAR","125161.66",
"2016","IOWA","JOHNSON","SPECIAL SERVICE","446111.53","POINT (-91.5880849 41.6715511)"
"2015","IOWA","SCOTT","SPECIAL SERVICE","220571.76","POINT (-90.6232428 41.6370978)"
"2015","IOWA","PALO ALTO","REGULAR","170936.92","POINT (-94.6781371 43.0820643)"
"2017","IOWA","FLOYD","REGULAR","83635.76",
"2017","IOWA","MARSHALL","SPECIAL SERVICE","252976.26",
"2015","IOWA","WRIGHT","SPECIAL SERVICE","41900.79","POINT (-93.7351465 42.7331189)"
"2016","IOWA","CLINTON","SPECIAL SERVICE","6216.59","POINT (-90.5319724 41.8980358)"
"2015","DELAWARE",,"REGULAR","64772.91",
"2016","IOWA","WORTH","SPECIAL SERVICE","11989.04","POINT (-93.2608476 43.3773984)"
"2015","IOWA","HARDIN","REGULAR","412302.31","POINT (-93.2404025 42.3838803)"
"2016","OHIO",,"REGULAR","177268.84",
"2017","IOWA","CHEROKEE","SPECIAL SERVICE","32859.46",
"2016","IOWA","GREENE","SPECIAL SERVICE","141.52","POINT (-94.3968356 42.0362394)"
"2015","IOWA","CERRO GORDO","SPECIAL SERVICE","399.66","POINT (-93.2608184 43.081557700000005)"
"2017","IOWA","MADISON","SPECIAL SERVICE","20428.58",
"2017","SOUTH CAROLINA",,"REGULAR","14426.43",
"2017","KENTUCKY",,"SPECIAL SERVICE","201.50",
"2015","IOWA","POLK","SPECIAL SERVICE","547898.69","POINT (-93.5735335 41.6855048)"
"2016","IOWA","WRIGHT","REGULAR","286844.43","POINT (-93.7351465 42.7331189)"
"2016","IOWA","BOONE","SPECIAL SERVICE","9680.51","POINT (-93.931671 42.0365493)"
"2016","IOWA","FAYETTE","SPECIAL SERVICE","35220.86","POINT (-91.8443207 42.8625919)"
"2016","INDIANA",,"REGULAR","110252.24",
"2017","IOWA","MARION","REGULAR","383858.01",
"2016","IOWA","DAVIS","SPECIAL SERVICE","7892.86","POINT (-92.4097173 40.7476891)"
"2016","IOWA","LEE","SPECIAL SERVICE","79420.40","POINT (-91.479264 40.6419764)"
"2015","IOWA","AUDUBON","SPECIAL SERVICE","1736.03","POINT (-94.9058222 41.6845893)"
"2017","IOWA","BUTLER","SPECIAL SERVICE","269.08",
"2016","OKLAHOMA",,"REGULAR","60434.13",
"2017","IOWA","GUTHRIE","SPECIAL SERVICE","18472.37",
"2016","IOWA","SCOTT","REGULAR","944810.85","POINT (-90.6232428 41.6370978)"
"2017","IOWA","FRANKLIN","REGULAR","147344.62",
"2015","IOWA","POTTAWATTAMIE","SPECIAL SERVICE","26138.04","POINT (-95.5423935 41.3366123)"
"2018","CALIFORNIA",,"REGULAR","221019.35",
"2017","IOWA","EMMET","REGULAR","40660.80",
"2017","NORTH CAROLINA",,"REGULAR","178357.40",
"2015","GEORGIA",,"SPECIAL SERVICE","20290.51",
"2017","IOWA","PALO ALTO","SPECIAL SERVICE","755.74",
"2017","IOWA","KOSSUTH","REGULAR","65581.26",
"2016","IOWA","KOSSUTH","REGULAR","111945.98","POINT (-94.2067199 43.20413)"
"2015","IOWA","POCAHONTAS","REGULAR","88115.36","POINT (-94.67874660000001 42.73413510000001)"
"2015","FLORIDA",,"REGULAR","316358.88",
"2016","MINNESOTA",,"REGULAR","868385.85",
"2017","IOWA","CRAWFORD","SPECIAL SERVICE","58062.41",
"2017","IOWA","WEBSTER","REGULAR","576289.28",
"2016","IOWA","TAYLOR","REGULAR","178704.66","POINT (-94.6964148 40.73743240000001)"
"2016","IOWA","MADISON","SPECIAL SERVICE","15909.37","POINT (-94.01556190000001 41.33071420000001)"
"2017","IOWA","SAC","REGULAR","130932.41",
"2017","IOWA","JACKSON","REGULAR","262802.00",
"2016","IOWA","FREMONT","SPECIAL SERVICE","142.25","POINT (-95.6046765 40.7455892)"
"2018","MISSISSIPPI",,"REGULAR","14504.29",
"2017","MINNESOTA",,"REGULAR","807321.88",
"2017","ILLINOIS",,"REGULAR","1002120.73",
"2018","TENNESSEE",,"REGULAR","168963.69",
"2018","MINNESOTA",,"SPECIAL SERVICE","43908.72",
"2017","RHODE ISLAND",,"REGULAR","431.21",
"2015","IOWA","AUDUBON","REGULAR","50213.89","POINT (-94.9058222 41.6845893)"
"2015","KANSAS",,"SPECIAL SERVICE","16540.31",
"2017","WASHINGTON",,"REGULAR","113372.18",
"2015","GEORGIA",,"REGULAR","49774.28",
"2016","IOWA","POCAHONTAS","REGULAR","54820.05","POINT (-94.67874660000001 42.73413510000001)"
"2015","ILLINOIS",,"REGULAR","868616.39",
"2017","IOWA","GUTHRIE","REGULAR","170148.96",
"2018","OREGON",,"SPECIAL SERVICE","597.17",
"2015","IOWA","DUBUQUE","REGULAR","603646.47","POINT (-90.8824564 42.468832)"
"2017","NEW YORK",,"REGULAR","66466.34",
"2015","IOWA","GUTHRIE","REGULAR","184469.82","POINT (-94.501055 41.6837548)"
"2018","CONNECTICUT",,"REGULAR","51167.02",
"2018","ARIZONA",,"SPECIAL SERVICE","2691.46",
"2015","IOWA","MARION","SPECIAL SERVICE","4291.14","POINT (-93.0994367 41.3344515)"
"2015","IOWA","SHELBY","REGULAR","39451.77","POINT (-95.31021130000002 41.6850926)"
"2015","IOWA","LINN","REGULAR","2247532.33","POINT (-91.5989646 42.0789478)"
"2016","IOWA","MILLS","SPECIAL SERVICE","3723.15","POINT (-95.62132670000001 41.0334523)"
"2018","PENNSYLVANIA",,"SPECIAL SERVICE","10340.88",
"2016","IOWA","MAHASKA","REGULAR","210775.95","POINT (-92.6409094 41.3352035)"
"2017","IOWA","MUSCATINE","REGULAR","263381.84",
"2018","UTAH",,"REGULAR","23158.01",
"2015","IOWA","DALLAS","SPECIAL SERVICE","133401.62","POINT (-94.0397374 41.6848862)"
"2017","IOWA","APPANOOSE","REGULAR","161044.32",
"2017","IOWA","BUTLER","REGULAR","134433.30",
"2015","IOWA","BLACK HAWK","SPECIAL SERVICE","28359.77","POINT (-92.3088197 42.4700957)"
"2017","IOWA","SCOTT","REGULAR","976702.51",
"2015","IOWA","MAHASKA","REGULAR","224356.87","POINT (-92.6409094 41.3352035)"
"2018","WYOMING",,"REGULAR","50251.38",
"2015","IOWA","MUSCATINE","REGULAR","270584.72","POINT (-91.1127562 41.4839221)"
"2017","LOUISIANA",,"SPECIAL SERVICE","893.87",
"2016","IOWA","WAPELLO","SPECIAL SERVICE","25220.81","POINT (-92.4094499 41.03058450000001)"
"2017","IOWA","PALO ALTO","REGULAR","140394.94",
"2015","IOWA","DELAWARE","SPECIAL SERVICE","311.82","POINT (-91.3673502 42.471211)"
"2015","NEW YORK",,"SPECIAL SERVICE","32.40",
"2015","IOWA","DECATUR","REGULAR","143801.93","POINT (-93.7862815 40.7376827)"
"2017","HAWAII",,"REGULAR","38946.97",
"2016","IOWA","MONROE","REGULAR","138785.90","POINT (-92.8689877 41.0297826)"
"2015","IOWA","PLYMOUTH","REGULAR","149479.93","POINT (-96.2140431 42.7378346)"
"2017","IOWA","HANCOCK","REGULAR","24609.32",
"2018","FLORIDA",,"REGULAR","640936.19",
"2016","ARIZONA",,"REGULAR","276907.88",
"2015","IOWA","CRAWFORD","REGULAR","174507.69","POINT (-95.3819678 42.0372125)"
"2016","CALIFORNIA",,"REGULAR","398384.26",
"2016","IOWA","JOHNSON","REGULAR","1405632.38","POINT (-91.5880849 41.6715511)"
"2015","IOWA","GREENE","SPECIAL SERVICE","26967.73","POINT (-94.3968356 42.0362394)"
"2017","IOWA","CASS","SPECIAL SERVICE","95857.99",
"2016","IOWA","DICKINSON","SPECIAL SERVICE","2525.78","POINT (-95.1508301 43.3779848)"
"2016","IOWA","WINNEBAGO","REGULAR","18989.79","POINT (-93.7341955 43.37756780000001)"
"2017","IOWA","WAPELLO","SPECIAL SERVICE","6644.45",
"2018","NORTH CAROLINA",,"REGULAR","201986.71",
"2015","IOWA","MONROE","SPECIAL SERVICE","12333.77","POINT (-92.8689877 41.0297826)"
"2017","IOWA","DELAWARE","REGULAR","252101.13",
"2016","ARKANSAS",,"REGULAR","79144.58",
"2016","IOWA","GUTHRIE","SPECIAL SERVICE","217452.34","POINT (-94.501055 41.6837548)"
"2016","IOWA","JACKSON","REGULAR","196669.77","POINT (-90.5742294 42.1717426)"
"2015","IOWA","JEFFERSON","REGULAR","124593.61","POINT (-91.9488774 41.0317596)"
"2016","IOWA","HAMILTON","REGULAR","247526.55","POINT (-93.7068085 42.3837722)"
"2016","IOWA","CARROLL","SPECIAL SERVICE","45.29","POINT (-94.8605593 42.0362382)"
"2015","IOWA","CRAWFORD","SPECIAL SERVICE","37061.37","POINT (-95.3819678 42.0372125)"
"2016","IOWA","PALO ALTO","SPECIAL SERVICE","19684.19","POINT (-94.6781371 43.0820643)"
"2017","NEW JERSEY",,"REGULAR","5464.18",
"2017","IOWA","MONONA","REGULAR","114222.48",
"2015","IOWA","WINNESHIEK","REGULAR","107720.57","POINT (-91.8437074 43.2906746)"
"2017","NORTH DAKOTA",,"SPECIAL SERVICE","1390.59",
"2017","ALASKA",,"REGULAR","6821.12",
"2015","IOWA","WOODBURY","REGULAR","508999.69","POINT (-96.0447673 42.3897169)"
"2016","IOWA","MARSHALL","SPECIAL SERVICE","67949.99","POINT (-92.9987706 42.0358499)"
"2018","NEW YORK",,"REGULAR","31463.73",
"2017","IOWA","PLYMOUTH","REGULAR","291112.77",
"2015","NEW MEXICO",,"REGULAR","21653.51",
"2016","KENTUCKY",,"SPECIAL SERVICE","25892.86",
"2015","IOWA","HENRY","REGULAR","356878.87","POINT (-91.5445241 40.9879383)"
"2017","IOWA","DALLAS","SPECIAL SERVICE","23331.66",
"2016","IOWA","KEOKUK","REGULAR","198636.82","POINT (-92.1786426 41.336465)"
"2015","IOWA","IDA","SPECIAL SERVICE","26283.84","POINT (-95.5134962 42.3868747)"
"2017","IOWA","LEE","REGULAR","133657.92",
"2017","IOWA","CLINTON","SPECIAL SERVICE","31458.47",
"2016","IOWA","VAN BUREN","REGULAR","93117.12","POINT (-91.9499871 40.7532294)"
"2016","IOWA","CLAY","REGULAR","306806.15","POINT (-95.1509194 43.0825804)"
"2016","IOWA","OBRIEN","REGULAR","71155.31","POINT (-95.6248784 43.0837527)"
"2017","IOWA","KEOKUK","REGULAR","183377.71",
"2016","IOWA","AUDUBON","REGULAR","75313.55","POINT (-94.9058222 41.6845893)"
"2015","IOWA","LEE","REGULAR","298542.27","POINT (-91.479264 40.6419764)"
"2016","IOWA","OBRIEN","SPECIAL SERVICE","9298.30","POINT (-95.6248784 43.0837527)"
"2015","IOWA","MONTGOMERY","SPECIAL SERVICE","48955.97","POINT (-95.1563758 41.03014)"
"2018","VERMONT",,"REGULAR","14416.35",
"2017","IOWA","CLARKE","REGULAR","146090.76",
"2015","IOWA","LINN","SPECIAL SERVICE","74299.17","POINT (-91.5989646 42.0789478)"
"2018","MARYLAND",,"SPECIAL SERVICE","14958.73",
"2015","IOWA","MITCHELL","REGULAR","87099.65","POINT (-92.7890315 43.3564124)"
"2017","IOWA","GRUNDY","SPECIAL SERVICE","4509.13",
"2017","ARKANSAS",,"SPECIAL SERVICE","18006.23",
"2015","IOWA","HARRISON","REGULAR","122468.10","POINT (-95.8169209 41.6828528)"
"2017","IOWA","CLINTON","REGULAR","323363.04",
"2018","COLORADO",,"REGULAR","804025.8",
"2016","IOWA","WOODBURY","REGULAR","556337.69","POINT (-96.0447673 42.3897169)"
"2015","IOWA","SCOTT","REGULAR","1107880.21","POINT (-90.6232428 41.6370978)"
"2017","IOWA","UNION","REGULAR","84095.97",
"2015","IOWA","BUTLER","REGULAR","81030.78","POINT (-92.7901934 42.7315661)"
"2015","SOUTH DAKOTA",,"SPECIAL SERVICE","52952.13",
"2015","MONTANA",,"SPECIAL SERVICE","58.29",
"2015","IOWA","WAPELLO","REGULAR","264825.32","POINT (-92.4094499 41.03058450000001)"
"2016","IOWA","WEBSTER","SPECIAL SERVICE","383390.35","POINT (-94.18178810000002 42.4279662)"
"2016","IOWA","JEFFERSON","REGULAR","229249.86","POINT (-91.9488774 41.0317596)"
"2015","TENNESSEE",,"REGULAR","68410.47",
"2015","IOWA","ADAMS","REGULAR","39676.64","POINT (-94.6991849 41.02898390000001)"
"2015","IOWA","WINNESHIEK","SPECIAL SERVICE","6210.57","POINT (-91.8437074 43.2906746)"
"2017","IOWA","BLACK HAWK","SPECIAL SERVICE","6798.94",
"2017","IOWA","CHICKASAW","SPECIAL SERVICE","5144.63",
"2015","ALASKA",,"REGULAR","7861.88",
"2016","IOWA","HANCOCK","REGULAR","103346.82","POINT (-93.7342723 43.0818861)"
"2017","IOWA","DALLAS","REGULAR","1087690.85",
"2016","IOWA","CERRO GORDO","REGULAR","519201.46","POINT (-93.2608184 43.081557700000005)"
"2015","IOWA","WINNEBAGO","REGULAR","18285.80","POINT (-93.7341955 43.37756780000001)"
"2017","OKLAHOMA",,"REGULAR","41745.78",
"2016","IOWA","CEDAR","REGULAR","64261.18","POINT (-91.1324125 41.7723207)"
"2016","IOWA","BUTLER","REGULAR","148873.92","POINT (-92.7901934 42.7315661)"
"2017","IOWA","BUCHANAN","REGULAR","229653.86",
"2016","IOWA","JEFFERSON","SPECIAL SERVICE","49354.71","POINT (-91.9488774 41.0317596)"
"2016","MISSOURI",,"SPECIAL SERVICE","21745.44",
"2018","WISCONSIN",,"REGULAR","477492.22",
"2016","NEW JERSEY",,"REGULAR","3754.77",
"2016","IOWA","JONES","SPECIAL SERVICE","330369.57","POINT (-91.1314352 42.1212397)"
"2017","IOWA","JACKSON","SPECIAL SERVICE","1687.70",
"2018","MAINE",,"REGULAR","461.63",
"2018","OREGON",,"REGULAR","32687.64",
"2016","IOWA","UNION","REGULAR","219200.39","POINT (-94.2423792 41.0277304)"
"2018","NEW MEXICO",,"REGULAR","6049.52",
"2015","IOWA","DICKINSON","SPECIAL SERVICE","5543.35","POINT (-95.1508301 43.3779848)"
"2017","IOWA","ALLAMAKEE","SPECIAL SERVICE","10398.41",
"2018","KANSAS",,"REGULAR","374760.3",
"2017","IOWA","FRANKLIN","SPECIAL SERVICE","8814.45",
"2015","IOWA","CLINTON","SPECIAL SERVICE","54391.00","POINT (-90.5319724 41.8980358)"
"2016","IOWA","CHEROKEE","REGULAR","231806.43","POINT (-95.6238055 42.7356226)"
"2018","WISCONSIN",,"SPECIAL SERVICE","8981.46",
"2016","IOWA","ADAIR","REGULAR","107900.72","POINT (-94.4709413 41.3307464)"
"2015","MAINE",,"REGULAR","3856.31",
"2015","WISCONSIN",,"REGULAR","344890.15",
"2016","IOWA","HOWARD","REGULAR","113236.40","POINT (-92.3171989 43.3567673)"
"2015","IOWA","VAN BUREN","REGULAR","151656.56","POINT (-91.9499871 40.7532294)"
"2016","IOWA","DALLAS","SPECIAL SERVICE","181584.54","POINT (-94.0397374 41.6848862)"
"2016","IOWA","WEBSTER","REGULAR","296451.53","POINT (-94.18178810000002 42.4279662)"
"2016","IOWA","BENTON","REGULAR","402854.84","POINT (-92.0656912 42.0801864)"
"2016","IOWA","LOUISA","SPECIAL SERVICE","1948.20","POINT (-91.2596184 41.2185073)"
"2016","GEORGIA",,"SPECIAL SERVICE","7736.92",
"2015","ALABAMA",,"REGULAR","6167.43",
"2015","NORTH DAKOTA",,"REGULAR","111356.43",
"2016","MAINE",,"REGULAR","753.87",
"2018","WEST VIRGINIA",,"REGULAR","30208.56",
"2016","IOWA","MAHASKA","SPECIAL SERVICE","104165.37","POINT (-92.6409094 41.3352035)"
"2017","ALASKA",,"SPECIAL SERVICE","14599.27",
"2017","IOWA","BLACK HAWK","REGULAR","1712760.50",
"2016","IOWA","MONONA","REGULAR","208978.23","POINT (-95.9599235 42.0516663)"
"2018","ALABAMA",,"REGULAR","28872.08",
"2018","WYOMING",,"SPECIAL SERVICE","35968.77",
"2017","NEBRASKA",,"REGULAR","871164.32",
"2017","IOWA","WEBSTER","SPECIAL SERVICE","75378.22",
"2017","IOWA","MITCHELL","REGULAR","126400.12",
