"row_id","table_code","table_name","variable_code","variable","industry","value","variable_unit","period_type","date"
"19000_2014Q1_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","147266.9","Millions of current dollars","quarter","2014-03-31T00:00:00.000"
"19000_2014Q2_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","153744.7","Millions of current dollars","quarter","2014-06-30T00:00:00.000"
"19000_2014Q4_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","156838.4","Millions of current dollars","quarter","2014-12-31T00:00:00.000"
"19000_2015Q1_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","158351.1","Millions of current dollars","quarter","2015-03-31T00:00:00.000"
"19000_2015Q2_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","159631.8","Millions of current dollars","quarter","2015-06-30T00:00:00.000"
"19000_2016Q4_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","160816.6","Millions of current dollars","quarter","2016-12-31T00:00:00.000"
"19000_2017Q1_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","161983.2","Millions of current dollars","quarter","2017-03-31T00:00:00.000"
"19000_2017Q2_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","161820.3","Millions of current dollars","quarter","2017-06-30T00:00:00.000"
"19000_2017Q4_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","163612.8","Millions of current dollars","quarter","2017-12-31T00:00:00.000"
"19000_2018Q1_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","165912.8","Millions of current dollars","quarter","2018-03-31T00:00:00.000"
"19000_2018Q2_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","168433.5","Millions of current dollars","quarter","2018-06-30T00:00:00.000"
"19000_2018Q4_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","169801.5","Millions of current dollars","quarter","2018-12-31T00:00:00.000"
"19000_2019Q1_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","167380.8","Millions of current dollars","quarter","2019-03-31T00:00:00.000"
"19000_2019Q2_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","169691.1","Millions of current dollars","quarter","2019-06-30T00:00:00.000"
"19000_2019Q4_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","175600.8","Millions of current dollars","quarter","2019-12-31T00:00:00.000"
"19000_2020Q1_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","173004.4","Millions of current dollars","quarter","2020-03-31T00:00:00.000"
"19000_2020Q4_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","178162.5","Millions of current dollars","quarter","2020-12-31T00:00:00.000"
"19000_2021Q1_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","186515.1","Millions of current dollars","quarter","2021-03-31T00:00:00.000"
"19000_2021Q2_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","196124.2","Millions of current dollars","quarter","2021-06-30T00:00:00.000"
"19000_2021Q3_SQGDP2-2_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-2","Gross domestic product (GDP) by state: Private industries","Private industries","199324.0","Millions of current dollars","quarter","2021-09-30T00:00:00.000"
