"fiscal_year","service_ordered","applicant","tax_dollars_approved","tax_percentage_approved"
"2021","Data Transmission and/or Internet Access","FREMONT-MILLS COMM SCHOOL DIST","4844.00","29.00"
"2021","Data Transmission and/or Internet Access","GALVA-HOLSTEIN COMM SCH DIST","4415.04","70.0"
"2021","Data Transmission and/or Internet Access","FORT MADISON COMM SCHOOL DIST","23688.00","80.0"
"2021","Data Transmission and/or Internet Access","EASTERN ALLAMAKEE SCHOOL DIST","1564.08","23.00"
"2021","Data Transmission and/or Internet Access","NORTH BUTLER COMMUNITY SCHOOL DIST","15926.40","70.0"
"2021","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","3073.72","60.0"
"2021","Data Transmission and/or Internet Access","JANESVILLE CONS SCHOOL DIST","10488.00","60.0"
"2021","Data Transmission and/or Internet Access","ENGLISH VALLEYS COMM SCH DIST","8244.32","70.0"
"2021","Data Transmission and/or Internet Access","DENISON COMMUNITY SCHOOL DIST","15792.00","80.0"
"2021","Data Transmission and/or Internet Access","C A L COMM SCHOOL DISTRICT","3456.00","80.0"
"2021","Data Transmission and/or Internet Access","DIAGONAL COMM SCHOOL DISTRICT","10595.20","80.0"
"2021","Data Transmission and/or Internet Access","LENOX COMMUNITY SCHOOL DIST","7620.48","70.0"
"2021","Data Transmission and/or Internet Access","CENTRAL CITY COMM SCHOOL DIST","10195.20","60.0"
"2021","Data Transmission and/or Internet Access","IKM MANNING CSD","8952.30","70.0"
"2021","Data Transmission and/or Internet Access","RIVERSIDE COMMUNITY SCH DIST","12096.00","70.0"
"2021","Data Transmission and/or Internet Access","CENTRAL DEWITT COMM SCH DIST","14158.08","60.0"
"2021","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","4396.80","60.0"
"2021","Data Transmission and/or Internet Access","ROCKWELL CITY PUBLIC LIBRARY","1935.36","70.0"
"2021","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","4396.80","60.0"
"2021","Data Transmission and/or Internet Access","Hillcrest Academy (Formerly Iowa Mennonite SchoolK","3384.00","60.0"
"2021","Data Transmission and/or Internet Access","PRINCE OF PEACE EDUCATION SYSTEM/CLINTON","3492.72","50.0"
"2021","Data Transmission and/or Internet Access","Odebolt Arthur Battle Creek Ida Grove Community Sc","14511.00","70.0"
"2021","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","4396.80","60.0"
"2021","Basic Maintenance of Internal Connection","AUDUBON COMMUNITY SCHOOL DIST","924.00","70.0"
"2021","Data Transmission and/or Internet Access","PELLA CHRISTIAN GRADE SCHOOL","2160.00","50.0"
"2021","Data Transmission and/or Internet Access","CAM COMMUNITY SCHOOL DIST","25747.20","80.0"
"2021","Data Transmission and/or Internet Access","AUDUBON COMMUNITY SCHOOL DIST","11270.00","70.0"
"2021","Data Transmission and/or Internet Access","IKM MANNING CSD","8104.32","70.0"
"2021","Data Transmission and/or Internet Access","BENNETT COMMUNITY SCHOOL DIST","3704.40","70.0"
"2021","Data Transmission and/or Internet Access","ANAMOSA COMMUNITY SCHOOL DIST","21064.40","70.0"
"2021","Data Transmission and/or Internet Access","PEKIN COMMUNITY SCHOOL DIST","10160.64","70.0"
"2021","Data Transmission and/or Internet Access","PLEASANTVILLE COMM SCHOOL DIST","1987.20","20.0"
"2021","Data Transmission and/or Internet Access","POSTVILLE COMM SCHOOL DISTRICT","12927.60","90.0"
"2021","Data Transmission and/or Internet Access","ALBIA COMMUNITY SCHOOL DIST","12096.00","70.0"
"2021","Data Transmission and/or Internet Access","SOUTHEAST  WARREN  COMMUNITY SCHOOL DISTRICT","6946.56","60.0"
"2021","Data Transmission and/or Internet Access","JOHNSTON COMM SCHOOL DISTRICT","8466.00","50.0"
"2021","Data Transmission and/or Internet Access","NORTH LINN COMM SCHOOL DIST","7200.00","60.0"
"2021","Data Transmission and/or Internet Access","LISBON COMMUNITY SCHOOL DIST","10368.00","60.0"
"2021","Data Transmission and/or Internet Access","MORMON TRAIL COMM SCHOOL DIST","3544.00","80.0"
"2021","Data Transmission and/or Internet Access","MORAVIA COMM SCHOOL DISTRICT","9422.08","80.0"
"2021","Data Transmission and/or Internet Access","SCHLESWIG COMM SCHOOL DISTRICT","5725.44","70.0"
"2021","Data Transmission and/or Internet Access","SEYMOUR COMM SCHOOL DISTRICT","1410.00","33.00"
"2021","Data Transmission and/or Internet Access","GRUNDY CENTER COMM SCHOOL DIST","10368.00","60.0"
"2021","Data Transmission and/or Internet Access","SCHALLER-CRESTLAND COMMUNITY SCHOOL DISTRICT","5045.76","80.0"
"2021","Data Transmission and/or Internet Access","NORTHEAST HAMILTON CSD","3164.00","70.0"
"2021","Data Transmission and/or Internet Access","SOUTH HAMILTON COMMUNTIY  SCHOOL DISTRICT","3081.00","21.00"
"2021","Data Transmission and/or Internet Access","SOUTH CENTRAL CALHOUN COMMUNITY SCHOOL DISTRICT","5922.00","70.0"
"2021","Data Transmission and/or Internet Access","SOUTH HAMILTON COMMUNTIY  SCHOOL DISTRICT","7320.00","60.0"
"2021","Data Transmission and/or Internet Access","SHENANDOAH COMM SCHOOL DIST","28704.00","80.0"
"2021","Data Transmission and/or Internet Access","TREYNOR COMM SCHOOL DISTRICT","8740.00","50.0"
"2021","Data Transmission and/or Internet Access","SIDNEY COMMUNITY SCHOOL DIST","6955.20","70.0"
"2021","Data Transmission and/or Internet Access","WACO COMMUNITY SCHOOL DISTRICT","5922.00","70.0"
"2021","Data Transmission and/or Internet Access","WEBSTER CITY COMM SCHOOL DIST","3454.50","23.00"
"2021","Data Transmission and/or Internet Access","WESTERN DUBUQUE COMM SCH DIST","4824.00","50.0"
"2021","Data Transmission and/or Internet Access","VAN BUREN COUNTY CSD","6703.36","80.0"
"2021","Data Transmission and/or Internet Access","SOUTH TAMA COUNTY CSD","13824.00","80.0"
"2021","Data Transmission and/or Internet Access","WOODWARD-GRANGER COMM SCH DIST","14202.00","60.0"
"2021","Data Transmission and/or Internet Access","WOODBINE COMMUNITY SCHOOL DISTRICT","4581.50","70.0"
"2021","Data Transmission and/or Internet Access","WINFIELD-MOUNT UNION COMM S D","8448.00","80.0"
"2021","Data Transmission and/or Internet Access","WINTERSET COMM SCHOOL DISTRICT","10488.00","60.0"
"2021","Data Transmission and/or Internet Access","WOODBINE COMMUNITY SCHOOL DISTRICT","740.25","18.00"
"2021","Data Transmission and/or Internet Access","WESTWOOD COMM SCHOOL DISTRICT","12096.00","70.0"
"2021","Data Transmission and/or Internet Access","WHITING COMMUNITY SCHOOL DIST","6768.00","80.0"
"2021","Data Transmission and/or Internet Access","WEST MARSHALL COMM SCHOOL DIST","10368.00","60.0"
"2021","Data Transmission and/or Internet Access","WILLIAMSBURG COMM SCHOOL DIST","10488.00","60.0"
"2021","Data Transmission and/or Internet Access","WEST LYON COMM SCHOOL DISTRICT","5076.00","60.0"
"2021","Data Transmission and/or Internet Access","WEBSTER CITY COMM SCHOOL DIST","8400.00","70.0"
"2021","Data Transmission and/or Internet Access","WEST BURLINGTON INDEP SCH DIST","4907.52","60.0"
"2021","Data Transmission and/or Internet Access","WAYNE COMMUNITY SCHOOL DISTRICT","13824.00","80.0"
"2021","Data Transmission and/or Internet Access","WAPELLO COMMUNITY SCHOOL DIST","8244.32","70.0"
"2021","Data Transmission and/or Internet Access","WEST CENTRAL VALLEY COMMUNITY SCHOOL DISTRICT","8244.32","70.0"
"2021","Data Transmission and/or Internet Access","WASHINGTON COMM SCHOOL DIST","20160.00","70.0"
"2021","Data Transmission and/or Internet Access","VAN BUREN COUNTY CSD","9422.08","80.0"
"2021","Data Transmission and/or Internet Access","VAN METER COMM SCHOOL DISTRICT","7357.60","50.0"
"2021","Data Transmission and/or Internet Access","URBANDALE COMM SCHOOL DISTRICT","8640.00","50.0"
"2021","Data Transmission and/or Internet Access","TURKEY VALLEY COMM SCHOOL DIST","10018.40","70.0"
"2021","Data Transmission and/or Internet Access","VINTON-SHELLSBURG COMM SCH DST","11844.00","70.0"
"2021","Data Transmission and/or Internet Access","UNITED COMMUNITY SCHOOL DIST","4907.52","60.0"
"2021","Data Transmission and/or Internet Access","WEST DELAWARE CO COMM SCH DIST","3454.50","18.00"
"2021","Data Transmission and/or Internet Access","TRI-CENTER COMMUNITY SCH DIST","5027.52","60.0"
"2021","Data Transmission and/or Internet Access","TRI-COUNTY COMMUNITY SCHOOL DISTRICT","2256.00","27.00"
"2021","Data Transmission and/or Internet Access","TIPTON COMMUNITY SCHOOL DIST","16293.60","60.0"
"2021","Data Transmission and/or Internet Access","STARMONT COMMUNITY SCHOOL DIST","11524.80","70.0"
"2021","Data Transmission and/or Internet Access","SUMNER-FREDERICKSBURG COMMUNITY SCHOOL DISTRICT","10488.00","60.0"
"2021","Data Transmission and/or Internet Access","ST JOSEPH COMM CATHOLIC SCHOOL/NEW HAMPTON","3024.00","70.0"
"2021","Data Transmission and/or Internet Access","TRI-COUNTY COMMUNITY SCHOOL DISTRICT","6432.00","80.0"
"2021","Data Transmission and/or Internet Access","IOWA SCHOOL FOR THE DEAF/COUNCIL BLUFFS","15120.00","90.0"
"2021","Data Transmission and/or Internet Access","RIVER VALLEY COMMUNITY SCHOOL DISTRICT","10363.50","70.0"
"2021","Data Transmission and/or Internet Access","KEYSTONE AREA ED AGENCY 01","10584.00","70.0"
"2021","Data Transmission and/or Internet Access","Central Rivers AEA","10231.20","60.0"
"2021","Data Transmission and/or Internet Access","OLIN CONS SCHOOL DISTRICT","3807.00","90.0"
"2021","Data Transmission and/or Internet Access","PLEASANTVILLE COMM SCHOOL DIST","7032.00","60.0"
"2021","Data Transmission and/or Internet Access","ANKENY CHRISTIAN ACADEMY","921.60","40.0"
"2021","Data Transmission and/or Internet Access","PERRY COMMUNITY SCHOOL DIST","29030.40","90.0"
"2021","Data Transmission and/or Internet Access","SPENCER COMM SCHOOL DISTRICT","8522.50","70.0"
"2021","Data Transmission and/or Internet Access","BOSCO SYSTEM","4962.00","50.0"
"2021","Data Transmission and/or Internet Access","TRIPOLI COMMUNITY SCHOOL DIST","4907.52","60.0"
"2021","Data Transmission and/or Internet Access","SPRINGVILLE COMM SCHOOL DIST","6946.56","60.0"
"2021","Data Transmission and/or Internet Access","HOLY TRINITY CATHOLIC SCHOOLS","19128.00","50.0"
"2021","Data Transmission and/or Internet Access","HUDSON COMMUNITY SCHOOL DIST","8640.00","50.0"
"2021","Data Transmission and/or Internet Access","ATLANTIC COMM SCHOOL DISTRICT","29328.00","80.0"
"2021","Data Transmission and/or Internet Access","HUMBOLDT COMM SCHOOL DISTRICT","10160.64","70.0"
"2021","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","8640.00","60.0"
"2021","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","10920.00","60.0"
"2021","Data Transmission and/or Internet Access","BEDFORD COMMUNITY SCHOOL DISTRICT","6955.20","70.0"
"2021","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","12960.00","60.0"
"2021","Data Transmission and/or Internet Access","PRAIRIE LAKES AREA ED AGENCY 08","19236.00","70.0"
"2021","Data Transmission and/or Internet Access","SOUTH WINNESHIEK COMMUNITY SCHOOL DISTRICT","11524.80","70.0"
"2021","Data Transmission and/or Internet Access","BROOKLYN-GUERNSEY-MALCOM SCHS","10368.00","60.0"
"2021","Data Transmission and/or Internet Access","POCAHONTAS AREA COMM SCH DIST","14016.00","80.0"
"2021","Data Transmission and/or Internet Access","CAMANCHE COMMUNITY SCHOOL DIST","10488.00","60.0"
"2021","Data Transmission and/or Internet Access","CARLISLE COMM SCHOOL DISTRICT","4371.19","60.0"
"2021","Data Transmission and/or Internet Access","WEST DELAWARE CO COMM SCH DIST","12577.32","70.0"
"2021","Data Transmission and/or Internet Access","CHARLES CITY COMM SCHOOL DIST","13824.00","80.0"
"2021","Data Transmission and/or Internet Access","Central Rivers AEA","10368.00","60.0"
"2021","Data Transmission and/or Internet Access","HAMBURG COMM SCHOOL DISTRICT","14624.00","80.0"
"2021","Data Transmission and/or Internet Access","CLARKE COMMUNITY SCHOOL DIST","2961.00","20.0"
"2021","Managed Internal Broadband Services","HAMPTON-DUMONT COMM SCH DIST","2025.60","80.0"
"2021","Data Transmission and/or Internet Access","GLADBROOK-REINBECK COMM SCHOOL DISTRICT","6955.20","70.0"
"2021","Managed Internal Broadband Services","FREMONT-MILLS COMM SCHOOL DIST","1814.40","70.0"
"2021","Data Transmission and/or Internet Access","EAST UNION COMMUNITY SCH DIST","10152.00","80.0"
"2021","Data Transmission and/or Internet Access","ESTHERVILLE LINCOLN CENTRAL SD","12096.00","70.0"
"2021","Data Transmission and/or Internet Access","EDDYVILLE BLAKESBURG FREMONT CSD","4116.00","70.0"
"2021","Data Transmission and/or Internet Access","Great Prairie AEA Consortium","49224.92","63.00"
"2021","Data Transmission and/or Internet Access","EAST BUCHANAN COMM SCHOOL DIST","3164.00","70.0"
"2021","Data Transmission and/or Internet Access","DIKE-NEW HARTFORD SCHOOL DIST","18055.20","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","ACKLEY-GENEVA WELLSBURG STEAMBOAT ROCK SCHOOL","10363.50","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","ALLAMAKEE COMMUNITY SCHOOL DISTRICT","17900.40","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","ACKLEY-GENEVA WELLSBURG STEAMBOAT ROCK SCHOOL","5922.00","70.0"
"2020","BASIC MAINTENANCE OF INTERNAL CONNECTIONS","MADRID COMMUNITY SCHOOL DIST","1555.20","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","NORTH BUTLER COMMUNITY SCHOOL DISTRICT","16276.40","7000"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","OLIN CONS SCHOOL DISTRICT","3807.00","90.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","RIVERSIDE COMMUNITY SCHOOL DISTRICT","10488.02","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SOUTH PAGE COMMUNITY SCHOOL DISTRICT","3384.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","VILLISCA COMMUNITY SCHOOL DISTRICT","6768.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WEST CENTRAL VALLEY COMMUNITY SCHOOL DISTRICT","9055.20","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","ALDEN COMMUNITY SCHOOL DISTRICT","2592.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","ALBIA COMMUNITY SCHOOL DISTRICT","12096.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","ANAMOSA COMMUNITY SCHOOL DISTRICT","21064.40","70.0"
"2020","MANAGED INTERNAL BROADBAND","CLARION-GOLDFIELD DOWS COMMUNITY SCHOOL DISTRICT","1664.00","80.0"
"2020","INTERNAL CONNECTIONS","MELCHER-DALLAS COMMUNITY SCHOOL DISTRICT","1814.40","70.0"
"2020","MANAGED INTERNAL BROADBAND","CENTRAL LEE COMMUNITY SCHOOL DISTRICT","1324.51","70.0"
"2020","MANAGED INTERNAL BROADBAND","HAMPTON-DUMONT COMMUNITY SCHOOL DISTRICT","1534.46","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WINTERSET COMMUNITY SCHOOL DISTRICT","104773.20","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WINTERSET COMMUNITY SCHOOL DISTRICT","23255.40","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WINTERSET COMMUNITY SCHOOL DISTRICT","9609.60","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WILLIAMSBURG COMMUNITY SCHOOL DISTRICT","10740.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WINFIELD-MOUNT UNION COMMUNITY SCHOOL DISTRICT","6768.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WHITING COMMUNITY SCHOOL DISTRICT","6768.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WOODBINE COMMUNITY SCHOOL DISTRICT","2961.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WEST MARSHALL COMMUNITY SCHOOL DISTRICT","10368.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WESTERN DUBUQUE COMMUNITY SCHOOL DISTRICT","4824.00","50.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WEST LYON COMMUNITY SCHOOL DISTRICT","5076.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WEST DELAWARE COMMUNITY SCHOOL DISTRICT","13818.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WESTWOOD COMMUNITY SCHOOL DISTRICT","10488.00","60.0"
"2020","INTERNAL CONNECTIONS","CLARINDA COMMUNITY SCHOOL DISTRICT","1290.60","48.00"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WEST FORK COMMUNITY SCHOOL DISTRICT","14238.00","600"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WAYNE COMMUNITY SCHOOL DISTRICT","13984.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WEBSTER CITY COMMUNITY SCHOOL DISTRICT","10503.50","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WAUKEE COMMUNITY SCHOOL DISTRICT","32259.84","40.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WAPELLO COMMUNITY SCHOOL DISTRICT","8244.32","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WASHINGTON COMMUNITY SCHOOL DISTRICT","12740.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WACO COMMUNITY SCHOOL DISTRICT","6062.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WEST BURLINGTON INDEPENDET SCHOOL DISTRICT","5027.52","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","VAN METER COMMUNITY SCHOOL DISTRICT","7357.60","50.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","VAN BUREN COUNTY COMMUNITY SCHOOL DISTRICT","9023.00","70.0"
"2020","INTERNAL CONNECTIONS","DIAGONAL COMMUNITY SCHOOL DISTRICT","1366.21","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","TWIN RIVERS COMMUNITY SCHOOL DISTRICT","3616.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","UNITED COMMUNITY SCHOOL DISTRICT","5027.52","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","URBANDALE COMMUNITY SCHOOL DISTRICT","10500.00","50.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","VINTON-SHELLSBURG COMMUNITY SCHOOL DISTRICT","11844.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","WEST CENTRAL COMMUNITY SCHOOL DISTRICT","4939.20","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","TREYNOR COMMUNITY SCHOOL DISTRICT","6342.00","50.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","TRI-CENTER COMMUNITY SCHOOL DISTRICT","2538.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","TIPTON COMMUNITY SCHOOL DISTRICT","13651.20","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","ST. EDMOND CATHOLIC SCHOOLS/FORT DODGE","1692.00","40.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","STARMONT COMMUNITY SCHOOL DISTRICT","11524.80","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","ST JOSEPH COMMUNITY CATHOLIC SCHOOL /NEW HAMPTON","3164.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","TRI-COUNTY COMMUNITY SCHOOL DISTRICT","6768.00","8000"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SOUTHEAST WARREN COMMUNITY SCHOOL DISTRICT","7066.56","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SPENCER COMMUNITY SCHOOL DISTRICT","2856.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SOUTHEAST  POLK COMMUNITY SCHOOL DISTRICT","2592.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SOUTH TAMA COUNTY COMMUNITY SCHOOL DISTRICT","13984.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SPRINGVILLE COMMUNITY SCHOOL DISTRICT","7066.56","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SOUTH WINNESHIED COMMUNITY SCHOOL DISTRICT","11524.80","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","TRIPOLI COMMUNITY SCHOOL DISTRICT","5027.52","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SOUTH CENTRAL CALHOUN COMMUNITY SCHOOL DISTRICT","5922.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SOUTH CENTRAL CALHOUN COMMUNITY SCHOOL DISTRICT","6062.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SOLON PUBLIC LIBRARY","1290.60","57.00"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SIGOURNEY COMMUNITY SCHOOL DISTRICT","8883.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SOLON COMMUNITY SCHOOL DISTRICT","5287.50","50.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SIDNEY COMMUNITY SCHOOL DISTRICT","7402.50","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SOUTH HAMILTON COMMUNITY SCHOOL DISTRICT","9003.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SCHLESWIG COMMUNITY SCHOOL DISTRICT","6062.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SEYMOUR COMMUNITY SCHOOL DISTRICT","3384.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SCHALLER-CRESTLAND COMMUNITY SCHOOL DISTRICT","4415.04","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","ROCKWELL CITY PUBLIC LIBRARY","1895.04","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","TURKEY VALLEY COMMUNITY SCHOOL DISTRICT","7881.60","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SHENANDOAH COMMUNITY SCHOOL DISTRICT","28704.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SAYDEL COMMUNITY SCHOOL DISTRICT","15732.00","90.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","SOUTH PAGE COMMUNITY SCHOOL DISTRICT","3384.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","PRAIRIE LAKES AREA ED AGENCY","25368.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","PRAIRIE VALLEY COMMUNITY SCHOOL DISTRICT","976.50","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","POSTVILLE COMMUNITY SCHOOL DISTRICT","12700.80","90.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","POCAHONTAS AREA COMMUNITY SCHOOL DISTRICT","14016.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","POSTVILLE COMMUNITY SCHOOL DISTRICT","1255.50","90.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","PLEASANTVILLE COMMUNITY SCHOOL DISTRICT","6081.60","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","PRINCE OF PEACE EDUCATION SYSTEM/CLINTON","3592.70","50.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","PELLA  CHRISTIAN GRADE SCHOOL","2260.00","50.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","PELLA CHRISTIAN HIGH SCHOOL","4230.00","50.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","PEKIN COMMUNITY SCHOOL DISTRICT","8829.12","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","ORIENT-MACKSBURG COMMUNITY SCHOOL DISTRICT","6300.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","PERRY COMMUNITY SCHOOL DISTRICT","29030.40","90.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","OTTUMWA COMMUNITY SCHOOL DISTRICT","27753.60","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","REGINA SCHOOL SYSTEM/IOWA CITY","7056.00","40.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","NORTHWEST AREA EDUCATION AGENCY/SIOUX CITY","3390.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","NORWALK COMMUNITY SCHOOL DISTRICT","11844.00","50.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","NORTHWEST AREA EDUCATION AGENCY/SIOUX CITY","1020.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","NORTHEAST HAMILTON COMMUNITY SCHOOL DISTRICT","3164.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","NORTHWEST AREA EDUCATION AGENCY/SIOUX CITY","1020.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","NORTHEAST COMMUNITY SCHOOL DISTRICT","9003.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","ODEBOLT ARTHUR BATTLE CREEL IDA GROVE COMMUNITY SCHOOL DISTRICT","2961.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","NORTH LINN COMMUNITY SCHOOL DISTRICT","7614.00","60.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","NORTH CEDAR COMMUNITY SCHOOL DISTRICT","5865.44","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","NORTH TAMA COMMUNITY SCHOOL DISTRICT","7542.50","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","RIVER VALLEY COMMUNITY SCHOOL DISTRICT","10363.50","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","NODAWAY VALLEY COMMUNITY SCHOOL DISTRICT","14238.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","TWIN CEDARS COMMUNITY SCHOOL DISTRICT","6062.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","NORTH UNION COMMUNITY SCHOOL DISTRICT","3384.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","NORTH BUTLER COMMUNITY SCHOOL DISTRICT","7285.60","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","ODEBOLT ARTHUR BATTLE CREEL IDA GROVE COMMUNITY SCHOOL DISTRICT","5922.00","70.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","MOULTON-UDELL COMMUNITY SCHOOL DISTRICT","3384.00","80.0"
"2020","DATA TRANSMISSION AND/OR INTERNET ACCESS","MOUNT PLEASANT COMMUNITY SCHOOL DISTRICT","18950.40","80.0"
