"case_number","datetime","month","weekday","nature","address","district","agency","report","georeference"
"B16-02484","2016-01-19T23:02:55.000","January","Tuesday","DISTURBANCE IP","430 E KIRKWOOD AVE","LB104","BPD","REPORT","POINT (-86.528512 39.166533)"
"B16-02494","2016-01-20T00:15:31.000","January","Wednesday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-02500","2016-01-20T03:04:18.000","January","Wednesday","NOISE","702 N COLLEGE AVE","LB519","BPD","NO REPORT","POINT (-86.534801 39.173596)"
"B16-02513","2016-01-20T11:27:33.000","January","Wednesday","DISTURBANCE IP","1709 W 8TH ST","LB521","BPD","NO REPORT","POINT (-86.555543 39.169622)"
"B16-02522","2016-01-20T13:28:20.000","January","Wednesday","DISTURBANCE IP","620 S WALNUT ST","LB410","BPD","NO REPORT","POINT (-86.533661 39.158588)"
"B16-02525","2016-01-20T13:49:39.000","January","Wednesday","PANHANDLING","E 3RD ST & S PETE ELLIS DR","LB305","BPD","NO REPORT","POINT (-86.494902 39.164236)"
"B16-02538","2016-01-20T15:32:38.000","January","Wednesday","DISTURBANCE IP","2328 S BRANDON CT","LB326","BPD","NO REPORT",
"B16-02537","2016-01-20T15:33:42.000","January","Wednesday","DISTURBANCE IP","2326 S BRANDON CT","LB326","BPD","NO REPORT","POINT (-86.52554 39.13885)"
"B16-02548","2016-01-20T16:12:35.000","January","Wednesday","DISTURBANCE NP","3042 E AMY LN","LB221","BPD","REPORT","POINT (-86.498362 39.1694)"
"B16-02569","2016-01-20T19:23:13.000","January","Wednesday","DISTURBANCE IP","401 N MORTON ST","LB101","BPD","NO REPORT","POINT (-86.536074 39.172116)"
"B16-02570","2016-01-20T19:25:16.000","January","Wednesday","DISTURBANCE IP","401 N MORTON ST","LB101","BPD","NO REPORT","POINT (-86.536074 39.172116)"
"B16-02578","2016-01-20T19:44:51.000","January","Wednesday","NOISE","1500 E MAXWELL LN","LB312","BPD","NO REPORT","POINT (-86.514343 39.157793)"
"B16-02584","2016-01-20T21:14:30.000","January","Wednesday","NOISE","329 W 1ST ST","LB409","BPD","NO REPORT","POINT (-86.537678 39.159399)"
"B16-02608","2016-01-21T00:31:21.000","January","Thursday","NOISE","2372 S WINSLOW CT","LB326","BPD","NO REPORT","POINT (-86.524166 39.137057)"
"B16-02606","2016-01-21T00:32:22.000","January","Thursday","DISTURBANCE IP","N LINCOLN ST & E 8TH ST","LB102","BPD","NO REPORT","POINT (-86.531056 39.169468)"
"B16-02613","2016-01-21T01:45:48.000","January","Thursday","NOISE","524 N COLLEGE AVE","LB101","BPD","NO REPORT","POINT (-86.534833 39.171256)"
"B16-02614","2016-01-21T01:55:25.000","January","Thursday","DISTURBANCE IP","3134 S ACADIA CT","LB329","BPD","NO REPORT","POINT (-86.519575 39.13464)"
"B16-02715","2016-01-21T18:46:21.000","January","Thursday","PANHANDLING","3100 S WALNUT STREET PIKE","LB336","BPD","REPORT","POINT (-86.526785 39.128164)"
"B16-02726","2016-01-21T20:52:30.000","January","Thursday","NOISE","703 W GOURLEY PIKE","LB513","BPD","NO REPORT","POINT (-86.540628 39.18507)"
"B16-02729","2016-01-21T22:04:53.000","January","Thursday","DISTURBANCE IP","911 W CASCADE AVE","LB513","BPD","NO REPORT","POINT (-86.543706 39.185137)"
"B16-02730","2016-01-21T22:09:58.000","January","Thursday","NOISE","702 N COLLEGE AVE","LB519","BPD","NO REPORT","POINT (-86.534801 39.173596)"
"B16-02732","2016-01-21T22:12:40.000","January","Thursday","NOISE","420 S GRANT ST","LB104","BPD","NO REPORT","POINT (-86.529846 39.162109)"
"B16-02738","2016-01-21T22:12:55.000","January","Thursday","NOISE","702 N COLLEGE AVE","LB519","BPD","NO REPORT","POINT (-86.534801 39.173596)"
"B16-02735","2016-01-21T22:14:05.000","January","Thursday","NOISE","S THE STANDS DR & E LINDEN HILL DR","LB331","BPD","NO REPORT","POINT (-86.507596 39.133773)"
"B16-02737","2016-01-21T22:32:19.000","January","Thursday","NOISE","N WASHINGTON ST & E 8TH ST","LB102","BPD","NO REPORT","POINT (-86.532321 39.169476)"
"B16-02740","2016-01-21T22:44:31.000","January","Thursday","NOISE","212 N MORTON ST","LB101","BPD","NO REPORT","POINT (-86.536154 39.167564)"
"B16-02749","2016-01-21T23:44:16.000","January","Thursday","NOISE","690 E 1ST ST","LB302","BPD","NO REPORT",
"B16-02748","2016-01-21T23:53:08.000","January","Thursday","DISTURBANCE IP","620 W KIRKWOOD AVE","LB520","BPD","NO REPORT","POINT (-86.540738 39.166625)"
"B16-02754","2016-01-22T00:27:08.000","January","Friday","NOISE","525 S PATTERSON DR","LB406","BPD","NO REPORT","POINT (-86.550545 39.162681)"
"B16-02757","2016-01-22T00:49:21.000","January","Friday","VANDALISM NP","2500 S ROCKPORT RD","LB424","BPD","REPORT","POINT (-86.543817 39.141343)"
"B16-02762","2016-01-22T01:37:44.000","January","Friday","NOISE","2900 W ALDER CT","LB415","BPD","NO REPORT","POINT (-86.57042 39.15526)"
"B16-02767","2016-01-22T02:10:48.000","January","Friday","DISTURBANCE IP","305 E WINSLOW RD","LB326","BPD","NO REPORT","POINT (-86.524046 39.135949)"
"B16-02773","2016-01-22T03:37:22.000","January","Friday","VANDALISM IP","212 N MORTON ST","LB101","BPD","REPORT","POINT (-86.536154 39.167564)"
"B16-02782","2016-01-22T06:38:55.000","January","Friday","DISTURBANCE IP","205 E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.531848 39.16655)"
"B16-02801","2016-01-22T11:30:58.000","January","Friday","DISTURBANCE IP","S GRANT ST & E 4TH ST","LB104","BPD","NO REPORT","POINT (-86.529818 39.165558)"
"B16-02819","2016-01-22T14:25:17.000","January","Friday","VANDALISM NP","277 W 11TH ST","LB519","BPD","REPORT","POINT (-86.535744 39.173267)"
"B16-02838","2016-01-22T16:09:59.000","January","Friday","NOISE","3801 E MORNINGSIDE DR","LB220","BPD","NO REPORT","POINT (-86.482424 39.166249)"
"B16-02855","2016-01-22T19:04:48.000","January","Friday","DISTURBANCE IP","S WALNUT ST & E KIRKWOOD AVE",,"BPD","NO REPORT","POINT (-86.533629 39.166582)"
"B16-02881","2016-01-22T22:13:21.000","January","Friday","DISTURBANCE IP","430 E KIRKWOOD AVE","LB104","BPD","REPORT","POINT (-86.528512 39.166533)"
"B16-02882","2016-01-22T22:14:05.000","January","Friday","VANDALISM IP","1209 W 12TH ST","LB517","BPD","NO REPORT","POINT (-86.548161 39.17423)"
"B16-02894","2016-01-22T22:57:47.000","January","Friday","NOISE","780 S BASSWOOD DR","LB415","BPD","NO REPORT","POINT (-86.572511 39.153693)"
"B16-02900","2016-01-22T23:31:07.000","January","Friday","NOISE","703 W GOURLEY PIKE","LB513","BPD","NO REPORT","POINT (-86.540628 39.18507)"
"B16-02902","2016-01-22T23:49:14.000","January","Friday","NOISE","430 S DUNN ST","LB104","BPD","NO REPORT","POINT (-86.528397 39.161826)"
"B16-02907","2016-01-23T00:34:14.000","January","Saturday","NOISE","503 S MULLER PKWY","LB404","BPD","NO REPORT","POINT (-86.567708 39.16102)"
"B16-02911","2016-01-23T01:32:45.000","January","Saturday","DISTURBANCE IP","430 E KIRKWOOD AVE","LB104","BPD","NO REPORT","POINT (-86.528512 39.166533)"
"B16-02936","2016-01-23T10:33:23.000","January","Saturday","PANHANDLING","1825 N KINSER PIKE","LB510","BPD","NO REPORT","POINT (-86.537725 39.187634)"
"B16-02968","2016-01-23T15:17:56.000","January","Saturday","PANHANDLING","115 S WALNUT ST","LB104","BPD","NO REPORT","POINT (-86.533633 39.16594)"
"B16-02978","2016-01-23T16:30:06.000","January","Saturday","NOISE","606 S PARK AVE","LB302","BPD","NO REPORT","POINT (-86.523994 39.160967)"
"B16-02998","2016-01-23T19:09:56.000","January","Saturday","DISTURBANCE IP","3001 E 3RD ST","LB221","BPD","NO REPORT","POINT (-86.494154 39.164237)"
"B16-03004","2016-01-23T19:35:42.000","January","Saturday","VANDALISM NP","1211 W 13TH ST","LB517","BPD","REPORT","POINT (-86.550012 39.174996)"
"B16-03006","2016-01-23T20:04:47.000","January","Saturday","NOISE","506 S MULLER PKWY","LB404","BPD","NO REPORT","POINT (-86.568145 39.160733)"
"B16-03008","2016-01-23T20:26:06.000","January","Saturday","NOISE","1600 N WILLIS DR","LB513","BPD","NO REPORT","POINT (-86.544081 39.18099)"
"B16-03012","2016-01-23T20:51:31.000","January","Saturday","DISTURBANCE IP","430 E KIRKWOOD AVE","LB104","BPD","NO REPORT","POINT (-86.528512 39.166533)"
"B16-03014","2016-01-23T21:13:11.000","January","Saturday","VANDALISM NP","315 E 8TH ST","LB102","BPD","REPORT","POINT (-86.530502 39.169466)"
"B16-03039","2016-01-23T23:40:27.000","January","Saturday","DISTURBANCE IP","N WALNUT ST & W 11TH ST","LB213","BPD","NO REPORT","POINT (-86.533568 39.173274)"
"B16-03047","2016-01-24T00:10:57.000","January","Sunday","VANDALISM IP","N WALNUT ST & E 14TH ST","LB519","BPD","NO REPORT","POINT (-86.533541 39.175954)"
"B16-03050","2016-01-24T00:21:33.000","January","Sunday","DISTURBANCE IP","1730 S WALNUT ST","LB421","BPD","REPORT","POINT (-86.532906 39.147571)"
"B16-03053","2016-01-24T00:35:43.000","January","Sunday","NOISE","320 S DUNN ST","LB104","BPD","NO REPORT","POINT (-86.528455 39.163828)"
"B16-03054","2016-01-24T00:51:52.000","January","Sunday","DISTURBANCE IP","1308 E ATWATER AVE","LB303","BPD","NO REPORT","POINT (-86.517113 39.163061)"
"B16-03059","2016-01-24T01:30:31.000","January","Sunday","NOISE","801 W 11TH ST","LB518","BPD","NO REPORT","POINT (-86.54244 39.173256)"
"B16-03060","2016-01-24T01:49:50.000","January","Sunday","NOISE","3305 S ODELL DR","LB336","BPD","NO REPORT","POINT (-86.52876 39.12652)"
"B16-03068","2016-01-24T02:40:33.000","January","Sunday","DISTURBANCE IP","320 N WALNUT ST","LB102","BPD","NO REPORT","POINT (-86.53359 39.169337)"
"B16-03080","2016-01-24T04:32:05.000","January","Sunday","DISTURBANCE IP","2305 E 2ND ST","LB304","BPD","REPORT","POINT (-86.504698 39.160942)"
"B16-03085","2016-01-24T07:37:00.000","January","Sunday","DISTURBANCE IP","1208 N DUNN ST","LB214","BPD","REPORT","POINT (-86.528339 39.177352)"
"B16-03088","2016-01-24T08:16:10.000","January","Sunday","VANDALISM NP","1421 W HABITAT ST","LB521","BPD","REPORT","POINT (-86.551812 39.169066)"
"B16-03100","2016-01-24T10:44:49.000","January","Sunday","DISTURBANCE IP","1722 N WALNUT ST","LB212","BPD","NO REPORT","POINT (-86.534048 39.182809)"
"B16-03107","2016-01-24T12:05:28.000","January","Sunday","DISTURBANCE IP","2331 S BRANDON CT","LB326","BPD","NO REPORT","POINT (-86.52553 39.13873)"
"B16-03130","2016-01-24T16:02:17.000","January","Sunday","NOISE","3801 E MORNINGSIDE DR","LB220","BPD","NO REPORT","POINT (-86.482424 39.166249)"
"B16-03137","2016-01-24T17:41:39.000","January","Sunday","DISTURBANCE IP","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-03138","2016-01-24T17:52:14.000","January","Sunday","VANDALISM IP","3901 N KINSER PIKE","LB508","BPD","REPORT","POINT (-86.547255 39.200988)"
"B16-03142","2016-01-24T17:53:21.000","January","Sunday","NOISE","1514 E MAXWELL LN","LB312","BPD","NO REPORT","POINT (-86.513519 39.157793)"
"B16-03139","2016-01-24T17:55:03.000","January","Sunday","DISTURBANCE IP","2819 E 3RD ST","LB221","BPD","NO REPORT","POINT (-86.495277 39.164236)"
"B16-03146","2016-01-24T18:51:48.000","January","Sunday","DISTURBANCE IP","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-03165","2016-01-24T22:33:24.000","January","Sunday","NOISE","310 W 12TH ST","LB519","BPD","NO REPORT","POINT (-86.537125 39.17402)"
"B16-03177","2016-01-25T00:43:40.000","January","Monday","NOISE","400 E 2ND ST","LB301","BPD","NO REPORT","POINT (-86.529724 39.161348)"
"B16-03178","2016-01-25T01:05:04.000","January","Monday","NOISE","1923 N DUNN ST","LB212","BPD","NO REPORT","POINT (-86.528333 39.184434)"
"B16-03181","2016-01-25T02:45:13.000","January","Monday","NOISE","3412 S ACADIA CT","LB329","BPD","NO REPORT",
"B16-03188","2016-01-25T06:48:24.000","January","Monday","DISTURBANCE IP","275 E WINSLOW RD","LB327","BPD","NO REPORT","POINT (-86.527295 39.135994)"
"B16-03211","2016-01-25T11:40:43.000","January","Monday","PANHANDLING","3233 W 3RD ST","LB403","BPD","NO REPORT","POINT (-86.575674 39.164541)"
"B16-03257","2016-01-25T18:14:27.000","January","Monday","DISTURBANCE IP","N LINCOLN ST & E 6TH ST","LB102","BPD","NO REPORT","POINT (-86.531071 39.167544)"
"B16-03267","2016-01-25T19:25:31.000","January","Monday","DISTURBANCE NP","2966 E 3RD ST","LB305","BPD","NO REPORT","POINT (-86.494187 39.164237)"
"B16-03317","2016-01-26T07:41:46.000","January","Tuesday","DISTURBANCE IP","2206 E 8TH ST","LB222","BPD","NO REPORT","POINT (-86.506387 39.169498)"
"B16-03323","2016-01-26T08:52:49.000","January","Tuesday","DISTURBANCE IP","220 E 3RD ST","LB104","BPD","NO REPORT","POINT (-86.531543 39.164582)"
"B16-03376","2016-01-26T15:36:23.000","January","Tuesday","DISTURBANCE IP","1917 S LIBERTY DR","LB416","BPD","REPORT","POINT (-86.576929 39.149169)"
"B16-03405","2016-01-26T17:59:39.000","January","Tuesday","DISTURBANCE IP","514 W DAVIS ST","LB412","BPD","NO REPORT","POINT (-86.539562 39.15453)"
"B16-03416","2016-01-26T18:20:15.000","January","Tuesday","VANDALISM NP","425 E WYLIE ST","LB301","BPD","REPORT","POINT (-86.528745 39.158331)"
"B16-03422","2016-01-26T19:43:20.000","January","Tuesday","DISTURBANCE IP","W STATE ROAD 45 46 BYPASS & N MONROE ST","LB510","BPD","NO REPORT","POINT (-86.54668 39.186823)"
"B16-03446","2016-01-26T22:42:09.000","January","Tuesday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-03455","2016-01-27T00:05:46.000","January","Wednesday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-03461","2016-01-27T01:03:15.000","January","Wednesday","NOISE","600 E 1ST ST","LB302","BPD","NO REPORT",
"B16-03463","2016-01-27T02:01:57.000","January","Wednesday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-03464","2016-01-27T02:12:43.000","January","Wednesday","DISTURBANCE IP","1201 W ALLEN ST","LB413","BPD","NO REPORT","POINT (-86.546723 39.154303)"
"B16-03496","2016-01-27T10:06:20.000","January","Wednesday","VANDALISM NP","940 N WALNUT ST","LB213","BPD","REPORT","POINT (-86.533543 39.175557)"
"B16-03523","2016-01-27T14:24:52.000","January","Wednesday","PANHANDLING","907 W 11TH ST","LB518","BPD","REPORT","POINT (-86.544467 39.173256)"
"B16-03535","2016-01-27T16:12:51.000","January","Wednesday","DISTURBANCE IP","703 W GOURLEY PIKE","LB513","BPD","NO REPORT","POINT (-86.540628 39.18507)"
"B16-03540","2016-01-27T17:04:55.000","January","Wednesday","VANDALISM IP","714 W KIRKWOOD AVE","LB520","BPD","NO REPORT","POINT (-86.541527 39.166627)"
"B16-03541","2016-01-27T17:24:26.000","January","Wednesday","DISTURBANCE NP","2373 S WINSLOW CT","LB326","BPD","NO REPORT","POINT (-86.524166 39.137057)"
"B16-03566","2016-01-27T20:24:23.000","January","Wednesday","DISTURBANCE IP","2311 S BRANDON CT","LB326","BPD","NO REPORT","POINT (-86.52555 39.13919)"
"B16-03594","2016-01-28T00:11:01.000","January","Thursday","DISTURBANCE IP","503 W KIRKWOOD AVE","LB408","BPD","NO REPORT","POINT (-86.539185 39.166617)"
"B16-03596","2016-01-28T01:12:08.000","January","Thursday","DISTURBANCE IP","116 S INDIANA AVE","LB104","BPD","NO REPORT","POINT (-86.526911 39.165818)"
"B16-03608","2016-01-28T04:49:55.000","January","Thursday","VANDALISM IP","2100 N WALNUT ST","LB212","BPD","NO REPORT","POINT (-86.534475 39.185249)"
"B16-03610","2016-01-28T05:16:03.000","January","Thursday","DISTURBANCE IP","1412 W 12TH ST","LB517","BPD","REPORT","POINT (-86.551005 39.174237)"
"B16-03623","2016-01-28T08:58:27.000","January","Thursday","VANDALISM NP","528 S COLLEGE AVE","LB410","BPD","REPORT","POINT (-86.534959 39.160262)"
"B16-03629","2016-01-28T10:19:57.000","January","Thursday","VANDALISM NP","430 S WASHINGTON ST","LB104","BPD","REPORT","POINT (-86.532394 39.161552)"
"B16-03657","2016-01-28T13:36:29.000","January","Thursday","DISTURBANCE IP","3068 E 3RD ST","LB305","BPD","NO REPORT","POINT (-86.492549 39.164235)"
"B16-03659","2016-01-28T13:41:48.000","January","Thursday","DISTURBANCE NP","1261 W ALLEN ST","LB413","BPD","NO REPORT","POINT (-86.547405 39.15505)"
"B16-03663","2016-01-28T14:03:35.000","January","Thursday","PANHANDLING","3175 W 3RD ST","LB403","BPD","REPORT","POINT (-86.574878 39.16452)"
"B16-03682","2016-01-28T16:51:53.000","January","Thursday","NOISE","2304 S ROGERS ST","LB423","BPD","NO REPORT","POINT (-86.538915 39.142482)"
"B16-03687","2016-01-28T17:25:33.000","January","Thursday","VANDALISM NP","W 17TH ST & N ARLINGTON PARK DR","LB517","BPD","REPORT","POINT (-86.554076 39.179124)"
"B16-03684","2016-01-28T17:28:01.000","January","Thursday","VANDALISM IP","1220 N ARLINGTON PARK DR","LB514","BPD","NO REPORT","POINT (-86.55408 39.179283)"
"B16-03690","2016-01-28T17:51:48.000","January","Thursday","VANDALISM NP","2700 E BRIGS BND","LB320","BPD","NO REPORT","POINT (-86.48601 39.144748)"
"B16-03699","2016-01-28T18:43:29.000","January","Thursday","NOISE","612 S STATE ROAD 446","LB307","BPD","NO REPORT","POINT (-86.471592 39.16027)"
"B16-03705","2016-01-28T19:39:03.000","January","Thursday","NOISE","612 S STATE ROAD 446","LB307","BPD","NO REPORT","POINT (-86.471592 39.16027)"
"B16-03735","2016-01-28T23:21:58.000","January","Thursday","NOISE","702 N COLLEGE AVE","LB519","BPD","NO REPORT","POINT (-86.534801 39.173596)"
"B16-03739","2016-01-28T23:46:52.000","January","Thursday","NOISE","612 S STATE ROAD 446","LB307","BPD","NO REPORT","POINT (-86.471592 39.16027)"
"B16-03736","2016-01-28T23:48:49.000","January","Thursday","NOISE","116 N WALNUT ST","LB102","BPD","NO REPORT","POINT (-86.533627 39.166729)"
"B16-03743","2016-01-29T01:59:38.000","January","Friday","NOISE","3511 S HEATHERWOOD LN","LB428","BPD","NO REPORT","POINT (-86.589543 39.128629)"
"B16-03745","2016-01-29T02:43:32.000","January","Friday","DISTURBANCE IP","271 E VARSITY LN","LB212","BPD","NO REPORT","POINT (-86.530771 39.183608)"
"B16-03752","2016-01-29T04:21:50.000","January","Friday","VANDALISM NP","1201 W GREEN TREE LN","LB413","BPD","NO REPORT","POINT (-86.54647 39.156038)"
"B16-03753","2016-01-29T04:38:30.000","January","Friday","VANDALISM IP","653 E BAYBERRY CT W","LB326","BPD","REPORT","POINT (-86.525486 39.142746)"
"B16-03768","2016-01-29T08:38:44.000","January","Friday","VANDALISM NP","503 S VILLAGE CT","LB402","BPD","REPORT","POINT (-86.590952 39.162088)"
"B16-03793","2016-01-29T13:04:02.000","January","Friday","VANDALISM NP","801 W 7TH ST","LB520","BPD","REPORT","POINT (-86.542372 39.168625)"
"B16-03799","2016-01-29T13:29:05.000","January","Friday","DISTURBANCE NP","3070 N PROW RD","LB508","BPD","REPORT","POINT (-86.551956 39.198076)"
"B16-03830","2016-01-29T16:20:06.000","January","Friday","VANDALISM NP","359 S LANDMARK AVE","LB405","BPD","REPORT","POINT (-86.556277 39.163436)"
"B16-03862","2016-01-29T19:14:00.000","January","Friday","NOISE","2264 S OAKDALE DR","LB417","BPD","NO REPORT","POINT (-86.567625 39.145701)"
"B16-03865","2016-01-29T20:22:02.000","January","Friday","NOISE","352 E VARSITY LN","LB212","BPD","NO REPORT","POINT (-86.529858 39.183601)"
"B16-03875","2016-01-29T20:56:28.000","January","Friday","NOISE","528 S BASSWOOD DR","LB404","BPD","NO REPORT","POINT (-86.56987 39.158346)"
"B16-03867","2016-01-29T21:03:35.000","January","Friday","PANHANDLING","401 S WALNUT ST","LB104","BPD","NO REPORT","POINT (-86.533637 39.162848)"
"B16-03891","2016-01-29T23:58:16.000","January","Friday","DISTURBANCE IP","1722 N WALNUT ST","LB212","BPD","NO REPORT","POINT (-86.534048 39.182809)"
"B16-03898","2016-01-30T00:47:59.000","January","Saturday","ALCOHOL RELATED","N COLLEGE AVE & W 17TH ST","LB519","BPD","NO REPORT","POINT (-86.534699 39.179002)"
"B16-03909","2016-01-30T05:29:31.000","January","Saturday","DISTURBANCE IP","3802 W PARKVIEW CT","LB507","BPD","NO REPORT","POINT (-86.546513 39.199938)"
"B16-03932","2016-01-30T11:05:35.000","January","Saturday","VANDALISM NP","2440 S HENDERSON ST","LB327","BPD","REPORT","POINT (-86.526917 39.137488)"
"B16-03943","2016-01-30T12:59:44.000","January","Saturday","DISTURBANCE IP","1101 S ROGERS ST","LB412","BPD","NO REPORT","POINT (-86.538716 39.155499)"
"B16-03957","2016-01-30T13:10:25.000","January","Saturday","NOISE","1366 N ARLINGTON PARK DR","LB514","BPD","NO REPORT","POINT (-86.554095 39.180036)"
"B16-03951","2016-01-30T13:28:31.000","January","Saturday","VANDALISM NP","2474 S WINSLOW CT","LB326","BPD","REPORT","POINT (-86.523882 39.136183)"
"B16-03953","2016-01-30T14:00:39.000","January","Saturday","NOISE","2304 S ROGERS ST","LB423","BPD","NO REPORT","POINT (-86.538915 39.142482)"
"B16-03955","2016-01-30T14:32:05.000","January","Saturday","DISTURBANCE IP","2455 N TAMARACK TRL","LB210","BPD","NO REPORT","POINT (-86.52088 39.192001)"
"B16-03962","2016-01-30T14:47:42.000","January","Saturday","NOISE","719 N WASHINGTON ST","LB213","BPD","NO REPORT","POINT (-86.532315 39.173482)"
"B16-03960","2016-01-30T14:52:32.000","January","Saturday","DISTURBANCE IP","N LINCOLN ST & E 6TH ST","LB102","BPD","NO REPORT","POINT (-86.531071 39.167544)"
"B16-03965","2016-01-30T15:15:57.000","January","Saturday","VANDALISM NP","2044 S OAKDALE DR","LB417","BPD","REPORT","POINT (-86.568024 39.145427)"
"B16-03977","2016-01-30T16:10:16.000","January","Saturday","NOISE","719 N WASHINGTON ST","LB213","BPD","NO REPORT","POINT (-86.532315 39.173482)"
"B16-03999","2016-01-30T16:37:37.000","January","Saturday","NOISE","N GRANT ST & E 12TH ST","LB213","BPD","NO REPORT","POINT (-86.529742 39.174361)"
"B16-03980","2016-01-30T16:37:41.000","January","Saturday","NOISE","810 N WASHINGTON ST","LB213","BPD","NO REPORT","POINT (-86.532307 39.173947)"
"B16-03982","2016-01-30T16:41:42.000","January","Saturday","VANDALISM NP","717 N WASHINGTON ST","LB213","BPD","NO REPORT","POINT (-86.53232 39.17323)"
"B16-03990","2016-01-30T17:37:34.000","January","Saturday","DISTURBANCE IP","536 N COLLEGE AVE","LB101","BPD","REPORT","POINT (-86.534832 39.171563)"
"B16-03993","2016-01-30T17:57:14.000","January","Saturday","DISTURBANCE IP","422 E KIRKWOOD AVE","LB104","BPD","NO REPORT","POINT (-86.528817 39.166532)"
"B16-03996","2016-01-30T18:06:13.000","January","Saturday","NOISE","2611 E 2ND ST","LB304","BPD","NO REPORT","POINT (-86.499823 39.160925)"
"B16-03995","2016-01-30T18:21:11.000","January","Saturday","PANHANDLING","S GRANT ST & E KIRKWOOD AVE","LB102","BPD","REPORT","POINT (-86.529793 39.166539)"
"B16-04001","2016-01-30T18:59:45.000","January","Saturday","DISTURBANCE IP","510 S COLLEGE MALL RD","LB305","BPD","REPORT","POINT (-86.497962 39.162277)"
"B16-04006","2016-01-30T19:10:10.000","January","Saturday","NOISE","S ROCKPORT RD & W COUNTRYSIDE LN","LB420","BPD","NO REPORT","POINT (-86.54182 39.143378)"
"B16-04019","2016-01-30T20:28:37.000","January","Saturday","NOISE","411 E 8TH ST","LB102","BPD","NO REPORT","POINT (-86.529065 39.169484)"
"B16-04032","2016-01-30T22:15:48.000","January","Saturday","NOISE","113 E 15TH ST","LB213","BPD","NO REPORT","POINT (-86.532813 39.176852)"
"B16-04053","2016-01-30T23:23:51.000","January","Saturday","NOISE","N COLLEGE AVE & W 10TH ST","LB101","BPD","NO REPORT","POINT (-86.534831 39.171675)"
"B16-04051","2016-01-30T23:41:07.000","January","Saturday","VANDALISM NP","3920 W MAYBURY MALL","LB428","BPD","NO REPORT","POINT (-86.581587 39.131485)"
"B16-04052","2016-01-30T23:52:12.000","January","Saturday","VANDALISM IP","2819 E 3RD ST","LB221","BPD","NO REPORT","POINT (-86.495277 39.164236)"
"B16-04054","2016-01-31T00:01:15.000","January","Sunday","NOISE","300 S GRANT ST","LB104","BPD","NO REPORT","POINT (-86.529838 39.163796)"
"B16-04057","2016-01-31T00:12:08.000","January","Sunday","NOISE","1150 S CLARIZZ BLVD","LB310","BPD","NO REPORT","POINT (-86.49099 39.15155)"
"B16-04060","2016-01-31T00:18:02.000","January","Sunday","NOISE","518 E 1ST ST","LB301","BPD","NO REPORT",
"B16-04062","2016-01-31T00:23:34.000","January","Sunday","NOISE","3235 S WALNUT SPRINGS DR","LB336","BPD","NO REPORT","POINT (-86.52772 39.127087)"
"B16-04067","2016-01-31T01:06:50.000","January","Sunday","NOISE","553 S DOLIMAH AVE","LB406","BPD","NO REPORT","POINT (-86.552143 39.161985)"
"B16-04066","2016-01-31T01:08:31.000","January","Sunday","NOISE","212 E 17TH ST","LB213","BPD","NO REPORT","POINT (-86.532083 39.178958)"
"B16-04068","2016-01-31T01:25:43.000","January","Sunday","DISTURBANCE IP","332 S GRANT ST","LB104","BPD","NO REPORT","POINT (-86.529834 39.163509)"
"B16-04069","2016-01-31T01:32:57.000","January","Sunday","NOISE","704 E SHERWOOD HILLS DR","LB329","BPD","NO REPORT","POINT (-86.524967 39.132957)"
"B16-04071","2016-01-31T01:54:19.000","January","Sunday","NOISE","N MILO B SAMPSON LN & E LINDEN DR","LB210","BPD","NO REPORT",
"B16-04075","2016-01-31T03:13:50.000","January","Sunday","NOISE","S DUNN ST & E HILLSIDE DR","LB315","BPD","NO REPORT","POINT (-86.528143 39.150523)"
"B16-04073","2016-01-31T03:17:20.000","January","Sunday","DISTURBANCE IP","319 N WALNUT ST","LB101","BPD","NO REPORT","POINT (-86.533592 39.169156)"
"B16-04083","2016-01-31T06:30:34.000","January","Sunday","DISTURBANCE IP","1004 W COUNTRY CLUB DR","LB423","BPD","NO REPORT","POINT (-86.545466 39.13624)"
"B16-04088","2016-01-31T08:42:24.000","January","Sunday","VANDALISM NP","300 N WALNUT ST","LB102","BPD","REPORT","POINT (-86.533594 39.168941)"
"B16-04115","2016-01-31T14:01:21.000","January","Sunday","VANDALISM NP","3175 W 3RD ST","LB403","BPD","REPORT","POINT (-86.574878 39.16452)"
"B16-04120","2016-01-31T14:22:50.000","January","Sunday","VANDALISM NP","300 E STATE ROAD 45 46 BYPASS","LB212","BPD","REPORT","POINT (-86.530927 39.186286)"
"B16-04136","2016-01-31T16:17:07.000","January","Sunday","DISTURBANCE NP","911 N SUMMIT ST","LB517","BPD","NO REPORT",
