"service_request_id","requested_datetime","updated_datetime","closed_date","status_description","source","service_name","description","agency_responsible","address","city","state","zip","lat","long","geocoded_column"
"47452","2001-10-18T05:00:00.000","2016-09-11T22:02:05.000","2001-10-18T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","GRAVEL AND SAND IN FRONT OF THE HOUSE STOPPING THE FLOW OF WATER TO THE CULVERT",,"1797 E Maxwell LN","Bloomington","IN","47401","39.15800476","-86.51192474","POINT (-86.51192474 39.15800476)"
"47485","2001-10-15T05:00:00.000","2016-09-11T22:02:05.000","2001-10-15T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","WANTS TO KNOW WHEN SIDEWALK WILL BE REPAIRED",,"714 S Grant ST","Bloomington","IN","47401","39.15765381","-86.53050232","POINT (-86.53050232 39.15765381)"
"47587","2001-10-09T05:00:00.000","2016-09-11T22:02:05.000","2001-10-09T05:00:00.000","closed","Web Form","Sidewalk Snow Removal","Mr. Sinn owns the property at 409 S. Swain Avenue. On the east end of the lot which involves three lots is standing water.  This is an ongoing problem and Mr. Sinn would like an update regarding this issue.  Please give him a call.  He stated that he has been trying to contact Mr. Heald but has been unable to do so.  He requested a citizen action order to be issued.",,"409 S Swain AVE","Bloomington","IN","47401","39.16268921","-86.51500702","POINT (-86.51500702 39.16268921)"
"47639","2001-10-05T05:00:00.000","2020-10-05T14:42:52.000","2001-10-05T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Customer wants a rolling curb storm grate instead of a standing one.",,"1067 E Jennifer DR","Bloomington","IN","47401","39.12756348","-86.51883698","POINT (-86.51883698 39.12756348)"
"47893","2001-09-21T05:00:00.000","2016-09-11T22:02:05.000","2001-09-21T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","The alley that runs behind his home, between Hilside and Wilson is gravel, and when they have a heavy rain the gravel is washed out into wilson Street.  Mr. Pitman stated that the alley is in terrible shape and is very difficult to drive on",,"1401 S Lincoln ST","Bloomington","IN","47401","39.15137482","-86.53115845","POINT (-86.53115845 39.15137482)"
"47944","2001-09-20T05:00:00.000","2016-09-11T22:02:05.000","2001-09-20T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CLOGGED STORM DRAIN",,"4100 E Saratoga DR","Bloomington","IN","47408","39.16505051","-86.47867584","POINT (-86.47867584 39.16505051)"
"47946","2001-09-20T05:00:00.000","2016-09-11T22:02:05.000","2001-09-20T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","RUN OFF WATER GRATE HAS A TREE GROWING THROUGH IT",,"1219 S Stull AVE","Bloomington","IN","47401","39.15268326","-86.52465820","POINT (-86.5246582 39.15268326)"
"47986","2001-09-19T05:00:00.000","2016-09-11T22:02:05.000","2001-09-19T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Has a clogged strom drain at 10th & Dunn. .",,"E 10TH ST","Bloomington","IN",,,,
"48010","2001-09-18T05:00:00.000","2016-09-11T22:02:05.000","2001-09-18T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Road caving in around inlet.",,"730 S CHRISTOPHER ST","Bloomington","IN",,,,
"48170","2001-09-12T05:00:00.000","2016-09-11T22:02:05.000","2001-09-12T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","DITCH IN FRONT OF HOUSE IS CLOGGED",,"1227 E SOUTHDOWNS","Bloomington","IN",,,,
"48171","2001-09-12T05:00:00.000","2016-09-11T22:02:05.000","2001-09-12T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN NEEDS TO BE CLEANED",,"812 E 8th ST","Bloomington","IN","47408","39.16921234","-86.52403259","POINT (-86.52403259 39.16921234)"
