"street_id","street_status","dir","street_name","suffix","post_dir","name_type","start_date"
"171","retired","S","Basswood South","CIRCLE",,"HISTORIC","2001-01-01T00:00:00.000"
"172","current",,"Batchelor School","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"173","current","N","Baugh","ROAD",,"STREET","2000-01-01T00:00:00.000"
"4988","current","N","Baux Mt","ROAD",,"STREET","2014-09-11T00:00:00.000"
"2552","current","E","Bay","STREET",,"STREET","2000-01-01T00:00:00.000"
"180","current","E","Bayberry","COURT","E","STREET","2000-01-01T00:00:00.000"
"181","current","E","Bayberry","COURT","W","STREET","2000-01-01T00:00:00.000"
"182","current","S","Bayberry","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"176","current",,"Bay Creek","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"177","current","S","Bay Hill","COURT",,"STREET","2000-01-01T00:00:00.000"
"183","current","E","Bayles","ROAD",,"STREET","2000-01-01T00:00:00.000"
"184","current","W","Bayles","ROAD",,"STREET","2000-01-01T00:00:00.000"
"4680","current","S","Bay Pointe","COURT",,"STREET","2012-02-21T00:00:00.000"
"4679","current","E","Bay Pointe","DRIVE",,"STREET","2012-02-21T00:00:00.000"
"178","current","S","Bay Pointe","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"179","current","S","Bay Pointe","LANE",,"STREET","2000-01-01T00:00:00.000"
"185","current","S","Baytree","LANE",,"STREET","2000-01-01T00:00:00.000"
"186","current","W","Baywood","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"187","retired","W","Beach","LANE",,"HISTORIC","2001-01-01T00:00:00.000"
"188","current","E","Beacon","COURT",,"STREET","2000-01-01T00:00:00.000"
"3759","current","N","Beagle","LANE",,"STREET","2006-09-25T00:00:00.000"
"189","current","N","Bean Blossom","ROAD",,"STREET","2000-01-01T00:00:00.000"
"3899","current","E","Beardsley","DRIVE",,"STREET","2007-01-22T00:00:00.000"
"190","current","W","Beasley","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"191","current","W","Beaumont","LANE",,"STREET","2000-01-01T00:00:00.000"
"192","current","N","Beaver Lodge","ROAD",,"STREET","2000-01-01T00:00:00.000"
"2796","current","S","Bedrock","ROAD",,"STREET","2004-10-25T00:00:00.000"
"193","current","W","Bedrock","ROAD",,"STREET","2000-01-01T00:00:00.000"
"195","retired","N","Beech","LANE",,"HISTORIC","2001-01-01T00:00:00.000"
"194","current","W","Beech","LANE",,"STREET","2000-01-01T00:00:00.000"
"197","current","S","Beechtree","LANE",,"STREET","2000-01-01T00:00:00.000"
"199","current","N","Beechwood","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"198","current","N","Beechwood Heights","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"3681","current","N","Begonia","COURT",,"STREET","2006-07-18T00:00:00.000"
"4279","current","N","Behrens","COURT",,"STREET","2008-09-08T00:00:00.000"
"200","current","S","Belhaven","COURT",,"STREET","2000-01-01T00:00:00.000"
"201","current","W","Bell","ROAD",,"STREET","2000-01-01T00:00:00.000"
"205","current","W","Belle","AVENUE",,"STREET","2000-01-01T00:00:00.000"
"206","current","S","Bellemeade","AVENUE",,"STREET","2015-12-03T00:00:00.000"
"206","current","S","Bellemeade","DRIVE",,"HISTORIC","2000-01-01T00:00:00.000"
"202","current","N","Bell Trace","CIRCLE",,"STREET","2000-01-01T00:00:00.000"
"203","current","N","Bell Trace","COURT",,"STREET","2000-01-01T00:00:00.000"
"204","current","N","Bell Trace","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"208","current","E","Bender","ROAD",,"STREET","2000-01-01T00:00:00.000"
"209","current","W","Benham","LANE",,"STREET","2000-01-01T00:00:00.000"
"2559","current","S","Benita","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"5300","current","E","Benjamin","STREET",,"STREET","2015-08-04T00:00:00.000"
"210","current","S","Bennett","LANE",,"STREET","2000-01-01T00:00:00.000"
"211","current","E","Bennington","BOULEVARD",,"STREET","2000-01-01T00:00:00.000"
"212","current","E","Benson","COURT",,"STREET","2000-01-01T00:00:00.000"
"215","current","N","Benton","COURT",,"STREET","2000-01-01T00:00:00.000"
"216","current","N","Benton","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"213","current","N","Bent Pine","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"214","current","S","Bent Tree","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"217","current","S","Berkley North","COURT",,"STREET","2000-01-01T00:00:00.000"
"218","current","S","Berkley South","COURT",,"STREET","2000-01-01T00:00:00.000"
"219","current","E","Berkshire","COURT",,"STREET","2000-01-01T00:00:00.000"
"3157","current","S","Bernard","DRIVE",,"STREET","2005-09-23T00:00:00.000"
"220","current","E","Bernice","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"221","current","E","Bethel","LANE",,"STREET","2000-01-01T00:00:00.000"
"2613","current","W","Betula","DRIVE",,"STREET","2003-10-15T00:00:00.000"
"222","current","S","Beverly","COURT",,"STREET","2000-01-01T00:00:00.000"
"223","current","S","Beverly","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"224","current","W","Bexley","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"225","current","N","Big Bass","LANE",,"STREET","2000-01-01T00:00:00.000"
