"location","period","year","month","visitors"
"Green Park","2012-05","2012","5","8"
"Orwell","2012-05","2012","5","124"
"Acadian","2012-06","2012","6","521"
"Basin Head","2012-06","2012","6","1391"
"Beaconsfield","2012-06","2012","6","1147"
"Elmira","2012-06","2012","6","726"
"Eptek","2012-06","2012","6","1116"
"Green Park","2012-06","2012","6","356"
"Orwell","2012-06","2012","6","990"
"Acadian","2012-07","2012","7","1545"
"Basin Head","2012-07","2012","7","5514"
"Beaconsfield","2012-07","2012","7","2418"
"Elmira","2012-07","2012","7","2478"
"Eptek","2012-07","2012","7","3062"
"Green Park","2012-07","2012","7","960"
"Orwell","2012-07","2012","7","2308"
"Acadian","2012-08","2012","8","1447"
"Basin Head","2012-08","2012","8","5498"
"Beaconsfield","2012-08","2012","8","2809"
"Elmira","2012-08","2012","8","2011"
"Eptek","2012-08","2012","8","3319"
"Green Park","2012-08","2012","8","1748"
"Orwell","2012-08","2012","8","2045"
"Acadian","2012-09","2012","9","543"
"Basin Head","2012-09","2012","9","1238"
"Beaconsfield","2012-09","2012","9","1281"
"Elmira","2012-09","2012","9","674"
"Eptek","2012-09","2012","9","1139"
"Green Park","2012-09","2012","9","76"
"Orwell","2012-09","2012","9","677"
"Acadian","2012-10","2012","10","222"
"Basin Head","2012-10","2012","10","0"
"Beaconsfield","2012-10","2012","10","1330"
"Elmira","2012-10","2012","10","781"
"Eptek","2012-10","2012","10","614"
"Green Park","2012-10","2012","10","0"
"Orwell","2012-10","2012","10","482"
"Acadian","2012-11","2012","11","226"
"Basin Head","2012-11","2012","11","0"
"Beaconsfield","2012-11","2012","11","408"
"Elmira","2012-11","2012","11","0"
"Eptek","2012-11","2012","11","941"
"Green Park","2012-11","2012","11","0"
"Orwell","2012-11","2012","11","190"
"Acadian","2012-12","2012","12","23"
"Basin Head","2012-12","2012","12","0"
"Beaconsfield","2012-12","2012","12","406"
"Elmira","2012-12","2012","12","0"
"Eptek","2012-12","2012","12","302"
"Green Park","2012-12","2012","12","0"
"Orwell","2012-12","2012","12","167"
"Acadian","2013-01","2013","1","148"
"Basin Head","2013-01","2013","1","0"
"Beaconsfield","2013-01","2013","1","595"
"Elmira","2013-01","2013","1","0"
"Eptek","2013-01","2013","1","604"
"Green Park","2013-01","2013","1","0"
"Orwell","2013-01","2013","1","157"
"Acadian","2013-02","2013","2","58"
"Basin Head","2013-02","2013","2","0"
"Beaconsfield","2013-02","2013","2","368"
"Elmira","2013-02","2013","2","0"
"Eptek","2013-02","2013","2","431"
"Green Park","2013-02","2013","2","0"
"Orwell","2013-02","2013","2","128"
"Acadian","2013-03","2013","3","171"
"Basin Head","2013-03","2013","3","0"
"Beaconsfield","2013-03","2013","3","171"
"Elmira","2013-03","2013","3","0"
"Eptek","2013-03","2013","3","477"
"Green Park","2013-03","2013","3","0"
"Orwell","2013-03","2013","3","135"
"Acadian","2013-04","2013","4","72"
"Basin Head","2013-04","2013","4","0"
"Beaconsfield","2013-04","2013","4","539"
"Elmira","2013-04","2013","4","0"
"Eptek","2013-04","2013","4","793"
"Green Park","2013-04","2013","4","0"
"Orwell","2013-04","2013","4","127"
"Acadian","2013-05","2013","5","279"
"Basin Head","2013-05","2013","5","178"
"Beaconsfield","2013-05","2013","5","1050"
"Elmira","2013-05","2013","5","48"
"Eptek","2013-05","2013","5","466"
"Green Park","2013-05","2013","5","30"
"Orwell","2013-05","2013","5","241"
"Acadian","2013-06","2013","6","585"
"Basin Head","2013-06","2013","6","1729"
"Beaconsfield","2013-06","2013","6","1677"
"Elmira","2013-06","2013","6","398"
"Eptek","2013-06","2013","6","1205"
"Green Park","2013-06","2013","6","412"
"Orwell","2013-06","2013","6","846"
"Acadian","2013-07","2013","7","1743"
"Basin Head","2013-07","2013","7","7301"
"Beaconsfield","2013-07","2013","7","2903"
"Elmira","2013-07","2013","7","3020"
"Eptek","2013-07","2013","7","3949"
"Green Park","2013-07","2013","7","1379"
"Orwell","2013-07","2013","7","2318"
"Acadian","2013-08","2013","8","1437"
"Basin Head","2013-08","2013","8","7032"
"Beaconsfield","2013-08","2013","8","3179"
"Elmira","2013-08","2013","8","2658"
"Eptek","2013-08","2013","8","4724"
"Green Park","2013-08","2013","8","1768"
"Orwell","2013-08","2013","8","2372"
"Acadian","2013-09","2013","9","670"
"Basin Head","2013-09","2013","9","1218"
"Beaconsfield","2013-09","2013","9","1443"
"Elmira","2013-09","2013","9","441"
"Eptek","2013-09","2013","9","1661"
"Green Park","2013-09","2013","9","59"
"Orwell","2013-09","2013","9","792"
"Acadian","2013-10","2013","10","246"
"Basin Head","2013-10","2013","10","0"
"Beaconsfield","2013-10","2013","10","1293"
"Elmira","2013-10","2013","10","0"
"Eptek","2013-10","2013","10","1038"
"Green Park","2013-10","2013","10","0"
"Orwell","2013-10","2013","10","161"
"Acadian","2013-11","2013","11","86"
"Basin Head","2013-11","2013","11","0"
"Beaconsfield","2013-11","2013","11","542"
"Elmira","2013-11","2013","11","0"
"Eptek","2013-11","2013","11","749"
"Green Park","2013-11","2013","11","0"
"Orwell","2013-11","2013","11","387"
"Acadian","2013-12","2013","12","143"
"Basin Head","2013-12","2013","12","0"
"Beaconsfield","2013-12","2013","12","491"
"Elmira","2013-12","2013","12","0"
"Eptek","2013-12","2013","12","253"
"Green Park","2013-12","2013","12","0"
"Orwell","2013-12","2013","12","50"
"Acadian","2014-01","2014","1","165"
"Basin Head","2014-01","2014","1","0"
"Beaconsfield","2014-01","2014","1","478"
"Elmira","2014-01","2014","1","0"
"Eptek","2014-01","2014","1","533"
"Green Park","2014-01","2014","1","0"
"Orwell","2014-01","2014","1","210"
"Acadian","2014-02","2014","2","46"
"Basin Head","2014-02","2014","2","0"
"Beaconsfield","2014-02","2014","2","213"
"Elmira","2014-02","2014","2","0"
"Eptek","2014-02","2014","2","603"
"Green Park","2014-02","2014","2","0"
"Orwell","2014-02","2014","2","156"
"Acadian","2014-03","2014","3","153"
"Basin Head","2014-03","2014","3","0"
"Beaconsfield","2014-03","2014","3","158"
"Elmira","2014-03","2014","3","0"
"Eptek","2014-03","2014","3","433"
"Green Park","2014-03","2014","3","0"
"Orwell","2014-03","2014","3","172"
"Acadian","2014-04","2014","4","235"
"Basin Head","2014-04","2014","4","0"
"Beaconsfield","2014-04","2014","4","120"
"Elmira","2014-04","2014","4","0"
"Eptek","2014-04","2014","4","382"
"Green Park","2014-04","2014","4","0"
"Orwell","2014-04","2014","4","121"
"Acadian","2014-05","2014","5","224"
"Basin Head","2014-05","2014","5","142"
"Beaconsfield","2014-05","2014","5","896"
"Elmira","2014-05","2014","5","42"
"Eptek","2014-05","2014","5","250"
"Green Park","2014-05","2014","5","70"
"Orwell","2014-05","2014","5","428"
"Acadian","2014-06","2014","6","625"
"Basin Head","2014-06","2014","6","1448"
"Beaconsfield","2014-06","2014","6","1405"
"Elmira","2014-06","2014","6","561"
"Eptek","2014-06","2014","6","658"
"Green Park","2014-06","2014","6","425"
"Orwell","2014-06","2014","6","887"
"Acadian","2014-07","2014","7","1611"
"Basin Head","2014-07","2014","7","5864"
"Beaconsfield","2014-07","2014","7","2242"
"Elmira","2014-07","2014","7","2136"
"Eptek","2014-07","2014","7","2368"
"Green Park","2014-07","2014","7","1220"
"Orwell","2014-07","2014","7","2782"
"Acadian","2014-08","2014","8","1814"
"Basin Head","2014-08","2014","8","6105"
"Beaconsfield","2014-08","2014","8","2580"
"Elmira","2014-08","2014","8","1739"
"Eptek","2014-08","2014","8","2425"
"Green Park","2014-08","2014","8","2038"
"Orwell","2014-08","2014","8","2020"
"Acadian","2014-09","2014","9","585"
"Basin Head","2014-09","2014","9","1725"
"Beaconsfield","2014-09","2014","9","1671"
"Elmira","2014-09","2014","9","411"
"Eptek","2014-09","2014","9","938"
"Green Park","2014-09","2014","9","40"
"Orwell","2014-09","2014","9","882"
"Acadian","2014-10","2014","10","291"
"Basin Head","2014-10","2014","10","0"
"Beaconsfield","2014-10","2014","10","1196"
"Elmira","2014-10","2014","10","0"
"Eptek","2014-10","2014","10","683"
"Green Park","2014-10","2014","10","0"
"Orwell","2014-10","2014","10","818"
"Acadian","2014-11","2014","11","361"
"Basin Head","2014-11","2014","11","0"
"Beaconsfield","2014-11","2014","11","386"
"Elmira","2014-11","2014","11","0"
"Eptek","2014-11","2014","11","988"
"Green Park","2014-11","2014","11","0"
"Orwell","2014-11","2014","11","216"
"Acadian","2014-12","2014","12","64"
"Basin Head","2014-12","2014","12","0"
"Beaconsfield","2014-12","2014","12","355"
"Elmira","2014-12","2014","12","0"
"Eptek","2014-12","2014","12","276"
"Green Park","2014-12","2014","12","0"
"Orwell","2014-12","2014","12","0"
"Acadian","2015-01","2015","1","26"
"Basin Head","2015-01","2015","1","0"
"Beaconsfield","2015-01","2015","1","427"
"Elmira","2015-01","2015","1","0"
"Eptek","2015-01","2015","1","497"
"Green Park","2015-01","2015","1","0"
"Orwell","2015-01","2015","1","0"
"Acadian","2015-02","2015","2","34"
"Basin Head","2015-02","2015","2","0"
"Beaconsfield","2015-02","2015","2","175"
"Elmira","2015-02","2015","2","0"
"Eptek","2015-02","2015","2","371"
"Green Park","2015-02","2015","2","0"
"Orwell","2015-02","2015","2","0"
"Acadian","2015-03","2015","3","115"
"Basin Head","2015-03","2015","3","0"
"Beaconsfield","2015-03","2015","3","173"
"Elmira","2015-03","2015","3","0"
"Eptek","2015-03","2015","3","559"
"Green Park","2015-03","2015","3","0"
"Orwell","2015-03","2015","3","0"
"Acadian","2015-04","2015","4","127"
"Basin Head","2015-04","2015","4","0"
"Beaconsfield","2015-04","2015","4","463"
"Elmira","2015-04","2015","4","0"
"Eptek","2015-04","2015","4","780"
"Green Park","2015-04","2015","4","0"
"Orwell","2015-04","2015","4","0"
"Acadian","2015-05","2015","5","214"
"Basin Head","2015-05","2015","5","127"
"Beaconsfield","2015-05","2015","5","809"
"Elmira","2015-05","2015","5","64"
"Eptek","2015-05","2015","5","546"
"Green Park","2015-05","2015","5","55"
"Orwell","2015-05","2015","5","0"
"Acadian","2015-06","2015","6","593"
"Basin Head","2015-06","2015","6","1319"
"Beaconsfield","2015-06","2015","6","1453"
"Elmira","2015-06","2015","6","367"
"Eptek","2015-06","2015","6","1012"
"Green Park","2015-06","2015","6","450"
"Orwell","2015-06","2015","6","788"
"Acadian","2015-07","2015","7","1799"
"Basin Head","2015-07","2015","7","6052"
"Beaconsfield","2015-07","2015","7","2451"
"Elmira","2015-07","2015","7","2620"
"Eptek","2015-07","2015","7","3163"
"Green Park","2015-07","2015","7","1355"
"Orwell","2015-07","2015","7","2556"
"Acadian","2015-08","2015","8","1901"
"Basin Head","2015-08","2015","8","6692"
"Beaconsfield","2015-08","2015","8","2222"
"Elmira","2015-08","2015","8","2700"
"Eptek","2015-08","2015","8","2653"
"Green Park","2015-08","2015","8","2052"
"Orwell","2015-08","2015","8","1992"
"Acadian","2015-09","2015","9","667"
"Basin Head","2015-09","2015","9","1230"
"Beaconsfield","2015-09","2015","9","1660"
"Elmira","2015-09","2015","9","484"
"Eptek","2015-09","2015","9","1234"
"Green Park","2015-09","2015","9","100"
"Orwell","2015-09","2015","9","1394"
"Acadian","2015-10","2015","10","220"
"Basin Head","2015-10","2015","10","0"
"Beaconsfield","2015-10","2015","10","1032"
"Elmira","2015-10","2015","10","0"
"Eptek","2015-10","2015","10","884"
"Green Park","2015-10","2015","10","0"
"Orwell","2015-10","2015","10","1263"
"Acadian","2015-11","2015","11","289"
"Basin Head","2015-11","2015","11","0"
"Beaconsfield","2015-11","2015","11","449"
"Elmira","2015-11","2015","11","0"
"Eptek","2015-11","2015","11","583"
"Green Park","2015-11","2015","11","0"
