"alm_time","alm_date","inci_no","station","occup_id","number","st_prefix","street","st_type","st_suffix","xstreet","xst_prefix","xst_type","xst_suffix","city","state","zip","latitude","longitude","mutl_aid","shift","alarms","alm_type","inci_type","descript"
"22:11:02","2016-01-26T00:00:00.000","16-0026051","15","27373","54",,"GRAFTON","ST",,,,,,"Hartford","CT","06106","41.742525","-72.700075","N","A","1","1","111","Building fire"
"15:51:58","2016-01-30T00:00:00.000","16-0030033","08","16236","182",,"PUTNAM","ST",,,,,,"Hartford","CT","06106","41.760355","-72.690655","N","A","1","1","118","Trash or rubbish fire, contained"
"13:14:07","2017-06-29T00:00:00.000","17-0180038","08",,"172",,"WASHINGTON","ST",,,,,,"Hartford","CT","06106","41.756635","-72.682965","N","A","1","1","111","Building fire"
"17:04:34","2018-05-14T00:00:00.000","18-0134060","05","13972","79",,"EDGEWOOD","ST",,,,,,"Hartford","CT","06112","41.779773","-72.69134","N","D","1","1","113","Cooking fire, confined to container"
"14:34:53","2016-02-04T00:00:00.000","16-0035038","14","12853","105",,"MAGNOLIA","ST",,,,,,"Hartford","CT","06112","41.779582","-72.688024","N","B","1","1","111","Building fire"
"10:51:34","2016-02-04T00:00:00.000","16-0035022","15","33766","1841",,"BROAD","ST",,,,,,"Hartford","CT","06114","41.74248","-72.687766","N","B","1","1","111","Building fire"
"09:05:20","2016-02-05T00:00:00.000","16-0036015","15","32999","16",,"HENRY","ST",,,,,,"Hartford","CT","06114","41.7434","-72.6898","N","C","1","1","111","Building fire"
"00:28:07","2018-08-06T00:00:00.000","18-0218004","15","28235","151",,"HILLSIDE","AV",,,,,,"Hartford","CT","06106","41.748438","-72.698723","N","C","1","3","118","Trash or rubbish fire, contained"
"11:49:35","2016-02-10T00:00:00.000","16-0041034","15","28188","180",,"BONNER","ST",,,,,,"Hartford","CT","06106","41.748453","-72.702468","N","D","1","1","111","Building fire"
"17:12:51","2017-04-29T00:00:00.000","17-0119058","15","40667","495",,"MAPLE","AV",,,,,,"Hartford","CT","06114","41.746044","-72.681706","N","D","1","1","111","Building fire"
"04:24:31","2016-02-15T00:00:00.000","16-0046008","10","42043","300",,"MAXIM","RD",,,,,,"Hartford","CT","06114","41.7463","-72.6483","N","D","1","1","117","Commercial Compactor fire, confined to rubbish"
"10:23:35","2016-02-16T00:00:00.000","16-0047064","14","12552","67",,"VINE","ST",,,,,,"Hartford","CT","06112","41.781297","-72.688892","N","B","1","1","111","Building fire"
"10:26:42","2016-02-18T00:00:00.000","16-0049020","07","07008","68",,"JUDSON","ST",,,,,,"Hartford","CT","06120","41.789129","-72.679757","N","D","1","1","118","Trash or rubbish fire, contained"
"20:03:38","2016-02-18T00:00:00.000","16-0049064","10","36396","78",,"BUSHNELL","ST",,,,,,"Hartford","CT","06114","41.740504","-72.68018","N","D","1","1","113","Cooking fire, confined to container"
"07:37:04","2018-03-19T00:00:00.000","18-0078009","11","19681","798",,"CAPITOL","AV",,,,,,"Hartford","CT","06106","41.760793","-72.703073","N","C","1","1","111","Building fire"
"13:54:44","2016-02-20T00:00:00.000","16-0051028","10","36224","160",,"CAMPFIELD","AV",,,,,,"Hartford","CT","06114","41.737935","-72.682618","N","B","1","1","113","Cooking fire, confined to container"
"20:31:37","2016-02-22T00:00:00.000","16-0053061","10","25788","70",,"AIRPORT","RD",,,,,,"Hartford","CT","06114","41.738","-72.6691","N","D","1","1","111","Building fire"
"17:41:16","2016-02-22T00:00:00.000","16-0053052","10","30371","611",,"WETHERSFIELD","AV",,,,,,"Hartford","CT","06114","41.739181","-72.672138","N","D","1","1","111","Building fire"
"02:34:33","2018-09-09T00:00:00.000","18-0252007","16","03475","254",,"COLEBROOK","ST",,,,,,"Hartford","CT","06112","41.794337","-72.705681","N","A","1","3","116","Fuel burner/boiler malfunction, fire confined"
