"month_reported","state","make","model","color","year","last_inspection_month","number_of_trips","multiple_tnps"
"2022-06","IL","Chevrolet","Cruze","Black","2016","2021-06","0","false"
"2022-06","IL","Jeep","Liberty","Silver","2009","2021-11","32","false"
"2022-06","IL","Toyota","Camry","Silver","2012","2022-03","0","false"
"2022-06","IL","Toyota","Corolla",,"2022","2022-01","264","true"
"2022-06","IL","Hyundai","Elantra","Silver","2020","2022-06","2","false"
"2022-06","IL","Toyota","Highlander Hybrid","Red","2018","2022-04","0","false"
"2022-06","IL","Chevrolet","Equinox","Black","2011","2022-06","0","true"
"2022-06","IL","Acura","Mdx","Black","2017","2022-03","0","false"
"2022-06","WI","Toyota","Sienna","Silver","2022","2021-10","93","false"
"2022-06","IL","Cadillac","Escalade Hybrid","Black","2012","2021-09","234","false"
"2022-06","IL","Toyota","Prius","Red","2014","2022-02","0","false"
"2022-06","IL","Toyota","Prius","Black","2014","2021-07","0","false"
"2022-06","IL","Nissan","Versa","White","2014","2022-01","101","true"
"2022-06","IL","Chevrolet","Suburban","Black","2019","2022-03","97","false"
"2022-06","IL","Lexus","Gs","White","2015","2021-10","226","false"
"2022-06","IL","Toyota","Corolla Hybrid","Red","2022","2022-04","212","false"
"2022-06","IL","Jeep","Compass","Blue","2018","2022-02","51","false"
"2022-06","IL","Ford","Escape Hybrid","Silver","2006","2021-08","147","false"
"2022-06","IL","Toyota","Prius C","White","2013","2022-03","14","false"
"2022-06","IL","Toyota","Camry","Silver","2015","2021-07","367","false"
"2022-06","IL","Toyota","Camry Hybrid","Gold","2007","2021-08","161","false"
"2022-06","IL","Honda","Civic","Silver","2012","2022-06","582","true"
"2022-06","IL","Toyota","Corolla Cross","Black","2022","2022-06","221","false"
"2022-06","IL","Toyota","Sienna","Gold","2013","2022-04","544","false"
"2022-06","IL","Chevrolet","Equinox","Black","2020","2022-05","0","false"
"2022-06","IL","Chrysler","Pacifica","Silver","2020","2022-02","0","true"
"2022-06","IL","Hyundai","Sonata","Gray","2014","2021-10","20","false"
"2022-06","IL","Lexus","Rx Hybrid","White","2021","2022-04","0","false"
"2022-06","IL","Kia","Forte","White","2015","2021-07","0","false"
"2022-06","IL","Chevrolet","Tahoe","Black","2019","2021-10","41","false"
"2022-06","IL","Honda","Accord","Blue","2011","2022-06","0","false"
"2022-06","WI","Toyota","Rav4 Hybrid","Silver","2016","2022-05","4","false"
"2022-06","IL","Nissan","Maxima","Red","2018","2021-09","97","true"
"2022-06","IL","Toyota","Yaris","White","2010","2021-10","94","true"
"2022-06","IL","Toyota","Camry Hybrid","Blue","2010","2022-02","0","false"
"2022-06","IL","Toyota","Prius","White","2013","2022-06","88","false"
"2022-06","IL","Toyota","Prius","Black","2022","2022-06","205","false"
"2022-06","IL","Chevrolet","Equinox","Brown","2018","2022-06","93","false"
"2022-06","IL","Infiniti","Q50","Blue","2015","2022-04","161","false"
"2022-06","IL","Chevrolet","Trax","Gray","2018","2021-11","0","false"
"2022-06","IL","Toyota","Corolla","Red","2018","2022-04","0","false"
"2022-06","IL","Nissan","Rogue","Blue","2020","2021-11","9","false"
"2022-06","FL","Chevrolet","Malibu","White","2020","2021-12","228","false"
"2022-06","IL","Honda","Insight","Gray","2021",,"341","false"
"2022-06","IL","Infiniti","Qx56","Burgundy","2011","2021-11","152","false"
"2022-06","FL","Ford","Escape","Red","2018","2022-03","0","false"
"2022-06","IL","Honda","Cr-V","Silver","2020","2021-12","117","false"
"2022-06","IL","Honda","Accord","Silver","2008","2021-08","0","false"
"2022-06","IL","Nissan","Rogue","Black","2018","2022-03","14","false"
"2022-06","IL","Honda","Cr-V","Black","2021","2022-06","0","false"
"2022-06","IL","Mitsubishi","Outlander Sport","Teal","2013","2022-04","17","false"
"2022-06","IL","Toyota","Highlander","Silver","2019","2022-05","0","false"
"2022-06","IL","Ford","Focus","White","2014","2021-10","0","false"
"2022-06","IA","Toyota","Prius","White","2012","2021-12","46","true"
"2022-06","IL","Ford","Fiesta","Black","2017","2021-11","36","false"
"2022-06","IL","Lincoln","Nautilus","Black","2022","2022-04","22","false"
"2022-06","IL","Toyota","Sienna","Silver","2013","2022-04","95","false"
"2022-06","IL","Chevrolet","Malibu","Silver","2012","2022-01","118","false"
"2022-06","IL","Honda","Accord","Burgundy","2017","2022-01","0","false"
"2022-06","IL","Jeep","Grand Cherokee","White","2014","2022-05","5","false"
"2022-06","IL","Ford","Escape","Blue","2017","2021-11","22","false"
"2022-06","IL","Toyota","Sienna","Gold","2014","2022-05","238","true"
"2022-06","IL","Nissan","Sentra","Black","2012","2022-06","30","false"
"2022-06","IL","Dodge","Grand Caravan","White","2011","2021-08","133","false"
"2022-06","IL","Mazda","Cx-5","White","2018","2022-04","84","true"
"2022-06","GA","Nissan","Rogue","White","2011","2022-03","124","false"
"2022-06","IL","Honda","Cr-V","Silver","2019","2022-01","0","false"
"2022-06","IL","Hyundai","Santa Fe Sport","Brown","2014","2021-07","8","false"
"2022-06","IL","Toyota","Prius","White","2013","2022-02","285","true"
"2022-06","IN","Toyota","Prius","Gray","2010",,"7","false"
"2022-06","IL","Honda","Civic","Silver","2018","2022-04","46","false"
"2022-06","IL","Hyundai","Sonata","White","2017","2022-06","52","true"
"2022-06","IL","Honda","Accord","Blue","2017","2022-01","36","false"
"2022-06","IL","Toyota","Sienna","Silver","2022","2022-02","292","true"
"2022-06","IL","Nissan","Versa","Blue","2020","2022-02","77","true"
"2022-06","IL","Lexus","Es Hybrid","Gold","2016","2022-03","50","false"
