"date","week","month","year","railroad","region","loadings_plan","loadings_average"
"2017-05-03T00:00:00.000","18","4","2017","CN","Uinta basin","0","0"
"2017-05-03T00:00:00.000","18","4","2017","CP","Central Appalachia","0","0"
"2017-05-03T00:00:00.000","18","4","2017","CP","Illinois Basin","0","0"
"2017-05-03T00:00:00.000","18","4","2017","CP","Northern Appalachia","0","0"
"2017-05-03T00:00:00.000","18","4","2017","CP","Other","0","0"
"2017-05-03T00:00:00.000","18","4","2017","CP","Powder River Basin","0","0"
"2017-05-03T00:00:00.000","18","4","2017","CP","Southern Appalachia","0","0"
"2017-05-03T00:00:00.000","18","4","2017","CP","Uinta basin","0","0"
"2017-05-03T00:00:00.000","18","4","2017","CSX","Central Appalachia","7604","7214"
"2017-05-03T00:00:00.000","18","4","2017","CSX","Illinois Basin","3026","3427"
"2017-05-03T00:00:00.000","18","4","2017","CSX","Northern Appalachia","2642","2543"
"2017-05-03T00:00:00.000","18","4","2017","CSX","Powder River Basin","0","0"
"2017-05-03T00:00:00.000","18","4","2017","CSX","Southern Appalachia","1050","1050"
"2017-05-03T00:00:00.000","18","4","2017","CSX","Uinta basin","0","0"
"2017-05-03T00:00:00.000","18","4","2017","NS","Central Appalachia","10.4","6.7"
"2017-05-03T00:00:00.000","18","4","2017","NS","Illinois Basin","3","3"
"2017-05-03T00:00:00.000","18","4","2017","NS","Northern Appalachia","8.4","6.4"
"2017-05-03T00:00:00.000","18","4","2017","NS","Southern Appalachia","0","0"
"2017-05-03T00:00:00.000","18","4","2017","UP","Other","0","1.3"
"2017-05-03T00:00:00.000","18","4","2017","UP","Powder River Basin","15.1","13.6"
"2017-05-03T00:00:00.000","18","4","2017","UP","Uinta Basin","3.5","3.6"
"2017-05-10T00:00:00.000","19","5","2017","BNSF","Central Appalachia","0","0"
"2017-05-10T00:00:00.000","19","5","2017","BNSF","Illinois Basin","0","0"
"2017-05-10T00:00:00.000","19","5","2017","BNSF","Northern Appalachia","0","0"
"2017-05-10T00:00:00.000","19","5","2017","BNSF","Other","2","2.4"
"2017-05-10T00:00:00.000","19","5","2017","BNSF","Powder River Basin","38","28.6"
"2017-05-10T00:00:00.000","19","5","2017","BNSF","Southern Appalachia","0","0"
"2017-05-10T00:00:00.000","19","5","2017","BNSF","Uinta basin","0","0"
"2017-05-10T00:00:00.000","19","5","2017","CN","Central Appalachia","0","0"
"2017-05-10T00:00:00.000","19","5","2017","CN","Illinois Basin","240","167"
"2017-05-10T00:00:00.000","19","5","2017","CN","Northern Appalachia","0","0"
"2017-05-10T00:00:00.000","19","5","2017","CN","Other","0","0"
"2017-05-10T00:00:00.000","19","5","2017","CN","Powder River Basin","0","0"
"2017-05-10T00:00:00.000","19","5","2017","CN","Southern Appalachia","0","0"
"2017-05-10T00:00:00.000","19","5","2017","CN","Uinta basin","0","0"
"2017-05-10T00:00:00.000","19","5","2017","CP","Central Appalachia","0","0"
"2017-05-10T00:00:00.000","19","5","2017","CP","Illinois Basin","0","0"
"2017-05-10T00:00:00.000","19","5","2017","CP","Northern Appalachia","0","0"
"2017-05-10T00:00:00.000","19","5","2017","CP","Other","0","0"
"2017-05-10T00:00:00.000","19","5","2017","CP","Powder River Basin","0","0"
"2017-05-10T00:00:00.000","19","5","2017","CP","Southern Appalachia","0","0"
"2017-05-10T00:00:00.000","19","5","2017","CP","Uinta basin","0","0"
"2017-05-10T00:00:00.000","19","5","2017","CSX","Central Appalachia","5675","5658"
"2017-05-10T00:00:00.000","19","5","2017","CSX","Illinois Basin","3622","3574"
"2017-05-10T00:00:00.000","19","5","2017","CSX","Northern Appalachia","2941","2934"
"2017-05-10T00:00:00.000","19","5","2017","CSX","Powder River Basin","0","0"
"2017-05-10T00:00:00.000","19","5","2017","CSX","Southern Appalachia","1350","1350"
"2017-05-10T00:00:00.000","19","5","2017","CSX","Uinta basin","0","0"
"2017-05-10T00:00:00.000","19","5","2017","NS","Central Appalachia","9.1","6.1"
"2017-05-10T00:00:00.000","19","5","2017","NS","Illinois Basin","3.1","1.7"
"2017-05-10T00:00:00.000","19","5","2017","NS","Northern Appalachia","5.6","5.7"
"2017-05-10T00:00:00.000","19","5","2017","NS","Southern Appalachia","0","0"
"2017-05-10T00:00:00.000","19","5","2017","UP","Other","0","0.7"
"2017-05-10T00:00:00.000","19","5","2017","UP","Powder River Basin","16","15.9"
"2017-05-10T00:00:00.000","19","5","2017","UP","Uinta Basin","3.8","3.7"
"2017-05-17T00:00:00.000","20","5","2017","BNSF","Central Appalachia","0","0"
"2017-05-17T00:00:00.000","20","5","2017","BNSF","Illinois Basin","0","0"
"2017-05-17T00:00:00.000","20","5","2017","BNSF","Northern Appalachia","0","0"
"2017-05-17T00:00:00.000","20","5","2017","BNSF","Other","2","2.1"
"2017-05-17T00:00:00.000","20","5","2017","BNSF","Powder River Basin","38","32.3"
"2017-05-17T00:00:00.000","20","5","2017","BNSF","Southern Appalachia","0","0"
"2017-05-17T00:00:00.000","20","5","2017","BNSF","Uinta basin","0","0"
"2017-05-17T00:00:00.000","20","5","2017","CN","Central Appalachia","0","0"
"2017-05-17T00:00:00.000","20","5","2017","CN","Illinois Basin","225","164"
"2017-05-17T00:00:00.000","20","5","2017","CN","Northern Appalachia","0","0"
"2017-05-17T00:00:00.000","20","5","2017","CN","Other","0","0"
"2017-05-17T00:00:00.000","20","5","2017","CN","Powder River Basin","0","0"
"2017-05-17T00:00:00.000","20","5","2017","CN","Southern Appalachia","0","0"
"2017-05-17T00:00:00.000","20","5","2017","CN","Uinta basin","0","0"
"2017-05-17T00:00:00.000","20","5","2017","CP","Central Appalachia","0","0"
"2017-05-17T00:00:00.000","20","5","2017","CP","Illinois Basin","0","0"
"2017-05-17T00:00:00.000","20","5","2017","CP","Northern Appalachia","0","0"
"2017-05-17T00:00:00.000","20","5","2017","CP","Other","0","0"
"2017-05-17T00:00:00.000","20","5","2017","CP","Powder River Basin","0","0"
"2017-05-17T00:00:00.000","20","5","2017","CP","Southern Appalachia","0","0"
"2017-05-17T00:00:00.000","20","5","2017","CP","Uinta basin","0","0"
"2017-05-17T00:00:00.000","20","5","2017","CSX","Central Appalachia","6134","6106"
"2017-05-17T00:00:00.000","20","5","2017","CSX","Illinois Basin","2978","2994"
"2017-05-17T00:00:00.000","20","5","2017","CSX","Northern Appalachia","3179","3170"
"2017-05-17T00:00:00.000","20","5","2017","CSX","Powder River Basin","0","0"
"2017-05-17T00:00:00.000","20","5","2017","CSX","Southern Appalachia","1200","1200"
"2017-05-17T00:00:00.000","20","5","2017","CSX","Uinta basin","0","0"
"2017-05-17T00:00:00.000","20","5","2017","NS","Central Appalachia","9.6","7.1"
"2017-05-17T00:00:00.000","20","5","2017","NS","Illinois Basin","3","3"
"2017-05-17T00:00:00.000","20","5","2017","NS","Northern Appalachia","5.6","5.3"
"2017-05-17T00:00:00.000","20","5","2017","NS","Southern Appalachia","0","0"
