"date","week","month","year","railroad","state","placed","filled","unfilledlte10days","unfilledgt10days","total","geocoded_column"
"2022-09-07T00:00:00.000","36","9","2022","CSX","MD","0","0","0","0","0","POINT (-76.687282 38.946466)"
"2022-09-07T00:00:00.000","36","9","2022","CP","RI","0","0","0","0","0","POINT (-71.534637 41.572574)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","WV","0","0","0","0","0","POINT (-80.613729 38.642579)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","ND","99","977","70","44","114","POINT (-100.46931 47.446305)"
"2022-09-07T00:00:00.000","36","9","2022","CP","IA","45","45","0","0","0","POINT (-93.500061 42.074659)"
"2022-09-07T00:00:00.000","36","9","2022","UP","CT","0","0","0","0","0","POINT (-72.738288 41.575155)"
"2022-09-07T00:00:00.000","36","9","2022","CP","WI","10","35","0","0","0","POINT (-89.732969 44.639954)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","DE","0","0","0","0","0","POINT (-75.452394 38.994926)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","FL","0","0","0","0","0","POINT (-82.420978 28.260731)"
"2022-09-07T00:00:00.000","36","9","2022","CP","IL","0","0","0","0","0","POINT (-89.148632 40.124144)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","GA","0","0","0","0","0","POINT (-83.426574 32.638481)"
"2022-09-07T00:00:00.000","36","9","2022","CP","VT","0","0","0","0","0","POINT (-72.662695 44.075252)"
"2022-09-07T00:00:00.000","36","9","2022","NS","WI","0","0","0","0","0","POINT (-89.732969 44.639954)"
"2022-09-07T00:00:00.000","36","9","2022","CN","WY","0","0","0","0","0","POINT (-107.55145 42.999627)"
"2022-09-07T00:00:00.000","36","9","2022","CN","AL","0","0","0","0","0","POINT (-86.844516 32.756889)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","SD","0","0","0","0","0","POINT (-100.230491 44.43614)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","CT","0","0","0","0","0","POINT (-72.738288 41.575155)"
"2022-09-07T00:00:00.000","36","9","2022","CP","UT","0","0","0","0","0","POINT (-111.678222 39.323779)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","KY","0","0","0","0","0","POINT (-85.290484 37.526683)"
