"date","week","month","year","railroad","commodity","mph"
"2022-08-03T00:00:00.000","31","7","2022","CSX","Crude Oil",
"2022-08-03T00:00:00.000","31","7","2022","BNSF","Intermodal","31.2"
"2022-08-03T00:00:00.000","31","7","2022","BNSF","Manifest","22"
"2022-08-03T00:00:00.000","31","7","2022","BNSF","System","25.4"
"2022-08-03T00:00:00.000","31","7","2022","NS","Manifest","15.8"
"2022-08-03T00:00:00.000","31","7","2022","CSX","Coal","19.3"
"2022-08-03T00:00:00.000","31","7","2022","CN","Coal","23.7"
"2022-08-03T00:00:00.000","31","7","2022","CP","Manifest","24.5"
"2022-08-03T00:00:00.000","31","7","2022","CP","Ethanol","23.9"
"2022-08-03T00:00:00.000","31","7","2022","KCS","System","26.9"
"2022-08-03T00:00:00.000","31","7","2022","NS","System","19"
"2022-08-03T00:00:00.000","31","7","2022","CN","Other","23.8"
"2022-08-03T00:00:00.000","31","7","2022","NS","Crude Oil","18.2"
"2022-08-03T00:00:00.000","31","7","2022","CP","Automotive","12.8"
"2022-08-03T00:00:00.000","31","7","2022","NS","Ethanol","18.8"
"2022-07-27T00:00:00.000","30","7","2022","CSX","System","22.2"
"2022-07-27T00:00:00.000","30","7","2022","CP","Intermodal","30.7"
"2022-07-27T00:00:00.000","30","7","2022","KCS","Coal","25.6"
"2022-07-27T00:00:00.000","30","7","2022","NS","Coal","16.3"
"2022-07-27T00:00:00.000","30","7","2022","NS","Crude Oil","16"
"2022-07-27T00:00:00.000","30","7","2022","NS","Ethanol","17.8"
"2022-07-27T00:00:00.000","30","7","2022","NS","Automotive","18.2"
"2022-07-27T00:00:00.000","30","7","2022","KCS","Manifest","25.5"
"2022-07-27T00:00:00.000","30","7","2022","CP","Coal","27.2"
"2022-07-27T00:00:00.000","30","7","2022","KCS","Ethanol",
"2022-07-27T00:00:00.000","30","7","2022","KCS","Intermodal","33.2"
"2022-07-27T00:00:00.000","30","7","2022","KCS","Grain","25.4"
"2022-07-27T00:00:00.000","30","7","2022","BNSF","Ethanol","21.1"
"2022-07-27T00:00:00.000","30","7","2022","BNSF","Intermodal","31.1"
"2022-07-27T00:00:00.000","30","7","2022","BNSF","Automotive","26.7"
"2022-07-27T00:00:00.000","30","7","2022","UP","System","23.8"
"2022-07-27T00:00:00.000","30","7","2022","CN","Coal","20"
"2022-07-27T00:00:00.000","30","7","2022","CP","Crude Oil","23.1"
"2022-07-27T00:00:00.000","30","7","2022","CP","Automotive",
"2022-07-27T00:00:00.000","30","7","2022","CP","Manifest","24.1"
"2022-07-27T00:00:00.000","30","7","2022","KCS","Automotive","19.5"
"2022-07-27T00:00:00.000","30","7","2022","BNSF","Grain","24.1"
"2022-07-27T00:00:00.000","30","7","2022","CN","Crude Oil","26.7"
"2022-07-27T00:00:00.000","30","7","2022","BNSF","Manifest","22"
